,Unnamed: 0,year,bula_h,regtyp,plh0042,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
62,62,1986,Bavaria,Urban regions,Somewhat concerned,0.2771,153,5585,0.25114,0.30133
63,63,1986,Bavaria,Urban regions,Not concerned at all,0.63611,324,5585,0.59557,0.66536
64,64,1986,Bavaria,Rural regions,Very concerned,0.13494,67,5585,0.117,0.15236
65,65,1986,Bavaria,Rural regions,Somewhat concerned,0.32154,157,5585,0.29585,0.34767
66,66,1986,Bavaria,Rural regions,Not concerned at all,0.54351,233,5585,0.50601,0.574
67,67,1986,Berlin,Urban regions,Very concerned,0.12,33,5585,0.09312,0.15361
68,68,1986,Berlin,Urban regions,Somewhat concerned,0.2727,62,5585,0.23568,0.31514
69,69,1986,Berlin,Urban regions,Not concerned at all,0.6073,117,5585,0.55152,0.66649
70,70,1987,Schleswig-Holstein,Urban regions,Not concerned at all,1.0,52,5679,0.86054,1.12932
71,71,1987,Schleswig-Holstein,Rural regions,Somewhat concerned,0.46217,43,5679,0.38812,0.53165
72,72,1987,Schleswig-Holstein,Rural regions,Not concerned at all,0.53783,46,5679,0.47471,0.6008
73,73,1987,Hamburg,Urban regions,Somewhat concerned,0.42461,46,5679,0.35428,0.50073
74,74,1987,Hamburg,Urban regions,Not concerned at all,0.57539,56,5679,0.49415,0.6587
75,75,1987,Lower Saxony,Urban regions,Very concerned,0.17858,51,5679,0.14973,0.20268
76,76,1987,Lower Saxony,Urban regions,Somewhat concerned,0.3085,90,5679,0.27393,0.34695
77,77,1987,Lower Saxony,Urban regions,Not concerned at all,0.51291,147,5679,0.47325,0.55888
78,78,1987,Lower Saxony,Rural regions,Somewhat concerned,0.39096,109,5679,0.35534,0.42327
79,79,1987,Lower Saxony,Rural regions,Not concerned at all,0.60904,170,5679,0.57492,0.64473
80,80,1987,North Rhine-Westphalia,Urban regions,Very concerned,0.11688,205,5679,0.10588,0.12762
81,81,1987,North Rhine-Westphalia,Urban regions,Somewhat concerned,0.3108,500,5679,0.29133,0.32923
82,82,1987,North Rhine-Westphalia,Urban regions,Not concerned at all,0.57232,771,5679,0.55381,0.59499
83,83,1987,Hesse,Urban regions,Very concerned,0.06887,43,5679,0.05455,0.08702
84,84,1987,Hesse,Urban regions,Somewhat concerned,0.27961,157,5679,0.24543,0.32326
85,85,1987,Hesse,Urban regions,Not concerned at all,0.65152,333,5679,0.59762,0.69792
86,86,1987,Hesse,Rural regions,Not concerned at all,1.0,37,5679,0.84934,1.14585
87,87,1987,"Rhineland-Palatinate, Saarland",Urban regions,Very concerned,0.13914,56,5679,0.11989,0.15878
88,88,1987,"Rhineland-Palatinate, Saarland",Urban regions,Somewhat concerned,0.29634,103,5679,0.26794,0.32058
89,89,1987,"Rhineland-Palatinate, Saarland",Urban regions,Not concerned at all,0.56452,170,5679,0.52322,0.60202
90,90,1987,"Rhineland-Palatinate, Saarland",Rural regions,Not concerned at all,1.0,38,5679,0.89669,1.09656
91,91,1987,Baden-Wuerttemberg,Urban regions,Very concerned,0.07377,114,5679,0.06164,0.0845
92,92,1987,Baden-Wuerttemberg,Urban regions,Somewhat concerned,0.33361,380,5679,0.30636,0.36651
93,93,1987,Baden-Wuerttemberg,Urban regions,Not concerned at all,0.59262,557,5679,0.5641,0.62815
94,94,1987,Baden-Wuerttemberg,Rural regions,Somewhat concerned,0.38622,65,5679,0.31843,0.45177
95,95,1987,Baden-Wuerttemberg,Rural regions,Not concerned at all,0.61378,101,5679,0.5352,0.69736
96,96,1987,Bavaria,Urban regions,Very concerned,0.06336,45,5679,0.05075,0.07837
97,97,1987,Bavaria,Urban regions,Somewhat concerned,0.29116,166,5679,0.26357,0.31797
98,98,1987,Bavaria,Urban regions,Not concerned at all,0.64548,338,5679,0.60466,0.68314
99,99,1987,Bavaria,Rural regions,Very concerned,0.08592,46,5679,0.07427,0.09971
100,100,1987,Bavaria,Rural regions,Somewhat concerned,0.36539,177,5679,0.34122,0.38594
101,101,1987,Bavaria,Rural regions,Not concerned at all,0.54869,262,5679,0.52196,0.57954
102,102,1987,Berlin,Urban regions,Very concerned,0.10864,33,5679,0.08369,0.13636
103,103,1987,Berlin,Urban regions,Somewhat concerned,0.21928,48,5679,0.18155,0.24677
104,104,1987,Berlin,Urban regions,Not concerned at all,0.67208,124,5679,0.60847,0.73445
105,105,1988,Schleswig-Holstein,Urban regions,Somewhat concerned,0.46211,33,5365,0.37726,0.55993
106,106,1988,Schleswig-Holstein,Urban regions,Not concerned at all,0.53789,46,5365,0.47148,0.618
107,107,1988,Schleswig-Holstein,Rural regions,Somewhat concerned,0.45221,40,5365,0.39224,0.50816
108,108,1988,Schleswig-Holstein,Rural regions,Not concerned at all,0.54779,45,5365,0.4804,0.62933
109,109,1988,Hamburg,Urban regions,Somewhat concerned,0.45995,37,5365,0.38534,0.53717
110,110,1988,Hamburg,Urban regions,Not concerned at all,0.54005,53,5365,0.45976,0.6257
111,111,1988,Lower Saxony,Urban regions,Very concerned,0.17474,51,5365,0.14386,0.21052
112,112,1988,Lower Saxony,Urban regions,Somewhat concerned,0.31658,97,5365,0.28072,0.35769
113,113,1988,Lower Saxony,Urban regions,Not concerned at all,0.50867,136,5365,0.46808,0.55214
114,114,1988,Lower Saxony,Rural regions,Very concerned,0.12099,39,5365,0.10048,0.14054
115,115,1988,Lower Saxony,Rural regions,Somewhat concerned,0.37554,97,5365,0.34891,0.4091
116,116,1988,Lower Saxony,Rural regions,Not concerned at all,0.50346,140,5365,0.47232,0.54078
117,117,1988,North Rhine-Westphalia,Urban regions,Very concerned,0.14722,252,5365,0.13154,0.16343
118,118,1988,North Rhine-Westphalia,Urban regions,Somewhat concerned,0.31545,465,5365,0.29807,0.33692
119,119,1988,North Rhine-Westphalia,Urban regions,Not concerned at all,0.53734,668,5365,0.51314,0.55735
120,120,1988,Hesse,Urban regions,Very concerned,0.09139,44,5365,0.07267,0.11216
121,121,1988,Hesse,Urban regions,Somewhat concerned,0.3141,156,5365,0.28056,0.35752
122,122,1988,Hesse,Urban regions,Not concerned at all,0.59451,298,5365,0.54263,0.64362
123,123,1988,"Rhineland-Palatinate, Saarland",Urban regions,Very concerned,0.1436,50,5365,0.12499,0.16178
124,124,1988,"Rhineland-Palatinate, Saarland",Urban regions,Somewhat concerned,0.32386,108,5365,0.29358,0.36222
125,125,1988,"Rhineland-Palatinate, Saarland",Urban regions,Not concerned at all,0.53254,157,5365,0.48685,0.57634
126,126,1988,Baden-Wuerttemberg,Urban regions,Very concerned,0.08363,121,5365,0.0679,0.09717
127,127,1988,Baden-Wuerttemberg,Urban regions,Somewhat concerned,0.33473,376,5365,0.30923,0.36256
128,128,1988,Baden-Wuerttemberg,Urban regions,Not concerned at all,0.58164,538,5365,0.55004,0.61146
129,129,1988,Baden-Wuerttemberg,Rural regions,Somewhat concerned,0.38386,50,5365,0.31132,0.45546
130,130,1988,Baden-Wuerttemberg,Rural regions,Not concerned at all,0.61614,82,5365,0.54547,0.69744
131,131,1988,Bavaria,Urban regions,Very concerned,0.11501,72,5365,0.09653,0.13408
132,132,1988,Bavaria,Urban regions,Somewhat concerned,0.27951,156,5365,0.24801,0.30936
133,133,1988,Bavaria,Urban regions,Not concerned at all,0.60548,291,5365,0.57555,0.6454
134,134,1988,Bavaria,Rural regions,Very concerned,0.10265,59,5365,0.08303,0.12151
135,135,1988,Bavaria,Rural regions,Somewhat concerned,0.40566,178,5365,0.37954,0.431
136,136,1988,Bavaria,Rural regions,Not concerned at all,0.49169,221,5365,0.4597,0.5274
137,137,1988,Berlin,Urban regions,Very concerned,0.11757,35,5365,0.08473,0.1502
138,138,1988,Berlin,Urban regions,Somewhat concerned,0.23874,60,5365,0.2036,0.28112
139,139,1988,Berlin,Urban regions,Not concerned at all,0.64369,114,5365,0.57658,0.71533
140,140,1989,Schleswig-Holstein,Urban regions,Somewhat concerned,0.36332,32,5282,0.28904,0.43047
141,141,1989,Schleswig-Holstein,Urban regions,Not concerned at all,0.63668,54,5282,0.54795,0.73799
142,142,1989,Schleswig-Holstein,Rural regions,Not concerned at all,1.0,43,5282,0.86486,1.10588
143,143,1989,Hamburg,Urban regions,Somewhat concerned,0.33429,36,5282,0.26784,0.4132
144,144,1989,Hamburg,Urban regions,Not concerned at all,0.66571,69,5282,0.59179,0.75841
145,145,1989,Lower Saxony,Urban regions,Very concerned,0.1243,43,5282,0.09497,0.15706
146,146,1989,Lower Saxony,Urban regions,Somewhat concerned,0.23345,70,5282,0.19995,0.26926
147,147,1989,Lower Saxony,Urban regions,Not concerned at all,0.64225,164,5282,0.59908,0.69978
148,148,1989,Lower Saxony,Rural regions,Somewhat concerned,0.33169,84,5282,0.30228,0.36189
149,149,1989,Lower Saxony,Rural regions,Not concerned at all,0.66831,159,5282,0.61587,0.71856
150,150,1989,North Rhine-Westphalia,Urban regions,Very concerned,0.09549,149,5282,0.08378,0.10605
151,151,1989,North Rhine-Westphalia,Urban regions,Somewhat concerned,0.26557,409,5282,0.24937,0.27951
152,152,1989,North Rhine-Westphalia,Urban regions,Not concerned at all,0.63893,824,5282,0.6104,0.66612
153,153,1989,Hesse,Urban regions,Somewhat concerned,0.28289,135,5282,0.24538,0.32368
154,154,1989,Hesse,Urban regions,Not concerned at all,0.71711,344,5282,0.66701,0.77562
155,155,1989,Hesse,Rural regions,Not concerned at all,1.0,35,5282,0.87068,1.14104
156,156,1989,"Rhineland-Palatinate, Saarland",Urban regions,Very concerned,0.0975,35,5282,0.08077,0.11675
157,157,1989,"Rhineland-Palatinate, Saarland",Urban regions,Somewhat concerned,0.32355,105,5282,0.29237,0.3575
158,158,1989,"Rhineland-Palatinate, Saarland",Urban regions,Not concerned at all,0.57895,188,5282,0.53541,0.62509
159,159,1989,"Rhineland-Palatinate, Saarland",Rural regions,Not concerned at all,1.0,33,5282,0.86488,1.13337
160,160,1989,Baden-Wuerttemberg,Urban regions,Very concerned,0.04959,76,5282,0.03781,0.06336
161,161,1989,Baden-Wuerttemberg,Urban regions,Somewhat concerned,0.29241,332,5282,0.26401,0.31921
162,162,1989,Baden-Wuerttemberg,Urban regions,Not concerned at all,0.65799,578,5282,0.61996,0.68939
163,163,1989,Baden-Wuerttemberg,Rural regions,Somewhat concerned,0.24372,37,5282,0.18849,0.32081
164,164,1989,Baden-Wuerttemberg,Rural regions,Not concerned at all,0.75628,103,5282,0.6523,0.84215
165,165,1989,Bavaria,Urban regions,Very concerned,0.04421,44,5282,0.03376,0.05817
166,166,1989,Bavaria,Urban regions,Somewhat concerned,0.26204,149,5282,0.23381,0.29036
167,167,1989,Bavaria,Urban regions,Not concerned at all,0.69374,310,5282,0.65943,0.73433
168,168,1989,Bavaria,Rural regions,Very concerned,0.0824,41,5282,0.06639,0.10272
169,169,1989,Bavaria,Rural regions,Somewhat concerned,0.29049,145,5282,0.26743,0.31454
170,170,1989,Bavaria,Rural regions,Not concerned at all,0.62711,267,5282,0.59424,0.66701
171,171,1989,Berlin,Urban regions,Somewhat concerned,0.26741,50,5282,0.21668,0.30938
172,172,1989,Berlin,Urban regions,Not concerned at all,0.73259,139,5282,0.65257,0.81026
173,173,1990,Schleswig-Holstein,Urban regions,Not concerned at all,1.0,57,8276,0.8584,1.13482
174,174,1990,Schleswig-Holstein,Rural regions,Not concerned at all,1.0,46,8276,0.86891,1.12942
175,175,1990,Hamburg,Urban regions,Not concerned at all,1.0,53,8276,0.87184,1.1472
176,176,1990,Lower Saxony,Urban regions,Very concerned,0.10771,35,8276,0.08037,0.1405
177,177,1990,Lower Saxony,Urban regions,Somewhat concerned,0.3432,85,8276,0.29039,0.38504
178,178,1990,Lower Saxony,Urban regions,Not concerned at all,0.54909,139,8276,0.50806,0.59639
179,179,1990,Lower Saxony,Rural regions,Somewhat concerned,0.32178,79,8276,0.28303,0.35911
180,180,1990,Lower Saxony,Rural regions,Not concerned at all,0.67822,170,8276,0.62175,0.72695
181,181,1990,North Rhine-Westphalia,Urban regions,Very concerned,0.08008,140,8276,0.06993,0.08977
182,182,1990,North Rhine-Westphalia,Urban regions,Somewhat concerned,0.26261,406,8276,0.24405,0.28191
183,183,1990,North Rhine-Westphalia,Urban regions,Not concerned at all,0.65732,816,8276,0.62964,0.68655
184,184,1990,Hesse,Urban regions,Very concerned,0.08191,36,8276,0.06482,0.10225
185,185,1990,Hesse,Urban regions,Somewhat concerned,0.26585,133,8276,0.23085,0.30389
186,186,1990,Hesse,Urban regions,Not concerned at all,0.65224,335,8276,0.58449,0.70983
187,187,1990,Hesse,Rural regions,Not concerned at all,1.0,32,8276,0.82441,1.19766
188,188,1990,"Rhineland-Palatinate, Saarland",Urban regions,Very concerned,0.09681,32,8276,0.07689,0.11826
189,189,1990,"Rhineland-Palatinate, Saarland",Urban regions,Somewhat concerned,0.31554,97,8276,0.28197,0.36645
190,190,1990,"Rhineland-Palatinate, Saarland",Urban regions,Not concerned at all,0.58764,167,8276,0.5348,0.63461
191,191,1990,Baden-Wuerttemberg,Urban regions,Very concerned,0.07325,98,8276,0.05818,0.09113
192,192,1990,Baden-Wuerttemberg,Urban regions,Somewhat concerned,0.29589,326,8276,0.27093,0.32186
193,193,1990,Baden-Wuerttemberg,Urban regions,Not concerned at all,0.63086,561,8276,0.59188,0.66738
194,194,1990,Baden-Wuerttemberg,Rural regions,Somewhat concerned,0.24508,44,8276,0.18901,0.32012
195,195,1990,Baden-Wuerttemberg,Rural regions,Not concerned at all,0.75492,91,8276,0.65532,0.84796
196,196,1990,Bavaria,Urban regions,Very concerned,0.06771,49,8276,0.05212,0.09045
197,197,1990,Bavaria,Urban regions,Somewhat concerned,0.26887,141,8276,0.23735,0.3048
198,198,1990,Bavaria,Urban regions,Not concerned at all,0.66342,288,8276,0.62256,0.70828
199,199,1990,Bavaria,Rural regions,Very concerned,0.08063,39,8276,0.06011,0.09708
200,200,1990,Bavaria,Rural regions,Somewhat concerned,0.29891,152,8276,0.27059,0.32808
201,201,1990,Bavaria,Rural regions,Not concerned at all,0.62047,280,8276,0.58458,0.65627
202,202,1990,Berlin,Urban regions,Very concerned,0.1714,95,8276,0.15057,0.18875
203,203,1990,Berlin,Urban regions,Somewhat concerned,0.31822,147,8276,0.2896,0.35033
204,204,1990,Berlin,Urban regions,Not concerned at all,0.51038,171,8276,0.464,0.56092
205,205,1990,Brandenburg,Rural regions,Very concerned,0.40751,205,8276,0.39041,0.42621
206,206,1990,Brandenburg,Rural regions,Somewhat concerned,0.43481,203,8276,0.40905,0.46262
207,207,1990,Brandenburg,Rural regions,Not concerned at all,0.15768,78,8276,0.14153,0.1731
208,208,1990,Mecklenburg-Western Pomerania,Rural regions,Very concerned,0.46111,157,8276,0.43802,0.48439
209,209,1990,Mecklenburg-Western Pomerania,Rural regions,Somewhat concerned,0.35615,132,8276,0.33167,0.38171
210,210,1990,Mecklenburg-Western Pomerania,Rural regions,Not concerned at all,0.18274,59,8276,0.16223,0.20949
211,211,1990,Saxony,Urban regions,Very concerned,0.35433,190,8276,0.33912,0.37252
212,212,1990,Saxony,Urban regions,Somewhat concerned,0.42419,220,8276,0.40943,0.44515
213,213,1990,Saxony,Urban regions,Not concerned at all,0.22148,117,8276,0.20556,0.23639
214,214,1990,Saxony,Rural regions,Very concerned,0.36429,163,8276,0.34382,0.38582
215,215,1990,Saxony,Rural regions,Somewhat concerned,0.4613,220,8276,0.44253,0.48617
216,216,1990,Saxony,Rural regions,Not concerned at all,0.17442,82,8276,0.16216,0.18418
217,217,1990,Saxony-Anhalt,Urban regions,Very concerned,0.31005,39,8276,0.27104,0.35248
218,218,1990,Saxony-Anhalt,Urban regions,Somewhat concerned,0.68995,76,8276,0.62417,0.75623
219,219,1990,Saxony-Anhalt,Rural regions,Very concerned,0.40704,204,8276,0.38851,0.42963
220,220,1990,Saxony-Anhalt,Rural regions,Somewhat concerned,0.40224,191,8276,0.37859,0.42105
221,221,1990,Saxony-Anhalt,Rural regions,Not concerned at all,0.19073,88,8276,0.17575,0.2075
222,222,1990,Thuringa,Urban regions,Very concerned,0.41156,51,8276,0.37483,0.45247
223,223,1990,Thuringa,Urban regions,Somewhat concerned,0.58844,76,8276,0.54422,0.64258
224,224,1990,Thuringa,Rural regions,Very concerned,0.42111,159,8276,0.39559,0.45057
225,225,1990,Thuringa,Rural regions,Somewhat concerned,0.38923,159,8276,0.36019,0.4204
226,226,1990,Thuringa,Rural regions,Not concerned at all,0.18966,67,8276,0.17423,0.20856
227,227,1991,Schleswig-Holstein,Urban regions,Not concerned at all,1.0,68,7825,0.87859,1.13529
228,228,1991,Schleswig-Holstein,Rural regions,Not concerned at all,1.0,54,7825,0.88903,1.12792
229,229,1991,Hamburg,Urban regions,Not concerned at all,1.0,59,7825,0.85662,1.14558
230,230,1991,Lower Saxony,Urban regions,Somewhat concerned,0.24922,66,7825,0.21088,0.2831
231,231,1991,Lower Saxony,Urban regions,Not concerned at all,0.75078,181,7825,0.69188,0.81473
232,232,1991,Lower Saxony,Rural regions,Somewhat concerned,0.22292,60,7825,0.18625,0.25282
233,233,1991,Lower Saxony,Rural regions,Not concerned at all,0.77708,195,7825,0.73267,0.82508
234,234,1991,North Rhine-Westphalia,Urban regions,Very concerned,0.05657,102,7825,0.04926,0.06499
235,235,1991,North Rhine-Westphalia,Urban regions,Somewhat concerned,0.24119,384,7825,0.22384,0.262
236,236,1991,North Rhine-Westphalia,Urban regions,Not concerned at all,0.70224,919,7825,0.67244,0.72934
237,237,1991,Hesse,Urban regions,Somewhat concerned,0.23518,119,7825,0.20477,0.2641
238,238,1991,Hesse,Urban regions,Not concerned at all,0.76482,371,7825,0.71053,0.83271
239,239,1991,Hesse,Rural regions,Not concerned at all,1.0,42,7825,0.84212,1.14907
240,240,1991,"Rhineland-Palatinate, Saarland",Urban regions,Somewhat concerned,0.28229,84,7825,0.25232,0.31621
241,241,1991,"Rhineland-Palatinate, Saarland",Urban regions,Not concerned at all,0.71771,213,7825,0.66108,0.77779
242,242,1991,"Rhineland-Palatinate, Saarland",Rural regions,Not concerned at all,1.0,34,7825,0.8706,1.15005
243,243,1991,Baden-Wuerttemberg,Urban regions,Very concerned,0.05367,71,7825,0.03999,0.06693
244,244,1991,Baden-Wuerttemberg,Urban regions,Somewhat concerned,0.23515,271,7825,0.21163,0.2621
245,245,1991,Baden-Wuerttemberg,Urban regions,Not concerned at all,0.71118,670,7825,0.67645,0.75216
246,246,1991,Baden-Wuerttemberg,Rural regions,Somewhat concerned,0.27098,35,7825,0.20466,0.3342
247,247,1991,Baden-Wuerttemberg,Rural regions,Not concerned at all,0.72902,104,7825,0.6571,0.81999
248,248,1991,Bavaria,Urban regions,Very concerned,0.0528,33,7825,0.03936,0.06953
249,249,1991,Bavaria,Urban regions,Somewhat concerned,0.22766,124,7825,0.19573,0.25746
250,250,1991,Bavaria,Urban regions,Not concerned at all,0.71955,332,7825,0.66957,0.7677
251,251,1991,Bavaria,Rural regions,Somewhat concerned,0.30969,151,7825,0.27889,0.34382
252,252,1991,Bavaria,Rural regions,Not concerned at all,0.69031,321,7825,0.65111,0.73198
253,253,1991,Berlin,Urban regions,Very concerned,0.19285,97,7825,0.17049,0.21204
254,254,1991,Berlin,Urban regions,Somewhat concerned,0.27,109,7825,0.23841,0.29729
255,255,1991,Berlin,Urban regions,Not concerned at all,0.53715,172,7825,0.48782,0.58715
256,256,1991,Brandenburg,Rural regions,Very concerned,0.53266,208,7825,0.50286,0.56312
257,257,1991,Brandenburg,Rural regions,Somewhat concerned,0.307,127,7825,0.28597,0.3342
258,258,1991,Brandenburg,Rural regions,Not concerned at all,0.16033,64,7825,0.14043,0.18321
259,259,1991,Mecklenburg-Western Pomerania,Rural regions,Very concerned,0.45744,121,7825,0.42783,0.49489
260,260,1991,Mecklenburg-Western Pomerania,Rural regions,Somewhat concerned,0.36695,99,7825,0.33849,0.40514
261,261,1991,Mecklenburg-Western Pomerania,Rural regions,Not concerned at all,0.17561,50,7825,0.15464,0.20192
262,262,1991,Saxony,Urban regions,Very concerned,0.418,162,7825,0.39043,0.45048
263,263,1991,Saxony,Urban regions,Somewhat concerned,0.39236,157,7825,0.36633,0.42404
264,264,1991,Saxony,Urban regions,Not concerned at all,0.18964,83,7825,0.17193,0.20893
265,265,1991,Saxony,Rural regions,Very concerned,0.53355,187,7825,0.49945,0.57066
266,266,1991,Saxony,Rural regions,Somewhat concerned,0.32942,141,7825,0.30641,0.35549
267,267,1991,Saxony,Rural regions,Not concerned at all,0.13703,54,7825,0.12461,0.15077
268,268,1991,Saxony-Anhalt,Urban regions,Very concerned,0.61407,58,7825,0.50305,0.77214
269,269,1991,Saxony-Anhalt,Urban regions,Somewhat concerned,0.38593,52,7825,0.35017,0.42919
270,270,1991,Saxony-Anhalt,Rural regions,Very concerned,0.49156,196,7825,0.46244,0.5216
271,271,1991,Saxony-Anhalt,Rural regions,Somewhat concerned,0.33256,137,7825,0.31042,0.36082
272,272,1991,Saxony-Anhalt,Rural regions,Not concerned at all,0.17587,72,7825,0.14777,0.20646
273,273,1991,Thuringa,Urban regions,Very concerned,0.505,54,7825,0.43556,0.58105
274,274,1991,Thuringa,Urban regions,Somewhat concerned,0.495,51,7825,0.43271,0.56926
275,275,1991,Thuringa,Rural regions,Very concerned,0.42337,130,7825,0.38736,0.46079
276,276,1991,Thuringa,Rural regions,Somewhat concerned,0.37526,119,7825,0.34279,0.40912
277,277,1991,Thuringa,Rural regions,Not concerned at all,0.20137,62,7825,0.16896,0.23746
