year,sampreg,sex,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,East,male,Never,0.04347,96,2629,0.03568,0.05127
2019,East,female,Daily,0.06930,226,2893,0.06004,0.07855
2019,East,female,At least once per week,0.38697,1102,2893,0.36922,0.40472
2019,East,female,At least once per month,0.31537,950,2893,0.29844,0.33231
2019,East,female,Seldom,0.20418,554,2893,0.18949,0.21888
2019,East,female,Never,0.02417,61,2893,0.01858,0.02977
2021,West,male,Daily,0.06666,403,6396,0.06055,0.07277
2021,West,male,At least once per week,0.38971,2425,6396,0.37776,0.40166
2021,West,male,At least once per month,0.29808,1870,6396,0.28687,0.30929
2021,West,male,Seldom,0.21660,1448,6396,0.20651,0.22670
2021,West,male,Never,0.02894,250,6396,0.02483,0.03305
2021,West,female,Daily,0.10351,608,7163,0.09646,0.11057
2021,West,female,At least once per week,0.39182,2889,7163,0.38051,0.40312
2021,West,female,At least once per month,0.25912,1818,7163,0.24898,0.26927
2021,West,female,Seldom,0.20946,1580,7163,0.20003,0.21888
2021,West,female,Never,0.03609,268,7163,0.03177,0.04040
2021,East,male,Daily,0.07663,127,1680,0.06390,0.08935
2021,East,male,At least once per week,0.41347,667,1680,0.38992,0.43703
2021,East,male,At least once per month,0.29416,506,1680,0.27236,0.31595
2021,East,male,Seldom,0.19242,337,1680,0.17357,0.21128
2021,East,male,Never,0.02332,43,1680,0.01610,0.03054
2021,East,female,Daily,0.10269,187,1935,0.08916,0.11622
2021,East,female,At least once per week,0.41180,831,1935,0.38987,0.43374
2021,East,female,At least once per month,0.29425,539,1935,0.27394,0.31456
2021,East,female,Seldom,0.17212,332,1935,0.15530,0.18895
2021,East,female,Never,0.01913,46,1935,0.01302,0.02523
