year,pgisced97,sampreg,pli0081,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,Pre-primary Level,East,At least once per month,0.4658245507058746,74,21594,0.4639529471661924,0.46769615424555677
2003,Pre-primary Level,East,Seldom,0.2738863861685916,35,21594,0.27221318475986056,0.2755595875773227
2003,Primary Level,West,Daily,0.11288681303201765,41,21594,0.11220545423827802,0.11356817182575729
2003,Primary Level,West,At least once per week,0.4771781293102474,110,21594,0.4761026999719232,0.47825355864857155
2003,Primary Level,West,At least once per month,0.2157973627176659,43,21594,0.2149116314885963,0.2166830939467355
2003,Primary Level,West,Seldom,0.1941376949400691,46,21594,0.19328606661639575,0.19498932326374246
2003,Lower Secondary Level,West,Daily,0.11027391575578466,262,21594,0.11006215404997796,0.11048567746159135
2003,Lower Secondary Level,West,At least once per week,0.4293543834137668,1011,21594,0.4290197463350485,0.4296890204924851
2003,Lower Secondary Level,West,At least once per month,0.2303554401207581,547,21594,0.23007077962228503,0.23064010061923115
2003,Lower Secondary Level,West,Seldom,0.18893063793773932,411,21594,0.1886659933231762,0.18919528255230242
2003,Lower Secondary Level,West,Never,0.04108562277195119,80,21594,0.040951433523908905,0.04121981201999348
2003,Lower Secondary Level,East,Daily,0.10541314365490531,37,21594,0.10482337206891754,0.10600291524089309
2003,Lower Secondary Level,East,At least once per week,0.337846298689679,140,21594,0.33693792573703973,0.3387546716423183
2003,Lower Secondary Level,East,At least once per month,0.31977560875819916,122,21594,0.3188798852473048,0.3206713322690935
2003,Lower Secondary Level,East,Seldom,0.23696494889721653,90,21594,0.2361482922412906,0.23778160555314246
2003,Upper Secondary Level,West,Daily,0.07024221399137007,600,21594,0.07014836730098943,0.0703360606817507
2003,Upper Secondary Level,West,At least once per week,0.40620644749192725,3440,21594,0.4060260933591746,0.4063868016246799
2003,Upper Secondary Level,West,At least once per month,0.2894952299392132,2423,21594,0.28932868204019113,0.2896617778382352
2003,Upper Secondary Level,West,Seldom,0.20419013582439396,1575,21594,0.20404210335241743,0.2043381682963705
2003,Upper Secondary Level,West,Never,0.029865972753095577,203,21594,0.02980346424199189,0.029928481264199263
2003,Upper Secondary Level,East,Daily,0.07493202860515533,206,21594,0.07473888952469425,0.0751251676856164
2003,Upper Secondary Level,East,At least once per week,0.40283704621943905,1127,21594,0.4024772465813626,0.40319684585751553
2003,Upper Secondary Level,East,At least once per month,0.32401434637897425,932,21594,0.323671025313696,0.3243576674442525
2003,Upper Secondary Level,East,Seldom,0.17627298312814213,483,21594,0.17599344945952092,0.17655251679676334
2003,Upper Secondary Level,East,Never,0.021943595668289254,46,21594,0.021836126116224954,0.022051065220353553
2003,Post-secondary Non-tertiary Level,West,Daily,0.060881793299830955,51,21594,0.06062109093843468,0.06114249566122723
2003,Post-secondary Non-tertiary Level,West,At least once per week,0.4217611358707619,416,21594,0.42122270737718215,0.4222995643643417
2003,Post-secondary Non-tertiary Level,West,At least once per month,0.3189001295791962,317,21594,0.318392000717708,0.31940825844068443
2003,Post-secondary Non-tertiary Level,West,Seldom,0.19845694125021088,196,21594,0.19802209303475424,0.19889178946566752
2003,Post-secondary Non-tertiary Level,East,At least once per week,0.5552811581152167,62,21594,0.5532411872664473,0.5573211289639861
2003,Post-secondary Non-tertiary Level,East,At least once per month,0.44471884188478333,51,21594,0.442678871036014,0.44675881273355267
2003,First Stage of Tertiary Education,West,Daily,0.07069839128661291,92,21594,0.07044441021544401,0.07095237235778182
2003,First Stage of Tertiary Education,West,At least once per week,0.42883652738319294,486,21594,0.4283461342975797,0.4293269204688062
