year,regtyp,plh0184,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2020,Urban regions,Sometimes,0.33300,6628,16985,0.32591,0.34008
2020,Urban regions,Often,0.13678,2829,16985,0.13161,0.14195
2020,Urban regions,Very often,0.03290,703,16985,0.03021,0.03558
2020,Rural regions,Very seldom,0.08110,1005,8633,0.07534,0.08685
2020,Rural regions,Seldom,0.22587,2386,8633,0.21705,0.23469
2020,Rural regions,Sometimes,0.34860,3512,8633,0.33854,0.35865
2020,Rural regions,Often,0.13512,1402,8633,0.12790,0.14233
2020,Rural regions,Very often,0.03539,328,8633,0.03149,0.03929
2021,Urban regions,Very seldom,0.10922,1559,11386,0.10349,0.11494
2021,Urban regions,Seldom,0.25200,3588,11386,0.24402,0.25997
2021,Urban regions,Sometimes,0.30203,4148,11386,0.29359,0.31046
2021,Urban regions,Often,0.12330,1647,11386,0.11726,0.12934
2021,Urban regions,Very often,0.03106,444,11386,0.02787,0.03425
2021,Rural regions,Very seldom,0.11049,817,5799,0.10242,0.11856
2021,Rural regions,Seldom,0.25468,1833,5799,0.24347,0.26590
2021,Rural regions,Sometimes,0.29744,2027,5799,0.28567,0.30920
2021,Rural regions,Often,0.12811,886,5799,0.11951,0.13671
2021,Rural regions,Very often,0.04019,236,5799,0.03513,0.04524
