year,age_gr,bula_h,plh0184,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,46-65 y.,North Rhine-Westphalia,Sometimes,0.40291,582,1413,0.37732,0.42849
2007,46-65 y.,North Rhine-Westphalia,Often,0.20783,255,1413,0.18666,0.22899
2007,46-65 y.,North Rhine-Westphalia,Very often,0.05252,76,1413,0.04089,0.06416
2007,46-65 y.,Hesse,Very seldom,0.08499,46,471,0.05978,0.11021
2007,46-65 y.,Hesse,Seldom,0.19106,93,471,0.15551,0.22660
2007,46-65 y.,Hesse,Sometimes,0.43425,227,471,0.38944,0.47906
2007,46-65 y.,Hesse,Often,0.23609,105,471,0.19769,0.27448
2007,46-65 y.,"Rhineland-Palatinate, Saarland",Very seldom,0.09467,35,374,0.06496,0.12438
2007,46-65 y.,"Rhineland-Palatinate, Saarland",Seldom,0.21770,92,374,0.17582,0.25959
2007,46-65 y.,"Rhineland-Palatinate, Saarland",Sometimes,0.39947,160,374,0.34976,0.44917
2007,46-65 y.,"Rhineland-Palatinate, Saarland",Often,0.21423,87,374,0.17259,0.25586
2007,46-65 y.,Baden-Wuerttemberg,Very seldom,0.06822,57,810,0.05084,0.08559
2007,46-65 y.,Baden-Wuerttemberg,Seldom,0.18967,159,810,0.16265,0.21668
2007,46-65 y.,Baden-Wuerttemberg,Sometimes,0.45065,370,810,0.41637,0.48494
2007,46-65 y.,Baden-Wuerttemberg,Often,0.23098,175,810,0.20194,0.26002
2007,46-65 y.,Baden-Wuerttemberg,Very often,0.05542,49,810,0.03966,0.07119
2007,46-65 y.,Bavaria,Very seldom,0.09937,105,1015,0.08095,0.11778
2007,46-65 y.,Bavaria,Seldom,0.22243,241,1015,0.19683,0.24802
2007,46-65 y.,Bavaria,Sometimes,0.44567,457,1015,0.41508,0.47627
2007,46-65 y.,Bavaria,Often,0.18309,172,1015,0.15929,0.20690
2007,46-65 y.,Bavaria,Very often,0.04302,40,1015,0.03053,0.05551
2007,46-65 y.,Berlin,Seldom,0.20559,63,286,0.15867,0.25251
2007,46-65 y.,Berlin,Sometimes,0.36905,117,286,0.31302,0.42507
2007,46-65 y.,Berlin,Often,0.26544,71,286,0.21418,0.31671
2007,46-65 y.,Berlin,Very often,0.11187,35,286,0.07528,0.14847
2007,46-65 y.,Brandenburg,Seldom,0.23694,68,251,0.18423,0.28965
2007,46-65 y.,Brandenburg,Sometimes,0.46730,127,251,0.40545,0.52914
2007,46-65 y.,Brandenburg,Often,0.16542,56,251,0.11936,0.21148
2007,46-65 y.,Mecklenburg-Western Pomerania,Seldom,0.22079,51,172,0.15862,0.28296
2007,46-65 y.,Mecklenburg-Western Pomerania,Sometimes,0.45393,78,172,0.37930,0.52855
2007,46-65 y.,Mecklenburg-Western Pomerania,Often,0.24228,43,172,0.17806,0.30650
2007,46-65 y.,Saxony,Seldom,0.18719,110,514,0.15344,0.22095
2007,46-65 y.,Saxony,Sometimes,0.45791,251,514,0.41480,0.50103
2007,46-65 y.,Saxony,Often,0.24797,118,514,0.21060,0.28534
2007,46-65 y.,Saxony,Very often,0.06358,35,514,0.04247,0.08470
2007,46-65 y.,Saxony-Anhalt,Seldom,0.21708,64,271,0.16790,0.26625
2007,46-65 y.,Saxony-Anhalt,Sometimes,0.35014,127,271,0.29324,0.40703
2007,46-65 y.,Saxony-Anhalt,Often,0.25469,80,271,0.20272,0.30666
2007,46-65 y.,Thuringa,Seldom,0.26928,70,260,0.21526,0.32330
2007,46-65 y.,Thuringa,Sometimes,0.39272,127,260,0.33324,0.45220
2007,46-65 y.,Thuringa,Often,0.20554,63,260,0.15633,0.25476
2007,66 and older,Schleswig-Holstein,Very seldom,0.29528,43,130,0.21656,0.37400
2007,66 and older,Schleswig-Holstein,Seldom,0.31458,42,130,0.23445,0.39471
2007,66 and older,Schleswig-Holstein,Sometimes,0.33351,45,130,0.25215,0.41487
2007,66 and older,Lower Saxony,Very seldom,0.21255,82,414,0.17309,0.25201
2007,66 and older,Lower Saxony,Seldom,0.31960,144,414,0.27462,0.36457
2007,66 and older,Lower Saxony,Sometimes,0.34594,142,414,0.30007,0.39182
2007,66 and older,Lower Saxony,Often,0.10633,46,414,0.07660,0.13606
2007,66 and older,North Rhine-Westphalia,Very seldom,0.21969,201,899,0.19261,0.24678
2007,66 and older,North Rhine-Westphalia,Seldom,0.27313,264,899,0.24399,0.30227
2007,66 and older,North Rhine-Westphalia,Sometimes,0.38559,350,899,0.35376,0.41743
2007,66 and older,North Rhine-Westphalia,Often,0.09127,84,899,0.07244,0.11011
2007,66 and older,Hesse,Very seldom,0.22174,54,251,0.17025,0.27324
2007,66 and older,Hesse,Seldom,0.23631,73,251,0.18365,0.28897
2007,66 and older,Hesse,Sometimes,0.37819,93,251,0.31807,0.43830
2007,66 and older,Hesse,Often,0.11360,31,251,0.07427,0.15294
2007,66 and older,"Rhineland-Palatinate, Saarland",Very seldom,0.34149,84,243,0.28174,0.40123
2007,66 and older,"Rhineland-Palatinate, Saarland",Seldom,0.24808,60,243,0.19367,0.30250
2007,66 and older,"Rhineland-Palatinate, Saarland",Sometimes,0.24494,68,243,0.19075,0.29912
2007,66 and older,"Rhineland-Palatinate, Saarland",Often,0.11909,31,243,0.07828,0.15990
2007,66 and older,Baden-Wuerttemberg,Very seldom,0.13034,59,454,0.09933,0.16134
2007,66 and older,Baden-Wuerttemberg,Seldom,0.30418,151,454,0.26181,0.34654
2007,66 and older,Baden-Wuerttemberg,Sometimes,0.42023,185,454,0.37477,0.46568
2007,66 and older,Baden-Wuerttemberg,Often,0.10946,59,454,0.08071,0.13821
2007,66 and older,Bavaria,Very seldom,0.17593,104,578,0.14486,0.20699
2007,66 and older,Bavaria,Seldom,0.31556,187,578,0.27764,0.35348
2007,66 and older,Bavaria,Sometimes,0.39246,232,578,0.35262,0.43230
2007,66 and older,Bavaria,Often,0.08993,55,578,0.06659,0.11327
2007,66 and older,Berlin,Seldom,0.26453,31,85,0.17020,0.35886
2007,66 and older,Berlin,Sometimes,0.39144,54,85,0.28706,0.49581
2007,66 and older,Brandenburg,Seldom,0.28978,69,194,0.22578,0.35379
2007,66 and older,Brandenburg,Sometimes,0.36814,85,194,0.30010,0.43619
2007,66 and older,Brandenburg,Often,0.21146,40,194,0.15384,0.26907
2007,66 and older,Mecklenburg-Western Pomerania,Sometimes,0.37594,38,38,0.21987,0.53201
2007,66 and older,Saxony,Very seldom,0.16962,47,309,0.12770,0.21153
2007,66 and older,Saxony,Seldom,0.29508,93,309,0.24415,0.34602
2007,66 and older,Saxony,Sometimes,0.33703,115,309,0.28424,0.38982
2007,66 and older,Saxony,Often,0.16892,54,309,0.12708,0.21077
2007,66 and older,Saxony-Anhalt,Very seldom,0.18589,34,157,0.12484,0.24694
2007,66 and older,Saxony-Anhalt,Seldom,0.19667,39,157,0.13429,0.25904
2007,66 and older,Saxony-Anhalt,Sometimes,0.44727,84,157,0.36925,0.52530
2007,66 and older,Thuringa,Very seldom,0.18700,35,205,0.13349,0.24050
2007,66 and older,Thuringa,Seldom,0.29435,63,205,0.23181,0.35690
2007,66 and older,Thuringa,Sometimes,0.32823,75,205,0.26379,0.39266
2007,66 and older,Thuringa,Often,0.16223,32,205,0.11164,0.21282
2008,17-29 y.,Schleswig-Holstein,Sometimes,0.47703,41,41,0.32224,0.63182
2008,17-29 y.,Lower Saxony,Seldom,0.22088,63,231,0.16726,0.27449
2008,17-29 y.,Lower Saxony,Sometimes,0.32591,106,231,0.26534,0.38649
2008,17-29 y.,Lower Saxony,Often,0.23734,62,231,0.18235,0.29232
2008,17-29 y.,North Rhine-Westphalia,Very seldom,0.10561,68,574,0.08044,0.13077
2008,17-29 y.,North Rhine-Westphalia,Seldom,0.19783,131,574,0.16521,0.23045
2008,17-29 y.,North Rhine-Westphalia,Sometimes,0.38672,251,574,0.34684,0.42659
2008,17-29 y.,North Rhine-Westphalia,Often,0.19854,124,574,0.16588,0.23120
2008,17-29 y.,Hesse,Seldom,0.23134,44,164,0.16661,0.29608
2008,17-29 y.,Hesse,Sometimes,0.36358,82,164,0.28973,0.43743
2008,17-29 y.,Hesse,Often,0.15154,38,164,0.09649,0.20659
2008,17-29 y.,"Rhineland-Palatinate, Saarland",Sometimes,0.39597,69,104,0.30152,0.49042
2008,17-29 y.,"Rhineland-Palatinate, Saarland",Often,0.20560,35,104,0.12755,0.28365
2008,17-29 y.,Baden-Wuerttemberg,Seldom,0.29640,160,400,0.25159,0.34121
2008,17-29 y.,Baden-Wuerttemberg,Sometimes,0.36894,159,400,0.32160,0.41629
2008,17-29 y.,Baden-Wuerttemberg,Often,0.17183,81,400,0.13481,0.20884
2008,17-29 y.,Bavaria,Seldom,0.18398,87,378,0.14486,0.22309
2008,17-29 y.,Bavaria,Sometimes,0.48216,200,378,0.43172,0.53260
2008,17-29 y.,Bavaria,Often,0.17756,91,378,0.13899,0.21614
2008,17-29 y.,Berlin,Sometimes,0.44597,68,68,0.32694,0.56499
2008,17-29 y.,Brandenburg,Sometimes,0.49404,54,87,0.38837,0.59971
2008,17-29 y.,Brandenburg,Often,0.24568,33,87,0.15470,0.33667
2008,17-29 y.,Mecklenburg-Western Pomerania,Sometimes,0.35527,35,35,0.19439,0.51614
2008,17-29 y.,Saxony,Seldom,0.24100,58,221,0.18448,0.29752
2008,17-29 y.,Saxony,Sometimes,0.42238,114,221,0.35711,0.48765
2008,17-29 y.,Saxony,Often,0.20643,49,221,0.15295,0.25991
2008,17-29 y.,Saxony-Anhalt,Seldom,0.17265,35,107,0.10070,0.24460
2008,17-29 y.,Saxony-Anhalt,Sometimes,0.47803,72,107,0.38294,0.57313
2008,17-29 y.,Thuringa,Sometimes,0.50108,78,78,0.38940,0.61276
2008,30-45 y.,Schleswig-Holstein,Sometimes,0.36245,50,81,0.25711,0.46779
2008,30-45 y.,Schleswig-Holstein,Often,0.30468,31,81,0.20382,0.40554
2008,30-45 y.,Lower Saxony,Seldom,0.17176,91,457,0.13714,0.20638
2008,30-45 y.,Lower Saxony,Sometimes,0.41576,197,457,0.37052,0.46099
2008,30-45 y.,Lower Saxony,Often,0.29506,137,457,0.25320,0.33692
2008,30-45 y.,Lower Saxony,Very often,0.05657,32,457,0.03537,0.07778
2008,30-45 y.,North Rhine-Westphalia,Very seldom,0.08753,100,1103,0.07084,0.10421
2008,30-45 y.,North Rhine-Westphalia,Seldom,0.23036,250,1103,0.20550,0.25522
2008,30-45 y.,North Rhine-Westphalia,Sometimes,0.40850,465,1103,0.37947,0.43752
2008,30-45 y.,North Rhine-Westphalia,Often,0.22425,234,1103,0.19963,0.24888
2008,30-45 y.,North Rhine-Westphalia,Very often,0.04937,54,1103,0.03658,0.06216
2008,30-45 y.,Hesse,Seldom,0.15718,58,332,0.11797,0.19639
2008,30-45 y.,Hesse,Sometimes,0.43327,167,332,0.37989,0.48666
2008,30-45 y.,Hesse,Often,0.28205,107,332,0.23357,0.33053
2008,30-45 y.,"Rhineland-Palatinate, Saarland",Seldom,0.15182,48,240,0.10633,0.19732
2008,30-45 y.,"Rhineland-Palatinate, Saarland",Sometimes,0.42838,128,240,0.36564,0.49112
2008,30-45 y.,"Rhineland-Palatinate, Saarland",Often,0.26853,64,240,0.21234,0.32472
2008,30-45 y.,Baden-Wuerttemberg,Very seldom,0.05093,36,666,0.03422,0.06764
2008,30-45 y.,Baden-Wuerttemberg,Seldom,0.24964,155,666,0.21675,0.28254
2008,30-45 y.,Baden-Wuerttemberg,Sometimes,0.43399,284,666,0.39632,0.47166
2008,30-45 y.,Baden-Wuerttemberg,Often,0.19785,150,666,0.16757,0.22813
2008,30-45 y.,Baden-Wuerttemberg,Very often,0.06758,41,666,0.04850,0.08666
2008,30-45 y.,Bavaria,Seldom,0.18486,156,766,0.15735,0.21237
2008,30-45 y.,Bavaria,Sometimes,0.47193,375,766,0.43655,0.50731
2008,30-45 y.,Bavaria,Often,0.24976,186,766,0.21909,0.28044
2008,30-45 y.,Bavaria,Very often,0.06237,49,766,0.04524,0.07951
2008,30-45 y.,Berlin,Sometimes,0.42937,69,107,0.33513,0.52360
2008,30-45 y.,Berlin,Often,0.21337,38,107,0.13538,0.29136
2008,30-45 y.,Brandenburg,Seldom,0.21623,37,169,0.15398,0.27848
2008,30-45 y.,Brandenburg,Sometimes,0.47861,88,169,0.40307,0.55415
2008,30-45 y.,Brandenburg,Often,0.18124,44,169,0.12299,0.23949
2008,30-45 y.,Mecklenburg-Western Pomerania,Sometimes,0.44848,55,55,0.31583,0.58113
2008,30-45 y.,Saxony,Seldom,0.17150,66,333,0.13095,0.21205
2008,30-45 y.,Saxony,Sometimes,0.44608,178,333,0.39261,0.49955
2008,30-45 y.,Saxony,Often,0.29318,89,333,0.24421,0.34214
2008,30-45 y.,Saxony-Anhalt,Seldom,0.14545,33,136,0.08598,0.20493
2008,30-45 y.,Saxony-Anhalt,Sometimes,0.57077,103,136,0.48727,0.65426
2008,30-45 y.,Thuringa,Seldom,0.13104,31,191,0.08306,0.17902
2008,30-45 y.,Thuringa,Sometimes,0.49562,104,191,0.42452,0.56671
2008,30-45 y.,Thuringa,Often,0.26290,56,191,0.20030,0.32549
2008,46-65 y.,Schleswig-Holstein,Very seldom,0.15715,34,163,0.10111,0.21320
2008,46-65 y.,Schleswig-Holstein,Seldom,0.32217,60,163,0.25021,0.39414
2008,46-65 y.,Schleswig-Holstein,Sometimes,0.34429,69,163,0.27112,0.41746
2008,46-65 y.,Hamburg,Sometimes,0.43010,43,43,0.28037,0.57984
2008,46-65 y.,Lower Saxony,Very seldom,0.09072,51,560,0.06691,0.11453
2008,46-65 y.,Lower Saxony,Seldom,0.24156,143,560,0.20607,0.27704
2008,46-65 y.,Lower Saxony,Sometimes,0.47186,247,560,0.43048,0.51325
2008,46-65 y.,Lower Saxony,Often,0.13076,87,560,0.10281,0.15871
2008,46-65 y.,Lower Saxony,Very often,0.06412,32,560,0.04381,0.08442
2008,46-65 y.,North Rhine-Westphalia,Very seldom,0.11679,156,1326,0.09949,0.13408
2008,46-65 y.,North Rhine-Westphalia,Seldom,0.24731,325,1326,0.22407,0.27054
2008,46-65 y.,North Rhine-Westphalia,Sometimes,0.42776,574,1326,0.40112,0.45440
2008,46-65 y.,North Rhine-Westphalia,Often,0.15803,212,1326,0.13838,0.17767
2008,46-65 y.,North Rhine-Westphalia,Very often,0.04713,59,1326,0.03572,0.05854
2008,46-65 y.,Hesse,Very seldom,0.08151,39,457,0.05639,0.10662
2008,46-65 y.,Hesse,Seldom,0.22003,118,457,0.18201,0.25805
2008,46-65 y.,Hesse,Sometimes,0.41265,205,457,0.36746,0.45783
2008,46-65 y.,Hesse,Often,0.23181,95,457,0.19308,0.27055
2008,46-65 y.,"Rhineland-Palatinate, Saarland",Very seldom,0.10282,45,391,0.07268,0.13297
2008,46-65 y.,"Rhineland-Palatinate, Saarland",Seldom,0.24609,107,391,0.20334,0.28884
2008,46-65 y.,"Rhineland-Palatinate, Saarland",Sometimes,0.41880,175,391,0.36983,0.46777
2008,46-65 y.,"Rhineland-Palatinate, Saarland",Often,0.15488,64,391,0.11897,0.19079
2008,46-65 y.,Baden-Wuerttemberg,Very seldom,0.06375,55,737,0.04610,0.08140
2008,46-65 y.,Baden-Wuerttemberg,Seldom,0.25038,191,737,0.21908,0.28168
2008,46-65 y.,Baden-Wuerttemberg,Sometimes,0.42523,335,737,0.38951,0.46095
2008,46-65 y.,Baden-Wuerttemberg,Often,0.22370,156,737,0.19359,0.25381
2008,46-65 y.,Bavaria,Very seldom,0.09343,80,956,0.07497,0.11188
2008,46-65 y.,Bavaria,Seldom,0.19641,218,956,0.17122,0.22161
2008,46-65 y.,Bavaria,Sometimes,0.47358,441,956,0.44192,0.50525
2008,46-65 y.,Bavaria,Often,0.19354,177,956,0.16848,0.21860
2008,46-65 y.,Bavaria,Very often,0.04035,40,956,0.02787,0.05283
2008,46-65 y.,Berlin,Seldom,0.16822,54,250,0.12176,0.21468
2008,46-65 y.,Berlin,Sometimes,0.46034,131,250,0.39843,0.52225
2008,46-65 y.,Berlin,Often,0.24453,65,250,0.19114,0.29792
2008,46-65 y.,Brandenburg,Seldom,0.21208,58,243,0.16058,0.26359
2008,46-65 y.,Brandenburg,Sometimes,0.50531,129,243,0.44232,0.56831
2008,46-65 y.,Brandenburg,Often,0.16133,56,243,0.11498,0.20767
2008,46-65 y.,Mecklenburg-Western Pomerania,Seldom,0.22281,43,170,0.16007,0.28555
2008,46-65 y.,Mecklenburg-Western Pomerania,Sometimes,0.46966,88,170,0.39441,0.54490
2008,46-65 y.,Mecklenburg-Western Pomerania,Often,0.20000,39,170,0.13969,0.26030
2008,46-65 y.,Saxony,Seldom,0.22189,119,460,0.18387,0.25990
2008,46-65 y.,Saxony,Sometimes,0.46913,244,460,0.42348,0.51479
2008,46-65 y.,Saxony,Often,0.22358,97,460,0.18547,0.26170
2008,46-65 y.,Saxony-Anhalt,Seldom,0.21586,68,253,0.16506,0.26665
2008,46-65 y.,Saxony-Anhalt,Sometimes,0.45853,125,253,0.39701,0.52005
2008,46-65 y.,Saxony-Anhalt,Often,0.20177,60,253,0.15222,0.25132
2008,46-65 y.,Thuringa,Seldom,0.26127,73,254,0.20713,0.31540
2008,46-65 y.,Thuringa,Sometimes,0.33592,108,254,0.27772,0.39412
2008,46-65 y.,Thuringa,Often,0.24809,73,254,0.19487,0.30131
2008,66 and older,Schleswig-Holstein,Very seldom,0.19336,31,126,0.12413,0.26260
2008,66 and older,Schleswig-Holstein,Seldom,0.45451,57,126,0.36722,0.54180
2008,66 and older,Schleswig-Holstein,Sometimes,0.23290,38,126,0.15880,0.30699
2008,66 and older,Lower Saxony,Very seldom,0.21811,97,418,0.17847,0.25775
2008,66 and older,Lower Saxony,Seldom,0.25936,121,418,0.21729,0.30142
2008,66 and older,Lower Saxony,Sometimes,0.42036,163,418,0.37298,0.46774
2008,66 and older,Lower Saxony,Often,0.08156,37,418,0.05529,0.10783
2008,66 and older,North Rhine-Westphalia,Very seldom,0.18273,176,874,0.15710,0.20837
2008,66 and older,North Rhine-Westphalia,Seldom,0.29143,272,874,0.26128,0.32157
2008,66 and older,North Rhine-Westphalia,Sometimes,0.39767,341,874,0.36520,0.43013
2008,66 and older,North Rhine-Westphalia,Often,0.10623,85,874,0.08579,0.12667
2008,66 and older,Hesse,Very seldom,0.19978,47,248,0.14992,0.24965
2008,66 and older,Hesse,Seldom,0.27560,78,248,0.21988,0.33132
2008,66 and older,Hesse,Sometimes,0.37423,92,248,0.31388,0.43458
2008,66 and older,Hesse,Often,0.11521,31,248,0.07540,0.15503
2008,66 and older,"Rhineland-Palatinate, Saarland",Very seldom,0.28151,66,211,0.22068,0.34234
2008,66 and older,"Rhineland-Palatinate, Saarland",Seldom,0.27797,67,211,0.21738,0.33856
2008,66 and older,"Rhineland-Palatinate, Saarland",Sometimes,0.30223,78,211,0.24012,0.36435
2008,66 and older,Baden-Wuerttemberg,Very seldom,0.14023,61,466,0.10867,0.17179
2008,66 and older,Baden-Wuerttemberg,Seldom,0.38355,187,466,0.33935,0.42774
2008,66 and older,Baden-Wuerttemberg,Sometimes,0.32601,164,466,0.28341,0.36862
2008,66 and older,Baden-Wuerttemberg,Often,0.10846,54,466,0.08020,0.13673
2008,66 and older,Bavaria,Very seldom,0.14794,80,557,0.11843,0.17745
