year,sampreg,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,East,Yes,0.51771,1564,2764,0.49908,0.53634
2002,East,No,0.44965,1200,2764,0.43110,0.46820
2003,West,Yes,0.76740,7179,8826,0.75858,0.77621
2003,West,No,0.20937,1647,8826,0.20088,0.21786
2003,East,Yes,0.53318,1569,2722,0.51444,0.55193
2003,East,No,0.43562,1153,2722,0.41699,0.45425
2004,West,Yes,0.77117,7056,8593,0.76228,0.78005
2004,West,No,0.20336,1537,8593,0.19485,0.21187
2004,East,Yes,0.54429,1582,2682,0.52544,0.56314
2004,East,No,0.42247,1100,2682,0.40378,0.44117
2005,West,Yes,0.80258,7031,8493,0.79412,0.81105
2005,West,No,0.19455,1462,8493,0.18613,0.20297
2005,East,Yes,0.57591,1615,2683,0.55720,0.59461
2005,East,No,0.41750,1068,2683,0.39883,0.43616
2006,West,Yes,0.80176,7763,9325,0.79367,0.80986
2006,West,No,0.19613,1562,9325,0.18807,0.20419
2006,East,Yes,0.59333,1795,2924,0.57552,0.61113
2006,East,No,0.40462,1129,2924,0.38683,0.42242
2007,West,Yes,0.81759,7312,8677,0.80947,0.82572
2007,West,No,0.17958,1365,8677,0.17150,0.18766
2007,East,Yes,0.60124,1721,2757,0.58296,0.61952
2007,East,No,0.39791,1036,2757,0.37963,0.41618
2008,West,Yes,0.82260,6913,8160,0.81431,0.83089
2008,West,No,0.17550,1247,8160,0.16725,0.18375
2008,East,Yes,0.63144,1712,2650,0.61306,0.64981
2008,East,No,0.36823,938,2650,0.34986,0.38660
2009,West,Yes,0.82997,6476,7617,0.82153,0.83841
2009,West,No,0.16824,1141,7617,0.15983,0.17664
2009,East,Yes,0.62899,1656,2551,0.61024,0.64774
2009,East,No,0.36964,895,2551,0.35091,0.38838
2010,West,Yes,0.82512,8985,10630,0.81790,0.83235
2010,West,No,0.17327,1645,10630,0.16608,0.18047
2010,East,Yes,0.64442,2100,3158,0.62772,0.66111
2010,East,No,0.35522,1058,3158,0.33852,0.37191
2011,West,Yes,0.83696,10991,12856,0.83057,0.84334
2011,West,No,0.16261,1865,12856,0.15623,0.16899
2011,East,Yes,0.64630,2473,3743,0.63099,0.66162
2011,East,No,0.35330,1270,3743,0.33799,0.36862
2012,West,Yes,0.83864,10763,12590,0.83222,0.84507
2012,West,No,0.16116,1827,12590,0.15474,0.16758
2012,East,Yes,0.66660,2520,3712,0.65143,0.68177
2012,East,No,0.33340,1192,3712,0.31823,0.34857
2013,West,Yes,0.83462,12017,14213,0.82851,0.84073
2013,West,No,0.16538,2196,14213,0.15927,0.17149
2013,East,Yes,0.66899,2524,3657,0.65374,0.68424
2013,East,No,0.33101,1133,3657,0.31576,0.34626
2014,West,Yes,0.83659,10636,12445,0.83009,0.84308
2014,West,No,0.16279,1809,12445,0.15631,0.16928
2014,East,Yes,0.67758,2328,3379,0.66182,0.69334
2014,East,No,0.32184,1051,3379,0.30608,0.33759
2015,West,Yes,0.83735,10471,12478,0.83087,0.84382
2015,West,No,0.16209,2007,12478,0.15562,0.16856
2015,East,Yes,0.67583,2263,3280,0.65981,0.69185
2015,East,No,0.32317,1017,3280,0.30716,0.33918
2016,West,Yes,0.83619,10423,12939,0.82981,0.84257
2016,West,No,0.16353,2516,12939,0.15716,0.16991
2016,East,Yes,0.68032,2347,3459,0.66478,0.69586
2016,East,No,0.31902,1112,3459,0.30348,0.33455
2017,West,Yes,0.83556,11614,14476,0.82952,0.84160
2017,West,No,0.16433,2862,14476,0.15829,0.17037
2017,East,Yes,0.67168,2587,3798,0.65674,0.68661
2017,East,No,0.32575,1211,3798,0.31084,0.34066
2018,West,Yes,0.84074,11244,13947,0.83467,0.84682
2018,West,No,0.15790,2703,13947,0.15185,0.16395
2018,East,Yes,0.68979,2619,3750,0.67498,0.70460
2018,East,No,0.30812,1131,3750,0.29334,0.32290
2019,West,Yes,0.76412,9526,11749,0.75644,0.77180
2019,West,No,0.13530,2223,11749,0.12912,0.14149
2019,East,Yes,0.63426,2253,3162,0.61747,0.65105
2019,East,No,0.27265,909,3162,0.25713,0.28818
2020,West,Yes,0.84367,12157,15468,0.83794,0.84939
2020,West,No,0.15522,3311,15468,0.14952,0.16093
2020,East,Yes,0.70497,2742,3833,0.69054,0.71941
2020,East,No,0.29213,1091,3833,0.27773,0.30652
2021,West,Yes,0.76116,7238,8828,0.75227,0.77006
2021,West,No,0.13515,1590,8828,0.12801,0.14228
2021,East,Yes,0.63657,1683,2350,0.61712,0.65602
2021,East,No,0.26500,667,2350,0.24715,0.28285
2022,West,Yes,0.85047,12832,15719,0.84490,0.85605
2022,West,No,0.14486,2887,15719,0.13936,0.15036
2022,East,Yes,0.69980,3088,4343,0.68617,0.71343
2022,East,No,0.29713,1255,4343,0.28353,0.31072
