year,regtyp,sampreg,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,Urban regions,East,No,0.41310,254,588,0.37327,0.45294
1997,Rural regions,West,Yes,0.73272,737,985,0.70507,0.76037
1997,Rural regions,West,No,0.22499,248,985,0.19890,0.25109
1997,Rural regions,East,Yes,0.42699,541,1130,0.39813,0.45584
1997,Rural regions,East,No,0.50953,589,1130,0.48037,0.53869
1998,Urban regions,West,Yes,0.74919,3124,4253,0.73616,0.76222
1998,Urban regions,West,No,0.24557,1129,4253,0.23264,0.25851
1998,Urban regions,East,Yes,0.55678,375,642,0.51832,0.59523
1998,Urban regions,East,No,0.42736,267,642,0.38906,0.46566
1998,Rural regions,West,Yes,0.78083,930,1176,0.75718,0.80449
1998,Rural regions,West,No,0.20943,246,1176,0.18617,0.23270
1998,Rural regions,East,Yes,0.47601,656,1291,0.44876,0.50327
1998,Rural regions,East,No,0.50637,635,1291,0.47909,0.53365
1999,Urban regions,West,Yes,0.75018,2996,4036,0.73682,0.76354
1999,Urban regions,West,No,0.23836,1040,4036,0.22521,0.25151
1999,Urban regions,East,Yes,0.56773,382,631,0.52905,0.60642
1999,Urban regions,East,No,0.40984,249,631,0.37143,0.44824
1999,Rural regions,West,Yes,0.78841,909,1128,0.76456,0.81225
1999,Rural regions,West,No,0.19970,219,1128,0.17636,0.22304
1999,Rural regions,East,Yes,0.49224,654,1262,0.46464,0.51983
1999,Rural regions,East,No,0.48342,608,1262,0.45584,0.51100
2000,Urban regions,West,Yes,0.75253,5767,7497,0.74276,0.76230
2000,Urban regions,West,No,0.23233,1730,7497,0.22277,0.24189
2000,Urban regions,East,Yes,0.58119,607,986,0.55038,0.61200
2000,Urban regions,East,No,0.38602,379,986,0.35561,0.41642
2000,Rural regions,West,Yes,0.79107,1835,2267,0.77433,0.80781
2000,Rural regions,West,No,0.20137,432,2267,0.18485,0.21788
2000,Rural regions,East,Yes,0.46569,1010,2030,0.44398,0.48739
2000,Rural regions,East,No,0.51389,1020,2030,0.49214,0.53563
2001,Urban regions,West,Yes,0.75593,5241,6724,0.74566,0.76619
2001,Urban regions,West,No,0.22523,1483,6724,0.21524,0.23521
2001,Urban regions,East,Yes,0.58362,572,930,0.55192,0.61532
2001,Urban regions,East,No,0.38575,358,930,0.35445,0.41705
2001,Rural regions,West,Yes,0.80409,1642,1990,0.78665,0.82153
2001,Rural regions,West,No,0.18567,348,1990,0.16858,0.20276
2001,Rural regions,East,Yes,0.47286,942,1849,0.45010,0.49562
2001,Rural regions,East,No,0.50283,907,1849,0.48003,0.52563
2002,Urban regions,West,Yes,0.76114,5761,7149,0.75126,0.77103
2002,Urban regions,West,No,0.21527,1388,7149,0.20574,0.22480
2002,Urban regions,East,Yes,0.59133,599,932,0.55976,0.62291
2002,Urban regions,East,No,0.37167,333,932,0.34063,0.40271
2002,Rural regions,West,Yes,0.79017,1694,2052,0.77254,0.80779
2002,Rural regions,West,No,0.19465,358,2052,0.17752,0.21179
2002,Rural regions,East,Yes,0.47891,965,1832,0.45603,0.50179
2002,Rural regions,East,No,0.49075,867,1832,0.46785,0.51365
2003,Urban regions,West,Yes,0.76250,5569,6878,0.75245,0.77256
2003,Urban regions,West,No,0.21223,1309,6878,0.20257,0.22190
2003,Urban regions,East,Yes,0.60879,608,928,0.57737,0.64020
2003,Urban regions,East,No,0.35991,320,928,0.32901,0.39081
2003,Rural regions,West,Yes,0.78456,1610,1948,0.76629,0.80282
2003,Rural regions,West,No,0.19932,338,1948,0.18158,0.21707
2003,Rural regions,East,Yes,0.49419,961,1794,0.47104,0.51733
2003,Rural regions,East,No,0.47467,833,1794,0.45156,0.49778
2004,Urban regions,West,Yes,0.76860,5457,6679,0.75849,0.77872
2004,Urban regions,West,No,0.20607,1222,6679,0.19637,0.21577
2004,Urban regions,East,Yes,0.61708,611,925,0.58574,0.64842
2004,Urban regions,East,No,0.35024,314,925,0.31948,0.38100
2004,Rural regions,West,Yes,0.77995,1599,1914,0.76139,0.79852
2004,Rural regions,West,No,0.19407,315,1914,0.17635,0.21179
2004,Rural regions,East,Yes,0.50486,971,1757,0.48148,0.52825
2004,Rural regions,East,No,0.46160,786,1757,0.43828,0.48492
2005,Urban regions,West,Yes,0.79601,5430,6605,0.78629,0.80573
2005,Urban regions,West,No,0.20137,1175,6605,0.19169,0.21104
2005,Urban regions,East,Yes,0.62645,607,934,0.59541,0.65749
2005,Urban regions,East,No,0.36131,327,934,0.33048,0.39213
2005,Rural regions,West,Yes,0.82484,1601,1888,0.80769,0.84199
2005,Rural regions,West,No,0.17145,287,1888,0.15445,0.18846
2005,Rural regions,East,Yes,0.54766,1008,1749,0.52433,0.57099
2005,Rural regions,East,No,0.44891,741,1749,0.42559,0.47222
2006,Urban regions,West,Yes,0.79476,5918,7167,0.78541,0.80411
2006,Urban regions,West,No,0.20322,1249,7167,0.19391,0.21254
2006,Urban regions,East,Yes,0.63606,650,991,0.60609,0.66604
2006,Urban regions,East,No,0.36026,341,991,0.33036,0.39017
2006,Rural regions,West,Yes,0.82487,1845,2158,0.80883,0.84091
2006,Rural regions,West,No,0.17275,313,2158,0.15680,0.18871
2006,Rural regions,East,Yes,0.57071,1145,1933,0.54864,0.59278
2006,Rural regions,East,No,0.42810,788,1933,0.40603,0.45016
2007,Urban regions,West,Yes,0.81388,5587,6655,0.80453,0.82323
2007,Urban regions,West,No,0.18391,1068,6655,0.17460,0.19322
2007,Urban regions,East,Yes,0.67037,639,942,0.64034,0.70041
2007,Urban regions,East,No,0.32927,303,942,0.29924,0.35930
2007,Rural regions,West,Yes,0.82968,1725,2022,0.81329,0.84607
2007,Rural regions,West,No,0.16547,297,2022,0.14927,0.18168
2007,Rural regions,East,Yes,0.56480,1082,1815,0.54199,0.58762
2007,Rural regions,East,No,0.43408,733,1815,0.41127,0.45689
2008,Urban regions,West,Yes,0.81816,5271,6253,0.80860,0.82772
2008,Urban regions,West,No,0.18026,982,6253,0.17073,0.18979
2008,Urban regions,East,Yes,0.68858,648,928,0.65877,0.71839
2008,Urban regions,East,No,0.31142,280,928,0.28161,0.34123
2008,Rural regions,West,Yes,0.83698,1642,1907,0.82040,0.85357
2008,Rural regions,West,No,0.16010,265,1907,0.14364,0.17656
2008,Rural regions,East,Yes,0.59962,1064,1722,0.57647,0.62277
2008,Rural regions,East,No,0.39985,658,1722,0.37671,0.42300
2009,Urban regions,West,Yes,0.82752,4918,5798,0.81779,0.83724
2009,Urban regions,West,No,0.17125,880,5798,0.16155,0.18094
2009,Urban regions,East,Yes,0.68343,624,897,0.65297,0.71388
2009,Urban regions,East,No,0.31429,273,897,0.28389,0.34469
2009,Rural regions,West,Yes,0.83776,1558,1819,0.82081,0.85471
2009,Rural regions,West,No,0.15867,261,1819,0.14187,0.17546
2009,Rural regions,East,Yes,0.59820,1032,1654,0.57457,0.62184
2009,Rural regions,East,No,0.40096,622,1654,0.37733,0.42459
2010,Urban regions,West,Yes,0.82406,6709,7959,0.81570,0.83243
2010,Urban regions,West,No,0.17446,1250,7959,0.16612,0.18280
2010,Urban regions,East,Yes,0.70711,802,1121,0.68046,0.73376
2010,Urban regions,East,No,0.29289,319,1121,0.26624,0.31954
2010,Rural regions,West,Yes,0.82852,2276,2671,0.81422,0.84282
2010,Rural regions,West,No,0.16947,395,2671,0.15524,0.18370
2010,Rural regions,East,Yes,0.60796,1298,2037,0.58676,0.62917
2010,Rural regions,East,No,0.39146,739,2037,0.37026,0.41266
2011,Urban regions,West,Yes,0.83521,8031,9420,0.82772,0.84271
2011,Urban regions,West,No,0.16458,1389,9420,0.15710,0.17207
2011,Urban regions,East,Yes,0.71910,959,1336,0.69499,0.74321
2011,Urban regions,East,No,0.28090,377,1336,0.25679,0.30501
2011,Rural regions,West,Yes,0.84234,2960,3436,0.83015,0.85453
2011,Rural regions,West,No,0.15651,476,3436,0.14436,0.16866
2011,Rural regions,East,Yes,0.60470,1514,2407,0.58517,0.62424
2011,Rural regions,East,No,0.39468,893,2407,0.37515,0.41421
2012,Urban regions,West,Yes,0.83267,7776,9146,0.82502,0.84032
2012,Urban regions,West,No,0.16707,1370,9146,0.15943,0.17472
2012,Urban regions,East,Yes,0.72201,946,1301,0.69765,0.74636
2012,Urban regions,East,No,0.27799,355,1301,0.25364,0.30235
2012,Rural regions,West,Yes,0.85687,2987,3444,0.84517,0.86856
2012,Rural regions,West,No,0.14313,457,3444,0.13144,0.15483
2012,Rural regions,East,Yes,0.63579,1574,2411,0.61658,0.65500
2012,Rural regions,East,No,0.36421,837,2411,0.34500,0.38342
2013,Urban regions,West,Yes,0.82849,8862,10535,0.82129,0.83568
2013,Urban regions,West,No,0.17151,1673,10535,0.16432,0.17871
2013,Urban regions,East,Yes,0.73957,981,1316,0.71585,0.76329
2013,Urban regions,East,No,0.26043,335,1316,0.23671,0.28415
2013,Rural regions,West,Yes,0.85318,3155,3678,0.84174,0.86462
2013,Rural regions,West,No,0.14682,523,3678,0.13538,0.15826
2013,Rural regions,East,Yes,0.63093,1543,2341,0.61138,0.65048
2013,Rural regions,East,No,0.36907,798,2341,0.34952,0.38862
2014,Urban regions,West,Yes,0.83531,7833,9181,0.82773,0.84290
2014,Urban regions,West,No,0.16386,1348,9181,0.15629,0.17143
2014,Urban regions,East,Yes,0.74525,916,1215,0.72074,0.76976
2014,Urban regions,East,No,0.25313,299,1215,0.22867,0.27759
2014,Rural regions,West,Yes,0.84043,2803,3264,0.82787,0.85300
2014,Rural regions,West,No,0.15957,461,3264,0.14700,0.17213
2014,Rural regions,East,Yes,0.63953,1412,2164,0.61929,0.65976
2014,Rural regions,East,No,0.36047,752,2164,0.34024,0.38071
2015,Urban regions,West,Yes,0.83289,7648,9173,0.82526,0.84053
2015,Urban regions,West,No,0.16636,1525,9173,0.15874,0.17398
2015,Urban regions,East,Yes,0.73384,887,1205,0.70888,0.75881
2015,Urban regions,East,No,0.26385,318,1205,0.23896,0.28874
2015,Rural regions,West,Yes,0.85076,2823,3305,0.83861,0.86291
2015,Rural regions,West,No,0.14924,482,3305,0.13709,0.16139
2015,Rural regions,East,Yes,0.64216,1376,2075,0.62153,0.66279
2015,Rural regions,East,No,0.35760,699,2075,0.33697,0.37822
2016,Urban regions,West,Yes,0.83126,7664,9560,0.82376,0.83877
2016,Urban regions,West,No,0.16838,1896,9560,0.16088,0.17589
2016,Urban regions,East,Yes,0.72513,896,1264,0.70051,0.74975
2016,Urban regions,East,No,0.27479,368,1264,0.25017,0.29941
2016,Rural regions,West,Yes,0.85125,2759,3379,0.83925,0.86325
2016,Rural regions,West,No,0.14869,620,3379,0.13669,0.16069
2016,Rural regions,East,Yes,0.65453,1451,2195,0.63463,0.67443
2016,Rural regions,East,No,0.34447,744,2195,0.32459,0.36436
2017,Urban regions,West,Yes,0.83456,8532,10621,0.82749,0.84162
2017,Urban regions,West,No,0.16530,2089,10621,0.15823,0.17236
2017,Urban regions,East,Yes,0.70804,1001,1405,0.68425,0.73182
2017,Urban regions,East,No,0.28518,404,1405,0.26156,0.30880
2017,Rural regions,West,Yes,0.83874,3082,3855,0.82713,0.85035
2017,Rural regions,West,No,0.16126,773,3855,0.14965,0.17287
2017,Rural regions,East,Yes,0.65028,1586,2393,0.63117,0.66939
2017,Rural regions,East,No,0.34963,807,2393,0.33052,0.36874
2018,Urban regions,West,Yes,0.83977,8346,10397,0.83272,0.84682
2018,Urban regions,West,No,0.15899,2051,10397,0.15196,0.16602
2018,Urban regions,East,Yes,0.73090,1028,1400,0.70766,0.75414
2018,Urban regions,East,No,0.26500,372,1400,0.24187,0.28813
2018,Rural regions,West,Yes,0.84381,2898,3550,0.83187,0.85576
2018,Rural regions,West,No,0.15448,652,3550,0.14259,0.16637
2018,Rural regions,East,Yes,0.66549,1591,2350,0.64641,0.68457
2018,Rural regions,East,No,0.33361,759,2350,0.31455,0.35268
2019,Urban regions,West,Yes,0.77625,7049,8731,0.76750,0.78499
2019,Urban regions,West,No,0.13837,1682,8731,0.13113,0.14561
2019,Urban regions,East,Yes,0.67863,884,1174,0.65190,0.70535
2019,Urban regions,East,No,0.23304,290,1174,0.20885,0.25724
2019,Rural regions,West,Yes,0.78273,2477,3018,0.76802,0.79745
2019,Rural regions,West,No,0.13572,541,3018,0.12350,0.14794
2019,Rural regions,East,Yes,0.62256,1369,1988,0.60124,0.64387
2019,Rural regions,East,No,0.30141,619,1988,0.28123,0.32159
2020,Urban regions,West,Yes,0.83985,9212,11846,0.83325,0.84646
2020,Urban regions,West,No,0.15899,2634,11846,0.15240,0.16557
2020,Urban regions,East,Yes,0.73487,1117,1529,0.71273,0.75700
2020,Urban regions,East,No,0.25890,412,1529,0.23693,0.28086
2020,Rural regions,West,Yes,0.85561,2945,3622,0.84417,0.86706
2020,Rural regions,West,No,0.14342,677,3622,0.13200,0.15483
2020,Rural regions,East,Yes,0.68739,1625,2304,0.66846,0.70632
2020,Rural regions,East,No,0.31168,679,2304,0.29276,0.33059
2021,Urban regions,West,Yes,0.75340,5428,6679,0.74306,0.76374
2021,Urban regions,West,No,0.13752,1251,6679,0.12926,0.14579
2021,Urban regions,East,Yes,0.61828,683,932,0.58707,0.64949
2021,Urban regions,East,No,0.25710,249,932,0.22902,0.28517
2021,Rural regions,West,Yes,0.78726,1810,2149,0.76995,0.80456
2021,Rural regions,West,No,0.12805,339,2149,0.11392,0.14218
2021,Rural regions,East,Yes,0.64619,1000,1418,0.62129,0.67108
2021,Rural regions,East,No,0.26915,418,1418,0.24606,0.29225
2022,Urban regions,West,Yes,0.84988,9751,12103,0.84351,0.85624
2022,Urban regions,West,No,0.14470,2352,12103,0.13843,0.15097
2022,Urban regions,East,Yes,0.71277,1252,1721,0.69139,0.73416
2022,Urban regions,East,No,0.28276,469,1721,0.26148,0.30405
2022,Rural regions,West,Yes,0.85226,3081,3616,0.84069,0.86382
2022,Rural regions,West,No,0.14534,535,3616,0.13386,0.15683
2022,Rural regions,East,Yes,0.69145,1836,2622,0.67377,0.70913
2022,Rural regions,East,No,0.30637,786,2622,0.28872,0.32402
