year,bula_h,rentown,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Berlin,Tenant,No,0.19445,40,181,0.13663,0.25226
1988,Schleswig-Holstein,Owner,Yes,0.77957,65,65,0.67801,0.88114
1988,Schleswig-Holstein,Tenant,Yes,0.70214,51,51,0.57538,0.82890
1988,Hamburg,Tenant,Yes,0.65143,61,93,0.55406,0.74881
1988,Hamburg,Tenant,No,0.34857,32,93,0.25119,0.44594
1988,Lower Saxony,Owner,Yes,0.73854,162,212,0.67925,0.79783
1988,Lower Saxony,Owner,No,0.26146,50,212,0.20217,0.32075
1988,Lower Saxony,Tenant,Yes,0.61774,158,272,0.55988,0.67560
1988,Lower Saxony,Tenant,No,0.38226,114,272,0.32440,0.44012
1988,Bremen,Tenant,Yes,0.89258,41,41,0.79662,0.98854
1988,North Rhine-Westphalia,Owner,Yes,0.78501,326,404,0.74490,0.82512
1988,North Rhine-Westphalia,Owner,No,0.21499,78,404,0.17488,0.25510
1988,North Rhine-Westphalia,Tenant,Yes,0.55897,439,854,0.52565,0.59229
1988,North Rhine-Westphalia,Tenant,No,0.44103,415,854,0.40771,0.47435
1988,Hesse,Owner,Yes,0.75110,112,145,0.68048,0.82172
1988,Hesse,Owner,No,0.24890,33,145,0.17828,0.31952
1988,Hesse,Tenant,Yes,0.58517,164,305,0.52979,0.64056
1988,Hesse,Tenant,No,0.41483,141,305,0.35944,0.47021
1988,"Rhineland-Palatinate, Saarland",Owner,Yes,0.73241,124,165,0.66465,0.80016
1988,"Rhineland-Palatinate, Saarland",Owner,No,0.26759,41,165,0.19984,0.33535
1988,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.55247,86,166,0.47660,0.62834
1988,"Rhineland-Palatinate, Saarland",Tenant,No,0.44753,80,166,0.37166,0.52340
1988,Baden-Wuerttemberg,Owner,Yes,0.75972,253,334,0.71383,0.80561
1988,Baden-Wuerttemberg,Owner,No,0.24028,81,334,0.19439,0.28617
1988,Baden-Wuerttemberg,Tenant,Yes,0.62365,272,513,0.58169,0.66562
1988,Baden-Wuerttemberg,Tenant,No,0.37635,241,513,0.33438,0.41831
1988,Bavaria,Owner,Yes,0.86224,278,324,0.82466,0.89983
1988,Bavaria,Owner,No,0.13776,46,324,0.10017,0.17534
1988,Bavaria,Tenant,Yes,0.66107,277,446,0.61709,0.70505
1988,Bavaria,Tenant,No,0.33893,169,446,0.29495,0.38291
1988,Berlin,Tenant,Yes,0.79660,134,173,0.73644,0.85675
1988,Berlin,Tenant,No,0.20340,39,173,0.14325,0.26356
1989,Schleswig-Holstein,Owner,Yes,0.79829,62,62,0.69759,0.89899
1989,Schleswig-Holstein,Tenant,Yes,0.64027,47,47,0.50158,0.77897
1989,Hamburg,Tenant,Yes,0.68934,64,64,0.57506,0.80361
1989,Lower Saxony,Owner,Yes,0.73249,158,206,0.67189,0.79308
1989,Lower Saxony,Owner,No,0.26751,48,206,0.20692,0.32811
1989,Lower Saxony,Tenant,Yes,0.56918,145,269,0.50990,0.62847
1989,Lower Saxony,Tenant,No,0.43082,124,269,0.37153,0.49010
1989,Bremen,Tenant,Yes,0.88887,45,45,0.79600,0.98173
1989,North Rhine-Westphalia,Owner,Yes,0.79414,323,399,0.75441,0.83386
1989,North Rhine-Westphalia,Owner,No,0.20586,76,399,0.16614,0.24559
1989,North Rhine-Westphalia,Tenant,Yes,0.57674,433,822,0.54294,0.61054
1989,North Rhine-Westphalia,Tenant,No,0.42326,389,822,0.38946,0.45706
1989,Hesse,Owner,Yes,0.73724,109,144,0.66510,0.80938
1989,Hesse,Owner,No,0.26276,35,144,0.19062,0.33490
1989,Hesse,Tenant,Yes,0.60355,171,311,0.54909,0.65800
1989,Hesse,Tenant,No,0.39645,140,311,0.34200,0.45091
1989,"Rhineland-Palatinate, Saarland",Owner,Yes,0.72181,126,169,0.65405,0.78957
1989,"Rhineland-Palatinate, Saarland",Owner,No,0.27819,43,169,0.21043,0.34595
1989,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.57405,78,144,0.49300,0.65510
1989,"Rhineland-Palatinate, Saarland",Tenant,No,0.42595,66,144,0.34490,0.50700
1989,Baden-Wuerttemberg,Owner,Yes,0.76941,254,330,0.72389,0.81492
1989,Baden-Wuerttemberg,Owner,No,0.23059,76,330,0.18508,0.27611
1989,Baden-Wuerttemberg,Tenant,Yes,0.64092,252,478,0.59787,0.68397
1989,Baden-Wuerttemberg,Tenant,No,0.35908,226,478,0.31603,0.40213
1989,Bavaria,Owner,Yes,0.87246,273,314,0.83550,0.90941
1989,Bavaria,Owner,No,0.12754,41,314,0.09059,0.16450
1989,Bavaria,Tenant,Yes,0.63619,264,439,0.59113,0.68125
1989,Bavaria,Tenant,No,0.36381,175,439,0.31875,0.40887
1989,Berlin,Tenant,Yes,0.77706,132,172,0.71467,0.83944
1989,Berlin,Tenant,No,0.22294,40,172,0.16056,0.28533
1990,Schleswig-Holstein,Owner,Yes,0.77603,56,56,0.66585,0.88621
1990,Schleswig-Holstein,Tenant,Yes,0.61175,44,44,0.46608,0.75742
1990,Hamburg,Tenant,Yes,0.68062,62,62,0.56361,0.79762
1990,Lower Saxony,Owner,Yes,0.74990,163,213,0.69160,0.80820
1990,Lower Saxony,Owner,No,0.25010,50,213,0.19180,0.30840
1990,Lower Saxony,Tenant,Yes,0.58413,144,263,0.52445,0.64382
1990,Lower Saxony,Tenant,No,0.41587,119,263,0.35618,0.47555
1990,Bremen,Tenant,Yes,0.90592,42,42,0.81656,0.99529
1990,North Rhine-Westphalia,Owner,Yes,0.81826,335,407,0.78075,0.85577
1990,North Rhine-Westphalia,Owner,No,0.18174,72,407,0.14423,0.21925
1990,North Rhine-Westphalia,Tenant,Yes,0.56204,400,790,0.52742,0.59666
1990,North Rhine-Westphalia,Tenant,No,0.43796,390,790,0.40334,0.47258
1990,Hesse,Owner,Yes,0.76326,116,152,0.69546,0.83106
1990,Hesse,Owner,No,0.23674,36,152,0.16894,0.30454
1990,Hesse,Tenant,Yes,0.63900,164,293,0.58391,0.69409
1990,Hesse,Tenant,No,0.36100,129,293,0.30591,0.41609
1990,"Rhineland-Palatinate, Saarland",Owner,Yes,0.71855,122,163,0.64930,0.78780
1990,"Rhineland-Palatinate, Saarland",Owner,No,0.28145,41,163,0.21220,0.35070
1990,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.57162,83,147,0.49135,0.65189
1990,"Rhineland-Palatinate, Saarland",Tenant,No,0.42838,64,147,0.34811,0.50865
1990,Baden-Wuerttemberg,Owner,Yes,0.76133,255,336,0.71568,0.80698
1990,Baden-Wuerttemberg,Owner,No,0.23867,81,336,0.19302,0.28432
1990,Baden-Wuerttemberg,Tenant,Yes,0.66077,257,468,0.61783,0.70371
1990,Baden-Wuerttemberg,Tenant,No,0.33923,211,468,0.29629,0.38217
1990,Bavaria,Owner,Yes,0.86640,280,325,0.82936,0.90345
1990,Bavaria,Owner,No,0.13360,45,325,0.09655,0.17064
1990,Bavaria,Tenant,Yes,0.63271,259,432,0.58720,0.67822
1990,Bavaria,Tenant,No,0.36729,173,432,0.32178,0.41280
1990,Berlin,Tenant,Yes,0.82362,208,247,0.77599,0.87125
1990,Berlin,Tenant,No,0.17638,39,247,0.12875,0.22401
1991,Schleswig-Holstein,Owner,Yes,0.84497,61,61,0.75339,0.93655
1991,Schleswig-Holstein,Tenant,Yes,0.58610,49,81,0.47817,0.69403
1991,Schleswig-Holstein,Tenant,No,0.41390,32,81,0.30597,0.52183
1991,Hamburg,Tenant,Yes,0.58217,51,88,0.47853,0.68581
1991,Hamburg,Tenant,No,0.41783,37,88,0.31419,0.52147
1991,Lower Saxony,Owner,Yes,0.78747,166,210,0.73201,0.84293
1991,Lower Saxony,Owner,No,0.21253,44,210,0.15707,0.26799
1991,Lower Saxony,Tenant,Yes,0.59049,148,267,0.53139,0.64958
1991,Lower Saxony,Tenant,No,0.40951,119,267,0.35042,0.46861
1991,Bremen,Tenant,Yes,0.84712,37,37,0.72956,0.96468
1991,North Rhine-Westphalia,Owner,Yes,0.86996,363,417,0.83764,0.90228
1991,North Rhine-Westphalia,Owner,No,0.13004,54,417,0.09772,0.16236
1991,North Rhine-Westphalia,Tenant,Yes,0.54761,421,824,0.51360,0.58161
1991,North Rhine-Westphalia,Tenant,No,0.45239,403,824,0.41839,0.48640
1991,Hesse,Owner,Yes,0.81320,127,127,0.74514,0.88125
1991,Hesse,Tenant,Yes,0.65749,179,307,0.60431,0.71066
1991,Hesse,Tenant,No,0.34251,128,307,0.28934,0.39569
1991,"Rhineland-Palatinate, Saarland",Owner,Yes,0.74456,129,165,0.67781,0.81131
1991,"Rhineland-Palatinate, Saarland",Owner,No,0.25544,36,165,0.18869,0.32219
1991,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.50762,76,162,0.43039,0.58484
1991,"Rhineland-Palatinate, Saarland",Tenant,No,0.49238,86,162,0.41516,0.56961
1991,Baden-Wuerttemberg,Owner,Yes,0.81676,278,348,0.77605,0.85746
1991,Baden-Wuerttemberg,Owner,No,0.18324,70,348,0.14254,0.22395
1991,Baden-Wuerttemberg,Tenant,Yes,0.64180,255,484,0.59904,0.68456
1991,Baden-Wuerttemberg,Tenant,No,0.35820,229,484,0.31544,0.40096
1991,Bavaria,Owner,Yes,0.88881,309,345,0.85559,0.92203
1991,Bavaria,Owner,No,0.11119,36,345,0.07797,0.14441
1991,Bavaria,Tenant,Yes,0.64916,278,447,0.60486,0.69345
1991,Bavaria,Tenant,No,0.35084,169,447,0.30655,0.39514
1991,Berlin,Tenant,Yes,0.73061,210,294,0.67981,0.78141
1991,Berlin,Tenant,No,0.26939,84,294,0.21859,0.32019
1991,Brandenburg,Owner,Yes,0.34766,47,115,0.26024,0.43508
1991,Brandenburg,Owner,No,0.65234,68,115,0.56492,0.73976
1991,Brandenburg,Tenant,Yes,0.47348,106,203,0.40462,0.54233
1991,Brandenburg,Tenant,No,0.52652,97,203,0.45767,0.59538
1991,Mecklenburg-Western Pomerania,Owner,Yes,0.60099,38,38,0.44320,0.75878
1991,Mecklenburg-Western Pomerania,Tenant,Yes,0.38467,64,158,0.30857,0.46077
1991,Mecklenburg-Western Pomerania,Tenant,No,0.61533,94,158,0.53923,0.69143
1991,Saxony,Owner,Yes,0.26070,47,135,0.18636,0.33503
1991,Saxony,Owner,No,0.73930,88,135,0.66497,0.81364
1991,Saxony,Tenant,Yes,0.34605,174,453,0.30219,0.38990
1991,Saxony,Tenant,No,0.65395,279,453,0.61010,0.69781
1991,Saxony-Anhalt,Owner,Yes,0.31026,44,125,0.22884,0.39168
1991,Saxony-Anhalt,Owner,No,0.68974,81,125,0.60832,0.77116
1991,Saxony-Anhalt,Tenant,Yes,0.34899,86,231,0.28739,0.41059
1991,Saxony-Anhalt,Tenant,No,0.65101,145,231,0.58941,0.71261
1991,Thuringa,Owner,Yes,0.36699,52,131,0.28414,0.44984
1991,Thuringa,Owner,No,0.63301,79,131,0.55016,0.71586
1991,Thuringa,Tenant,Yes,0.47421,88,192,0.40339,0.54502
1991,Thuringa,Tenant,No,0.52579,104,192,0.45498,0.59661
1992,Schleswig-Holstein,Owner,Yes,0.84428,59,59,0.75097,0.93760
1992,Schleswig-Holstein,Tenant,Yes,0.59338,48,48,0.45294,0.73381
1992,Hamburg,Tenant,Yes,0.57850,45,77,0.46748,0.68952
1992,Hamburg,Tenant,No,0.42150,32,77,0.31048,0.53252
1992,Lower Saxony,Owner,Yes,0.79144,166,212,0.73662,0.84626
1992,Lower Saxony,Owner,No,0.20856,46,212,0.15374,0.26338
1992,Lower Saxony,Tenant,Yes,0.62614,155,263,0.56755,0.68473
1992,Lower Saxony,Tenant,No,0.37386,108,263,0.31527,0.43245
1992,Bremen,Tenant,Yes,0.83862,35,35,0.71496,0.96228
1992,North Rhine-Westphalia,Owner,Yes,0.86328,367,422,0.83046,0.89609
1992,North Rhine-Westphalia,Owner,No,0.13672,55,422,0.10391,0.16954
1992,North Rhine-Westphalia,Tenant,Yes,0.57002,423,815,0.53601,0.60403
1992,North Rhine-Westphalia,Tenant,No,0.42998,392,815,0.39597,0.46399
1992,Hesse,Owner,Yes,0.81899,133,133,0.75331,0.88468
1992,Hesse,Tenant,Yes,0.63210,170,293,0.57678,0.68741
1992,Hesse,Tenant,No,0.36790,123,293,0.31259,0.42322
1992,"Rhineland-Palatinate, Saarland",Owner,Yes,0.76126,128,161,0.69521,0.82732
1992,"Rhineland-Palatinate, Saarland",Owner,No,0.23874,33,161,0.17268,0.30479
1992,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.52315,82,168,0.44739,0.59890
1992,"Rhineland-Palatinate, Saarland",Tenant,No,0.47685,86,168,0.40110,0.55261
1992,Baden-Wuerttemberg,Owner,Yes,0.82501,276,341,0.78462,0.86540
1992,Baden-Wuerttemberg,Owner,No,0.17499,65,341,0.13460,0.21538
1992,Baden-Wuerttemberg,Tenant,Yes,0.64518,255,480,0.60234,0.68803
1992,Baden-Wuerttemberg,Tenant,No,0.35482,225,480,0.31197,0.39766
1992,Bavaria,Owner,Yes,0.88754,314,352,0.85449,0.92060
1992,Bavaria,Owner,No,0.11246,38,352,0.07940,0.14551
1992,Bavaria,Tenant,Yes,0.66782,285,450,0.62425,0.71138
1992,Bavaria,Tenant,No,0.33218,165,450,0.28862,0.37575
1992,Berlin,Tenant,Yes,0.76408,212,287,0.71488,0.81329
1992,Berlin,Tenant,No,0.23592,75,287,0.18671,0.28512
1992,Brandenburg,Owner,Yes,0.35779,44,104,0.26521,0.45036
1992,Brandenburg,Owner,No,0.64221,60,104,0.54964,0.73479
1992,Brandenburg,Tenant,Yes,0.54185,113,200,0.47262,0.61108
1992,Brandenburg,Tenant,No,0.45815,87,200,0.38892,0.52738
1992,Mecklenburg-Western Pomerania,Owner,Yes,0.58245,33,33,0.41158,0.75332
1992,Mecklenburg-Western Pomerania,Tenant,Yes,0.42463,62,141,0.34275,0.50650
1992,Mecklenburg-Western Pomerania,Tenant,No,0.57537,79,141,0.49350,0.65725
1992,Saxony,Owner,Yes,0.27597,48,134,0.20000,0.35194
1992,Saxony,Owner,No,0.72403,86,134,0.64806,0.80000
1992,Saxony,Tenant,Yes,0.39119,174,428,0.34490,0.43748
1992,Saxony,Tenant,No,0.60881,254,428,0.56252,0.65510
1992,Saxony-Anhalt,Owner,Yes,0.32175,42,114,0.23562,0.40788
1992,Saxony-Anhalt,Owner,No,0.67825,72,114,0.59212,0.76438
1992,Saxony-Anhalt,Tenant,Yes,0.38390,90,232,0.32118,0.44662
1992,Saxony-Anhalt,Tenant,No,0.61610,142,232,0.55338,0.67882
1992,Thuringa,Owner,Yes,0.36909,50,129,0.28549,0.45269
1992,Thuringa,Owner,No,0.63091,79,129,0.54731,0.71451
1992,Thuringa,Tenant,Yes,0.49122,87,179,0.41778,0.56466
1992,Thuringa,Tenant,No,0.50878,92,179,0.43534,0.58222
1993,Schleswig-Holstein,Owner,Yes,0.86044,60,60,0.77202,0.94886
1993,Schleswig-Holstein,Tenant,Yes,0.56124,51,84,0.45448,0.66800
1993,Schleswig-Holstein,Tenant,No,0.43876,33,84,0.33200,0.54552
1993,Hamburg,Tenant,Yes,0.59054,47,78,0.48070,0.70037
1993,Hamburg,Tenant,No,0.40946,31,78,0.29963,0.51930
1993,Lower Saxony,Owner,Yes,0.78987,169,216,0.73542,0.84433
1993,Lower Saxony,Owner,No,0.21013,47,216,0.15567,0.26458
1993,Lower Saxony,Tenant,Yes,0.64268,166,275,0.58593,0.69942
1993,Lower Saxony,Tenant,No,0.35732,109,275,0.30058,0.41407
1993,Bremen,Tenant,Yes,0.83364,33,33,0.70461,0.96267
1993,North Rhine-Westphalia,Owner,Yes,0.87088,368,424,0.83892,0.90283
1993,North Rhine-Westphalia,Owner,No,0.12912,56,424,0.09717,0.16108
1993,North Rhine-Westphalia,Tenant,Yes,0.56904,419,807,0.53485,0.60322
1993,North Rhine-Westphalia,Tenant,No,0.43096,388,807,0.39678,0.46515
1993,Hesse,Owner,Yes,0.79317,127,127,0.72245,0.86389
1993,Hesse,Tenant,Yes,0.64094,170,295,0.58611,0.69578
1993,Hesse,Tenant,No,0.35906,125,295,0.30422,0.41389
1993,"Rhineland-Palatinate, Saarland",Owner,Yes,0.75342,129,163,0.68705,0.81980
1993,"Rhineland-Palatinate, Saarland",Owner,No,0.24658,34,163,0.18020,0.31295
1993,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.55192,80,152,0.47260,0.63124
1993,"Rhineland-Palatinate, Saarland",Tenant,No,0.44808,72,152,0.36876,0.52740
1993,Baden-Wuerttemberg,Owner,Yes,0.83982,271,333,0.80036,0.87927
1993,Baden-Wuerttemberg,Owner,No,0.16018,62,333,0.12073,0.19964
1993,Baden-Wuerttemberg,Tenant,Yes,0.63695,268,493,0.59446,0.67945
1993,Baden-Wuerttemberg,Tenant,No,0.36305,225,493,0.32055,0.40554
1993,Bavaria,Owner,Yes,0.89944,316,348,0.86780,0.93108
1993,Bavaria,Owner,No,0.10056,32,348,0.06892,0.13220
1993,Bavaria,Tenant,Yes,0.65097,278,452,0.60698,0.69497
1993,Bavaria,Tenant,No,0.34903,174,452,0.30503,0.39302
1993,Berlin,Tenant,Yes,0.75970,204,273,0.70892,0.81047
1993,Berlin,Tenant,No,0.24030,69,273,0.18953,0.29108
1993,Brandenburg,Owner,Yes,0.36152,42,103,0.26828,0.45476
1993,Brandenburg,Owner,No,0.63848,61,103,0.54524,0.73172
1993,Brandenburg,Tenant,Yes,0.52809,108,191,0.45711,0.59907
1993,Brandenburg,Tenant,No,0.47191,83,191,0.40093,0.54289
1993,Mecklenburg-Western Pomerania,Owner,Yes,0.56518,36,36,0.40095,0.72942
1993,Mecklenburg-Western Pomerania,Tenant,Yes,0.45928,59,131,0.37361,0.54495
1993,Mecklenburg-Western Pomerania,Tenant,No,0.54072,72,131,0.45505,0.62639
