,Unnamed: 0,year,quintil_oecd_hh,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
56,56,1989,4th Quintile,Yes,0.73266,648,4537,0.7057,0.75738
57,57,1989,4th Quintile,No,0.26734,285,4537,0.24299,0.28892
58,58,1989,5th Quintile,Yes,0.81213,676,4537,0.7885,0.8371
59,59,1989,5th Quintile,No,0.18787,162,4537,0.17249,0.20366
60,60,1990,1st Quintile,Yes,1.0,909,5343,0.96475,1.03726
61,61,1990,2nd Quintile,Yes,0.55816,577,5343,0.52238,0.58316
62,62,1990,2nd Quintile,No,0.44184,535,5343,0.41053,0.47059
63,63,1990,3rd Quintile,Yes,0.70121,747,5343,0.67269,0.72984
64,64,1990,3rd Quintile,No,0.29879,407,5343,0.27388,0.32483
65,65,1990,4th Quintile,Yes,0.7199,770,5343,0.69186,0.74591
66,66,1990,4th Quintile,No,0.2801,352,5343,0.25362,0.29899
67,67,1990,5th Quintile,Yes,0.80393,831,5343,0.78008,0.82973
68,68,1990,5th Quintile,No,0.19607,215,5343,0.18093,0.21294
69,69,1991,1st Quintile,Yes,0.40963,873,6557,0.39503,0.4257
70,70,1991,1st Quintile,No,0.59037,1128,6557,0.56874,0.60636
71,71,1991,2nd Quintile,Yes,0.54599,587,6557,0.51647,0.57556
72,72,1991,2nd Quintile,No,0.45401,540,6557,0.42325,0.47672
73,73,1991,3rd Quintile,Yes,0.69346,765,6557,0.66782,0.72213
74,74,1991,3rd Quintile,No,0.30654,419,6557,0.28585,0.32861
75,75,1991,4th Quintile,Yes,0.75485,848,6557,0.72941,0.78473
76,76,1991,4th Quintile,No,0.24515,338,6557,0.22588,0.265
77,77,1991,5th Quintile,Yes,0.8256,857,6557,0.80143,0.85086
78,78,1991,5th Quintile,No,0.1744,202,6557,0.15757,0.19092
79,79,1992,1st Quintile,Yes,0.44195,570,6430,0.4168,0.46897
80,80,1992,1st Quintile,No,0.55805,773,6430,0.5337,0.59033
81,81,1992,2nd Quintile,Yes,0.60087,800,6430,0.57427,0.63615
82,82,1992,2nd Quintile,No,0.39913,662,6430,0.37075,0.42393
83,83,1992,3rd Quintile,Yes,0.70756,830,6430,0.67727,0.74394
84,84,1992,3rd Quintile,No,0.29244,466,6430,0.27096,0.31332
85,85,1992,4th Quintile,Yes,0.72952,863,6430,0.70527,0.75843
86,86,1992,4th Quintile,No,0.27048,386,6430,0.24969,0.29135
87,87,1992,5th Quintile,Yes,0.83288,880,6430,0.80548,0.86812
88,88,1992,5th Quintile,No,0.16712,200,6430,0.15174,0.18171
89,89,1993,1st Quintile,Yes,0.48114,562,6359,0.45331,0.51219
90,90,1993,1st Quintile,No,0.51886,687,6359,0.49115,0.54929
91,91,1993,2nd Quintile,Yes,0.5734,775,6359,0.5461,0.60749
92,92,1993,2nd Quintile,No,0.4266,683,6359,0.40547,0.45383
93,93,1993,3rd Quintile,Yes,0.70158,829,6359,0.66973,0.73368
94,94,1993,3rd Quintile,No,0.29842,491,6359,0.27751,0.32076
95,95,1993,4th Quintile,Yes,0.74261,882,6359,0.71548,0.76815
96,96,1993,4th Quintile,No,0.25739,378,6359,0.23901,0.27984
97,97,1993,5th Quintile,Yes,0.82883,869,6359,0.79709,0.85794
98,98,1993,5th Quintile,No,0.17117,203,6359,0.15719,0.18672
99,99,1994,1st Quintile,Yes,0.4954,597,6263,0.46517,0.52977
100,100,1994,1st Quintile,No,0.5046,676,6263,0.47254,0.53373
101,101,1994,2nd Quintile,Yes,0.60707,759,6263,0.57529,0.64175
102,102,1994,2nd Quintile,No,0.39293,605,6263,0.3729,0.42011
103,103,1994,3rd Quintile,Yes,0.68695,832,6263,0.65226,0.72264
104,104,1994,3rd Quintile,No,0.31305,488,6263,0.29005,0.33698
105,105,1994,4th Quintile,Yes,0.73341,837,6263,0.69799,0.76746
106,106,1994,4th Quintile,No,0.26659,377,6263,0.24452,0.28957
107,107,1994,5th Quintile,Yes,0.83359,896,6263,0.80218,0.86288
108,108,1994,5th Quintile,No,0.16641,196,6263,0.14936,0.18561
109,109,1995,1st Quintile,Yes,0.51476,656,6443,0.47783,0.54863
110,110,1995,1st Quintile,No,0.48524,675,6443,0.45554,0.51846
111,111,1995,2nd Quintile,Yes,0.62506,809,6443,0.59196,0.65863
112,112,1995,2nd Quintile,No,0.37494,614,6443,0.35094,0.40035
113,113,1995,3rd Quintile,Yes,0.6908,879,6443,0.65686,0.72714
114,114,1995,3rd Quintile,No,0.3092,474,6443,0.28614,0.32896
115,115,1995,4th Quintile,Yes,0.76512,883,6443,0.72901,0.79827
116,116,1995,4th Quintile,No,0.23488,348,6443,0.21984,0.25413
117,117,1995,5th Quintile,Yes,0.83449,908,6443,0.79715,0.87015
118,118,1995,5th Quintile,No,0.16551,197,6443,0.14783,0.18262
119,119,1996,1st Quintile,Yes,0.56194,682,6380,0.52503,0.5955
120,120,1996,1st Quintile,No,0.43806,627,6380,0.41108,0.46409
121,121,1996,2nd Quintile,Yes,0.63394,824,6380,0.59223,0.67234
122,122,1996,2nd Quintile,No,0.36606,578,6380,0.34122,0.39206
123,123,1996,3rd Quintile,Yes,0.71354,897,6380,0.67583,0.75486
124,124,1996,3rd Quintile,No,0.28646,443,6380,0.26528,0.30832
125,125,1996,4th Quintile,Yes,0.73904,881,6380,0.70795,0.77316
126,126,1996,4th Quintile,No,0.26096,372,6380,0.23853,0.28398
127,127,1996,5th Quintile,Yes,0.83732,898,6380,0.80376,0.87225
128,128,1996,5th Quintile,No,0.16268,178,6380,0.14544,0.181
129,129,1997,1st Quintile,Yes,0.5632,665,6297,0.53244,0.59774
130,130,1997,1st Quintile,No,0.4368,594,6297,0.40932,0.46494
131,131,1997,2nd Quintile,Yes,0.65159,843,6297,0.6147,0.69226
132,132,1997,2nd Quintile,No,0.34841,550,6297,0.32403,0.37349
133,133,1997,3rd Quintile,Yes,0.73404,887,6297,0.69756,0.77324
134,134,1997,3rd Quintile,No,0.26596,411,6297,0.24644,0.29255
135,135,1997,4th Quintile,Yes,0.73884,891,6297,0.70535,0.77208
136,136,1997,4th Quintile,No,0.26116,360,6297,0.24123,0.28641
137,137,1997,5th Quintile,Yes,0.84776,915,6297,0.81108,0.8832
138,138,1997,5th Quintile,No,0.15224,181,6297,0.13555,0.16998
139,139,1998,1st Quintile,Yes,0.56993,834,7358,0.54344,0.60097
140,140,1998,1st Quintile,No,0.43007,647,7358,0.40322,0.45315
141,141,1998,2nd Quintile,Yes,0.65567,1000,7358,0.62875,0.68734
142,142,1998,2nd Quintile,No,0.34433,584,7358,0.32374,0.36404
143,143,1998,3rd Quintile,Yes,0.71906,1042,7358,0.69012,0.75641
144,144,1998,3rd Quintile,No,0.28094,471,7358,0.26195,0.30102
145,145,1998,4th Quintile,Yes,0.76247,1084,7358,0.7284,0.78883
146,146,1998,4th Quintile,No,0.23753,384,7358,0.21753,0.2556
147,147,1998,5th Quintile,Yes,0.86944,1123,7358,0.8398,0.90593
148,148,1998,5th Quintile,No,0.13056,189,7358,0.11629,0.14414
149,149,1999,1st Quintile,Yes,0.57765,829,7057,0.55019,0.60929
150,150,1999,1st Quintile,No,0.42235,624,7057,0.39886,0.44277
151,151,1999,2nd Quintile,Yes,0.66534,966,7057,0.63002,0.69948
152,152,1999,2nd Quintile,No,0.33466,545,7057,0.31364,0.35393
153,153,1999,3rd Quintile,Yes,0.74343,1052,7057,0.70565,0.77329
154,154,1999,3rd Quintile,No,0.25657,438,7057,0.23867,0.27243
155,155,1999,4th Quintile,Yes,0.7736,1039,7057,0.7389,0.81351
156,156,1999,4th Quintile,No,0.2264,336,7057,0.20833,0.24643
157,157,1999,5th Quintile,Yes,0.86143,1055,7057,0.82447,0.8942
158,158,1999,5th Quintile,No,0.13857,173,7057,0.12227,0.1551
159,159,2000,1st Quintile,Yes,0.57594,1422,12774,0.56079,0.5917
160,160,2000,1st Quintile,No,0.42406,1067,12774,0.40997,0.43837
161,161,2000,2nd Quintile,Yes,0.65498,1727,12774,0.63669,0.67048
162,162,2000,2nd Quintile,No,0.34502,945,12774,0.33361,0.35921
163,163,2000,3rd Quintile,Yes,0.71031,1911,12774,0.69501,0.73058
164,164,2000,3rd Quintile,No,0.28969,734,12774,0.27625,0.30285
165,165,2000,4th Quintile,Yes,0.79316,2017,12774,0.77623,0.81399
166,166,2000,4th Quintile,No,0.20684,539,12774,0.19704,0.21595
167,167,2000,5th Quintile,Yes,0.88586,2139,12774,0.86653,0.90776
168,168,2000,5th Quintile,No,0.11414,273,12774,0.1054,0.12261
169,169,2001,1st Quintile,Yes,0.56948,1224,11491,0.5505,0.59037
170,170,2001,1st Quintile,No,0.43052,931,11491,0.41469,0.44781
171,171,2001,2nd Quintile,Yes,0.66835,1616,11491,0.64708,0.68936
172,172,2001,2nd Quintile,No,0.33165,807,11491,0.31898,0.34538
173,173,2001,3rd Quintile,Yes,0.74258,1783,11491,0.72436,0.76005
174,174,2001,3rd Quintile,No,0.25742,634,11491,0.24483,0.2679
175,175,2001,4th Quintile,Yes,0.80414,1877,11491,0.78254,0.82836
176,176,2001,4th Quintile,No,0.19586,469,11491,0.18445,0.20771
177,177,2001,5th Quintile,Yes,0.87579,1896,11491,0.85511,0.89938
178,178,2001,5th Quintile,No,0.12421,254,11491,0.11576,0.13391
179,179,2002,1st Quintile,Yes,0.57973,1143,11962,0.55849,0.59905
180,180,2002,1st Quintile,No,0.42027,873,11962,0.40376,0.43751
181,181,2002,2nd Quintile,Yes,0.68568,1485,11962,0.66242,0.70489
182,182,2002,2nd Quintile,No,0.31432,701,11962,0.29908,0.33041
183,183,2002,3rd Quintile,Yes,0.75849,1674,11962,0.7383,0.78136
184,184,2002,3rd Quintile,No,0.24151,563,11962,0.22868,0.25286
185,185,2002,4th Quintile,Yes,0.78958,1850,11962,0.7633,0.8182
186,186,2002,4th Quintile,No,0.21042,479,11962,0.19834,0.22474
187,187,2002,5th Quintile,Yes,0.87609,2867,11962,0.8433,0.90024
188,188,2002,5th Quintile,No,0.12391,327,11962,0.11203,0.1377
189,189,2003,1st Quintile,Yes,0.58844,1132,11544,0.5705,0.61107
190,190,2003,1st Quintile,No,0.41156,824,11544,0.39746,0.43105
191,191,2003,2nd Quintile,Yes,0.68854,1462,11544,0.66859,0.71407
192,192,2003,2nd Quintile,No,0.31146,702,11544,0.29421,0.32572
193,193,2003,3rd Quintile,Yes,0.75199,1652,11544,0.72935,0.78053
194,194,2003,3rd Quintile,No,0.24801,555,11544,0.23333,0.2627
195,195,2003,4th Quintile,Yes,0.78812,1786,11544,0.76257,0.82035
196,196,2003,4th Quintile,No,0.21188,440,11544,0.19863,0.22639
197,197,2003,5th Quintile,Yes,0.89005,2715,11544,0.86327,0.92636
198,198,2003,5th Quintile,No,0.10995,276,11544,0.09954,0.12138
199,199,2004,1st Quintile,Yes,0.59234,1104,11272,0.57085,0.61832
200,200,2004,1st Quintile,No,0.40766,774,11272,0.38888,0.42579
201,201,2004,2nd Quintile,Yes,0.69373,1471,11272,0.6731,0.71801
202,202,2004,2nd Quintile,No,0.30627,666,11272,0.29001,0.32285
203,203,2004,3rd Quintile,Yes,0.75757,1612,11272,0.72981,0.78493
204,204,2004,3rd Quintile,No,0.24243,521,11272,0.22852,0.25684
205,205,2004,4th Quintile,Yes,0.79986,1785,11272,0.77093,0.82517
206,206,2004,4th Quintile,No,0.20014,420,11272,0.18355,0.21659
207,207,2004,5th Quintile,Yes,0.90086,2664,11272,0.8716,0.93205
208,208,2004,5th Quintile,No,0.09914,255,11272,0.08877,0.10966
209,209,2005,1st Quintile,Yes,0.60681,1149,11173,0.58332,0.63097
210,210,2005,1st Quintile,No,0.39319,798,11173,0.37416,0.4147
211,211,2005,2nd Quintile,Yes,0.71651,1471,11173,0.69009,0.74103
212,212,2005,2nd Quintile,No,0.28349,617,11173,0.26914,0.30009
213,213,2005,3rd Quintile,Yes,0.76845,1588,11173,0.74085,0.79434
214,214,2005,3rd Quintile,No,0.23155,496,11173,0.21559,0.24716
215,215,2005,4th Quintile,Yes,0.82235,1833,11173,0.79059,0.85364
216,216,2005,4th Quintile,No,0.17765,383,11173,0.16612,0.18949
217,217,2005,5th Quintile,Yes,0.90148,2605,11173,0.86601,0.93539
218,218,2005,5th Quintile,No,0.09852,233,11173,0.086,0.11103
219,219,2006,1st Quintile,Yes,0.6067,1233,12243,0.58375,0.63197
220,220,2006,1st Quintile,No,0.3933,841,12243,0.37695,0.41326
221,221,2006,2nd Quintile,Yes,0.71625,1594,12243,0.6894,0.73882
222,222,2006,2nd Quintile,No,0.28375,637,12243,0.26622,0.2977
223,223,2006,3rd Quintile,Yes,0.77989,1861,12243,0.75265,0.80508
224,224,2006,3rd Quintile,No,0.22011,543,12243,0.20622,0.23393
225,225,2006,4th Quintile,Yes,0.82115,2065,12243,0.79738,0.84774
226,226,2006,4th Quintile,No,0.17885,415,12243,0.16753,0.19342
227,227,2006,5th Quintile,Yes,0.89736,2802,12243,0.86987,0.92639
228,228,2006,5th Quintile,No,0.10264,252,12243,0.09206,0.11429
229,229,2007,1st Quintile,Yes,0.63168,1201,11430,0.60793,0.65263
230,230,2007,1st Quintile,No,0.36832,726,11430,0.35078,0.3844
231,231,2007,2nd Quintile,Yes,0.73904,1542,11430,0.71314,0.76204
232,232,2007,2nd Quintile,No,0.26096,595,11430,0.24461,0.27395
233,233,2007,3rd Quintile,Yes,0.78437,1713,11430,0.7583,0.81201
234,234,2007,3rd Quintile,No,0.21563,489,11430,0.20032,0.23022
235,235,2007,4th Quintile,Yes,0.83404,1965,11430,0.80636,0.86378
236,236,2007,4th Quintile,No,0.16596,361,11430,0.15357,0.17936
237,237,2007,5th Quintile,Yes,0.90455,2608,11430,0.87213,0.9362
238,238,2007,5th Quintile,No,0.09545,230,11430,0.08533,0.10562
239,239,2008,1st Quintile,Yes,0.63997,1189,10809,0.61652,0.66481
240,240,2008,1st Quintile,No,0.36003,679,10809,0.34191,0.37828
241,241,2008,2nd Quintile,Yes,0.74742,1450,10809,0.71919,0.7771
242,242,2008,2nd Quintile,No,0.25258,528,10809,0.23876,0.26833
243,243,2008,3rd Quintile,Yes,0.79152,1686,10809,0.76411,0.81674
244,244,2008,3rd Quintile,No,0.20848,472,10809,0.19348,0.22514
245,245,2008,4th Quintile,Yes,0.84975,1817,10809,0.82186,0.87792
246,246,2008,4th Quintile,No,0.15025,303,10809,0.13869,0.16358
247,247,2008,5th Quintile,Yes,0.91333,2483,10809,0.88606,0.95324
248,248,2008,5th Quintile,No,0.08667,202,10809,0.07637,0.09787
249,249,2009,1st Quintile,Yes,0.65918,1159,10164,0.62795,0.68886
250,250,2009,1st Quintile,No,0.34082,625,10164,0.32089,0.3612
251,251,2009,2nd Quintile,Yes,0.73382,1381,10164,0.70366,0.76803
252,252,2009,2nd Quintile,No,0.26618,521,10164,0.24963,0.28744
253,253,2009,3rd Quintile,Yes,0.79814,1549,10164,0.76936,0.8338
254,254,2009,3rd Quintile,No,0.20186,416,10164,0.18317,0.21786
255,255,2009,4th Quintile,Yes,0.8748,1768,10164,0.84035,0.91169
256,256,2009,4th Quintile,No,0.1252,261,10164,0.11362,0.1383
257,257,2009,5th Quintile,Yes,0.9023,2273,10164,0.86234,0.93776
258,258,2009,5th Quintile,No,0.0977,211,10164,0.08567,0.10973
259,259,2010,1st Quintile,Yes,0.64152,2147,13784,0.60772,0.67496
260,260,2010,1st Quintile,No,0.35848,1008,13784,0.33235,0.38454
261,261,2010,2nd Quintile,Yes,0.73491,2194,13784,0.69098,0.77179
262,262,2010,2nd Quintile,No,0.26509,691,13784,0.24055,0.28869
263,263,2010,3rd Quintile,Yes,0.80889,2097,13784,0.77252,0.84214
264,264,2010,3rd Quintile,No,0.19111,484,13784,0.1757,0.20857
265,265,2010,4th Quintile,Yes,0.86515,2134,13784,0.82576,0.90371
266,266,2010,4th Quintile,No,0.13485,309,13784,0.11972,0.15068
267,267,2010,5th Quintile,Yes,0.91552,2510,13784,0.88193,0.95018
268,268,2010,5th Quintile,No,0.08448,210,13784,0.07279,0.09687
269,269,2011,1st Quintile,Yes,0.64117,2518,16596,0.60987,0.67194
270,270,2011,1st Quintile,No,0.35883,1162,16596,0.33647,0.3803
271,271,2011,2nd Quintile,Yes,0.76923,2687,16596,0.73952,0.8015
272,272,2011,2nd Quintile,No,0.23077,776,16596,0.21534,0.24501
273,273,2011,3rd Quintile,Yes,0.82335,2637,16596,0.79119,0.85073
274,274,2011,3rd Quintile,No,0.17665,584,16596,0.16257,0.19265
275,275,2011,4th Quintile,Yes,0.87352,2664,16596,0.84136,0.90797
276,276,2011,4th Quintile,No,0.12648,356,16596,0.11464,0.13986
277,277,2011,5th Quintile,Yes,0.90649,2957,16596,0.87415,0.93786
278,278,2011,5th Quintile,No,0.09351,255,16596,0.08308,0.10362
279,279,2012,1st Quintile,Yes,0.66227,2518,16296,0.63261,0.68693
280,280,2012,1st Quintile,No,0.33773,1111,16296,0.32113,0.35678
281,281,2012,2nd Quintile,Yes,0.77548,2577,16296,0.74198,0.80567
282,282,2012,2nd Quintile,No,0.22452,682,16296,0.2088,0.24385
283,283,2012,3rd Quintile,Yes,0.82222,2667,16296,0.79103,0.85544
284,284,2012,3rd Quintile,No,0.17778,570,16296,0.16469,0.19384
285,285,2012,4th Quintile,Yes,0.86944,2616,16296,0.83877,0.90421
286,286,2012,4th Quintile,No,0.13056,395,16296,0.12004,0.14174
287,287,2012,5th Quintile,Yes,0.90894,2903,16296,0.87926,0.94302
288,288,2012,5th Quintile,No,0.09106,257,16296,0.08037,0.09996
289,289,2013,1st Quintile,Yes,0.65396,2941,17862,0.62623,0.6856
290,290,2013,1st Quintile,No,0.34604,1269,17862,0.3256,0.36884
291,291,2013,2nd Quintile,Yes,0.75727,3041,17862,0.72941,0.78783
292,292,2013,2nd Quintile,No,0.24273,823,17862,0.22386,0.26065
293,293,2013,3rd Quintile,Yes,0.82373,2838,17862,0.79675,0.85747
294,294,2013,3rd Quintile,No,0.17627,572,17862,0.16144,0.1899
295,295,2013,4th Quintile,Yes,0.87738,2731,17862,0.84147,0.91262
296,296,2013,4th Quintile,No,0.12262,403,17862,0.11062,0.13445
297,297,2013,5th Quintile,Yes,0.91216,2987,17862,0.87735,0.94345
298,298,2013,5th Quintile,No,0.08784,257,17862,0.07655,0.09868
299,299,2014,1st Quintile,Yes,0.68148,2445,15819,0.65007,0.71159
300,300,2014,1st Quintile,No,0.31852,1004,15819,0.2968,0.34417
301,301,2014,2nd Quintile,Yes,0.75369,2605,15819,0.72024,0.78371
302,302,2014,2nd Quintile,No,0.24631,724,15819,0.22714,0.26331
303,303,2014,3rd Quintile,Yes,0.83154,2582,15819,0.79646,0.87231
304,304,2014,3rd Quintile,No,0.16846,507,15819,0.15596,0.18215
305,305,2014,4th Quintile,Yes,0.85986,2575,15819,0.83017,0.89197
306,306,2014,4th Quintile,No,0.14014,385,15819,0.12647,0.15449
307,307,2014,5th Quintile,Yes,0.91418,2754,15819,0.87601,0.94913
308,308,2014,5th Quintile,No,0.08582,238,15819,0.07321,0.09752
309,309,2015,1st Quintile,Yes,0.64986,2406,15752,0.62067,0.67574
310,310,2015,1st Quintile,No,0.35014,1129,15752,0.3234,0.37841
311,311,2015,2nd Quintile,Yes,0.76637,2601,15752,0.73915,0.80177
312,312,2015,2nd Quintile,No,0.23363,778,15752,0.21513,0.25194
313,313,2015,3rd Quintile,Yes,0.84698,2552,15752,0.80967,0.88003
314,314,2015,3rd Quintile,No,0.15302,487,15752,0.13489,0.17279
315,315,2015,4th Quintile,Yes,0.86628,2436,15752,0.81851,0.90459
316,316,2015,4th Quintile,No,0.13372,380,15752,0.11996,0.1464
317,317,2015,5th Quintile,Yes,0.91374,2737,15752,0.87759,0.95078
318,318,2015,5th Quintile,No,0.08626,246,15752,0.07482,0.09814
319,319,2016,1st Quintile,Yes,0.63195,3191,16393,0.59264,0.66293
320,320,2016,1st Quintile,No,0.36805,1974,16393,0.34246,0.3957
321,321,2016,2nd Quintile,Yes,0.78158,2432,16393,0.74534,0.81544
322,322,2016,2nd Quintile,No,0.21842,667,16393,0.2019,0.23793
323,323,2016,3rd Quintile,Yes,0.84195,2297,16393,0.79548,0.87367
324,324,2016,3rd Quintile,No,0.15805,453,16393,0.14274,0.17397
325,325,2016,4th Quintile,Yes,0.86924,2335,16393,0.83535,0.90221
326,326,2016,4th Quintile,No,0.13076,323,16393,0.1162,0.14431
327,327,2016,5th Quintile,Yes,0.91707,2513,16393,0.88093,0.95375
328,328,2016,5th Quintile,No,0.08293,208,16393,0.0704,0.09177
329,329,2017,1st Quintile,Yes,0.64511,3477,18225,0.60736,0.68198
330,330,2017,1st Quintile,No,0.35489,2159,18225,0.3318,0.38165
331,331,2017,2nd Quintile,Yes,0.77008,2582,18225,0.73712,0.80073
332,332,2017,2nd Quintile,No,0.22992,754,18225,0.20945,0.24902
333,333,2017,3rd Quintile,Yes,0.83499,2594,18225,0.80453,0.86685
334,334,2017,3rd Quintile,No,0.16501,498,18225,0.15103,0.1792
335,335,2017,4th Quintile,Yes,0.8679,2661,18225,0.8374,0.90344
336,336,2017,4th Quintile,No,0.1321,385,18225,0.11912,0.14695
337,337,2017,5th Quintile,Yes,0.91687,2866,18225,0.88342,0.95016
338,338,2017,5th Quintile,No,0.08313,249,18225,0.07284,0.09397
339,339,2018,1st Quintile,Yes,0.6666,3302,17557,0.63082,0.70368
340,340,2018,1st Quintile,No,0.3334,1855,17557,0.30945,0.36071
341,341,2018,2nd Quintile,Yes,0.78588,2735,17557,0.75359,0.82563
342,342,2018,2nd Quintile,No,0.21412,793,17557,0.1989,0.22891
343,343,2018,3rd Quintile,Yes,0.83585,2470,17557,0.79799,0.87544
344,344,2018,3rd Quintile,No,0.16415,504,17557,0.14838,0.1794
345,345,2018,4th Quintile,Yes,0.86984,2515,17557,0.82967,0.90593
346,346,2018,4th Quintile,No,0.13016,366,17557,0.11731,0.14385
347,347,2018,5th Quintile,Yes,0.91931,2771,17557,0.88799,0.95485
348,348,2018,5th Quintile,No,0.08069,246,17557,0.07,0.09088
349,349,2019,1st Quintile,Yes,0.67679,2873,14875,0.63646,0.72046
350,350,2019,1st Quintile,No,0.32321,1634,14875,0.2958,0.35212
351,351,2019,2nd Quintile,Yes,0.78023,2135,14875,0.74487,0.81824
352,352,2019,2nd Quintile,No,0.21977,588,14875,0.19961,0.23785
353,353,2019,3rd Quintile,Yes,0.84431,2167,14875,0.8055,0.88267
354,354,2019,3rd Quintile,No,0.15569,409,14875,0.13873,0.1728
355,355,2019,4th Quintile,Yes,0.88834,2210,14875,0.84476,0.92737
356,356,2019,4th Quintile,No,0.11166,282,14875,0.09875,0.1255
357,357,2019,5th Quintile,Yes,0.92011,2382,14875,0.88032,0.96254
358,358,2019,5th Quintile,No,0.07989,195,14875,0.06801,0.09144
359,359,2020,1st Quintile,Yes,0.67875,3814,19102,0.63955,0.71125
360,360,2020,1st Quintile,No,0.32125,2280,19102,0.29876,0.3514
361,361,2020,2nd Quintile,Yes,0.78661,2621,19102,0.75435,0.82773
362,362,2020,2nd Quintile,No,0.21339,845,19102,0.19363,0.23376
363,363,2020,3rd Quintile,Yes,0.84493,2448,19102,0.8087,0.88405
364,364,2020,3rd Quintile,No,0.15507,509,19102,0.14153,0.17221
365,365,2020,4th Quintile,Yes,0.88025,2466,19102,0.83841,0.91918
366,366,2020,4th Quintile,No,0.11975,376,19102,0.10415,0.13741
