year,rentown,sampreg,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1996,Tenant,East,No,0.49599,564,6384,0,0.47313,0,0.52048
1997,Owner,West,Yes,0.86233,1560,6298,0,0.83496,0,0.88935
1997,Owner,West,No,0.13767,251,6298,0,0.12733,0,0.14811
1997,Owner,East,Yes,0.42977,264,6298,0,0.39867,0,0.45776
1997,Owner,East,No,0.57023,309,6298,0,0.53409,0,0.60450
1997,Tenant,West,Yes,0.67124,1766,6298,0,0.64713,0,0.69308
1997,Tenant,West,No,0.32876,1003,6298,0,0.30822,0,0.34792
1997,Tenant,East,Yes,0.51208,611,6298,0,0.48742,0,0.53375
1997,Tenant,East,No,0.48792,534,6298,0,0.46338,0,0.51652
1998,Owner,West,Yes,0.87729,1949,7362,0,0.85399,0,0.89991
1998,Owner,West,No,0.12271,262,7362,0,0.11385,0,0.13263
1998,Owner,East,Yes,0.46411,338,7362,0,0.43262,0,0.49952
1998,Owner,East,No,0.53589,337,7362,0,0.50029,0,0.56718
1998,Tenant,West,Yes,0.67236,2105,7362,0,0.64856,0,0.69344
1998,Tenant,West,No,0.32764,1113,7362,0,0.31206,0,0.34581
1998,Tenant,East,Yes,0.53443,693,7362,0,0.51219,0,0.55520
1998,Tenant,East,No,0.46557,565,7362,0,0.44322,0,0.48633
1999,Owner,West,Yes,0.88538,1921,7057,0,0.86353,0,0.91170
1999,Owner,West,No,0.11462,240,7057,0,0.10539,0,0.12456
1999,Owner,East,Yes,0.48645,348,7057,0,0.44936,0,0.52641
1999,Owner,East,No,0.51355,326,7057,0,0.48154,0,0.54162
1999,Tenant,West,Yes,0.67615,1984,7057,0,0.65427,0,0.69824
1999,Tenant,West,No,0.32385,1019,7057,0,0.30748,0,0.34027
1999,Tenant,East,Yes,0.55096,688,7057,0,0.52543,0,0.57902
1999,Tenant,East,No,0.44904,531,7057,0,0.42812,0,0.47308
2000,Owner,West,Yes,0.89305,4142,12780,0,0.87989,0,0.90909
2000,Owner,West,No,0.10695,483,12780,0,0.10210,0,0.11185
2000,Owner,East,Yes,0.50116,599,12780,0,0.48057,0,0.52749
2000,Owner,East,No,0.49884,542,12780,0,0.47947,0,0.52420
2000,Tenant,West,Yes,0.67581,3460,12780,0,0.66364,0,0.69055
2000,Tenant,West,No,0.32419,1679,12780,0,0.31545,0,0.33486
2000,Tenant,East,Yes,0.52429,1018,12780,0,0.51088,0,0.54168
2000,Tenant,East,No,0.47571,857,12780,0,0.46194,0,0.49208
2001,Owner,West,Yes,0.89369,3711,11493,0,0.87660,0,0.91012
2001,Owner,West,No,0.10631,412,11493,0,0.10082,0,0.11183
2001,Owner,East,Yes,0.50653,571,11493,0,0.48132,0,0.53249
2001,Owner,East,No,0.49347,507,11493,0,0.47006,0,0.52028
2001,Tenant,West,Yes,0.68875,3172,11493,0,0.67506,0,0.70120
2001,Tenant,West,No,0.31125,1419,11493,0,0.30151,0,0.32181
2001,Tenant,East,Yes,0.53387,943,11493,0,0.51327,0,0.55380
2001,Tenant,East,No,0.46613,758,11493,0,0.44833,0,0.48433
2002,Owner,West,Yes,0.89410,4278,11965,0,0.87471,0,0.91164
2002,Owner,West,No,0.10590,406,11965,0,0.09993,0,0.11233
2002,Owner,East,Yes,0.50738,601,11965,0,0.47886,0,0.54162
2002,Owner,East,No,0.49262,479,11965,0,0.46654,0,0.52043
2002,Tenant,West,Yes,0.69369,3177,11965,0,0.67649,0,0.70856
2002,Tenant,West,No,0.30631,1340,11965,0,0.29549,0,0.31843
2002,Tenant,East,Yes,0.54846,963,11965,0,0.52758,0,0.56717
2002,Tenant,East,No,0.45154,721,11965,0,0.43214,0,0.47352
2003,Owner,West,Yes,0.89424,4110,11548,0,0.87818,0,0.91462
2003,Owner,West,No,0.10576,392,11548,0,0.09901,0,0.11238
2003,Owner,East,Yes,0.52227,607,11548,0,0.49237,0,0.55704
2003,Owner,East,No,0.47773,471,11548,0,0.44882,0,0.50520
2003,Tenant,West,Yes,0.69662,3069,11548,0,0.68081,0,0.71649
2003,Tenant,West,No,0.30338,1255,11548,0,0.29235,0,0.31376
2003,Tenant,East,Yes,0.56395,962,11548,0,0.53983,0,0.59013
2003,Tenant,East,No,0.43605,682,11548,0,0.41351,0,0.45475
2004,Owner,West,Yes,0.89750,4035,11275,0,0.87647,0,0.91789
2004,Owner,West,No,0.10250,368,11275,0,0.09483,0,0.10961
