year,quintil_oecd_hh,regtyp,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2007,1st Quintile,Rural regions,Yes,0.04026543717750973,407,11449,0.04020422446161725,0.04032664989340221
2007,1st Quintile,Rural regions,No,0.029368056818528523,306,11449,0.02931548357553043,0.029420630061526617
2007,2nd Quintile,Urban regions,Yes,0.10253776127429673,994,11449,0.10244330085271336,0.1026322216958801
2007,2nd Quintile,Urban regions,No,0.02918287723744209,314,11449,0.029130465007265228,0.02923528946761895
2007,2nd Quintile,Rural regions,Yes,0.04523398839294514,548,11449,0.04516927699408736,0.04529869979180291
2007,2nd Quintile,Rural regions,No,0.022997605679137445,281,11449,0.02295093017715626,0.02304428118111863
2007,3rd Quintile,Urban regions,Yes,0.1079816199062543,1107,11449,0.10788497884455575,0.10807826096795284
2007,3rd Quintile,Urban regions,No,0.02635394829437927,259,11449,0.026304068659011384,0.026403827929747156
2007,3rd Quintile,Rural regions,Yes,0.04901432621625294,606,11449,0.04894709849704959,0.049081553935456296
2007,3rd Quintile,Rural regions,No,0.016805147312189427,230,11449,0.016765121437466134,0.01684517318691272
2007,4th Quintile,Urban regions,Yes,0.1159805073860552,1337,11449,0.11588080092667247,0.11608021384543793
2007,4th Quintile,Urban regions,No,0.021563778545820818,212,11449,0.02151854833998361,0.021609008751658026
2007,4th Quintile,Rural regions,Yes,0.05098554384875059,628,11449,0.05091704869989814,0.051054038997603045
2007,4th Quintile,Rural regions,No,0.011658814077461811,149,11449,0.011625388377782063,0.01169223977714156
2007,5th Quintile,Urban regions,Yes,0.13658965517861238,1970,11449,0.13648272078773227,0.1366965895694925
2007,5th Quintile,Urban regions,No,0.014643597878164334,164,11449,0.014606193672156743,0.014681002084171925
2007,5th Quintile,Rural regions,Yes,0.04461117497234461,638,11449,0.04454688965661512,0.0446754602880741
2007,5th Quintile,Rural regions,No,0.004476630140651923,66,11449,0.00445584269107846,0.004497417590225386
2008,1st Quintile,Urban regions,Yes,0.08560356987361843,772,10820,0.08551686648399498,0.08569027326324188
2008,1st Quintile,Urban regions,No,0.04472258851981304,397,10820,0.04465853380562163,0.04478664323400445
2008,1st Quintile,Rural regions,Yes,0.042136270864332366,417,10820,0.04207401177125504,0.04219852995740969
2008,1st Quintile,Rural regions,No,0.027141498726079887,282,10820,0.02709114117184958,0.027191856280310196
2008,2nd Quintile,Urban regions,Yes,0.10088561853050326,920,10820,0.10079228343418979,0.10097895362681673
2008,2nd Quintile,Urban regions,No,0.02812753620248739,270,10820,0.028076298061761453,0.028178774343213326
2008,2nd Quintile,Rural regions,Yes,0.0486568178215661,530,10820,0.04859014277408968,0.04872349286904252
2008,2nd Quintile,Rural regions,No,0.022408608438004164,258,10820,0.02236274052231238,0.02245447635369595
2008,3rd Quintile,Urban regions,Yes,0.10826893677976293,1089,10820,0.10817264443524592,0.10836522912427994
2008,3rd Quintile,Urban regions,No,0.02572534908490199,253,10820,0.025676287201368577,0.025774410968435402
2008,3rd Quintile,Rural regions,Yes,0.050111406146571016,597,10820,0.05004379356656175,0.05017901872658028
2008,3rd Quintile,Rural regions,No,0.01599053847136122,219,10820,0.015951664934269968,0.01602941200845247
2008,4th Quintile,Urban regions,Yes,0.12034287693967984,1242,10820,0.1202420469357804,0.12044370694357927
2008,4th Quintile,Urban regions,No,0.021534153818064873,198,10820,0.021489169657750214,0.021579137978379532
2008,4th Quintile,Rural regions,Yes,0.04959164105232103,575,10820,0.04952436163200246,0.049658920472639596
2008,4th Quintile,Rural regions,No,0.008514018844887929,105,10820,0.008485545829039378,0.00854249186073648
2008,5th Quintile,Urban regions,Yes,0.13875461224862753,1880,10820,0.13864748250985282,0.13886174198740225
2008,5th Quintile,Urban regions,No,0.012827894804730447,142,10820,0.01279302118644071,0.012862768423020183
2008,5th Quintile,Rural regions,Yes,0.04413017799557575,603,10820,0.04406652921432598,0.044193826776825526
2008,5th Quintile,Rural regions,No,0.004525884837110763,60,10820,0.004505083578534532,0.004546686095686993
2009,1st Quintile,Urban regions,Yes,0.09037140529087868,770,10173,0.09028264711411876,0.0904601634676386
2009,1st Quintile,Urban regions,No,0.04311477981500279,367,10173,0.043051901077655524,0.04317765855235006
2009,1st Quintile,Rural regions,Yes,0.04154109754894252,389,10173,0.041479326278465255,0.04160286881941979
2009,1st Quintile,Rural regions,No,0.025087972327963386,258,10173,0.025039557733571638,0.025136386922355133
2009,2nd Quintile,Urban regions,Yes,0.10066146877659442,866,10173,0.10056832495889831,0.10075461259429053
2009,2nd Quintile,Urban regions,No,0.031196552424108934,274,10173,0.031142733880452154,0.031250370967765714
2009,2nd Quintile,Rural regions,Yes,0.045644630888174734,515,10173,0.045580019255873766,0.0457092425204757
2009,2nd Quintile,Rural regions,No,0.021872766063577038,247,10173,0.02182748565549905,0.021918046471655024
2009,3rd Quintile,Urban regions,Yes,0.10721066152666243,979,10173,0.10711488605748587,0.107306436995839
2009,3rd Quintile,Urban regions,No,0.021986780257805,212,10173,0.021941384634543246,0.022032175881066755
2009,3rd Quintile,Rural regions,Yes,0.0523577158461763,570,10173,0.05228875963930219,0.05242667205305041
2009,3rd Quintile,Rural regions,No,0.018371139658648925,204,10173,0.01832956750620885,0.018412711811089
2009,4th Quintile,Urban regions,Yes,0.12262147246903429,1196,10173,0.12251993237370236,0.12272301256436623
2009,4th Quintile,Urban regions,No,0.016794384982781716,159,10173,0.016754604959785212,0.01683416500577822
2009,4th Quintile,Rural regions,Yes,0.052622211763278456,572,10173,0.05255309125060508,0.05269133227595183
2009,4th Quintile,Rural regions,No,0.008285704753018671,102,10173,0.008257642740355143,0.0083137667656822
2009,5th Quintile,Urban regions,Yes,0.13679194114471419,1715,10173,0.13668556388420333,0.13689831840522504
