syear,regtyp,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2000,Urban regions,West,,,,,,,,,,,,
2000,Urban regions,East,,,,,,,,,,,,
2000,Rural regions,West,,,,,,,,,,,,
2000,Rural regions,East,,,,,,,,,,,,
2001,Urban regions,West,,,,,,,,,,,,
2001,Urban regions,East,,,,,,,,,,,,
2001,Rural regions,West,,,,,,,,,,,,
2001,Rural regions,East,,,,,,,,,,,,
2002,Urban regions,West,,,,,,,,,,,,
2002,Urban regions,East,,,,,,,,,,,,
2002,Rural regions,West,,,,,,,,,,,,
2002,Rural regions,East,,,,,,,,,,,,
2003,Urban regions,West,,,,,,,,,,,,
2003,Urban regions,East,,,,,,,,,,,,
2003,Rural regions,West,,,,,,,,,,,,
2003,Rural regions,East,,,,,,,,,,,,
2004,Urban regions,West,,,,,,,,,,,,
2004,Urban regions,East,,,,,,,,,,,,
2004,Rural regions,West,,,,,,,,,,,,
2004,Rural regions,East,,,,,,,,,,,,
2005,Urban regions,West,5.890295005840831,5.8798341705367765,5.9007558411448855,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,11974.0
2005,Urban regions,East,5.90039277471974,5.873553916722135,5.927231632717345,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,1694.0
2005,Rural regions,West,5.900765955641481,5.881650522230111,5.919881389052851,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,3579.0
2005,Rural regions,East,5.919360571831928,5.899929345277789,5.938791798386067,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,3321.0
2006,Urban regions,West,,,,,,,,,,,,
2006,Urban regions,East,,,,,,,,,,,,
2006,Rural regions,West,,,,,,,,,,,,
2006,Rural regions,East,,,,,,,,,,,,
2007,Urban regions,West,,,,,,,,,,,,
2007,Urban regions,East,,,,,,,,,,,,
2007,Rural regions,West,,,,,,,,,,,,
2007,Rural regions,East,,,,,,,,,,,,
2008,Urban regions,West,,,,,,,,,,,,
2008,Urban regions,East,,,,,,,,,,,,
2008,Rural regions,West,,,,,,,,,,,,
2008,Rural regions,East,,,,,,,,,,,,
2009,Urban regions,West,,,,,,,,,,,,
2009,Urban regions,East,,,,,,,,,,,,
2009,Rural regions,West,,,,,,,,,,,,
2009,Rural regions,East,,,,,,,,,,,,
2010,Urban regions,West,5.830126656064086,5.818079190398945,5.842174121729227,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,9440.0
2010,Urban regions,East,5.7819915799005,5.751410781315944,5.812572378485055,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,1396.0
2010,Rural regions,West,5.826285625495454,5.804878741501571,5.847692509489337,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,3011.0
2010,Rural regions,East,5.902281598945071,5.880947437655814,5.923615760234328,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,2712.0
2011,Urban regions,West,,,,,,,,,,,,
2011,Urban regions,East,,,,,,,,,,,,
2011,Rural regions,West,,,,,,,,,,,,
2011,Rural regions,East,,,,,,,,,,,,
2012,Urban regions,West,,,,,,,,,,,,
2012,Urban regions,East,,,,,,,,,,,,
2012,Rural regions,West,,,,,,,,,,,,
2012,Rural regions,East,,,,,,,,,,,,
2013,Urban regions,West,,,,,,,,,,,,
2013,Urban regions,East,,,,,,,,,,,,
2013,Rural regions,West,,,,,,,,,,,,
2013,Rural regions,East,,,,,,,,,,,,
2014,Urban regions,West,,,,,,,,,,,,
2014,Urban regions,East,,,,,,,,,,,,
2014,Rural regions,West,,,,,,,,,,,,
2014,Rural regions,East,,,,,,,,,,,,
2015,Urban regions,West,5.878486956225473,5.8695327134116235,5.887441199039322,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,15404.0
2015,Urban regions,East,5.846061750195748,5.821817623276129,5.870305877115367,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,1917.0
2015,Rural regions,West,5.911043590064688,5.896412306647453,5.925674873481923,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,5787.0
2015,Rural regions,East,5.85806288777504,5.838661474339277,5.877464301210802,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,3470.0
2016,Urban regions,West,6.267208205721239,6.240599313451005,6.293817097991473,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,1935.0
2016,Urban regions,East,6.401413976038033,6.341339182744067,6.461488769332,6.0,7.0,7.0,4.5,7.0,7.0,7.0,8.0,193.0
2016,Rural regions,West,6.53367532358086,6.498659256911339,6.56869139025038,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,577.0
2016,Rural regions,East,6.835091182558255,6.793564851432997,6.876617513683513,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,284.0
2017,Urban regions,West,6.639801035861592,6.6168280500283325,6.662774021694852,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1116.0
2017,Urban regions,East,6.855756428873213,6.8191569088805295,6.892355948865896,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,107.0
2017,Rural regions,West,6.826202101999451,6.797474261821663,6.854929942177239,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,508.0
2017,Rural regions,East,6.8304712658174624,6.768680014980788,6.892262516654137,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,96.0
2018,Urban regions,West,6.657474582958569,6.584270947886675,6.730678218030463,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,210.0
2018,Urban regions,East,,,,,,,,,,,,
2018,Rural regions,West,6.850152426536843,6.802544236248205,6.89776061682548,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,118.0
2018,Rural regions,East,6.751281647986177,6.642217695911856,6.860345600060499,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,32.0
2019,Urban regions,West,6.309652875867596,6.1932301232242315,6.426075628510961,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,155.0
2019,Urban regions,East,,,,,,,,,,,,
2019,Rural regions,West,6.485056950680487,6.36964817363253,6.600465727728444,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,78.0
2019,Rural regions,East,,,,,,,,,,,,
2020,Urban regions,West,5.837256173956015,5.8288777218903665,5.845634626021663,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,17637.0
2020,Urban regions,East,5.816681186073522,5.792642014806119,5.840720357340925,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,2192.0
2020,Rural regions,West,5.85812484530184,5.843334220676221,5.8729154699274595,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,5834.0
2020,Rural regions,East,5.961079071080641,5.9433165258848675,5.978841616276414,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,3608.0
2021,Urban regions,West,6.3668958268968465,6.28315459310225,6.450637060691443,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,188.0
2021,Urban regions,East,,,,,,,,,,,,
2021,Rural regions,West,6.916571984094182,6.861705459218788,6.971438508969577,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,36.0
2021,Rural regions,East,,,,,,,,,,,,
