"plh0012_h","year","n","percent","lower_confidence","upper_confidence"
"Andere","1986","","","",""
"SPD/Buendnis90/Gruene","1986","","","",""
"SPD/CDU","1986","","","",""
"SPD/FDP","1986","","","",""
"SPD/DVU(Rep/NPD)","1986","","","",""
"CDU/CSU","1986","506","0.0857640448656443","0.0783495901489423","0.0931784995823462"
"CDU/FDP","1986","","","",""
"CDU/Buendnis90/Gruene","1986","","","",""
"Buendnis90/Gruene/Die Linke","1986","","","",""
"SPD/Die Linke","1986","","","",""
"Gruene/DVU(Rep/NPD)","1986","","","",""
"Die Linke /DVU(Rep/NPD)","1986","","","",""
"CDU/Die Linke","1986","","","",""
"CDU/DVU(Rep/NPD)","1986","","","",""
"CSU/FDP","1986","","","",""
"Gruene/FDP","1986","","","",""
"FDP/Die Linke","1986","","","",""
"FDP/NPD","1986","","","",""
"Piratenpartei","1986","","","",""
"AfD","1986","","","",""
"CDU+/oder CSU/AfD","1986","","","",""
"SPD/AfD","1986","","","",""
"SPD","1987","2618","0.417241726663245","0.404577592616529","0.429905860709962"
"CDU","1987","1539","0.295403190222694","0.283686219771007","0.30712016067438"
"CSU","1987","284","0.058883915784609","0.0528380660730714","0.0649297654961465"
"FDP","1987","278","0.0539427261085351","0.0481409285921072","0.0597445236249629"
"Buendnis90/Gruene","1987","472","0.0680743149199132","0.0616055750297868","0.0745430548100396"
"Die Linke","1987","","","",""
"NPD/Republikaner/Die Rechte","1987","","","",""
"Andere","1987","37","0.00725287117681794","0.00507359781872541","0.00943214453491048"
"SPD/Buendnis90/Gruene","1987","","","",""
"SPD/CDU","1987","","","",""
"SPD/FDP","1987","","","",""
"SPD/DVU(Rep/NPD)","1987","","","",""
"CDU/CSU","1987","596","0.0992012551241856","0.0915239309758905","0.106878579272481"
"CDU/FDP","1987","","","",""
"CDU/Buendnis90/Gruene","1987","","","",""
"Buendnis90/Gruene/Die Linke","1987","","","",""
"SPD/Die Linke","1987","","","",""
"Gruene/DVU(Rep/NPD)","1987","","","",""
"Die Linke /DVU(Rep/NPD)","1987","","","",""
"CDU/Die Linke","1987","","","",""
"CDU/DVU(Rep/NPD)","1987","","","",""
"CSU/FDP","1987","","","",""
"Gruene/FDP","1987","","","",""
"FDP/Die Linke","1987","","","",""
"FDP/NPD","1987","","","",""
"Piratenpartei","1987","","","",""
"AfD","1987","","","",""
"CDU+/oder CSU/AfD","1987","","","",""
"SPD/AfD","1987","","","",""
"SPD","1988","2600","0.465963850798634","0.452424982134807","0.479502719462461"
"CDU","1988","1296","0.278788984474138","0.266619003051915","0.290958965896361"
"CSU","1988","256","0.0562785825043336","0.0500237682755397","0.0625333967331275"
"FDP","1988","214","0.0456551277127314","0.0399898867350395","0.0513203686904233"
"Buendnis90/Gruene","1988","339","0.0576837387577358","0.0513560373399542","0.0640114401755173"
"Die Linke","1988","","","",""
"NPD/Republikaner/Die Rechte","1988","","","",""
"Andere","1988","48","0.0104157108612144","0.00766026559795832","0.0131711561244705"
"SPD/Buendnis90/Gruene","1988","","","",""
"SPD/CDU","1988","","","",""
"SPD/FDP","1988","","","",""
"SPD/DVU(Rep/NPD)","1988","","","",""
"CDU/CSU","1988","462","0.0852140048912129","0.0776363263703299","0.092791683412096"
"CDU/FDP","1988","","","",""
"CDU/Buendnis90/Gruene","1988","","","",""
"Buendnis90/Gruene/Die Linke","1988","","","",""
"SPD/Die Linke","1988","","","",""
"Gruene/DVU(Rep/NPD)","1988","","","",""
"Die Linke /DVU(Rep/NPD)","1988","","","",""
"CDU/Die Linke","1988","","","",""
"CDU/DVU(Rep/NPD)","1988","","","",""
"CSU/FDP","1988","","","",""
"Gruene/FDP","1988","","","",""
"FDP/Die Linke","1988","","","",""
"FDP/NPD","1988","","","",""
"Piratenpartei","1988","","","",""
"AfD","1988","","","",""
"CDU+/oder CSU/AfD","1988","","","",""
"SPD/AfD","1988","","","",""
"SPD","1989","2583","0.475131517840528","0.461284092139137","0.488978943541919"
"CDU","1989","1066","0.249171785900834","0.237177991479422","0.261165580322246"
"CSU","1989","251","0.0592017730387226","0.0526576345996368","0.0657459114778083"
"FDP","1989","139","0.0314648055339466","0.0266241173801041","0.0363054936877891"
"Buendnis90/Gruene","1989","358","0.0628685065796523","0.056137907609864","0.0695991055494406"
"Die Linke","1989","","","",""
"NPD/Republikaner/Die Rechte","1989","","","",""
"Andere","1989","186","0.04099575714168","0.0354976069863005","0.0464939072970595"
"SPD/Buendnis90/Gruene","1989","","","",""
"SPD/CDU","1989","","","",""
"SPD/FDP","1989","","","",""
"SPD/DVU(Rep/NPD)","1989","","","",""
"CDU/CSU","1989","413","0.0811658539646362","0.0735933044725192","0.0887384034567532"
"CDU/FDP","1989","","","",""
"CDU/Buendnis90/Gruene","1989","","","",""
"Buendnis90/Gruene/Die Linke","1989","","","",""
"SPD/Die Linke","1989","","","",""
"Gruene/DVU(Rep/NPD)","1989","","","",""
"Die Linke /DVU(Rep/NPD)","1989","","","",""
"CDU/Die Linke","1989","","","",""
"CDU/DVU(Rep/NPD)","1989","","","",""
"CSU/FDP","1989","","","",""
"Gruene/FDP","1989","","","",""
"FDP/Die Linke","1989","","","",""
"FDP/NPD","1989","","","",""
"Piratenpartei","1989","","","",""
"AfD","1989","","","",""
"CDU+/oder CSU/AfD","1989","","","",""
"SPD/AfD","1989","","","",""
"SPD","1990","2664","0.485556582801353","0.471823650787376","0.499289514815329"
"CDU","1990","1215","0.277872087449504","0.265563617558924","0.290180557340085"
"CSU","1990","193","0.0450460830605362","0.0393471407126471","0.0507450254084253"
"FDP","1990","197","0.0426739078355172","0.0371201659066518","0.0482276497643826"
"Buendnis90/Gruene","1990","299","0.0517270505100819","0.0456414970986631","0.0578126039215008"
"Die Linke","1990","","","",""
"NPD/Republikaner/Die Rechte","1990","73","0.0135755961351769","0.0103958979537322","0.0167552943166216"
"Andere","1990","","","",""
"SPD/Buendnis90/Gruene","1990","","","",""
"SPD/CDU","1990","","","",""
"SPD/FDP","1990","","","",""
"SPD/DVU(Rep/NPD)","1990","","","",""
"CDU/CSU","1990","418","0.0772221742792763","0.0698872754593337","0.084557073099219"
"CDU/FDP","1990","","","",""
"CDU/Buendnis90/Gruene","1990","","","",""
"Buendnis90/Gruene/Die Linke","1990","","","",""
"SPD/Die Linke","1990","","","",""
"Gruene/DVU(Rep/NPD)","1990","","","",""
"Die Linke /DVU(Rep/NPD)","1990","","","",""
"CDU/Die Linke","1990","","","",""
"CDU/DVU(Rep/NPD)","1990","","","",""
"CSU/FDP","1990","","","",""
"Gruene/FDP","1990","","","",""
"FDP/Die Linke","1990","","","",""
"FDP/NPD","1990","","","",""
"Piratenpartei","1990","","","",""
"AfD","1990","","","",""
"CDU+/oder CSU/AfD","1990","","","",""
"SPD/AfD","1990","","","",""
"SPD","1991","1891","0.446452367063557","0.431347590789006","0.461557143338109"
"CDU","1991","","","",""
"CSU","1991","","","",""
"FDP","1991","205","0.0541933942770093","0.0473144216544356","0.061072366899583"
"Buendnis90/Gruene","1991","221","0.0517429691984878","0.0450126146647227","0.058473323732253"
"Die Linke","1991","","","",""
"NPD/Republikaner/Die Rechte","1991","45","0.00984709522157151","0.00684686601257409","0.0128473244305689"
"Andere","1991","","","",""
"SPD/Buendnis90/Gruene","1991","","","",""
"SPD/CDU","1991","","","",""
"SPD/FDP","1991","","","",""
"SPD/DVU(Rep/NPD)","1991","","","",""
"CDU/CSU","1991","1776","0.43215553995241","0.417103894767986","0.447207185136835"
"CDU/FDP","1991","","","",""
"CDU/Buendnis90/Gruene","1991","","","",""
"Buendnis90/Gruene/Die Linke","1991","","","",""
"SPD/Die Linke","1991","","","",""
"Gruene/DVU(Rep/NPD)","1991","","","",""
"Die Linke /DVU(Rep/NPD)","1991","","","",""
"CDU/Die Linke","1991","","","",""
"CDU/DVU(Rep/NPD)","1991","","","",""
"CSU/FDP","1991","","","",""
"Gruene/FDP","1991","","","",""
"FDP/Die Linke","1991","","","",""
"FDP/NPD","1991","","","",""
"Piratenpartei","1991","","","",""
"AfD","1991","","","",""
"CDU+/oder CSU/AfD","1991","","","",""
"SPD/AfD","1991","","","",""
"SPD","1992","2553","0.440731717476498","0.427673572010725","0.45378986294227"
"CDU","1992","1791","0.347458715152212","0.334934807521819","0.359982622782606"
"CSU","1992","313","0.0663069279524862","0.0597625891309177","0.0728512667740547"
"FDP","1992","248","0.0476932784190528","0.0420879473635676","0.0532986094745379"
"Buendnis90/Gruene","1992","403","0.0607392308980729","0.0544570275477913","0.0670214342483545"
"Die Linke","1992","126","0.0159999116801649","0.0126997089771578","0.019300114383172"
"NPD/Republikaner/Die Rechte","1992","","","",""
"Andere","1992","119","0.0210702184215135","0.0172928047861548","0.0248476320568721"
"SPD/Buendnis90/Gruene","1992","","","",""
"SPD/CDU","1992","","","",""
"SPD/FDP","1992","","","",""
"SPD/DVU(Rep/NPD)","1992","","","",""
"CDU/CSU","1992","","","",""
"CDU/FDP","1992","","","",""
"CDU/Buendnis90/Gruene","1992","","","",""
"Buendnis90/Gruene/Die Linke","1992","","","",""
"SPD/Die Linke","1992","","","",""
"Gruene/DVU(Rep/NPD)","1992","","","",""
"Die Linke /DVU(Rep/NPD)","1992","","","",""
"CDU/Die Linke","1992","","","",""
"CDU/DVU(Rep/NPD)","1992","","","",""
"CSU/FDP","1992","","","",""
"Gruene/FDP","1992","","","",""
"FDP/Die Linke","1992","","","",""
"FDP/NPD","1992","","","",""
"Piratenpartei","1992","","","",""
"AfD","1992","","","",""
"CDU+/oder CSU/AfD","1992","","","",""
"SPD/AfD","1992","","","",""
"SPD","1993","2224","0.424497677549757","0.410668343678938","0.438327011420576"
"CDU","1993","1446","0.320636173258035","0.307577545877183","0.333694800638888"
"CSU","1993","269","0.0646988535988986","0.0578160704288063","0.071581636768991"
"FDP","1993","203","0.0488176550881742","0.042788445103659","0.0548468650726893"
"Buendnis90/Gruene","1993","438","0.0815027829183622","0.0738474302364673","0.0891581356002571"
"Die Linke","1993","143","0.0205994302813472","0.0166252474503581","0.0245736131123363"
"NPD/Republikaner/Die Rechte","1993","139","0.0302574972993917","0.0254647472652401","0.0350502473335433"
"Andere","1993","45","0.00898993000603434","0.00634899781101873","0.0116308622010499"
"SPD/Buendnis90/Gruene","1993","","","",""
"SPD/CDU","1993","","","",""
"SPD/FDP","1993","","","",""
"SPD/DVU(Rep/NPD)","1993","","","",""
"CDU/CSU","1993","","","",""
"CDU/FDP","1993","","","",""
"CDU/Buendnis90/Gruene","1993","","","",""
"Buendnis90/Gruene/Die Linke","1993","","","",""
"SPD/Die Linke","1993","","","",""
"Gruene/DVU(Rep/NPD)","1993","","","",""
"Die Linke /DVU(Rep/NPD)","1993","","","",""
"CDU/Die Linke","1993","","","",""
"CDU/DVU(Rep/NPD)","1993","","","",""
"CSU/FDP","1993","","","",""
"Gruene/FDP","1993","","","",""
"FDP/Die Linke","1993","","","",""
"FDP/NPD","1993","","","",""
"Piratenpartei","1993","","","",""
"AfD","1993","","","",""
"CDU+/oder CSU/AfD","1993","","","",""
"SPD/AfD","1993","","","",""
"SPD","1994","2415","0.453674052070602","0.440030634975888","0.467317469165316"
"CDU","1994","1492","0.318455087156677","0.305687859347078","0.331222314966277"
"CSU","1994","270","0.0608635101763474","0.0543115970930887","0.0674154232596061"
"FDP","1994","151","0.0353340602346265","0.0302745262553547","0.0403935942138984"
"Buendnis90/Gruene","1994","419","0.0768355999817749","0.0695368911329358","0.0841343088306141"
"Die Linke","1994","210","0.0281261965105902","0.0235952836128562","0.0326571094083242"
"NPD/Republikaner/Die Rechte","1994","93","0.0156774763175761","0.0122731431177117","0.0190818095174406"
"Andere","1994","65","0.011034017551806","0.00817127176670862","0.0138967633369034"
"SPD/Buendnis90/Gruene","1994","","","",""
"SPD/CDU","1994","","","",""
"SPD/FDP","1994","","","",""
"SPD/DVU(Rep/NPD)","1994","","","",""
"CDU/CSU","1994","","","",""
"CDU/FDP","1994","","","",""
"CDU/Buendnis90/Gruene","1994","","","",""
"Buendnis90/Gruene/Die Linke","1994","","","",""
"SPD/Die Linke","1994","","","",""
"Gruene/DVU(Rep/NPD)","1994","","","",""
"Die Linke /DVU(Rep/NPD)","1994","","","",""
"CDU/Die Linke","1994","","","",""
"CDU/DVU(Rep/NPD)","1994","","","",""
"CSU/FDP","1994","","","",""
"Gruene/FDP","1994","","","",""
"FDP/Die Linke","1994","","","",""
"FDP/NPD","1994","","","",""
"Piratenpartei","1994","","","",""
"AfD","1994","","","",""
"CDU+/oder CSU/AfD","1994","","","",""
"SPD/AfD","1994","","","",""
"SPD","1995","2504","0.423627438188832","0.41096726572138","0.436287610656284"
"CDU","1995","1919","0.337250500532017","0.325137633830934","0.3493633672331"
"CSU","1995","336","0.0665697998732196","0.0601831150904411","0.0729564846559981"
"FDP","1995","146","0.028705751783726","0.0244276037962922","0.0329838997711598"
"Buendnis90/Gruene","1995","572","0.094155989820246","0.0866734916829264","0.101638487957565"
"Die Linke","1995","268","0.0323913691814749","0.0278555007162469","0.0369272376467029"
"NPD/Republikaner/Die Rechte","1995","56","0.00976643325214655","0.00724682659373107","0.012286039910562"
"Andere","1995","51","0.00753271736833828","0.00531743103565333","0.00974800370102323"
"SPD/Buendnis90/Gruene","1995","","","",""
"SPD/CDU","1995","","","",""
"SPD/FDP","1995","","","",""
"SPD/DVU(Rep/NPD)","1995","","","",""
"CDU/CSU","1995","","","",""
"CDU/FDP","1995","","","",""
"CDU/Buendnis90/Gruene","1995","","","",""
"Buendnis90/Gruene/Die Linke","1995","","","",""
"SPD/Die Linke","1995","","","",""
"Gruene/DVU(Rep/NPD)","1995","","","",""
"Die Linke /DVU(Rep/NPD)","1995","","","",""
"CDU/Die Linke","1995","","","",""
"CDU/DVU(Rep/NPD)","1995","","","",""
"CSU/FDP","1995","","","",""
"Gruene/FDP","1995","","","",""
"FDP/Die Linke","1995","","","",""
"FDP/NPD","1995","","","",""
"Piratenpartei","1995","","","",""
"AfD","1995","","","",""
"CDU+/oder CSU/AfD","1995","","","",""
"SPD/AfD","1995","","","",""
"SPD","1996","2142","0.384108653159976","0.371202702308478","0.397014604011475"
"CDU","1996","1862","0.354370727596935","0.341678687463","0.367062767730871"
"CSU","1996","354","0.075211569913171","0.068213561971368","0.0822095778549741"
"FDP","1996","117","0.0266237311057452","0.0223521786272087","0.0308952835842818"
"Buendnis90/Gruene","1996","576","0.100774012654043","0.0927863519143168","0.108761673393769"
"Die Linke","1996","280","0.0346880510732658","0.0298325427692258","0.0395435593773057"
"NPD/Republikaner/Die Rechte","1996","76","0.0151645626071499","0.011921855763453","0.0184072694508467"
"Andere","1996","49","0.00905869188971341","0.00654467830140933","0.0115727054780175"
"SPD/Buendnis90/Gruene","1996","","","",""
"SPD/CDU","1996","","","",""
"SPD/FDP","1996","","","",""
"SPD/DVU(Rep/NPD)","1996","","","",""
"CDU/CSU","1996","","","",""
"CDU/FDP","1996","","","",""
"CDU/Buendnis90/Gruene","1996","","","",""
"Buendnis90/Gruene/Die Linke","1996","","","",""
"SPD/Die Linke","1996","","","",""
"Gruene/DVU(Rep/NPD)","1996","","","",""
"Die Linke /DVU(Rep/NPD)","1996","","","",""
"CDU/Die Linke","1996","","","",""
"CDU/DVU(Rep/NPD)","1996","","","",""
"CSU/FDP","1996","","","",""
"Gruene/FDP","1996","","","",""
"FDP/Die Linke","1996","","","",""
"FDP/NPD","1996","","","",""
"Piratenpartei","1996","","","",""
"AfD","1996","","","",""
"CDU+/oder CSU/AfD","1996","","","",""
"SPD/AfD","1996","","","",""
"SPD","1997","2143","0.420577573758521","0.406999991313485","0.434155156203556"
"CDU","1997","1636","0.334325845452543","0.321350540722798","0.347301150182287"
"CSU","1997","313","0.0699531937910002","0.062937705253914","0.0769686823280864"
"FDP","1997","108","0.0253773748778886","0.021051804974468","0.0297029447813093"
"Buendnis90/Gruene","1997","490","0.0930161628093684","0.0850273779342827","0.101004947684454"
"Die Linke","1997","241","0.0298354049482551","0.0251560022417373","0.0345148076547729"
"NPD/Republikaner/Die Rechte","1997","99","0.0179812923889519","0.01432642120457","0.0216361635733337"
"Andere","1997","48","0.00893315197347229","0.00634520377891769","0.0115211001680269"
"SPD/Buendnis90/Gruene","1997","","","",""
"SPD/CDU","1997","","","",""
"SPD/FDP","1997","","","",""
"SPD/DVU(Rep/NPD)","1997","","","",""
"CDU/CSU","1997","","","",""
"CDU/FDP","1997","","","",""
"CDU/Buendnis90/Gruene","1997","","","",""
"Buendnis90/Gruene/Die Linke","1997","","","",""
"SPD/Die Linke","1997","","","",""
"Gruene/DVU(Rep/NPD)","1997","","","",""
"Die Linke /DVU(Rep/NPD)","1997","","","",""
"CDU/Die Linke","1997","","","",""
"CDU/DVU(Rep/NPD)","1997","","","",""
"CSU/FDP","1997","","","",""
"Gruene/FDP","1997","","","",""
"FDP/Die Linke","1997","","","",""
"FDP/NPD","1997","","","",""
"Piratenpartei","1997","","","",""
"AfD","1997","","","",""
"CDU+/oder CSU/AfD","1997","","","",""
"SPD/AfD","1997","","","",""
"SPD","1998","2658","0.445702089000109","0.432964089248573","0.458440088751646"
"CDU","1998","1700","0.304654254126767","0.29285889128909","0.316449616964445"
"CSU","1998","307","0.0580320366361832","0.0520402098130101","0.0640238634593563"
"FDP","1998","129","0.0269855077297094","0.0228327917258463","0.0311382237335726"
"Buendnis90/Gruene","1998","534","0.0885277992447287","0.0812480096352457","0.0958075888542118"
"Die Linke","1998","251","0.028017737163367","0.0237885882382531","0.0322468860884809"
"NPD/Republikaner/Die Rechte","1998","92","0.0167165953200507","0.0134309509885849","0.0200022396515166"
"Andere","1998","80","0.0151420934358749","0.0120125064357466","0.0182716804360032"
"SPD/Buendnis90/Gruene","1998","33","0.00488287909338206","0.00309646405997597","0.00666929412678815"
"SPD/CDU","1998","","","",""
"SPD/FDP","1998","","","",""
"SPD/DVU(Rep/NPD)","1998","","","",""
"CDU/CSU","1998","","","",""
"CDU/FDP","1998","","","",""
"CDU/Buendnis90/Gruene","1998","","","",""
"Buendnis90/Gruene/Die Linke","1998","","","",""
"SPD/Die Linke","1998","","","",""
"Gruene/DVU(Rep/NPD)","1998","","","",""
"Die Linke /DVU(Rep/NPD)","1998","","","",""
"CDU/Die Linke","1998","","","",""
"CDU/DVU(Rep/NPD)","1998","","","",""
"CSU/FDP","1998","","","",""
"Gruene/FDP","1998","","","",""
"FDP/Die Linke","1998","","","",""
"FDP/NPD","1998","","","",""
"Piratenpartei","1998","","","",""
"AfD","1998","","","",""
"CDU+/oder CSU/AfD","1998","","","",""
"SPD/AfD","1998","","","",""
"SPD","1999","2757","0.43199414336109","0.419735969307141","0.444252317415039"
"CDU","1999","1945","0.322179537100559","0.31061530600929","0.333743768191827"
"CSU","1999","423","0.0778822918468925","0.071250620582243","0.0845139631115419"
"FDP","1999","135","0.0245285250725524","0.0207006879361056","0.0283563622089991"
"Buendnis90/Gruene","1999","420","0.0625959756105805","0.0566015571036416","0.0685903941175193"
"Die Linke","1999","304","0.0347763321345494","0.0302424908163594","0.0393101734527395"
"NPD/Republikaner/Die Rechte","1999","79","0.00999315487830059","0.00753176247924382","0.0124545472773574"
"Andere","1999","72","0.0103357228104916","0.00783293044680587","0.0128385151741773"
"SPD/Buendnis90/Gruene","1999","55","0.00899233184926533","0.0066562658012541","0.0113283978972766"
"SPD/CDU","1999","","","",""
"SPD/FDP","1999","","","",""
"SPD/DVU(Rep/NPD)","1999","","","",""
"CDU/CSU","1999","44","0.0107001284373152","0.00815406676646946","0.0132461901081609"
"CDU/FDP","1999","","","",""
"CDU/Buendnis90/Gruene","1999","","","",""
"Buendnis90/Gruene/Die Linke","1999","","","",""
"SPD/Die Linke","1999","","","",""
"Gruene/DVU(Rep/NPD)","1999","","","",""
"Die Linke /DVU(Rep/NPD)","1999","","","",""
"CDU/Die Linke","1999","","","",""
"CDU/DVU(Rep/NPD)","1999","","","",""
"CSU/FDP","1999","","","",""
"Gruene/FDP","1999","","","",""
"FDP/Die Linke","1999","","","",""
"FDP/NPD","1999","","","",""
"Piratenpartei","1999","","","",""
"AfD","1999","","","",""
"CDU+/oder CSU/AfD","1999","","","",""
"SPD/AfD","1999","","","",""
"SPD","2000","4603","0.432405585708365","0.423013005974457","0.441798165442273"
"CDU","2000","3438","0.32471659408174","0.315838587417044","0.333594600746436"
"CSU","2000","702","0.0674371542476848","0.062682610384093","0.0721916981112767"
"FDP","2000","280","0.0298852292677629","0.0266570321841285","0.0331134263513972"
"Buendnis90/Gruene","2000","749","0.0692864618815065","0.0644719485432126","0.0741009752198004"
"Die Linke","2000","530","0.0396044549934761","0.0359068775792797","0.0433020324076724"
"NPD/Republikaner/Die Rechte","2000","122","0.0100921373246524","0.00819713761","0.0119871370393048"
"Andere","2000","111","0.0104079138711368","0.00848380280253754","0.012332024939736"
"SPD/Buendnis90/Gruene","2000","58","0.00615262930453014","0.00467007569096624","0.00763518291809403"
"SPD/CDU","2000","","","",""
"SPD/FDP","2000","","","",""
"SPD/DVU(Rep/NPD)","2000","","","",""
"CDU/CSU","2000","42","0.00548452262066556","0.0040843055258609","0.00688473971547021"
"CDU/FDP","2000","","","",""
"CDU/Buendnis90/Gruene","2000","","","",""
"Buendnis90/Gruene/Die Linke","2000","","","",""
"SPD/Die Linke","2000","","","",""
"Gruene/DVU(Rep/NPD)","2000","","","",""
"Die Linke /DVU(Rep/NPD)","2000","","","",""
"CDU/Die Linke","2000","","","",""
"CDU/DVU(Rep/NPD)","2000","","","",""
"CSU/FDP","2000","","","",""
"Gruene/FDP","2000","","","",""
"FDP/Die Linke","2000","","","",""
"FDP/NPD","2000","","","",""
"Piratenpartei","2000","","","",""
"AfD","2000","","","",""
"CDU+/oder CSU/AfD","2000","","","",""
"SPD/AfD","2000","","","",""
"SPD","2001","4074","0.436886529096999","0.426815071499712","0.446957986694286"
"CDU","2001","2913","0.314920645307109","0.305489139214979","0.324352151399239"
"CSU","2001","594","0.0688321160986247","0.0636914476071074","0.073972784590142"
"FDP","2001","305","0.0365658443744423","0.0327546695939654","0.0403770191549193"
"Buendnis90/Gruene","2001","699","0.0720347009858312","0.066784852249666","0.0772845497219963"
"Die Linke","2001","433","0.0372585753257028","0.0334128523664665","0.041104298284939"
"NPD/Republikaner/Die Rechte","2001","98","0.00844797206442389","0.00658955137658399","0.0103063927522638"
"Andere","2001","90","0.0103116650423244","0.00826039107890372","0.012362939005745"
"SPD/Buendnis90/Gruene","2001","41","0.00509211434481721","0.00364683913500851","0.0065373895546259"
"SPD/CDU","2001","","","",""
"SPD/FDP","2001","","","",""
"SPD/DVU(Rep/NPD)","2001","","","",""
"CDU/CSU","2001","","","",""
"CDU/FDP","2001","","","",""
"CDU/Buendnis90/Gruene","2001","","","",""
"Buendnis90/Gruene/Die Linke","2001","","","",""
"SPD/Die Linke","2001","","","",""
"Gruene/DVU(Rep/NPD)","2001","","","",""
"Die Linke /DVU(Rep/NPD)","2001","","","",""
"CDU/Die Linke","2001","","","",""
"CDU/DVU(Rep/NPD)","2001","","","",""
"CSU/FDP","2001","","","",""
"Gruene/FDP","2001","","","",""
"FDP/Die Linke","2001","","","",""
"FDP/NPD","2001","","","",""
"Piratenpartei","2001","","","",""
"AfD","2001","","","",""
"CDU+/oder CSU/AfD","2001","","","",""
"SPD/AfD","2001","","","",""
"SPD","2002","4265","0.420621476921199","0.41117642218161","0.430066531660787"
"CDU","2002","3278","0.310458650724179","0.301606279839885","0.319311021608474"
"CSU","2002","812","0.0799705635818339","0.0747808486751103","0.0851602784885576"
"FDP","2002","484","0.0405566876546925","0.0367825437088333","0.0443308316005516"
"Buendnis90/Gruene","2002","756","0.0645364279098464","0.0598353931435471","0.0692374626761457"
"Die Linke","2002","553","0.0477052829495212","0.0436272898491589","0.0517832760498834"
"NPD/Republikaner/Die Rechte","2002","75","0.00877057489214583","0.00698664129522619","0.0105545084890655"
"Andere","2002","103","0.0110680130049518","0.00906632860902355","0.0130696974008801"
"SPD/Buendnis90/Gruene","2002","47","0.0053436436914676","0.00394877656770839","0.00673851081522681"
"SPD/CDU","2002","","","",""
"SPD/FDP","2002","","","",""
"SPD/DVU(Rep/NPD)","2002","","","",""
"CDU/CSU","2002","65","0.00699733289827571","0.00540248585876104","0.00859217993779037"
"CDU/FDP","2002","","","",""
"CDU/Buendnis90/Gruene","2002","","","",""
