"plh0012_h","year","sampreg","n","percent","lower_confidence","upper_confidence"
"SPD/DVU(Rep/NPD)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/CSU","1984","Westdeutschland, alte Bundeslaender","633","0.0923390489301534","0.0852678443375897","0.0994102535227171"
"CDU/CSU","1984","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/FDP","1984","Westdeutschland, alte Bundeslaender","","","",""
"CDU/FDP","1984","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1984","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1984","Westdeutschland, alte Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1984","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Die Linke","1984","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Die Linke","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1984","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1984","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Die Linke","1984","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Die Linke","1984","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1984","Westdeutschland, alte Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"CSU/FDP","1984","Westdeutschland, alte Bundeslaender","","","",""
"CSU/FDP","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/FDP","1984","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/FDP","1984","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/Die Linke","1984","Westdeutschland, alte Bundeslaender","","","",""
"FDP/Die Linke","1984","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/NPD","1984","Westdeutschland, alte Bundeslaender","","","",""
"FDP/NPD","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Piratenpartei","1984","Westdeutschland, alte Bundeslaender","","","",""
"Piratenpartei","1984","Ostdeutschland, neue Bundeslaender","","","",""
"AfD","1984","Westdeutschland, alte Bundeslaender","","","",""
"AfD","1984","Ostdeutschland, neue Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1984","Westdeutschland, alte Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1984","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/AfD","1984","Westdeutschland, alte Bundeslaender","","","",""
"SPD/AfD","1984","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1985","Westdeutschland, alte Bundeslaender","2809","0.448057360985961","0.435233739561115","0.460880982410808"
"SPD","1985","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1985","Westdeutschland, alte Bundeslaender","1500","0.297925963002838","0.286132467667026","0.309719458338651"
"CDU","1985","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1985","Westdeutschland, alte Bundeslaender","291","0.0605667935450226","0.0544157733617824","0.0667178137282627"
"CSU","1985","Ostdeutschland, neue Bundeslaender","","","",""
"FDP","1985","Westdeutschland, alte Bundeslaender","198","0.0389217129390548","0.0339343351975794","0.0439090906805303"
"FDP","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene","1985","Westdeutschland, alte Bundeslaender","409","0.0614801730876106","0.0552859595371554","0.0676743866380659"
"Buendnis90/Gruene","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke","1985","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke","1985","Ostdeutschland, neue Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1985","Westdeutschland, alte Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Andere","1985","Westdeutschland, alte Bundeslaender","36","0.00691499132356504","0.00477808275750826","0.00905189988962182"
"Andere","1985","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1985","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1985","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/CDU","1985","Westdeutschland, alte Bundeslaender","","","",""
"SPD/CDU","1985","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/FDP","1985","Westdeutschland, alte Bundeslaender","","","",""
"SPD/FDP","1985","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1985","Westdeutschland, alte Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1985","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/CSU","1985","Westdeutschland, alte Bundeslaender","534","0.0861330051159469","0.0788982605306909","0.093367749701203"
"CDU/CSU","1985","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/FDP","1985","Westdeutschland, alte Bundeslaender","","","",""
"CDU/FDP","1985","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1985","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1985","Westdeutschland, alte Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1985","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Die Linke","1985","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Die Linke","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1985","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1985","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1985","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Die Linke","1985","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Die Linke","1985","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1985","Westdeutschland, alte Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1985","Ostdeutschland, neue Bundeslaender","","","",""
"CSU/FDP","1985","Westdeutschland, alte Bundeslaender","","","",""
"CSU/FDP","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/FDP","1985","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/FDP","1985","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/Die Linke","1985","Westdeutschland, alte Bundeslaender","","","",""
"FDP/Die Linke","1985","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/NPD","1985","Westdeutschland, alte Bundeslaender","","","",""
"FDP/NPD","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Piratenpartei","1985","Westdeutschland, alte Bundeslaender","","","",""
"Piratenpartei","1985","Ostdeutschland, neue Bundeslaender","","","",""
"AfD","1985","Westdeutschland, alte Bundeslaender","","","",""
"AfD","1985","Ostdeutschland, neue Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1985","Westdeutschland, alte Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1985","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/AfD","1985","Westdeutschland, alte Bundeslaender","","","",""
"SPD/AfD","1985","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1986","Westdeutschland, alte Bundeslaender","2691","0.455374751981624","0.44218821369656","0.468561290266689"
"SPD","1986","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1986","Westdeutschland, alte Bundeslaender","1414","0.294667652587111","0.282596171083119","0.306739134091103"
"CDU","1986","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1986","Westdeutschland, alte Bundeslaender","284","0.0614470485303042","0.0550882166288166","0.0678058804317918"
"CSU","1986","Ostdeutschland, neue Bundeslaender","","","",""
"FDP","1986","Westdeutschland, alte Bundeslaender","170","0.0348798878477047","0.0300216847820127","0.0397380909133966"
"FDP","1986","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene","1986","Westdeutschland, alte Bundeslaender","385","0.0623826119641329","0.0559787487844372","0.0687864751438286"
"Buendnis90/Gruene","1986","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke","1986","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke","1986","Ostdeutschland, neue Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1986","Westdeutschland, alte Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1986","Ostdeutschland, neue Bundeslaender","","","",""
"Andere","1986","Westdeutschland, alte Bundeslaender","","","",""
"Andere","1986","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1986","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1986","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/CDU","1986","Westdeutschland, alte Bundeslaender","","","",""
"SPD/CDU","1986","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/FDP","1986","Westdeutschland, alte Bundeslaender","","","",""
"SPD/FDP","1986","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1986","Westdeutschland, alte Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1986","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/CSU","1986","Westdeutschland, alte Bundeslaender","506","0.0857640448656443","0.0783495901489423","0.0931784995823462"
"CDU/CSU","1986","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/FDP","1986","Westdeutschland, alte Bundeslaender","","","",""
"CDU/FDP","1986","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1986","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1986","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1986","Westdeutschland, alte Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1986","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Die Linke","1986","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Die Linke","1986","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1986","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1986","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1986","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1986","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Die Linke","1986","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Die Linke","1986","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1986","Westdeutschland, alte Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1986","Ostdeutschland, neue Bundeslaender","","","",""
"CSU/FDP","1986","Westdeutschland, alte Bundeslaender","","","",""
"CSU/FDP","1986","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/FDP","1986","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/FDP","1986","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/Die Linke","1986","Westdeutschland, alte Bundeslaender","","","",""
"FDP/Die Linke","1986","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/NPD","1986","Westdeutschland, alte Bundeslaender","","","",""
"FDP/NPD","1986","Ostdeutschland, neue Bundeslaender","","","",""
"Piratenpartei","1986","Westdeutschland, alte Bundeslaender","","","",""
"Piratenpartei","1986","Ostdeutschland, neue Bundeslaender","","","",""
"AfD","1986","Westdeutschland, alte Bundeslaender","","","",""
"AfD","1986","Ostdeutschland, neue Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1986","Westdeutschland, alte Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1986","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/AfD","1986","Westdeutschland, alte Bundeslaender","","","",""
"SPD/AfD","1986","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1987","Westdeutschland, alte Bundeslaender","2618","0.417241726663245","0.404577592616529","0.429905860709962"
"SPD","1987","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1987","Westdeutschland, alte Bundeslaender","1539","0.295403190222694","0.283686219771007","0.30712016067438"
"CDU","1987","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1987","Westdeutschland, alte Bundeslaender","284","0.058883915784609","0.0528380660730714","0.0649297654961465"
"CSU","1987","Ostdeutschland, neue Bundeslaender","","","",""
"FDP","1987","Westdeutschland, alte Bundeslaender","278","0.0539427261085351","0.0481409285921072","0.0597445236249629"
"FDP","1987","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene","1987","Westdeutschland, alte Bundeslaender","472","0.0680743149199132","0.0616055750297868","0.0745430548100396"
"Buendnis90/Gruene","1987","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke","1987","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke","1987","Ostdeutschland, neue Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1987","Westdeutschland, alte Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1987","Ostdeutschland, neue Bundeslaender","","","",""
"Andere","1987","Westdeutschland, alte Bundeslaender","37","0.00725287117681794","0.00507359781872541","0.00943214453491048"
"Andere","1987","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1987","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1987","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/CDU","1987","Westdeutschland, alte Bundeslaender","","","",""
"SPD/CDU","1987","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/FDP","1987","Westdeutschland, alte Bundeslaender","","","",""
"SPD/FDP","1987","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1987","Westdeutschland, alte Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1987","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/CSU","1987","Westdeutschland, alte Bundeslaender","596","0.0992012551241856","0.0915239309758905","0.106878579272481"
"CDU/CSU","1987","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/FDP","1987","Westdeutschland, alte Bundeslaender","","","",""
"CDU/FDP","1987","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1987","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1987","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1987","Westdeutschland, alte Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1987","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Die Linke","1987","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Die Linke","1987","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1987","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1987","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1987","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1987","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Die Linke","1987","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Die Linke","1987","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1987","Westdeutschland, alte Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1987","Ostdeutschland, neue Bundeslaender","","","",""
"CSU/FDP","1987","Westdeutschland, alte Bundeslaender","","","",""
"CSU/FDP","1987","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/FDP","1987","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/FDP","1987","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/Die Linke","1987","Westdeutschland, alte Bundeslaender","","","",""
"FDP/Die Linke","1987","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/NPD","1987","Westdeutschland, alte Bundeslaender","","","",""
"FDP/NPD","1987","Ostdeutschland, neue Bundeslaender","","","",""
"Piratenpartei","1987","Westdeutschland, alte Bundeslaender","","","",""
"Piratenpartei","1987","Ostdeutschland, neue Bundeslaender","","","",""
"AfD","1987","Westdeutschland, alte Bundeslaender","","","",""
"AfD","1987","Ostdeutschland, neue Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1987","Westdeutschland, alte Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1987","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/AfD","1987","Westdeutschland, alte Bundeslaender","","","",""
"SPD/AfD","1987","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1988","Westdeutschland, alte Bundeslaender","2600","0.465963850798634","0.452424982134807","0.479502719462461"
"SPD","1988","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1988","Westdeutschland, alte Bundeslaender","1296","0.278788984474138","0.266619003051915","0.290958965896361"
"CDU","1988","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1988","Westdeutschland, alte Bundeslaender","256","0.0562785825043336","0.0500237682755397","0.0625333967331275"
"CSU","1988","Ostdeutschland, neue Bundeslaender","","","",""
"FDP","1988","Westdeutschland, alte Bundeslaender","214","0.0456551277127314","0.0399898867350395","0.0513203686904233"
"FDP","1988","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene","1988","Westdeutschland, alte Bundeslaender","339","0.0576837387577358","0.0513560373399542","0.0640114401755173"
"Buendnis90/Gruene","1988","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke","1988","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke","1988","Ostdeutschland, neue Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1988","Westdeutschland, alte Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1988","Ostdeutschland, neue Bundeslaender","","","",""
"Andere","1988","Westdeutschland, alte Bundeslaender","48","0.0104157108612144","0.00766026559795832","0.0131711561244705"
"Andere","1988","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1988","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1988","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/CDU","1988","Westdeutschland, alte Bundeslaender","","","",""
"SPD/CDU","1988","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/FDP","1988","Westdeutschland, alte Bundeslaender","","","",""
"SPD/FDP","1988","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1988","Westdeutschland, alte Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1988","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/CSU","1988","Westdeutschland, alte Bundeslaender","462","0.0852140048912129","0.0776363263703299","0.092791683412096"
"CDU/CSU","1988","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/FDP","1988","Westdeutschland, alte Bundeslaender","","","",""
"CDU/FDP","1988","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1988","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1988","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1988","Westdeutschland, alte Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1988","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Die Linke","1988","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Die Linke","1988","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1988","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1988","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1988","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1988","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Die Linke","1988","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Die Linke","1988","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1988","Westdeutschland, alte Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1988","Ostdeutschland, neue Bundeslaender","","","",""
"CSU/FDP","1988","Westdeutschland, alte Bundeslaender","","","",""
"CSU/FDP","1988","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/FDP","1988","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/FDP","1988","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/Die Linke","1988","Westdeutschland, alte Bundeslaender","","","",""
"FDP/Die Linke","1988","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/NPD","1988","Westdeutschland, alte Bundeslaender","","","",""
"FDP/NPD","1988","Ostdeutschland, neue Bundeslaender","","","",""
"Piratenpartei","1988","Westdeutschland, alte Bundeslaender","","","",""
"Piratenpartei","1988","Ostdeutschland, neue Bundeslaender","","","",""
"AfD","1988","Westdeutschland, alte Bundeslaender","","","",""
"AfD","1988","Ostdeutschland, neue Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1988","Westdeutschland, alte Bundeslaender","","","",""
"CDU+/oder CSU/AfD","1988","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/AfD","1988","Westdeutschland, alte Bundeslaender","","","",""
"SPD/AfD","1988","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1989","Westdeutschland, alte Bundeslaender","2583","0.475131517840528","0.461284092139137","0.488978943541919"
"SPD","1989","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1989","Westdeutschland, alte Bundeslaender","1066","0.249171785900834","0.237177991479422","0.261165580322246"
"CDU","1989","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1989","Westdeutschland, alte Bundeslaender","251","0.0592017730387226","0.0526576345996368","0.0657459114778083"
"CSU","1989","Ostdeutschland, neue Bundeslaender","","","",""
"FDP","1989","Westdeutschland, alte Bundeslaender","139","0.0314648055339466","0.0266241173801041","0.0363054936877891"
"FDP","1989","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene","1989","Westdeutschland, alte Bundeslaender","358","0.0628685065796523","0.056137907609864","0.0695991055494406"
"Buendnis90/Gruene","1989","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke","1989","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke","1989","Ostdeutschland, neue Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1989","Westdeutschland, alte Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1989","Ostdeutschland, neue Bundeslaender","","","",""
"Andere","1989","Westdeutschland, alte Bundeslaender","186","0.04099575714168","0.0354976069863005","0.0464939072970595"
"Andere","1989","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1989","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1989","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/CDU","1989","Westdeutschland, alte Bundeslaender","","","",""
"SPD/CDU","1989","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/FDP","1989","Westdeutschland, alte Bundeslaender","","","",""
"SPD/FDP","1989","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1989","Westdeutschland, alte Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1989","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/CSU","1989","Westdeutschland, alte Bundeslaender","413","0.0811658539646362","0.0735933044725192","0.0887384034567532"
"CDU/CSU","1989","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/FDP","1989","Westdeutschland, alte Bundeslaender","","","",""
"CDU/FDP","1989","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1989","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Buendnis90/Gruene","1989","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1989","Westdeutschland, alte Bundeslaender","","","",""
"Buendnis90/Gruene/Die Linke","1989","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Die Linke","1989","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Die Linke","1989","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1989","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/DVU(Rep/NPD)","1989","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1989","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke /DVU(Rep/NPD)","1989","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/Die Linke","1989","Westdeutschland, alte Bundeslaender","","","",""
"CDU/Die Linke","1989","Ostdeutschland, neue Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1989","Westdeutschland, alte Bundeslaender","","","",""
"CDU/DVU(Rep/NPD)","1989","Ostdeutschland, neue Bundeslaender","","","",""
"CSU/FDP","1989","Westdeutschland, alte Bundeslaender","","","",""
"CSU/FDP","1989","Ostdeutschland, neue Bundeslaender","","","",""
"Gruene/FDP","1989","Westdeutschland, alte Bundeslaender","","","",""
"Gruene/FDP","1989","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/Die Linke","1989","Westdeutschland, alte Bundeslaender","","","",""
"FDP/Die Linke","1989","Ostdeutschland, neue Bundeslaender","","","",""
"FDP/NPD","1989","Westdeutschland, alte Bundeslaender","","","",""
"FDP/NPD","1989","Ostdeutschland, neue Bundeslaender","","","",""
"Piratenpartei","1989","Westdeutschland, alte Bundeslaender","","","",""
"Piratenpartei","1989","Ostdeutschland, neue Bundeslaender","","","",""
