"plh0012_h","year","sex","n","percent","lower_confidence","upper_confidence"
"SPD/Die Linke","1984","maennlich","","","",""
"SPD/Die Linke","1984","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1984","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1984","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1984","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1984","weiblich","","","",""
"CDU/Die Linke","1984","maennlich","","","",""
"CDU/Die Linke","1984","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1984","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1984","weiblich","","","",""
"CSU/FDP","1984","maennlich","","","",""
"CSU/FDP","1984","weiblich","","","",""
"Gruene/FDP","1984","maennlich","","","",""
"Gruene/FDP","1984","weiblich","","","",""
"FDP/Die Linke","1984","maennlich","","","",""
"FDP/Die Linke","1984","weiblich","","","",""
"FDP/NPD","1984","maennlich","","","",""
"FDP/NPD","1984","weiblich","","","",""
"Piratenpartei","1984","maennlich","","","",""
"Piratenpartei","1984","weiblich","","","",""
"AfD","1984","maennlich","","","",""
"AfD","1984","weiblich","","","",""
"CDU+/oder CSU/AfD","1984","maennlich","","","",""
"CDU+/oder CSU/AfD","1984","weiblich","","","",""
"SPD/AfD","1984","maennlich","","","",""
"SPD/AfD","1984","weiblich","","","",""
"SPD","1985","maennlich","1493","0.448186623717846","0.430491000601211","0.465882246834481"
"SPD","1985","weiblich","1316","0.447929113390831","0.429319504102828","0.466538722678835"
"CDU","1985","maennlich","734","0.283414245913049","0.267378645486117","0.29944984633998"
"CDU","1985","weiblich","766","0.312323715478292","0.294980497117602","0.329666933838982"
"CSU","1985","maennlich","153","0.0621366367230859","0.0535468187761625","0.0707264546700092"
"CSU","1985","weiblich","138","0.0590092787889681","0.0501909149993119","0.0678276425786244"
"FDP","1985","maennlich","112","0.0409740099311397","0.0339204278348937","0.0480275920273858"
"FDP","1985","weiblich","86","0.0368855332150891","0.0298320737741027","0.0439389926560756"
"Buendnis90/Gruene","1985","maennlich","213","0.062164547360788","0.0535729282814478","0.0707561664401283"
"Buendnis90/Gruene","1985","weiblich","196","0.0608011733989584","0.0518584471139038","0.0697438996840131"
"Die Linke","1985","maennlich","","","",""
"Die Linke","1985","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1985","maennlich","","","",""
"NPD/Republikaner/Die Rechte","1985","weiblich","","","",""
"Andere","1985","maennlich","","","",""
"Andere","1985","weiblich","","","",""
"SPD/Buendnis90/Gruene","1985","maennlich","","","",""
"SPD/Buendnis90/Gruene","1985","weiblich","","","",""
"SPD/CDU","1985","maennlich","","","",""
"SPD/CDU","1985","weiblich","","","",""
"SPD/FDP","1985","maennlich","","","",""
"SPD/FDP","1985","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1985","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1985","weiblich","","","",""
"CDU/CSU","1985","maennlich","302","0.0925596503645941","0.0822472397143707","0.102872061014817"
"CDU/CSU","1985","weiblich","232","0.0797568301281728","0.0696184065685162","0.0898952536878293"
"CDU/FDP","1985","maennlich","","","",""
"CDU/FDP","1985","weiblich","","","",""
"CDU/Buendnis90/Gruene","1985","maennlich","","","",""
"CDU/Buendnis90/Gruene","1985","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1985","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1985","weiblich","","","",""
"SPD/Die Linke","1985","maennlich","","","",""
"SPD/Die Linke","1985","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1985","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1985","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1985","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1985","weiblich","","","",""
"CDU/Die Linke","1985","maennlich","","","",""
"CDU/Die Linke","1985","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1985","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1985","weiblich","","","",""
"CSU/FDP","1985","maennlich","","","",""
"CSU/FDP","1985","weiblich","","","",""
"Gruene/FDP","1985","maennlich","","","",""
"Gruene/FDP","1985","weiblich","","","",""
"FDP/Die Linke","1985","maennlich","","","",""
"FDP/Die Linke","1985","weiblich","","","",""
"FDP/NPD","1985","maennlich","","","",""
"FDP/NPD","1985","weiblich","","","",""
"Piratenpartei","1985","maennlich","","","",""
"Piratenpartei","1985","weiblich","","","",""
"AfD","1985","maennlich","","","",""
"AfD","1985","weiblich","","","",""
"CDU+/oder CSU/AfD","1985","maennlich","","","",""
"CDU+/oder CSU/AfD","1985","weiblich","","","",""
"SPD/AfD","1985","maennlich","","","",""
"SPD/AfD","1985","weiblich","","","",""
"SPD","1986","maennlich","1456","0.467773985045521","0.449547902176185","0.486000067914858"
"SPD","1986","weiblich","1235","0.442987436971603","0.423893757961379","0.462081115981827"
"CDU","1986","maennlich","676","0.271681592202508","0.255432915084513","0.287930269320503"
"CDU","1986","weiblich","738","0.317631618935361","0.299736576670038","0.335526661200683"
"CSU","1986","maennlich","148","0.0592327927457533","0.0506099701989296","0.067855615292577"
"CSU","1986","weiblich","136","0.0636591759880789","0.0542747243008809","0.0730436276752769"
"FDP","1986","maennlich","100","0.0388423759799578","0.0317844441387494","0.0459003078211663"
"FDP","1986","weiblich","70","0.0309212084306196","0.0242674168880038","0.0375749999732354"
"Buendnis90/Gruene","1986","maennlich","193","0.0600398929090494","0.0513622470140558","0.068717538804043"
"Buendnis90/Gruene","1986","weiblich","192","0.0647230792144659","0.0552659110575766","0.0741802473713553"
"Die Linke","1986","maennlich","","","",""
"Die Linke","1986","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1986","maennlich","","","",""
"NPD/Republikaner/Die Rechte","1986","weiblich","","","",""
"Andere","1986","maennlich","","","",""
"Andere","1986","weiblich","","","",""
"SPD/Buendnis90/Gruene","1986","maennlich","","","",""
"SPD/Buendnis90/Gruene","1986","weiblich","","","",""
"SPD/CDU","1986","maennlich","","","",""
"SPD/CDU","1986","weiblich","","","",""
"SPD/FDP","1986","maennlich","","","",""
"SPD/FDP","1986","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1986","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1986","weiblich","","","",""
"CDU/CSU","1986","maennlich","284","0.0944999465489837","0.0838146327646246","0.105185260333343"
"CDU/CSU","1986","weiblich","222","0.0770365400683365","0.0667870548028275","0.0872860253338455"
"CDU/FDP","1986","maennlich","","","",""
"CDU/FDP","1986","weiblich","","","",""
"CDU/Buendnis90/Gruene","1986","maennlich","","","",""
"CDU/Buendnis90/Gruene","1986","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1986","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1986","weiblich","","","",""
"SPD/Die Linke","1986","maennlich","","","",""
"SPD/Die Linke","1986","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1986","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1986","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1986","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1986","weiblich","","","",""
"CDU/Die Linke","1986","maennlich","","","",""
"CDU/Die Linke","1986","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1986","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1986","weiblich","","","",""
"CSU/FDP","1986","maennlich","","","",""
"CSU/FDP","1986","weiblich","","","",""
"Gruene/FDP","1986","maennlich","","","",""
"Gruene/FDP","1986","weiblich","","","",""
"FDP/Die Linke","1986","maennlich","","","",""
"FDP/Die Linke","1986","weiblich","","","",""
"FDP/NPD","1986","maennlich","","","",""
"FDP/NPD","1986","weiblich","","","",""
"Piratenpartei","1986","maennlich","","","",""
"Piratenpartei","1986","weiblich","","","",""
"AfD","1986","maennlich","","","",""
"AfD","1986","weiblich","","","",""
"CDU+/oder CSU/AfD","1986","maennlich","","","",""
"CDU+/oder CSU/AfD","1986","weiblich","","","",""
"SPD/AfD","1986","maennlich","","","",""
"SPD/AfD","1986","weiblich","","","",""
"SPD","1987","maennlich","1400","0.426097560689649","0.408492858522587","0.443702262856712"
"SPD","1987","weiblich","1218","0.408575455218224","0.390344961434744","0.426805949001704"
"CDU","1987","maennlich","737","0.274267208475177","0.258384285151538","0.290150131798815"
"CDU","1987","weiblich","802","0.316086748037223","0.298843611112783","0.333329884961663"
"CSU","1987","maennlich","162","0.0647085737127205","0.0559504815077377","0.0734666659177032"
"CSU","1987","weiblich","122","0.0531839369312444","0.0448617843662789","0.0615060894962099"
"FDP","1987","maennlich","155","0.0566131088501492","0.0483857859291518","0.0648404317711467"
"FDP","1987","weiblich","123","0.0513295039510365","0.0431457256869319","0.0595132822151412"
"Buendnis90/Gruene","1987","maennlich","228","0.0652581589647757","0.05646553756941","0.0740507803601413"
"Buendnis90/Gruene","1987","weiblich","244","0.0708301899584436","0.0613160535958454","0.0803443263210417"
"Die Linke","1987","maennlich","","","",""
"Die Linke","1987","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1987","maennlich","","","",""
"NPD/Republikaner/Die Rechte","1987","weiblich","","","",""
"Andere","1987","maennlich","","","",""
"Andere","1987","weiblich","","","",""
"SPD/Buendnis90/Gruene","1987","maennlich","","","",""
"SPD/Buendnis90/Gruene","1987","weiblich","","","",""
"SPD/CDU","1987","maennlich","","","",""
"SPD/CDU","1987","weiblich","","","",""
"SPD/FDP","1987","maennlich","","","",""
"SPD/FDP","1987","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1987","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1987","weiblich","","","",""
"CDU/CSU","1987","maennlich","327","0.10443424649211","0.0935468176261988","0.115321675358021"
"CDU/CSU","1987","weiblich","269","0.0940802779775191","0.0832533118930864","0.104907244061952"
"CDU/FDP","1987","maennlich","","","",""
"CDU/FDP","1987","weiblich","","","",""
"CDU/Buendnis90/Gruene","1987","maennlich","","","",""
"CDU/Buendnis90/Gruene","1987","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1987","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1987","weiblich","","","",""
"SPD/Die Linke","1987","maennlich","","","",""
"SPD/Die Linke","1987","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1987","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1987","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1987","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1987","weiblich","","","",""
"CDU/Die Linke","1987","maennlich","","","",""
"CDU/Die Linke","1987","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1987","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1987","weiblich","","","",""
"CSU/FDP","1987","maennlich","","","",""
"CSU/FDP","1987","weiblich","","","",""
"Gruene/FDP","1987","maennlich","","","",""
"Gruene/FDP","1987","weiblich","","","",""
"FDP/Die Linke","1987","maennlich","","","",""
"FDP/Die Linke","1987","weiblich","","","",""
"FDP/NPD","1987","maennlich","","","",""
"FDP/NPD","1987","weiblich","","","",""
"Piratenpartei","1987","maennlich","","","",""
"Piratenpartei","1987","weiblich","","","",""
"AfD","1987","maennlich","","","",""
"AfD","1987","weiblich","","","",""
"CDU+/oder CSU/AfD","1987","maennlich","","","",""
"CDU+/oder CSU/AfD","1987","weiblich","","","",""
"SPD/AfD","1987","maennlich","","","",""
"SPD/AfD","1987","weiblich","","","",""
"SPD","1988","maennlich","1427","0.480194249509835","0.461558626983858","0.498829872035812"
"SPD","1988","weiblich","1173","0.451670298960577","0.431980446418803","0.471360151502351"
"CDU","1988","maennlich","613","0.252707839978377","0.236498345958988","0.268917333997766"
"CDU","1988","weiblich","683","0.304985874555129","0.286770106395749","0.323201642714508"
"CSU","1988","maennlich","137","0.0580315751503472","0.0493105961698348","0.0667525541308595"
"CSU","1988","weiblich","119","0.0545178102472777","0.0455351145017702","0.0635005059927852"
"FDP","1988","maennlich","121","0.0486923749455324","0.0406644028294012","0.0567203470616637"
"FDP","1988","weiblich","93","0.0426044014718098","0.034613721096926","0.0505950818466936"
"Buendnis90/Gruene","1988","maennlich","169","0.055997569522557","0.0474215446336753","0.0645735944114387"
"Buendnis90/Gruene","1988","weiblich","170","0.0593773910481522","0.050027015069658","0.0687277670266463"
"Die Linke","1988","maennlich","","","",""
"Die Linke","1988","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1988","maennlich","","","",""
"NPD/Republikaner/Die Rechte","1988","weiblich","","","",""
"Andere","1988","maennlich","","","",""
"Andere","1988","weiblich","","","",""
"SPD/Buendnis90/Gruene","1988","maennlich","","","",""
"SPD/Buendnis90/Gruene","1988","weiblich","","","",""
"SPD/CDU","1988","maennlich","","","",""
"SPD/CDU","1988","weiblich","","","",""
"SPD/FDP","1988","maennlich","","","",""
"SPD/FDP","1988","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1988","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1988","weiblich","","","",""
"CDU/CSU","1988","maennlich","266","0.0920533075154497","0.081269682887401","0.102836932143498"
"CDU/CSU","1988","weiblich","196","0.0783443501064359","0.0677127410647512","0.0889759591481206"
"CDU/FDP","1988","maennlich","","","",""
"CDU/FDP","1988","weiblich","","","",""
"CDU/Buendnis90/Gruene","1988","maennlich","","","",""
"CDU/Buendnis90/Gruene","1988","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1988","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1988","weiblich","","","",""
"SPD/Die Linke","1988","maennlich","","","",""
"SPD/Die Linke","1988","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1988","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1988","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1988","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1988","weiblich","","","",""
"CDU/Die Linke","1988","maennlich","","","",""
"CDU/Die Linke","1988","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1988","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1988","weiblich","","","",""
"CSU/FDP","1988","maennlich","","","",""
"CSU/FDP","1988","weiblich","","","",""
"Gruene/FDP","1988","maennlich","","","",""
"Gruene/FDP","1988","weiblich","","","",""
"FDP/Die Linke","1988","maennlich","","","",""
"FDP/Die Linke","1988","weiblich","","","",""
"FDP/NPD","1988","maennlich","","","",""
"FDP/NPD","1988","weiblich","","","",""
"Piratenpartei","1988","maennlich","","","",""
"Piratenpartei","1988","weiblich","","","",""
"AfD","1988","maennlich","","","",""
"AfD","1988","weiblich","","","",""
"CDU+/oder CSU/AfD","1988","maennlich","","","",""
"CDU+/oder CSU/AfD","1988","weiblich","","","",""
"SPD/AfD","1988","maennlich","","","",""
"SPD/AfD","1988","weiblich","","","",""
"SPD","1989","maennlich","1425","0.488583346798161","0.46963705801992","0.507529635576402"
"SPD","1989","weiblich","1158","0.461283788200409","0.441007843331217","0.481559733069601"
"CDU","1989","maennlich","501","0.22238690694406","0.206625180743981","0.238148633144139"
"CDU","1989","weiblich","565","0.276744970439898","0.258547853628752","0.294942087251043"
"CSU","1989","maennlich","142","0.0625733837456799","0.0533936338263733","0.0717531336649864"
"CSU","1989","weiblich","109","0.0557309324810017","0.0464002584017239","0.0650616065602796"
"FDP","1989","maennlich","78","0.031771434709856","0.025123683639527","0.038419185780185"
"FDP","1989","weiblich","61","0.0311491519569394","0.0240832345143016","0.0382150693995771"
"Buendnis90/Gruene","1989","maennlich","165","0.0565971195216524","0.0478389539173926","0.0653552851259122"
"Buendnis90/Gruene","1989","weiblich","193","0.0693244667856024","0.0589930614517004","0.0796558721195043"
"Die Linke","1989","maennlich","","","",""
"Die Linke","1989","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1989","maennlich","","","",""
"NPD/Republikaner/Die Rechte","1989","weiblich","","","",""
"Andere","1989","maennlich","127","0.0533086638168702","0.0447939414975455","0.0618233861361948"
"Andere","1989","weiblich","59","0.0283204693976069","0.0215731893823141","0.0350677494128998"
"SPD/Buendnis90/Gruene","1989","maennlich","","","",""
"SPD/Buendnis90/Gruene","1989","weiblich","","","",""
"SPD/CDU","1989","maennlich","","","",""
"SPD/CDU","1989","weiblich","","","",""
"SPD/FDP","1989","maennlich","","","",""
"SPD/FDP","1989","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1989","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1989","weiblich","","","",""
"CDU/CSU","1989","maennlich","236","0.084779144463721","0.0742213097576504","0.0953369791697915"
"CDU/CSU","1989","weiblich","177","0.0774462207385428","0.0665741331056994","0.0883183083713862"
"CDU/FDP","1989","maennlich","","","",""
"CDU/FDP","1989","weiblich","","","",""
"CDU/Buendnis90/Gruene","1989","maennlich","","","",""
"CDU/Buendnis90/Gruene","1989","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1989","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1989","weiblich","","","",""
"SPD/Die Linke","1989","maennlich","","","",""
"SPD/Die Linke","1989","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1989","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1989","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1989","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1989","weiblich","","","",""
"CDU/Die Linke","1989","maennlich","","","",""
"CDU/Die Linke","1989","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1989","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1989","weiblich","","","",""
"CSU/FDP","1989","maennlich","","","",""
"CSU/FDP","1989","weiblich","","","",""
"Gruene/FDP","1989","maennlich","","","",""
"Gruene/FDP","1989","weiblich","","","",""
"FDP/Die Linke","1989","maennlich","","","",""
"FDP/Die Linke","1989","weiblich","","","",""
"FDP/NPD","1989","maennlich","","","",""
"FDP/NPD","1989","weiblich","","","",""
"Piratenpartei","1989","maennlich","","","",""
"Piratenpartei","1989","weiblich","","","",""
"AfD","1989","maennlich","","","",""
"AfD","1989","weiblich","","","",""
"CDU+/oder CSU/AfD","1989","maennlich","","","",""
"CDU+/oder CSU/AfD","1989","weiblich","","","",""
"SPD/AfD","1989","maennlich","","","",""
"SPD/AfD","1989","weiblich","","","",""
"SPD","1990","maennlich","1431","0.485089148555689","0.466265640552292","0.503912656559087"
"SPD","1990","weiblich","1233","0.486033389587672","0.465953555580123","0.506113223595221"
"CDU","1990","maennlich","580","0.251669489164501","0.235324457317678","0.268014521011323"
"CDU","1990","weiblich","635","0.304600074963048","0.28610986106437","0.323090288861726"
"CSU","1990","maennlich","105","0.0479272938706206","0.039881845123446","0.0559727426177951"
"CSU","1990","weiblich","88","0.042107100990201","0.0340385460533707","0.0501756559270313"
"FDP","1990","maennlich","106","0.043569450664845","0.0358809523612217","0.0512579489684682"
"FDP","1990","weiblich","91","0.0417604084451222","0.0337236847639946","0.0497971321262498"
"Buendnis90/Gruene","1990","maennlich","148","0.0483137727735709","0.0402375901789579","0.056389955368184"
"Buendnis90/Gruene","1990","weiblich","151","0.0552087679996767","0.0460332293795135","0.0643843066198398"
"Die Linke","1990","maennlich","","","",""
"Die Linke","1990","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1990","maennlich","49","0.0187747452448083","0.0136626946181305","0.0238867958714861"
"NPD/Republikaner/Die Rechte","1990","weiblich","","","",""
"Andere","1990","maennlich","","","",""
"Andere","1990","weiblich","","","",""
"SPD/Buendnis90/Gruene","1990","maennlich","","","",""
"SPD/Buendnis90/Gruene","1990","weiblich","","","",""
"SPD/CDU","1990","maennlich","","","",""
"SPD/CDU","1990","weiblich","","","",""
"SPD/FDP","1990","maennlich","","","",""
"SPD/FDP","1990","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1990","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1990","weiblich","","","",""
"CDU/CSU","1990","maennlich","271","0.0972502579863358","0.0860905500540575","0.108409965918614"
"CDU/CSU","1990","weiblich","147","0.0567925067547064","0.0474940954492701","0.0660909180601428"
"CDU/FDP","1990","maennlich","","","",""
"CDU/FDP","1990","weiblich","","","",""
"CDU/Buendnis90/Gruene","1990","maennlich","","","",""
"CDU/Buendnis90/Gruene","1990","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1990","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1990","weiblich","","","",""
"SPD/Die Linke","1990","maennlich","","","",""
"SPD/Die Linke","1990","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1990","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1990","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1990","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1990","weiblich","","","",""
"CDU/Die Linke","1990","maennlich","","","",""
"CDU/Die Linke","1990","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1990","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1990","weiblich","","","",""
"CSU/FDP","1990","maennlich","","","",""
"CSU/FDP","1990","weiblich","","","",""
"Gruene/FDP","1990","maennlich","","","",""
"Gruene/FDP","1990","weiblich","","","",""
"FDP/Die Linke","1990","maennlich","","","",""
"FDP/Die Linke","1990","weiblich","","","",""
"FDP/NPD","1990","maennlich","","","",""
"FDP/NPD","1990","weiblich","","","",""
"Piratenpartei","1990","maennlich","","","",""
"Piratenpartei","1990","weiblich","","","",""
"AfD","1990","maennlich","","","",""
"AfD","1990","weiblich","","","",""
"CDU+/oder CSU/AfD","1990","maennlich","","","",""
"CDU+/oder CSU/AfD","1990","weiblich","","","",""
"SPD/AfD","1990","maennlich","","","",""
"SPD/AfD","1990","weiblich","","","",""
"SPD","1991","maennlich","930","0.442222373855964","0.420980670270113","0.463464077441816"
"SPD","1991","weiblich","961","0.450571794391598","0.4290911863148","0.472052402468396"
"CDU","1991","maennlich","","","",""
"CDU","1991","weiblich","","","",""
"CSU","1991","maennlich","","","",""
"CSU","1991","weiblich","","","",""
"FDP","1991","maennlich","108","0.0558657442871943","0.0460431068105001","0.0656883817638884"
"FDP","1991","weiblich","97","0.0525647570674651","0.0429302124167365","0.0621993017181937"
"Buendnis90/Gruene","1991","maennlich","101","0.0458193546137792","0.0368764576088833","0.0547622516186752"
"Buendnis90/Gruene","1991","weiblich","120","0.0575117491003629","0.0474603768890192","0.0675631213117066"
"Die Linke","1991","maennlich","","","",""
"Die Linke","1991","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1991","maennlich","35","0.0145077782016903","0.00939372198458989","0.0196218344187907"
"NPD/Republikaner/Die Rechte","1991","weiblich","","","",""
"Andere","1991","maennlich","","","",""
"Andere","1991","weiblich","","","",""
"SPD/Buendnis90/Gruene","1991","maennlich","","","",""
"SPD/Buendnis90/Gruene","1991","weiblich","","","",""
"SPD/CDU","1991","maennlich","","","",""
"SPD/CDU","1991","weiblich","","","",""
"SPD/FDP","1991","maennlich","","","",""
"SPD/FDP","1991","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1991","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1991","weiblich","","","",""
"CDU/CSU","1991","maennlich","913","0.435453958220073","0.414247934232594","0.456659982207552"
"CDU/CSU","1991","weiblich","863","0.428943337548225","0.407576086146772","0.450310588949678"
"CDU/FDP","1991","maennlich","","","",""
"CDU/FDP","1991","weiblich","","","",""
"CDU/Buendnis90/Gruene","1991","maennlich","","","",""
"CDU/Buendnis90/Gruene","1991","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1991","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1991","weiblich","","","",""
"SPD/Die Linke","1991","maennlich","","","",""
"SPD/Die Linke","1991","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1991","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1991","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1991","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1991","weiblich","","","",""
"CDU/Die Linke","1991","maennlich","","","",""
"CDU/Die Linke","1991","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1991","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1991","weiblich","","","",""
"CSU/FDP","1991","maennlich","","","",""
"CSU/FDP","1991","weiblich","","","",""
"Gruene/FDP","1991","maennlich","","","",""
"Gruene/FDP","1991","weiblich","","","",""
"FDP/Die Linke","1991","maennlich","","","",""
"FDP/Die Linke","1991","weiblich","","","",""
"FDP/NPD","1991","maennlich","","","",""
"FDP/NPD","1991","weiblich","","","",""
"Piratenpartei","1991","maennlich","","","",""
"Piratenpartei","1991","weiblich","","","",""
"AfD","1991","maennlich","","","",""
"AfD","1991","weiblich","","","",""
"CDU+/oder CSU/AfD","1991","maennlich","","","",""
"CDU+/oder CSU/AfD","1991","weiblich","","","",""
"SPD/AfD","1991","maennlich","","","",""
"SPD/AfD","1991","weiblich","","","",""
"SPD","1992","maennlich","1384","0.436789594011977","0.418987718969043","0.454591469054911"
"SPD","1992","weiblich","1169","0.4449871331079","0.4257773569098","0.464196909306"
"CDU","1992","maennlich","945","0.341058631214499","0.324043622310849","0.358073640118149"
"CDU","1992","weiblich","846","0.354367432617798","0.335878294430239","0.372856570805358"
"CSU","1992","maennlich","171","0.0657602307142673","0.0568640189776585","0.0746564424508762"
"CSU","1992","weiblich","142","0.0668970728310266","0.0572395579471182","0.076554587714935"
"FDP","1992","maennlich","140","0.0511171265133077","0.0432124556433315","0.0590217973832838"
"FDP","1992","weiblich","108","0.0439973270286489","0.0360697631116623","0.0519248909456355"
