"plh0012_h","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"SPD/Die Linke","1984","16-34 Jahre alt","maennlich","","","",""
"SPD/Die Linke","1984","16-34 Jahre alt","weiblich","","","",""
"SPD/Die Linke","1984","35-65 Jahre alt","maennlich","","","",""
"SPD/Die Linke","1984","35-65 Jahre alt","weiblich","","","",""
"SPD/Die Linke","1984","66 und älter","maennlich","","","",""
"SPD/Die Linke","1984","66 und älter","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1984","16-34 Jahre alt","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1984","16-34 Jahre alt","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1984","35-65 Jahre alt","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1984","35-65 Jahre alt","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1984","66 und älter","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1984","66 und älter","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1984","16-34 Jahre alt","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1984","16-34 Jahre alt","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1984","35-65 Jahre alt","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1984","35-65 Jahre alt","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1984","66 und älter","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1984","66 und älter","weiblich","","","",""
"CDU/Die Linke","1984","16-34 Jahre alt","maennlich","","","",""
"CDU/Die Linke","1984","16-34 Jahre alt","weiblich","","","",""
"CDU/Die Linke","1984","35-65 Jahre alt","maennlich","","","",""
"CDU/Die Linke","1984","35-65 Jahre alt","weiblich","","","",""
"CDU/Die Linke","1984","66 und älter","maennlich","","","",""
"CDU/Die Linke","1984","66 und älter","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1984","16-34 Jahre alt","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1984","16-34 Jahre alt","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1984","35-65 Jahre alt","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1984","35-65 Jahre alt","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1984","66 und älter","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1984","66 und älter","weiblich","","","",""
"CSU/FDP","1984","16-34 Jahre alt","maennlich","","","",""
"CSU/FDP","1984","16-34 Jahre alt","weiblich","","","",""
"CSU/FDP","1984","35-65 Jahre alt","maennlich","","","",""
"CSU/FDP","1984","35-65 Jahre alt","weiblich","","","",""
"CSU/FDP","1984","66 und älter","maennlich","","","",""
"CSU/FDP","1984","66 und älter","weiblich","","","",""
"Gruene/FDP","1984","16-34 Jahre alt","maennlich","","","",""
"Gruene/FDP","1984","16-34 Jahre alt","weiblich","","","",""
"Gruene/FDP","1984","35-65 Jahre alt","maennlich","","","",""
"Gruene/FDP","1984","35-65 Jahre alt","weiblich","","","",""
"Gruene/FDP","1984","66 und älter","maennlich","","","",""
"Gruene/FDP","1984","66 und älter","weiblich","","","",""
"FDP/Die Linke","1984","16-34 Jahre alt","maennlich","","","",""
"FDP/Die Linke","1984","16-34 Jahre alt","weiblich","","","",""
"FDP/Die Linke","1984","35-65 Jahre alt","maennlich","","","",""
"FDP/Die Linke","1984","35-65 Jahre alt","weiblich","","","",""
"FDP/Die Linke","1984","66 und älter","maennlich","","","",""
"FDP/Die Linke","1984","66 und älter","weiblich","","","",""
"FDP/NPD","1984","16-34 Jahre alt","maennlich","","","",""
"FDP/NPD","1984","16-34 Jahre alt","weiblich","","","",""
"FDP/NPD","1984","35-65 Jahre alt","maennlich","","","",""
"FDP/NPD","1984","35-65 Jahre alt","weiblich","","","",""
"FDP/NPD","1984","66 und älter","maennlich","","","",""
"FDP/NPD","1984","66 und älter","weiblich","","","",""
"Piratenpartei","1984","16-34 Jahre alt","maennlich","","","",""
"Piratenpartei","1984","16-34 Jahre alt","weiblich","","","",""
"Piratenpartei","1984","35-65 Jahre alt","maennlich","","","",""
"Piratenpartei","1984","35-65 Jahre alt","weiblich","","","",""
"Piratenpartei","1984","66 und älter","maennlich","","","",""
"Piratenpartei","1984","66 und älter","weiblich","","","",""
"AfD","1984","16-34 Jahre alt","maennlich","","","",""
"AfD","1984","16-34 Jahre alt","weiblich","","","",""
"AfD","1984","35-65 Jahre alt","maennlich","","","",""
"AfD","1984","35-65 Jahre alt","weiblich","","","",""
"AfD","1984","66 und älter","maennlich","","","",""
"AfD","1984","66 und älter","weiblich","","","",""
"CDU+/oder CSU/AfD","1984","16-34 Jahre alt","maennlich","","","",""
"CDU+/oder CSU/AfD","1984","16-34 Jahre alt","weiblich","","","",""
"CDU+/oder CSU/AfD","1984","35-65 Jahre alt","maennlich","","","",""
"CDU+/oder CSU/AfD","1984","35-65 Jahre alt","weiblich","","","",""
"CDU+/oder CSU/AfD","1984","66 und älter","maennlich","","","",""
"CDU+/oder CSU/AfD","1984","66 und älter","weiblich","","","",""
"SPD/AfD","1984","16-34 Jahre alt","maennlich","","","",""
"SPD/AfD","1984","16-34 Jahre alt","weiblich","","","",""
"SPD/AfD","1984","35-65 Jahre alt","maennlich","","","",""
"SPD/AfD","1984","35-65 Jahre alt","weiblich","","","",""
"SPD/AfD","1984","66 und älter","maennlich","","","",""
"SPD/AfD","1984","66 und älter","weiblich","","","",""
"SPD","1985","16-34 Jahre alt","maennlich","489","0.43703607080295","0.406384832349484","0.467687309256415"
"SPD","1985","16-34 Jahre alt","weiblich","437","0.471665475294788","0.438145797659212","0.505185152930363"
"SPD","1985","35-65 Jahre alt","maennlich","880","0.46617066325043","0.442574758654684","0.489766567846176"
"SPD","1985","35-65 Jahre alt","weiblich","731","0.455051775264755","0.430009301258769","0.480094249270741"
"SPD","1985","66 und älter","maennlich","124","0.406033153629634","0.351365668625426","0.460700638633842"
"SPD","1985","66 und älter","weiblich","148","0.403131227381552","0.353284199308606","0.452978255454497"
"CDU","1985","16-34 Jahre alt","maennlich","188","0.221221054534784","0.195572114002822","0.246869995066746"
"CDU","1985","16-34 Jahre alt","weiblich","152","0.199268958254682","0.172446940148748","0.226090976360615"
"CDU","1985","35-65 Jahre alt","maennlich","430","0.292684101680286","0.271162766090513","0.314205437270059"
"CDU","1985","35-65 Jahre alt","weiblich","471","0.339951729041519","0.316130416886475","0.363773041196564"
"CDU","1985","66 und älter","maennlich","116","0.375042448539921","0.321149404214718","0.428935492865124"
"CDU","1985","66 und älter","weiblich","143","0.378361123525745","0.329077916884051","0.427644330167439"
"CSU","1985","16-34 Jahre alt","maennlich","38","0.0461686714118488","0.0332011020223579","0.0591362408013396"
"CSU","1985","16-34 Jahre alt","weiblich","","","",""
"CSU","1985","35-65 Jahre alt","maennlich","82","0.0582626515201682","0.0471830800479874","0.069342222992349"
"CSU","1985","35-65 Jahre alt","weiblich","82","0.0611016523644782","0.0490567032681201","0.0731466014608362"
"CSU","1985","66 und älter","maennlich","33","0.108156246618678","0.0735832172418216","0.142729275995535"
"CSU","1985","66 und älter","weiblich","30","0.0805952187610229","0.0529331511008093","0.108257286421237"
"FDP","1985","16-34 Jahre alt","maennlich","","","",""
"FDP","1985","16-34 Jahre alt","weiblich","","","",""
"FDP","1985","35-65 Jahre alt","maennlich","68","0.0441492848667432","0.0344325620338249","0.0538660076996616"
"FDP","1985","35-65 Jahre alt","weiblich","48","0.0341882999427047","0.0250502360992376","0.0433263637861719"
"FDP","1985","66 und älter","maennlich","","","",""
"FDP","1985","66 und älter","weiblich","","","",""
"Buendnis90/Gruene","1985","16-34 Jahre alt","maennlich","156","0.151282214401665","0.129139814566724","0.173424614236606"
"Buendnis90/Gruene","1985","16-34 Jahre alt","weiblich","145","0.180199763425975","0.154391462050517","0.206008064801432"
"Buendnis90/Gruene","1985","35-65 Jahre alt","maennlich","54","0.0278341547568675","0.0200533925675507","0.0356149169461843"
"Buendnis90/Gruene","1985","35-65 Jahre alt","weiblich","50","0.0268691014696052","0.0187374003650876","0.0350008025741229"
"Buendnis90/Gruene","1985","66 und älter","maennlich","","","",""
"Buendnis90/Gruene","1985","66 und älter","weiblich","","","",""
"Die Linke","1985","16-34 Jahre alt","maennlich","","","",""
"Die Linke","1985","16-34 Jahre alt","weiblich","","","",""
"Die Linke","1985","35-65 Jahre alt","maennlich","","","",""
"Die Linke","1985","35-65 Jahre alt","weiblich","","","",""
"Die Linke","1985","66 und älter","maennlich","","","",""
"Die Linke","1985","66 und älter","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1985","16-34 Jahre alt","maennlich","","","",""
"NPD/Republikaner/Die Rechte","1985","16-34 Jahre alt","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1985","35-65 Jahre alt","maennlich","","","",""
"NPD/Republikaner/Die Rechte","1985","35-65 Jahre alt","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1985","66 und älter","maennlich","","","",""
"NPD/Republikaner/Die Rechte","1985","66 und älter","weiblich","","","",""
"Andere","1985","16-34 Jahre alt","maennlich","","","",""
"Andere","1985","16-34 Jahre alt","weiblich","","","",""
"Andere","1985","35-65 Jahre alt","maennlich","","","",""
"Andere","1985","35-65 Jahre alt","weiblich","","","",""
"Andere","1985","66 und älter","maennlich","","","",""
"Andere","1985","66 und älter","weiblich","","","",""
"SPD/Buendnis90/Gruene","1985","16-34 Jahre alt","maennlich","","","",""
"SPD/Buendnis90/Gruene","1985","16-34 Jahre alt","weiblich","","","",""
"SPD/Buendnis90/Gruene","1985","35-65 Jahre alt","maennlich","","","",""
"SPD/Buendnis90/Gruene","1985","35-65 Jahre alt","weiblich","","","",""
"SPD/Buendnis90/Gruene","1985","66 und älter","maennlich","","","",""
"SPD/Buendnis90/Gruene","1985","66 und älter","weiblich","","","",""
"SPD/CDU","1985","16-34 Jahre alt","maennlich","","","",""
"SPD/CDU","1985","16-34 Jahre alt","weiblich","","","",""
"SPD/CDU","1985","35-65 Jahre alt","maennlich","","","",""
"SPD/CDU","1985","35-65 Jahre alt","weiblich","","","",""
"SPD/CDU","1985","66 und älter","maennlich","","","",""
"SPD/CDU","1985","66 und älter","weiblich","","","",""
"SPD/FDP","1985","16-34 Jahre alt","maennlich","","","",""
"SPD/FDP","1985","16-34 Jahre alt","weiblich","","","",""
"SPD/FDP","1985","35-65 Jahre alt","maennlich","","","",""
"SPD/FDP","1985","35-65 Jahre alt","weiblich","","","",""
"SPD/FDP","1985","66 und älter","maennlich","","","",""
"SPD/FDP","1985","66 und älter","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1985","16-34 Jahre alt","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1985","16-34 Jahre alt","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1985","35-65 Jahre alt","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1985","35-65 Jahre alt","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1985","66 und älter","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1985","66 und älter","weiblich","","","",""
"CDU/CSU","1985","16-34 Jahre alt","maennlich","98","0.10452917736573","0.0856234414669976","0.123434913264463"
"CDU/CSU","1985","16-34 Jahre alt","weiblich","70","0.0858064893749398","0.0670000132201148","0.104612965529765"
"CDU/CSU","1985","35-65 Jahre alt","maennlich","188","0.100172121411589","0.0859712138243758","0.114373028998802"
"CDU/CSU","1985","35-65 Jahre alt","weiblich","133","0.0804261465087014","0.066750081970261","0.0941022110471417"
"CDU/CSU","1985","66 und älter","maennlich","","","",""
"CDU/CSU","1985","66 und älter","weiblich","","","",""
"CDU/FDP","1985","16-34 Jahre alt","maennlich","","","",""
"CDU/FDP","1985","16-34 Jahre alt","weiblich","","","",""
"CDU/FDP","1985","35-65 Jahre alt","maennlich","","","",""
"CDU/FDP","1985","35-65 Jahre alt","weiblich","","","",""
"CDU/FDP","1985","66 und älter","maennlich","","","",""
"CDU/FDP","1985","66 und älter","weiblich","","","",""
"CDU/Buendnis90/Gruene","1985","16-34 Jahre alt","maennlich","","","",""
"CDU/Buendnis90/Gruene","1985","16-34 Jahre alt","weiblich","","","",""
"CDU/Buendnis90/Gruene","1985","35-65 Jahre alt","maennlich","","","",""
"CDU/Buendnis90/Gruene","1985","35-65 Jahre alt","weiblich","","","",""
"CDU/Buendnis90/Gruene","1985","66 und älter","maennlich","","","",""
"CDU/Buendnis90/Gruene","1985","66 und älter","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1985","16-34 Jahre alt","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1985","16-34 Jahre alt","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1985","35-65 Jahre alt","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1985","35-65 Jahre alt","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1985","66 und älter","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1985","66 und älter","weiblich","","","",""
"SPD/Die Linke","1985","16-34 Jahre alt","maennlich","","","",""
"SPD/Die Linke","1985","16-34 Jahre alt","weiblich","","","",""
"SPD/Die Linke","1985","35-65 Jahre alt","maennlich","","","",""
"SPD/Die Linke","1985","35-65 Jahre alt","weiblich","","","",""
"SPD/Die Linke","1985","66 und älter","maennlich","","","",""
"SPD/Die Linke","1985","66 und älter","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1985","16-34 Jahre alt","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1985","16-34 Jahre alt","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1985","35-65 Jahre alt","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1985","35-65 Jahre alt","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1985","66 und älter","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1985","66 und älter","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1985","16-34 Jahre alt","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1985","16-34 Jahre alt","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1985","35-65 Jahre alt","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1985","35-65 Jahre alt","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1985","66 und älter","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1985","66 und älter","weiblich","","","",""
"CDU/Die Linke","1985","16-34 Jahre alt","maennlich","","","",""
"CDU/Die Linke","1985","16-34 Jahre alt","weiblich","","","",""
"CDU/Die Linke","1985","35-65 Jahre alt","maennlich","","","",""
"CDU/Die Linke","1985","35-65 Jahre alt","weiblich","","","",""
"CDU/Die Linke","1985","66 und älter","maennlich","","","",""
"CDU/Die Linke","1985","66 und älter","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1985","16-34 Jahre alt","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1985","16-34 Jahre alt","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1985","35-65 Jahre alt","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1985","35-65 Jahre alt","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1985","66 und älter","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1985","66 und älter","weiblich","","","",""
"CSU/FDP","1985","16-34 Jahre alt","maennlich","","","",""
"CSU/FDP","1985","16-34 Jahre alt","weiblich","","","",""
"CSU/FDP","1985","35-65 Jahre alt","maennlich","","","",""
"CSU/FDP","1985","35-65 Jahre alt","weiblich","","","",""
"CSU/FDP","1985","66 und älter","maennlich","","","",""
"CSU/FDP","1985","66 und älter","weiblich","","","",""
"Gruene/FDP","1985","16-34 Jahre alt","maennlich","","","",""
"Gruene/FDP","1985","16-34 Jahre alt","weiblich","","","",""
"Gruene/FDP","1985","35-65 Jahre alt","maennlich","","","",""
"Gruene/FDP","1985","35-65 Jahre alt","weiblich","","","",""
"Gruene/FDP","1985","66 und älter","maennlich","","","",""
"Gruene/FDP","1985","66 und älter","weiblich","","","",""
"FDP/Die Linke","1985","16-34 Jahre alt","maennlich","","","",""
"FDP/Die Linke","1985","16-34 Jahre alt","weiblich","","","",""
"FDP/Die Linke","1985","35-65 Jahre alt","maennlich","","","",""
"FDP/Die Linke","1985","35-65 Jahre alt","weiblich","","","",""
"FDP/Die Linke","1985","66 und älter","maennlich","","","",""
"FDP/Die Linke","1985","66 und älter","weiblich","","","",""
"FDP/NPD","1985","16-34 Jahre alt","maennlich","","","",""
"FDP/NPD","1985","16-34 Jahre alt","weiblich","","","",""
"FDP/NPD","1985","35-65 Jahre alt","maennlich","","","",""
"FDP/NPD","1985","35-65 Jahre alt","weiblich","","","",""
"FDP/NPD","1985","66 und älter","maennlich","","","",""
"FDP/NPD","1985","66 und älter","weiblich","","","",""
"Piratenpartei","1985","16-34 Jahre alt","maennlich","","","",""
"Piratenpartei","1985","16-34 Jahre alt","weiblich","","","",""
"Piratenpartei","1985","35-65 Jahre alt","maennlich","","","",""
"Piratenpartei","1985","35-65 Jahre alt","weiblich","","","",""
"Piratenpartei","1985","66 und älter","maennlich","","","",""
"Piratenpartei","1985","66 und älter","weiblich","","","",""
"AfD","1985","16-34 Jahre alt","maennlich","","","",""
"AfD","1985","16-34 Jahre alt","weiblich","","","",""
"AfD","1985","35-65 Jahre alt","maennlich","","","",""
"AfD","1985","35-65 Jahre alt","weiblich","","","",""
"AfD","1985","66 und älter","maennlich","","","",""
"AfD","1985","66 und älter","weiblich","","","",""
"CDU+/oder CSU/AfD","1985","16-34 Jahre alt","maennlich","","","",""
"CDU+/oder CSU/AfD","1985","16-34 Jahre alt","weiblich","","","",""
"CDU+/oder CSU/AfD","1985","35-65 Jahre alt","maennlich","","","",""
"CDU+/oder CSU/AfD","1985","35-65 Jahre alt","weiblich","","","",""
"CDU+/oder CSU/AfD","1985","66 und älter","maennlich","","","",""
"CDU+/oder CSU/AfD","1985","66 und älter","weiblich","","","",""
"SPD/AfD","1985","16-34 Jahre alt","maennlich","","","",""
"SPD/AfD","1985","16-34 Jahre alt","weiblich","","","",""
"SPD/AfD","1985","35-65 Jahre alt","maennlich","","","",""
"SPD/AfD","1985","35-65 Jahre alt","weiblich","","","",""
"SPD/AfD","1985","66 und älter","maennlich","","","",""
"SPD/AfD","1985","66 und älter","weiblich","","","",""
"SPD","1986","16-34 Jahre alt","maennlich","490","0.461335235088989","0.430028613082262","0.492641857095717"
"SPD","1986","16-34 Jahre alt","weiblich","400","0.474773522264975","0.439995726606391","0.509551317923559"
"SPD","1986","35-65 Jahre alt","maennlich","846","0.47539451366816","0.451165735672494","0.499623291663827"
"SPD","1986","35-65 Jahre alt","weiblich","698","0.449013046340642","0.423560386592642","0.474465706088642"
"SPD","1986","66 und älter","maennlich","120","0.452392823802002","0.393351078563732","0.511434569040272"
"SPD","1986","66 und älter","weiblich","137","0.39355839835613","0.341705864133985","0.445410932578275"
"CDU","1986","16-34 Jahre alt","maennlich","175","0.218695193682963","0.192735564782114","0.244654822583811"
"CDU","1986","16-34 Jahre alt","weiblich","135","0.181293081879522","0.154461866451886","0.208124297307159"
"CDU","1986","35-65 Jahre alt","maennlich","409","0.28494829274912","0.263048511974913","0.306848073523328"
"CDU","1986","35-65 Jahre alt","weiblich","472","0.351383290646347","0.326953617681998","0.375812963610696"
"CDU","1986","66 und älter","maennlich","92","0.331676288286232","0.275827029355772","0.387525547216692"
"CDU","1986","66 und älter","weiblich","131","0.389563480122311","0.337805147902756","0.441321812341865"
"CSU","1986","16-34 Jahre alt","maennlich","42","0.0478405469679924","0.0344369450033366","0.0612441489326483"
"CSU","1986","16-34 Jahre alt","weiblich","","","",""
"CSU","1986","35-65 Jahre alt","maennlich","90","0.065795771110872","0.0537673695365039","0.0778241726852401"
"CSU","1986","35-65 Jahre alt","weiblich","85","0.0664494706969967","0.0537042396792658","0.0791947017147277"
"CSU","1986","66 und älter","maennlich","","","",""
"CSU","1986","66 und älter","weiblich","","","",""
"FDP","1986","16-34 Jahre alt","maennlich","","","",""
"FDP","1986","16-34 Jahre alt","weiblich","","","",""
"FDP","1986","35-65 Jahre alt","maennlich","58","0.038531266319165","0.029193086387343","0.0478694462509869"
