"year","hhtyp","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2013","Paar mit Kind(ern)","Staedtischer Raum","628.46","592.5","10674","622.09","634.83"
"2013","Sonstige","Laendlicher Raum","529.28","441.67","488","498.4","560.16"
"2013","Sonstige","Staedtischer Raum","540.05","488.33","1095","516.45","563.65"
"2014","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","","",""
"2014","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","",""
"2014","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"2014","1-Pers.- Haushalt","Staedtischer Raum","","","","",""
"2014","Alleinerziehende","Laendlicher Raum","","","","",""
"2014","Alleinerziehende","Staedtischer Raum","","","","",""
"2014","Paar mit Kind(ern)","Laendlicher Raum","","","","",""
"2014","Paar mit Kind(ern)","Staedtischer Raum","","","","",""
"2014","Sonstige","Laendlicher Raum","","","","",""
"2014","Sonstige","Staedtischer Raum","","","","",""
"2015","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","","",""
"2015","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","",""
"2015","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"2015","1-Pers.- Haushalt","Staedtischer Raum","","","","",""
"2015","Alleinerziehende","Laendlicher Raum","","","","",""
"2015","Alleinerziehende","Staedtischer Raum","","","","",""
"2015","Paar mit Kind(ern)","Laendlicher Raum","","","","",""
"2015","Paar mit Kind(ern)","Staedtischer Raum","","","","",""
"2015","Sonstige","Laendlicher Raum","","","","",""
"2015","Sonstige","Staedtischer Raum","","","","",""
"2016","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","469.21","429.17","3024","460.44","477.98"
"2016","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","487.79","426.67","5052","479.81","495.77"
"2016","1-Pers.- Haushalt","Laendlicher Raum","278.16","213.33","1055","267.82","288.5"
"2016","1-Pers.- Haushalt","Staedtischer Raum","285.34","245","2286","278.63","292.05"
"2016","Alleinerziehende","Laendlicher Raum","406.71","395","1360","395.25","418.17"
"2016","Alleinerziehende","Staedtischer Raum","438.25","395","2526","428.49","448.01"
"2016","Paar mit Kind(ern)","Laendlicher Raum","571.55","490","6825","564.38","578.72"
"2016","Paar mit Kind(ern)","Staedtischer Raum","637.63","561.67","13161","632.16","643.1"
"2016","Sonstige","Laendlicher Raum","613.66","466.67","358","578.18","649.14"
"2016","Sonstige","Staedtischer Raum","558.35","488.33","710","532.68","584.02"
"2017","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","","",""
"2017","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","",""
"2017","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"2017","1-Pers.- Haushalt","Staedtischer Raum","","","","",""
"2017","Alleinerziehende","Laendlicher Raum","","","","",""
"2017","Alleinerziehende","Staedtischer Raum","","","","",""
"2017","Paar mit Kind(ern)","Laendlicher Raum","","","","",""
"2017","Paar mit Kind(ern)","Staedtischer Raum","","","","",""
"2017","Sonstige","Laendlicher Raum","","","","",""
"2017","Sonstige","Staedtischer Raum","","","","",""
"2018","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","467.82","426.67","3377","459.75","475.89"
"2018","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","508.71","431.67","5796","501.93","515.49"
"2018","1-Pers.- Haushalt","Laendlicher Raum","280.29","208.33","1355","270.98","289.6"
"2018","1-Pers.- Haushalt","Staedtischer Raum","296.72","245","3022","290.46","302.98"
"2018","Alleinerziehende","Laendlicher Raum","421.72","395","1450","409.53","433.91"
"2018","Alleinerziehende","Staedtischer Raum","458.32","431.67","3115","448.34","468.3"
"2018","Paar mit Kind(ern)","Laendlicher Raum","590.87","510","8601","582.92","598.82"
"2018","Paar mit Kind(ern)","Staedtischer Raum","641.81","592.5","17563","635.59","648.03"
"2018","Sonstige","Laendlicher Raum","585.2","475","560","548.76","621.64"
"2018","Sonstige","Staedtischer Raum","569.91","510","1478","544.31","595.51"
"2019","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","","",""
"2019","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","",""
"2019","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"2019","1-Pers.- Haushalt","Staedtischer Raum","","","","",""
"2019","Alleinerziehende","Laendlicher Raum","","","","",""
"2019","Alleinerziehende","Staedtischer Raum","","","","",""
"2019","Paar mit Kind(ern)","Laendlicher Raum","","","","",""
"2019","Paar mit Kind(ern)","Staedtischer Raum","","","","",""
"2019","Sonstige","Laendlicher Raum","","","","",""
"2019","Sonstige","Staedtischer Raum","","","","",""
"2020","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","496.66","431.67","3461","486.75","506.57"
"2020","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","511.56","431.67","6692","503.65","519.47"
"2020","1-Pers.- Haushalt","Laendlicher Raum","282.17","208.33","1473","271.87","292.47"
"2020","1-Pers.- Haushalt","Staedtischer Raum","307.5","245","3793","300.63","314.37"
"2020","Alleinerziehende","Laendlicher Raum","445.66","416.67","1282","431.03","460.29"
"2020","Alleinerziehende","Staedtischer Raum","473.4","416.67","2866","460.55","486.25"
"2020","Paar mit Kind(ern)","Laendlicher Raum","646.33","545.83","8245","636.57","656.09"
"2020","Paar mit Kind(ern)","Staedtischer Raum","676.11","581.67","18064","670.17","682.05"
"2020","Sonstige","Laendlicher Raum","563.94","416.67","664","531.54","596.34"
"2020","Sonstige","Staedtischer Raum","623.55","510","1513","601.12","645.98"
