year,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Very good,0.08249,3859,27758,0.07926,0.08573
2016,Good,0.32613,10890,27758,0.32062,0.33165
2016,Satisfactory,0.27655,8272,27758,0.27129,0.28181
2016,Poor,0.13068,3765,27758,0.12671,0.13464
2016,Bad,0.03407,972,27758,0.03194,0.03620
2017,Very good,0.08803,4587,31098,0.08489,0.09118
2017,Good,0.31953,12225,31098,0.31434,0.32471
2017,Satisfactory,0.28040,9268,31098,0.27541,0.28539
2017,Poor,0.12871,4048,31098,0.12498,0.13243
2017,Bad,0.03120,970,31098,0.02927,0.03314
2018,Very good,0.09113,4554,29749,0.08786,0.09440
2018,Good,0.32202,11509,29749,0.31671,0.32733
2018,Satisfactory,0.28251,8920,29749,0.27739,0.28762
2018,Poor,0.12389,3800,29749,0.12015,0.12764
2018,Bad,0.03153,966,29749,0.02954,0.03351
2019,Very good,0.08820,4385,29537,0.08496,0.09143
2019,Good,0.32946,11928,29537,0.32410,0.33482
2019,Satisfactory,0.27298,8641,29537,0.26790,0.27806
2019,Poor,0.12481,3697,29537,0.12104,0.12858
2019,Bad,0.02992,886,29537,0.02798,0.03187
2020,Very good,0.09620,5174,29855,0.09285,0.09954
2020,Good,0.32492,12250,29855,0.31960,0.33023
2020,Satisfactory,0.27309,8149,29855,0.26804,0.27815
2020,Poor,0.12089,3456,29855,0.11719,0.12459
2020,Bad,0.02936,826,29855,0.02744,0.03127
2021,Very good,0.10479,3219,19911,0.10053,0.10904
2021,Good,0.31379,7932,19911,0.30734,0.32023
2021,Satisfactory,0.26358,5528,19911,0.25746,0.26970
2021,Poor,0.12502,2548,19911,0.12042,0.12961
2021,Bad,0.03339,684,19911,0.03090,0.03589
