year,pgisced97,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2002,First Stage of Tertiary Education,female,185,6.62635,6.27226,6.98043,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,6.00000,7.00000
2002,Second Stage of Tertiary Education,male,473,6.66391,6.45098,6.87684,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,8.00000
2002,Second Stage of Tertiary Education,female,360,6.38305,6.11024,6.65586,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.02500
2003,Pre-primary Level,male,100,6.54731,6.14514,6.94949,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2003,Pre-primary Level,female,93,6.02329,5.52783,6.51875,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,5.00000,7.00000
2003,Primary Level,male,38,6.51181,5.72919,7.29443,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,5.00000,8.00000
2003,Primary Level,female,54,5.54835,4.70809,6.38861,4.00000,5.00000,8.00000,0.00000,10.00000,5.00000,4.00000,8.00000
2003,Lower Secondary Level,male,330,6.33379,6.06146,6.60612,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2003,Lower Secondary Level,female,579,6.30159,6.08447,6.51871,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2003,Upper Secondary Level,male,2166,6.24403,6.13925,6.34881,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2003,Upper Secondary Level,female,2424,6.33650,6.23088,6.44212,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2003,Post-secondary Non-tertiary Level,male,243,6.26840,5.99536,6.54143,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,5.97500,7.00000
2003,Post-secondary Non-tertiary Level,female,328,6.22823,5.94179,6.51467,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,5.97500,7.00000
2003,First Stage of Tertiary Education,male,462,6.64674,6.44211,6.85138,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2003,First Stage of Tertiary Education,female,355,6.23525,5.97700,6.49350,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2003,Second Stage of Tertiary Education,male,1073,6.16137,6.02201,6.30072,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,6.00000,7.00000
2003,Second Stage of Tertiary Education,female,889,6.20235,6.03338,6.37132,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2004,Pre-primary Level,male,,,,,,,,,,,,
2004,Pre-primary Level,female,,,,,,,,,,,,
2004,Primary Level,male,,,,,,,,,,,,
2004,Primary Level,female,,,,,,,,,,,,
2004,Lower Secondary Level,male,143,6.44791,6.00350,6.89231,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,6.00000,8.00000
2004,Lower Secondary Level,female,259,6.36239,6.02598,6.69881,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2004,Upper Secondary Level,male,908,6.12200,5.94956,6.29444,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2004,Upper Secondary Level,female,1033,6.22719,6.05967,6.39472,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2004,Post-secondary Non-tertiary Level,male,117,6.53848,6.09339,6.98356,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,6.00000,8.00000
2004,Post-secondary Non-tertiary Level,female,161,6.71903,6.35751,7.08055,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
2004,First Stage of Tertiary Education,male,211,6.36571,6.03691,6.69451,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2004,First Stage of Tertiary Education,female,184,6.44894,6.10134,6.79654,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2004,Second Stage of Tertiary Education,male,428,6.48829,6.25742,6.71915,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2004,Second Stage of Tertiary Education,female,348,6.26494,5.98095,6.54894,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2005,Pre-primary Level,male,,,,,,,,,,,,
2005,Pre-primary Level,female,,,,,,,,,,,,
2005,Primary Level,male,,,,,,,,,,,,
2005,Primary Level,female,,,,,,,,,,,,
2005,Lower Secondary Level,male,123,6.40478,5.95424,6.85532,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,5.00000,8.00000
2005,Lower Secondary Level,female,231,6.19296,5.82839,6.55754,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
2005,Upper Secondary Level,male,877,6.03188,5.84426,6.21951,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2005,Upper Secondary Level,female,985,6.25517,6.07168,6.43865,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,7.00000
2005,Post-secondary Non-tertiary Level,male,118,6.17355,5.66251,6.68460,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2005,Post-secondary Non-tertiary Level,female,164,5.95169,5.49661,6.40678,4.00000,7.00000,8.00000,0.00000,10.00000,7.00000,5.00000,8.00000
2005,First Stage of Tertiary Education,male,202,6.27442,5.92447,6.62438,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
2005,First Stage of Tertiary Education,female,176,6.60087,6.22289,6.97885,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
2005,Second Stage of Tertiary Education,male,406,6.31111,6.02911,6.59312,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2005,Second Stage of Tertiary Education,female,340,6.03037,5.70217,6.35857,4.00000,7.00000,8.00000,0.00000,10.00000,7.00000,6.00000,7.02500
2006,Pre-primary Level,male,,,,,,,,,,,,
2006,Pre-primary Level,female,,,,,,,,,,,,
2006,Primary Level,male,,,,,,,,,,,,
2006,Primary Level,female,,,,,,,,,,,,
2006,Lower Secondary Level,male,118,6.08653,5.55532,6.61773,5.00000,6.86609,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
