year,regtyp,sampreg,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,Urban regions,East,Yes,0.27549,196,635,0.24071,0.31027
1991,Urban regions,East,No,0.67792,439,635,0.64155,0.71429
1991,Rural regions,West,Yes,0.72561,675,935,0.69699,0.75423
1991,Rural regions,West,No,0.27111,260,935,0.24260,0.29962
1991,Rural regions,East,Yes,0.53583,732,1253,0.50820,0.56345
1991,Rural regions,East,No,0.44150,521,1253,0.41399,0.46900
1992,Urban regions,West,Yes,0.52352,1853,3657,0.50733,0.53971
1992,Urban regions,West,No,0.46118,1804,3657,0.44502,0.47734
1992,Urban regions,East,Yes,0.26558,191,619,0.23076,0.30040
1992,Urban regions,East,No,0.63074,428,619,0.59269,0.66879
1992,Rural regions,West,Yes,0.70920,662,928,0.67997,0.73844
1992,Rural regions,West,No,0.27946,266,928,0.25057,0.30835
1992,Rural regions,East,Yes,0.53181,682,1172,0.50323,0.56039
1992,Rural regions,East,No,0.42545,490,1172,0.39713,0.45377
1993,Urban regions,West,Yes,0.52852,1882,3638,0.51230,0.54474
1993,Urban regions,West,No,0.44406,1756,3638,0.42791,0.46021
1993,Urban regions,East,Yes,0.27161,186,605,0.23614,0.30709
1993,Urban regions,East,No,0.62302,419,605,0.58437,0.66167
1993,Rural regions,West,Yes,0.68264,655,940,0.65287,0.71241
1993,Rural regions,West,No,0.28667,285,940,0.25775,0.31559
1993,Rural regions,East,Yes,0.53397,675,1173,0.50541,0.56253
1993,Rural regions,East,No,0.41557,498,1173,0.38736,0.44379
1994,Urban regions,West,Yes,0.53175,1858,3559,0.51536,0.54815
1994,Urban regions,West,No,0.43256,1701,3559,0.41628,0.44884
1994,Urban regions,East,Yes,0.27679,193,609,0.24122,0.31235
1994,Urban regions,East,No,0.62326,416,609,0.58474,0.66178
1994,Rural regions,West,Yes,0.69671,680,947,0.66741,0.72600
1994,Rural regions,West,No,0.26991,267,947,0.24163,0.29820
1994,Rural regions,East,Yes,0.52242,658,1146,0.49348,0.55135
1994,Rural regions,East,No,0.41875,488,1146,0.39017,0.44732
1995,Urban regions,West,Yes,0.52151,1886,3724,0.50547,0.53756
1995,Urban regions,West,No,0.43911,1838,3724,0.42317,0.45505
1995,Urban regions,East,Yes,0.26678,183,572,0.23050,0.30306
1995,Urban regions,East,No,0.62636,389,572,0.58668,0.66604
1995,Rural regions,West,Yes,0.71528,728,1004,0.68736,0.74321
1995,Rural regions,West,No,0.24960,276,1004,0.22281,0.27638
1995,Rural regions,East,Yes,0.51250,643,1138,0.48344,0.54155
1995,Rural regions,East,No,0.41606,495,1138,0.38741,0.44471
1996,Urban regions,West,Yes,0.52454,1874,3656,0.50835,0.54073
1996,Urban regions,West,No,0.43846,1782,3656,0.42238,0.45455
1996,Urban regions,East,Yes,0.25106,178,586,0.21592,0.28619
1996,Urban regions,East,No,0.64041,408,586,0.60153,0.67930
1996,Rural regions,West,Yes,0.71381,722,1001,0.68580,0.74183
1996,Rural regions,West,No,0.26200,279,1001,0.23474,0.28925
1996,Rural regions,East,Yes,0.52632,666,1137,0.49729,0.55536
1996,Rural regions,East,No,0.40944,471,1137,0.38084,0.43803
1997,Urban regions,West,Yes,0.52770,1896,3594,0.51138,0.54402
1997,Urban regions,West,No,0.43359,1698,3594,0.41738,0.44979
1997,Urban regions,East,Yes,0.24685,175,580,0.21173,0.28197
1997,Urban regions,East,No,0.64470,405,580,0.60571,0.68368
1997,Rural regions,West,Yes,0.72340,729,991,0.69554,0.75127
1997,Rural regions,West,No,0.24147,262,991,0.21481,0.26813
1997,Rural regions,East,Yes,0.52255,656,1131,0.49342,0.55167
1997,Rural regions,East,No,0.41652,475,1131,0.38777,0.44526
1998,Urban regions,West,Yes,0.51950,2218,4251,0.50448,0.53452
1998,Urban regions,West,No,0.47367,2033,4251,0.45866,0.48868
1998,Urban regions,East,Yes,0.26584,198,638,0.23153,0.30015
1998,Urban regions,East,No,0.70837,440,638,0.67307,0.74366
1998,Rural regions,West,Yes,0.74409,880,1179,0.71917,0.76901
1998,Rural regions,West,No,0.25125,299,1179,0.22648,0.27602
1998,Rural regions,East,Yes,0.49578,682,1296,0.46855,0.52301
1998,Rural regions,East,No,0.49186,614,1296,0.46463,0.51908
1999,Urban regions,West,Yes,0.51707,2133,4029,0.50164,0.53250
1999,Urban regions,West,No,0.46818,1896,4029,0.45277,0.48359
1999,Urban regions,East,Yes,0.27834,205,627,0.24323,0.31345
1999,Urban regions,East,No,0.68732,422,627,0.65101,0.72364
1999,Rural regions,West,Yes,0.74578,853,1132,0.72041,0.77116
1999,Rural regions,West,No,0.24790,279,1132,0.22274,0.27307
1999,Rural regions,East,Yes,0.50060,683,1268,0.47307,0.52813
1999,Rural regions,East,No,0.48202,585,1268,0.45451,0.50953
2000,Urban regions,West,Yes,0.52264,4260,7479,0.51132,0.53396
2000,Urban regions,West,No,0.45933,3219,7479,0.44804,0.47063
2000,Urban regions,East,Yes,0.27872,323,983,0.25067,0.30676
2000,Urban regions,East,No,0.68242,660,983,0.65331,0.71154
2000,Rural regions,West,Yes,0.74310,1755,2269,0.72512,0.76108
2000,Rural regions,West,No,0.24941,514,2269,0.23160,0.26722
2000,Rural regions,East,Yes,0.52512,1172,2046,0.50348,0.54677
2000,Rural regions,East,No,0.46374,874,2046,0.44213,0.48535
2001,Urban regions,West,Yes,0.52505,3830,6704,0.51309,0.53700
2001,Urban regions,West,No,0.45206,2874,6704,0.44014,0.46397
2001,Urban regions,East,Yes,0.27610,316,926,0.24729,0.30491
2001,Urban regions,East,No,0.68494,610,926,0.65500,0.71487
2001,Rural regions,West,Yes,0.74787,1560,1992,0.72880,0.76695
2001,Rural regions,West,No,0.24240,432,1992,0.22357,0.26122
2001,Rural regions,East,Yes,0.53126,1088,1864,0.50860,0.55392
2001,Rural regions,East,No,0.45384,776,1864,0.43123,0.47645
2002,Urban regions,West,Yes,0.52525,4283,7134,0.51366,0.53684
2002,Urban regions,West,No,0.44826,2851,7134,0.43672,0.45980
2002,Urban regions,East,Yes,0.26740,337,928,0.23891,0.29589
2002,Urban regions,East,No,0.68517,591,928,0.65528,0.71507
2002,Rural regions,West,Yes,0.74924,1628,2058,0.73050,0.76797
2002,Rural regions,West,No,0.23825,430,2058,0.21984,0.25666
2002,Rural regions,East,Yes,0.53443,1104,1851,0.51170,0.55716
2002,Rural regions,East,No,0.44823,747,1851,0.42557,0.47089
2003,Urban regions,West,Yes,0.52515,4116,6866,0.51334,0.53696
2003,Urban regions,West,No,0.44658,2750,6866,0.43482,0.45834
2003,Urban regions,East,Yes,0.27180,339,924,0.24310,0.30050
2003,Urban regions,East,No,0.68675,585,924,0.65683,0.71668
2003,Rural regions,West,Yes,0.75756,1551,1950,0.73854,0.77659
2003,Rural regions,West,No,0.22745,399,1950,0.20884,0.24606
2003,Rural regions,East,Yes,0.53366,1079,1811,0.51068,0.55664
2003,Rural regions,East,No,0.44726,732,1811,0.42436,0.47017
2004,Urban regions,West,Yes,0.52728,4032,6665,0.51529,0.53926
2004,Urban regions,West,No,0.44347,2633,6665,0.43154,0.45540
2004,Urban regions,East,Yes,0.25107,330,916,0.22297,0.27917
2004,Urban regions,East,No,0.69951,586,916,0.66980,0.72922
2004,Rural regions,West,Yes,0.74933,1536,1919,0.72994,0.76873
2004,Rural regions,West,No,0.22894,383,1919,0.21014,0.24775
2004,Rural regions,East,Yes,0.53693,1073,1769,0.51369,0.56017
2004,Rural regions,East,No,0.43987,696,1769,0.41673,0.46300
2005,Urban regions,West,Yes,0.52561,3906,6600,0.51356,0.53766
2005,Urban regions,West,No,0.46980,2694,6600,0.45776,0.48184
2005,Urban regions,East,Yes,0.26670,344,934,0.23832,0.29507
2005,Urban regions,East,No,0.72200,590,934,0.69325,0.75075
2005,Rural regions,West,Yes,0.77017,1515,1888,0.75119,0.78915
2005,Rural regions,West,No,0.22534,373,1888,0.20649,0.24419
2005,Rural regions,East,Yes,0.57849,1094,1749,0.55535,0.60164
2005,Rural regions,East,No,0.41805,655,1749,0.39493,0.44117
2006,Urban regions,West,Yes,0.51778,4261,7159,0.50621,0.52936
2006,Urban regions,West,No,0.47878,2898,7159,0.46720,0.49035
2006,Urban regions,East,Yes,0.28946,391,988,0.26117,0.31775
2006,Urban regions,East,No,0.70005,597,988,0.67146,0.72864
2006,Rural regions,West,Yes,0.75515,1716,2157,0.73700,0.77330
2006,Rural regions,West,No,0.24297,441,2157,0.22487,0.26108
2006,Rural regions,East,Yes,0.54377,1185,1931,0.52155,0.56600
2006,Rural regions,East,No,0.45395,746,1931,0.43174,0.47616
2007,Urban regions,West,Yes,0.53639,4044,6647,0.52440,0.54838
2007,Urban regions,West,No,0.45918,2603,6647,0.44720,0.47116
2007,Urban regions,East,Yes,0.29762,368,940,0.26838,0.32687
2007,Urban regions,East,No,0.69726,572,940,0.66787,0.72664
2007,Rural regions,West,Yes,0.75347,1615,2023,0.73468,0.77226
2007,Rural regions,West,No,0.24145,408,2023,0.22280,0.26011
2007,Rural regions,East,Yes,0.56295,1136,1814,0.54012,0.58579
2007,Rural regions,East,No,0.43428,678,1814,0.41146,0.45709
2008,Urban regions,West,Yes,0.54567,3830,6245,0.53332,0.55802
2008,Urban regions,West,No,0.45107,2415,6245,0.43873,0.46341
2008,Urban regions,East,Yes,0.30935,359,926,0.27957,0.33914
2008,Urban regions,East,No,0.68790,567,926,0.65804,0.71776
2008,Rural regions,West,Yes,0.76074,1533,1906,0.74158,0.77990
2008,Rural regions,West,No,0.23624,373,1906,0.21716,0.25531
2008,Rural regions,East,Yes,0.56924,1080,1721,0.54584,0.59264
2008,Rural regions,East,No,0.42869,641,1721,0.40530,0.45208
2009,Urban regions,West,Yes,0.55881,3615,5797,0.54603,0.57160
2009,Urban regions,West,No,0.43991,2182,5797,0.42713,0.45269
2009,Urban regions,East,Yes,0.31719,355,894,0.28667,0.34772
2009,Urban regions,East,No,0.67826,539,894,0.64762,0.70890
2009,Rural regions,West,Yes,0.75090,1432,1820,0.73102,0.77077
2009,Rural regions,West,No,0.24749,388,1820,0.22766,0.26732
2009,Rural regions,East,Yes,0.59165,1059,1656,0.56797,0.61533
2009,Rural regions,East,No,0.40566,597,1656,0.38200,0.42931
2010,Urban regions,West,Yes,0.55800,4863,7950,0.54708,0.56891
2010,Urban regions,West,No,0.43872,3087,7950,0.42781,0.44963
2010,Urban regions,East,Yes,0.33299,459,1119,0.30537,0.36062
2010,Urban regions,East,No,0.66362,660,1119,0.63593,0.69132
2010,Rural regions,West,Yes,0.75679,2132,2671,0.74051,0.77306
2010,Rural regions,West,No,0.24267,539,2671,0.22641,0.25893
2010,Rural regions,East,Yes,0.59734,1296,2039,0.57605,0.61864
2010,Rural regions,East,No,0.40266,743,2039,0.38136,0.42395
2011,Urban regions,West,Yes,0.55710,5819,9413,0.54706,0.56713
2011,Urban regions,West,No,0.44203,3594,9413,0.43200,0.45207
2011,Urban regions,East,Yes,0.35427,535,1336,0.32861,0.37993
2011,Urban regions,East,No,0.64573,801,1336,0.62007,0.67139
2011,Rural regions,West,Yes,0.76602,2745,3436,0.75186,0.78018
2011,Rural regions,West,No,0.23266,691,3436,0.21853,0.24679
2011,Rural regions,East,Yes,0.60048,1505,2406,0.58091,0.62006
2011,Rural regions,East,No,0.39854,901,2406,0.37897,0.41811
2012,Urban regions,West,Yes,0.56542,5698,9143,0.55526,0.57558
2012,Urban regions,West,No,0.43318,3445,9143,0.42303,0.44334
2012,Urban regions,East,Yes,0.33207,498,1301,0.30646,0.35767
2012,Urban regions,East,No,0.66793,803,1301,0.64233,0.69354
2012,Rural regions,West,Yes,0.75421,2739,3443,0.73982,0.76859
2012,Rural regions,West,No,0.24504,704,3443,0.23067,0.25941
2012,Rural regions,East,Yes,0.57752,1476,2411,0.55780,0.59724
2012,Rural regions,East,No,0.42248,935,2411,0.40276,0.44220
2013,Urban regions,West,Yes,0.57320,6180,10533,0.56376,0.58265
2013,Urban regions,West,No,0.42668,4353,10533,0.41724,0.43613
2013,Urban regions,East,Yes,0.35619,494,1315,0.33030,0.38209
2013,Urban regions,East,No,0.64315,821,1315,0.61724,0.66905
2013,Rural regions,West,Yes,0.74101,2776,3677,0.72685,0.75517
2013,Rural regions,West,No,0.25833,901,3677,0.24418,0.27248
2013,Rural regions,East,Yes,0.58935,1437,2341,0.56942,0.60929
2013,Rural regions,East,No,0.41065,904,2341,0.39071,0.43058
2014,Urban regions,West,Yes,0.58240,5554,9178,0.57231,0.59249
2014,Urban regions,West,No,0.41601,3624,9178,0.40593,0.42610
2014,Urban regions,East,Yes,0.35479,466,1216,0.32789,0.38169
2014,Urban regions,East,No,0.64480,750,1216,0.61789,0.67171
2014,Rural regions,West,Yes,0.74946,2511,3263,0.73459,0.76433
2014,Rural regions,West,No,0.25034,752,3263,0.23547,0.26521
2014,Rural regions,East,Yes,0.57540,1330,2163,0.55457,0.59624
2014,Rural regions,East,No,0.42363,833,2163,0.40280,0.44446
2015,Urban regions,West,Yes,0.56306,5193,9171,0.55291,0.57322
2015,Urban regions,West,No,0.43509,3978,9171,0.42495,0.44524
2015,Urban regions,East,Yes,0.36720,464,1205,0.33997,0.39443
2015,Urban regions,East,No,0.63135,741,1205,0.60410,0.65860
2015,Rural regions,West,Yes,0.73254,2452,3305,0.71744,0.74763
2015,Rural regions,West,No,0.26746,853,3305,0.25237,0.28256
2015,Rural regions,East,Yes,0.56204,1249,2073,0.54068,0.58341
2015,Rural regions,East,No,0.43650,824,2073,0.41514,0.45785
2016,Urban regions,West,Yes,0.55780,5061,9555,0.54784,0.56776
2016,Urban regions,West,No,0.44064,4494,9555,0.43069,0.45060
2016,Urban regions,East,Yes,0.34252,419,1265,0.31636,0.36868
2016,Urban regions,East,No,0.65743,846,1265,0.63127,0.68360
2016,Rural regions,West,Yes,0.74864,2371,3380,0.73401,0.76327
2016,Rural regions,West,No,0.25131,1009,3380,0.23668,0.26593
2016,Rural regions,East,Yes,0.56755,1218,2195,0.54682,0.58828
2016,Rural regions,East,No,0.42897,977,2195,0.40826,0.44968
2017,Urban regions,West,Yes,0.56383,5709,10616,0.55440,0.57327
2017,Urban regions,West,No,0.43550,4907,10616,0.42606,0.44493
2017,Urban regions,East,Yes,0.35624,490,1407,0.33120,0.38127
2017,Urban regions,East,No,0.64376,917,1407,0.61873,0.66880
2017,Rural regions,West,Yes,0.74717,2710,3853,0.73344,0.76090
2017,Rural regions,West,No,0.25114,1143,3853,0.23744,0.26483
2017,Rural regions,East,Yes,0.58284,1381,2391,0.56307,0.60261
2017,Rural regions,East,No,0.41426,1010,2391,0.39451,0.43401
2018,Urban regions,West,Yes,0.56503,5460,10391,0.55549,0.57456
2018,Urban regions,West,No,0.43289,4931,10391,0.42336,0.44241
2018,Urban regions,East,Yes,0.34897,466,1402,0.32401,0.37393
2018,Urban regions,East,No,0.65000,936,1402,0.62502,0.67498
2018,Rural regions,West,Yes,0.73732,2503,3550,0.72284,0.75180
2018,Rural regions,West,No,0.26097,1047,3550,0.24652,0.27542
2018,Rural regions,East,Yes,0.58564,1299,2349,0.56572,0.60557
2018,Rural regions,East,No,0.41031,1050,2349,0.39042,0.43021
2019,Urban regions,West,Yes,0.52592,4650,8727,0.51544,0.53640
2019,Urban regions,West,No,0.38780,4077,8727,0.37757,0.39802
2019,Urban regions,East,Yes,0.33884,406,1176,0.31178,0.36590
2019,Urban regions,East,No,0.58130,770,1176,0.55309,0.60951
2019,Rural regions,West,Yes,0.69477,2156,3018,0.67834,0.71121
2019,Rural regions,West,No,0.22368,862,3018,0.20881,0.23855
2019,Rural regions,East,Yes,0.55259,1146,1987,0.53072,0.57446
2019,Rural regions,East,No,0.36802,841,1987,0.34680,0.38923
2020,Urban regions,West,Yes,0.57504,5936,11845,0.56614,0.58394
2020,Urban regions,West,No,0.42374,5909,11845,0.41484,0.43264
2020,Urban regions,East,Yes,0.35264,508,1527,0.32867,0.37661
2020,Urban regions,East,No,0.64442,1019,1527,0.62040,0.66843
2020,Rural regions,West,Yes,0.76027,2527,3622,0.74637,0.77418
2020,Rural regions,West,No,0.23925,1095,3622,0.22536,0.25315
2020,Rural regions,East,Yes,0.59786,1366,2306,0.57785,0.61788
2020,Rural regions,East,No,0.40157,940,2306,0.38155,0.42158
2021,Urban regions,West,Yes,0.51160,3631,6675,0.49960,0.52359
2021,Urban regions,West,No,0.37843,3044,6675,0.36680,0.39007
2021,Urban regions,East,Yes,0.32383,317,931,0.29375,0.35390
2021,Urban regions,East,No,0.55143,614,931,0.51946,0.58339
2021,Rural regions,West,Yes,0.68921,1593,2149,0.66964,0.70879
2021,Rural regions,West,No,0.22675,556,2149,0.20904,0.24445
2021,Rural regions,East,Yes,0.54392,883,1418,0.51799,0.56985
2021,Rural regions,East,No,0.36614,535,1418,0.34106,0.39123
2022,Urban regions,West,Yes,0.57735,6588,12100,0.56855,0.58615
2022,Urban regions,West,No,0.41756,5512,12100,0.40878,0.42635
2022,Urban regions,East,Yes,0.38479,632,1721,0.36180,0.40778
2022,Urban regions,East,No,0.61075,1089,1721,0.58770,0.63379
2022,Rural regions,West,Yes,0.77422,2792,3615,0.76059,0.78785
2022,Rural regions,West,No,0.22322,823,3615,0.20964,0.23679
2022,Rural regions,East,Yes,0.61191,1699,2622,0.59325,0.63056
2022,Rural regions,East,No,0.38590,923,2622,0.36726,0.40453
