year,bula_h,rentown,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Baden-Wuerttemberg,Tenant,No,0.63453,358,533,0.59361,0.67545
1986,Bavaria,Owner,Yes,0.86864,320,364,0.83389,0.90339
1986,Bavaria,Owner,No,0.11834,44,364,0.08511,0.15157
1986,Bavaria,Tenant,Yes,0.32778,144,441,0.28392,0.37164
1986,Bavaria,Tenant,No,0.62890,297,441,0.58376,0.67404
1986,Berlin,Tenant,No,0.90963,165,165,0.86575,0.95351
1987,Schleswig-Holstein,Owner,Yes,0.83839,74,74,0.75395,0.92283
1987,Schleswig-Holstein,Tenant,No,0.57977,47,47,0.43713,0.72241
1987,Hamburg,Tenant,No,0.84584,89,89,0.77039,0.92128
1987,Lower Saxony,Owner,Yes,0.96190,221,221,0.93661,0.98720
1987,Lower Saxony,Tenant,Yes,0.36838,101,274,0.31116,0.42561
1987,Lower Saxony,Tenant,No,0.60189,173,274,0.54383,0.65996
1987,Bremen,Tenant,No,0.84837,39,39,0.73433,0.96241
1987,North Rhine-Westphalia,Owner,Yes,0.88812,371,412,0.85764,0.91859
1987,North Rhine-Westphalia,Owner,No,0.10534,41,412,0.07566,0.13502
1987,North Rhine-Westphalia,Tenant,Yes,0.30836,304,919,0.27848,0.33823
1987,North Rhine-Westphalia,Tenant,No,0.67468,615,919,0.64437,0.70499
1987,Hesse,Owner,Yes,0.86378,135,135,0.80570,0.92186
1987,Hesse,Tenant,Yes,0.33539,96,324,0.28390,0.38688
1987,Hesse,Tenant,No,0.62139,228,324,0.56849,0.67429
1987,"Rhineland-Palatinate, Saarland",Owner,Yes,0.89503,167,167,0.84841,0.94166
1987,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.34397,58,163,0.27082,0.41712
1987,"Rhineland-Palatinate, Saarland",Tenant,No,0.63420,105,163,0.56003,0.70837
1987,Baden-Wuerttemberg,Owner,Yes,0.80465,282,339,0.76238,0.84692
1987,Baden-Wuerttemberg,Owner,No,0.18343,57,339,0.14217,0.22469
1987,Baden-Wuerttemberg,Tenant,Yes,0.34994,176,526,0.30914,0.39074
1987,Baden-Wuerttemberg,Tenant,No,0.61508,350,526,0.57345,0.65670
1987,Bavaria,Owner,Yes,0.88289,318,357,0.84949,0.91629
1987,Bavaria,Owner,No,0.10886,39,357,0.07650,0.14121
1987,Bavaria,Tenant,Yes,0.31538,137,443,0.27206,0.35870
1987,Bavaria,Tenant,No,0.64513,306,443,0.60053,0.68974
1987,Berlin,Tenant,No,0.88772,163,163,0.83910,0.93634
1988,Schleswig-Holstein,Owner,Yes,0.84762,71,71,0.76343,0.93181
1988,Schleswig-Holstein,Tenant,Yes,0.45320,33,78,0.34201,0.56439
1988,Schleswig-Holstein,Tenant,No,0.52460,45,78,0.41305,0.63614
1988,Hamburg,Tenant,No,0.81610,77,77,0.72900,0.90320
1988,Lower Saxony,Owner,Yes,0.95877,205,205,0.93149,0.98606
1988,Lower Saxony,Tenant,Yes,0.40193,103,270,0.34333,0.46052
1988,Lower Saxony,Tenant,No,0.58278,167,270,0.52385,0.64171
1988,Bremen,Tenant,No,0.80925,36,36,0.67909,0.93942
1988,North Rhine-Westphalia,Owner,Yes,0.87821,365,406,0.84636,0.91006
1988,North Rhine-Westphalia,Owner,No,0.11798,41,406,0.08656,0.14940
1988,North Rhine-Westphalia,Tenant,Yes,0.32315,295,860,0.29187,0.35442
1988,North Rhine-Westphalia,Tenant,No,0.65504,565,860,0.62326,0.68683
1988,Hesse,Owner,Yes,0.86717,130,130,0.80861,0.92574
1988,Hesse,Tenant,Yes,0.35586,94,308,0.30230,0.40942
1988,Hesse,Tenant,No,0.61124,214,308,0.55671,0.66577
1988,"Rhineland-Palatinate, Saarland",Owner,Yes,0.91233,153,153,0.86737,0.95729
1988,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.43198,71,166,0.35639,0.50756
1988,"Rhineland-Palatinate, Saarland",Tenant,No,0.55092,95,166,0.47502,0.62681
1988,Baden-Wuerttemberg,Owner,Yes,0.81777,277,335,0.77637,0.85917
1988,Baden-Wuerttemberg,Owner,No,0.17186,58,335,0.13140,0.21232
1988,Baden-Wuerttemberg,Tenant,Yes,0.35743,179,508,0.31571,0.39914
1988,Baden-Wuerttemberg,Tenant,No,0.60763,329,508,0.56513,0.65014
1988,Bavaria,Owner,Yes,0.87320,293,332,0.83735,0.90904
1988,Bavaria,Owner,No,0.11257,39,332,0.07852,0.14663
1988,Bavaria,Tenant,Yes,0.36625,154,439,0.32113,0.41137
1988,Bavaria,Tenant,No,0.60254,285,439,0.55671,0.64837
1988,Berlin,Tenant,No,0.88548,157,157,0.83550,0.93545
1989,Schleswig-Holstein,Owner,Yes,0.86383,66,66,0.78045,0.94721
1989,Schleswig-Holstein,Tenant,No,0.60621,50,50,0.46940,0.74301
1989,Hamburg,Tenant,No,0.84315,79,79,0.76245,0.92386
1989,Lower Saxony,Owner,Yes,0.96213,200,200,0.93561,0.98865
1989,Lower Saxony,Tenant,Yes,0.41699,106,267,0.35773,0.47624
1989,Lower Saxony,Tenant,No,0.55500,161,267,0.49528,0.61473
1989,Bremen,Tenant,No,0.80797,38,38,0.68105,0.93489
1989,North Rhine-Westphalia,Owner,Yes,0.89261,363,401,0.86227,0.92295
1989,North Rhine-Westphalia,Owner,No,0.10707,38,401,0.07677,0.13737
1989,North Rhine-Westphalia,Tenant,Yes,0.32276,287,825,0.29084,0.35468
1989,North Rhine-Westphalia,Tenant,No,0.65550,538,825,0.62305,0.68795
1989,Hesse,Owner,Yes,0.85763,126,126,0.79638,0.91889
1989,Hesse,Tenant,Yes,0.33784,96,316,0.28561,0.39007
1989,Hesse,Tenant,No,0.62650,220,316,0.57308,0.67992
1989,"Rhineland-Palatinate, Saarland",Owner,Yes,0.91080,157,157,0.86607,0.95553
1989,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.43347,63,145,0.35253,0.51441
1989,"Rhineland-Palatinate, Saarland",Tenant,No,0.53439,82,145,0.45291,0.61586
1989,Baden-Wuerttemberg,Owner,Yes,0.81636,274,331,0.77459,0.85814
1989,Baden-Wuerttemberg,Owner,No,0.17272,57,331,0.13194,0.21351
1989,Baden-Wuerttemberg,Tenant,Yes,0.36026,170,475,0.31704,0.40348
1989,Baden-Wuerttemberg,Tenant,No,0.60449,305,475,0.56047,0.64851
1989,Bavaria,Owner,Yes,0.89151,288,322,0.85749,0.92554
1989,Bavaria,Owner,No,0.09137,34,322,0.05985,0.12289
1989,Bavaria,Tenant,Yes,0.34217,149,436,0.29759,0.38676
1989,Bavaria,Tenant,No,0.62246,287,436,0.57691,0.66802
1989,Berlin,Tenant,No,0.87843,154,154,0.82665,0.93021
1990,Schleswig-Holstein,Owner,Yes,0.89213,63,63,0.81491,0.96935
1990,Schleswig-Holstein,Tenant,No,0.56946,48,48,0.42790,0.71102
1990,Hamburg,Tenant,No,0.85578,77,77,0.77679,0.93476
1990,Lower Saxony,Owner,Yes,0.96023,206,206,0.93348,0.98698
1990,Lower Saxony,Tenant,Yes,0.39866,102,261,0.33914,0.45817
1990,Lower Saxony,Tenant,No,0.57723,159,261,0.51718,0.63728
1990,Bremen,Tenant,No,0.82100,36,36,0.69400,0.94800
1990,North Rhine-Westphalia,Owner,Yes,0.86925,363,408,0.83649,0.90200
1990,North Rhine-Westphalia,Owner,No,0.12336,45,408,0.09141,0.15531
1990,North Rhine-Westphalia,Tenant,Yes,0.34096,290,794,0.30797,0.37396
1990,North Rhine-Westphalia,Tenant,No,0.63326,504,794,0.59972,0.66681
1990,Hesse,Owner,Yes,0.86585,130,130,0.80703,0.92466
1990,Hesse,Tenant,Yes,0.33319,92,298,0.27959,0.38680
1990,Hesse,Tenant,No,0.61302,206,298,0.55763,0.66842
1990,"Rhineland-Palatinate, Saarland",Owner,Yes,0.91002,150,150,0.86407,0.95597
1990,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.44247,66,149,0.36245,0.52249
1990,"Rhineland-Palatinate, Saarland",Tenant,No,0.52362,83,149,0.44315,0.60408
1990,Baden-Wuerttemberg,Owner,Yes,0.80765,277,339,0.76563,0.84967
1990,Baden-Wuerttemberg,Owner,No,0.18550,62,339,0.14406,0.22693
1990,Baden-Wuerttemberg,Tenant,Yes,0.39519,167,464,0.35066,0.43973
1990,Baden-Wuerttemberg,Tenant,No,0.56973,297,464,0.52463,0.61483
1990,Bavaria,Owner,Yes,0.88292,297,333,0.84833,0.91750
1990,Bavaria,Owner,No,0.10028,36,333,0.06797,0.13260
1990,Bavaria,Tenant,Yes,0.34651,148,428,0.30138,0.39165
1990,Bavaria,Tenant,No,0.61284,280,428,0.56663,0.65904
1990,Berlin,Tenant,No,0.56030,141,141,0.47808,0.64252
1990,Brandenburg,Owner,Yes,0.96758,119,119,0.93562,0.99954
1990,Brandenburg,Tenant,Yes,0.33824,84,84,0.23646,0.44003
1990,Mecklenburg-Western Pomerania,Owner,Yes,0.95883,61,61,0.90856,1.00910
1990,Mecklenburg-Western Pomerania,Tenant,Yes,0.41111,69,69,0.29416,0.52806
1990,Saxony,Owner,Yes,0.90397,140,140,0.85499,0.95295
1990,Saxony,Tenant,Yes,0.26643,139,139,0.19267,0.34019
1990,Saxony-Anhalt,Owner,Yes,0.85606,117,117,0.79218,0.91994
1990,Saxony-Anhalt,Tenant,Yes,0.29549,78,78,0.19358,0.39740
1990,Thuringa,Owner,Yes,0.89678,131,131,0.84448,0.94908
1990,Thuringa,Tenant,Yes,0.22926,53,53,0.11500,0.34351
1991,Schleswig-Holstein,Owner,Yes,0.89516,62,62,0.81828,0.97204
1991,Schleswig-Holstein,Tenant,Yes,0.48044,39,83,0.37230,0.58858
1991,Schleswig-Holstein,Tenant,No,0.51956,44,83,0.41142,0.62770
1991,Hamburg,Tenant,No,0.85002,75,75,0.76867,0.93137
1991,Lower Saxony,Owner,Yes,0.97551,204,204,0.95425,0.99677
1991,Lower Saxony,Tenant,Yes,0.41420,106,268,0.35511,0.47328
1991,Lower Saxony,Tenant,No,0.58580,162,268,0.52672,0.64489
1991,Bremen,Tenant,No,0.84593,34,34,0.72276,0.96911
1991,North Rhine-Westphalia,Owner,Yes,0.87905,376,416,0.84768,0.91043
1991,North Rhine-Westphalia,Owner,No,0.11824,40,416,0.08717,0.14931
1991,North Rhine-Westphalia,Tenant,Yes,0.32984,276,827,0.29778,0.36191
1991,North Rhine-Westphalia,Tenant,No,0.66256,551,827,0.63031,0.69480
1991,Hesse,Owner,Yes,0.89345,137,137,0.84159,0.94531
1991,Hesse,Tenant,Yes,0.34574,91,307,0.29245,0.39903
1991,Hesse,Tenant,No,0.64497,216,307,0.59135,0.69858
1991,"Rhineland-Palatinate, Saarland",Owner,Yes,0.89103,152,152,0.84133,0.94073
1991,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.39551,65,162,0.31998,0.47104
1991,"Rhineland-Palatinate, Saarland",Tenant,No,0.59702,97,162,0.52126,0.67279
1991,Baden-Wuerttemberg,Owner,Yes,0.87089,297,347,0.83555,0.90622
1991,Baden-Wuerttemberg,Owner,No,0.12546,50,347,0.09056,0.16036
1991,Baden-Wuerttemberg,Tenant,Yes,0.39946,186,483,0.35574,0.44319
1991,Baden-Wuerttemberg,Tenant,No,0.58845,297,483,0.54451,0.63238
1991,Bavaria,Owner,Yes,0.90908,314,345,0.87870,0.93947
1991,Bavaria,Owner,No,0.09092,31,345,0.06053,0.12130
1991,Bavaria,Tenant,Yes,0.35116,151,448,0.30691,0.39541
1991,Bavaria,Tenant,No,0.63162,297,448,0.58690,0.67634
1991,Berlin,Tenant,No,0.86281,260,260,0.82091,0.90471
1991,Brandenburg,Owner,Yes,0.96643,114,114,0.93322,0.99964
1991,Brandenburg,Tenant,Yes,0.35678,77,199,0.29005,0.42351
1991,Brandenburg,Tenant,No,0.62502,122,199,0.55758,0.69245
1991,Mecklenburg-Western Pomerania,Owner,Yes,0.94293,57,57,0.88217,1.00369
1991,Mecklenburg-Western Pomerania,Tenant,Yes,0.38600,61,158,0.30985,0.46215
1991,Mecklenburg-Western Pomerania,Tenant,No,0.59876,97,158,0.52208,0.67543
1991,Saxony,Owner,Yes,0.95400,134,134,0.91839,0.98960
1991,Saxony,Tenant,Yes,0.25262,127,450,0.21242,0.29281
1991,Saxony,Tenant,No,0.73105,323,450,0.69003,0.77206
1991,Saxony-Anhalt,Owner,Yes,0.90786,114,114,0.85453,0.96119
1991,Saxony-Anhalt,Tenant,Yes,0.22466,59,230,0.17060,0.27871
1991,Saxony-Anhalt,Tenant,No,0.70345,171,230,0.64429,0.76261
1991,Thuringa,Owner,Yes,0.92667,124,124,0.88061,0.97274
1991,Thuringa,Tenant,Yes,0.23825,54,187,0.17702,0.29947
1991,Thuringa,Tenant,No,0.70259,133,187,0.63689,0.76828
1992,Schleswig-Holstein,Owner,Yes,0.89067,59,59,0.81036,0.97098
1992,Schleswig-Holstein,Tenant,Yes,0.47244,37,76,0.35945,0.58543
1992,Schleswig-Holstein,Tenant,No,0.49765,39,76,0.38449,0.61081
1992,Hamburg,Tenant,No,0.81670,63,63,0.72039,0.91301
1992,Lower Saxony,Owner,Yes,0.96435,205,205,0.93891,0.98980
1992,Lower Saxony,Tenant,Yes,0.39375,102,264,0.33470,0.45280
1992,Lower Saxony,Tenant,No,0.57437,162,264,0.51462,0.63413
1992,Bremen,Tenant,No,0.87003,35,35,0.75699,0.98306
1992,North Rhine-Westphalia,Owner,Yes,0.90451,387,420,0.87637,0.93265
1992,North Rhine-Westphalia,Owner,No,0.09253,33,420,0.06479,0.12028
1992,North Rhine-Westphalia,Tenant,Yes,0.32113,271,818,0.28911,0.35314
1992,North Rhine-Westphalia,Tenant,No,0.66286,547,818,0.63045,0.69528
1992,Hesse,Owner,Yes,0.91160,143,143,0.86490,0.95829
1992,Hesse,Tenant,Yes,0.32939,88,293,0.27548,0.38330
1992,Hesse,Tenant,No,0.63571,205,293,0.58051,0.69091
1992,"Rhineland-Palatinate, Saarland",Owner,Yes,0.90567,149,149,0.85858,0.95276
1992,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.39485,66,168,0.32071,0.46899
1992,"Rhineland-Palatinate, Saarland",Tenant,No,0.59871,102,168,0.52437,0.67305
1992,Baden-Wuerttemberg,Owner,Yes,0.86586,295,342,0.82969,0.90204
1992,Baden-Wuerttemberg,Owner,No,0.12977,47,342,0.09411,0.16544
1992,Baden-Wuerttemberg,Tenant,Yes,0.40997,183,481,0.36597,0.45397
1992,Baden-Wuerttemberg,Tenant,No,0.56872,298,481,0.52441,0.61303
1992,Bavaria,Owner,Yes,0.90332,319,352,0.87240,0.93424
1992,Bavaria,Owner,No,0.09190,33,352,0.06168,0.12212
1992,Bavaria,Tenant,Yes,0.32079,146,452,0.27771,0.36387
1992,Bavaria,Tenant,No,0.65230,306,452,0.60835,0.69626
1992,Berlin,Tenant,No,0.83500,256,256,0.78944,0.88056
1992,Brandenburg,Owner,Yes,0.96062,103,103,0.92287,0.99837
1992,Brandenburg,Tenant,Yes,0.39871,84,196,0.32998,0.46743
1992,Brandenburg,Tenant,No,0.51846,112,196,0.44833,0.58860
1992,Mecklenburg-Western Pomerania,Owner,Yes,0.93646,53,53,0.87016,1.00276
1992,Mecklenburg-Western Pomerania,Tenant,Yes,0.34162,47,140,0.26278,0.42046
1992,Mecklenburg-Western Pomerania,Tenant,No,0.64513,93,140,0.56559,0.72467
1992,Saxony,Owner,Yes,0.90022,131,131,0.84870,0.95174
1992,Saxony,Tenant,Yes,0.23632,114,423,0.19579,0.27686
1992,Saxony,Tenant,No,0.72333,309,423,0.68065,0.76601
1992,Saxony-Anhalt,Owner,Yes,0.89343,103,103,0.83355,0.95332
1992,Saxony-Anhalt,Tenant,Yes,0.23723,62,227,0.18177,0.29269
1992,Saxony-Anhalt,Tenant,No,0.64065,165,227,0.57810,0.70321
1992,Thuringa,Owner,Yes,0.89998,122,122,0.84653,0.95344
1992,Thuringa,Tenant,Yes,0.24513,49,175,0.18121,0.30905
1992,Thuringa,Tenant,No,0.64542,126,175,0.57434,0.71651
1993,Schleswig-Holstein,Owner,Yes,0.89393,60,60,0.81536,0.97251
1993,Schleswig-Holstein,Tenant,Yes,0.44031,41,86,0.33477,0.54585
1993,Schleswig-Holstein,Tenant,No,0.51031,45,86,0.40404,0.61658
1993,Hamburg,Tenant,No,0.82313,64,64,0.72891,0.91735
1993,Lower Saxony,Owner,Yes,0.95796,208,208,0.93062,0.98530
1993,Lower Saxony,Tenant,Yes,0.41418,105,275,0.35586,0.47251
1993,Lower Saxony,Tenant,No,0.55196,170,275,0.49307,0.61084
1993,Bremen,Tenant,No,0.78280,32,32,0.63765,0.92796
1993,North Rhine-Westphalia,Owner,Yes,0.88820,386,422,0.85810,0.91830
1993,North Rhine-Westphalia,Owner,No,0.10333,36,422,0.07425,0.13240
1993,North Rhine-Westphalia,Tenant,Yes,0.32167,279,810,0.28948,0.35386
1993,North Rhine-Westphalia,Tenant,No,0.64461,531,810,0.61163,0.67759
1993,Hesse,Owner,Yes,0.90331,137,137,0.85364,0.95298
1993,Hesse,Tenant,Yes,0.36266,97,295,0.30770,0.41761
1993,Hesse,Tenant,No,0.60441,198,295,0.54851,0.66030
1993,"Rhineland-Palatinate, Saarland",Owner,Yes,0.91607,153,153,0.87198,0.96015
1993,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.39909,64,151,0.32072,0.47746
1993,"Rhineland-Palatinate, Saarland",Tenant,No,0.57338,87,151,0.49423,0.65253
1993,Baden-Wuerttemberg,Owner,Yes,0.83138,285,333,0.79111,0.87166
1993,Baden-Wuerttemberg,Owner,No,0.12545,48,333,0.08982,0.16108
1993,Baden-Wuerttemberg,Tenant,Yes,0.42564,191,493,0.38195,0.46933
1993,Baden-Wuerttemberg,Tenant,No,0.56058,302,493,0.51673,0.60444
1993,Bavaria,Owner,Yes,0.88457,313,348,0.85094,0.91819
1993,Bavaria,Owner,No,0.10816,35,348,0.07548,0.14084
1993,Bavaria,Tenant,Yes,0.31281,152,451,0.26997,0.35565
1993,Bavaria,Tenant,No,0.61807,299,451,0.57318,0.66296
1993,Berlin,Tenant,No,0.80415,243,243,0.75415,0.85415
1993,Brandenburg,Owner,Yes,0.96439,102,102,0.92825,1.00053
1993,Brandenburg,Tenant,Yes,0.39896,78,188,0.32877,0.46914
1993,Brandenburg,Tenant,No,0.52890,110,188,0.45735,0.60044
1993,Mecklenburg-Western Pomerania,Owner,Yes,0.97645,60,60,0.93775,1.01514
1993,Mecklenburg-Western Pomerania,Tenant,Yes,0.34321,44,131,0.26160,0.42483
1993,Mecklenburg-Western Pomerania,Tenant,No,0.60881,87,131,0.52492,0.69270
1993,Saxony,Owner,Yes,0.92187,125,125,0.87464,0.96911
1993,Saxony,Tenant,Yes,0.25453,111,405,0.21205,0.29700
1993,Saxony,Tenant,No,0.69170,294,405,0.64667,0.73673
1993,Saxony-Anhalt,Owner,Yes,0.88021,101,101,0.81656,0.94385
1993,Saxony-Anhalt,Tenant,Yes,0.23228,55,214,0.17557,0.28900
1993,Saxony-Anhalt,Tenant,No,0.63964,159,214,0.57516,0.70412
1993,Thuringa,Owner,Yes,0.91361,117,117,0.86249,0.96474
1993,Thuringa,Tenant,Yes,0.26916,53,175,0.20326,0.33507
1993,Thuringa,Tenant,No,0.64786,122,175,0.57688,0.71883
1994,Schleswig-Holstein,Owner,Yes,0.91027,61,61,0.83796,0.98259
1994,Schleswig-Holstein,Tenant,Yes,0.46422,40,84,0.35693,0.57152
1994,Schleswig-Holstein,Tenant,No,0.51392,44,84,0.40640,0.62145
1994,Hamburg,Tenant,No,0.80072,63,63,0.70129,0.90015
1994,Lower Saxony,Owner,Yes,0.95881,210,210,0.93187,0.98575
1994,Lower Saxony,Tenant,Yes,0.42694,110,262,0.36693,0.48695
1994,Lower Saxony,Tenant,No,0.50352,152,262,0.44286,0.56418
1994,North Rhine-Westphalia,Owner,Yes,0.90161,383,418,0.87303,0.93020
1994,North Rhine-Westphalia,Owner,No,0.09129,35,418,0.06364,0.11893
1994,North Rhine-Westphalia,Tenant,Yes,0.33001,273,779,0.29696,0.36305
1994,North Rhine-Westphalia,Tenant,No,0.61350,506,779,0.57928,0.64771
1994,Hesse,Owner,Yes,0.89583,138,138,0.84468,0.94698
1994,Hesse,Tenant,Yes,0.36339,94,293,0.30822,0.41856
1994,Hesse,Tenant,No,0.61654,199,293,0.56077,0.67231
1994,"Rhineland-Palatinate, Saarland",Owner,Yes,0.91127,152,152,0.86591,0.95662
1994,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.37181,62,153,0.29497,0.44864
1994,"Rhineland-Palatinate, Saarland",Tenant,No,0.61417,91,153,0.53678,0.69156
1994,Baden-Wuerttemberg,Owner,Yes,0.84427,280,326,0.80485,0.88369
1994,Baden-Wuerttemberg,Owner,No,0.12133,46,326,0.08583,0.15683
1994,Baden-Wuerttemberg,Tenant,Yes,0.41201,186,478,0.36784,0.45618
1994,Baden-Wuerttemberg,Tenant,No,0.55868,292,478,0.51412,0.60324
1994,Bavaria,Owner,Yes,0.86274,317,354,0.82684,0.89864
1994,Bavaria,Owner,No,0.10620,37,354,0.07406,0.13834
1994,Bavaria,Tenant,Yes,0.33212,166,447,0.28841,0.37583
1994,Bavaria,Tenant,No,0.59532,281,447,0.54977,0.64088
1994,Berlin,Tenant,No,0.79019,232,232,0.73768,0.84269
1994,Brandenburg,Owner,Yes,0.95823,100,100,0.91882,0.99764
1994,Brandenburg,Tenant,Yes,0.40867,74,182,0.33705,0.48029
1994,Brandenburg,Tenant,No,0.52231,108,182,0.44954,0.59508
1994,Mecklenburg-Western Pomerania,Owner,Yes,0.98542,56,56,0.95374,1.01710
1994,Mecklenburg-Western Pomerania,Tenant,Yes,0.29345,39,132,0.21547,0.37143
1994,Mecklenburg-Western Pomerania,Tenant,No,0.65171,93,132,0.57012,0.73330
