year,regtyp,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Rural regions,Yes,0.64732,1536,2400,0.62820,0.66644
1999,Rural regions,No,0.34192,864,2400,0.32294,0.36090
2000,Urban regions,Yes,0.50088,4583,8462,0.49022,0.51153
2000,Urban regions,No,0.47924,3879,8462,0.46859,0.48988
2000,Rural regions,Yes,0.65419,2927,4315,0.63999,0.66838
2000,Rural regions,No,0.33684,1388,4315,0.32273,0.35094
2001,Urban regions,Yes,0.50217,4146,7630,0.49095,0.51339
2001,Urban regions,No,0.47346,3484,7630,0.46225,0.48466
2001,Rural regions,Yes,0.66044,2648,3856,0.64549,0.67538
2001,Rural regions,No,0.32775,1208,3856,0.31293,0.34257
2002,Urban regions,Yes,0.50143,4620,8062,0.49051,0.51234
2002,Urban regions,No,0.47015,3442,8062,0.45925,0.48104
2002,Rural regions,Yes,0.66279,2732,3909,0.64797,0.67761
2002,Rural regions,No,0.32275,1177,3909,0.30809,0.33741
2003,Urban regions,Yes,0.50208,4455,7790,0.49098,0.51318
2003,Urban regions,No,0.46844,3335,7790,0.45736,0.47953
2003,Rural regions,Yes,0.66684,2630,3761,0.65178,0.68191
2003,Rural regions,No,0.31651,1131,3761,0.30165,0.33138
2004,Urban regions,Yes,0.50134,4362,7581,0.49009,0.51260
2004,Urban regions,No,0.46751,3219,7581,0.45628,0.47874
2004,Rural regions,Yes,0.66522,2609,3688,0.64999,0.68045
2004,Rural regions,No,0.31247,1079,3688,0.29751,0.32743
2005,Urban regions,Yes,0.50068,4250,7534,0.48939,0.51197
2005,Urban regions,No,0.49409,3284,7534,0.48280,0.50538
2005,Rural regions,Yes,0.69496,2609,3637,0.68000,0.70993
2005,Rural regions,No,0.30095,1028,3637,0.28604,0.31586
2006,Urban regions,Yes,0.49626,4652,8147,0.48541,0.50712
2006,Urban regions,No,0.49963,3495,8147,0.48877,0.51049
2006,Rural regions,Yes,0.67200,2901,4088,0.65761,0.68640
2006,Rural regions,No,0.32596,1187,4088,0.31159,0.34033
2007,Urban regions,Yes,0.51385,4412,7587,0.50260,0.52510
2007,Urban regions,No,0.48166,3175,7587,0.47041,0.49290
2007,Rural regions,Yes,0.67884,2751,3837,0.66407,0.69362
2007,Rural regions,No,0.31698,1086,3837,0.30226,0.33171
2008,Urban regions,Yes,0.52277,4189,7171,0.51121,0.53434
2008,Urban regions,No,0.47401,2982,7171,0.46246,0.48557
2008,Rural regions,Yes,0.68719,2613,3627,0.67210,0.70228
2008,Rural regions,No,0.31016,1014,3627,0.29510,0.32521
2009,Urban regions,Yes,0.53488,3970,6691,0.52293,0.54684
2009,Urban regions,No,0.46351,2721,6691,0.45157,0.47546
2009,Rural regions,Yes,0.69009,2491,3476,0.67472,0.70547
2009,Rural regions,No,0.30788,985,3476,0.29253,0.32323
2010,Urban regions,Yes,0.53591,5322,9069,0.52564,0.54617
2010,Urban regions,No,0.46080,3747,9069,0.45054,0.47106
2010,Rural regions,Yes,0.69715,3428,4710,0.68402,0.71027
2010,Rural regions,No,0.30251,1282,4710,0.28939,0.31563
2011,Urban regions,Yes,0.53735,6354,10749,0.52792,0.54677
2011,Urban regions,No,0.46187,4395,10749,0.45244,0.47129
2011,Rural regions,Yes,0.70504,4250,5842,0.69334,0.71673
2011,Rural regions,No,0.29377,1592,5842,0.28209,0.30545
2012,Urban regions,Yes,0.54304,6196,10444,0.53348,0.55259
2012,Urban regions,No,0.45570,4248,10444,0.44615,0.46525
2012,Rural regions,Yes,0.68924,4215,5854,0.67739,0.70110
2012,Rural regions,No,0.31028,1639,5854,0.29843,0.32213
2013,Urban regions,Yes,0.55292,6674,11848,0.54396,0.56187
2013,Urban regions,No,0.44692,5174,11848,0.43796,0.45587
2013,Rural regions,Yes,0.68542,4213,6018,0.67368,0.69715
2013,Rural regions,No,0.31416,1805,6018,0.30243,0.32589
2014,Urban regions,Yes,0.56050,6020,10394,0.55096,0.57004
2014,Urban regions,No,0.43802,4374,10394,0.42848,0.44756
2014,Rural regions,Yes,0.68609,3841,5426,0.67375,0.69844
2014,Rural regions,No,0.31343,1585,5426,0.30108,0.32577
2015,Urban regions,Yes,0.54387,5657,10376,0.53429,0.55346
2015,Urban regions,No,0.45432,4719,10376,0.44474,0.46390
2015,Rural regions,Yes,0.67112,3701,5378,0.65856,0.68367
2015,Rural regions,No,0.32836,1677,5378,0.31581,0.34091
2016,Urban regions,Yes,0.53711,5480,10820,0.52772,0.54651
2016,Urban regions,No,0.46147,5340,10820,0.45208,0.47087
2016,Rural regions,Yes,0.68326,3589,5575,0.67105,0.69548
2016,Rural regions,No,0.31545,1986,5575,0.30325,0.32765
2017,Urban regions,Yes,0.54414,6199,12023,0.53524,0.55304
2017,Urban regions,No,0.45525,5824,12023,0.44635,0.46415
2017,Rural regions,Yes,0.68787,4091,6244,0.67638,0.69937
2017,Rural regions,No,0.31000,2153,6244,0.29853,0.32147
2018,Urban regions,Yes,0.54449,5926,11793,0.53550,0.55348
2018,Urban regions,No,0.45352,5867,11793,0.44454,0.46251
2018,Rural regions,Yes,0.68292,3802,5899,0.67104,0.69479
2018,Rural regions,No,0.31454,2097,5899,0.30269,0.32639
2019,Urban regions,Yes,0.50835,5056,9903,0.49850,0.51819
2019,Urban regions,No,0.40598,4847,9903,0.39630,0.41565
2019,Rural regions,Yes,0.64344,3302,5005,0.63017,0.65671
2019,Rural regions,No,0.27579,1703,5005,0.26341,0.28817
2020,Urban regions,Yes,0.55377,6444,13372,0.54534,0.56219
2020,Urban regions,No,0.44485,6928,13372,0.43643,0.45327
2020,Rural regions,Yes,0.70174,3893,5928,0.69009,0.71338
2020,Rural regions,No,0.29776,2035,5928,0.28612,0.30940
2021,Urban regions,Yes,0.49522,3948,7606,0.48398,0.50646
2021,Urban regions,No,0.39352,3658,7606,0.38254,0.40450
2021,Rural regions,Yes,0.63661,2476,3567,0.62083,0.65240
2021,Rural regions,No,0.27721,1091,3567,0.26252,0.29190
2022,Urban regions,Yes,0.55852,7220,13821,0.55024,0.56680
2022,Urban regions,No,0.43646,6601,13821,0.42819,0.44473
2022,Rural regions,Yes,0.71958,4491,6237,0.70843,0.73073
2022,Rural regions,No,0.27798,1746,6237,0.26687,0.28910
