"pgoeffd","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"ja","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","482","0.234925251238112","0.217795387371055","0.25205511510517"
"ja","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","822","0.283059208663065","0.26791032581229","0.298208091513839"
"ja","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1986","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1871","0.765074748761888","0.74794488489483","0.782204612628945"
"nein","1986","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1986","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2575","0.716940791336935","0.70179190848616","0.73208967418771"
"nein","1986","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1986","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"nein","1986","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","494","0.237410464406063","0.220520583397925","0.254300345414201"
"ja","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","825","0.279984839613041","0.264879508465879","0.295090170760203"
"ja","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1987","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1944","0.762589535593937","0.745699654585799","0.779479416602075"
"nein","1987","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1987","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2569","0.720015160386959","0.704909829239797","0.735120491534121"
"nein","1987","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1987","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"nein","1987","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","448","0.219002054674257","0.202517812618061","0.235486296730453"
"ja","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","806","0.285656721505309","0.270209296013704","0.301104146996913"
"ja","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1988","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1988","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1970","0.780997945325743","0.764513703269546","0.797482187381939"
"nein","1988","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1988","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2479","0.714343278494691","0.698895853003087","0.729790703986296"
"nein","1988","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1988","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"nein","1988","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1989","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","476","0.213495182527787","0.197606152997642","0.229384212057931"
"ja","1989","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1989","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","775","0.278809405730066","0.26339766976816","0.294221141691972"
"ja","1989","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1989","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1989","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1989","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2079","0.786504817472213","0.770615787942069","0.802393847002358"
"nein","1989","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1989","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2477","0.721190594269934","0.705778858308028","0.73660233023184"
"nein","1989","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1989","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"nein","1989","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","472","0.215386613419465","0.199055153299446","0.231718073539484"
"ja","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","458","0.328814540913313","0.303983580423234","0.353645501403393"
"ja","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","749","0.278459488245207","0.262858168403714","0.294060808086701"
"ja","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","649","0.340771420138855","0.319680437132029","0.36186240314568"
"ja","1990","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1990","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1962","0.784613386580535","0.768281926460516","0.800944846700553"
"nein","1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","917","0.671185459086686","0.646354498596607","0.696016419576766"
"nein","1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2422","0.721540511754793","0.705939191913299","0.737141831596286"
"nein","1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1291","0.659228579861145","0.63813759685432","0.680319562867971"
"nein","1990","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"nein","1990","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1991","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","521","0.2300529282148","0.213653369992361","0.246452486437238"
"ja","1991","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","370","0.32654216540514","0.299343983251019","0.35374034755926"
"ja","1991","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","775","0.27281833025557","0.257621627954477","0.288015032556663"
"ja","1991","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","527","0.316116462176215","0.293829822798989","0.338403101553441"
"ja","1991","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1991","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1991","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2009","0.7699470717852","0.753547513562762","0.786346630007639"
"nein","1991","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","772","0.67345783459486","0.64625965244074","0.700656016748981"
"nein","1991","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2525","0.72718166974443","0.711984967443337","0.742378372045523"
"nein","1991","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1145","0.683883537823785","0.661596898446559","0.706170177201011"
"nein","1991","66 und älter","Westdeutschland, alte Bundeslaender","30","0.957092560143101","0.885756270750125","1.02842884953608"
"nein","1991","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1992","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","515","0.240795950339099","0.22362552474871","0.257966375929488"
"ja","1992","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","340","0.354670992443352","0.324548588292482","0.384793396594221"
"ja","1992","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","770","0.278254726124381","0.262720485716915","0.293788966531847"
"ja","1992","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","528","0.365283121119785","0.340516337544","0.39004990469557"
"ja","1992","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1992","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1992","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1867","0.759204049660901","0.742033624070512","0.77637447525129"
"nein","1992","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","629","0.645329007556648","0.615206603405779","0.675451411707518"
"nein","1992","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2427","0.721745273875619","0.706211033468153","0.737279514283085"
"nein","1992","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","924","0.634716878880215","0.60995009530443","0.659483662456"
"nein","1992","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"nein","1992","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","495","0.227409256207216","0.21070224507598","0.244116267338452"
"ja","1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","328","0.343955174545719","0.313176123570747","0.374734225520691"
"ja","1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","773","0.275088118630908","0.259579543503681","0.290596693758135"
"ja","1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","465","0.344686912810827","0.319135058749823","0.370238766871831"
"ja","1993","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1993","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1923","0.772590743792784","0.755883732661549","0.78929775492402"
"nein","1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","587","0.656044825454281","0.625265774479309","0.686823876429253"
"nein","1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2412","0.724911881369092","0.709403306241864","0.740420456496319"
"nein","1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","864","0.655313087189173","0.629761233128169","0.680864941250177"
"nein","1993","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"nein","1993","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","482","0.242103153647159","0.224407540442599","0.259798766851719"
"ja","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","265","0.315982980473747","0.284297475289772","0.347668485657722"
"ja","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","744","0.278410954887698","0.262280350379679","0.294541559395717"
"ja","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","463","0.342783251782082","0.317245848319811","0.368320655244352"
"ja","1994","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1994","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1769","0.757896846352841","0.740201233148281","0.775592459557401"
"nein","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","562","0.684017019526253","0.652331514342278","0.715702524710228"
"nein","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2222","0.721589045112302","0.705458440604283","0.737719649620321"
"nein","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","864","0.657216748217918","0.631679344755648","0.682754151680189"
"nein","1994","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"nein","1994","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","506","0.227395786301927","0.210801973820931","0.243989598782922"
"ja","1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","245","0.290177225133389","0.259504192288803","0.320850257977975"
"ja","1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","802","0.284540668120008","0.268843934810281","0.300237401429735"
"ja","1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","456","0.3371685770556","0.312043712580234","0.362293441530966"
"ja","1995","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1995","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1945","0.772604213698074","0.756010401217078","0.789198026179069"
"nein","1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","596","0.709822774866611","0.679149742022025","0.740495807711197"
"nein","1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2372","0.715459331879992","0.699762598570265","0.731156065189719"
"nein","1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","904","0.6628314229444","0.637706558469034","0.687956287419766"
"nein","1995","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"nein","1995","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1996","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","484","0.239497791486854","0.221949092532488","0.25704649044122"
"ja","1996","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","208","0.275892207867135","0.243839913846308","0.307944501887963"
"ja","1996","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","778","0.280469835233209","0.264620256900326","0.296319413566091"
"ja","1996","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","443","0.335272675693275","0.309891809099224","0.360653542287326"
"ja","1996","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1996","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1996","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1788","0.760502208513146","0.74295350955878","0.778050907467512"
"nein","1996","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","539","0.724107792132865","0.692055498112037","0.756160086153692"
"nein","1996","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2308","0.719530164766791","0.703680586433909","0.735379743099674"
"nein","1996","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","886","0.664727324306725","0.639346457712674","0.690108190900776"
"nein","1996","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"nein","1996","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1997","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","482","0.236091406100745","0.218586547898307","0.253596264303183"
"ja","1997","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","204","0.266943198468924","0.235071113476265","0.298815283461584"
"ja","1997","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","767","0.275513195263693","0.259618390967536","0.29140799955985"
"ja","1997","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","436","0.337157493728858","0.311577363137999","0.362737624319718"
"ja","1997","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1997","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1997","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1779","0.763908593899255","0.746403735696817","0.781413452101693"
"nein","1997","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","536","0.733056801531076","0.701184716538416","0.764928886523735"
"nein","1997","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2268","0.724486804736307","0.70859200044015","0.740381609032464"
"nein","1997","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","876","0.662842506271142","0.637262375680282","0.688422636862001"
"nein","1997","66 und älter","Westdeutschland, alte Bundeslaender","30","0.9457637106715","0.867292670530804","1.0242347508122"
"nein","1997","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1998","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","487","0.233163876761024","0.216140103225974","0.250187650296073"
"ja","1998","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","198","0.263921643541314","0.232749475515477","0.29509381156715"
"ja","1998","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","922","0.272270327007028","0.257631819131461","0.286908834882595"
"ja","1998","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","459","0.339635257945493","0.314684808741843","0.364585707149144"
"ja","1998","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1998","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1998","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1883","0.766836123238976","0.749812349703927","0.783859896774025"
"nein","1998","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","570","0.736078356458686","0.70490618843285","0.767250524484522"
"nein","1998","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2630","0.727729672992972","0.713091165117405","0.742368180868539"
"nein","1998","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","925","0.660364742054506","0.635414292850856","0.685315191258157"
"nein","1998","66 und älter","Westdeutschland, alte Bundeslaender","31","0.862632542804809","0.750184554805953","0.975080530803666"
"nein","1998","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1999","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","409","0.227650901649676","0.209686821413412","0.24561498188594"
"ja","1999","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","174","0.244891511775285","0.212665127428203","0.277117896122368"
"ja","1999","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","846","0.265525273699773","0.250510310193123","0.280540237206423"
"ja","1999","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","446","0.341747881296584","0.316475379218034","0.367020383375133"
"ja","1999","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1999","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1999","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1684","0.772349098350324","0.75438501811406","0.790313178586588"
"nein","1999","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","510","0.755108488224715","0.722882103877632","0.787334872571797"
"nein","1999","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2477","0.734474726300227","0.719459762793577","0.749489689806877"
"nein","1999","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","907","0.658252118703416","0.632979616624867","0.683524620781966"
"nein","1999","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"nein","1999","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2000","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","719","0.205270303668306","0.192134762974635","0.218405844361977"
"ja","2000","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","232","0.209278954279385","0.184790036916264","0.233767871642505"
"ja","2000","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1726","0.244476135867512","0.234328127663098","0.254624144071927"
"ja","2000","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","644","0.296311316829374","0.27694656795031","0.315676065708438"
"ja","2000","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","2000","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2000","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2913","0.794729696331694","0.781594155638023","0.807865237025365"
"nein","2000","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","828","0.790721045720615","0.766232128357495","0.815209963083736"
"nein","2000","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","5164","0.755523864132488","0.745375855928074","0.765671872336902"
"nein","2000","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1492","0.703688683170626","0.684323934291562","0.72305343204969"
"nein","2000","66 und älter","Westdeutschland, alte Bundeslaender","76","0.901847553304537","0.837840744435575","0.965854362173498"
"nein","2000","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2001","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","562","0.199367870306819","0.184768899094964","0.213966841518673"
"ja","2001","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","199","0.231588862153659","0.203541381129872","0.259636343177447"
"ja","2001","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1536","0.246733954978939","0.23591976704708","0.257548142910798"
"ja","2001","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","579","0.289104262023272","0.268899671255552","0.309308852790992"
"ja","2001","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","2001","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2001","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2315","0.800632129693181","0.786033158481327","0.815231100905036"
"nein","2001","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","670","0.768411137846341","0.740363656822553","0.796458618870128"
"nein","2001","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","4569","0.753266045021061","0.742451857089202","0.76408023295292"
"nein","2001","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1355","0.710895737976728","0.690691147209008","0.731100328744448"
"nein","2001","66 und älter","Westdeutschland, alte Bundeslaender","58","0.846907543981502","0.761946773631779","0.931868314331225"
"nein","2001","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2002","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","595","0.194828947195863","0.180651334925628","0.209006559466098"
"ja","2002","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","199","0.209622189730226","0.183334387905539","0.235909991554913"
"ja","2002","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1986","0.247639931007682","0.237753790470259","0.257526071545105"
"ja","2002","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","618","0.281898331668801","0.262184830299396","0.301611833038205"
"ja","2002","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","2002","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2002","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2403","0.805171052804137","0.790993440533902","0.819348665074372"
"nein","2002","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","722","0.790377810269774","0.764090008445087","0.816665612094461"
"nein","2002","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","5337","0.752360068992318","0.742473928454895","0.762246209529741"
"nein","2002","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1383","0.718101668331199","0.698388166961795","0.737815169700604"
"nein","2002","66 und älter","Westdeutschland, alte Bundeslaender","90","0.826024152641934","0.754528922818853","0.897519382465015"
"nein","2002","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2003","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","509","0.215982720733238","0.199913074046833","0.232052367419642"
"ja","2003","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","183","0.233079562706241","0.202821249621055","0.263337875791427"
"ja","2003","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1825","0.258066871482614","0.247513455210241","0.268620287754987"
"ja","2003","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","580","0.287530967842451","0.266928533662469","0.308133402022433"
"ja","2003","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","2003","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2003","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2010","0.784017279266762","0.767947632580358","0.800086925953167"
"nein","2003","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","567","0.766920437293759","0.736662124208573","0.797178750378945"
"nein","2003","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","4779","0.741933128517386","0.731379712245013","0.752486544789759"
"nein","2003","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1274","0.712469032157549","0.691866597977566","0.733071466337531"
"nein","2003","66 und älter","Westdeutschland, alte Bundeslaender","82","0.894470854132647","0.832689759782795","0.956251948482498"
"nein","2003","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2004","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","540","0.219829451680202","0.203864943953743","0.235793959406662"
"ja","2004","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","178","0.198460444412293","0.171359408770685","0.225561480053901"
"ja","2004","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1809","0.249855511691073","0.239492985807379","0.260218037574768"
"ja","2004","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","580","0.284217703169937","0.263926115620121","0.304509290719753"
"ja","2004","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","2004","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2004","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2045","0.780170548319798","0.764206040593338","0.796135056046257"
"nein","2004","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","654","0.801539555587707","0.774438519946099","0.828640591229315"
"nein","2004","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","4896","0.750144488308927","0.739781962425232","0.760507014192621"
"nein","2004","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1318","0.715782296830063","0.695490709280247","0.736073884379879"
"nein","2004","66 und älter","Westdeutschland, alte Bundeslaender","127","0.970026822764468","0.941156346096605","0.998897299432331"
"nein","2004","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2005","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","426","0.207594348684399","0.190434447698613","0.224754249670184"
"ja","2005","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","148","0.238048622194792","0.205991117870658","0.270106126518926"
"ja","2005","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1708","0.253791439421734","0.242949513199654","0.264633365643814"
"ja","2005","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","539","0.282660870740062","0.261545595571469","0.303776145908655"
"ja","2005","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","2005","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2005","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1720","0.792405651315601","0.775245750329816","0.809565552301387"
