"pgoeffd","year","migback","n","percent","lower_confidence","upper_confidence"
"nein","1987","indirekter Migrationshintergrund","66","0.724381953199587","0.626468868297196","0.822295038101978"
"ja","1988","kein Migrationshintergrund","1065","0.272021581218374","0.258147617457398","0.28589554497935"
"ja","1988","direkter Migrationshintergrund","176","0.139088938467991","0.122472573113066","0.155705303822917"
"ja","1988","indirekter Migrationshintergrund","","","",""
"nein","1988","kein Migrationshintergrund","2887","0.727978418781626","0.71410445502065","0.741852382542602"
"nein","1988","direkter Migrationshintergrund","1490","0.860911061532008","0.844294696177083","0.877527426886934"
"nein","1988","indirekter Migrationshintergrund","98","0.840295772917779","0.772752334662943","0.907839211172615"
"ja","1989","kein Migrationshintergrund","1053","0.262043121391705","0.248459577814273","0.275626664969138"
"ja","1989","direkter Migrationshintergrund","188","0.165969769882712","0.14817883204567","0.183760707719755"
"ja","1989","indirekter Migrationshintergrund","","","",""
"nein","1989","kein Migrationshintergrund","2973","0.737956878608295","0.724373335030862","0.751540422185727"
"nein","1989","direkter Migrationshintergrund","1492","0.834030230117288","0.816239292280245","0.85182116795433"
"nein","1989","indirekter Migrationshintergrund","119","0.842637536773883","0.78143779211175","0.903837281436016"
"ja","1990","kein Migrationshintergrund","2106","0.283822253820456","0.273333006593934","0.294311501046978"
"ja","1990","direkter Migrationshintergrund","211","0.170385696410214","0.152581429677764","0.188189963142664"
"ja","1990","indirekter Migrationshintergrund","","","",""
"nein","1990","kein Migrationshintergrund","4991","0.716177746179544","0.705688498953022","0.726666993406066"
"nein","1990","direkter Migrationshintergrund","1502","0.829614303589786","0.811810036857336","0.847418570322236"
"nein","1990","indirekter Migrationshintergrund","140","0.884025813163354","0.83425638279237","0.933795243534338"
"ja","1991","kein Migrationshintergrund","1947","0.282742671386964","0.271993205332625","0.293492137441303"
"ja","1991","direkter Migrationshintergrund","223","0.164686099203451","0.147213686356219","0.182158512050684"
"ja","1991","indirekter Migrationshintergrund","","","",""
"nein","1991","kein Migrationshintergrund","4795","0.717257328613036","0.706507862558697","0.728006794667375"
"nein","1991","direkter Migrationshintergrund","1508","0.835313900796549","0.817841487949316","0.852786313643781"
"nein","1991","indirekter Migrationshintergrund","184","0.88339234433429","0.840086430136717","0.926698258531863"
"ja","1992","kein Migrationshintergrund","1906","0.297321596863124","0.28595425666635","0.308688937059898"
"ja","1992","direkter Migrationshintergrund","213","0.17785640441827","0.159048888627257","0.196663920209282"
"ja","1992","indirekter Migrationshintergrund","36","0.1667309190517","0.118135584410289","0.215326253693111"
"nein","1992","kein Migrationshintergrund","4305","0.702678403136876","0.691311062940102","0.71404574333365"
"nein","1992","direkter Migrationshintergrund","1375","0.82214359558173","0.803336079790718","0.840951111372743"
"nein","1992","indirekter Migrationshintergrund","190","0.8332690809483","0.784673746306889","0.881864415589711"
"ja","1993","kein Migrationshintergrund","1827","0.288533820328057","0.277129227091857","0.299938413564258"
"ja","1993","direkter Migrationshintergrund","196","0.173726966743639","0.15469894901492","0.192754984472359"
"ja","1993","indirekter Migrationshintergrund","41","0.152441101584254","0.110927746875469","0.193954456293039"
"nein","1993","kein Migrationshintergrund","4236","0.711466179671943","0.700061586435742","0.722870772908143"
"nein","1993","direkter Migrationshintergrund","1327","0.826273033256361","0.807245015527641","0.84530105098508"
"nein","1993","indirekter Migrationshintergrund","247","0.847558898415746","0.806045543706961","0.889072253124531"
"ja","1994","kein Migrationshintergrund","1735","0.292387163507593","0.280654767764762","0.304119559250424"
"ja","1994","direkter Migrationshintergrund","171","0.16889738524561","0.14879969050282","0.1889950799884"
"ja","1994","indirekter Migrationshintergrund","49","0.227358685083585","0.178698876180964","0.276018493986205"
"nein","1994","kein Migrationshintergrund","4039","0.707612836492407","0.695880440749576","0.719345232235237"
"nein","1994","direkter Migrationshintergrund","1164","0.83110261475439","0.8110049200116","0.85120030949718"
"nein","1994","indirekter Migrationshintergrund","236","0.772641314916415","0.723981506013795","0.821301123819036"
"ja","1995","kein Migrationshintergrund","1739","0.288394271072137","0.276922044589244","0.299866497555029"
"ja","1995","direkter Migrationshintergrund","227","0.189567459918356","0.170098438840439","0.209036480996274"
"ja","1995","indirekter Migrationshintergrund","45","0.176382341997091","0.133953847573008","0.218810836421174"
"nein","1995","kein Migrationshintergrund","4251","0.711605728927863","0.700133502444971","0.723077955410756"
"nein","1995","direkter Migrationshintergrund","1330","0.810432540081644","0.790963519003726","0.829901561159561"
"nein","1995","indirekter Migrationshintergrund","265","0.823617658002909","0.781189163578826","0.866046152426992"
"ja","1996","kein Migrationshintergrund","1669","0.291244230089609","0.27950906429807","0.302979395881148"
"ja","1996","direkter Migrationshintergrund","211","0.181921871797897","0.161728263262","0.202115480333795"
"ja","1996","indirekter Migrationshintergrund","35","0.122464171971892","0.0857338841593016","0.159194459784482"
"nein","1996","kein Migrationshintergrund","4089","0.708755769910391","0.697020604118852","0.72049093570193"
"nein","1996","direkter Migrationshintergrund","1191","0.818078128202103","0.797884519666205","0.838271736738"
"nein","1996","indirekter Migrationshintergrund","271","0.877535828028108","0.840805540215519","0.914266115840698"
"ja","1997","kein Migrationshintergrund","1636","0.281938615404492","0.270271216503514","0.29360601430547"
"ja","1997","direkter Migrationshintergrund","205","0.196412671304402","0.174988798888409","0.217836543720395"
"ja","1997","indirekter Migrationshintergrund","50","0.194817374919689","0.153324348767066","0.236310401072312"
"nein","1997","kein Migrationshintergrund","4077","0.718061384595508","0.70639398569453","0.729728783496486"
"nein","1997","direkter Migrationshintergrund","1116","0.803587328695598","0.782163456279605","0.825011201111591"
"nein","1997","indirekter Migrationshintergrund","300","0.805182625080311","0.763689598927688","0.846675651232934"
"ja","1998","kein Migrationshintergrund","1819","0.28131735530156","0.27037544919697","0.292259261406151"
"ja","1998","direkter Migrationshintergrund","194","0.190391879994216","0.168816116437875","0.211967643550556"
"ja","1998","indirekter Migrationshintergrund","58","0.20931305307672","0.167053633005951","0.251572473147489"
"nein","1998","kein Migrationshintergrund","4668","0.71868264469844","0.707740738593849","0.72962455080303"
"nein","1998","direkter Migrationshintergrund","1078","0.809608120005784","0.788032356449444","0.831183883562125"
"nein","1998","indirekter Migrationshintergrund","298","0.79068694692328","0.748427526852511","0.832946366994049"
"ja","1999","kein Migrationshintergrund","1661","0.275081946712761","0.263820216372913","0.286343677052609"
"ja","1999","direkter Migrationshintergrund","169","0.191789295959342","0.168586249533792","0.214992342384892"
"ja","1999","indirekter Migrationshintergrund","47","0.188465373192717","0.146772766110367","0.230157980275068"
"nein","1999","kein Migrationshintergrund","4379","0.724918053287239","0.713656322947391","0.736179783627087"
"nein","1999","direkter Migrationshintergrund","937","0.808210704040658","0.785007657615108","0.831413750466208"
"nein","1999","indirekter Migrationshintergrund","291","0.811534626807283","0.769842019724932","0.853227233889633"
"ja","2000","kein Migrationshintergrund","2971","0.249322387002671","0.241418573825746","0.257226200179596"
"ja","2000","direkter Migrationshintergrund","288","0.172843160674531","0.155394991773386","0.190291329575676"
"ja","2000","indirekter Migrationshintergrund","70","0.13596732410302","0.105863908229276","0.166070739976763"
"nein","2000","kein Migrationshintergrund","8538","0.750677612997329","0.742773799820404","0.758581426174254"
"nein","2000","direkter Migrationshintergrund","1516","0.827156839325469","0.809708670424324","0.844605008226614"
"nein","2000","indirekter Migrationshintergrund","428","0.86403267589698","0.833929260023237","0.894136091770724"
"ja","2001","kein Migrationshintergrund","2588","0.250992448431017","0.242455422461519","0.259529474400515"
"ja","2001","direkter Migrationshintergrund","237","0.164843899726116","0.146197123763028","0.183490675689205"
"ja","2001","indirekter Migrationshintergrund","63","0.172317820736948","0.136663977142379","0.207971664331518"
"nein","2001","kein Migrationshintergrund","7321","0.749007551568983","0.740470525599485","0.757544577538481"
"nein","2001","direkter Migrationshintergrund","1284","0.835156100273884","0.816509324310795","0.853802876236972"
"nein","2001","indirekter Migrationshintergrund","368","0.827682179263052","0.792028335668482","0.863336022857621"
"ja","2002","kein Migrationshintergrund","3099","0.250107798524133","0.242143968892759","0.258071628155506"
"ja","2002","direkter Migrationshintergrund","242","0.148546474657137","0.13070871856542","0.166384230748854"
"ja","2002","indirekter Migrationshintergrund","75","0.18724363301956","0.152161579570688","0.222325686468432"
"nein","2002","kein Migrationshintergrund","8261","0.749892201475867","0.741928371844494","0.757856031107241"
"nein","2002","direkter Migrationshintergrund","1285","0.851453525342863","0.833615769251146","0.86929128143458"
"nein","2002","indirekter Migrationshintergrund","400","0.81275636698044","0.777674313531568","0.847838420429312"
"ja","2003","kein Migrationshintergrund","2828","0.262365395392877","0.253783358863601","0.270947431922154"
"ja","2003","direkter Migrationshintergrund","209","0.159953949810274","0.140043015921092","0.179864883699457"
"ja","2003","indirekter Migrationshintergrund","73","0.228663289054328","0.189014522636553","0.268312055472102"
"nein","2003","kein Migrationshintergrund","7266","0.737634604607123","0.729052568077846","0.746216641136399"
"nein","2003","direkter Migrationshintergrund","1093","0.840046050189726","0.820135116300543","0.859956984078908"
"nein","2003","indirekter Migrationshintergrund","358","0.771336710945672","0.731687944527898","0.810985477363447"
"ja","2004","kein Migrationshintergrund","2830","0.252065054253343","0.243723791161944","0.260406317344742"
"ja","2004","direkter Migrationshintergrund","210","0.172509969991956","0.151924089955345","0.193095850028567"
"ja","2004","indirekter Migrationshintergrund","75","0.207437794968472","0.170662998861365","0.244212591075579"
"nein","2004","kein Migrationshintergrund","7579","0.747934945746657","0.739593682655258","0.756276208838056"
"nein","2004","direkter Migrationshintergrund","1084","0.827490030008044","0.806904149971433","0.848075910044655"
"nein","2004","indirekter Migrationshintergrund","392","0.792562205031528","0.755787408924421","0.829337001138635"
"ja","2005","kein Migrationshintergrund","2570","0.257569654382392","0.248689267915162","0.266450040849622"
"ja","2005","direkter Migrationshintergrund","190","0.173092520101086","0.151033994536299","0.195151045665872"
"ja","2005","indirekter Migrationshintergrund","66","0.155597818856343","0.121136646203819","0.190058991508868"
"nein","2005","kein Migrationshintergrund","6745","0.742430345617608","0.733549959150378","0.751310732084838"
"nein","2005","direkter Migrationshintergrund","940","0.826907479898914","0.804848954334128","0.848966005463701"
"nein","2005","indirekter Migrationshintergrund","359","0.844402181143657","0.809941008491132","0.878863353796181"
"ja","2006","kein Migrationshintergrund","2690","0.25982046140655","0.251061296350384","0.268579626462716"
"ja","2006","direkter Migrationshintergrund","186","0.161857270586856","0.140296196989393","0.183418344184319"
"ja","2006","indirekter Migrationshintergrund","69","0.170569454653431","0.13455459534757","0.206584313959291"
"nein","2006","kein Migrationshintergrund","6939","0.74017953859345","0.731420373537284","0.748938703649616"
"nein","2006","direkter Migrationshintergrund","935","0.838142729413144","0.816581655815681","0.859703803010607"
"nein","2006","indirekter Migrationshintergrund","350","0.829430545346569","0.793415686040709","0.86544540465243"
"ja","2007","kein Migrationshintergrund","2612","0.248137168951115","0.239640390402533","0.256633947499696"
"ja","2007","direkter Migrationshintergrund","184","0.151079891833122","0.129701479285302","0.172458304380942"
"ja","2007","indirekter Migrationshintergrund","93","0.161844205271672","0.129689556067121","0.193998854476223"
"nein","2007","kein Migrationshintergrund","7315","0.751862831048885","0.743366052500304","0.760359609597467"
"nein","2007","direkter Migrationshintergrund","894","0.848920108166878","0.827541695619058","0.870298520714698"
"nein","2007","indirekter Migrationshintergrund","411","0.838155794728328","0.806001145523777","0.870310443932879"
"ja","2008","kein Migrationshintergrund","2387","0.247669796396661","0.238760698155848","0.256578894637473"
"ja","2008","direkter Migrationshintergrund","166","0.147617754618053","0.125283436507655","0.169952072728452"
"ja","2008","indirekter Migrationshintergrund","77","0.135715138505002","0.10445144902579","0.166978827984213"
"nein","2008","kein Migrationshintergrund","6631","0.752330203603339","0.743421105362527","0.761239301844152"
"nein","2008","direkter Migrationshintergrund","803","0.852382245381947","0.830047927271548","0.874716563492346"
"nein","2008","indirekter Migrationshintergrund","384","0.864284861494998","0.833021172015787","0.89554855097421"
"ja","2009","kein Migrationshintergrund","2306","0.239904633939889","0.231028952124097","0.24878031575568"
"ja","2009","direkter Migrationshintergrund","169","0.172716623059926","0.14771345436362","0.197719791756232"
"ja","2009","indirekter Migrationshintergrund","79","0.144299870118156","0.112047663101198","0.176552077135113"
"nein","2009","kein Migrationshintergrund","6586","0.760095366060111","0.75121968424432","0.768971047875903"
"nein","2009","direkter Migrationshintergrund","709","0.827283376940074","0.802280208243768","0.852286545636381"
"nein","2009","indirekter Migrationshintergrund","377","0.855700129881845","0.823447922864887","0.887952336898802"
"ja","2010","kein Migrationshintergrund","2871","0.24888509416279","0.240957624088104","0.256812564237477"
"ja","2010","direkter Migrationshintergrund","218","0.156331791734983","0.137593740582603","0.175069842887362"
"ja","2010","indirekter Migrationshintergrund","113","0.184590792080698","0.154223424738731","0.214958159422665"
"nein","2010","kein Migrationshintergrund","8556","0.751114905837209","0.743187435762523","0.759042375911896"
"nein","2010","direkter Migrationshintergrund","1225","0.843668208265017","0.824930157112637","0.862406259417397"
"nein","2010","indirekter Migrationshintergrund","514","0.815409207919302","0.785041840577335","0.845776575261269"
"ja","2011","kein Migrationshintergrund","3546","0.252649640736114","0.245365383063945","0.259933898408283"
"ja","2011","direkter Migrationshintergrund","251","0.160895030502669","0.143288264908652","0.178501796096686"
"ja","2011","indirekter Migrationshintergrund","149","0.196991183378938","0.169204016056066","0.22477835070181"
"nein","2011","kein Migrationshintergrund","10124","0.747350359263886","0.740066101591717","0.754634616936055"
"nein","2011","direkter Migrationshintergrund","1422","0.839104969497331","0.821498203903314","0.856711735091348"
"nein","2011","indirekter Migrationshintergrund","638","0.803008816621062","0.77522164929819","0.830795983943934"
"ja","2012","kein Migrationshintergrund","3451","0.25908794309843","0.251631458264715","0.266544427932145"
"ja","2012","direkter Migrationshintergrund","262","0.159407019247553","0.142026614100394","0.176787424394712"
"ja","2012","indirekter Migrationshintergrund","147","0.170575461591006","0.144543456270661","0.19660746691135"
"nein","2012","kein Migrationshintergrund","9812","0.74091205690157","0.733455572067855","0.748368541735285"
"nein","2012","direkter Migrationshintergrund","1442","0.840592980752447","0.823212575605288","0.857973385899606"
"nein","2012","indirekter Migrationshintergrund","655","0.829424538408995","0.80339253308865","0.855456543729339"
"ja","2013","kein Migrationshintergrund","3361","0.270718688741951","0.262878076618813","0.278559300865088"
"ja","2013","direkter Migrationshintergrund","528","0.154598136749502","0.143004050788945","0.166192222710059"
"ja","2013","indirekter Migrationshintergrund","219","0.182470427200055","0.161483086008648","0.203457768391463"
"nein","2013","kein Migrationshintergrund","8976","0.729281311258049","0.721440699134912","0.737121923381187"
"nein","2013","direkter Migrationshintergrund","3207","0.845401863250498","0.833807777289941","0.856995949211055"
"nein","2013","indirekter Migrationshintergrund","1082","0.817529572799945","0.796542231608537","0.838516913991352"
"ja","2014","kein Migrationshintergrund","3098","0.273420179002754","0.2651846751059","0.281655682899607"
"ja","2014","direkter Migrationshintergrund","441","0.17390892623052","0.160390705885902","0.187427146575138"
"ja","2014","indirekter Migrationshintergrund","215","0.222963203539997","0.198769338753986","0.247157068326008"
"nein","2014","kein Migrationshintergrund","8154","0.726579820997246","0.718344317100393","0.7348153248941"
"nein","2014","direkter Migrationshintergrund","2579","0.82609107376948","0.812572853424862","0.839609294114098"
"nein","2014","indirekter Migrationshintergrund","922","0.777036796460003","0.752842931673992","0.801230661246014"
"ja","2015","kein Migrationshintergrund","2996","0.271191049862792","0.262771718428599","0.279610381296985"
"ja","2015","direkter Migrationshintergrund","459","0.152763265906435","0.140900440782503","0.164626091030367"
"ja","2015","indirekter Migrationshintergrund","197","0.211720187167067","0.186974695500373","0.236465678833761"
"nein","2015","kein Migrationshintergrund","7715","0.728808950137208","0.720389618703015","0.737228281571401"
"nein","2015","direkter Migrationshintergrund","3074","0.847236734093565","0.835373908969633","0.859099559217497"
"nein","2015","indirekter Migrationshintergrund","850","0.788279812832933","0.763534321166239","0.813025304499628"
"ja","2016","kein Migrationshintergrund","2810","0.273174379617052","0.264441419556797","0.281907339677307"
"ja","2016","direkter Migrationshintergrund","478","0.148828413873807","0.136845462636356","0.160811365111258"
"ja","2016","indirekter Migrationshintergrund","212","0.243771329064673","0.217344381957396","0.27019827617195"
"nein","2016","kein Migrationshintergrund","7191","0.726825620382948","0.718092660322692","0.735558580443203"
"nein","2016","direkter Migrationshintergrund","2911","0.851171586126193","0.839188634888742","0.863154537363644"
"nein","2016","indirekter Migrationshintergrund","802","0.756228670935327","0.72980172382805","0.782655618042604"
"ja","2017","kein Migrationshintergrund","3320","0.270912294204077","0.262890058222122","0.278934530186033"
"ja","2017","direkter Migrationshintergrund","471","0.160865662248998","0.148903727787764","0.172827596710232"
"ja","2017","indirekter Migrationshintergrund","234","0.223276558367562","0.198744778926303","0.247808337808821"
"nein","2017","kein Migrationshintergrund","8470","0.729087705795923","0.721065469813967","0.737109941777878"
"nein","2017","direkter Migrationshintergrund","3153","0.839134337751002","0.827172403289768","0.851096272212236"
"nein","2017","indirekter Migrationshintergrund","873","0.776723441632438","0.752191662191179","0.801255221073697"
"ja","2018","kein Migrationshintergrund","3121","0.27944978878313","0.271053081737764","0.287846495828496"
"ja","2018","direkter Migrationshintergrund","518","0.180358556076561","0.167988178843536","0.192728933309587"
"ja","2018","indirekter Migrationshintergrund","234","0.211884201467444","0.187844398360272","0.235924004574616"
"nein","2018","kein Migrationshintergrund","7850","0.72055021121687","0.712153504171504","0.728946918262236"
"nein","2018","direkter Migrationshintergrund","3193","0.819641443923439","0.807271066690413","0.832011821156464"
"nein","2018","indirekter Migrationshintergrund","876","0.788115798532556","0.764075995425384","0.812155601639728"
"ja","2019","kein Migrationshintergrund","3019","0.279161213171819","0.270699403257814","0.287623023085824"
"ja","2019","direkter Migrationshintergrund","471","0.180558812779918","0.167663546885123","0.193454078674712"
"ja","2019","indirekter Migrationshintergrund","246","0.228381429038615","0.20315771664492","0.25360514143231"
"nein","2019","kein Migrationshintergrund","7777","0.720838786828181","0.712376976914176","0.729300596742186"
"nein","2019","direkter Migrationshintergrund","2947","0.819441187220083","0.806545921325288","0.832336453114877"
"nein","2019","indirekter Migrationshintergrund","818","0.771618570961385","0.74639485856769","0.79684228335508"
