"pgoeffd","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"nein","1986","kein Migrationshintergrund","weiblich","1083","0.706974791622754","0.684279367391252","0.729670215854257"
"nein","1986","direkter Migrationshintergrund","maennlich","1078","0.899719038322864","0.882492842895678","0.916945233750051"
"nein","1986","direkter Migrationshintergrund","weiblich","462","0.796686261949608","0.762866101168323","0.830506422730893"
"nein","1986","indirekter Migrationshintergrund","maennlich","30","0.672679138816372","0.523486596354077","0.821871681278667"
"nein","1986","indirekter Migrationshintergrund","weiblich","33","0.651201502406252","0.499670571089093","0.802732433723411"
"ja","1987","kein Migrationshintergrund","maennlich","644","0.263756779591913","0.246328826598448","0.281184732585379"
"ja","1987","kein Migrationshintergrund","weiblich","477","0.29664054000769","0.274251896706174","0.319029183309206"
"ja","1987","direkter Migrationshintergrund","maennlich","93","0.103391709940174","0.0857715187663775","0.121011901113971"
"ja","1987","direkter Migrationshintergrund","weiblich","93","0.212738200031712","0.179288171058138","0.246188229005286"
"ja","1987","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1987","indirekter Migrationshintergrund","weiblich","","","",""
"nein","1987","kein Migrationshintergrund","maennlich","1812","0.736243220408087","0.718815267414621","0.753671173401552"
"nein","1987","kein Migrationshintergrund","weiblich","1122","0.70335945999231","0.680970816690794","0.725748103293826"
"nein","1987","direkter Migrationshintergrund","maennlich","1054","0.896608290059826","0.878988098886029","0.914228481233623"
"nein","1987","direkter Migrationshintergrund","weiblich","482","0.787261799968288","0.753811770994714","0.820711828941862"
"nein","1987","indirekter Migrationshintergrund","maennlich","33","0.753458541030437","0.623112421412858","0.883804660648017"
"nein","1987","indirekter Migrationshintergrund","weiblich","33","0.701674362034753","0.556205719570201","0.847143004499305"
"ja","1988","kein Migrationshintergrund","maennlich","606","0.258420001801893","0.240776914429406","0.276063089174379"
"ja","1988","kein Migrationshintergrund","weiblich","459","0.292629090583412","0.270244870137686","0.315013311029138"
"ja","1988","direkter Migrationshintergrund","maennlich","77","0.0890094208700045","0.0721046311609529","0.105914210579056"
"ja","1988","direkter Migrationshintergrund","weiblich","99","0.226020981952426","0.191864288525505","0.260177675379346"
"ja","1988","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1988","indirekter Migrationshintergrund","weiblich","","","",""
"nein","1988","kein Migrationshintergrund","maennlich","1759","0.741579998198107","0.723936910825621","0.759223085570594"
"nein","1988","kein Migrationshintergrund","weiblich","1128","0.707370909416588","0.684986688970862","0.729755129862314"
"nein","1988","direkter Migrationshintergrund","maennlich","1013","0.910990579129995","0.894085789420944","0.927895368839047"
"nein","1988","direkter Migrationshintergrund","weiblich","477","0.773979018047575","0.739822324620654","0.808135711474495"
"nein","1988","indirekter Migrationshintergrund","maennlich","57","0.870774022101445","0.788590310745629","0.95295773345726"
"nein","1988","indirekter Migrationshintergrund","weiblich","41","0.812340431535224","0.703019218420431","0.921661644650016"
"ja","1989","kein Migrationshintergrund","maennlich","591","0.248485863771258","0.231062353696795","0.26590937384572"
"ja","1989","kein Migrationshintergrund","weiblich","462","0.281595248810378","0.259978059502024","0.303212438118732"
"ja","1989","direkter Migrationshintergrund","maennlich","78","0.0988276250642868","0.0810457491564063","0.116609500972167"
"ja","1989","direkter Migrationshintergrund","weiblich","110","0.278261571329119","0.242343415480486","0.314179727177751"
"ja","1989","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1989","indirekter Migrationshintergrund","weiblich","","","",""
"nein","1989","kein Migrationshintergrund","maennlich","1772","0.751514136228742","0.73409062615428","0.768937646303205"
"nein","1989","kein Migrationshintergrund","weiblich","1201","0.718404751189622","0.696787561881268","0.740021940497976"
"nein","1989","direkter Migrationshintergrund","maennlich","1004","0.901172374935713","0.883390499027833","0.918954250843594"
"nein","1989","direkter Migrationshintergrund","weiblich","488","0.721738428670881","0.685820272822249","0.757656584519514"
"nein","1989","indirekter Migrationshintergrund","maennlich","64","0.878937924503038","0.802522288767525","0.955353560238552"
"nein","1989","indirekter Migrationshintergrund","weiblich","55","0.813825025516135","0.719917089584153","0.907732961448118"
"ja","1990","kein Migrationshintergrund","maennlich","988","0.250354999252878","0.236851829817812","0.263858168687944"
"ja","1990","kein Migrationshintergrund","weiblich","1118","0.329258201541707","0.312828794599158","0.345687608484256"
"ja","1990","direkter Migrationshintergrund","maennlich","91","0.110626405028875","0.0919967133841148","0.129256096673634"
"ja","1990","direkter Migrationshintergrund","weiblich","120","0.271227982527298","0.236344576150309","0.306111388904286"
"ja","1990","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1990","indirekter Migrationshintergrund","weiblich","","","",""
"nein","1990","kein Migrationshintergrund","maennlich","2966","0.749645000747122","0.736141831312056","0.763148170182188"
"nein","1990","kein Migrationshintergrund","weiblich","2025","0.670741798458293","0.654312391515744","0.687171205400842"
"nein","1990","direkter Migrationshintergrund","maennlich","998","0.889373594971125","0.870743903326366","0.908003286615885"
"nein","1990","direkter Migrationshintergrund","weiblich","504","0.728772017472703","0.693888611095715","0.763655423849691"
"nein","1990","indirekter Migrationshintergrund","maennlich","80","0.897027998292583","0.833164744527553","0.960891252057614"
"nein","1990","indirekter Migrationshintergrund","weiblich","60","0.870001936046854","0.792321725403281","0.947682146690427"
"ja","1991","kein Migrationshintergrund","maennlich","900","0.246679851064058","0.232950276848026","0.26040942528009"
"ja","1991","kein Migrationshintergrund","weiblich","1047","0.331437387263562","0.314465070057292","0.348409704469832"
"ja","1991","direkter Migrationshintergrund","maennlich","98","0.118279589957838","0.0990728555701286","0.137486324345547"
"ja","1991","direkter Migrationshintergrund","weiblich","125","0.24041389099972","0.207434964151684","0.273392817847757"
"ja","1991","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1991","indirekter Migrationshintergrund","weiblich","","","",""
"nein","1991","kein Migrationshintergrund","maennlich","2887","0.753320148935942","0.73959057471991","0.767049723151974"
"nein","1991","kein Migrationshintergrund","weiblich","1908","0.668562612736438","0.651590295530168","0.685534929942708"
"nein","1991","direkter Migrationshintergrund","maennlich","988","0.881720410042162","0.862513675654453","0.900927144429871"
"nein","1991","direkter Migrationshintergrund","weiblich","520","0.75958610900028","0.726607182152243","0.792565035848316"
"nein","1991","indirekter Migrationshintergrund","maennlich","102","0.912648758414189","0.860589827629187","0.964707689199191"
"nein","1991","indirekter Migrationshintergrund","weiblich","82","0.851365165520129","0.780935878258471","0.921794452781787"
"ja","1992","kein Migrationshintergrund","maennlich","878","0.253666907191111","0.239280727889504","0.268053086492717"
"ja","1992","kein Migrationshintergrund","weiblich","1028","0.358247327523125","0.340151312822272","0.376343342223977"
"ja","1992","direkter Migrationshintergrund","maennlich","91","0.117640812322072","0.0978202129504267","0.137461411693718"
"ja","1992","direkter Migrationshintergrund","weiblich","122","0.278793312098471","0.242078456164758","0.315508168032185"
"ja","1992","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1992","indirekter Migrationshintergrund","weiblich","","","",""
"nein","1992","kein Migrationshintergrund","maennlich","2636","0.746333092808889","0.731946913507283","0.760719272110496"
"nein","1992","kein Migrationshintergrund","weiblich","1669","0.641752672476875","0.623656657776023","0.659848687177728"
"nein","1992","direkter Migrationshintergrund","maennlich","924","0.882359187677928","0.862538588306282","0.902179787049573"
"nein","1992","direkter Migrationshintergrund","weiblich","451","0.721206687901529","0.684491831967815","0.757921543835242"
"nein","1992","indirekter Migrationshintergrund","maennlich","106","0.868431968220374","0.807953531334921","0.928910405105827"
"nein","1992","indirekter Migrationshintergrund","weiblich","84","0.791175198287693","0.713796302222252","0.868554094353133"
"ja","1993","kein Migrationshintergrund","maennlich","855","0.249738369188491","0.235205635940344","0.264271102436637"
"ja","1993","kein Migrationshintergrund","weiblich","972","0.341481306509984","0.323443515556207","0.359519097463761"
"ja","1993","direkter Migrationshintergrund","maennlich","72","0.115440423460679","0.095098761997399","0.135782084923959"
"ja","1993","direkter Migrationshintergrund","weiblich","124","0.268755656036615","0.232520992323732","0.304990319749498"
"ja","1993","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1993","indirekter Migrationshintergrund","weiblich","","","",""
"nein","1993","kein Migrationshintergrund","maennlich","2553","0.750261630811509","0.735728897563363","0.764794364059656"
"nein","1993","kein Migrationshintergrund","weiblich","1683","0.658518693490016","0.640480902536239","0.676556484443793"
"nein","1993","direkter Migrationshintergrund","maennlich","876","0.884559576539321","0.864217915076041","0.904901238002601"
"nein","1993","direkter Migrationshintergrund","weiblich","451","0.731244343963385","0.695009680250502","0.767479007676268"
"nein","1993","indirekter Migrationshintergrund","maennlich","143","0.899730273914161","0.852896341087811","0.946564206740512"
"nein","1993","indirekter Migrationshintergrund","weiblich","104","0.782138619613268","0.711179469434335","0.853097769792201"
"ja","1994","kein Migrationshintergrund","maennlich","808","0.252170877271913","0.237266242334989","0.267075512208838"
"ja","1994","kein Migrationshintergrund","weiblich","927","0.348719781767872","0.330087155093875","0.36735240844187"
"ja","1994","direkter Migrationshintergrund","maennlich","63","0.103004448491743","0.0822375658502632","0.123771331133222"
"ja","1994","direkter Migrationshintergrund","weiblich","108","0.26774201957894","0.229388658005373","0.306095381152508"
"ja","1994","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1994","indirekter Migrationshintergrund","weiblich","31","0.262964335406875","0.187286431922103","0.338642238891646"
"nein","1994","kein Migrationshintergrund","maennlich","2453","0.747829122728087","0.732924487791162","0.762733757665011"
"nein","1994","kein Migrationshintergrund","weiblich","1586","0.651280218232128","0.632647591558131","0.669912844906125"
"nein","1994","direkter Migrationshintergrund","maennlich","760","0.896995551508257","0.876228668866778","0.917762434149737"
"nein","1994","direkter Migrationshintergrund","weiblich","404","0.73225798042106","0.693904618847492","0.770611341994627"
"nein","1994","indirekter Migrationshintergrund","maennlich","137","0.798354707553593","0.735190037639021","0.861519377468164"
"nein","1994","indirekter Migrationshintergrund","weiblich","99","0.737035664593125","0.661357761108354","0.812713568077897"
"ja","1995","kein Migrationshintergrund","maennlich","773","0.242899486371149","0.228390830375566","0.257408142366733"
"ja","1995","kein Migrationshintergrund","weiblich","966","0.351916425765056","0.333678498392489","0.370154353137624"
"ja","1995","direkter Migrationshintergrund","maennlich","86","0.121390280440442","0.10073160686265","0.142048954018234"
"ja","1995","direkter Migrationshintergrund","weiblich","141","0.293378922265878","0.256855734685791","0.329902109845966"
"ja","1995","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1995","indirekter Migrationshintergrund","weiblich","34","0.285371737108255","0.211355731192185","0.359387743024326"
"nein","1995","kein Migrationshintergrund","maennlich","2583","0.75710051362885","0.742591857633267","0.771609169624434"
"nein","1995","kein Migrationshintergrund","weiblich","1668","0.648083574234944","0.629845646862376","0.666321501607511"
"nein","1995","direkter Migrationshintergrund","maennlich","874","0.878609719559558","0.857951045981766","0.89926839313735"
"nein","1995","direkter Migrationshintergrund","weiblich","456","0.706621077734122","0.670097890154034","0.743144265314209"
"nein","1995","indirekter Migrationshintergrund","maennlich","156","0.90394636509197","0.859255569205915","0.948637160978024"
"nein","1995","indirekter Migrationshintergrund","weiblich","109","0.714628262891745","0.640612256975674","0.788644268807815"
"ja","1996","kein Migrationshintergrund","maennlich","738","0.243150641441215","0.228361095241894","0.257940187640536"
"ja","1996","kein Migrationshintergrund","weiblich","931","0.35807758563212","0.339381045054235","0.376774126210005"
"ja","1996","direkter Migrationshintergrund","maennlich","74","0.114862894323287","0.0934399843732253","0.136285804273349"
"ja","1996","direkter Migrationshintergrund","weiblich","137","0.284939889818035","0.247250405669696","0.322629373966374"
"ja","1996","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1996","indirekter Migrationshintergrund","weiblich","","","",""
"nein","1996","kein Migrationshintergrund","maennlich","2494","0.756849358558785","0.742059812359464","0.771638904758106"
"nein","1996","kein Migrationshintergrund","weiblich","1595","0.64192241436788","0.623225873789995","0.660618954945765"
"nein","1996","direkter Migrationshintergrund","maennlich","777","0.885137105676713","0.863714195726651","0.906560015626775"
"nein","1996","direkter Migrationshintergrund","weiblich","414","0.715060110181965","0.677370626033626","0.752749594330304"
"nein","1996","indirekter Migrationshintergrund","maennlich","162","0.937811883069182","0.901509494645807","0.974114271492557"
"nein","1996","indirekter Migrationshintergrund","weiblich","109","0.804110283300565","0.737407759887555","0.870812806713574"
"ja","1997","kein Migrationshintergrund","maennlich","729","0.238168454235243","0.223370510672516","0.252966397797971"
"ja","1997","kein Migrationshintergrund","weiblich","907","0.34227798528546","0.323789620426665","0.360766350144254"
"ja","1997","direkter Migrationshintergrund","maennlich","77","0.143689198395851","0.119636442992304","0.167741953799397"
"ja","1997","direkter Migrationshintergrund","weiblich","128","0.278711907148279","0.239567928509703","0.317855885786855"
"ja","1997","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1997","indirekter Migrationshintergrund","weiblich","32","0.194059400716046","0.132394447343961","0.255724354088131"
"nein","1997","kein Migrationshintergrund","maennlich","2454","0.761831545764757","0.747033602202029","0.776629489327484"
"nein","1997","kein Migrationshintergrund","weiblich","1623","0.65772201471454","0.639233649855746","0.676210379573335"
"nein","1997","direkter Migrationshintergrund","maennlich","740","0.856310801604149","0.832258046200603","0.880363557007696"
"nein","1997","direkter Migrationshintergrund","weiblich","376","0.721288092851721","0.682144114213145","0.760432071490297"
"nein","1997","indirekter Migrationshintergrund","maennlich","174","0.804549006419491","0.748458072728","0.860639940110981"
"nein","1997","indirekter Migrationshintergrund","weiblich","126","0.805940599283954","0.744275645911869","0.867605552656039"
"ja","1998","kein Migrationshintergrund","maennlich","797","0.232260702603729","0.218529450358352","0.245991954849107"
"ja","1998","kein Migrationshintergrund","weiblich","1022","0.350424264516387","0.332920434435521","0.367928094597253"
"ja","1998","direkter Migrationshintergrund","maennlich","62","0.110464884530903","0.0885364851374157","0.13239328392439"
"ja","1998","direkter Migrationshintergrund","weiblich","132","0.308482634580572","0.267462175509096","0.349503093652049"
"ja","1998","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1998","indirekter Migrationshintergrund","weiblich","44","0.349492318234149","0.276739277267691","0.422245359200607"
"nein","1998","kein Migrationshintergrund","maennlich","2836","0.767739297396271","0.754008045150893","0.781470549641648"
"nein","1998","kein Migrationshintergrund","weiblich","1832","0.649575735483613","0.632071905402747","0.667079565564479"
"nein","1998","direkter Migrationshintergrund","maennlich","723","0.889535115469097","0.86760671607561","0.911463514862584"
"nein","1998","direkter Migrationshintergrund","weiblich","355","0.691517365419427","0.650496906347951","0.732537824490904"
"nein","1998","indirekter Migrationshintergrund","maennlich","177","0.904477116105686","0.862791721991233","0.946162510220139"
"nein","1998","indirekter Migrationshintergrund","weiblich","121","0.650507681765851","0.577754640799393","0.723260722732309"
"ja","1999","kein Migrationshintergrund","maennlich","730","0.227205322510782","0.213024289319968","0.241386355701597"
"ja","1999","kein Migrationshintergrund","weiblich","931","0.340823189637562","0.322898129745591","0.358748249529534"
"ja","1999","direkter Migrationshintergrund","maennlich","55","0.118799452425657","0.0944987328571837","0.143100171994131"
"ja","1999","direkter Migrationshintergrund","weiblich","114","0.300221848233466","0.25664508562868","0.343798610838252"
"ja","1999","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1999","indirekter Migrationshintergrund","weiblich","34","0.305531362509089","0.231319821386235","0.379742903631942"
"nein","1999","kein Migrationshintergrund","maennlich","2624","0.772794677489218","0.758613644298403","0.786975710680032"
"nein","1999","kein Migrationshintergrund","weiblich","1755","0.659176810362438","0.641251750470466","0.677101870254409"
"nein","1999","direkter Migrationshintergrund","maennlich","626","0.881200547574343","0.856899828005869","0.905501267142816"
"nein","1999","direkter Migrationshintergrund","weiblich","311","0.699778151766534","0.656201389161748","0.74335491437132"
"nein","1999","indirekter Migrationshintergrund","maennlich","177","0.899916395101491","0.857243329589799","0.942589460613183"
"nein","1999","indirekter Migrationshintergrund","weiblich","114","0.694468637490911","0.620257096368058","0.768680178613765"
"ja","2000","kein Migrationshintergrund","maennlich","1376","0.21322095689149","0.203150113985779","0.2232917997972"
"ja","2000","kein Migrationshintergrund","weiblich","1595","0.297354551038718","0.284876718007135","0.309832384070302"
"ja","2000","direkter Migrationshintergrund","maennlich","93","0.102591524708842","0.0842995150128486","0.120883534404836"
"ja","2000","direkter Migrationshintergrund","weiblich","195","0.267312999302851","0.235576642313172","0.299049356292531"
"ja","2000","indirekter Migrationshintergrund","maennlich","","","",""
"ja","2000","indirekter Migrationshintergrund","weiblich","47","0.192629294140818","0.140279195458608","0.244979392823028"
"nein","2000","kein Migrationshintergrund","maennlich","4978","0.78677904310851","0.7767082002028","0.796849886014221"
"nein","2000","kein Migrationshintergrund","weiblich","3560","0.702645448961281","0.690167615929698","0.715123281992864"
"nein","2000","direkter Migrationshintergrund","maennlich","964","0.897408475291158","0.879116465595164","0.915700484987152"
"nein","2000","direkter Migrationshintergrund","weiblich","552","0.732687000697149","0.700950643707469","0.764423357686828"
"nein","2000","indirekter Migrationshintergrund","maennlich","257","0.907735482302121","0.873838105640212","0.94163285896403"
"nein","2000","indirekter Migrationshintergrund","weiblich","171","0.807370705859182","0.755020607176973","0.859720804541392"
"ja","2001","kein Migrationshintergrund","maennlich","1188","0.21646952827594","0.205507405414509","0.227431651137371"
"ja","2001","kein Migrationshintergrund","weiblich","1400","0.296668086944254","0.28330257391576","0.310033599972747"
"ja","2001","direkter Migrationshintergrund","maennlich","74","0.0952966386796243","0.0759187841374357","0.114674493221813"
"ja","2001","direkter Migrationshintergrund","weiblich","163","0.255908216120688","0.222074240561329","0.289742191680047"
"ja","2001","indirekter Migrationshintergrund","maennlich","","","",""
"ja","2001","indirekter Migrationshintergrund","weiblich","41","0.203804557564229","0.146825630619162","0.260783484509297"
"nein","2001","kein Migrationshintergrund","maennlich","4234","0.78353047172406","0.772568348862629","0.794492594585491"
"nein","2001","kein Migrationshintergrund","weiblich","3087","0.703331913055746","0.689966400027253","0.71669742608424"
"nein","2001","direkter Migrationshintergrund","maennlich","808","0.904703361320376","0.885325506778187","0.924081215862564"
"nein","2001","direkter Migrationshintergrund","weiblich","476","0.744091783879312","0.710257808319953","0.777925759438671"
"nein","2001","indirekter Migrationshintergrund","maennlich","217","0.853017629243289","0.808126475431087","0.897908783055491"
"nein","2001","indirekter Migrationshintergrund","weiblich","151","0.796195442435771","0.739216515490703","0.853174369380838"
"ja","2002","kein Migrationshintergrund","maennlich","1413","0.217804708134907","0.207473805978272","0.228135610291542"
"ja","2002","kein Migrationshintergrund","weiblich","1686","0.291307186610941","0.278990754554977","0.303623618666905"
"ja","2002","direkter Migrationshintergrund","maennlich","81","0.0829021690985307","0.0645904215006435","0.101213916696418"
"ja","2002","direkter Migrationshintergrund","weiblich","161","0.232300123682284","0.199984196030841","0.264616051333727"
"ja","2002","indirekter Migrationshintergrund","maennlich","","","",""
"ja","2002","indirekter Migrationshintergrund","weiblich","53","0.253312353942075","0.195447362606806","0.311177345277344"
"nein","2002","kein Migrationshintergrund","maennlich","4719","0.782195291865093","0.771864389708458","0.792526194021728"
"nein","2002","kein Migrationshintergrund","weiblich","3542","0.708692813389059","0.696376381333095","0.721009245445023"
"nein","2002","direkter Migrationshintergrund","maennlich","790","0.917097830901469","0.898786083303582","0.935409578499356"
"nein","2002","direkter Migrationshintergrund","weiblich","495","0.767699876317716","0.735383948666273","0.800015803969159"
"nein","2002","indirekter Migrationshintergrund","maennlich","236","0.866939659210716","0.825496105423495","0.908383212997937"
"nein","2002","indirekter Migrationshintergrund","weiblich","164","0.746687646057925","0.688822654722656","0.804552637393194"
"ja","2003","kein Migrationshintergrund","maennlich","1272","0.226365605707682","0.215239033804795","0.237492177610568"
"ja","2003","kein Migrationshintergrund","weiblich","1556","0.308294126257869","0.29503550118866","0.321552751327077"
"ja","2003","direkter Migrationshintergrund","maennlich","73","0.0993060263219217","0.0775511704068667","0.121060882236977"
"ja","2003","direkter Migrationshintergrund","weiblich","136","0.236212134427166","0.20152452835804","0.270899740496291"
"ja","2003","indirekter Migrationshintergrund","maennlich","","","",""
"ja","2003","indirekter Migrationshintergrund","weiblich","52","0.322517853839735","0.258373443786492","0.386662263892978"
"nein","2003","kein Migrationshintergrund","maennlich","4162","0.773634394292319","0.762507822389432","0.784760966195205"
"nein","2003","kein Migrationshintergrund","weiblich","3104","0.691705873742131","0.678447248672923","0.70496449881134"
"nein","2003","direkter Migrationshintergrund","maennlich","653","0.900693973678078","0.878939117763023","0.922448829593133"
"nein","2003","direkter Migrationshintergrund","weiblich","440","0.763787865572834","0.729100259503708","0.79847547164196"
"nein","2003","indirekter Migrationshintergrund","maennlich","206","0.853780390646422","0.807817105667378","0.899743675625466"
"nein","2003","indirekter Migrationshintergrund","weiblich","152","0.677482146160265","0.613337736107022","0.741626556213508"
"ja","2004","kein Migrationshintergrund","maennlich","1268","0.220599093641173","0.209676334290465","0.231521852991881"
"ja","2004","kein Migrationshintergrund","weiblich","1562","0.291361372736648","0.278603499476076","0.304119245997219"
"ja","2004","direkter Migrationshintergrund","maennlich","69","0.116109966697631","0.0927585727276441","0.139461360667617"
"ja","2004","direkter Migrationshintergrund","weiblich","141","0.241194360071683","0.206104722209997","0.27628399793337"
"ja","2004","indirekter Migrationshintergrund","maennlich","","","",""
"ja","2004","indirekter Migrationshintergrund","weiblich","53","0.279239365334989","0.219411285282761","0.339067445387217"
"nein","2004","kein Migrationshintergrund","maennlich","4268","0.779400906358827","0.768478147008119","0.790323665709535"
"nein","2004","kein Migrationshintergrund","weiblich","3311","0.708638627263352","0.695880754002781","0.721396500523924"
"nein","2004","direkter Migrationshintergrund","maennlich","654","0.883890033302369","0.860538639332383","0.907241427272356"
"nein","2004","direkter Migrationshintergrund","weiblich","430","0.758805639928317","0.723716002066631","0.793895277790003"
"nein","2004","indirekter Migrationshintergrund","maennlich","229","0.854447722555393","0.810819905719697","0.898075539391088"
"nein","2004","indirekter Migrationshintergrund","weiblich","163","0.720760634665011","0.660932554612783","0.780588714717239"
"ja","2005","kein Migrationshintergrund","maennlich","1133","0.221845970948496","0.210267913666121","0.233424028230872"
"ja","2005","kein Migrationshintergrund","weiblich","1437","0.302654212342107","0.289030225092416","0.316278199591798"
"ja","2005","direkter Migrationshintergrund","maennlich","56","0.098764372940663","0.0750497822853441","0.122478963595982"
"ja","2005","direkter Migrationshintergrund","weiblich","134","0.25465464179232","0.21728082834203","0.29202845524261"
"ja","2005","indirekter Migrationshintergrund","maennlich","","","",""
"ja","2005","indirekter Migrationshintergrund","weiblich","45","0.205926061020457","0.149601006140915","0.262251115899998"
"nein","2005","kein Migrationshintergrund","maennlich","3814","0.778154029051504","0.766575971769128","0.789732086333879"
"nein","2005","kein Migrationshintergrund","weiblich","2931","0.697345787657893","0.683721800408202","0.710969774907584"
"nein","2005","direkter Migrationshintergrund","maennlich","552","0.901235627059337","0.877521036404018","0.924950217714656"
"nein","2005","direkter Migrationshintergrund","weiblich","388","0.74534535820768","0.70797154475739","0.78271917165797"
"nein","2005","indirekter Migrationshintergrund","maennlich","206","0.887715952045467","0.84664533715268","0.928786566938255"
"nein","2005","indirekter Migrationshintergrund","weiblich","153","0.794073938979543","0.737748884100002","0.850398993859085"
"ja","2006","kein Migrationshintergrund","maennlich","1174","0.223260228485437","0.211807672103576","0.234712784867298"
"ja","2006","kein Migrationshintergrund","weiblich","1516","0.306119920499397","0.292728384337055","0.319511456661739"
"ja","2006","direkter Migrationshintergrund","maennlich","58","0.102167794252505","0.0779940438597599","0.12634154464525"
"ja","2006","direkter Migrationshintergrund","weiblich","128","0.234809602821825","0.198306826794586","0.271312378849063"
"ja","2006","indirekter Migrationshintergrund","maennlich","","","",""
"ja","2006","indirekter Migrationshintergrund","weiblich","49","0.251523559671734","0.191983206004425","0.311063913339043"
"nein","2006","kein Migrationshintergrund","maennlich","3905","0.776739771514563","0.765287215132702","0.788192327896424"
"nein","2006","kein Migrationshintergrund","weiblich","3034","0.693880079500603","0.680488543338261","0.707271615662945"
"nein","2006","direkter Migrationshintergrund","maennlich","545","0.897832205747495","0.87365845535475","0.92200595614024"
"nein","2006","direkter Migrationshintergrund","weiblich","390","0.765190397178175","0.728687621150937","0.801693173205414"
"nein","2006","indirekter Migrationshintergrund","maennlich","195","0.908971404136285","0.870521709655928","0.947421098616643"
"nein","2006","indirekter Migrationshintergrund","weiblich","155","0.748476440328266","0.688936086660957","0.808016793995575"
"ja","2007","kein Migrationshintergrund","maennlich","1174","0.219668861359081","0.208434163663638","0.230903559054523"
"ja","2007","kein Migrationshintergrund","weiblich","1438","0.283483361066454","0.27061229367906","0.296354428453848"
"ja","2007","direkter Migrationshintergrund","maennlich","54","0.0770988566279066","0.0552958830012301","0.0989018302545831"
"ja","2007","direkter Migrationshintergrund","weiblich","130","0.237854475474527","0.200646270916844","0.27506268003221"
"ja","2007","indirekter Migrationshintergrund","maennlich","33","0.116735603829063","0.0779279626445738","0.155543245013552"
