year,regtyp,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,Urban regions,Yes,0.06795,1240,15669,0.06401,0.07189
2010,Urban regions,No,0.93205,14429,15669,0.92811,0.93599
2010,Rural regions,Yes,0.07467,822,8296,0.06901,0.08032
2010,Rural regions,No,0.92533,7474,8296,0.91968,0.93099
2011,Urban regions,Yes,0.05459,1188,18212,0.05129,0.05788
2011,Urban regions,No,0.94541,17024,18212,0.94212,0.94871
2011,Rural regions,Yes,0.06804,910,10157,0.06314,0.07294
2011,Rural regions,No,0.93196,9247,10157,0.92706,0.93686
2012,Urban regions,Yes,0.05367,1114,17534,0.05033,0.05700
2012,Urban regions,No,0.94633,16420,17534,0.94300,0.94967
2012,Rural regions,Yes,0.07261,853,10101,0.06755,0.07768
2012,Rural regions,No,0.92739,9248,10101,0.92232,0.93245
2013,Urban regions,Yes,0.05558,1575,20173,0.05242,0.05875
2013,Urban regions,No,0.94442,18598,20173,0.94125,0.94758
2013,Rural regions,Yes,0.07566,948,10450,0.07059,0.08073
2013,Rural regions,No,0.92434,9502,10450,0.91927,0.92941
2014,Urban regions,Yes,0.05558,1231,17658,0.05220,0.05896
2014,Urban regions,No,0.94442,16427,17658,0.94104,0.94780
2014,Rural regions,Yes,0.06917,754,9418,0.06405,0.07430
2014,Rural regions,No,0.93083,8664,9418,0.92570,0.93595
2015,Urban regions,Yes,0.05878,1306,17492,0.05529,0.06226
2015,Urban regions,No,0.94122,16186,17492,0.93774,0.94471
2015,Rural regions,Yes,0.06318,722,9285,0.05823,0.06813
2015,Rural regions,No,0.93682,8563,9285,0.93187,0.94177
2016,Urban regions,Yes,0.05545,1053,15779,0.05188,0.05902
2016,Urban regions,No,0.94455,14726,15779,0.94098,0.94812
2016,Rural regions,Yes,0.06250,624,8503,0.05735,0.06764
2016,Rural regions,No,0.93750,7879,8503,0.93236,0.94265
2017,Urban regions,Yes,0.05481,1807,18678,0.05155,0.05808
2017,Urban regions,No,0.94519,16871,18678,0.94192,0.94845
2017,Rural regions,Yes,0.05757,814,9963,0.05300,0.06215
2017,Rural regions,No,0.94243,9149,9963,0.93785,0.94700
2018,Urban regions,Yes,0.05383,2042,19012,0.05062,0.05703
2018,Urban regions,No,0.94617,16970,19012,0.94297,0.94938
2018,Rural regions,Yes,0.05591,929,9792,0.05136,0.06046
2018,Rural regions,No,0.94409,8863,9792,0.93954,0.94864
2019,No answer / don't know,Yes,0.07202,36,554,0.05047,0.09356
2019,No answer / don't know,No,0.92798,518,554,0.90644,0.94953
2019,Urban regions,Yes,0.04752,1732,18641,0.04447,0.05058
2019,Urban regions,No,0.95248,16909,18641,0.94942,0.95553
2019,Rural regions,Yes,0.05305,838,9601,0.04857,0.05753
2019,Rural regions,No,0.94695,8763,9601,0.94247,0.95143
2020,Urban regions,Yes,0.04713,1543,19064,0.04412,0.05014
2020,Urban regions,No,0.95287,17521,19064,0.94986,0.95588
2020,Rural regions,Yes,0.05184,708,9346,0.04734,0.05633
2020,Rural regions,No,0.94816,8638,9346,0.94367,0.95266
2021,Urban regions,Yes,0.04933,962,13048,0.04562,0.05305
2021,Urban regions,No,0.95067,12086,13048,0.94695,0.95438
2021,Rural regions,Yes,0.04488,363,6188,0.03972,0.05004
2021,Rural regions,No,0.95512,5825,6188,0.94996,0.96028
2022,Urban regions,Yes,0.03957,984,19063,0.03680,0.04233
2022,Urban regions,No,0.96043,18079,19063,0.95767,0.96320
2022,Rural regions,Yes,0.03470,431,8783,0.03087,0.03853
2022,Rural regions,No,0.96530,8352,8783,0.96147,0.96913
