,Unnamed: 0,year,bula_h,pgisced97,plb0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
62,62,1986,North Rhine-Westphalia,Lower Secondary Level,Yes,0.06046,46,9589,0.04901,0.07386
63,63,1986,North Rhine-Westphalia,Lower Secondary Level,No,0.93954,642,9589,0.89086,0.98877
64,64,1986,North Rhine-Westphalia,Upper Secondary Level,Yes,0.05026,78,9589,0.04402,0.05787
65,65,1986,North Rhine-Westphalia,Upper Secondary Level,No,0.94974,1256,9589,0.92468,0.97403
66,66,1986,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,1.0,81,9589,0.86414,1.12583
67,67,1986,North Rhine-Westphalia,First Stage of Tertiary Education,No,1.0,136,9589,0.93334,1.06562
68,68,1986,North Rhine-Westphalia,Second Stage of Tertiary Education,No,1.0,206,9589,0.94888,1.05776
69,69,1986,Hesse,Primary Level,No,1.0,70,9589,0.71138,1.32036
70,70,1986,Hesse,Lower Secondary Level,No,1.0,276,9589,0.90594,1.09649
71,71,1986,Hesse,Upper Secondary Level,No,1.0,440,9589,0.94501,1.06095
72,72,1986,Hesse,Post-secondary Non-tertiary Level,No,1.0,31,9589,0.70332,1.33275
73,73,1986,Hesse,First Stage of Tertiary Education,No,1.0,48,9589,0.89712,1.10413
74,74,1986,Hesse,Second Stage of Tertiary Education,No,1.0,85,9589,0.89967,1.10435
75,75,1986,"Rhineland-Palatinate, Saarland",Primary Level,No,1.0,40,9589,0.70326,1.36329
76,76,1986,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,1.0,242,9589,0.93968,1.06225
77,77,1986,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,1.0,347,9589,0.957,1.03691
78,78,1986,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,1.0,35,9589,0.87341,1.09003
79,79,1986,Baden-Wuerttemberg,Primary Level,No,1.0,201,9589,0.83262,1.20022
80,80,1986,Baden-Wuerttemberg,Lower Secondary Level,No,1.0,561,9589,0.93978,1.06139
81,81,1986,Baden-Wuerttemberg,Upper Secondary Level,No,1.0,812,9589,0.95748,1.03944
82,82,1986,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,1.0,46,9589,0.77305,1.29588
83,83,1986,Baden-Wuerttemberg,First Stage of Tertiary Education,No,1.0,101,9589,0.92146,1.07534
84,84,1986,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,1.0,107,9589,0.92104,1.07941
85,85,1986,Bavaria,Primary Level,No,1.0,63,9589,0.77443,1.2795
86,86,1986,Bavaria,Lower Secondary Level,No,1.0,456,9589,0.93964,1.06103
87,87,1986,Bavaria,Upper Secondary Level,Yes,0.04264,42,9589,0.03567,0.04927
88,88,1986,Bavaria,Upper Secondary Level,No,0.95736,819,9589,0.9318,0.97933
89,89,1986,Bavaria,Post-secondary Non-tertiary Level,No,1.0,40,9589,0.83647,1.17391
90,90,1986,Bavaria,First Stage of Tertiary Education,No,1.0,105,9589,0.94738,1.06389
91,91,1986,Bavaria,Second Stage of Tertiary Education,No,1.0,138,9589,0.92357,1.0842
92,92,1986,Berlin,Lower Secondary Level,No,1.0,74,9589,0.8695,1.20808
93,93,1986,Berlin,Upper Secondary Level,No,1.0,156,9589,0.92131,1.09858
94,94,1986,Berlin,Second Stage of Tertiary Education,No,1.0,32,9589,0.89542,1.09182
95,95,1987,Schleswig-Holstein,Lower Secondary Level,No,1.0,64,9489,0.86105,1.13002
96,96,1987,Schleswig-Holstein,Upper Secondary Level,No,1.0,169,9489,0.94133,1.06288
97,97,1987,Hamburg,Lower Secondary Level,No,1.0,46,9489,0.82588,1.18191
98,98,1987,Hamburg,Upper Secondary Level,No,1.0,114,9489,0.9116,1.07987
99,99,1987,Lower Saxony,Primary Level,No,1.0,42,9489,0.68824,1.32312
100,100,1987,Lower Saxony,Lower Secondary Level,No,1.0,279,9489,0.9394,1.0651
101,101,1987,Lower Saxony,Upper Secondary Level,No,1.0,523,9489,0.96241,1.03353
102,102,1987,Lower Saxony,First Stage of Tertiary Education,No,1.0,70,9489,0.9129,1.0955
103,103,1987,Lower Saxony,Second Stage of Tertiary Education,No,1.0,75,9489,0.91235,1.09493
104,104,1987,Bremen,Upper Secondary Level,No,1.0,48,9489,0.88496,1.12502
105,105,1987,North Rhine-Westphalia,Pre-primary Level,No,1.0,79,9489,0.87079,1.12833
106,106,1987,North Rhine-Westphalia,Primary Level,No,1.0,208,9489,0.87162,1.12168
107,107,1987,North Rhine-Westphalia,Lower Secondary Level,Yes,0.05243,43,9489,0.04102,0.06584
108,108,1987,North Rhine-Westphalia,Lower Secondary Level,No,0.94757,641,9489,0.89607,0.99799
109,109,1987,North Rhine-Westphalia,Upper Secondary Level,Yes,0.04132,61,9489,0.03469,0.04727
110,110,1987,North Rhine-Westphalia,Upper Secondary Level,No,0.95868,1266,9489,0.92999,0.9862
111,111,1987,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,1.0,77,9489,0.87722,1.16959
112,112,1987,North Rhine-Westphalia,First Stage of Tertiary Education,No,1.0,140,9489,0.92926,1.06325
113,113,1987,North Rhine-Westphalia,Second Stage of Tertiary Education,No,1.0,211,9489,0.94857,1.06795
114,114,1987,Hesse,Primary Level,No,1.0,76,9489,0.6987,1.2891
115,115,1987,Hesse,Lower Secondary Level,No,1.0,273,9489,0.904,1.10529
116,116,1987,Hesse,Upper Secondary Level,No,1.0,454,9489,0.94459,1.04848
117,117,1987,Hesse,Post-secondary Non-tertiary Level,No,1.0,33,9489,0.73537,1.27698
118,118,1987,Hesse,First Stage of Tertiary Education,No,1.0,48,9489,0.83454,1.11998
119,119,1987,Hesse,Second Stage of Tertiary Education,No,1.0,88,9489,0.89509,1.08464
120,120,1987,"Rhineland-Palatinate, Saarland",Primary Level,No,1.0,41,9489,0.76525,1.26903
121,121,1987,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,1.0,239,9489,0.942,1.07723
122,122,1987,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,1.0,348,9489,0.95421,1.0383
123,123,1987,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,1.0,39,9489,0.87369,1.12404
124,124,1987,Baden-Wuerttemberg,Primary Level,No,1.0,201,9489,0.84041,1.1887
125,125,1987,Baden-Wuerttemberg,Lower Secondary Level,No,1.0,573,9489,0.92985,1.0686
126,126,1987,Baden-Wuerttemberg,Upper Secondary Level,No,1.0,802,9489,0.96544,1.04536
127,127,1987,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,1.0,50,9489,0.80416,1.19601
128,128,1987,Baden-Wuerttemberg,First Stage of Tertiary Education,No,1.0,103,9489,0.94172,1.07853
129,129,1987,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,1.0,104,9489,0.91276,1.08271
130,130,1987,Bavaria,Primary Level,No,1.0,56,9489,0.76679,1.28965
131,131,1987,Bavaria,Lower Secondary Level,No,1.0,435,9489,0.93829,1.04662
132,132,1987,Bavaria,Upper Secondary Level,No,1.0,835,9489,0.9725,1.02786
133,133,1987,Bavaria,Post-secondary Non-tertiary Level,No,1.0,37,9489,0.85735,1.20533
134,134,1987,Bavaria,First Stage of Tertiary Education,No,1.0,92,9489,0.94092,1.05928
135,135,1987,Bavaria,Second Stage of Tertiary Education,No,1.0,136,9489,0.91612,1.06646
136,136,1987,Berlin,Lower Secondary Level,No,1.0,82,9489,0.84288,1.16384
137,137,1987,Berlin,Upper Secondary Level,No,1.0,154,9489,0.90489,1.09704
138,138,1987,Berlin,Second Stage of Tertiary Education,No,1.0,34,9489,0.91935,1.08418
139,139,1988,Schleswig-Holstein,Lower Secondary Level,No,1.0,65,8980,0.85867,1.16716
140,140,1988,Schleswig-Holstein,Upper Secondary Level,No,1.0,164,8980,0.94076,1.06069
141,141,1988,Hamburg,Lower Secondary Level,No,1.0,41,8980,0.78186,1.2564
142,142,1988,Hamburg,Upper Secondary Level,No,1.0,99,8980,0.89848,1.08364
143,143,1988,Lower Saxony,Primary Level,No,1.0,37,8980,0.74591,1.34015
144,144,1988,Lower Saxony,Lower Secondary Level,No,1.0,255,8980,0.93601,1.06896
145,145,1988,Lower Saxony,Upper Secondary Level,Yes,0.07656,40,8980,0.06508,0.0872
146,146,1988,Lower Saxony,Upper Secondary Level,No,0.92344,479,8980,0.89103,0.96356
147,147,1988,Lower Saxony,First Stage of Tertiary Education,No,1.0,70,8980,0.89126,1.09503
148,148,1988,Lower Saxony,Second Stage of Tertiary Education,No,1.0,76,8980,0.89281,1.10303
149,149,1988,Bremen,Upper Secondary Level,No,1.0,45,8980,0.88392,1.13309
150,150,1988,North Rhine-Westphalia,Pre-primary Level,No,1.0,67,8980,0.87985,1.16182
151,151,1988,North Rhine-Westphalia,Primary Level,No,1.0,179,8980,0.84153,1.18049
152,152,1988,North Rhine-Westphalia,Lower Secondary Level,Yes,0.05617,41,8980,0.03789,0.06969
153,153,1988,North Rhine-Westphalia,Lower Secondary Level,No,0.94383,599,8980,0.8911,1.0009
154,154,1988,North Rhine-Westphalia,Upper Secondary Level,Yes,0.05117,60,8980,0.04588,0.05844
155,155,1988,North Rhine-Westphalia,Upper Secondary Level,No,0.94883,1195,8980,0.91824,0.97565
156,156,1988,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,1.0,77,8980,0.86814,1.12664
157,157,1988,North Rhine-Westphalia,First Stage of Tertiary Education,No,1.0,141,8980,0.92916,1.06761
158,158,1988,North Rhine-Westphalia,Second Stage of Tertiary Education,No,1.0,198,8980,0.9421,1.06003
159,159,1988,Hesse,Primary Level,No,1.0,70,8980,0.68364,1.41187
160,160,1988,Hesse,Lower Secondary Level,No,1.0,263,8980,0.89247,1.10467
161,161,1988,Hesse,Upper Secondary Level,No,1.0,429,8980,0.9464,1.06302
162,162,1988,Hesse,First Stage of Tertiary Education,No,1.0,44,8980,0.86705,1.13924
163,163,1988,Hesse,Second Stage of Tertiary Education,No,1.0,77,8980,0.8822,1.13177
164,164,1988,"Rhineland-Palatinate, Saarland",Primary Level,No,1.0,37,8980,0.7274,1.35947
165,165,1988,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,1.0,221,8980,0.94772,1.0707
166,166,1988,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,1.0,338,8980,0.95894,1.04768
167,167,1988,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,1.0,37,8980,0.82337,1.15197
168,168,1988,Baden-Wuerttemberg,Primary Level,No,1.0,189,8980,0.8336,1.22564
169,169,1988,Baden-Wuerttemberg,Lower Secondary Level,No,1.0,552,8980,0.93905,1.06668
170,170,1988,Baden-Wuerttemberg,Upper Secondary Level,No,1.0,779,8980,0.95821,1.04981
171,171,1988,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,1.0,51,8980,0.77486,1.22409
172,172,1988,Baden-Wuerttemberg,First Stage of Tertiary Education,No,1.0,97,8980,0.91497,1.07893
173,173,1988,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,1.0,100,8980,0.92488,1.08485
174,174,1988,Bavaria,Primary Level,No,1.0,50,8980,0.70576,1.32254
175,175,1988,Bavaria,Lower Secondary Level,No,1.0,424,8980,0.93325,1.06387
176,176,1988,Bavaria,Upper Secondary Level,No,1.0,794,8980,0.96406,1.02937
177,177,1988,Bavaria,Post-secondary Non-tertiary Level,No,1.0,40,8980,0.80292,1.19939
178,178,1988,Bavaria,First Stage of Tertiary Education,No,1.0,89,8980,0.93177,1.06822
179,179,1988,Bavaria,Second Stage of Tertiary Education,No,1.0,125,8980,0.91426,1.0745
180,180,1988,Berlin,Lower Secondary Level,No,1.0,79,8980,0.84775,1.18086
181,181,1988,Berlin,Upper Secondary Level,No,1.0,134,8980,0.90413,1.10958
182,182,1988,Berlin,Second Stage of Tertiary Education,No,1.0,33,8980,0.8763,1.11178
183,183,1989,Schleswig-Holstein,Lower Secondary Level,No,1.0,49,8107,0.83463,1.17684
184,184,1989,Schleswig-Holstein,Upper Secondary Level,No,1.0,153,8107,0.93372,1.06421
185,185,1989,Hamburg,Lower Secondary Level,No,1.0,34,8107,0.72881,1.23334
186,186,1989,Hamburg,Upper Secondary Level,No,1.0,93,8107,0.90912,1.08199
187,187,1989,Lower Saxony,Primary Level,No,1.0,35,8107,0.68028,1.31129
188,188,1989,Lower Saxony,Lower Secondary Level,No,1.0,225,8107,0.92085,1.06851
189,189,1989,Lower Saxony,Upper Secondary Level,No,1.0,459,8107,0.96242,1.03829
190,190,1989,Lower Saxony,First Stage of Tertiary Education,No,1.0,60,8107,0.89189,1.10278
191,191,1989,Lower Saxony,Second Stage of Tertiary Education,No,1.0,72,8107,0.88879,1.11607
192,192,1989,Bremen,Upper Secondary Level,No,1.0,43,8107,0.88465,1.10261
193,193,1989,North Rhine-Westphalia,Pre-primary Level,No,1.0,62,8107,0.86922,1.1341
194,194,1989,North Rhine-Westphalia,Primary Level,No,1.0,124,8107,0.85798,1.18693
195,195,1989,North Rhine-Westphalia,Lower Secondary Level,Yes,0.03929,31,8107,0.02981,0.04932
196,196,1989,North Rhine-Westphalia,Lower Secondary Level,No,0.96071,502,8107,0.90736,1.01729
197,197,1989,North Rhine-Westphalia,Upper Secondary Level,Yes,0.04945,52,8107,0.04302,0.05519
198,198,1989,North Rhine-Westphalia,Upper Secondary Level,No,0.95055,1116,8107,0.92653,0.9747
199,199,1989,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,1.0,67,8107,0.87362,1.1189
200,200,1989,North Rhine-Westphalia,First Stage of Tertiary Education,No,1.0,128,8107,0.92725,1.06946
201,201,1989,North Rhine-Westphalia,Second Stage of Tertiary Education,No,1.0,188,8107,0.9379,1.05702
202,202,1989,Hesse,Primary Level,No,1.0,45,8107,0.64642,1.36405
203,203,1989,Hesse,Lower Secondary Level,No,1.0,209,8107,0.89866,1.09774
204,204,1989,Hesse,Upper Secondary Level,No,1.0,428,8107,0.94629,1.04596
205,205,1989,Hesse,Post-secondary Non-tertiary Level,No,1.0,31,8107,0.75311,1.22836
206,206,1989,Hesse,First Stage of Tertiary Education,No,1.0,42,8107,0.84066,1.16885
207,207,1989,Hesse,Second Stage of Tertiary Education,No,1.0,74,8107,0.87825,1.09278
208,208,1989,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,1.0,193,8107,0.936,1.0744
209,209,1989,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,1.0,306,8107,0.95095,1.04393
210,210,1989,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,1.0,36,8107,0.83851,1.1688
211,211,1989,Baden-Wuerttemberg,Primary Level,No,1.0,161,8107,0.81665,1.22563
212,212,1989,Baden-Wuerttemberg,Lower Secondary Level,No,1.0,498,8107,0.93903,1.07142
213,213,1989,Baden-Wuerttemberg,Upper Secondary Level,No,1.0,731,8107,0.95406,1.0432
214,214,1989,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,1.0,49,8107,0.78072,1.20388
215,215,1989,Baden-Wuerttemberg,First Stage of Tertiary Education,No,1.0,91,8107,0.92469,1.08651
216,216,1989,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,1.0,96,8107,0.89901,1.09269
217,217,1989,Bavaria,Pre-primary Level,No,1.0,33,8107,0.83552,1.20679
218,218,1989,Bavaria,Primary Level,No,1.0,39,8107,0.73358,1.31183
219,219,1989,Bavaria,Lower Secondary Level,No,1.0,353,8107,0.94243,1.06407
220,220,1989,Bavaria,Upper Secondary Level,No,1.0,728,8107,0.96968,1.03334
221,221,1989,Bavaria,Post-secondary Non-tertiary Level,No,1.0,35,8107,0.83266,1.19802
222,222,1989,Bavaria,First Stage of Tertiary Education,No,1.0,87,8107,0.93574,1.06973
223,223,1989,Bavaria,Second Stage of Tertiary Education,No,1.0,124,8107,0.91462,1.07722
224,224,1989,Berlin,Lower Secondary Level,No,1.0,71,8107,0.82592,1.16045
225,225,1989,Berlin,Upper Secondary Level,No,1.0,120,8107,0.9147,1.10673
226,226,1989,Berlin,Second Stage of Tertiary Education,No,1.0,34,8107,0.88178,1.10695
227,227,1990,Schleswig-Holstein,Lower Secondary Level,No,1.0,61,8353,0.85282,1.16611
228,228,1990,Schleswig-Holstein,Upper Secondary Level,No,1.0,142,8353,0.92831,1.07688
229,229,1990,Hamburg,Upper Secondary Level,No,1.0,80,8353,0.8841,1.12158
230,230,1990,Lower Saxony,Primary Level,No,1.0,37,8353,0.70026,1.43454
231,231,1990,Lower Saxony,Lower Secondary Level,No,1.0,221,8353,0.92123,1.07492
232,232,1990,Lower Saxony,Upper Secondary Level,No,1.0,446,8353,0.95714,1.04176
233,233,1990,Lower Saxony,First Stage of Tertiary Education,No,1.0,62,8353,0.87265,1.09914
234,234,1990,Lower Saxony,Second Stage of Tertiary Education,No,1.0,71,8353,0.90844,1.13201
235,235,1990,Bremen,Upper Secondary Level,No,1.0,48,8353,0.88903,1.10837
236,236,1990,North Rhine-Westphalia,Pre-primary Level,No,1.0,54,8353,0.84265,1.15703
237,237,1990,North Rhine-Westphalia,Primary Level,No,1.0,166,8353,0.85505,1.164
238,238,1990,North Rhine-Westphalia,Lower Secondary Level,Yes,0.04607,36,8353,0.03176,0.06541
239,239,1990,North Rhine-Westphalia,Lower Secondary Level,No,0.95393,546,8353,0.89162,1.00722
240,240,1990,North Rhine-Westphalia,Upper Secondary Level,Yes,0.03218,39,8353,0.02627,0.0378
241,241,1990,North Rhine-Westphalia,Upper Secondary Level,No,0.96782,1135,8353,0.94022,0.99842
242,242,1990,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,1.0,75,8353,0.87706,1.13341
243,243,1990,North Rhine-Westphalia,First Stage of Tertiary Education,No,1.0,130,8353,0.9316,1.08323
244,244,1990,North Rhine-Westphalia,Second Stage of Tertiary Education,No,1.0,187,8353,0.9331,1.05818
245,245,1990,Hesse,Primary Level,No,1.0,63,8353,0.67259,1.33362
246,246,1990,Hesse,Lower Secondary Level,No,1.0,249,8353,0.90961,1.11144
247,247,1990,Hesse,Upper Secondary Level,No,1.0,420,8353,0.94084,1.05644
248,248,1990,Hesse,Post-secondary Non-tertiary Level,No,1.0,31,8353,0.78049,1.24866
249,249,1990,Hesse,First Stage of Tertiary Education,No,1.0,39,8353,0.83685,1.1468
250,250,1990,Hesse,Second Stage of Tertiary Education,No,1.0,79,8353,0.8957,1.09423
251,251,1990,"Rhineland-Palatinate, Saarland",Primary Level,No,1.0,31,8353,0.71319,1.46684
252,252,1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,1.0,200,8353,0.92227,1.07048
253,253,1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,1.0,298,8353,0.93787,1.0545
254,254,1990,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,1.0,40,8353,0.86495,1.15945
255,255,1990,Baden-Wuerttemberg,Primary Level,No,1.0,180,8353,0.84893,1.18281
256,256,1990,Baden-Wuerttemberg,Lower Secondary Level,No,1.0,490,8353,0.93421,1.07022
257,257,1990,Baden-Wuerttemberg,Upper Secondary Level,No,1.0,769,8353,0.96002,1.04257
258,258,1990,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,1.0,50,8353,0.78741,1.2664
259,259,1990,Baden-Wuerttemberg,First Stage of Tertiary Education,No,1.0,97,8353,0.90605,1.11516
260,260,1990,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,1.0,95,8353,0.90427,1.11523
261,261,1990,Bavaria,Primary Level,No,1.0,53,8353,0.75679,1.26892
262,262,1990,Bavaria,Lower Secondary Level,No,1.0,387,8353,0.93682,1.0616
263,263,1990,Bavaria,Upper Secondary Level,No,1.0,772,8353,0.97044,1.03907
264,264,1990,Bavaria,Post-secondary Non-tertiary Level,No,1.0,48,8353,0.825,1.19442
265,265,1990,Bavaria,First Stage of Tertiary Education,No,1.0,85,8353,0.9035,1.08518
266,266,1990,Bavaria,Second Stage of Tertiary Education,No,1.0,129,8353,0.9216,1.08035
267,267,1990,Berlin,Lower Secondary Level,No,1.0,67,8353,0.80906,1.20513
268,268,1990,Berlin,Upper Secondary Level,No,1.0,113,8353,0.89964,1.11714
269,269,1990,Berlin,Second Stage of Tertiary Education,No,1.0,32,8353,0.87007,1.12471
270,270,1991,Schleswig-Holstein,Lower Secondary Level,No,1.0,56,12274,0.82752,1.14404
271,271,1991,Schleswig-Holstein,Upper Secondary Level,No,1.0,156,12274,0.93756,1.06965
272,272,1991,Hamburg,Lower Secondary Level,No,1.0,31,12274,0.6728,1.26078
273,273,1991,Hamburg,Upper Secondary Level,No,1.0,84,12274,0.88483,1.10207
274,274,1991,Lower Saxony,Primary Level,No,1.0,42,12274,0.72544,1.33977
275,275,1991,Lower Saxony,Lower Secondary Level,No,1.0,218,12274,0.91948,1.06963
276,276,1991,Lower Saxony,Upper Secondary Level,No,1.0,468,12274,0.96325,1.04501
277,277,1991,Lower Saxony,First Stage of Tertiary Education,No,1.0,63,12274,0.88565,1.09981
278,278,1991,Lower Saxony,Second Stage of Tertiary Education,No,1.0,76,12274,0.85745,1.11614
279,279,1991,Bremen,Upper Secondary Level,No,1.0,49,12274,0.86272,1.13597
280,280,1991,North Rhine-Westphalia,Pre-primary Level,No,1.0,51,12274,0.83862,1.15906
281,281,1991,North Rhine-Westphalia,Primary Level,No,1.0,150,12274,0.85727,1.13502
282,282,1991,North Rhine-Westphalia,Lower Secondary Level,No,1.0,558,12274,0.94186,1.06284
283,283,1991,North Rhine-Westphalia,Upper Secondary Level,Yes,0.03647,44,12274,0.02963,0.0437
284,284,1991,North Rhine-Westphalia,Upper Secondary Level,No,0.96353,1156,12274,0.93163,0.99456
