year,pgisced97,quintil_oecd,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,Second Stage of Tertiary Education,1st Quintile,No,0.91826,46,46,0.83822,0.99831
1988,Second Stage of Tertiary Education,2nd Quintile,No,0.97023,43,43,0.91882,1.02163
1988,Second Stage of Tertiary Education,3rd Quintile,No,0.98267,88,88,0.95526,1.01009
1988,Second Stage of Tertiary Education,4th Quintile,No,0.95873,143,143,0.92602,0.99145
1988,Second Stage of Tertiary Education,5th Quintile,No,0.98481,353,353,0.97203,0.99759
1989,No answer / don't know,1st Quintile,No,0.79023,35,35,0.65337,0.92708
1989,Primary Level,1st Quintile,No,0.86101,153,153,0.80602,0.91601
1989,Primary Level,2nd Quintile,No,0.85661,121,121,0.79391,0.91932
1989,Primary Level,3rd Quintile,No,0.94436,88,88,0.89619,0.99253
1989,Primary Level,4th Quintile,No,0.99051,70,70,0.96763,1.01339
1989,Lower Secondary Level,1st Quintile,Yes,0.06260,53,611,0.04338,0.08183
1989,Lower Secondary Level,1st Quintile,No,0.93740,558,611,0.91817,0.95662
1989,Lower Secondary Level,2nd Quintile,No,0.97371,540,540,0.96020,0.98721
1989,Lower Secondary Level,3rd Quintile,No,0.97117,427,427,0.95528,0.98706
1989,Lower Secondary Level,4th Quintile,No,0.96992,390,390,0.95295,0.98690
1989,Lower Secondary Level,5th Quintile,No,0.98179,241,241,0.96487,0.99871
1989,Upper Secondary Level,1st Quintile,Yes,0.07888,53,641,0.05799,0.09976
1989,Upper Secondary Level,1st Quintile,No,0.92112,588,641,0.90024,0.94201
1989,Upper Secondary Level,2nd Quintile,Yes,0.04058,37,839,0.02722,0.05394
1989,Upper Secondary Level,2nd Quintile,No,0.95942,802,839,0.94606,0.97278
1989,Upper Secondary Level,3rd Quintile,Yes,0.03140,32,936,0.02022,0.04257
1989,Upper Secondary Level,3rd Quintile,No,0.96860,904,936,0.95743,0.97978
1989,Upper Secondary Level,4th Quintile,No,0.98159,1034,1034,0.97340,0.98979
1989,Upper Secondary Level,5th Quintile,No,0.97985,849,849,0.97040,0.98931
1989,Post-secondary Non-tertiary Level,1st Quintile,No,0.97250,41,41,0.92181,1.02318
1989,Post-secondary Non-tertiary Level,2nd Quintile,No,0.93651,34,34,0.85331,1.01971
1989,Post-secondary Non-tertiary Level,3rd Quintile,No,0.96864,40,40,0.91394,1.02334
1989,Post-secondary Non-tertiary Level,4th Quintile,No,0.99797,63,63,0.98677,1.00917
1989,Post-secondary Non-tertiary Level,5th Quintile,No,0.96724,69,69,0.92493,1.00955
1989,First Stage of Tertiary Education,1st Quintile,No,0.95922,51,51,0.90440,1.01404
1989,First Stage of Tertiary Education,2nd Quintile,No,0.97613,66,66,0.93903,1.01324
1989,First Stage of Tertiary Education,3rd Quintile,No,0.98724,106,106,0.96577,1.00871
1989,First Stage of Tertiary Education,4th Quintile,No,0.97659,116,116,0.94895,1.00422
1989,First Stage of Tertiary Education,5th Quintile,No,0.98513,152,152,0.96582,1.00443
1989,Second Stage of Tertiary Education,1st Quintile,No,0.96412,43,43,0.90787,1.02037
1989,Second Stage of Tertiary Education,2nd Quintile,No,0.97642,46,46,0.93208,1.02075
1989,Second Stage of Tertiary Education,3rd Quintile,No,0.96215,81,81,0.92033,1.00397
1989,Second Stage of Tertiary Education,4th Quintile,No,0.98523,129,129,0.96432,1.00613
1989,Second Stage of Tertiary Education,5th Quintile,No,0.98672,356,356,0.97481,0.99863
1990,No answer / don't know,1st Quintile,No,0.90052,43,43,0.81000,0.99104
1990,No answer / don't know,2nd Quintile,No,0.91975,34,34,0.82706,1.01245
1990,Pre-primary Level,1st Quintile,No,0.96647,40,40,0.90997,1.02297
1990,Primary Level,1st Quintile,No,0.90022,208,208,0.85939,0.94104
1990,Primary Level,2nd Quintile,No,0.93718,143,143,0.89727,0.97709
1990,Primary Level,3rd Quintile,No,0.92833,107,107,0.87922,0.97743
1990,Primary Level,4th Quintile,No,0.92545,76,76,0.86600,0.98490
1990,Lower Secondary Level,1st Quintile,Yes,0.06182,53,695,0.04390,0.07974
1990,Lower Secondary Level,1st Quintile,No,0.93818,642,695,0.92026,0.95610
1990,Lower Secondary Level,2nd Quintile,No,0.97893,542,542,0.96683,0.99103
1990,Lower Secondary Level,3rd Quintile,No,0.96432,471,471,0.94756,0.98109
1990,Lower Secondary Level,4th Quintile,No,0.97768,409,409,0.96335,0.99202
1990,Lower Secondary Level,5th Quintile,No,0.96145,208,208,0.93523,0.98768
1990,Upper Secondary Level,1st Quintile,Yes,0.08028,58,676,0.05978,0.10078
1990,Upper Secondary Level,1st Quintile,No,0.91972,618,676,0.89922,0.94022
1990,Upper Secondary Level,2nd Quintile,No,0.97564,839,839,0.96520,0.98608
1990,Upper Secondary Level,3rd Quintile,No,0.97965,911,911,0.97048,0.98883
1990,Upper Secondary Level,4th Quintile,No,0.97954,997,997,0.97075,0.98833
1990,Upper Secondary Level,5th Quintile,No,0.98257,858,858,0.97380,0.99133
1990,Post-secondary Non-tertiary Level,1st Quintile,No,0.91277,36,36,0.81929,1.00625
1990,Post-secondary Non-tertiary Level,2nd Quintile,No,0.94959,36,36,0.87711,1.02208
1990,Post-secondary Non-tertiary Level,3rd Quintile,No,0.98405,58,58,0.95153,1.01657
1990,Post-secondary Non-tertiary Level,4th Quintile,No,0.97550,59,59,0.93571,1.01529
1990,Post-secondary Non-tertiary Level,5th Quintile,No,0.99126,75,75,0.97005,1.01247
1990,First Stage of Tertiary Education,1st Quintile,No,0.95677,48,48,0.89863,1.01491
1990,First Stage of Tertiary Education,2nd Quintile,No,0.97768,74,74,0.94380,1.01157
1990,First Stage of Tertiary Education,3rd Quintile,No,0.95982,93,93,0.91969,0.99995
1990,First Stage of Tertiary Education,4th Quintile,No,0.95811,104,104,0.91942,0.99680
1990,First Stage of Tertiary Education,5th Quintile,No,0.99415,168,168,0.98259,1.00572
1990,Second Stage of Tertiary Education,2nd Quintile,No,0.94258,53,53,0.87934,1.00581
1990,Second Stage of Tertiary Education,3rd Quintile,No,0.97002,88,88,0.93418,1.00585
1990,Second Stage of Tertiary Education,4th Quintile,No,0.94884,144,144,0.91273,0.98495
1990,Second Stage of Tertiary Education,5th Quintile,No,0.99447,344,344,0.98662,1.00232
1991,No answer / don't know,1st Quintile,No,0.93877,42,42,0.86537,1.01216
1991,No answer / don't know,2nd Quintile,No,0.89922,40,40,0.80473,0.99370
1991,Primary Level,1st Quintile,No,0.90156,198,198,0.85996,0.94316
1991,Primary Level,2nd Quintile,No,0.90316,149,149,0.85552,0.95081
1991,Primary Level,3rd Quintile,No,0.98496,104,104,0.96146,1.00847
1991,Primary Level,4th Quintile,No,0.96300,74,74,0.91970,1.00630
1991,Primary Level,5th Quintile,No,0.97907,33,33,0.92946,1.02867
1991,Lower Secondary Level,1st Quintile,Yes,0.05004,51,681,0.03365,0.06643
1991,Lower Secondary Level,1st Quintile,No,0.94996,630,681,0.93357,0.96635
1991,Lower Secondary Level,2nd Quintile,No,0.96730,527,527,0.95210,0.98250
1991,Lower Secondary Level,3rd Quintile,No,0.98158,446,446,0.96908,0.99407
1991,Lower Secondary Level,4th Quintile,No,0.99364,419,419,0.98602,1.00126
1991,Lower Secondary Level,5th Quintile,No,0.97734,213,213,0.95730,0.99737
1991,Upper Secondary Level,1st Quintile,Yes,0.06638,55,654,0.04728,0.08547
1991,Upper Secondary Level,1st Quintile,No,0.93362,599,654,0.91453,0.95272
1991,Upper Secondary Level,2nd Quintile,Yes,0.03601,32,878,0.02368,0.04834
1991,Upper Secondary Level,2nd Quintile,No,0.96399,846,878,0.95166,0.97632
1991,Upper Secondary Level,3rd Quintile,No,0.98039,961,961,0.97161,0.98916
1991,Upper Secondary Level,4th Quintile,No,0.98466,989,989,0.97699,0.99232
1991,Upper Secondary Level,5th Quintile,No,0.97596,893,893,0.96591,0.98601
1991,Post-secondary Non-tertiary Level,1st Quintile,No,0.86151,42,42,0.75578,0.96724
1991,Post-secondary Non-tertiary Level,2nd Quintile,No,0.91098,47,47,0.82869,0.99328
1991,Post-secondary Non-tertiary Level,3rd Quintile,No,0.96707,54,54,0.91902,1.01511
1991,Post-secondary Non-tertiary Level,4th Quintile,No,0.95473,56,56,0.89978,1.00967
1991,Post-secondary Non-tertiary Level,5th Quintile,No,0.97569,83,83,0.94235,1.00902
1991,First Stage of Tertiary Education,1st Quintile,No,0.92642,50,50,0.85331,0.99952
1991,First Stage of Tertiary Education,2nd Quintile,No,0.98168,75,75,0.95112,1.01224
1991,First Stage of Tertiary Education,3rd Quintile,No,0.99649,90,90,0.98421,1.00878
1991,First Stage of Tertiary Education,4th Quintile,No,0.99565,121,121,0.98386,1.00743
1991,First Stage of Tertiary Education,5th Quintile,No,0.99209,168,168,0.97865,1.00553
1991,Second Stage of Tertiary Education,1st Quintile,No,0.92297,44,44,0.84328,1.00267
1991,Second Stage of Tertiary Education,2nd Quintile,No,0.98735,56,56,0.95781,1.01689
1991,Second Stage of Tertiary Education,3rd Quintile,No,0.93549,88,88,0.88387,0.98711
1991,Second Stage of Tertiary Education,4th Quintile,No,0.97296,162,162,0.94790,0.99801
1991,Second Stage of Tertiary Education,5th Quintile,No,0.98703,347,347,0.97511,0.99895
1992,No answer / don't know,1st Quintile,No,0.86903,34,34,0.75393,0.98414
1992,No answer / don't know,2nd Quintile,No,0.93110,43,43,0.85449,1.00770
1992,No answer / don't know,3rd Quintile,No,0.98958,43,43,0.95886,1.02029
1992,No answer / don't know,5th Quintile,No,0.93642,31,31,0.84911,1.02374
1992,Pre-primary Level,3rd Quintile,No,0.99111,47,47,0.96398,1.01824
1992,Primary Level,1st Quintile,No,0.83934,134,134,0.77693,0.90175
1992,Primary Level,2nd Quintile,No,0.92751,139,139,0.88424,0.97077
1992,Primary Level,3rd Quintile,No,0.88914,134,134,0.83578,0.94250
1992,Primary Level,4th Quintile,No,0.91469,102,102,0.86022,0.96917
1992,Lower Secondary Level,1st Quintile,Yes,0.07099,69,704,0.05200,0.08997
1992,Lower Secondary Level,1st Quintile,No,0.92901,635,704,0.91003,0.94800
1992,Lower Secondary Level,2nd Quintile,Yes,0.04503,36,637,0.02891,0.06114
1992,Lower Secondary Level,2nd Quintile,No,0.95497,601,637,0.93886,0.97109
1992,Lower Secondary Level,3rd Quintile,No,0.95504,501,501,0.93687,0.97320
1992,Lower Secondary Level,4th Quintile,No,0.96566,524,524,0.95005,0.98127
1992,Lower Secondary Level,5th Quintile,No,0.97384,276,276,0.95498,0.99271
1992,Upper Secondary Level,1st Quintile,Yes,0.15159,232,1354,0.13248,0.17070
1992,Upper Secondary Level,1st Quintile,No,0.84841,1122,1354,0.82930,0.86752
1992,Upper Secondary Level,2nd Quintile,Yes,0.08152,137,1413,0.06725,0.09580
1992,Upper Secondary Level,2nd Quintile,No,0.91848,1276,1413,0.90420,0.93275
1992,Upper Secondary Level,3rd Quintile,Yes,0.04468,77,1295,0.03343,0.05594
1992,Upper Secondary Level,3rd Quintile,No,0.95532,1218,1295,0.94406,0.96657
1992,Upper Secondary Level,4th Quintile,Yes,0.02644,43,1339,0.01784,0.03503
1992,Upper Secondary Level,4th Quintile,No,0.97356,1296,1339,0.96497,0.98216
1992,Upper Secondary Level,5th Quintile,No,0.98001,1141,1141,0.97189,0.98814
1992,Post-secondary Non-tertiary Level,1st Quintile,No,0.85700,60,60,0.76767,0.94633
1992,Post-secondary Non-tertiary Level,2nd Quintile,No,0.93601,53,53,0.86949,1.00253
1992,Post-secondary Non-tertiary Level,3rd Quintile,No,0.96718,63,63,0.92284,1.01153
1992,Post-secondary Non-tertiary Level,4th Quintile,No,0.96606,82,82,0.92663,1.00549
1992,Post-secondary Non-tertiary Level,5th Quintile,No,0.98467,99,99,0.96035,1.00900
1992,First Stage of Tertiary Education,1st Quintile,No,0.95516,81,81,0.90981,1.00051
1992,First Stage of Tertiary Education,2nd Quintile,No,0.97644,144,144,0.95158,1.00130
1992,First Stage of Tertiary Education,3rd Quintile,No,0.97606,149,149,0.95143,1.00069
1992,First Stage of Tertiary Education,4th Quintile,No,0.96630,143,143,0.93661,0.99598
1992,First Stage of Tertiary Education,5th Quintile,No,0.96039,208,208,0.93381,0.98696
1992,Second Stage of Tertiary Education,1st Quintile,Yes,0.14814,40,236,0.10272,0.19356
1992,Second Stage of Tertiary Education,1st Quintile,No,0.85186,196,236,0.80644,0.89728
1992,Second Stage of Tertiary Education,2nd Quintile,No,0.92842,284,284,0.89839,0.95846
1992,Second Stage of Tertiary Education,3rd Quintile,No,0.93135,300,300,0.90269,0.96001
1992,Second Stage of Tertiary Education,4th Quintile,No,0.95086,264,264,0.92473,0.97698
1992,Second Stage of Tertiary Education,5th Quintile,No,0.97959,470,470,0.96679,0.99239
1993,No answer / don't know,1st Quintile,No,0.91502,41,41,0.82860,1.00144
1993,No answer / don't know,2nd Quintile,No,0.93761,38,38,0.85968,1.01554
1993,No answer / don't know,3rd Quintile,No,0.93551,34,34,0.85171,1.01932
1993,No answer / don't know,5th Quintile,No,0.98389,34,34,0.94092,1.02685
1993,Pre-primary Level,2nd Quintile,No,0.96614,48,48,0.91443,1.01785
1993,Primary Level,1st Quintile,No,0.89905,170,170,0.85362,0.94447
1993,Primary Level,2nd Quintile,No,0.87686,136,136,0.82143,0.93229
1993,Primary Level,3rd Quintile,No,0.98189,107,107,0.95650,1.00727
1993,Primary Level,4th Quintile,No,0.94116,88,88,0.89171,0.99061
1993,Primary Level,5th Quintile,No,0.99580,35,35,0.97406,1.01754
1993,Lower Secondary Level,1st Quintile,Yes,0.07277,71,703,0.05355,0.09199
1993,Lower Secondary Level,1st Quintile,No,0.92723,632,703,0.90801,0.94645
1993,Lower Secondary Level,2nd Quintile,Yes,0.03480,39,638,0.02057,0.04903
1993,Lower Secondary Level,2nd Quintile,No,0.96520,599,638,0.95097,0.97943
1993,Lower Secondary Level,3rd Quintile,Yes,0.04796,32,539,0.02990,0.06601
1993,Lower Secondary Level,3rd Quintile,No,0.95204,507,539,0.93399,0.97010
1993,Lower Secondary Level,4th Quintile,No,0.97537,459,459,0.96117,0.98956
1993,Lower Secondary Level,5th Quintile,No,0.97055,264,264,0.95012,0.99098
1993,Upper Secondary Level,1st Quintile,Yes,0.17442,234,1255,0.15341,0.19542
1993,Upper Secondary Level,1st Quintile,No,0.82558,1021,1255,0.80458,0.84659
1993,Upper Secondary Level,2nd Quintile,Yes,0.07437,143,1442,0.06082,0.08791
1993,Upper Secondary Level,2nd Quintile,No,0.92563,1299,1442,0.91209,0.93918
1993,Upper Secondary Level,3rd Quintile,Yes,0.04905,85,1379,0.03765,0.06046
1993,Upper Secondary Level,3rd Quintile,No,0.95095,1294,1379,0.93954,0.96235
1993,Upper Secondary Level,4th Quintile,Yes,0.04142,62,1325,0.03069,0.05216
1993,Upper Secondary Level,4th Quintile,No,0.95858,1263,1325,0.94784,0.96931
1993,Upper Secondary Level,5th Quintile,Yes,0.02606,41,1195,0.01703,0.03510
1993,Upper Secondary Level,5th Quintile,No,0.97394,1154,1195,0.96490,0.98297
1993,Post-secondary Non-tertiary Level,1st Quintile,No,0.91975,55,55,0.84729,0.99221
1993,Post-secondary Non-tertiary Level,2nd Quintile,No,0.89976,49,49,0.81480,0.98472
1993,Post-secondary Non-tertiary Level,3rd Quintile,No,0.95845,71,71,0.91169,1.00520
1993,Post-secondary Non-tertiary Level,4th Quintile,No,0.97040,85,85,0.93415,1.00664
1993,Post-secondary Non-tertiary Level,5th Quintile,No,0.99446,96,96,0.97953,1.00939
1993,First Stage of Tertiary Education,1st Quintile,No,0.95962,74,74,0.91446,1.00478
1993,First Stage of Tertiary Education,2nd Quintile,No,0.92300,130,130,0.87699,0.96900
1993,First Stage of Tertiary Education,3rd Quintile,No,0.93344,129,129,0.89026,0.97662
1993,First Stage of Tertiary Education,4th Quintile,No,0.97283,167,167,0.94810,0.99756
1993,First Stage of Tertiary Education,5th Quintile,No,0.96096,191,191,0.93342,0.98850
