year,quintil_oecd,regtyp,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1993,5th Quintile,Urban regions,Yes,0.02177,53,1915,0.01523,0.02831
1993,5th Quintile,Urban regions,No,0.97823,1862,1915,0.97169,0.98477
1993,5th Quintile,Rural regions,No,0.96192,428,428,0.94376,0.98007
1994,1st Quintile,Urban regions,Yes,0.11659,203,1519,0.10044,0.13273
1994,1st Quintile,Urban regions,No,0.88341,1316,1519,0.86727,0.89956
1994,1st Quintile,Rural regions,Yes,0.17960,202,966,0.15538,0.20382
1994,1st Quintile,Rural regions,No,0.82040,764,966,0.79618,0.84462
1994,2nd Quintile,Urban regions,Yes,0.05707,120,1606,0.04572,0.06842
1994,2nd Quintile,Urban regions,No,0.94293,1486,1606,0.93158,0.95428
1994,2nd Quintile,Rural regions,Yes,0.09528,120,1036,0.07739,0.11317
1994,2nd Quintile,Rural regions,No,0.90472,916,1036,0.88683,0.92261
1994,3rd Quintile,Urban regions,Yes,0.05416,107,1659,0.04327,0.06505
1994,3rd Quintile,Urban regions,No,0.94584,1552,1659,0.93495,0.95673
1994,3rd Quintile,Rural regions,Yes,0.07917,95,1039,0.06274,0.09559
1994,3rd Quintile,Rural regions,No,0.92083,944,1039,0.90441,0.93726
1994,4th Quintile,Urban regions,Yes,0.03671,75,1760,0.02792,0.04550
1994,4th Quintile,Urban regions,No,0.96329,1685,1760,0.95450,0.97208
1994,4th Quintile,Rural regions,Yes,0.06706,60,768,0.04936,0.08476
1994,4th Quintile,Rural regions,No,0.93294,708,768,0.91524,0.95064
1994,5th Quintile,Urban regions,Yes,0.03302,83,1856,0.02489,0.04115
1994,5th Quintile,Urban regions,No,0.96698,1773,1856,0.95885,0.97511
1994,5th Quintile,Rural regions,Yes,0.06310,34,552,0.04280,0.08341
1994,5th Quintile,Rural regions,No,0.93690,518,552,0.91659,0.95720
1995,1st Quintile,Urban regions,Yes,0.13559,239,1596,0.11879,0.15240
1995,1st Quintile,Urban regions,No,0.86441,1357,1596,0.84760,0.88121
1995,1st Quintile,Rural regions,Yes,0.15167,168,907,0.12831,0.17503
1995,1st Quintile,Rural regions,No,0.84833,739,907,0.82497,0.87169
1995,2nd Quintile,Urban regions,Yes,0.06505,128,1782,0.05360,0.07650
1995,2nd Quintile,Urban regions,No,0.93495,1654,1782,0.92350,0.94640
1995,2nd Quintile,Rural regions,Yes,0.11207,122,1059,0.09306,0.13108
1995,2nd Quintile,Rural regions,No,0.88793,937,1059,0.86892,0.90694
1995,3rd Quintile,Urban regions,Yes,0.05194,93,1661,0.04126,0.06261
1995,3rd Quintile,Urban regions,No,0.94806,1568,1661,0.93739,0.95874
1995,3rd Quintile,Rural regions,Yes,0.06786,75,1033,0.05252,0.08321
1995,3rd Quintile,Rural regions,No,0.93214,958,1033,0.91679,0.94748
1995,4th Quintile,Urban regions,Yes,0.03867,87,1748,0.02963,0.04771
1995,4th Quintile,Urban regions,No,0.96133,1661,1748,0.95229,0.97037
1995,4th Quintile,Rural regions,Yes,0.05193,45,886,0.03731,0.06655
1995,4th Quintile,Rural regions,No,0.94807,841,886,0.93345,0.96269
1995,5th Quintile,Urban regions,Yes,0.03126,69,1839,0.02330,0.03921
1995,5th Quintile,Urban regions,No,0.96874,1770,1839,0.96079,0.97670
1995,5th Quintile,Rural regions,Yes,0.04871,38,608,0.03158,0.06583
1995,5th Quintile,Rural regions,No,0.95129,570,608,0.93417,0.96842
1996,1st Quintile,Urban regions,Yes,0.13330,232,1635,0.11682,0.14978
1996,1st Quintile,Urban regions,No,0.86670,1403,1635,0.85022,0.88318
1996,1st Quintile,Rural regions,Yes,0.15046,159,876,0.12677,0.17415
1996,1st Quintile,Rural regions,No,0.84954,717,876,0.82585,0.87323
1996,2nd Quintile,Urban regions,Yes,0.06833,126,1656,0.05617,0.08048
1996,2nd Quintile,Urban regions,No,0.93167,1530,1656,0.91952,0.94383
1996,2nd Quintile,Rural regions,Yes,0.08733,95,910,0.06898,0.10569
1996,2nd Quintile,Rural regions,No,0.91267,815,910,0.89431,0.93102
1996,3rd Quintile,Urban regions,Yes,0.05475,88,1530,0.04335,0.06615
1996,3rd Quintile,Urban regions,No,0.94525,1442,1530,0.93385,0.95665
1996,3rd Quintile,Rural regions,Yes,0.07854,93,1082,0.06250,0.09457
1996,3rd Quintile,Rural regions,No,0.92146,989,1082,0.90543,0.93750
1996,4th Quintile,Urban regions,Yes,0.04442,79,1753,0.03477,0.05407
1996,4th Quintile,Urban regions,No,0.95558,1674,1753,0.94593,0.96523
1996,4th Quintile,Rural regions,Yes,0.06368,74,903,0.04775,0.07962
1996,4th Quintile,Rural regions,No,0.93632,829,903,0.92038,0.95225
1996,5th Quintile,Urban regions,Yes,0.03142,66,1769,0.02329,0.03955
1996,5th Quintile,Urban regions,No,0.96858,1703,1769,0.96045,0.97671
1996,5th Quintile,Rural regions,Yes,0.03975,36,628,0.02446,0.05504
1996,5th Quintile,Rural regions,No,0.96025,592,628,0.94496,0.97554
1997,1st Quintile,Urban regions,Yes,0.16052,247,1571,0.14237,0.17868
1997,1st Quintile,Urban regions,No,0.83948,1324,1571,0.82132,0.85763
1997,1st Quintile,Rural regions,Yes,0.13918,131,817,0.11543,0.16293
1997,1st Quintile,Rural regions,No,0.86082,686,817,0.83707,0.88457
1997,2nd Quintile,Urban regions,Yes,0.06120,133,1669,0.04970,0.07270
1997,2nd Quintile,Urban regions,No,0.93880,1536,1669,0.92730,0.95030
1997,2nd Quintile,Rural regions,Yes,0.10277,124,1071,0.08458,0.12097
1997,2nd Quintile,Rural regions,No,0.89723,947,1071,0.87903,0.91542
1997,3rd Quintile,Urban regions,Yes,0.06133,118,1615,0.04962,0.07303
1997,3rd Quintile,Urban regions,No,0.93867,1497,1615,0.92697,0.95038
1997,3rd Quintile,Rural regions,Yes,0.07251,83,1011,0.05652,0.08850
1997,3rd Quintile,Rural regions,No,0.92749,928,1011,0.91150,0.94348
1997,4th Quintile,Urban regions,Yes,0.03723,81,1773,0.02842,0.04605
1997,4th Quintile,Urban regions,No,0.96277,1692,1773,0.95395,0.97158
1997,4th Quintile,Rural regions,Yes,0.07565,61,885,0.05822,0.09308
1997,4th Quintile,Rural regions,No,0.92435,824,885,0.90692,0.94178
1997,5th Quintile,Urban regions,Yes,0.03224,65,1759,0.02399,0.04050
1997,5th Quintile,Urban regions,No,0.96776,1694,1759,0.95950,0.97601
1997,5th Quintile,Rural regions,Yes,0.05495,41,654,0.03747,0.07243
1997,5th Quintile,Rural regions,No,0.94505,613,654,0.92757,0.96253
1998,1st Quintile,Urban regions,Yes,0.15098,239,1550,0.13315,0.16881
1998,1st Quintile,Urban regions,No,0.84902,1311,1550,0.83119,0.86685
1998,1st Quintile,Rural regions,Yes,0.18741,162,765,0.15974,0.21509
1998,1st Quintile,Rural regions,No,0.81259,603,765,0.78491,0.84026
1998,2nd Quintile,Urban regions,Yes,0.06548,112,1530,0.05308,0.07788
1998,2nd Quintile,Urban regions,No,0.93452,1418,1530,0.92212,0.94692
1998,2nd Quintile,Rural regions,Yes,0.10013,122,952,0.08105,0.11921
1998,2nd Quintile,Rural regions,No,0.89987,830,952,0.88079,0.91895
1998,3rd Quintile,Urban regions,Yes,0.04419,82,1527,0.03388,0.05450
1998,3rd Quintile,Urban regions,No,0.95581,1445,1527,0.94550,0.96612
1998,3rd Quintile,Rural regions,Yes,0.07190,90,1021,0.05604,0.08775
1998,3rd Quintile,Rural regions,No,0.92810,931,1021,0.91225,0.94396
1998,4th Quintile,Urban regions,Yes,0.04274,71,1686,0.03308,0.05240
1998,4th Quintile,Urban regions,No,0.95726,1615,1686,0.94760,0.96692
1998,4th Quintile,Rural regions,Yes,0.05775,61,899,0.04249,0.07301
1998,4th Quintile,Rural regions,No,0.94225,838,899,0.92699,0.95751
1998,5th Quintile,Urban regions,Yes,0.02407,51,1646,0.01666,0.03147
1998,5th Quintile,Urban regions,No,0.97593,1595,1646,0.96853,0.98334
1998,5th Quintile,Rural regions,Yes,0.06519,38,635,0.04598,0.08441
1998,5th Quintile,Rural regions,No,0.93481,597,635,0.91559,0.95402
1999,1st Quintile,Urban regions,Yes,0.13136,218,1655,0.11508,0.14764
1999,1st Quintile,Urban regions,No,0.86864,1437,1655,0.85236,0.88492
1999,1st Quintile,Rural regions,Yes,0.13272,146,924,0.11084,0.15461
1999,1st Quintile,Rural regions,No,0.86728,778,924,0.84539,0.88916
1999,2nd Quintile,Urban regions,Yes,0.06022,112,1730,0.04901,0.07143
1999,2nd Quintile,Urban regions,No,0.93978,1618,1730,0.92857,0.95099
1999,2nd Quintile,Rural regions,Yes,0.06891,103,1129,0.05412,0.08369
1999,2nd Quintile,Rural regions,No,0.93109,1026,1129,0.91631,0.94588
1999,3rd Quintile,Urban regions,Yes,0.04362,97,1716,0.03395,0.05329
1999,3rd Quintile,Urban regions,No,0.95638,1619,1716,0.94671,0.96605
1999,3rd Quintile,Rural regions,Yes,0.07479,81,1099,0.05923,0.09035
1999,3rd Quintile,Rural regions,No,0.92521,1018,1099,0.90965,0.94077
1999,4th Quintile,Urban regions,Yes,0.03205,77,1870,0.02407,0.04004
1999,4th Quintile,Urban regions,No,0.96795,1793,1870,0.95996,0.97593
1999,4th Quintile,Rural regions,Yes,0.04159,45,887,0.02844,0.05473
1999,4th Quintile,Rural regions,No,0.95841,842,887,0.94527,0.97156
1999,5th Quintile,Urban regions,Yes,0.02406,42,1898,0.01717,0.03096
1999,5th Quintile,Urban regions,No,0.97594,1856,1898,0.96904,0.98283
1999,5th Quintile,Rural regions,Yes,0.04167,31,707,0.02693,0.05641
1999,5th Quintile,Rural regions,No,0.95833,676,707,0.94359,0.97307
2000,1st Quintile,Urban regions,Yes,0.12462,206,1605,0.10846,0.14079
2000,1st Quintile,Urban regions,No,0.87538,1399,1605,0.85921,0.89154
2000,1st Quintile,Rural regions,Yes,0.14149,169,975,0.11961,0.16338
2000,1st Quintile,Rural regions,No,0.85851,806,975,0.83662,0.88039
2000,2nd Quintile,Urban regions,Yes,0.05261,116,1715,0.04204,0.06318
2000,2nd Quintile,Urban regions,No,0.94739,1599,1715,0.93682,0.95796
2000,2nd Quintile,Rural regions,Yes,0.07114,83,1026,0.05541,0.08688
2000,2nd Quintile,Rural regions,No,0.92886,943,1026,0.91312,0.94459
2000,3rd Quintile,Urban regions,Yes,0.03148,67,1623,0.02298,0.03997
2000,3rd Quintile,Urban regions,No,0.96852,1556,1623,0.96003,0.97702
2000,3rd Quintile,Rural regions,Yes,0.08202,91,1109,0.06587,0.09818
2000,3rd Quintile,Rural regions,No,0.91798,1018,1109,0.90182,0.93413
2000,4th Quintile,Urban regions,Yes,0.01987,52,1811,0.01344,0.02630
2000,4th Quintile,Urban regions,No,0.98013,1759,1811,0.97370,0.98656
2000,4th Quintile,Rural regions,Yes,0.04620,46,881,0.03233,0.06007
2000,4th Quintile,Rural regions,No,0.95380,835,881,0.93993,0.96767
2000,5th Quintile,Urban regions,Yes,0.02008,46,1872,0.01372,0.02643
2000,5th Quintile,Urban regions,No,0.97992,1826,1872,0.97357,0.98628
2000,5th Quintile,Rural regions,No,0.96826,640,640,0.95467,0.98186
2001,1st Quintile,Urban regions,Yes,0.13086,328,2452,0.11751,0.14422
2001,1st Quintile,Urban regions,No,0.86914,2124,2452,0.85578,0.88249
2001,1st Quintile,Rural regions,Yes,0.16597,272,1428,0.14666,0.18527
2001,1st Quintile,Rural regions,No,0.83403,1156,1428,0.81473,0.85334
2001,2nd Quintile,Urban regions,Yes,0.04921,145,2620,0.04092,0.05749
2001,2nd Quintile,Urban regions,No,0.95079,2475,2620,0.94251,0.95908
2001,2nd Quintile,Rural regions,Yes,0.07907,159,1730,0.06635,0.09179
2001,2nd Quintile,Rural regions,No,0.92093,1571,1730,0.90821,0.93365
2001,3rd Quintile,Urban regions,Yes,0.03635,109,2845,0.02947,0.04323
2001,3rd Quintile,Urban regions,No,0.96365,2736,2845,0.95677,0.97053
2001,3rd Quintile,Rural regions,Yes,0.05857,106,1696,0.04739,0.06975
2001,3rd Quintile,Rural regions,No,0.94143,1590,1696,0.93025,0.95261
2001,4th Quintile,Urban regions,Yes,0.02504,86,2996,0.01945,0.03064
2001,4th Quintile,Urban regions,No,0.97496,2910,2996,0.96936,0.98055
2001,4th Quintile,Rural regions,Yes,0.04784,88,1619,0.03744,0.05824
2001,4th Quintile,Rural regions,No,0.95216,1531,1619,0.94176,0.96256
2001,5th Quintile,Urban regions,Yes,0.01762,66,3420,0.01321,0.02204
2001,5th Quintile,Urban regions,No,0.98238,3354,3420,0.97796,0.98679
2001,5th Quintile,Rural regions,Yes,0.03568,41,1112,0.02477,0.04659
2001,5th Quintile,Rural regions,No,0.96432,1071,1112,0.95341,0.97523
2002,1st Quintile,Urban regions,Yes,0.14856,325,2171,0.13360,0.16352
2002,1st Quintile,Urban regions,No,0.85144,1846,2171,0.83648,0.86640
2002,1st Quintile,Rural regions,Yes,0.17729,259,1298,0.15650,0.19807
2002,1st Quintile,Rural regions,No,0.82271,1039,1298,0.80193,0.84350
2002,2nd Quintile,Urban regions,Yes,0.06223,149,2375,0.05251,0.07195
2002,2nd Quintile,Urban regions,No,0.93777,2226,2375,0.92805,0.94749
2002,2nd Quintile,Rural regions,Yes,0.07662,141,1548,0.06337,0.08988
2002,2nd Quintile,Rural regions,No,0.92338,1407,1548,0.91012,0.93663
2002,3rd Quintile,Urban regions,Yes,0.03633,107,2579,0.02911,0.04355
2002,3rd Quintile,Urban regions,No,0.96367,2472,2579,0.95645,0.97089
2002,3rd Quintile,Rural regions,Yes,0.08001,119,1461,0.06610,0.09393
2002,3rd Quintile,Rural regions,No,0.91999,1342,1461,0.90607,0.93390
2002,4th Quintile,Urban regions,Yes,0.03065,90,2758,0.02422,0.03709
2002,4th Quintile,Urban regions,No,0.96935,2668,2758,0.96291,0.97578
2002,4th Quintile,Rural regions,Yes,0.05103,80,1610,0.04028,0.06179
2002,4th Quintile,Rural regions,No,0.94897,1530,1610,0.93821,0.95972
2002,5th Quintile,Urban regions,Yes,0.02423,79,3688,0.01927,0.02919
2002,5th Quintile,Urban regions,No,0.97577,3609,3688,0.97081,0.98073
2002,5th Quintile,Rural regions,Yes,0.03456,44,1311,0.02466,0.04445
2002,5th Quintile,Rural regions,No,0.96544,1267,1311,0.95555,0.97534
2003,1st Quintile,Urban regions,Yes,0.17376,373,2188,0.15788,0.18964
2003,1st Quintile,Urban regions,No,0.82624,1815,2188,0.81036,0.84212
2003,1st Quintile,Rural regions,Yes,0.20924,277,1220,0.18641,0.23208
2003,1st Quintile,Rural regions,No,0.79076,943,1220,0.76792,0.81359
2003,2nd Quintile,Urban regions,Yes,0.06603,176,2302,0.05588,0.07617
2003,2nd Quintile,Urban regions,No,0.93397,2126,2302,0.92383,0.94412
2003,2nd Quintile,Rural regions,Yes,0.09468,161,1559,0.08014,0.10922
2003,2nd Quintile,Rural regions,No,0.90532,1398,1559,0.89078,0.91986
2003,3rd Quintile,Urban regions,Yes,0.03908,119,2576,0.03160,0.04657
2003,3rd Quintile,Urban regions,No,0.96092,2457,2576,0.95343,0.96840
2003,3rd Quintile,Rural regions,Yes,0.07368,109,1493,0.06042,0.08693
2003,3rd Quintile,Rural regions,No,0.92632,1384,1493,0.91307,0.93958
2003,4th Quintile,Urban regions,Yes,0.03107,92,2908,0.02477,0.03738
2003,4th Quintile,Urban regions,No,0.96893,2816,2908,0.96262,0.97523
2003,4th Quintile,Rural regions,Yes,0.05552,85,1557,0.04414,0.06690
2003,4th Quintile,Rural regions,No,0.94448,1472,1557,0.93310,0.95586
2003,5th Quintile,Urban regions,Yes,0.02065,106,4785,0.01662,0.02468
2003,5th Quintile,Urban regions,No,0.97935,4679,4785,0.97532,0.98338
2003,5th Quintile,Rural regions,Yes,0.02713,37,1572,0.01910,0.03516
2003,5th Quintile,Rural regions,No,0.97287,1535,1572,0.96484,0.98090
2004,1st Quintile,Urban regions,Yes,0.18476,364,2071,0.16804,0.20148
2004,1st Quintile,Urban regions,No,0.81524,1707,2071,0.79852,0.83196
2004,1st Quintile,Rural regions,Yes,0.23387,298,1194,0.20985,0.25789
2004,1st Quintile,Rural regions,No,0.76613,896,1194,0.74211,0.79015
2004,2nd Quintile,Urban regions,Yes,0.06618,175,2316,0.05606,0.07631
