,Unnamed: 0,year,sex,plb0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
108,108,2012,male,Yes,0.06217,769,27635,0.05769,0.06685
109,109,2012,male,No,0.93783,11784,27635,0.91823,0.95559
110,110,2012,female,Yes,0.05764,1198,27635,0.05362,0.06117
111,111,2012,female,No,0.94236,13884,27635,0.92805,0.96199
112,112,2013,male,Yes,0.06524,1039,30623,0.06071,0.07046
113,113,2013,male,No,0.93476,12944,30623,0.91665,0.95337
114,114,2013,female,Yes,0.05941,1484,30623,0.05565,0.06383
115,115,2013,female,No,0.94059,15156,30623,0.92296,0.95792
116,116,2014,male,Yes,0.06461,845,27076,0.05924,0.06994
117,117,2014,male,No,0.93539,11584,27076,0.91657,0.95355
118,118,2014,female,Yes,0.05584,1140,27076,0.05211,0.06035
119,119,2014,female,No,0.94416,13507,27076,0.92528,0.95937
120,120,2015,male,Yes,0.06649,872,26777,0.06041,0.07173
121,121,2015,male,No,0.93351,11433,26777,0.91326,0.9525
122,122,2015,female,Yes,0.0546,1156,26777,0.05125,0.05881
123,123,2015,female,No,0.9454,13316,26777,0.92659,0.96475
124,124,2016,male,Yes,0.06449,722,24282,0.05733,0.07324
125,125,2016,male,No,0.93551,10400,24282,0.91497,0.95661
126,126,2016,female,Yes,0.05161,955,24282,0.04818,0.05503
127,127,2016,female,No,0.94839,12205,24282,0.93016,0.96786
128,128,2017,male,Yes,0.06292,1319,28641,0.05705,0.06886
129,129,2017,male,No,0.93708,12225,28641,0.91707,0.95434
130,130,2017,female,Yes,0.04869,1302,28641,0.04446,0.05229
131,131,2017,female,No,0.95131,13795,28641,0.93173,0.96702
132,132,2018,male,Yes,0.05948,1484,28804,0.05342,0.06574
133,133,2018,male,No,0.94052,12204,28804,0.92184,0.95979
134,134,2018,female,Yes,0.04875,1487,28804,0.04451,0.05276
135,135,2018,female,No,0.95125,13629,28804,0.93339,0.96888
136,136,2019,male,Yes,0.05354,1275,28788,0.04783,0.06123
137,137,2019,male,No,0.94646,12836,28788,0.92436,0.96997
138,138,2019,female,Yes,0.04593,1331,28788,0.04203,0.05049
139,139,2019,female,No,0.95407,13346,28788,0.93481,0.97505
140,140,2020,male,Yes,0.05185,1081,28402,0.04731,0.05802
141,141,2020,male,No,0.94815,12886,28402,0.92692,0.96862
142,142,2020,female,Yes,0.04577,1170,28402,0.04115,0.05104
143,143,2020,female,No,0.95423,13265,28402,0.93204,0.9758
144,144,2021,male,Yes,0.05108,621,19230,0.04378,0.05938
145,145,2021,male,No,0.94892,8717,19230,0.92228,0.97436
146,146,2021,female,Yes,0.04417,703,19230,0.03835,0.05033
147,147,2021,female,No,0.95583,9189,19230,0.92804,0.98332
