,Unnamed: 0,year,regtyp,sampreg,plb0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
26,26,1991,Urban regions,East,Yes,0.09165,119,13268,0.08326,0.09968
27,27,1991,Urban regions,East,No,0.90835,1191,13268,0.88083,0.93712
28,28,1991,Rural regions,West,Yes,0.02885,74,13268,0.02271,0.03495
29,29,1991,Rural regions,West,No,0.97115,1890,13268,0.95123,0.99289
30,30,1991,Rural regions,East,Yes,0.09847,278,13268,0.09199,0.10675
31,31,1991,Rural regions,East,No,0.90153,2433,13268,0.88377,0.92108
32,32,1992,Urban regions,West,Yes,0.0346,294,12910,0.03141,0.03807
33,33,1992,Urban regions,West,No,0.9654,6864,12910,0.94808,0.98127
34,34,1992,Urban regions,East,Yes,0.14866,196,12910,0.14039,0.1591
35,35,1992,Urban regions,East,No,0.85134,1103,12910,0.82436,0.87763
36,36,1992,Rural regions,West,Yes,0.02865,68,12910,0.02448,0.03317
37,37,1992,Rural regions,West,No,0.97135,1876,12910,0.94553,1.00127
38,38,1992,Rural regions,East,Yes,0.14541,361,12910,0.13782,0.15258
39,39,1992,Rural regions,East,No,0.85459,2148,12910,0.83449,0.87194
40,40,1993,Urban regions,West,Yes,0.03966,331,12916,0.03562,0.04353
41,41,1993,Urban regions,West,No,0.96034,6814,12916,0.94462,0.97749
42,42,1993,Urban regions,East,Yes,0.13387,176,12916,0.12377,0.14444
43,43,1993,Urban regions,East,No,0.86613,1122,12916,0.84172,0.89275
44,44,1993,Rural regions,West,Yes,0.04069,99,12916,0.0344,0.04637
45,45,1993,Rural regions,West,No,0.95931,1881,12916,0.93221,0.98263
46,46,1993,Rural regions,East,Yes,0.15379,377,12916,0.14611,0.16238
47,47,1993,Rural regions,East,No,0.84621,2116,12916,0.82677,0.86556
48,48,1994,Urban regions,West,Yes,0.04833,424,12768,0.04419,0.05242
49,49,1994,Urban regions,West,No,0.95167,6666,12768,0.93453,0.97085
50,50,1994,Urban regions,East,Yes,0.12521,164,12768,0.11455,0.13549
51,51,1994,Urban regions,East,No,0.87479,1132,12768,0.84853,0.90434
52,52,1994,Rural regions,West,Yes,0.0566,120,12768,0.04826,0.06359
53,53,1994,Rural regions,West,No,0.9434,1818,12768,0.91633,0.97249
54,54,1994,Rural regions,East,Yes,0.16368,391,12768,0.15509,0.17439
55,55,1994,Rural regions,East,No,0.83632,2053,12768,0.81199,0.85838
56,56,1995,Urban regions,West,Yes,0.05415,471,13123,0.0504,0.05884
57,57,1995,Urban regions,West,No,0.94585,6944,13123,0.92791,0.96033
58,58,1995,Urban regions,East,Yes,0.12345,146,13123,0.11294,0.13394
59,59,1995,Urban regions,East,No,0.87655,1049,13123,0.84307,0.90996
60,60,1995,Rural regions,West,Yes,0.06226,137,13123,0.05405,0.07326
61,61,1995,Rural regions,West,No,0.93774,1934,13123,0.90972,0.96485
62,62,1995,Rural regions,East,Yes,0.12612,311,13123,0.11838,0.13546
63,63,1995,Rural regions,East,No,0.87388,2131,13123,0.85364,0.89977
64,64,1996,Urban regions,West,Yes,0.05775,449,12748,0.05283,0.06421
65,65,1996,Urban regions,West,No,0.94225,6689,12748,0.92499,0.96353
66,66,1996,Urban regions,East,Yes,0.11705,143,12748,0.10749,0.1276
67,67,1996,Urban regions,East,No,0.88295,1047,12748,0.85217,0.91413
68,68,1996,Rural regions,West,Yes,0.05398,133,12748,0.04639,0.06129
69,69,1996,Rural regions,West,No,0.94602,1905,12748,0.9217,0.97983
70,70,1996,Rural regions,East,Yes,0.13339,324,12748,0.1256,0.14234
71,71,1996,Rural regions,East,No,0.86661,2058,12748,0.84695,0.88908
72,72,1997,Urban regions,West,Yes,0.06013,499,12826,0.05579,0.06561
73,73,1997,Urban regions,West,No,0.93987,6659,12826,0.924,0.95721
74,74,1997,Urban regions,East,Yes,0.12546,145,12826,0.11434,0.13994
75,75,1997,Urban regions,East,No,0.87454,1065,12826,0.84152,0.90487
76,76,1997,Rural regions,West,Yes,0.06313,127,12826,0.05485,0.07643
77,77,1997,Rural regions,West,No,0.93687,1907,12826,0.90731,0.9676
78,78,1997,Rural regions,East,Yes,0.13058,313,12826,0.11937,0.141
79,79,1997,Rural regions,East,No,0.86942,2111,12826,0.84536,0.89562
80,80,1998,Urban regions,West,Yes,0.054,474,14113,0.0507,0.05812
81,81,1998,Urban regions,West,No,0.946,7479,14113,0.93175,0.96126
82,82,1998,Urban regions,East,Yes,0.1123,146,14113,0.10259,0.12492
83,83,1998,Urban regions,East,No,0.8877,1099,14113,0.85102,0.91969
84,84,1998,Rural regions,West,Yes,0.054,137,14113,0.04566,0.06237
85,85,1998,Rural regions,West,No,0.946,2198,14113,0.9227,0.9724
86,86,1998,Rural regions,East,Yes,0.14856,393,14113,0.13936,0.1582
87,87,1998,Rural regions,East,No,0.85144,2187,14113,0.82756,0.87311
88,88,1999,Urban regions,West,Yes,0.04917,411,13615,0.04575,0.05258
89,89,1999,Urban regions,West,No,0.95083,7212,13615,0.93264,0.96728
90,90,1999,Urban regions,East,Yes,0.10776,135,13615,0.096,0.12014
91,91,1999,Urban regions,East,No,0.89224,1095,13615,0.85969,0.9223
92,92,1999,Rural regions,West,Yes,0.043,98,13615,0.03621,0.04918
93,93,1999,Rural regions,West,No,0.957,2145,13615,0.92588,0.98596
94,94,1999,Rural regions,East,Yes,0.11814,308,13615,0.11102,0.12713
95,95,1999,Rural regions,East,No,0.88186,2211,13615,0.85994,0.90332
96,96,2000,Urban regions,West,Yes,0.03972,621,24107,0.03797,0.04225
97,97,2000,Urban regions,West,No,0.96028,13238,24107,0.95078,0.96851
98,98,2000,Urban regions,East,Yes,0.10031,205,24107,0.09242,0.11088
99,99,2000,Urban regions,East,No,0.89969,1647,24107,0.87828,0.92424
100,100,2000,Rural regions,West,Yes,0.03492,168,24107,0.03186,0.03841
101,101,2000,Rural regions,West,No,0.96508,4232,24107,0.94824,0.98209
102,102,2000,Rural regions,East,Yes,0.12098,507,24107,0.1155,0.12687
103,103,2000,Rural regions,East,No,0.87902,3489,24107,0.86481,0.89347
104,104,2001,Urban regions,West,Yes,0.04423,548,21921,0.04215,0.04664
105,105,2001,Urban regions,West,No,0.95577,12004,21921,0.94591,0.96778
106,106,2001,Urban regions,East,Yes,0.09697,188,21921,0.08981,0.10359
107,107,2001,Urban regions,East,No,0.90303,1562,21921,0.87469,0.92845
108,108,2001,Rural regions,West,Yes,0.04685,190,21921,0.04298,0.05124
109,109,2001,Rural regions,West,No,0.95315,3744,21921,0.93418,0.97047
110,110,2001,Rural regions,East,Yes,0.12568,476,21921,0.12041,0.13234
111,111,2001,Rural regions,East,No,0.87432,3209,21921,0.85551,0.89371
112,112,2002,Urban regions,West,Yes,0.05058,580,23026,0.04785,0.05354
113,113,2002,Urban regions,West,No,0.94942,12921,23026,0.93769,0.96137
114,114,2002,Urban regions,East,Yes,0.11161,192,23026,0.10174,0.12224
115,115,2002,Urban regions,East,No,0.88839,1579,23026,0.85901,0.91932
116,116,2002,Rural regions,West,Yes,0.05006,184,23026,0.04589,0.0549
117,117,2002,Rural regions,West,No,0.94994,3912,23026,0.92742,0.96966
118,118,2002,Rural regions,East,Yes,0.13679,467,23026,0.13042,0.14396
119,119,2002,Rural regions,East,No,0.86321,3191,23026,0.84508,0.8827
120,120,2003,Urban regions,West,Yes,0.05621,650,22164,0.05297,0.05918
121,121,2003,Urban regions,West,No,0.94379,12319,22164,0.92991,0.95799
122,122,2003,Urban regions,East,Yes,0.12999,216,22164,0.11877,0.14356
123,123,2003,Urban regions,East,No,0.87001,1548,22164,0.83556,0.9035
124,124,2003,Rural regions,West,Yes,0.06144,187,22164,0.05604,0.06729
125,125,2003,Rural regions,West,No,0.93856,3664,22164,0.91814,0.96074
126,126,2003,Rural regions,East,Yes,0.14061,483,22164,0.1325,0.14966
127,127,2003,Rural regions,East,No,0.85939,3097,22164,0.83856,0.87782
128,128,2004,Urban regions,West,Yes,0.06091,672,21612,0.05759,0.06495
129,129,2004,Urban regions,West,No,0.93909,11917,21612,0.92523,0.95277
130,130,2004,Urban regions,East,Yes,0.13614,206,21612,0.1207,0.15027
131,131,2004,Urban regions,East,No,0.86386,1558,21612,0.82957,0.89933
132,132,2004,Rural regions,West,Yes,0.06982,212,21612,0.0638,0.07699
133,133,2004,Rural regions,West,No,0.93018,3588,21612,0.9069,0.95561
134,134,2004,Rural regions,East,Yes,0.14542,449,21612,0.13474,0.15662
135,135,2004,Rural regions,East,No,0.85458,3010,21612,0.82902,0.87546
136,136,2005,Urban regions,West,Yes,0.06736,668,20697,0.06354,0.07076
137,137,2005,Urban regions,West,No,0.93264,11382,20697,0.9197,0.94637
138,138,2005,Urban regions,East,Yes,0.12028,185,20697,0.10764,0.13478
139,139,2005,Urban regions,East,No,0.87972,1520,20697,0.8411,0.91359
140,140,2005,Rural regions,West,Yes,0.06091,191,20697,0.05374,0.06855
141,141,2005,Rural regions,West,No,0.93909,3419,20697,0.91675,0.96488
142,142,2005,Rural regions,East,Yes,0.15074,444,20697,0.13835,0.16651
143,143,2005,Rural regions,East,No,0.84926,2888,20697,0.82195,0.87205
144,144,2006,Urban regions,West,Yes,0.07034,735,21967,0.06704,0.07417
145,145,2006,Urban regions,West,No,0.92966,11958,21967,0.91653,0.94212
146,146,2006,Urban regions,East,Yes,0.13298,204,21967,0.11947,0.14502
147,147,2006,Urban regions,East,No,0.86702,1542,21967,0.83624,0.8988
148,148,2006,Rural regions,West,Yes,0.06408,222,21967,0.05793,0.07021
149,149,2006,Rural regions,West,No,0.93592,3777,21967,0.91007,0.95888
150,150,2006,Rural regions,East,Yes,0.14956,478,21967,0.13738,0.15972
151,151,2006,Rural regions,East,No,0.85044,3051,21967,0.82513,0.87576
152,152,2007,Urban regions,West,Yes,0.06603,603,20509,0.06203,0.07019
153,153,2007,Urban regions,West,No,0.93397,11165,20509,0.91971,0.94856
154,154,2007,Urban regions,East,Yes,0.12963,186,20509,0.11332,0.14688
155,155,2007,Urban regions,East,No,0.87037,1486,20509,0.83016,0.91088
156,156,2007,Rural regions,West,Yes,0.05452,178,20509,0.04795,0.05989
157,157,2007,Rural regions,West,No,0.94548,3552,20509,0.9233,0.97364
158,158,2007,Rural regions,East,Yes,0.13239,400,20509,0.12144,0.14645
159,159,2007,Rural regions,East,No,0.86761,2939,20509,0.84173,0.89787
160,160,2008,Urban regions,West,Yes,0.05443,480,19316,0.05069,0.0579
161,161,2008,Urban regions,West,No,0.94557,10566,19316,0.93057,0.95941
162,162,2008,Urban regions,East,Yes,0.12225,161,19316,0.10719,0.13552
163,163,2008,Urban regions,East,No,0.87775,1456,19316,0.84234,0.91644
164,164,2008,Rural regions,West,Yes,0.04729,154,19316,0.04173,0.05241
165,165,2008,Rural regions,West,No,0.95271,3346,19316,0.9274,0.98199
166,166,2008,Rural regions,East,Yes,0.12687,361,19316,0.11591,0.1394
167,167,2008,Rural regions,East,No,0.87313,2792,19316,0.84337,0.90361
168,168,2009,Urban regions,West,Yes,0.05727,456,18017,0.05286,0.06158
169,169,2009,Urban regions,West,No,0.94273,9692,18017,0.92393,0.95899
170,170,2009,Urban regions,East,Yes,0.10362,139,18017,0.08578,0.12044
171,171,2009,Urban regions,East,No,0.89638,1394,18017,0.85194,0.94621
172,172,2009,Rural regions,West,Yes,0.04694,144,18017,0.04116,0.0525
173,173,2009,Rural regions,West,No,0.95306,3184,18017,0.92036,0.98257
174,174,2009,Rural regions,East,Yes,0.13644,332,18017,0.12165,0.15291
175,175,2009,Rural regions,East,No,0.86356,2676,18017,0.82543,0.89709
176,176,2010,Urban regions,West,Yes,0.06349,999,23965,0.05839,0.06868
177,177,2010,Urban regions,West,No,0.93651,12724,23965,0.91563,0.95609
178,178,2010,Urban regions,East,Yes,0.11168,239,23965,0.09401,0.13057
179,179,2010,Urban regions,East,No,0.88832,1657,23965,0.84249,0.94334
180,180,2010,Rural regions,West,Yes,0.04961,337,23965,0.03941,0.05722
181,181,2010,Rural regions,West,No,0.95039,4435,23965,0.91461,0.98747
182,182,2010,Rural regions,East,Yes,0.11687,487,23965,0.10463,0.13029
183,183,2010,Rural regions,East,No,0.88313,3087,23965,0.84988,0.92233
184,184,2011,Urban regions,West,Yes,0.04966,938,28369,0.04576,0.05336
185,185,2011,Urban regions,West,No,0.95034,15045,28369,0.93239,0.9675
186,186,2011,Urban regions,East,Yes,0.10226,249,28369,0.08885,0.11609
187,187,2011,Urban regions,East,No,0.89774,1930,28369,0.85223,0.93817
188,188,2011,Rural regions,West,Yes,0.04337,369,28369,0.0367,0.0498
189,189,2011,Rural regions,West,No,0.95663,5706,28369,0.92424,0.9845
190,190,2011,Rural regions,East,Yes,0.11059,542,28369,0.09997,0.12304
191,191,2011,Rural regions,East,No,0.88941,3590,28369,0.85984,0.91722
192,192,2012,Urban regions,West,Yes,0.04951,874,27635,0.04573,0.05365
193,193,2012,Urban regions,West,No,0.95049,14530,27635,0.93557,0.96673
194,194,2012,Urban regions,East,Yes,0.09459,239,27635,0.0815,0.10728
195,195,2012,Urban regions,East,No,0.90541,1853,27635,0.85736,0.9522
196,196,2012,Rural regions,West,Yes,0.04757,342,27635,0.04193,0.05371
197,197,2012,Rural regions,West,No,0.95243,5717,27635,0.92753,0.97818
198,198,2012,Rural regions,East,Yes,0.11766,512,27635,0.10548,0.12745
199,199,2012,Rural regions,East,No,0.88234,3568,27635,0.85395,0.91925
200,200,2013,Urban regions,West,Yes,0.05329,1341,30623,0.0493,0.05627
201,201,2013,Urban regions,West,No,0.94671,16672,30623,0.9272,0.96517
202,202,2013,Urban regions,East,Yes,0.0791,234,30623,0.06698,0.09083
203,203,2013,Urban regions,East,No,0.9209,1888,30623,0.86927,0.95974
204,204,2013,Rural regions,West,Yes,0.05584,449,30623,0.04785,0.06351
205,205,2013,Rural regions,West,No,0.94416,6054,30623,0.9153,0.9684
206,206,2013,Rural regions,East,Yes,0.11087,499,30623,0.09608,0.12375
207,207,2013,Rural regions,East,No,0.88913,3486,30623,0.86036,0.92489
208,208,2014,Urban regions,West,Yes,0.05275,1032,27076,0.04856,0.05683
209,209,2014,Urban regions,West,No,0.94725,14656,27076,0.92987,0.96563
210,210,2014,Urban regions,East,Yes,0.08587,199,27076,0.07311,0.10125
211,211,2014,Urban regions,East,No,0.91413,1737,27076,0.86995,0.96148
212,212,2014,Rural regions,West,Yes,0.0445,339,27076,0.03875,0.05142
213,213,2014,Rural regions,West,No,0.9555,5468,27076,0.92753,0.98619
214,214,2014,Rural regions,East,Yes,0.11357,415,27076,0.10297,0.12705
215,215,2014,Rural regions,East,No,0.88643,3230,27076,0.85296,0.91724
216,216,2015,Urban regions,West,Yes,0.0566,1106,26777,0.05219,0.06116
217,217,2015,Urban regions,West,No,0.9434,14438,26777,0.92663,0.96296
218,218,2015,Urban regions,East,Yes,0.08119,200,26777,0.06753,0.09276
219,219,2015,Urban regions,East,No,0.91881,1719,26777,0.87772,0.96425
220,220,2015,Rural regions,West,Yes,0.04184,351,26777,0.03676,0.04728
221,221,2015,Rural regions,West,No,0.95816,5476,26777,0.9279,0.98877
222,222,2015,Rural regions,East,Yes,0.10366,371,26777,0.08916,0.11919
223,223,2015,Rural regions,East,No,0.89634,3116,26777,0.86701,0.93781
224,224,2016,Urban regions,West,Yes,0.05241,885,24282,0.04812,0.05839
225,225,2016,Urban regions,West,No,0.94759,13101,24282,0.92718,0.96762
226,226,2016,Urban regions,East,Yes,0.08823,168,24282,0.07385,0.10447
227,227,2016,Urban regions,East,No,0.91177,1597,24282,0.85612,0.95709
228,228,2016,Rural regions,West,Yes,0.04227,300,24282,0.03604,0.04709
229,229,2016,Rural regions,West,No,0.95773,4963,24282,0.92271,0.99029
230,230,2016,Rural regions,East,Yes,0.09976,324,24282,0.08331,0.11491
231,231,2016,Rural regions,East,No,0.90024,2944,24282,0.8629,0.93676
232,232,2017,Urban regions,West,Yes,0.05261,1571,28641,0.04781,0.05738
233,233,2017,Urban regions,West,No,0.94739,14968,28641,0.93142,0.96091
234,234,2017,Urban regions,East,Yes,0.07708,234,28641,0.06667,0.08934
235,235,2017,Urban regions,East,No,0.92292,1872,28641,0.87835,0.98678
236,236,2017,Rural regions,West,Yes,0.04297,420,28641,0.03503,0.04935
237,237,2017,Rural regions,West,No,0.95703,5719,28641,0.9237,0.98789
238,238,2017,Rural regions,East,Yes,0.08448,396,28641,0.07348,0.09883
239,239,2017,Rural regions,East,No,0.91552,3461,28641,0.88444,0.95046
240,240,2018,Urban regions,West,Yes,0.05147,1760,28804,0.04625,0.05628
241,241,2018,Urban regions,West,No,0.94853,15060,28804,0.92955,0.96533
242,242,2018,Urban regions,East,Yes,0.07249,282,28804,0.0587,0.08691
243,243,2018,Urban regions,East,No,0.92751,1880,28804,0.87587,0.97865
244,244,2018,Rural regions,West,Yes,0.04249,496,28804,0.03555,0.0481
245,245,2018,Rural regions,West,No,0.95751,5534,28804,0.93006,0.98613
246,246,2018,Rural regions,East,Yes,0.07969,433,28804,0.0696,0.09122
247,247,2018,Rural regions,East,No,0.92031,3359,28804,0.88263,0.9628
248,248,2019,Urban regions,West,Yes,0.04609,1512,28241,0.04148,0.05089
249,249,2019,Urban regions,West,No,0.95391,14983,28241,0.9351,0.97318
250,250,2019,Urban regions,East,Yes,0.06478,220,28241,0.05006,0.08144
251,251,2019,Urban regions,East,No,0.93522,1900,28241,0.877,0.99355
252,252,2019,Rural regions,West,Yes,0.04219,488,28241,0.0348,0.04983
253,253,2019,Rural regions,West,No,0.95781,5363,28241,0.92086,0.99134
254,254,2019,Rural regions,East,Yes,0.07176,350,28241,0.05903,0.08502
255,255,2019,Rural regions,East,No,0.92824,3425,28241,0.88569,0.96437
256,256,2020,Urban regions,West,Yes,0.04513,1303,28410,0.04097,0.0499
257,257,2020,Urban regions,West,No,0.95487,15624,28410,0.93456,0.97586
258,258,2020,Urban regions,East,Yes,0.07132,239,28410,0.05438,0.08789
259,259,2020,Urban regions,East,No,0.92868,1865,28410,0.87359,0.98677
260,260,2020,Rural regions,West,Yes,0.0424,410,28410,0.03474,0.0492
261,261,2020,Rural regions,West,No,0.9576,5361,28410,0.92407,1.00201
262,262,2020,Rural regions,East,Yes,0.0678,299,28410,0.05708,0.07988
263,263,2020,Rural regions,East,No,0.9322,3309,28410,0.88875,0.97368
264,264,2021,Urban regions,West,Yes,0.04895,826,19236,0.04263,0.05623
265,265,2021,Urban regions,West,No,0.95105,10697,19236,0.92506,0.97618
266,266,2021,Urban regions,East,Yes,0.05213,136,19236,0.03942,0.06982
267,267,2021,Urban regions,East,No,0.94787,1373,19236,0.87736,1.02075
268,268,2021,Rural regions,West,Yes,0.03664,196,19236,0.02822,0.04453
269,269,2021,Rural regions,West,No,0.96336,3644,19236,0.91808,0.9998
270,270,2021,Rural regions,East,Yes,0.05828,167,19236,0.0481,0.07172
271,271,2021,Rural regions,East,No,0.94172,2197,19236,0.89387,1.00472
