year,quintil_oecd,sampreg,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1993,3rd Quintile,East,No,0.89191,723,812,0.87054,0.91328
1993,4th Quintile,West,Yes,0.03173,72,2105,0.02424,0.03922
1993,4th Quintile,West,No,0.96827,2033,2105,0.96078,0.97576
1993,4th Quintile,East,Yes,0.10325,44,470,0.07571,0.13079
1993,4th Quintile,East,No,0.89675,426,470,0.86921,0.92429
1993,5th Quintile,West,Yes,0.02220,59,2204,0.01605,0.02836
1993,5th Quintile,West,No,0.97780,2145,2204,0.97164,0.98395
1993,5th Quintile,East,No,0.90529,145,145,0.85746,0.95311
1994,1st Quintile,West,Yes,0.10131,170,1535,0.08621,0.11641
1994,1st Quintile,West,No,0.89869,1365,1535,0.88359,0.91379
1994,1st Quintile,East,Yes,0.22890,235,950,0.20217,0.25563
1994,1st Quintile,East,No,0.77110,715,950,0.74437,0.79783
1994,2nd Quintile,West,Yes,0.04721,96,1572,0.03672,0.05770
1994,2nd Quintile,West,No,0.95279,1476,1572,0.94230,0.96328
1994,2nd Quintile,East,Yes,0.12812,144,1070,0.10809,0.14816
1994,2nd Quintile,East,No,0.87188,926,1070,0.85184,0.89191
1994,3rd Quintile,West,Yes,0.05055,110,1807,0.04045,0.06066
1994,3rd Quintile,West,No,0.94945,1697,1807,0.93934,0.95955
1994,3rd Quintile,East,Yes,0.10638,92,891,0.08613,0.12664
1994,3rd Quintile,East,No,0.89362,799,891,0.87336,0.91387
1994,4th Quintile,West,Yes,0.03421,77,1979,0.02620,0.04222
1994,4th Quintile,West,No,0.96579,1902,1979,0.95778,0.97380
1994,4th Quintile,East,Yes,0.11650,58,549,0.08964,0.14336
1994,4th Quintile,East,No,0.88350,491,549,0.85664,0.91036
1994,5th Quintile,West,Yes,0.03376,91,2129,0.02609,0.04144
1994,5th Quintile,West,No,0.96624,2038,2129,0.95856,0.97391
1994,5th Quintile,East,No,0.88108,253,253,0.84111,0.92104
1995,1st Quintile,West,Yes,0.12508,239,1726,0.10947,0.14069
1995,1st Quintile,West,No,0.87492,1487,1726,0.85931,0.89053
1995,1st Quintile,East,Yes,0.19012,168,777,0.16251,0.21773
1995,1st Quintile,East,No,0.80988,609,777,0.78227,0.83749
1995,2nd Quintile,West,Yes,0.06578,121,1817,0.05438,0.07718
1995,2nd Quintile,West,No,0.93422,1696,1817,0.92282,0.94562
1995,2nd Quintile,East,Yes,0.12166,129,1024,0.10163,0.14169
1995,2nd Quintile,East,No,0.87834,895,1024,0.85831,0.89837
1995,3rd Quintile,West,Yes,0.04616,92,1844,0.03658,0.05574
1995,3rd Quintile,West,No,0.95384,1752,1844,0.94426,0.96342
1995,3rd Quintile,East,Yes,0.09813,76,850,0.07812,0.11815
1995,3rd Quintile,East,No,0.90187,774,850,0.88185,0.92188
1995,4th Quintile,West,Yes,0.03289,74,1973,0.02502,0.04076
1995,4th Quintile,West,No,0.96711,1899,1973,0.95924,0.97498
1995,4th Quintile,East,Yes,0.09609,58,661,0.07360,0.11857
1995,4th Quintile,East,No,0.90391,603,661,0.88143,0.92640
1995,5th Quintile,West,Yes,0.03075,81,2122,0.02340,0.03809
1995,5th Quintile,West,No,0.96925,2041,2122,0.96191,0.97660
1995,5th Quintile,East,No,0.91142,299,299,0.87916,0.94368
1996,1st Quintile,West,Yes,0.12027,225,1759,0.10506,0.13547
1996,1st Quintile,West,No,0.87973,1534,1759,0.86453,0.89494
1996,1st Quintile,East,Yes,0.19883,166,752,0.17028,0.22738
1996,1st Quintile,East,No,0.80117,586,752,0.77262,0.82972
1996,2nd Quintile,West,Yes,0.05904,112,1661,0.04770,0.07037
1996,2nd Quintile,West,No,0.94096,1549,1661,0.92963,0.95230
1996,2nd Quintile,East,Yes,0.11809,109,905,0.09705,0.13913
1996,2nd Quintile,East,No,0.88191,796,905,0.86087,0.90295
1996,3rd Quintile,West,Yes,0.05566,97,1736,0.04488,0.06645
1996,3rd Quintile,West,No,0.94434,1639,1736,0.93355,0.95512
1996,3rd Quintile,East,Yes,0.08935,84,876,0.07045,0.10825
1996,3rd Quintile,East,No,0.91065,792,876,0.89175,0.92955
1996,4th Quintile,West,Yes,0.04112,91,1980,0.03237,0.04987
1996,4th Quintile,West,No,0.95888,1889,1980,0.95013,0.96763
1996,4th Quintile,East,Yes,0.09999,62,676,0.07736,0.12262
1996,4th Quintile,East,No,0.90001,614,676,0.87738,0.92264
1996,5th Quintile,West,Yes,0.02543,56,2034,0.01858,0.03227
1996,5th Quintile,West,No,0.97457,1978,2034,0.96773,0.98142
1996,5th Quintile,East,Yes,0.12500,46,363,0.09093,0.15907
1996,5th Quintile,East,No,0.87500,317,363,0.84093,0.90907
1997,1st Quintile,West,Yes,0.14004,232,1679,0.12344,0.15665
1997,1st Quintile,West,No,0.85996,1447,1679,0.84335,0.87656
1997,1st Quintile,East,Yes,0.19459,146,710,0.16545,0.22373
1997,1st Quintile,East,No,0.80541,564,710,0.77627,0.83455
1997,2nd Quintile,West,Yes,0.06242,136,1753,0.05109,0.07374
1997,2nd Quintile,West,No,0.93758,1617,1753,0.92626,0.94891
1997,2nd Quintile,East,Yes,0.11149,121,987,0.09185,0.13114
1997,2nd Quintile,East,No,0.88851,866,987,0.86886,0.90815
1997,3rd Quintile,West,Yes,0.05400,112,1772,0.04347,0.06452
1997,3rd Quintile,West,No,0.94600,1660,1772,0.93548,0.95653
1997,3rd Quintile,East,Yes,0.10591,89,854,0.08526,0.12656
1997,3rd Quintile,East,No,0.89409,765,854,0.87344,0.91474
1997,4th Quintile,West,Yes,0.03854,75,1948,0.02999,0.04709
1997,4th Quintile,West,No,0.96146,1873,1948,0.95291,0.97001
1997,4th Quintile,East,Yes,0.09877,67,710,0.07681,0.12073
1997,4th Quintile,East,No,0.90123,643,710,0.87927,0.92319
1997,5th Quintile,West,Yes,0.02891,71,2040,0.02164,0.03618
1997,5th Quintile,West,No,0.97109,1969,2040,0.96382,0.97836
1997,5th Quintile,East,Yes,0.12983,35,373,0.09567,0.16398
1997,5th Quintile,East,No,0.87017,338,373,0.83602,0.90433
1998,1st Quintile,West,Yes,0.13861,239,1688,0.12212,0.15509
1998,1st Quintile,West,No,0.86139,1449,1688,0.84491,0.87788
1998,1st Quintile,East,Yes,0.24792,162,627,0.21409,0.28174
1998,1st Quintile,East,No,0.75208,465,627,0.71826,0.78591
1998,2nd Quintile,West,Yes,0.05681,110,1658,0.04566,0.06796
1998,2nd Quintile,West,No,0.94319,1548,1658,0.93204,0.95434
1998,2nd Quintile,East,Yes,0.13440,124,824,0.11110,0.15770
1998,2nd Quintile,East,No,0.86560,700,824,0.84230,0.88890
1998,3rd Quintile,West,Yes,0.04114,77,1626,0.03149,0.05080
1998,3rd Quintile,West,No,0.95886,1549,1626,0.94920,0.96851
1998,3rd Quintile,East,Yes,0.08949,95,922,0.07105,0.10792
1998,3rd Quintile,East,No,0.91051,827,922,0.89208,0.92895
1998,4th Quintile,West,Yes,0.03837,68,1878,0.02968,0.04706
1998,4th Quintile,West,No,0.96163,1810,1878,0.95294,0.97032
1998,4th Quintile,East,Yes,0.08728,64,707,0.06646,0.10810
1998,4th Quintile,East,No,0.91272,643,707,0.89190,0.93354
1998,5th Quintile,West,Yes,0.02563,52,1873,0.01847,0.03279
1998,5th Quintile,West,No,0.97437,1821,1873,0.96721,0.98153
1998,5th Quintile,East,Yes,0.10637,37,408,0.07642,0.13633
1998,5th Quintile,East,No,0.89363,371,408,0.86367,0.92358
1999,1st Quintile,West,Yes,0.10702,194,1785,0.09268,0.12137
1999,1st Quintile,West,No,0.89298,1591,1785,0.87863,0.90732
1999,1st Quintile,East,Yes,0.21043,170,794,0.18206,0.23880
1999,1st Quintile,East,No,0.78957,624,794,0.76120,0.81794
1999,2nd Quintile,West,Yes,0.05210,97,1842,0.04195,0.06225
1999,2nd Quintile,West,No,0.94790,1745,1842,0.93775,0.95805
1999,2nd Quintile,East,Yes,0.09472,118,1017,0.07671,0.11272
1999,2nd Quintile,East,No,0.90528,899,1017,0.88728,0.92329
1999,3rd Quintile,West,Yes,0.04295,93,1895,0.03382,0.05208
1999,3rd Quintile,West,No,0.95705,1802,1895,0.94792,0.96618
1999,3rd Quintile,East,Yes,0.09349,85,920,0.07466,0.11231
1999,3rd Quintile,East,No,0.90651,835,920,0.88769,0.92534
1999,4th Quintile,West,Yes,0.02760,73,2129,0.02064,0.03456
1999,4th Quintile,West,No,0.97240,2056,2129,0.96544,0.97936
1999,4th Quintile,East,Yes,0.07575,49,628,0.05504,0.09647
1999,4th Quintile,East,No,0.92425,579,628,0.90353,0.94496
1999,5th Quintile,West,Yes,0.02551,52,2215,0.01894,0.03207
1999,5th Quintile,West,No,0.97449,2163,2215,0.96793,0.98106
1999,5th Quintile,East,No,0.94206,369,369,0.91819,0.96593
2000,1st Quintile,West,Yes,0.10371,190,1753,0.08944,0.11799
2000,1st Quintile,West,No,0.89629,1563,1753,0.88201,0.91056
2000,1st Quintile,East,Yes,0.19701,185,827,0.16988,0.22413
2000,1st Quintile,East,No,0.80299,642,827,0.77587,0.83012
2000,2nd Quintile,West,Yes,0.04221,97,1810,0.03295,0.05148
2000,2nd Quintile,West,No,0.95779,1713,1810,0.94852,0.96705
2000,2nd Quintile,East,Yes,0.10183,102,931,0.08240,0.12127
2000,2nd Quintile,East,No,0.89817,829,931,0.87873,0.91760
2000,3rd Quintile,West,Yes,0.02808,58,1774,0.02039,0.03577
2000,3rd Quintile,West,No,0.97192,1716,1774,0.96423,0.97961
2000,3rd Quintile,East,Yes,0.10456,100,958,0.08517,0.12394
2000,3rd Quintile,East,No,0.89544,858,958,0.87606,0.91483
2000,4th Quintile,West,Yes,0.02045,52,2027,0.01429,0.02661
2000,4th Quintile,West,No,0.97955,1975,2027,0.97339,0.98571
2000,4th Quintile,East,Yes,0.05781,46,665,0.04006,0.07556
2000,4th Quintile,East,No,0.94219,619,665,0.92444,0.95994
2000,5th Quintile,West,Yes,0.01842,49,2190,0.01279,0.02405
2000,5th Quintile,West,No,0.98158,2141,2190,0.97595,0.98721
2000,5th Quintile,East,No,0.93420,325,325,0.90721,0.96120
2001,1st Quintile,West,Yes,0.11274,299,2701,0.10081,0.12467
2001,1st Quintile,West,No,0.88726,2402,2701,0.87533,0.89919
2001,1st Quintile,East,Yes,0.23478,301,1179,0.21057,0.25898
2001,1st Quintile,East,No,0.76522,878,1179,0.74102,0.78943
2001,2nd Quintile,West,Yes,0.04734,148,2953,0.03967,0.05500
2001,2nd Quintile,West,No,0.95266,2805,2953,0.94500,0.96033
2001,2nd Quintile,East,Yes,0.09748,156,1397,0.08192,0.11304
2001,2nd Quintile,East,No,0.90252,1241,1397,0.88696,0.91808
2001,3rd Quintile,West,Yes,0.03330,105,3234,0.02712,0.03949
2001,3rd Quintile,West,No,0.96670,3129,3234,0.96051,0.97288
2001,3rd Quintile,East,Yes,0.08134,110,1307,0.06652,0.09617
2001,3rd Quintile,East,No,0.91866,1197,1307,0.90383,0.93348
2001,4th Quintile,West,Yes,0.02691,106,3651,0.02166,0.03216
2001,4th Quintile,West,No,0.97309,3545,3651,0.96784,0.97834
2001,4th Quintile,East,Yes,0.06150,68,964,0.04633,0.07667
2001,4th Quintile,East,No,0.93850,896,964,0.92333,0.95367
2001,5th Quintile,West,Yes,0.01911,78,3944,0.01484,0.02338
2001,5th Quintile,West,No,0.98089,3866,3944,0.97662,0.98516
2001,5th Quintile,East,No,0.94974,559,559,0.93161,0.96787
2002,1st Quintile,West,Yes,0.12681,293,2403,0.11351,0.14012
2002,1st Quintile,West,No,0.87319,2110,2403,0.85988,0.88649
2002,1st Quintile,East,Yes,0.25762,291,1066,0.23135,0.28389
2002,1st Quintile,East,No,0.74238,775,1066,0.71611,0.76865
2002,2nd Quintile,West,Yes,0.05215,140,2699,0.04376,0.06054
2002,2nd Quintile,West,No,0.94785,2559,2699,0.93946,0.95624
2002,2nd Quintile,East,Yes,0.11478,150,1224,0.09691,0.13264
2002,2nd Quintile,East,No,0.88522,1074,1224,0.86736,0.90309
2002,3rd Quintile,West,Yes,0.03825,112,2866,0.03123,0.04527
2002,3rd Quintile,West,No,0.96175,2754,2866,0.95473,0.96877
2002,3rd Quintile,East,Yes,0.09414,114,1174,0.07743,0.11085
2002,3rd Quintile,East,No,0.90586,1060,1174,0.88915,0.92257
2002,4th Quintile,West,Yes,0.03198,107,3334,0.02600,0.03795
2002,4th Quintile,West,No,0.96802,3227,3334,0.96205,0.97400
2002,4th Quintile,East,Yes,0.06237,63,1034,0.04763,0.07712
2002,4th Quintile,East,No,0.93763,971,1034,0.92288,0.95237
2002,5th Quintile,West,Yes,0.02347,89,4306,0.01895,0.02799
2002,5th Quintile,West,No,0.97653,4217,4306,0.97201,0.98105
2002,5th Quintile,East,Yes,0.06134,34,693,0.04346,0.07922
2002,5th Quintile,East,No,0.93866,659,693,0.92078,0.95654
2003,1st Quintile,West,Yes,0.15368,342,2379,0.13918,0.16817
2003,1st Quintile,West,No,0.84632,2037,2379,0.83183,0.86082
2003,1st Quintile,East,Yes,0.28992,308,1029,0.26219,0.31766
2003,1st Quintile,East,No,0.71008,721,1029,0.68234,0.73781
2003,2nd Quintile,West,Yes,0.05890,155,2554,0.04977,0.06803
2003,2nd Quintile,West,No,0.94110,2399,2554,0.93197,0.95023
2003,2nd Quintile,East,Yes,0.12754,182,1307,0.10945,0.14563
2003,2nd Quintile,East,No,0.87246,1125,1307,0.85437,0.89055
2003,3rd Quintile,West,Yes,0.04005,116,2868,0.03288,0.04723
2003,3rd Quintile,West,No,0.95995,2752,2868,0.95277,0.96712
2003,3rd Quintile,East,Yes,0.08854,112,1201,0.07247,0.10461
2003,3rd Quintile,East,No,0.91146,1089,1201,0.89539,0.92753
2003,4th Quintile,West,Yes,0.03423,113,3474,0.02818,0.04028
2003,4th Quintile,West,No,0.96577,3361,3474,0.95972,0.97182
2003,4th Quintile,East,Yes,0.06170,64,991,0.04671,0.07669
2003,4th Quintile,East,No,0.93830,927,991,0.92331,0.95329
2003,5th Quintile,West,Yes,0.01935,110,5541,0.01572,0.02297
2003,5th Quintile,West,No,0.98065,5431,5541,0.97703,0.98428
2003,5th Quintile,East,Yes,0.05267,33,816,0.03734,0.06801
2003,5th Quintile,East,No,0.94733,783,816,0.93199,0.96266
2004,1st Quintile,West,Yes,0.16745,353,2254,0.15203,0.18286
2004,1st Quintile,West,No,0.83255,1901,2254,0.81714,0.84797
2004,1st Quintile,East,Yes,0.31019,309,1011,0.28166,0.33871
2004,1st Quintile,East,No,0.68981,702,1011,0.66129,0.71834
2004,2nd Quintile,West,Yes,0.06047,160,2532,0.05118,0.06975
2004,2nd Quintile,West,No,0.93953,2372,2532,0.93025,0.94882
2004,2nd Quintile,East,Yes,0.13388,178,1253,0.11502,0.15275
2004,2nd Quintile,East,No,0.86612,1075,1253,0.84725,0.88498
2004,3rd Quintile,West,Yes,0.05454,160,2842,0.04619,0.06289
2004,3rd Quintile,West,No,0.94546,2682,2842,0.93711,0.95381
2004,3rd Quintile,East,Yes,0.08475,87,1173,0.06880,0.10069
2004,3rd Quintile,East,No,0.91525,1086,1173,0.89931,0.93120
2004,4th Quintile,West,Yes,0.03387,104,3351,0.02774,0.03999
2004,4th Quintile,West,No,0.96613,3247,3351,0.96001,0.97226
2004,4th Quintile,East,Yes,0.05529,53,995,0.04108,0.06950
2004,4th Quintile,East,No,0.94471,942,995,0.93050,0.95892
2004,5th Quintile,West,Yes,0.02116,106,5407,0.01732,0.02500
2004,5th Quintile,West,No,0.97884,5301,5407,0.97500,0.98268
2004,5th Quintile,East,No,0.95475,763,763,0.93999,0.96951
2005,1st Quintile,West,Yes,0.19280,375,2139,0.17608,0.20952
2005,1st Quintile,West,No,0.80720,1764,2139,0.79048,0.82392
2005,1st Quintile,East,Yes,0.31543,314,1016,0.28685,0.34402
2005,1st Quintile,East,No,0.68457,702,1016,0.65598,0.71315
2005,2nd Quintile,West,Yes,0.06545,160,2411,0.05558,0.07533
2005,2nd Quintile,West,No,0.93455,2251,2411,0.92467,0.94442
2005,2nd Quintile,East,Yes,0.12490,158,1220,0.10634,0.14345
2005,2nd Quintile,East,No,0.87510,1062,1220,0.85655,0.89366
2005,3rd Quintile,West,Yes,0.04786,120,2678,0.03977,0.05595
2005,3rd Quintile,West,No,0.95214,2558,2678,0.94405,0.96023
2005,3rd Quintile,East,Yes,0.07393,83,1080,0.05832,0.08954
2005,3rd Quintile,East,No,0.92607,997,1080,0.91046,0.94168
2005,4th Quintile,West,Yes,0.03122,102,3318,0.02530,0.03714
2005,4th Quintile,West,No,0.96878,3216,3318,0.96286,0.97470
2005,4th Quintile,East,Yes,0.04757,46,985,0.03427,0.06087
2005,4th Quintile,East,No,0.95243,939,985,0.93913,0.96573
2005,5th Quintile,West,Yes,0.01959,101,5112,0.01579,0.02339
2005,5th Quintile,West,No,0.98041,5011,5112,0.97661,0.98421
2005,5th Quintile,East,No,0.95861,707,707,0.94392,0.97330
2006,1st Quintile,West,Yes,0.20143,395,2006,0.18388,0.21899
2006,1st Quintile,West,No,0.79857,1611,2006,0.78101,0.81612
2006,1st Quintile,East,Yes,0.35637,346,946,0.32583,0.38690
2006,1st Quintile,East,No,0.64363,600,946,0.61310,0.67417
2006,2nd Quintile,West,Yes,0.06767,141,2205,0.05718,0.07815
2006,2nd Quintile,West,No,0.93233,2064,2205,0.92185,0.94282
2006,2nd Quintile,East,Yes,0.09487,113,1115,0.07766,0.11207
2006,2nd Quintile,East,No,0.90513,1002,1115,0.88793,0.92234
2006,3rd Quintile,West,Yes,0.04329,95,2507,0.03533,0.05126
2006,3rd Quintile,West,No,0.95671,2412,2507,0.94874,0.96467
2006,3rd Quintile,East,Yes,0.06985,67,1074,0.05460,0.08510
2006,3rd Quintile,East,No,0.93015,1007,1074,0.91490,0.94540
2006,4th Quintile,West,Yes,0.02930,93,3099,0.02336,0.03524
2006,4th Quintile,West,No,0.97070,3006,3099,0.96476,0.97664
2006,4th Quintile,East,Yes,0.04348,45,874,0.02995,0.05700
2006,4th Quintile,East,No,0.95652,829,874,0.94300,0.97005
2006,5th Quintile,West,Yes,0.01788,90,4804,0.01413,0.02163
2006,5th Quintile,West,No,0.98212,4714,4804,0.97837,0.98587
2006,5th Quintile,East,No,0.96859,690,690,0.95556,0.98161
2007,1st Quintile,West,Yes,0.19765,397,2182,0.18094,0.21437
2007,1st Quintile,West,No,0.80235,1785,2182,0.78563,0.81906
2007,1st Quintile,East,Yes,0.34465,335,1015,0.31540,0.37390
2007,1st Quintile,East,No,0.65535,680,1015,0.62610,0.68460
2007,2nd Quintile,West,Yes,0.06004,128,2432,0.05060,0.06948
2007,2nd Quintile,West,No,0.93996,2304,2432,0.93052,0.94940
2007,2nd Quintile,East,Yes,0.10042,125,1086,0.08253,0.11830
2007,2nd Quintile,East,No,0.89958,961,1086,0.88170,0.91747
2007,3rd Quintile,West,Yes,0.03928,86,2706,0.03196,0.04660
2007,3rd Quintile,West,No,0.96072,2620,2706,0.95340,0.96804
2007,3rd Quintile,East,Yes,0.05243,65,1165,0.03962,0.06523
2007,3rd Quintile,East,No,0.94757,1100,1165,0.93477,0.96038
2007,4th Quintile,West,Yes,0.02901,94,3306,0.02329,0.03473
2007,4th Quintile,West,No,0.97099,3212,3306,0.96527,0.97671
2007,4th Quintile,East,Yes,0.03581,39,1013,0.02436,0.04725
2007,4th Quintile,East,No,0.96419,974,1013,0.95275,0.97564
2007,5th Quintile,West,Yes,0.01519,76,4870,0.01176,0.01863
2007,5th Quintile,West,No,0.98481,4794,4870,0.98137,0.98824
2007,5th Quintile,East,No,0.97754,709,709,0.96663,0.98845
2008,1st Quintile,West,Yes,0.17822,337,2037,0.16159,0.19484
2008,1st Quintile,West,No,0.82178,1700,2037,0.80516,0.83841
2008,1st Quintile,East,Yes,0.34118,308,937,0.31081,0.37156
2008,1st Quintile,East,No,0.65882,629,937,0.62844,0.68919
2008,2nd Quintile,West,Yes,0.04149,94,2288,0.03332,0.04966
2008,2nd Quintile,West,No,0.95851,2194,2288,0.95034,0.96668
2008,2nd Quintile,East,Yes,0.09086,98,1090,0.07379,0.10793
2008,2nd Quintile,East,No,0.90914,992,1090,0.89207,0.92621
2008,3rd Quintile,West,Yes,0.03061,72,2611,0.02401,0.03722
2008,3rd Quintile,West,No,0.96939,2539,2611,0.96278,0.97599
2008,3rd Quintile,East,Yes,0.05127,69,1207,0.03882,0.06372
2008,3rd Quintile,East,No,0.94873,1138,1207,0.93628,0.96118
2008,4th Quintile,West,Yes,0.02085,72,3063,0.01579,0.02591
