year,age_gr,quintil_oecd,plj0047,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,46-65 y.,3rd Quintile,Not concerned at all,0.01581,39,159,-0.00364,0.03526
1992,46-65 y.,4th Quintile,Very concerned,0.02565,52,192,0.00323,0.04807
1992,46-65 y.,4th Quintile,Somewhat concerned,0.03542,99,192,0.00921,0.06164
1992,46-65 y.,4th Quintile,Not concerned at all,0.01905,41,192,-0.00034,0.03844
1993,17-29 y.,1st Quintile,Very concerned,0.11236,150,218,0.07034,0.15437
1993,17-29 y.,1st Quintile,Somewhat concerned,0.05068,68,218,0.02149,0.07986
1993,17-29 y.,2nd Quintile,Very concerned,0.08189,113,195,0.04330,0.12047
1993,17-29 y.,2nd Quintile,Somewhat concerned,0.05449,82,195,0.02255,0.08643
1993,17-29 y.,3rd Quintile,Very concerned,0.05375,92,167,0.01944,0.08806
1993,17-29 y.,3rd Quintile,Somewhat concerned,0.03974,75,167,0.01002,0.06946
1993,17-29 y.,4th Quintile,Very concerned,0.03215,50,124,0.00097,0.06332
1993,17-29 y.,4th Quintile,Somewhat concerned,0.03692,74,124,0.00360,0.07025
1993,30-45 y.,1st Quintile,Very concerned,0.05303,72,117,0.01225,0.09381
1993,30-45 y.,1st Quintile,Somewhat concerned,0.03294,45,117,0.00046,0.06542
1993,30-45 y.,2nd Quintile,Very concerned,0.04958,86,160,0.01584,0.08333
1993,30-45 y.,2nd Quintile,Somewhat concerned,0.03476,74,160,0.00629,0.06324
1993,30-45 y.,3rd Quintile,Very concerned,0.02629,53,112,-0.00348,0.05605
1993,30-45 y.,3rd Quintile,Somewhat concerned,0.02635,59,112,-0.00345,0.05614
1993,30-45 y.,4th Quintile,Very concerned,0.02136,43,97,-0.00756,0.05028
1993,30-45 y.,4th Quintile,Somewhat concerned,0.02541,54,97,-0.00607,0.05688
1993,46-65 y.,1st Quintile,Very concerned,0.06557,105,170,0.02825,0.10289
1993,46-65 y.,1st Quintile,Somewhat concerned,0.04103,65,170,0.01112,0.07093
1993,46-65 y.,2nd Quintile,Very concerned,0.04047,69,136,0.00723,0.07371
1993,46-65 y.,2nd Quintile,Somewhat concerned,0.04068,67,136,0.00736,0.07401
1993,46-65 y.,3rd Quintile,Very concerned,0.03279,59,126,0.00157,0.06401
1993,46-65 y.,3rd Quintile,Somewhat concerned,0.03504,67,126,0.00280,0.06727
1993,46-65 y.,4th Quintile,Very concerned,0.02477,51,148,-0.00036,0.04990
1993,46-65 y.,4th Quintile,Somewhat concerned,0.02547,64,148,-0.00000,0.05093
1993,46-65 y.,4th Quintile,Not concerned at all,0.01231,33,148,-0.00551,0.03014
1993,46-65 y.,5th Quintile,Very concerned,0.01193,36,75,-0.01281,0.03666
1993,46-65 y.,5th Quintile,Somewhat concerned,0.01305,39,75,-0.01281,0.03892
1994,17-29 y.,1st Quintile,Very concerned,0.12324,144,240,0.08157,0.16492
1994,17-29 y.,1st Quintile,Somewhat concerned,0.08062,96,240,0.04610,0.11514
1994,17-29 y.,2nd Quintile,Very concerned,0.07956,106,195,0.04148,0.11764
1994,17-29 y.,2nd Quintile,Somewhat concerned,0.06800,89,195,0.03257,0.10342
1994,17-29 y.,3rd Quintile,Very concerned,0.04761,71,133,0.01129,0.08394
1994,17-29 y.,3rd Quintile,Somewhat concerned,0.04411,62,133,0.00908,0.07914
1994,17-29 y.,4th Quintile,Very concerned,0.03208,51,104,-0.00195,0.06611
1994,17-29 y.,4th Quintile,Somewhat concerned,0.02588,53,104,-0.00479,0.05654
1994,30-45 y.,1st Quintile,Very concerned,0.06319,73,143,0.02317,0.10321
1994,30-45 y.,1st Quintile,Somewhat concerned,0.05005,70,143,0.01418,0.08591
1994,30-45 y.,2nd Quintile,Very concerned,0.05041,78,139,0.01391,0.08691
1994,30-45 y.,2nd Quintile,Somewhat concerned,0.02921,61,139,0.00111,0.05730
1994,30-45 y.,3rd Quintile,Very concerned,0.02801,52,112,-0.00268,0.05871
1994,30-45 y.,3rd Quintile,Somewhat concerned,0.02814,60,112,-0.00263,0.05890
1994,30-45 y.,4th Quintile,Very concerned,0.02355,42,78,-0.01032,0.05743
1994,30-45 y.,4th Quintile,Somewhat concerned,0.01970,36,78,-0.01134,0.05073
1994,46-65 y.,1st Quintile,Very concerned,0.07512,107,183,0.03683,0.11342
1994,46-65 y.,1st Quintile,Somewhat concerned,0.05129,76,183,0.01924,0.08334
1994,46-65 y.,2nd Quintile,Very concerned,0.04916,70,121,0.01048,0.08784
1994,46-65 y.,2nd Quintile,Somewhat concerned,0.03185,51,121,0.00043,0.06326
1994,46-65 y.,3rd Quintile,Very concerned,0.03386,57,134,0.00312,0.06460
1994,46-65 y.,3rd Quintile,Somewhat concerned,0.04335,77,134,0.00874,0.07795
1994,46-65 y.,4th Quintile,Very concerned,0.02586,44,112,-0.00367,0.05538
1994,46-65 y.,4th Quintile,Somewhat concerned,0.03400,68,112,0.00028,0.06771
1994,46-65 y.,5th Quintile,Somewhat concerned,0.01307,34,34,-0.02568,0.05183
1995,17-29 y.,1st Quintile,Very concerned,0.07623,113,202,0.03954,0.11291
1995,17-29 y.,1st Quintile,Somewhat concerned,0.04984,89,202,0.01975,0.07992
1995,17-29 y.,2nd Quintile,Very concerned,0.06896,102,210,0.03461,0.10331
1995,17-29 y.,2nd Quintile,Somewhat concerned,0.06132,108,210,0.02880,0.09385
1995,17-29 y.,3rd Quintile,Very concerned,0.02074,35,93,-0.00838,0.04985
1995,17-29 y.,3rd Quintile,Somewhat concerned,0.03060,58,93,-0.00459,0.06580
1995,17-29 y.,4th Quintile,Very concerned,0.02255,42,86,-0.00901,0.05411
1995,17-29 y.,4th Quintile,Somewhat concerned,0.02037,44,86,-0.00966,0.05040
1995,30-45 y.,1st Quintile,Very concerned,0.04516,75,140,0.01064,0.07968
1995,30-45 y.,1st Quintile,Somewhat concerned,0.03277,65,140,0.00317,0.06237
1995,30-45 y.,2nd Quintile,Very concerned,0.02358,58,132,-0.00240,0.04956
1995,30-45 y.,2nd Quintile,Somewhat concerned,0.03430,74,132,0.00314,0.06547
1995,30-45 y.,3rd Quintile,Very concerned,0.02017,39,94,-0.00840,0.04875
1995,30-45 y.,3rd Quintile,Somewhat concerned,0.01791,55,94,-0.00905,0.04486
1995,30-45 y.,4th Quintile,Somewhat concerned,0.01344,32,32,-0.02710,0.05398
1995,46-65 y.,1st Quintile,Very concerned,0.05931,95,166,0.02327,0.09535
1995,46-65 y.,1st Quintile,Somewhat concerned,0.04139,71,166,0.01100,0.07178
1995,46-65 y.,2nd Quintile,Very concerned,0.03799,69,146,0.00687,0.06910
1995,46-65 y.,2nd Quintile,Somewhat concerned,0.03558,77,146,0.00543,0.06573
1995,46-65 y.,3rd Quintile,Very concerned,0.02086,43,110,-0.00597,0.04769
1995,46-65 y.,3rd Quintile,Somewhat concerned,0.03139,67,110,-0.00134,0.06413
1995,46-65 y.,4th Quintile,Very concerned,0.01414,35,97,-0.00948,0.03776
1995,46-65 y.,4th Quintile,Somewhat concerned,0.02431,62,97,-0.00650,0.05512
1996,17-29 y.,1st Quintile,Very concerned,0.33476,260,745,0.30085,0.36867
1996,17-29 y.,1st Quintile,Somewhat concerned,0.51221,378,745,0.47629,0.54813
1996,17-29 y.,1st Quintile,Not concerned at all,0.13278,107,745,0.10840,0.15716
1996,17-29 y.,2nd Quintile,Very concerned,0.32167,219,685,0.28667,0.35668
1996,17-29 y.,2nd Quintile,Somewhat concerned,0.49754,352,685,0.46007,0.53501
1996,17-29 y.,2nd Quintile,Not concerned at all,0.16887,114,685,0.14079,0.19695
1996,17-29 y.,3rd Quintile,Very concerned,0.32156,192,593,0.28393,0.35918
1996,17-29 y.,3rd Quintile,Somewhat concerned,0.52269,313,593,0.48246,0.56293
1996,17-29 y.,3rd Quintile,Not concerned at all,0.14200,88,593,0.11388,0.17012
1996,17-29 y.,4th Quintile,Very concerned,0.26446,180,658,0.23073,0.29818
1996,17-29 y.,4th Quintile,Somewhat concerned,0.55949,373,658,0.52153,0.59745
1996,17-29 y.,4th Quintile,Not concerned at all,0.15913,105,658,0.13116,0.18710
1996,17-29 y.,5th Quintile,Very concerned,0.27772,128,445,0.23606,0.31939
1996,17-29 y.,5th Quintile,Somewhat concerned,0.53614,242,445,0.48975,0.58252
1996,17-29 y.,5th Quintile,Not concerned at all,0.17951,75,445,0.14382,0.21521
1996,30-45 y.,1st Quintile,Very concerned,0.33540,280,818,0.30302,0.36777
1996,30-45 y.,1st Quintile,Somewhat concerned,0.52254,417,818,0.48829,0.55679
1996,30-45 y.,1st Quintile,Not concerned at all,0.12530,121,818,0.10260,0.14801
1996,30-45 y.,2nd Quintile,Very concerned,0.27015,271,1006,0.24269,0.29760
1996,30-45 y.,2nd Quintile,Somewhat concerned,0.55787,560,1006,0.52717,0.58858
1996,30-45 y.,2nd Quintile,Not concerned at all,0.17084,175,1006,0.14757,0.19411
1996,30-45 y.,3rd Quintile,Very concerned,0.31183,268,926,0.28198,0.34168
1996,30-45 y.,3rd Quintile,Somewhat concerned,0.52571,517,926,0.49353,0.55789
1996,30-45 y.,3rd Quintile,Not concerned at all,0.14888,141,926,0.12594,0.17182
1996,30-45 y.,4th Quintile,Very concerned,0.23480,228,872,0.20665,0.26295
1996,30-45 y.,4th Quintile,Somewhat concerned,0.56570,487,872,0.53278,0.59862
1996,30-45 y.,4th Quintile,Not concerned at all,0.18371,157,872,0.15800,0.20943
1996,30-45 y.,5th Quintile,Very concerned,0.21161,177,772,0.18278,0.24044
1996,30-45 y.,5th Quintile,Somewhat concerned,0.59025,452,772,0.55554,0.62496
1996,30-45 y.,5th Quintile,Not concerned at all,0.18223,143,772,0.15498,0.20948
1996,46-65 y.,1st Quintile,Very concerned,0.36571,238,611,0.32749,0.40394
1996,46-65 y.,1st Quintile,Somewhat concerned,0.39543,262,611,0.35663,0.43423
1996,46-65 y.,1st Quintile,Not concerned at all,0.19499,111,611,0.16354,0.22643
1996,46-65 y.,2nd Quintile,Very concerned,0.34300,206,642,0.30625,0.37975
1996,46-65 y.,2nd Quintile,Somewhat concerned,0.45797,328,642,0.41940,0.49654
1996,46-65 y.,2nd Quintile,Not concerned at all,0.17887,108,642,0.14920,0.20854
1996,46-65 y.,3rd Quintile,Very concerned,0.30699,238,773,0.27445,0.33953
1996,46-65 y.,3rd Quintile,Somewhat concerned,0.52078,412,773,0.48553,0.55602
1996,46-65 y.,3rd Quintile,Not concerned at all,0.15682,123,773,0.13117,0.18247
1996,46-65 y.,4th Quintile,Very concerned,0.28090,248,862,0.25088,0.31092
1996,46-65 y.,4th Quintile,Somewhat concerned,0.56681,490,862,0.53372,0.59991
1996,46-65 y.,4th Quintile,Not concerned at all,0.13112,124,862,0.10858,0.15367
1996,46-65 y.,5th Quintile,Very concerned,0.23653,239,939,0.20934,0.26373
1996,46-65 y.,5th Quintile,Somewhat concerned,0.56100,526,939,0.52924,0.59276
1996,46-65 y.,5th Quintile,Not concerned at all,0.16966,174,939,0.14564,0.19368
1996,66 and older,1st Quintile,Very concerned,0.29547,94,323,0.24563,0.34531
1996,66 and older,1st Quintile,Somewhat concerned,0.42810,152,323,0.37406,0.48215
1996,66 and older,1st Quintile,Not concerned at all,0.23539,77,323,0.18905,0.28173
1996,66 and older,2nd Quintile,Very concerned,0.29728,112,379,0.25121,0.34336
1996,66 and older,2nd Quintile,Somewhat concerned,0.47076,188,379,0.42044,0.52108
1996,66 and older,2nd Quintile,Not concerned at all,0.20859,79,379,0.16763,0.24955
1996,66 and older,3rd Quintile,Very concerned,0.30628,102,328,0.25631,0.35624
1996,66 and older,3rd Quintile,Somewhat concerned,0.46884,160,328,0.41475,0.52293
1996,66 and older,3rd Quintile,Not concerned at all,0.20206,66,328,0.15854,0.24558
1996,66 and older,4th Quintile,Very concerned,0.35745,100,282,0.30141,0.41348
1996,66 and older,4th Quintile,Somewhat concerned,0.46070,131,282,0.40242,0.51898
1996,66 and older,4th Quintile,Not concerned at all,0.16786,51,282,0.12416,0.21156
1996,66 and older,5th Quintile,Very concerned,0.27760,60,201,0.21553,0.33966
1996,66 and older,5th Quintile,Somewhat concerned,0.50141,100,201,0.43211,0.57070
1996,66 and older,5th Quintile,Not concerned at all,0.18539,41,201,0.13153,0.23925
1997,17-29 y.,1st Quintile,Very concerned,0.32316,233,675,0.28785,0.35847
1997,17-29 y.,1st Quintile,Somewhat concerned,0.49239,330,675,0.45464,0.53013
1997,17-29 y.,1st Quintile,Not concerned at all,0.16895,112,675,0.14066,0.19724
1997,17-29 y.,2nd Quintile,Very concerned,0.33553,227,672,0.29980,0.37126
1997,17-29 y.,2nd Quintile,Somewhat concerned,0.46072,315,672,0.42300,0.49843
1997,17-29 y.,2nd Quintile,Not concerned at all,0.19226,130,672,0.16244,0.22208
1997,17-29 y.,3rd Quintile,Very concerned,0.30322,172,578,0.26572,0.34073
1997,17-29 y.,3rd Quintile,Somewhat concerned,0.49799,295,578,0.45720,0.53879
1997,17-29 y.,3rd Quintile,Not concerned at all,0.17973,111,578,0.14840,0.21106
1997,17-29 y.,4th Quintile,Very concerned,0.28393,167,637,0.24888,0.31897
1997,17-29 y.,4th Quintile,Somewhat concerned,0.49699,347,637,0.45813,0.53585
1997,17-29 y.,4th Quintile,Not concerned at all,0.21591,123,637,0.18393,0.24789
1997,17-29 y.,5th Quintile,Very concerned,0.25037,123,437,0.20970,0.29103
1997,17-29 y.,5th Quintile,Somewhat concerned,0.58062,250,437,0.53430,0.62694
1997,17-29 y.,5th Quintile,Not concerned at all,0.15525,64,437,0.12126,0.18925
1997,30-45 y.,1st Quintile,Very concerned,0.36778,271,764,0.33357,0.40200
1997,30-45 y.,1st Quintile,Somewhat concerned,0.44331,360,764,0.40806,0.47856
1997,30-45 y.,1st Quintile,Not concerned at all,0.17120,133,764,0.14447,0.19793
1997,30-45 y.,2nd Quintile,Very concerned,0.29726,282,992,0.26880,0.32572
1997,30-45 y.,2nd Quintile,Somewhat concerned,0.49267,506,992,0.46155,0.52380
1997,30-45 y.,2nd Quintile,Not concerned at all,0.20287,204,992,0.17783,0.22791
1997,30-45 y.,3rd Quintile,Very concerned,0.30971,271,917,0.27977,0.33966
1997,30-45 y.,3rd Quintile,Somewhat concerned,0.54261,503,917,0.51035,0.57487
1997,30-45 y.,3rd Quintile,Not concerned at all,0.14394,143,917,0.12120,0.16667
1997,30-45 y.,4th Quintile,Very concerned,0.28870,243,868,0.25854,0.31887
1997,30-45 y.,4th Quintile,Somewhat concerned,0.52318,469,868,0.48993,0.55643
1997,30-45 y.,4th Quintile,Not concerned at all,0.18305,156,868,0.15731,0.20879
1997,30-45 y.,5th Quintile,Very concerned,0.24195,197,798,0.21221,0.27168
1997,30-45 y.,5th Quintile,Somewhat concerned,0.56423,461,798,0.52980,0.59865
1997,30-45 y.,5th Quintile,Not concerned at all,0.18328,140,798,0.15642,0.21014
1997,46-65 y.,1st Quintile,Very concerned,0.38747,227,577,0.34768,0.42725
1997,46-65 y.,1st Quintile,Somewhat concerned,0.41578,256,577,0.37553,0.45603
1997,46-65 y.,1st Quintile,Not concerned at all,0.16140,94,577,0.13136,0.19145
1997,46-65 y.,2nd Quintile,Very concerned,0.28758,224,672,0.25333,0.32182
1997,46-65 y.,2nd Quintile,Somewhat concerned,0.54948,350,672,0.51183,0.58712
1997,46-65 y.,2nd Quintile,Not concerned at all,0.15300,98,672,0.12576,0.18024
1997,46-65 y.,3rd Quintile,Very concerned,0.31496,235,715,0.28089,0.34903
1997,46-65 y.,3rd Quintile,Somewhat concerned,0.51492,353,715,0.47826,0.55158
1997,46-65 y.,3rd Quintile,Not concerned at all,0.15814,127,715,0.13138,0.18491
1997,46-65 y.,4th Quintile,Very concerned,0.29424,260,894,0.26435,0.32413
1997,46-65 y.,4th Quintile,Somewhat concerned,0.51215,472,894,0.47937,0.54493
1997,46-65 y.,4th Quintile,Not concerned at all,0.18147,162,894,0.15619,0.20674
1997,46-65 y.,5th Quintile,Very concerned,0.25932,261,953,0.23148,0.28716
1997,46-65 y.,5th Quintile,Somewhat concerned,0.53697,513,953,0.50529,0.56864
1997,46-65 y.,5th Quintile,Not concerned at all,0.18999,179,953,0.16507,0.21491
1997,66 and older,1st Quintile,Very concerned,0.28067,100,329,0.23204,0.32930
1997,66 and older,1st Quintile,Somewhat concerned,0.48771,166,329,0.43362,0.54181
1997,66 and older,1st Quintile,Not concerned at all,0.18472,63,329,0.14272,0.22672
1997,66 and older,2nd Quintile,Very concerned,0.30433,124,410,0.25973,0.34892
1997,66 and older,2nd Quintile,Somewhat concerned,0.42548,190,410,0.37756,0.47339
1997,66 and older,2nd Quintile,Not concerned at all,0.23912,96,410,0.19779,0.28046
1997,66 and older,3rd Quintile,Very concerned,0.39300,118,338,0.34085,0.44514
1997,66 and older,3rd Quintile,Somewhat concerned,0.44415,166,338,0.39110,0.49720
1997,66 and older,3rd Quintile,Not concerned at all,0.15236,54,338,0.11399,0.19072
1997,66 and older,4th Quintile,Very concerned,0.30716,77,246,0.24939,0.36492
1997,66 and older,4th Quintile,Somewhat concerned,0.46012,119,246,0.39771,0.52253
1997,66 and older,4th Quintile,Not concerned at all,0.21633,50,246,0.16477,0.26789
1997,66 and older,5th Quintile,Very concerned,0.24691,60,226,0.19057,0.30326
1997,66 and older,5th Quintile,Somewhat concerned,0.53925,123,226,0.47412,0.60438
1997,66 and older,5th Quintile,Not concerned at all,0.18222,43,226,0.13178,0.23266
1998,17-29 y.,1st Quintile,Very concerned,0.36440,250,684,0.32830,0.40049
1998,17-29 y.,1st Quintile,Somewhat concerned,0.45967,327,684,0.42230,0.49705
1998,17-29 y.,1st Quintile,Not concerned at all,0.15431,107,684,0.12722,0.18140
1998,17-29 y.,2nd Quintile,Very concerned,0.29241,196,644,0.25725,0.32756
1998,17-29 y.,2nd Quintile,Somewhat concerned,0.52400,337,644,0.48540,0.56260
1998,17-29 y.,2nd Quintile,Not concerned at all,0.17503,111,644,0.14566,0.20441
1998,17-29 y.,3rd Quintile,Very concerned,0.29537,148,532,0.25657,0.33418
1998,17-29 y.,3rd Quintile,Somewhat concerned,0.46936,273,532,0.42692,0.51181
1998,17-29 y.,3rd Quintile,Not concerned at all,0.21088,111,532,0.17618,0.24558
1998,17-29 y.,4th Quintile,Very concerned,0.29184,171,587,0.25503,0.32864
1998,17-29 y.,4th Quintile,Somewhat concerned,0.50634,310,587,0.46586,0.54682
1998,17-29 y.,4th Quintile,Not concerned at all,0.18562,106,587,0.15414,0.21710
1998,17-29 y.,5th Quintile,Very concerned,0.21900,88,364,0.17645,0.26154
1998,17-29 y.,5th Quintile,Somewhat concerned,0.51303,193,364,0.46161,0.56444
1998,17-29 y.,5th Quintile,Not concerned at all,0.24607,83,364,0.20177,0.29038
1998,30-45 y.,1st Quintile,Very concerned,0.36297,254,743,0.32837,0.39757
1998,30-45 y.,1st Quintile,Somewhat concerned,0.51189,384,743,0.47592,0.54786
1998,30-45 y.,1st Quintile,Not concerned at all,0.11127,105,743,0.08865,0.13390
1998,30-45 y.,2nd Quintile,Very concerned,0.30775,286,941,0.27824,0.33725
1998,30-45 y.,2nd Quintile,Somewhat concerned,0.50360,470,941,0.47163,0.53556
1998,30-45 y.,2nd Quintile,Not concerned at all,0.18267,185,941,0.15797,0.20738
1998,30-45 y.,3rd Quintile,Very concerned,0.25155,218,890,0.22303,0.28007
1998,30-45 y.,3rd Quintile,Somewhat concerned,0.53709,482,890,0.50432,0.56987
1998,30-45 y.,3rd Quintile,Not concerned at all,0.19911,190,890,0.17286,0.22536
1998,30-45 y.,4th Quintile,Very concerned,0.27485,230,851,0.24483,0.30486
1998,30-45 y.,4th Quintile,Somewhat concerned,0.49301,436,851,0.45940,0.52662
1998,30-45 y.,4th Quintile,Not concerned at all,0.21402,185,851,0.18645,0.24160
1998,30-45 y.,5th Quintile,Very concerned,0.24515,175,761,0.21457,0.27574
1998,30-45 y.,5th Quintile,Somewhat concerned,0.56406,441,761,0.52881,0.59932
1998,30-45 y.,5th Quintile,Not concerned at all,0.18606,145,761,0.15839,0.21372
1998,46-65 y.,1st Quintile,Very concerned,0.36306,222,569,0.32351,0.40261
1998,46-65 y.,1st Quintile,Somewhat concerned,0.42272,241,569,0.38209,0.46335
1998,46-65 y.,1st Quintile,Not concerned at all,0.18204,106,569,0.15031,0.21378
1998,46-65 y.,2nd Quintile,Very concerned,0.32212,201,603,0.28479,0.35945
1998,46-65 y.,2nd Quintile,Somewhat concerned,0.46861,287,603,0.42875,0.50848
1998,46-65 y.,2nd Quintile,Not concerned at all,0.17478,115,603,0.14444,0.20512
1998,46-65 y.,3rd Quintile,Very concerned,0.31810,237,727,0.28422,0.35198
1998,46-65 y.,3rd Quintile,Somewhat concerned,0.49798,356,727,0.46161,0.53435
1998,46-65 y.,3rd Quintile,Not concerned at all,0.17470,134,727,0.14708,0.20232
1998,46-65 y.,4th Quintile,Very concerned,0.33216,270,845,0.30038,0.36393
1998,46-65 y.,4th Quintile,Somewhat concerned,0.47597,427,845,0.44228,0.50966
1998,46-65 y.,4th Quintile,Not concerned at all,0.16525,148,845,0.14019,0.19030
1998,46-65 y.,5th Quintile,Very concerned,0.26523,257,907,0.23648,0.29397
1998,46-65 y.,5th Quintile,Somewhat concerned,0.53579,491,907,0.50331,0.56826
1998,46-65 y.,5th Quintile,Not concerned at all,0.18214,159,907,0.15701,0.20728
1998,66 and older,1st Quintile,Very concerned,0.30484,95,310,0.25351,0.35616
1998,66 and older,1st Quintile,Somewhat concerned,0.48062,155,310,0.42491,0.53633
1998,66 and older,1st Quintile,Not concerned at all,0.19144,60,310,0.14757,0.23530
1998,66 and older,2nd Quintile,Very concerned,0.33210,115,348,0.28255,0.38165
1998,66 and older,2nd Quintile,Somewhat concerned,0.47255,170,348,0.42002,0.52508
1998,66 and older,2nd Quintile,Not concerned at all,0.16752,63,348,0.12823,0.20681
1998,66 and older,3rd Quintile,Very concerned,0.32713,122,353,0.27812,0.37614
1998,66 and older,3rd Quintile,Somewhat concerned,0.45551,171,353,0.40348,0.50754
1998,66 and older,3rd Quintile,Not concerned at all,0.16727,60,353,0.12828,0.20626
1998,66 and older,4th Quintile,Very concerned,0.30698,85,267,0.25155,0.36241
1998,66 and older,4th Quintile,Somewhat concerned,0.48403,132,267,0.42398,0.54409
1998,66 and older,4th Quintile,Not concerned at all,0.19726,50,267,0.14944,0.24508
1998,66 and older,5th Quintile,Very concerned,0.32121,72,220,0.25937,0.38306
1998,66 and older,5th Quintile,Somewhat concerned,0.45306,112,220,0.38713,0.51899
1998,66 and older,5th Quintile,Not concerned at all,0.16241,36,220,0.11356,0.21126
1999,17-29 y.,1st Quintile,Very concerned,0.32572,229,740,0.29193,0.35951
1999,17-29 y.,1st Quintile,Somewhat concerned,0.50497,386,740,0.46893,0.54102
1999,17-29 y.,1st Quintile,Not concerned at all,0.16135,125,740,0.13482,0.18787
1999,17-29 y.,2nd Quintile,Very concerned,0.33197,209,646,0.29562,0.36831
1999,17-29 y.,2nd Quintile,Somewhat concerned,0.49292,335,646,0.45434,0.53151
1999,17-29 y.,2nd Quintile,Not concerned at all,0.17511,102,646,0.14578,0.20444
1999,17-29 y.,3rd Quintile,Very concerned,0.26618,170,618,0.23131,0.30106
1999,17-29 y.,3rd Quintile,Somewhat concerned,0.55621,348,618,0.51701,0.59541
1999,17-29 y.,3rd Quintile,Not concerned at all,0.17374,100,618,0.14385,0.20364
1999,17-29 y.,4th Quintile,Very concerned,0.30482,164,561,0.26669,0.34294
1999,17-29 y.,4th Quintile,Somewhat concerned,0.53420,313,561,0.49288,0.57552
1999,17-29 y.,4th Quintile,Not concerned at all,0.15762,84,561,0.12744,0.18780
1999,17-29 y.,5th Quintile,Very concerned,0.36154,141,399,0.31434,0.40874
1999,17-29 y.,5th Quintile,Somewhat concerned,0.50943,205,399,0.46032,0.55855
1999,17-29 y.,5th Quintile,Not concerned at all,0.12605,53,399,0.09344,0.15866
1999,30-45 y.,1st Quintile,Very concerned,0.28874,264,859,0.25842,0.31907
1999,30-45 y.,1st Quintile,Somewhat concerned,0.56564,482,859,0.53248,0.59881
1999,30-45 y.,1st Quintile,Not concerned at all,0.14185,113,859,0.11850,0.16520
1999,30-45 y.,2nd Quintile,Very concerned,0.31970,330,1051,0.29149,0.34790
1999,30-45 y.,2nd Quintile,Somewhat concerned,0.56991,585,1051,0.53996,0.59985
1999,30-45 y.,2nd Quintile,Not concerned at all,0.11040,136,1051,0.09144,0.12935
1999,30-45 y.,3rd Quintile,Very concerned,0.30906,281,996,0.28035,0.33777
1999,30-45 y.,3rd Quintile,Somewhat concerned,0.53556,569,996,0.50457,0.56655
1999,30-45 y.,3rd Quintile,Not concerned at all,0.15348,146,996,0.13109,0.17588
1999,30-45 y.,4th Quintile,Very concerned,0.33543,304,945,0.30531,0.36555
1999,30-45 y.,4th Quintile,Somewhat concerned,0.54689,538,945,0.51514,0.57865
1999,30-45 y.,4th Quintile,Not concerned at all,0.10669,103,945,0.08700,0.12638
1999,30-45 y.,5th Quintile,Very concerned,0.30726,258,847,0.27617,0.33835
1999,30-45 y.,5th Quintile,Somewhat concerned,0.57820,493,847,0.54492,0.61148
1999,30-45 y.,5th Quintile,Not concerned at all,0.11348,96,847,0.09211,0.13485
1999,46-65 y.,1st Quintile,Very concerned,0.29061,174,612,0.25460,0.32661
1999,46-65 y.,1st Quintile,Somewhat concerned,0.53935,334,612,0.49982,0.57887
