year,quintil_oecd,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,1st Quintile,Part Time,0.11838,327,1922,0.10393,0.13282
1989,1st Quintile,Not Working,0.52977,1107,1922,0.50745,0.55209
1989,2nd Quintile,Full Time,0.27019,808,1963,0.25054,0.28984
1989,2nd Quintile,Part Time,0.12576,355,1963,0.11109,0.14044
1989,2nd Quintile,Not Working,0.38098,800,1963,0.35949,0.40247
1989,3rd Quintile,Full Time,0.36109,931,1894,0.33945,0.38273
1989,3rd Quintile,Part Time,0.15539,364,1894,0.13907,0.17171
1989,3rd Quintile,Not Working,0.31360,599,1894,0.29270,0.33450
1989,4th Quintile,Full Time,0.47257,1161,2035,0.45087,0.49427
1989,4th Quintile,Part Time,0.14214,344,2035,0.12697,0.15732
1989,4th Quintile,Not Working,0.27669,530,2035,0.25725,0.29613
1989,5th Quintile,Full Time,0.54197,1151,1849,0.51925,0.56468
1989,5th Quintile,Part Time,0.15027,318,1849,0.13398,0.16656
1989,5th Quintile,Not Working,0.21003,380,1849,0.19146,0.22860
1990,1st Quintile,Full Time,0.14548,483,1886,0.12956,0.16140
1990,1st Quintile,Part Time,0.12665,329,1886,0.11163,0.14166
1990,1st Quintile,Not Working,0.50423,1074,1886,0.48166,0.52680
1990,2nd Quintile,Full Time,0.26544,748,1892,0.24553,0.28534
1990,2nd Quintile,Part Time,0.14364,373,1892,0.12784,0.15945
1990,2nd Quintile,Not Working,0.37038,771,1892,0.34861,0.39214
1990,3rd Quintile,Full Time,0.34996,920,1913,0.32858,0.37134
1990,3rd Quintile,Part Time,0.15823,381,1913,0.14187,0.17459
1990,3rd Quintile,Not Working,0.31310,612,1913,0.29231,0.33389
1990,4th Quintile,Full Time,0.49226,1129,1937,0.46999,0.51453
1990,4th Quintile,Part Time,0.15233,342,1937,0.13632,0.16834
1990,4th Quintile,Not Working,0.24364,466,1937,0.22452,0.26277
1990,5th Quintile,Full Time,0.54561,1144,1832,0.52280,0.56842
1990,5th Quintile,Part Time,0.14569,301,1832,0.12953,0.16185
1990,5th Quintile,Not Working,0.21236,387,1832,0.19363,0.23110
1991,1st Quintile,Full Time,0.14214,469,1841,0.12618,0.15809
1991,1st Quintile,Part Time,0.12595,322,1841,0.11079,0.14111
1991,1st Quintile,Not Working,0.50987,1050,1841,0.48703,0.53271
1991,2nd Quintile,Full Time,0.26109,752,1889,0.24128,0.28090
1991,2nd Quintile,Part Time,0.15000,381,1889,0.13389,0.16610
1991,2nd Quintile,Not Working,0.36784,756,1889,0.34609,0.38959
1991,3rd Quintile,Full Time,0.37003,954,1900,0.34831,0.39174
1991,3rd Quintile,Part Time,0.14432,357,1900,0.12852,0.16013
1991,3rd Quintile,Not Working,0.29335,589,1900,0.27287,0.31383
1991,4th Quintile,Full Time,0.45429,1086,1944,0.43215,0.47643
1991,4th Quintile,Part Time,0.16610,370,1944,0.14955,0.18264
1991,4th Quintile,Not Working,0.25827,488,1944,0.23881,0.27774
1991,5th Quintile,Full Time,0.55030,1155,1835,0.52753,0.57307
1991,5th Quintile,Part Time,0.15007,322,1835,0.13373,0.16642
1991,5th Quintile,Not Working,0.19656,358,1835,0.17837,0.21474
1992,1st Quintile,Full Time,0.17232,808,2787,0.15829,0.18634
1992,1st Quintile,Part Time,0.13505,563,2787,0.12236,0.14774
1992,1st Quintile,Not Working,0.48204,1416,2787,0.46349,0.50060
1992,2nd Quintile,Full Time,0.30043,1363,2851,0.28360,0.31726
1992,2nd Quintile,Part Time,0.13769,540,2851,0.12504,0.15034
1992,2nd Quintile,Not Working,0.32623,948,2851,0.30902,0.34345
1992,3rd Quintile,Full Time,0.37162,1412,2669,0.35328,0.38995
1992,3rd Quintile,Part Time,0.14413,484,2669,0.13080,0.15745
1992,3rd Quintile,Not Working,0.29339,773,2669,0.27611,0.31067
1992,4th Quintile,Full Time,0.44782,1496,2630,0.42881,0.46683
1992,4th Quintile,Part Time,0.16260,499,2630,0.14849,0.17671
1992,4th Quintile,Not Working,0.25326,635,2630,0.23663,0.26988
1992,5th Quintile,Full Time,0.54000,1500,2377,0.51996,0.56004
1992,5th Quintile,Part Time,0.15248,416,2377,0.13803,0.16694
1992,5th Quintile,Not Working,0.20090,461,2377,0.18479,0.21701
1993,1st Quintile,Full Time,0.14851,652,2628,0.13491,0.16211
1993,1st Quintile,Part Time,0.12770,465,2628,0.11494,0.14046
1993,1st Quintile,Not Working,0.51062,1511,2628,0.49151,0.52974
1993,2nd Quintile,Full Time,0.27414,1191,2821,0.25767,0.29060
1993,2nd Quintile,Part Time,0.13443,536,2821,0.12184,0.14702
1993,2nd Quintile,Not Working,0.37029,1094,2821,0.35247,0.38812
1993,3rd Quintile,Full Time,0.35977,1405,2666,0.34155,0.37799
1993,3rd Quintile,Part Time,0.14455,494,2666,0.13120,0.15790
1993,3rd Quintile,Not Working,0.29385,767,2666,0.27655,0.31114
1993,4th Quintile,Full Time,0.45819,1508,2612,0.43907,0.47730
1993,4th Quintile,Part Time,0.15783,507,2612,0.14385,0.17181
1993,4th Quintile,Not Working,0.24227,597,2612,0.22584,0.25871
1993,5th Quintile,Full Time,0.54181,1493,2374,0.52177,0.56186
1993,5th Quintile,Part Time,0.16701,448,2374,0.15200,0.18201
1993,5th Quintile,Not Working,0.18588,433,2374,0.17023,0.20153
1994,1st Quintile,Full Time,0.14160,572,2513,0.12796,0.15523
1994,1st Quintile,Part Time,0.13391,482,2513,0.12059,0.14723
1994,1st Quintile,Not Working,0.50063,1459,2513,0.48108,0.52018
1994,2nd Quintile,Full Time,0.25101,1076,2699,0.23464,0.26737
1994,2nd Quintile,Part Time,0.13476,497,2699,0.12187,0.14764
1994,2nd Quintile,Not Working,0.38910,1126,2699,0.37070,0.40749
1994,3rd Quintile,Full Time,0.35139,1383,2707,0.33340,0.36938
1994,3rd Quintile,Part Time,0.14251,492,2707,0.12934,0.15568
1994,3rd Quintile,Not Working,0.31671,832,2707,0.29919,0.33424
1994,4th Quintile,Full Time,0.44886,1433,2544,0.42952,0.46819
1994,4th Quintile,Part Time,0.14790,456,2544,0.13411,0.16170
1994,4th Quintile,Not Working,0.25547,655,2544,0.23852,0.27242
1994,5th Quintile,Full Time,0.53394,1502,2404,0.51400,0.55389
1994,5th Quintile,Part Time,0.16070,435,2404,0.14602,0.17538
1994,5th Quintile,Not Working,0.20305,467,2404,0.18697,0.21914
1995,1st Quintile,Full Time,0.13596,562,2546,0.12265,0.14928
1995,1st Quintile,Part Time,0.14278,521,2546,0.12919,0.15637
1995,1st Quintile,Not Working,0.47169,1463,2546,0.45229,0.49108
1995,2nd Quintile,Full Time,0.22986,1035,2867,0.21446,0.24527
1995,2nd Quintile,Part Time,0.13804,573,2867,0.12541,0.15067
1995,2nd Quintile,Not Working,0.41885,1259,2867,0.40079,0.43691
1995,3rd Quintile,Full Time,0.32981,1321,2715,0.31212,0.34750
1995,3rd Quintile,Part Time,0.14908,535,2715,0.13568,0.16248
1995,3rd Quintile,Not Working,0.33177,859,2715,0.31406,0.34949
1995,4th Quintile,Full Time,0.41743,1460,2675,0.39874,0.43613
1995,4th Quintile,Part Time,0.17996,541,2675,0.16540,0.19452
1995,4th Quintile,Not Working,0.26563,674,2675,0.24889,0.28237
1995,5th Quintile,Full Time,0.52316,1516,2479,0.50349,0.54283
1995,5th Quintile,Part Time,0.15274,431,2479,0.13857,0.16690
1995,5th Quintile,Not Working,0.22066,532,2479,0.20433,0.23698
1996,1st Quintile,Full Time,0.14950,596,2543,0.13564,0.16336
1996,1st Quintile,Part Time,0.14920,568,2543,0.13535,0.16305
1996,1st Quintile,Not Working,0.46557,1379,2543,0.44617,0.48496
1996,2nd Quintile,Full Time,0.23990,1029,2734,0.22389,0.25591
1996,2nd Quintile,Part Time,0.13398,566,2734,0.12121,0.14675
1996,2nd Quintile,Not Working,0.39850,1139,2734,0.38015,0.41686
1996,3rd Quintile,Full Time,0.31633,1206,2655,0.29864,0.33403
1996,3rd Quintile,Part Time,0.17982,580,2655,0.16521,0.19443
1996,3rd Quintile,Not Working,0.33077,869,2655,0.31287,0.34867
1996,4th Quintile,Full Time,0.42332,1461,2710,0.40471,0.44192
1996,4th Quintile,Part Time,0.15660,531,2710,0.14292,0.17029
1996,4th Quintile,Not Working,0.27213,718,2710,0.25537,0.28889
1996,5th Quintile,Full Time,0.50785,1441,2400,0.48785,0.52786
1996,5th Quintile,Part Time,0.16303,445,2400,0.14825,0.17781
1996,5th Quintile,Not Working,0.22689,514,2400,0.21013,0.24365
1997,1st Quintile,Full Time,0.12936,516,2385,0.11589,0.14283
1997,1st Quintile,Part Time,0.14682,484,2385,0.13261,0.16103
1997,1st Quintile,Not Working,0.48940,1385,2385,0.46933,0.50946
1997,2nd Quintile,Full Time,0.24669,1031,2772,0.23064,0.26274
1997,2nd Quintile,Part Time,0.13915,551,2772,0.12626,0.15204
1997,2nd Quintile,Not Working,0.40290,1190,2772,0.38463,0.42116
1997,3rd Quintile,Full Time,0.29982,1139,2564,0.28208,0.31756
1997,3rd Quintile,Part Time,0.16693,538,2564,0.15249,0.18137
1997,3rd Quintile,Not Working,0.34089,887,2564,0.32254,0.35924
1997,4th Quintile,Full Time,0.44273,1467,2666,0.42387,0.46159
1997,4th Quintile,Part Time,0.15505,510,2666,0.14131,0.16879
1997,4th Quintile,Not Working,0.26214,689,2666,0.24545,0.27884
1997,5th Quintile,Full Time,0.50109,1431,2442,0.48126,0.52093
1997,5th Quintile,Part Time,0.16128,460,2442,0.14669,0.17587
1997,5th Quintile,Not Working,0.23713,551,2442,0.22025,0.25400
1998,1st Quintile,Full Time,0.14215,515,2341,0.12800,0.15630
1998,1st Quintile,Part Time,0.14524,491,2341,0.13096,0.15951
1998,1st Quintile,Not Working,0.47186,1335,2341,0.45163,0.49208
1998,2nd Quintile,Full Time,0.24069,938,2567,0.22415,0.25723
1998,2nd Quintile,Part Time,0.15500,559,2567,0.14100,0.16900
1998,2nd Quintile,Not Working,0.38315,1070,2567,0.36434,0.40196
1998,3rd Quintile,Full Time,0.30154,1098,2543,0.28370,0.31938
1998,3rd Quintile,Part Time,0.15581,526,2543,0.14171,0.16991
1998,3rd Quintile,Not Working,0.36754,919,2543,0.34880,0.38628
1998,4th Quintile,Full Time,0.41793,1352,2594,0.39894,0.43691
1998,4th Quintile,Part Time,0.16828,544,2594,0.15388,0.18268
1998,4th Quintile,Not Working,0.28215,698,2594,0.26482,0.29947
1998,5th Quintile,Full Time,0.47685,1319,2284,0.45636,0.49734
1998,5th Quintile,Part Time,0.16018,428,2284,0.14513,0.17522
1998,5th Quintile,Not Working,0.25428,537,2284,0.23642,0.27214
1999,1st Quintile,Full Time,0.14882,603,2587,0.13511,0.16254
1999,1st Quintile,Part Time,0.16409,575,2587,0.14982,0.17837
1999,1st Quintile,Not Working,0.44918,1409,2587,0.43000,0.46835
1999,2nd Quintile,Full Time,0.24750,1052,2876,0.23172,0.26328
1999,2nd Quintile,Part Time,0.16462,637,2876,0.15106,0.17817
1999,2nd Quintile,Not Working,0.38804,1187,2876,0.37022,0.40585
1999,3rd Quintile,Full Time,0.31704,1227,2822,0.29987,0.33421
1999,3rd Quintile,Part Time,0.16885,623,2822,0.15503,0.18268
1999,3rd Quintile,Not Working,0.33053,972,2822,0.31317,0.34789
1999,4th Quintile,Full Time,0.42946,1463,2783,0.41106,0.44785
1999,4th Quintile,Part Time,0.16935,584,2783,0.15541,0.18328
1999,4th Quintile,Not Working,0.26366,736,2783,0.24729,0.28003
1999,5th Quintile,Full Time,0.47477,1489,2606,0.45559,0.49394
1999,5th Quintile,Part Time,0.17329,512,2606,0.15875,0.18782
1999,5th Quintile,Not Working,0.25076,605,2606,0.23411,0.26740
2000,1st Quintile,Full Time,0.14503,569,2586,0.13145,0.15860
2000,1st Quintile,Part Time,0.17918,627,2586,0.16440,0.19397
2000,1st Quintile,Not Working,0.45308,1390,2586,0.43389,0.47227
2000,2nd Quintile,Full Time,0.24635,995,2763,0.23028,0.26242
2000,2nd Quintile,Part Time,0.16618,649,2763,0.15229,0.18006
2000,2nd Quintile,Not Working,0.37306,1119,2763,0.35503,0.39110
2000,3rd Quintile,Full Time,0.34271,1249,2712,0.32484,0.36057
2000,3rd Quintile,Part Time,0.15948,563,2712,0.14570,0.17326
2000,3rd Quintile,Not Working,0.31550,900,2712,0.29801,0.33300
2000,4th Quintile,Full Time,0.42516,1457,2695,0.40649,0.44383
2000,4th Quintile,Part Time,0.16157,538,2695,0.14767,0.17547
2000,4th Quintile,Not Working,0.26953,700,2695,0.25277,0.28628
2000,5th Quintile,Full Time,0.48452,1473,2529,0.46504,0.50401
2000,5th Quintile,Part Time,0.17362,510,2529,0.15885,0.18839
2000,5th Quintile,Not Working,0.23027,546,2529,0.21386,0.24668
2001,1st Quintile,Full Time,0.13510,753,3866,0.12433,0.14588
2001,1st Quintile,Part Time,0.18675,959,3866,0.17446,0.19904
2001,1st Quintile,Not Working,0.45004,2154,3866,0.43436,0.46573
2001,2nd Quintile,Full Time,0.26337,1532,4384,0.25033,0.27641
2001,2nd Quintile,Part Time,0.16427,969,4384,0.15330,0.17524
2001,2nd Quintile,Not Working,0.36566,1883,4384,0.35140,0.37991
2001,3rd Quintile,Full Time,0.34673,1951,4534,0.33287,0.36058
2001,3rd Quintile,Part Time,0.16170,972,4534,0.15098,0.17241
2001,3rd Quintile,Not Working,0.31620,1611,4534,0.30266,0.32973
2001,4th Quintile,Full Time,0.40921,2270,4605,0.39501,0.42341
2001,4th Quintile,Part Time,0.18146,989,4605,0.17032,0.19259
2001,4th Quintile,Not Working,0.26933,1346,4605,0.25652,0.28215
2001,5th Quintile,Full Time,0.49718,2554,4530,0.48262,0.51174
2001,5th Quintile,Part Time,0.17175,906,4530,0.16077,0.18274
2001,5th Quintile,Not Working,0.22638,1070,4530,0.21419,0.23857
2002,1st Quintile,Full Time,0.13040,621,3459,0.11917,0.14162
2002,1st Quintile,Part Time,0.19070,877,3459,0.17760,0.20379
2002,1st Quintile,Not Working,0.45775,1961,3459,0.44115,0.47436
2002,2nd Quintile,Full Time,0.24709,1260,3944,0.23362,0.26055
2002,2nd Quintile,Part Time,0.16668,851,3944,0.15504,0.17831
2002,2nd Quintile,Not Working,0.39372,1833,3944,0.37847,0.40897
2002,3rd Quintile,Full Time,0.31673,1607,4067,0.30243,0.33103
2002,3rd Quintile,Part Time,0.17577,918,4067,0.16407,0.18747
2002,3rd Quintile,Not Working,0.32157,1542,4067,0.30722,0.33593
2002,4th Quintile,Full Time,0.40080,2087,4357,0.38625,0.41535
2002,4th Quintile,Part Time,0.18015,1003,4357,0.16874,0.19157
2002,4th Quintile,Not Working,0.27255,1267,4357,0.25932,0.28577
2002,5th Quintile,Full Time,0.50668,2818,4973,0.49278,0.52057
2002,5th Quintile,Part Time,0.17169,1020,4973,0.16121,0.18217
2002,5th Quintile,Not Working,0.23627,1135,4973,0.22446,0.24808
2003,1st Quintile,Full Time,0.11788,541,3402,0.10704,0.12872
2003,1st Quintile,Part Time,0.19260,889,3402,0.17935,0.20586
2003,1st Quintile,Not Working,0.47985,1972,3402,0.46306,0.49664
2003,2nd Quintile,Full Time,0.24115,1225,3870,0.22767,0.25463
2003,2nd Quintile,Part Time,0.16464,858,3870,0.15296,0.17633
2003,2nd Quintile,Not Working,0.39048,1787,3870,0.37511,0.40585
2003,3rd Quintile,Full Time,0.31835,1628,4128,0.30414,0.33256
2003,3rd Quintile,Part Time,0.17775,946,4128,0.16609,0.18942
2003,3rd Quintile,Not Working,0.32438,1554,4128,0.31010,0.33866
2003,4th Quintile,Full Time,0.40607,2119,4427,0.39161,0.42054
2003,4th Quintile,Part Time,0.18669,1015,4427,0.17521,0.19817
2003,4th Quintile,Not Working,0.26745,1293,4427,0.25441,0.28049
2003,5th Quintile,Full Time,0.47393,3402,6335,0.46163,0.48623
2003,5th Quintile,Part Time,0.18310,1405,6335,0.17358,0.19263
2003,5th Quintile,Not Working,0.23984,1528,6335,0.22933,0.25036
2004,1st Quintile,Full Time,0.12525,546,3300,0.11395,0.13654
2004,1st Quintile,Part Time,0.19179,831,3300,0.17836,0.20523
2004,1st Quintile,Not Working,0.47682,1923,3300,0.45977,0.49386
2004,2nd Quintile,Full Time,0.23037,1139,3817,0.21701,0.24373
2004,2nd Quintile,Part Time,0.17921,851,3817,0.16704,0.19138
2004,2nd Quintile,Not Working,0.39397,1827,3817,0.37846,0.40947
2004,3rd Quintile,Full Time,0.30606,1469,3939,0.29167,0.32046
2004,3rd Quintile,Part Time,0.18002,936,3939,0.16802,0.19202
2004,3rd Quintile,Not Working,0.34133,1534,3939,0.32652,0.35614
2004,4th Quintile,Full Time,0.39172,2008,4349,0.37721,0.40623
2004,4th Quintile,Part Time,0.17823,1004,4349,0.16685,0.18960
2004,4th Quintile,Not Working,0.28764,1337,4349,0.27418,0.30109
2004,5th Quintile,Full Time,0.48108,3297,6206,0.46865,0.49351
2004,5th Quintile,Part Time,0.18576,1386,6206,0.17608,0.19544
2004,5th Quintile,Not Working,0.23606,1523,6206,0.22549,0.24662
2005,1st Quintile,Full Time,0.12985,501,3161,0.11813,0.14157
2005,1st Quintile,Part Time,0.20463,809,3161,0.19057,0.21870
2005,1st Quintile,Not Working,0.46091,1851,3161,0.44353,0.47829
2005,2nd Quintile,Full Time,0.22747,1023,3686,0.21393,0.24100
2005,2nd Quintile,Part Time,0.17733,830,3686,0.16500,0.18967
2005,2nd Quintile,Not Working,0.41561,1833,3686,0.39969,0.43152
2005,3rd Quintile,Full Time,0.32385,1425,3744,0.30886,0.33885
2005,3rd Quintile,Part Time,0.19726,908,3744,0.18452,0.21001
2005,3rd Quintile,Not Working,0.30895,1411,3744,0.29414,0.32375
2005,4th Quintile,Full Time,0.39348,1928,4199,0.37870,0.40826
2005,4th Quintile,Part Time,0.18943,983,4199,0.17757,0.20128
2005,4th Quintile,Not Working,0.27660,1288,4199,0.26307,0.29013
2005,5th Quintile,Full Time,0.49296,3156,5906,0.48021,0.50571
2005,5th Quintile,Part Time,0.17397,1281,5906,0.16430,0.18364
2005,5th Quintile,Not Working,0.23649,1469,5906,0.22565,0.24732
2006,1st Quintile,Full Time,0.12982,463,3027,0.11784,0.14179
2006,1st Quintile,Part Time,0.20987,818,3027,0.19536,0.22437
2006,1st Quintile,Not Working,0.47134,1746,3027,0.45356,0.48913
2006,2nd Quintile,Full Time,0.22951,943,3357,0.21528,0.24374
2006,2nd Quintile,Part Time,0.17843,737,3357,0.16547,0.19138
2006,2nd Quintile,Not Working,0.40727,1677,3357,0.39065,0.42390
2006,3rd Quintile,Full Time,0.31360,1371,3701,0.29865,0.32855
2006,3rd Quintile,Part Time,0.18847,855,3701,0.17587,0.20107
2006,3rd Quintile,Not Working,0.32763,1475,3701,0.31251,0.34275
2006,4th Quintile,Full Time,0.38885,1805,4004,0.37374,0.40395
2006,4th Quintile,Part Time,0.18277,899,4004,0.17080,0.19474
2006,4th Quintile,Not Working,0.28567,1300,4004,0.27167,0.29966
2006,5th Quintile,Full Time,0.50524,2946,5561,0.49210,0.51838
2006,5th Quintile,Part Time,0.16957,1177,5561,0.15971,0.17944
2006,5th Quintile,Not Working,0.23355,1438,5561,0.22243,0.24467
2007,1st Quintile,Full Time,0.12516,476,3260,0.11380,0.13652
2007,1st Quintile,Part Time,0.20820,848,3260,0.19426,0.22214
2007,1st Quintile,Not Working,0.49272,1936,3260,0.47555,0.50988
2007,2nd Quintile,Full Time,0.22904,1033,3636,0.21538,0.24270
2007,2nd Quintile,Part Time,0.17702,831,3636,0.16461,0.18943
2007,2nd Quintile,Not Working,0.40281,1772,3636,0.38686,0.41875
2007,3rd Quintile,Full Time,0.31748,1435,3901,0.30287,0.33209
2007,3rd Quintile,Part Time,0.18626,876,3901,0.17404,0.19848
2007,3rd Quintile,Not Working,0.33446,1590,3901,0.31965,0.34927
2007,4th Quintile,Full Time,0.39720,1955,4389,0.38272,0.41168
2007,4th Quintile,Part Time,0.18819,1001,4389,0.17663,0.19976
2007,4th Quintile,Not Working,0.27657,1433,4389,0.26334,0.28981
2007,5th Quintile,Full Time,0.50172,2968,5660,0.48870,0.51475
2007,5th Quintile,Part Time,0.16408,1155,5660,0.15443,0.17373
2007,5th Quintile,Not Working,0.23829,1537,5660,0.22719,0.24939
2008,1st Quintile,Full Time,0.11846,444,3087,0.10706,0.12986
2008,1st Quintile,Part Time,0.21180,818,3087,0.19738,0.22621
2008,1st Quintile,Not Working,0.49086,1825,3087,0.47323,0.50850
2008,2nd Quintile,Full Time,0.24122,977,3407,0.22685,0.25559
2008,2nd Quintile,Part Time,0.18473,770,3407,0.17170,0.19777
2008,2nd Quintile,Not Working,0.39750,1660,3407,0.38107,0.41394
2008,3rd Quintile,Full Time,0.33501,1456,3818,0.32003,0.34998
2008,3rd Quintile,Part Time,0.18110,846,3818,0.16889,0.19332
2008,3rd Quintile,Not Working,0.32548,1516,3818,0.31061,0.34034
2008,4th Quintile,Full Time,0.41448,1844,3979,0.39917,0.42979
2008,4th Quintile,Part Time,0.18536,896,3979,0.17329,0.19744
2008,4th Quintile,Not Working,0.26837,1239,3979,0.25460,0.28214
2008,5th Quintile,Full Time,0.51385,2767,5278,0.50036,0.52733
2008,5th Quintile,Part Time,0.16382,1077,5278,0.15383,0.17380
2008,5th Quintile,Not Working,0.22418,1434,5278,0.21293,0.23543
2009,1st Quintile,Full Time,0.13819,474,2927,0.12568,0.15069
2009,1st Quintile,Part Time,0.21472,759,2927,0.19984,0.22960
2009,1st Quintile,Not Working,0.48071,1694,2927,0.46260,0.49881
2009,2nd Quintile,Full Time,0.21969,861,3229,0.20541,0.23398
2009,2nd Quintile,Part Time,0.19689,751,3229,0.18317,0.21061
2009,2nd Quintile,Not Working,0.40408,1617,3229,0.38715,0.42101
2009,3rd Quintile,Full Time,0.34071,1339,3477,0.32496,0.35647
2009,3rd Quintile,Part Time,0.20139,828,3477,0.18806,0.21472
2009,3rd Quintile,Not Working,0.30823,1310,3477,0.29287,0.32358
2009,4th Quintile,Full Time,0.41054,1730,3772,0.39484,0.42624
2009,4th Quintile,Part Time,0.20160,912,3772,0.18880,0.21441
2009,4th Quintile,Not Working,0.24823,1130,3772,0.23445,0.26202
2009,5th Quintile,Full Time,0.52419,2599,4844,0.51012,0.53825
