year,migback,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,No migration background,Not Working,0.31668,3278,10359,0.30772,0.32564
1992,Direct migration background,Full Time,0.46742,1334,2552,0.44806,0.48678
1992,Direct migration background,Part Time,0.15878,416,2552,0.14460,0.17296
1992,Direct migration background,Not Working,0.35359,802,2552,0.33504,0.37214
1992,Indirect migration background,Full Time,0.09347,165,406,0.06512,0.12182
1992,Indirect migration background,Part Time,0.06103,85,406,0.03772,0.08435
1992,Indirect migration background,Not Working,0.10064,156,406,0.07134,0.12994
1993,No migration background,Full Time,0.35962,4830,10158,0.35029,0.36895
1993,No migration background,Part Time,0.14612,1903,10158,0.13925,0.15299
1993,No migration background,Not Working,0.32677,3425,10158,0.31764,0.33589
1993,Direct migration background,Full Time,0.44563,1243,2477,0.42606,0.46521
1993,Direct migration background,Part Time,0.17733,421,2477,0.16228,0.19237
1993,Direct migration background,Not Working,0.36114,813,2477,0.34222,0.38006
1993,Indirect migration background,Full Time,0.10540,176,468,0.07755,0.13326
1993,Indirect migration background,Part Time,0.08276,126,468,0.05777,0.10774
1993,Indirect migration background,Not Working,0.12237,166,468,0.09264,0.15209
1994,No migration background,Full Time,0.34921,4653,10025,0.33987,0.35854
1994,No migration background,Part Time,0.14341,1833,10025,0.13655,0.15027
1994,No migration background,Not Working,0.33840,3539,10025,0.32914,0.34767
1994,Direct migration background,Full Time,0.41860,1102,2358,0.39868,0.43852
1994,Direct migration background,Part Time,0.18082,421,2358,0.16529,0.19636
1994,Direct migration background,Not Working,0.38866,835,2358,0.36898,0.40834
1994,Indirect migration background,Full Time,0.12262,211,491,0.09358,0.15166
1994,Indirect migration background,Part Time,0.07623,108,491,0.05274,0.09973
1994,Indirect migration background,Not Working,0.12767,172,491,0.09812,0.15722
1995,No migration background,Full Time,0.33765,4545,10001,0.32838,0.34692
1995,No migration background,Part Time,0.15073,1929,10001,0.14372,0.15775
1995,No migration background,Not Working,0.34319,3527,10001,0.33389,0.35250
1995,Direct migration background,Full Time,0.33847,1150,2781,0.32088,0.35606
1995,Direct migration background,Part Time,0.18573,537,2781,0.17128,0.20019
1995,Direct migration background,Not Working,0.41614,1094,2781,0.39782,0.43446
1995,Indirect migration background,Full Time,0.10487,199,504,0.07809,0.13164
1995,Indirect migration background,Part Time,0.09406,135,504,0.06855,0.11957
1995,Indirect migration background,Not Working,0.12088,170,504,0.09239,0.14937
1996,No migration background,Full Time,0.33773,4521,9907,0.32842,0.34704
1996,No migration background,Part Time,0.15597,1960,9907,0.14882,0.16311
1996,No migration background,Not Working,0.34059,3426,9907,0.33125,0.34992
1996,Direct migration background,Full Time,0.33794,997,2598,0.31975,0.35614
1996,Direct migration background,Part Time,0.18685,583,2598,0.17185,0.20184
1996,Direct migration background,Not Working,0.41860,1018,2598,0.39963,0.43757
1996,Indirect migration background,Full Time,0.11661,215,543,0.08959,0.14363
1996,Indirect migration background,Part Time,0.08745,147,543,0.06366,0.11123
1996,Indirect migration background,Not Working,0.12593,181,543,0.09800,0.15386
1997,No migration background,Full Time,0.33430,4412,9791,0.32495,0.34364
1997,No migration background,Part Time,0.15284,1887,9791,0.14571,0.15996
1997,No migration background,Not Working,0.34776,3492,9791,0.33832,0.35719
1997,Direct migration background,Full Time,0.33570,948,2472,0.31708,0.35432
1997,Direct migration background,Part Time,0.18760,517,2472,0.17221,0.20299
1997,Direct migration background,Not Working,0.42409,1007,2472,0.40461,0.44358
1997,Indirect migration background,Full Time,0.12883,224,567,0.10123,0.15643
1997,Indirect migration background,Part Time,0.09063,139,567,0.06697,0.11428
1997,Indirect migration background,Not Working,0.14492,204,567,0.11592,0.17392
1998,No migration background,Full Time,0.32672,4860,11244,0.31805,0.33539
1998,No migration background,Part Time,0.15292,2204,11244,0.14627,0.15958
1998,No migration background,Not Working,0.35910,4180,11244,0.35024,0.36797
1998,Direct migration background,Full Time,0.33770,883,2399,0.31877,0.35663
1998,Direct migration background,Part Time,0.19336,517,2399,0.17755,0.20917
1998,Direct migration background,Not Working,0.41413,999,2399,0.39441,0.43384
1998,Indirect migration background,Full Time,0.14607,241,597,0.11771,0.17442
1998,Indirect migration background,Part Time,0.09563,150,597,0.07202,0.11924
1998,Indirect migration background,Not Working,0.14748,206,597,0.11901,0.17595
1999,No migration background,Full Time,0.33205,4747,10866,0.32319,0.34090
1999,No migration background,Part Time,0.16751,2300,10866,0.16049,0.17453
1999,No migration background,Not Working,0.34243,3819,10866,0.33351,0.35135
1999,Direct migration background,Full Time,0.35669,845,2204,0.33669,0.37670
1999,Direct migration background,Part Time,0.19924,460,2204,0.18256,0.21592
1999,Direct migration background,Not Working,0.39397,899,2204,0.37356,0.41437
1999,Indirect migration background,Full Time,0.13978,242,604,0.11210,0.16746
1999,Indirect migration background,Part Time,0.11483,171,604,0.08938,0.14028
1999,Indirect migration background,Not Working,0.14175,191,604,0.11391,0.16959
2000,No migration background,Full Time,0.34129,8485,19990,0.33471,0.34786
2000,No migration background,Part Time,0.16446,4097,19990,0.15932,0.16959
2000,No migration background,Not Working,0.33971,7408,19990,0.33315,0.34628
2000,Direct migration background,Full Time,0.34948,1250,3305,0.33322,0.36574
2000,Direct migration background,Part Time,0.19457,708,3305,0.18107,0.20807
2000,Direct migration background,Not Working,0.37418,1347,3305,0.35768,0.39068
2000,Indirect migration background,Full Time,0.15744,337,817,0.13245,0.18243
2000,Indirect migration background,Part Time,0.11127,237,817,0.08969,0.13285
2000,Indirect migration background,Not Working,0.12144,243,817,0.09902,0.14385
2001,No migration background,Full Time,0.34119,7643,18241,0.33431,0.34807
2001,No migration background,Part Time,0.17156,3897,18241,0.16609,0.17703
2001,No migration background,Not Working,0.33552,6701,18241,0.32867,0.34237
2001,Direct migration background,Full Time,0.34571,1102,2916,0.32844,0.36297
2001,Direct migration background,Part Time,0.22127,680,2916,0.20620,0.23634
2001,Direct migration background,Not Working,0.36885,1134,2916,0.35133,0.38636
2001,Indirect migration background,Full Time,0.15338,315,764,0.12781,0.17895
2001,Indirect migration background,Part Time,0.10661,218,764,0.08471,0.12850
2001,Indirect migration background,Not Working,0.11346,231,764,0.09095,0.13596
2002,No migration background,Full Time,0.32807,8188,19462,0.32148,0.33467
2002,No migration background,Part Time,0.17866,4369,19462,0.17328,0.18404
2002,No migration background,Not Working,0.34279,6905,19462,0.33612,0.34946
2002,Direct migration background,Full Time,0.34532,1054,2797,0.32770,0.36295
2002,Direct migration background,Part Time,0.21584,642,2797,0.20059,0.23109
2002,Direct migration background,Not Working,0.38302,1101,2797,0.36501,0.40104
2002,Indirect migration background,Full Time,0.16281,327,768,0.13668,0.18894
2002,Indirect migration background,Part Time,0.09887,206,768,0.07775,0.12000
2002,Indirect migration background,Not Working,0.11371,235,768,0.09125,0.13618
2003,No migration background,Full Time,0.32183,7675,18772,0.31515,0.32852
2003,No migration background,Part Time,0.17972,4254,18772,0.17422,0.18521
2003,No migration background,Not Working,0.34992,6843,18772,0.34310,0.35674
2003,Direct migration background,Full Time,0.32325,929,2619,0.30533,0.34117
2003,Direct migration background,Part Time,0.23024,637,2619,0.21411,0.24636
2003,Direct migration background,Not Working,0.39548,1053,2619,0.37675,0.41421
2003,Indirect migration background,Full Time,0.15707,311,775,0.13144,0.18271
2003,Indirect migration background,Part Time,0.10967,222,775,0.08765,0.13168
2003,Indirect migration background,Not Working,0.12551,242,775,0.10217,0.14886
2004,No migration background,Full Time,0.31688,7275,18280,0.31013,0.32362
2004,No migration background,Part Time,0.18232,4182,18280,0.17672,0.18792
2004,No migration background,Not Working,0.35502,6823,18280,0.34808,0.36195
2004,Direct migration background,Full Time,0.31965,872,2538,0.30151,0.33780
2004,Direct migration background,Part Time,0.22645,596,2538,0.21017,0.24274
2004,Direct migration background,Not Working,0.41475,1070,2538,0.39558,0.43392
2004,Indirect migration background,Full Time,0.16238,312,796,0.13674,0.18801
2004,Indirect migration background,Part Time,0.11719,230,796,0.09483,0.13955
2004,Indirect migration background,Not Working,0.13957,254,796,0.11548,0.16366
2005,No migration background,Full Time,0.32318,6898,17508,0.31625,0.33011
2005,No migration background,Part Time,0.18611,4041,17508,0.18034,0.19187
2005,No migration background,Not Working,0.34769,6569,17508,0.34064,0.35475
2005,Direct migration background,Full Time,0.32297,806,2368,0.30413,0.34181
2005,Direct migration background,Part Time,0.23924,556,2368,0.22205,0.25643
2005,Direct migration background,Not Working,0.40487,1006,2368,0.38510,0.42465
2005,Indirect migration background,Full Time,0.18378,329,823,0.15730,0.21026
2005,Indirect migration background,Part Time,0.13364,214,823,0.11038,0.15690
2005,Indirect migration background,Not Working,0.14229,280,823,0.11841,0.16618
2006,No migration background,Full Time,0.32165,7301,19034,0.31502,0.32829
2006,No migration background,Part Time,0.18242,4233,19034,0.17693,0.18791
2006,No migration background,Not Working,0.35703,7500,19034,0.35023,0.36384
2006,Direct migration background,Full Time,0.31983,798,2385,0.30110,0.33855
2006,Direct migration background,Part Time,0.22365,560,2385,0.20693,0.24038
2006,Direct migration background,Not Working,0.42126,1027,2385,0.40144,0.44108
2006,Indirect migration background,Full Time,0.18676,330,852,0.16057,0.21294
2006,Indirect migration background,Part Time,0.13230,228,852,0.10953,0.15506
2006,Indirect migration background,Not Working,0.14955,294,852,0.12559,0.17352
2007,No migration background,Full Time,0.32685,6839,17884,0.31998,0.33373
2007,No migration background,Part Time,0.17969,3950,17884,0.17406,0.18532
2007,No migration background,Not Working,0.35780,7095,17884,0.35077,0.36482
2007,Direct migration background,Full Time,0.30786,702,2133,0.28827,0.32745
2007,Direct migration background,Part Time,0.24815,540,2133,0.22981,0.26648
2007,Direct migration background,Not Working,0.41690,891,2133,0.39598,0.43783
2007,Indirect migration background,Full Time,0.18809,326,833,0.16153,0.21464
2007,Indirect migration background,Part Time,0.14610,221,833,0.12210,0.17010
2007,Indirect migration background,Not Working,0.15781,286,833,0.13304,0.18258
2008,No migration background,Full Time,0.33545,6520,16841,0.32832,0.34258
2008,No migration background,Part Time,0.18029,3708,16841,0.17448,0.18610
2008,No migration background,Not Working,0.34948,6613,16841,0.34228,0.35668
2008,Direct migration background,Full Time,0.31777,631,1910,0.29688,0.33866
2008,Direct migration background,Part Time,0.25110,477,1910,0.23164,0.27055
2008,Direct migration background,Not Working,0.41026,802,1910,0.38820,0.43233
2008,Indirect migration background,Full Time,0.22106,337,820,0.19264,0.24948
2008,Indirect migration background,Part Time,0.14599,222,820,0.12181,0.17018
2008,Indirect migration background,Not Working,0.16330,261,820,0.13798,0.18861
2009,No migration background,Full Time,0.33712,6167,15839,0.32976,0.34449
2009,No migration background,Part Time,0.18957,3558,15839,0.18347,0.19567
2009,No migration background,Not Working,0.33894,6114,15839,0.33157,0.34631
2009,Direct migration background,Full Time,0.30857,530,1667,0.28639,0.33075
2009,Direct migration background,Part Time,0.27693,449,1667,0.25544,0.29842
2009,Direct migration background,Not Working,0.39775,688,1667,0.37425,0.42125
2009,Indirect migration background,Full Time,0.23904,306,748,0.20846,0.26963
2009,Indirect migration background,Part Time,0.16177,208,748,0.13536,0.18818
2009,Indirect migration background,Not Working,0.15760,234,748,0.13147,0.18373
2010,No migration background,Full Time,0.34514,7854,20189,0.33859,0.35170
2010,No migration background,Part Time,0.18676,5220,20189,0.18138,0.19213
2010,No migration background,Not Working,0.33771,7115,20189,0.33119,0.34424
2010,Direct migration background,Full Time,0.29329,951,2961,0.27689,0.30969
2010,Direct migration background,Part Time,0.27853,792,2961,0.26238,0.29468
2010,Direct migration background,Not Working,0.40219,1218,2961,0.38453,0.41986
2010,Indirect migration background,Full Time,0.21289,440,1179,0.18952,0.23627
2010,Indirect migration background,Part Time,0.14241,325,1179,0.12246,0.16237
2010,Indirect migration background,Not Working,0.13328,414,1179,0.11387,0.15269
2011,No migration background,Full Time,0.34367,9095,24216,0.33769,0.34965
2011,No migration background,Part Time,0.18665,6339,24216,0.18174,0.19155
2011,No migration background,Not Working,0.33439,8782,24216,0.32845,0.34033
2011,Direct migration background,Full Time,0.32390,1074,3326,0.30799,0.33980
2011,Direct migration background,Part Time,0.26792,907,3326,0.25286,0.28297
2011,Direct migration background,Not Working,0.38194,1345,3326,0.36542,0.39845
2011,Indirect migration background,Full Time,0.20097,461,1359,0.17965,0.22228
2011,Indirect migration background,Part Time,0.14462,414,1359,0.12592,0.16333
2011,Indirect migration background,Not Working,0.14246,484,1359,0.12387,0.16105
2012,No migration background,Full Time,0.34132,8848,23700,0.33528,0.34735
2012,No migration background,Part Time,0.18884,6187,23700,0.18385,0.19382
2012,No migration background,Not Working,0.33622,8665,23700,0.33021,0.34224
2012,Direct migration background,Full Time,0.34536,1101,3153,0.32876,0.36196
2012,Direct migration background,Part Time,0.25724,853,3153,0.24198,0.27250
2012,Direct migration background,Not Working,0.36884,1199,3153,0.35200,0.38568
2012,Indirect migration background,Full Time,0.20407,477,1314,0.18227,0.22587
2012,Indirect migration background,Part Time,0.14926,415,1314,0.12999,0.16854
2012,Indirect migration background,Not Working,0.13644,422,1314,0.11787,0.15501
2013,No migration background,Full Time,0.33304,8264,22502,0.32688,0.33919
2013,No migration background,Part Time,0.19109,5956,22502,0.18595,0.19623
2013,No migration background,Not Working,0.34524,8282,22502,0.33903,0.35145
2013,Direct migration background,Full Time,0.18364,993,6518,0.17424,0.19304
2013,Direct migration background,Part Time,0.14796,821,6518,0.13934,0.15659
2013,Direct migration background,Not Working,0.63709,4704,6518,0.62542,0.64877
2013,Indirect migration background,Full Time,0.13026,460,2164,0.11608,0.14445
2013,Indirect migration background,Part Time,0.08287,380,2164,0.07125,0.09449
2013,Indirect migration background,Not Working,0.28463,1324,2164,0.26561,0.30365
2014,No migration background,Full Time,0.33552,7656,20527,0.32906,0.34198
2014,No migration background,Part Time,0.19416,5403,20527,0.18875,0.19957
2014,No migration background,Not Working,0.34051,7468,20527,0.33402,0.34699
2014,Direct migration background,Full Time,0.32536,1885,5273,0.31271,0.33800
2014,Direct migration background,Part Time,0.29406,1608,5273,0.28177,0.30636
2014,Direct migration background,Not Working,0.34929,1780,5273,0.33642,0.36216
2014,Indirect migration background,Full Time,0.21355,682,1855,0.19489,0.23220
2014,Indirect migration background,Part Time,0.14720,533,1855,0.13107,0.16333
2014,Indirect migration background,Not Working,0.15666,640,1855,0.14011,0.17321
2015,No migration background,Full Time,0.33434,7219,19559,0.32773,0.34095
2015,No migration background,Part Time,0.19945,5199,19559,0.19385,0.20506
2015,No migration background,Not Working,0.33830,7141,19559,0.33167,0.34493
2015,Direct migration background,Full Time,0.30146,1668,6052,0.28990,0.31303
2015,Direct migration background,Part Time,0.24737,1406,6052,0.23649,0.25824
2015,Direct migration background,Not Working,0.41696,2978,6052,0.40454,0.42938
2015,Indirect migration background,Full Time,0.22359,629,1732,0.20396,0.24322
2015,Indirect migration background,Part Time,0.14364,504,1732,0.12712,0.16017
2015,Indirect migration background,Not Working,0.14382,599,1732,0.12729,0.16035
2016,No migration background,Full Time,0.33596,6708,18193,0.32910,0.34283
2016,No migration background,Part Time,0.20307,4881,18193,0.19723,0.20892
2016,No migration background,Not Working,0.33037,6604,18193,0.32353,0.33720
2016,Direct migration background,Full Time,0.34294,1863,8165,0.33264,0.35323
2016,Direct migration background,Part Time,0.26738,1573,8165,0.25777,0.27698
2016,Direct migration background,Not Working,0.34584,4729,8165,0.33553,0.35616
2016,Indirect migration background,Full Time,0.23457,599,1615,0.21390,0.25524
2016,Indirect migration background,Part Time,0.14926,491,1615,0.13188,0.16665
2016,Indirect migration background,Not Working,0.15264,525,1615,0.13509,0.17018
2017,No migration background,Full Time,0.34060,7961,20516,0.33412,0.34709
2017,No migration background,Part Time,0.20403,5560,20516,0.19852,0.20955
2017,No migration background,Not Working,0.32451,6995,20516,0.31810,0.33092
2017,Direct migration background,Full Time,0.33459,1862,8984,0.32483,0.34435
2017,Direct migration background,Part Time,0.27388,1631,8984,0.26466,0.28310
2017,Direct migration background,Not Working,0.34350,5491,8984,0.33368,0.35332
2017,Indirect migration background,Full Time,0.22670,616,1760,0.20713,0.24627
2017,Indirect migration background,Part Time,0.15054,581,1760,0.13383,0.16725
2017,Indirect migration background,Not Working,0.15254,563,1760,0.13574,0.16934
2018,No migration background,Full Time,0.34009,7543,19788,0.33349,0.34669
2018,No migration background,Part Time,0.21447,5482,19788,0.20875,0.22019
2018,No migration background,Not Working,0.31799,6763,19788,0.31150,0.32448
2018,Direct migration background,Full Time,0.34945,1857,8364,0.33923,0.35967
2018,Direct migration background,Part Time,0.26974,1726,8364,0.26023,0.27925
2018,Direct migration background,Not Working,0.33121,4781,8364,0.32112,0.34129
2018,Indirect migration background,Full Time,0.23989,649,1737,0.21980,0.25997
2018,Indirect migration background,Part Time,0.16402,587,1737,0.14660,0.18144
2018,Indirect migration background,Not Working,0.13429,501,1737,0.11825,0.15033
2019,No migration background,Full Time,0.33687,8271,20604,0.33041,0.34332
2019,No migration background,Part Time,0.20641,5418,20604,0.20088,0.21194
2019,No migration background,Not Working,0.32540,6915,20604,0.31900,0.33179
2019,Direct migration background,Full Time,0.36130,1882,7534,0.35045,0.37215
2019,Direct migration background,Part Time,0.26797,1676,7534,0.25797,0.27797
2019,Direct migration background,Not Working,0.32474,3976,7534,0.31416,0.33531
2019,Indirect migration background,Full Time,0.23736,656,1691,0.21707,0.25764
2019,Indirect migration background,Part Time,0.17824,547,1691,0.15999,0.19649
2019,Indirect migration background,Not Working,0.11736,488,1691,0.10202,0.13271
2020,No migration background,Full Time,0.33682,7459,18904,0.33009,0.34356
2020,No migration background,Part Time,0.20731,5002,18904,0.20153,0.21309
2020,No migration background,Not Working,0.32218,6443,18904,0.31552,0.32884
2020,Direct migration background,Full Time,0.34977,2955,9481,0.34017,0.35937
2020,Direct migration background,Part Time,0.26774,2258,9481,0.25882,0.27665
2020,Direct migration background,Not Working,0.33481,4268,9481,0.32531,0.34431
2020,Indirect migration background,Full Time,0.22304,625,1627,0.20280,0.24327
2020,Indirect migration background,Part Time,0.16275,544,1627,0.14481,0.18069
2020,Indirect migration background,Not Working,0.13214,458,1627,0.11568,0.14860
2021,No migration background,Full Time,0.31138,4943,13448,0.30355,0.31921
2021,No migration background,Part Time,0.19586,3388,13448,0.18916,0.20257
2021,No migration background,Not Working,0.35886,5117,13448,0.35075,0.36697
2021,Direct migration background,Full Time,0.32216,1438,5500,0.30981,0.33451
2021,Direct migration background,Part Time,0.25808,1230,5500,0.24651,0.26964
2021,Direct migration background,Not Working,0.36429,2832,5500,0.35157,0.37700
2021,Indirect migration background,Full Time,0.21658,362,983,0.19082,0.24234
2021,Indirect migration background,Part Time,0.13207,303,983,0.11089,0.15324
2021,Indirect migration background,Not Working,0.14074,318,983,0.11899,0.16249
