year,quintil_oecd,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,1st Quintile,Vocational Retraining,0.00516,31,31,-0.02048,0.03080
2002,4th Quintile,Further vocational education,0.00670,39,39,-0.01924,0.03263
2002,5th Quintile,Further vocational education,0.01182,50,91,-0.01051,0.03415
2002,5th Quintile,Others,0.00740,41,91,-0.01031,0.02510
2003,3rd Quintile,Further vocational education,0.00756,32,32,-0.02293,0.03806
2003,4th Quintile,Further vocational education,0.00748,41,41,-0.01923,0.03419
2003,5th Quintile,Further vocational education,0.00739,50,50,-0.01659,0.03138
2004,4th Quintile,Further vocational education,0.00896,42,42,-0.01988,0.03780
2004,5th Quintile,Further vocational education,0.00781,51,51,-0.01659,0.03220
2005,5th Quintile,Further vocational education,0.00704,38,38,-0.01990,0.03399
2007,5th Quintile,Further vocational education,0.00370,31,31,-0.01803,0.02543
2010,5th Quintile,Further vocational education,0.00925,31,31,-0.02501,0.04352
2011,1st Quintile,Vocational Retraining,0.00373,34,34,-0.01707,0.02452
2011,4th Quintile,Further vocational education,0.00876,37,37,-0.02168,0.03919
2011,5th Quintile,Further vocational education,0.01018,31,31,-0.02574,0.04610
2012,3rd Quintile,Further vocational education,0.00799,38,38,-0.02069,0.03667
2012,5th Quintile,Further vocational education,0.00722,41,41,-0.01902,0.03347
2013,1st Quintile,Others,0.00436,32,32,-0.01883,0.02755
2013,2nd Quintile,Further vocational education,0.00181,32,32,-0.01314,0.01676
2013,3rd Quintile,Further vocational education,0.00543,36,36,-0.01891,0.02976
2013,4th Quintile,Further vocational education,0.00870,45,45,-0.01874,0.03615
2013,5th Quintile,Further vocational education,0.00771,39,39,-0.02010,0.03553
2014,1st Quintile,Vocational Retraining,0.00346,35,35,-0.01627,0.02319
2014,2nd Quintile,Further vocational education,0.00528,43,43,-0.01664,0.02721
2014,4th Quintile,Further vocational education,0.00591,34,34,-0.02025,0.03208
2014,5th Quintile,Further vocational education,0.00978,43,43,-0.01998,0.03954
2015,4th Quintile,Further vocational education,0.00472,31,31,-0.01981,0.02925
2016,1st Quintile,Vocational Retraining,0.00318,37,68,-0.01030,0.01665
2016,1st Quintile,Others,0.00334,31,68,-0.01047,0.01714
2016,4th Quintile,Further vocational education,0.00512,31,31,-0.02042,0.03067
2016,5th Quintile,Further vocational education,0.00677,34,34,-0.02120,0.03474
2017,1st Quintile,Vocational Retraining,0.00272,38,38,-0.01406,0.01950
2017,5th Quintile,Further vocational education,0.00756,41,41,-0.01929,0.03442
2019,1st Quintile,Vocational Retraining,0.00215,33,33,-0.01390,0.01819
2019,4th Quintile,Further vocational education,0.00565,34,34,-0.01993,0.03124
2021,5th Quintile,Further vocational education,0.00541,32,32,-0.02041,0.03123
