year,pgisced97,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Upper Secondary Level,Vocational Retraining,0.00274,37,91,-0.00806,0.01355
2015,Upper Secondary Level,Further vocational education,0.00478,54,91,-0.00947,0.01902
2015,Second Stage of Tertiary Education,Further vocational education,0.00544,40,40,-0.01765,0.02852
2016,Upper Secondary Level,Vocational Retraining,0.00162,32,88,-0.00683,0.01007
2016,Upper Secondary Level,Further vocational education,0.00594,56,88,-0.01021,0.02208
2016,Second Stage of Tertiary Education,Further vocational education,0.00551,53,53,-0.01461,0.02564
2017,Upper Secondary Level,Further vocational education,0.00430,64,64,-0.01186,0.02046
2017,Second Stage of Tertiary Education,Further vocational education,0.00955,70,70,-0.01340,0.03249
2018,Upper Secondary Level,Vocational Retraining,0.00204,31,77,-0.00811,0.01219
2018,Upper Secondary Level,Further vocational education,0.00351,46,77,-0.00978,0.01679
2018,Second Stage of Tertiary Education,Further vocational education,0.00679,45,45,-0.01747,0.03105
2019,Upper Secondary Level,Further vocational education,0.00353,48,48,-0.01343,0.02049
2019,Second Stage of Tertiary Education,Further vocational education,0.00494,42,42,-0.01653,0.02641
2020,Upper Secondary Level,Further vocational education,0.00216,41,41,-0.01222,0.01654
2020,Second Stage of Tertiary Education,Further vocational education,0.00550,56,56,-0.01405,0.02505
2021,Upper Secondary Level,Further vocational education,0.00393,31,31,-0.01845,0.02631
2021,Second Stage of Tertiary Education,Further vocational education,0.00769,50,50,-0.01677,0.03214
