year,quintil_oecd,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,1st Quintile,Central Asia,0.00638,31,2309,0.00313,0.00963
1997,1st Quintile,Western Asia,0.04776,291,2309,0.03906,0.05646
1997,1st Quintile,Eastern Europe,0.04493,163,2309,0.03647,0.05338
1997,2nd Quintile,Germany,0.66266,2108,2685,0.64477,0.68055
1997,2nd Quintile,Southern Europe,0.02876,222,2685,0.02244,0.03509
1997,2nd Quintile,Central Asia,0.00570,32,2685,0.00285,0.00855
1997,2nd Quintile,Western Asia,0.02564,203,2685,0.01966,0.03162
1997,2nd Quintile,Eastern Europe,0.03471,120,2685,0.02779,0.04164
1997,3rd Quintile,Germany,0.70820,2150,2476,0.69029,0.72611
1997,3rd Quintile,Southern Europe,0.02501,178,2476,0.01886,0.03116
1997,3rd Quintile,Western Asia,0.01078,69,2476,0.00671,0.01484
1997,3rd Quintile,Eastern Europe,0.02984,79,2476,0.02314,0.03654
1997,4th Quintile,Germany,0.76746,2295,2559,0.75109,0.78384
1997,4th Quintile,Southern Europe,0.02091,146,2559,0.01537,0.02646
1997,4th Quintile,Western Asia,0.00830,46,2559,0.00478,0.01181
1997,4th Quintile,Eastern Europe,0.02278,72,2559,0.01699,0.02856
1997,5th Quintile,Germany,0.81791,2190,2346,0.80229,0.83353
1997,5th Quintile,Southern Europe,0.01521,99,2346,0.01025,0.02016
1997,5th Quintile,Eastern Europe,0.02016,57,2346,0.01447,0.02584
1998,1st Quintile,Germany,0.57382,1609,2277,0.55350,0.59414
1998,1st Quintile,Southern Europe,0.04355,214,2277,0.03517,0.05194
1998,1st Quintile,Central Asia,0.00807,40,2277,0.00439,0.01174
1998,1st Quintile,Western Asia,0.05593,276,2277,0.04649,0.06537
1998,1st Quintile,Eastern Europe,0.04407,138,2277,0.03563,0.05250
1998,2nd Quintile,Germany,0.65766,2001,2478,0.63897,0.67634
1998,2nd Quintile,Southern Europe,0.02623,173,2478,0.01994,0.03253
1998,2nd Quintile,Western Asia,0.02699,172,2478,0.02061,0.03337
1998,2nd Quintile,Eastern Europe,0.03552,132,2478,0.02823,0.04281
1998,3rd Quintile,Germany,0.71967,2150,2459,0.70191,0.73743
1998,3rd Quintile,Southern Europe,0.02696,152,2459,0.02056,0.03336
1998,3rd Quintile,Western Asia,0.01560,69,2459,0.01070,0.02050
1998,3rd Quintile,Eastern Europe,0.02633,88,2459,0.02000,0.03266
1998,4th Quintile,Germany,0.77342,2275,2502,0.75701,0.78982
1998,4th Quintile,Southern Europe,0.02630,131,2502,0.02002,0.03257
1998,4th Quintile,Western Asia,0.00976,42,2502,0.00591,0.01362
1998,4th Quintile,Eastern Europe,0.02154,54,2502,0.01585,0.02723
1998,5th Quintile,Germany,0.81364,2071,2206,0.79739,0.82990
1998,5th Quintile,Southern Europe,0.01521,86,2206,0.01010,0.02032
1998,5th Quintile,Eastern Europe,0.01911,49,2206,0.01340,0.02483
1999,1st Quintile,Germany,0.60176,1890,2532,0.58269,0.62084
1999,1st Quintile,Southern Europe,0.03531,192,2532,0.02812,0.04250
1999,1st Quintile,Central Asia,0.01134,41,2532,0.00722,0.01547
1999,1st Quintile,Western Asia,0.05021,278,2532,0.04170,0.05872
1999,1st Quintile,Eastern Europe,0.03920,131,2532,0.03164,0.04676
1999,2nd Quintile,Germany,0.67328,2277,2809,0.65593,0.69062
1999,2nd Quintile,Southern Europe,0.02859,185,2809,0.02242,0.03475
1999,2nd Quintile,Central Asia,0.00716,32,2809,0.00404,0.01027
1999,2nd Quintile,Western Asia,0.02812,175,2809,0.02200,0.03423
1999,2nd Quintile,Eastern Europe,0.03786,140,2809,0.03080,0.04492
1999,3rd Quintile,Germany,0.71489,2415,2732,0.69796,0.73183
1999,3rd Quintile,Southern Europe,0.02189,140,2732,0.01640,0.02738
1999,3rd Quintile,Western Asia,0.01260,72,2732,0.00842,0.01679
1999,3rd Quintile,Eastern Europe,0.03131,105,2732,0.02478,0.03784
