year,sampreg,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,West,Latin America and the Caribbean,0.00345,76,21948,0.00267,0.00422
2014,East,Germany,0.83167,5306,5606,0.82188,0.84147
2014,East,Southern Europe,0.00262,38,5606,0.00128,0.00396
2014,East,Central Asia,0.00424,58,5606,0.00254,0.00594
2014,East,Eastern Europe,0.01734,204,5606,0.01393,0.02076
2015,West,Germany,0.70679,16233,21827,0.70076,0.71283
2015,West,Northern Africa,0.00227,108,21827,0.00164,0.00290
2015,West,Northern America,0.00174,49,21827,0.00119,0.00229
2015,West,Eastern Asia,0.00106,34,21827,0.00063,0.00149
2015,West,Southern Asia,0.00590,184,21827,0.00488,0.00691
2015,West,South-Eastern Asia,0.00272,56,21827,0.00203,0.00341
2015,West,Southern Europe,0.02754,1103,21827,0.02537,0.02971
2015,West,Central Asia,0.01657,607,21827,0.01487,0.01826
2015,West,Western Asia,0.02337,754,21827,0.02136,0.02537
2015,West,Eastern Europe,0.04335,2142,21827,0.04065,0.04605
2015,West,Northern Europe,0.00320,123,21827,0.00245,0.00395
2015,West,Western Europe,0.01001,211,21827,0.00869,0.01133
2015,West,Sub-Saharan Africa,0.00324,109,21827,0.00248,0.00399
2015,West,Latin America and the Caribbean,0.00330,114,21827,0.00254,0.00406
2015,East,Germany,0.82644,5058,5408,0.81635,0.83654
2015,East,Southern Europe,0.00371,58,5408,0.00209,0.00533
2015,East,Central Asia,0.00383,50,5408,0.00218,0.00547
2015,East,Eastern Europe,0.02010,242,5408,0.01636,0.02385
2016,West,Germany,0.70150,15047,22262,0.69549,0.70751
2016,West,Northern Africa,0.00240,107,22262,0.00176,0.00304
2016,West,Northern America,0.00221,44,22262,0.00159,0.00282
2016,West,Southern Asia,0.00654,459,22262,0.00548,0.00759
2016,West,South-Eastern Asia,0.00295,50,22262,0.00224,0.00366
2016,West,Southern Europe,0.02959,1023,22262,0.02737,0.03182
2016,West,Central Asia,0.01506,541,22262,0.01346,0.01666
2016,West,Western Asia,0.02599,2548,22262,0.02390,0.02808
2016,West,Eastern Europe,0.04170,1826,22262,0.03908,0.04433
2016,West,Northern Europe,0.00343,103,22262,0.00266,0.00420
2016,West,Western Europe,0.01011,183,22262,0.00879,0.01142
2016,West,Sub-Saharan Africa,0.00341,240,22262,0.00265,0.00418
2016,West,Latin America and the Caribbean,0.00368,91,22262,0.00288,0.00448
2016,East,Germany,0.81763,4761,5610,0.80752,0.82774
2016,East,Southern Asia,0.00222,119,5610,0.00099,0.00345
2016,East,Southern Europe,0.00353,56,5610,0.00198,0.00508
2016,East,Central Asia,0.00379,46,5610,0.00218,0.00540
2016,East,Western Asia,0.00492,350,5610,0.00309,0.00675
2016,East,Eastern Europe,0.01792,234,5610,0.01445,0.02139
2016,East,Sub-Saharan Africa,0.00156,44,5610,0.00052,0.00259
2017,West,Germany,0.69925,16982,24947,0.69356,0.70495
2017,West,Northern Africa,0.00204,96,24947,0.00148,0.00260
2017,West,Northern America,0.00254,41,24947,0.00192,0.00317
2017,West,Southern Asia,0.00757,604,24947,0.00649,0.00865
2017,West,South-Eastern Asia,0.00328,50,24947,0.00257,0.00399
2017,West,Southern Europe,0.03089,877,24947,0.02874,0.03304
2017,West,Central Asia,0.01319,503,24947,0.01177,0.01461
2017,West,Western Asia,0.02739,3452,24947,0.02536,0.02941
2017,West,Eastern Europe,0.03974,1700,24947,0.03732,0.04216
2017,West,Northern Europe,0.00274,98,24947,0.00209,0.00338
2017,West,Western Europe,0.01060,199,24947,0.00933,0.01187
2017,West,Sub-Saharan Africa,0.00357,250,24947,0.00283,0.00431
2017,West,Latin America and the Caribbean,0.00460,95,24947,0.00376,0.00544
2017,East,Germany,0.81098,5294,6215,0.80124,0.82071
2017,East,Southern Asia,0.00198,133,6215,0.00087,0.00309
2017,East,Southern Europe,0.00417,55,6215,0.00257,0.00577
2017,East,Central Asia,0.00369,47,6215,0.00218,0.00520
2017,East,Western Asia,0.00535,419,6215,0.00353,0.00716
2017,East,Eastern Europe,0.01971,230,6215,0.01626,0.02317
2017,East,Sub-Saharan Africa,0.00097,37,6215,0.00019,0.00174
2018,West,Germany,0.69767,16303,23722,0.69182,0.70351
2018,West,Northern Africa,0.00228,105,23722,0.00167,0.00288
2018,West,Northern America,0.00241,32,23722,0.00179,0.00304
2018,West,Southern Asia,0.00831,529,23722,0.00716,0.00947
2018,West,South-Eastern Asia,0.00309,45,23722,0.00239,0.00380
2018,West,Southern Europe,0.02882,773,23722,0.02670,0.03095
2018,West,Central Asia,0.01310,459,23722,0.01166,0.01455
2018,West,Western Asia,0.02863,3229,23722,0.02651,0.03075
2018,West,Eastern Europe,0.04176,1611,23722,0.03922,0.04431
2018,West,Northern Europe,0.00295,89,23722,0.00226,0.00364
2018,West,Western Europe,0.01284,197,23722,0.01141,0.01427
2018,West,Sub-Saharan Africa,0.00391,259,23722,0.00312,0.00471
2018,West,Latin America and the Caribbean,0.00412,91,23722,0.00331,0.00494
2018,East,Germany,0.81425,5222,6079,0.80447,0.82403
2018,East,Southern Asia,0.00303,125,6079,0.00164,0.00441
2018,East,Southern Europe,0.00448,45,6079,0.00280,0.00616
2018,East,Central Asia,0.00253,38,6079,0.00126,0.00379
2018,East,Western Asia,0.00597,413,6079,0.00403,0.00791
2018,East,Eastern Europe,0.01551,191,6079,0.01240,0.01862
2018,East,Sub-Saharan Africa,0.00182,45,6079,0.00075,0.00289
2019,West,Germany,0.69275,16866,23582,0.68687,0.69864
2019,West,Northern Africa,0.00249,88,23582,0.00186,0.00313
2019,West,Northern America,0.00307,34,23582,0.00236,0.00378
2019,West,Southern Asia,0.00738,439,23582,0.00629,0.00847
2019,West,South-Eastern Asia,0.00232,37,23582,0.00170,0.00293
2019,West,Southern Europe,0.02957,642,23582,0.02741,0.03173
2019,West,Central Asia,0.01271,379,23582,0.01128,0.01414
2019,West,Western Asia,0.02866,3067,23582,0.02653,0.03079
2019,West,Eastern Europe,0.04102,1421,23582,0.03849,0.04355
2019,West,Northern Europe,0.00299,85,23582,0.00230,0.00369
2019,West,Western Europe,0.01273,209,23582,0.01130,0.01416
2019,West,Sub-Saharan Africa,0.00459,218,23582,0.00373,0.00545
2019,West,Latin America and the Caribbean,0.00521,97,23582,0.00429,0.00613
2019,East,Germany,0.81558,5356,6084,0.80583,0.82532
2019,East,Southern Asia,0.00418,111,6084,0.00256,0.00580
2019,East,Southern Europe,0.00199,32,6084,0.00087,0.00311
2019,East,Central Asia,0.00301,40,6084,0.00163,0.00439
2019,East,Western Asia,0.00737,342,6084,0.00522,0.00952
2019,East,Eastern Europe,0.01687,164,6084,0.01364,0.02011
2019,East,Sub-Saharan Africa,0.00085,39,6084,0.00012,0.00158
2020,West,Germany,0.70136,15611,24044,0.69557,0.70714
2020,West,Northern Africa,0.00191,130,24044,0.00135,0.00246
2020,West,Northern America,0.00285,71,24044,0.00218,0.00352
2020,West,Eastern Asia,0.00049,47,24044,0.00021,0.00077
2020,West,Southern Asia,0.00795,634,24044,0.00683,0.00907
2020,West,South-Eastern Asia,0.00236,74,24044,0.00174,0.00297
2020,West,Southern Europe,0.02821,968,24044,0.02612,0.03031
2020,West,Central Asia,0.01218,351,24044,0.01079,0.01356
2020,West,Western Asia,0.02607,3185,24044,0.02405,0.02808
2020,West,Eastern Europe,0.03411,2031,24044,0.03182,0.03641
2020,West,Northern Europe,0.00268,82,24044,0.00203,0.00334
2020,West,Western Europe,0.01202,206,24044,0.01064,0.01340
2020,West,Sub-Saharan Africa,0.00549,472,24044,0.00456,0.00642
2020,West,Latin America and the Caribbean,0.00489,182,24044,0.00401,0.00578
2020,East,Germany,0.81778,4920,5854,0.80789,0.82767
2020,East,Southern Asia,0.00191,129,5854,0.00079,0.00302
2020,East,Southern Europe,0.00261,66,5854,0.00130,0.00392
2020,East,Central Asia,0.00321,36,5854,0.00176,0.00465
2020,East,Western Asia,0.00654,374,5854,0.00447,0.00860
2020,East,Eastern Europe,0.01555,277,5854,0.01238,0.01872
2020,East,Sub-Saharan Africa,0.00083,52,5854,0.00009,0.00157
2021,West,Germany,0.69427,11011,15915,0.68711,0.70143
2021,West,Northern Africa,0.00132,55,15915,0.00075,0.00188
2021,West,Northern America,0.00305,50,15915,0.00219,0.00390
2021,West,Southern Asia,0.00793,367,15915,0.00655,0.00931
2021,West,South-Eastern Asia,0.00184,31,15915,0.00117,0.00250
2021,West,Southern Europe,0.03013,470,15915,0.02747,0.03278
2021,West,Central Asia,0.01289,201,15915,0.01113,0.01464
2021,West,Western Asia,0.02598,2150,15915,0.02351,0.02845
2021,West,Eastern Europe,0.03808,1038,15915,0.03511,0.04106
2021,West,Northern Europe,0.00311,58,15915,0.00224,0.00397
2021,West,Western Europe,0.01131,147,15915,0.00966,0.01295
2021,West,Sub-Saharan Africa,0.00481,239,15915,0.00374,0.00589
2021,West,Latin America and the Caribbean,0.00426,98,15915,0.00325,0.00527
2021,East,Germany,0.79855,3420,3850,0.78588,0.81122
2021,East,Southern Asia,0.00133,32,3850,0.00018,0.00248
2021,East,Western Asia,0.00945,269,3850,0.00640,0.01251
2021,East,Eastern Europe,0.01804,129,3850,0.01384,0.02225
