"year","bildungsniveau","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1993","AkademikerIn","Laendlicher Raum","6.87","6.5","623","6.7","7.04"
"1993","AkademikerIn","Staedtischer Raum","6.72","6.5","1008","6.59","6.85"
"1993","Hauptschule","Laendlicher Raum","6.11","5.5","2116","6.01","6.21"
"1993","Hauptschule","Staedtischer Raum","6.17","6.5","4221","6.1","6.24"
"1993","Realschule","Laendlicher Raum","6.99","6.5","1340","6.88","7.1"
"1993","Realschule","Staedtischer Raum","6.9","6.5","1749","6.8","7"
"1994","(Fach-)Abitur","Laendlicher Raum","7.09","6.5","218","6.82","7.36"
"1994","(Fach-)Abitur","Staedtischer Raum","6.93","6.5","700","6.77","7.09"
"1994","(noch) kein Abschluss","Laendlicher Raum","7.28","7.5","168","6.93","7.63"
"1994","(noch) kein Abschluss","Staedtischer Raum","6.9","6.5","671","6.71","7.09"
"1994","AkademikerIn","Laendlicher Raum","6.73","6.5","620","6.57","6.89"
"1994","AkademikerIn","Staedtischer Raum","6.72","6.5","1032","6.59","6.85"
"1994","Hauptschule","Laendlicher Raum","6.04","5.5","2020","5.94","6.14"
"1994","Hauptschule","Staedtischer Raum","6.02","5.5","4070","5.95","6.09"
"1994","Realschule","Laendlicher Raum","6.85","6.5","1315","6.74","6.96"
"1994","Realschule","Staedtischer Raum","6.82","6.5","1727","6.72","6.92"
"1995","(Fach-)Abitur","Laendlicher Raum","7.02","7.5","251","6.78","7.26"
"1995","(Fach-)Abitur","Staedtischer Raum","7.21","7.5","808","7.07","7.35"
"1995","(noch) kein Abschluss","Laendlicher Raum","7.56","7.5","183","7.25","7.87"
"1995","(noch) kein Abschluss","Staedtischer Raum","6.89","6.5","691","6.7","7.08"
"1995","AkademikerIn","Laendlicher Raum","6.76","6.5","653","6.6","6.92"
"1995","AkademikerIn","Staedtischer Raum","6.74","6.5","1098","6.61","6.87"
"1995","Hauptschule","Laendlicher Raum","6.05","5.5","2027","5.95","6.15"
"1995","Hauptschule","Staedtischer Raum","6.12","5.5","4075","6.05","6.19"
"1995","Realschule","Laendlicher Raum","6.91","6.5","1357","6.8","7.02"
"1995","Realschule","Staedtischer Raum","6.7","6.5","1742","6.6","6.8"
"1996","(Fach-)Abitur","Laendlicher Raum","7.07","6.5","240","6.84","7.3"
"1996","(Fach-)Abitur","Staedtischer Raum","7.17","7.5","789","7.02","7.32"
"1996","(noch) kein Abschluss","Laendlicher Raum","7.02","6.5","190","6.69","7.35"
"1996","(noch) kein Abschluss","Staedtischer Raum","6.92","7.5","649","6.73","7.11"
"1996","AkademikerIn","Laendlicher Raum","6.62","6.5","652","6.47","6.77"
"1996","AkademikerIn","Staedtischer Raum","6.79","6.5","1112","6.67","6.91"
"1996","Hauptschule","Laendlicher Raum","6.03","5.5","1998","5.93","6.13"
"1996","Hauptschule","Staedtischer Raum","6.04","5.5","3940","5.97","6.11"
"1996","Realschule","Laendlicher Raum","6.84","6.5","1365","6.73","6.95"
"1996","Realschule","Staedtischer Raum","6.78","6.5","1748","6.68","6.88"
"1997","(Fach-)Abitur","Laendlicher Raum","7.1","7.5","227","6.83","7.37"
"1997","(Fach-)Abitur","Staedtischer Raum","7.07","6.5","787","6.93","7.21"
"1997","(noch) kein Abschluss","Laendlicher Raum","6.82","6.5","198","6.5","7.14"
"1997","(noch) kein Abschluss","Staedtischer Raum","6.96","7.5","634","6.77","7.15"
"1997","AkademikerIn","Laendlicher Raum","6.46","6.5","664","6.31","6.61"
"1997","AkademikerIn","Staedtischer Raum","6.79","6.5","1101","6.67","6.91"
"1997","Hauptschule","Laendlicher Raum","5.99","5.5","1931","5.89","6.09"
"1997","Hauptschule","Staedtischer Raum","6.1","5.5","3825","6.03","6.17"
"1997","Realschule","Laendlicher Raum","6.71","6.5","1342","6.6","6.82"
"1997","Realschule","Staedtischer Raum","6.72","6.5","1729","6.62","6.82"
"1998","(Fach-)Abitur","Laendlicher Raum","7.04","7.5","248","6.79","7.29"
"1998","(Fach-)Abitur","Staedtischer Raum","7.2","7.5","892","7.06","7.34"
"1998","(noch) kein Abschluss","Laendlicher Raum","7.28","7.5","198","6.98","7.58"
"1998","(noch) kein Abschluss","Staedtischer Raum","6.8","6.5","621","6.61","6.99"
"1998","AkademikerIn","Laendlicher Raum","6.65","6.5","728","6.5","6.8"
"1998","AkademikerIn","Staedtischer Raum","6.91","6.5","1234","6.8","7.02"
"1998","Hauptschule","Laendlicher Raum","6.12","5.5","2095","6.02","6.22"
"1998","Hauptschule","Staedtischer Raum","6.17","5.5","4077","6.1","6.24"
"1998","Realschule","Laendlicher Raum","6.91","6.5","1471","6.81","7.01"
"1998","Realschule","Staedtischer Raum","6.82","6.5","1918","6.73","6.91"
"1999","(Fach-)Abitur","Laendlicher Raum","7.31","7.5","260","7.07","7.55"
"1999","(Fach-)Abitur","Staedtischer Raum","7.13","7.5","872","6.99","7.27"
"1999","(noch) kein Abschluss","Laendlicher Raum","6.76","6.5","181","6.45","7.07"
"1999","(noch) kein Abschluss","Staedtischer Raum","6.96","7.5","607","6.76","7.16"
"1999","AkademikerIn","Laendlicher Raum","6.53","6.5","718","6.38","6.68"
"1999","AkademikerIn","Staedtischer Raum","6.92","6.5","1237","6.8","7.04"
"1999","Hauptschule","Laendlicher Raum","5.96","5.5","2054","5.86","6.06"
"1999","Hauptschule","Staedtischer Raum","6.14","5.5","3948","6.07","6.21"
"1999","Realschule","Laendlicher Raum","6.81","6.5","1480","6.71","6.91"
"1999","Realschule","Staedtischer Raum","6.81","6.5","1896","6.72","6.9"
"2000","(Fach-)Abitur","Laendlicher Raum","7.46","7.5","554","7.3","7.62"
"2000","(Fach-)Abitur","Staedtischer Raum","7.19","7.5","1790","7.09","7.29"
"2000","(noch) kein Abschluss","Laendlicher Raum","7.29","7.5","254","7.01","7.57"
"2000","(noch) kein Abschluss","Staedtischer Raum","7.05","7.5","661","6.86","7.24"
"2000","AkademikerIn","Laendlicher Raum","6.82","6.5","1208","6.7","6.94"
"2000","AkademikerIn","Staedtischer Raum","7.1","7.5","2602","7.02","7.18"
"2000","Hauptschule","Laendlicher Raum","6.12","5.5","3734","6.04","6.2"
"2000","Hauptschule","Staedtischer Raum","6.34","6.5","6929","6.28","6.4"
"2000","Realschule","Laendlicher Raum","7","6.5","2661","6.92","7.08"
"2000","Realschule","Staedtischer Raum","7.06","6.5","3621","6.99","7.13"
"2001","(Fach-)Abitur","Laendlicher Raum","7.33","7.5","521","7.16","7.5"
"2001","(Fach-)Abitur","Staedtischer Raum","7.06","7.5","1691","6.96","7.16"
"2001","(noch) kein Abschluss","Laendlicher Raum","7.45","7.5","259","7.18","7.72"
"2001","(noch) kein Abschluss","Staedtischer Raum","7.34","7.5","609","7.15","7.53"
"2001","AkademikerIn","Laendlicher Raum","6.69","6.5","1120","6.57","6.81"
"2001","AkademikerIn","Staedtischer Raum","7.05","7.5","2421","6.97","7.13"
"2001","Hauptschule","Laendlicher Raum","6.24","5.5","3287","6.16","6.32"
"2001","Hauptschule","Staedtischer Raum","6.33","6.5","6069","6.27","6.39"
"2001","Realschule","Laendlicher Raum","6.94","6.5","2400","6.86","7.02"
"2001","Realschule","Staedtischer Raum","7.06","7.5","3357","6.99","7.13"
"2002","(Fach-)Abitur","Laendlicher Raum","7.39","7.5","588","7.24","7.54"
"2002","(Fach-)Abitur","Staedtischer Raum","7.04","7.5","1862","6.95","7.13"
"2002","(noch) kein Abschluss","Laendlicher Raum","7.41","7.5","252","7.15","7.67"
"2002","(noch) kein Abschluss","Staedtischer Raum","7.06","7.5","654","6.88","7.24"
"2002","AkademikerIn","Laendlicher Raum","6.52","6.5","1332","6.41","6.63"
"2002","AkademikerIn","Staedtischer Raum","7","6.5","3215","6.93","7.07"
"2002","Hauptschule","Laendlicher Raum","6.12","5.5","3114","6.04","6.2"
"2002","Hauptschule","Staedtischer Raum","6.19","6.5","5782","6.13","6.25"
"2002","Realschule","Laendlicher Raum","6.85","6.5","2411","6.77","6.93"
"2002","Realschule","Staedtischer Raum","6.9","6.5","3572","6.83","6.97"
"2003","(Fach-)Abitur","Laendlicher Raum","7.34","7.5","569","7.18","7.5"
"2003","(Fach-)Abitur","Staedtischer Raum","7.03","7.5","1838","6.94","7.12"
"2003","(noch) kein Abschluss","Laendlicher Raum","7.26","7.5","260","7.02","7.5"
"2003","(noch) kein Abschluss","Staedtischer Raum","7.13","7.5","633","6.95","7.31"
"2003","AkademikerIn","Laendlicher Raum","6.54","6.5","1275","6.43","6.65"
"2003","AkademikerIn","Staedtischer Raum","6.99","7.5","3074","6.92","7.06"
"2003","Hauptschule","Laendlicher Raum","6.15","5.5","2935","6.07","6.23"
"2003","Hauptschule","Staedtischer Raum","6.21","6.5","5505","6.15","6.27"
"2003","Realschule","Laendlicher Raum","6.72","6.5","2336","6.64","6.8"
"2003","Realschule","Staedtischer Raum","6.85","6.5","3441","6.78","6.92"
"2004","(Fach-)Abitur","Laendlicher Raum","7.01","7.5","570","6.85","7.17"
"2004","(Fach-)Abitur","Staedtischer Raum","6.96","7.5","1822","6.86","7.06"
"2004","(noch) kein Abschluss","Laendlicher Raum","7.4","7.5","258","7.12","7.68"
"2004","(noch) kein Abschluss","Staedtischer Raum","6.99","7.5","648","6.81","7.17"
"2004","AkademikerIn","Laendlicher Raum","6.52","6.5","1262","6.41","6.63"
"2004","AkademikerIn","Staedtischer Raum","6.77","6.5","3018","6.7","6.84"
"2004","Hauptschule","Laendlicher Raum","6.03","5.5","2796","5.94","6.12"
"2004","Hauptschule","Staedtischer Raum","6.06","5.5","5250","6","6.12"
"2004","Realschule","Laendlicher Raum","6.7","6.5","2279","6.61","6.79"
"2004","Realschule","Staedtischer Raum","6.63","6.5","3316","6.56","6.7"
"2005","(Fach-)Abitur","Laendlicher Raum","7.17","7.5","553","7.01","7.33"
"2005","(Fach-)Abitur","Staedtischer Raum","6.89","6.5","1738","6.79","6.99"
"2005","(noch) kein Abschluss","Laendlicher Raum","7.21","7.5","259","6.92","7.5"
"2005","(noch) kein Abschluss","Staedtischer Raum","7.04","7.5","642","6.86","7.22"
"2005","AkademikerIn","Laendlicher Raum","6.51","6.5","1220","6.39","6.63"
"2005","AkademikerIn","Staedtischer Raum","6.81","6.5","2932","6.74","6.88"
"2005","Hauptschule","Laendlicher Raum","6.14","5.5","2618","6.05","6.23"
"2005","Hauptschule","Staedtischer Raum","6.09","5.5","4928","6.03","6.15"
"2005","Realschule","Laendlicher Raum","6.68","6.5","2183","6.59","6.77"
"2005","Realschule","Staedtischer Raum","6.69","6.5","3190","6.62","6.76"
"2006","(Fach-)Abitur","Laendlicher Raum","6.87","6.5","595","6.71","7.03"
"2006","(Fach-)Abitur","Staedtischer Raum","6.94","6.5","1852","6.84","7.04"
"2006","(noch) kein Abschluss","Laendlicher Raum","6.86","7.5","186","6.51","7.21"
"2006","(noch) kein Abschluss","Staedtischer Raum","6.83","6.5","465","6.62","7.04"
"2006","AkademikerIn","Laendlicher Raum","6.47","6.5","1341","6.36","6.58"
"2006","AkademikerIn","Staedtischer Raum","6.86","6.5","3226","6.79","6.93"
"2006","Hauptschule","Laendlicher Raum","6.03","5.5","2888","5.94","6.12"
"2006","Hauptschule","Staedtischer Raum","6.14","5.5","5193","6.08","6.2"
"2006","Realschule","Laendlicher Raum","6.79","6.5","2391","6.7","6.88"
"2006","Realschule","Staedtischer Raum","6.72","6.5","3353","6.65","6.79"
"2007","(Fach-)Abitur","Laendlicher Raum","6.91","6.5","586","6.74","7.08"
"2007","(Fach-)Abitur","Staedtischer Raum","6.93","6.5","1766","6.83","7.03"
"2007","(noch) kein Abschluss","Laendlicher Raum","7.03","7.5","169","6.69","7.37"
"2007","(noch) kein Abschluss","Staedtischer Raum","6.53","6.5","387","6.3","6.76"
"2007","AkademikerIn","Laendlicher Raum","6.48","6.5","1288","6.37","6.59"
"2007","AkademikerIn","Staedtischer Raum","6.84","6.5","3093","6.77","6.91"
"2007","Hauptschule","Laendlicher Raum","6.08","5.5","2650","5.99","6.17"
"2007","Hauptschule","Staedtischer Raum","6.04","5.5","4674","5.98","6.1"
"2007","Realschule","Laendlicher Raum","6.71","6.5","2250","6.62","6.8"
"2007","Realschule","Staedtischer Raum","6.69","6.5","3144","6.61","6.77"
"2008","(Fach-)Abitur","Laendlicher Raum","6.98","7.5","538","6.81","7.15"
"2008","(Fach-)Abitur","Staedtischer Raum","6.87","6.5","1632","6.77","6.97"
"2008","(noch) kein Abschluss","Laendlicher Raum","6.88","7.5","165","6.54","7.22"
"2008","(noch) kein Abschluss","Staedtischer Raum","6.79","6.5","378","6.56","7.02"
"2008","AkademikerIn","Laendlicher Raum","6.64","6.5","1224","6.52","6.76"
"2008","AkademikerIn","Staedtischer Raum","6.86","6.5","2963","6.79","6.93"
"2008","Hauptschule","Laendlicher Raum","6.03","5.5","2471","5.94","6.12"
"2008","Hauptschule","Staedtischer Raum","6.02","5.5","4333","5.95","6.09"
"2008","Realschule","Laendlicher Raum","6.62","6.5","2122","6.53","6.71"
"2008","Realschule","Staedtischer Raum","6.61","6.5","2990","6.53","6.69"
"2009","(Fach-)Abitur","Laendlicher Raum","7.07","7.5","520","6.9","7.24"
"2009","(Fach-)Abitur","Staedtischer Raum","6.83","6.5","1480","6.73","6.93"
"2009","(noch) kein Abschluss","Laendlicher Raum","6.58","6.5","136","6.18","6.98"
"2009","(noch) kein Abschluss","Staedtischer Raum","6.69","6.5","345","6.43","6.95"
"2009","AkademikerIn","Laendlicher Raum","6.61","6.5","1217","6.49","6.73"
"2009","AkademikerIn","Staedtischer Raum","6.82","6.5","2812","6.75","6.89"
"2009","Hauptschule","Laendlicher Raum","5.89","5.5","2279","5.8","5.98"
"2009","Hauptschule","Staedtischer Raum","5.97","5.5","3923","5.9","6.04"
"2009","Realschule","Laendlicher Raum","6.48","6.5","2035","6.39","6.57"
"2009","Realschule","Staedtischer Raum","6.5","6.5","2771","6.42","6.58"
"2010","(Fach-)Abitur","Laendlicher Raum","6.98","6.5","802","6.84","7.12"
"2010","(Fach-)Abitur","Staedtischer Raum","6.92","6.5","2255","6.83","7.01"
"2010","(noch) kein Abschluss","Laendlicher Raum","6.9","7.5","236","6.61","7.19"
"2010","(noch) kein Abschluss","Staedtischer Raum","6.96","7.5","536","6.76","7.16"
"2010","AkademikerIn","Laendlicher Raum","6.56","6.5","1483","6.45","6.67"
"2010","AkademikerIn","Staedtischer Raum","6.92","6.5","3885","6.86","6.98"
"2010","Hauptschule","Laendlicher Raum","5.96","5.5","2756","5.87","6.05"
"2010","Hauptschule","Staedtischer Raum","6","5.5","4730","5.93","6.07"
"2010","Realschule","Laendlicher Raum","6.56","6.5","2931","6.48","6.64"
"2010","Realschule","Staedtischer Raum","6.58","6.5","3847","6.51","6.65"
"2011","(Fach-)Abitur","Laendlicher Raum","7.28","7.5","908","7.15","7.41"
"2011","(Fach-)Abitur","Staedtischer Raum","7.01","6.5","2386","6.93","7.09"
"2011","(noch) kein Abschluss","Laendlicher Raum","6.69","6.5","251","6.39","6.99"
"2011","(noch) kein Abschluss","Staedtischer Raum","6.94","7.5","552","6.75","7.13"
"2011","AkademikerIn","Laendlicher Raum","6.53","6.5","1627","6.43","6.63"
"2011","AkademikerIn","Staedtischer Raum","6.95","6.5","4127","6.89","7.01"
"2011","Hauptschule","Laendlicher Raum","5.97","5.5","3004","5.88","6.06"
"2011","Hauptschule","Staedtischer Raum","6.02","5.5","4918","5.95","6.09"
"2011","Realschule","Laendlicher Raum","6.48","6.5","3198","6.4","6.56"
"2011","Realschule","Staedtischer Raum","6.57","6.5","4064","6.5","6.64"
"2012","(Fach-)Abitur","Laendlicher Raum","7.13","7.5","948","7","7.26"
"2012","(Fach-)Abitur","Staedtischer Raum","7.04","6.5","2431","6.96","7.12"
"2012","(noch) kein Abschluss","Laendlicher Raum","6.61","6.5","270","6.33","6.89"
"2012","(noch) kein Abschluss","Staedtischer Raum","6.85","6.5","571","6.66","7.04"
"2012","AkademikerIn","Laendlicher Raum","6.64","6.5","1704","6.54","6.74"
"2012","AkademikerIn","Staedtischer Raum","7.07","7.5","4213","7.01","7.13"
"2012","Hauptschule","Laendlicher Raum","6.1","5.5","3203","6.02","6.18"
"2012","Hauptschule","Staedtischer Raum","6.06","5.5","5014","5.99","6.13"
"2012","Realschule","Laendlicher Raum","6.6","6.5","3307","6.53","6.67"
"2012","Realschule","Staedtischer Raum","6.66","6.5","4145","6.59","6.73"
"2013","(Fach-)Abitur","Laendlicher Raum","7.33","7.5","1155","7.21","7.45"
"2013","(Fach-)Abitur","Staedtischer Raum","7.09","6.5","3304","7.02","7.16"
"2013","(noch) kein Abschluss","Laendlicher Raum","6.9","7.5","379","6.65","7.15"
"2013","(noch) kein Abschluss","Staedtischer Raum","6.83","6.5","931","6.67","6.99"
"2013","AkademikerIn","Laendlicher Raum","6.65","6.5","1864","6.56","6.74"
"2013","AkademikerIn","Staedtischer Raum","7.06","7.5","4992","7","7.12"
"2013","Hauptschule","Laendlicher Raum","6.08","5.5","3490","6","6.16"
"2013","Hauptschule","Staedtischer Raum","6.11","5.5","5927","6.05","6.17"
"2013","Realschule","Laendlicher Raum","6.56","6.5","3349","6.49","6.63"
"2013","Realschule","Staedtischer Raum","6.65","6.5","4434","6.59","6.71"
"2014","(Fach-)Abitur","Laendlicher Raum","7.35","7.5","1042","7.23","7.47"
"2014","(Fach-)Abitur","Staedtischer Raum","7.16","7.5","2901","7.09","7.23"
"2014","(noch) kein Abschluss","Laendlicher Raum","6.86","7.5","317","6.6","7.12"
"2014","(noch) kein Abschluss","Staedtischer Raum","6.68","6.5","683","6.49","6.87"
"2014","AkademikerIn","Laendlicher Raum","6.81","6.5","1719","6.72","6.9"
"2014","AkademikerIn","Staedtischer Raum","6.98","6.5","4500","6.92","7.04"
"2014","Hauptschule","Laendlicher Raum","6.12","5.5","3119","6.04","6.2"
"2014","Hauptschule","Staedtischer Raum","6.06","5.5","5080","6","6.12"
"2014","Realschule","Laendlicher Raum","6.52","6.5","2976","6.44","6.6"
"2014","Realschule","Staedtischer Raum","6.57","6.5","3899","6.5","6.64"
"2015","(Fach-)Abitur","Laendlicher Raum","7.22","7.5","982","7.1","7.34"
"2015","(Fach-)Abitur","Staedtischer Raum","7.11","6.5","2664","7.03","7.19"
"2015","(noch) kein Abschluss","Laendlicher Raum","7.03","7.5","266","6.74","7.32"
"2015","(noch) kein Abschluss","Staedtischer Raum","6.41","6.5","549","6.2","6.62"
"2015","AkademikerIn","Laendlicher Raum","6.75","6.5","1658","6.66","6.84"
"2015","AkademikerIn","Staedtischer Raum","7","6.5","4206","6.94","7.06"
"2015","Hauptschule","Laendlicher Raum","6.07","5.5","2837","5.99","6.15"
"2015","Hauptschule","Staedtischer Raum","6.04","5.5","4522","5.97","6.11"
"2015","Realschule","Laendlicher Raum","6.52","6.5","2836","6.44","6.6"
"2015","Realschule","Staedtischer Raum","6.66","6.5","3653","6.59","6.73"
"2016","(Fach-)Abitur","Laendlicher Raum","7.07","6.5","1119","6.95","7.19"
"2016","(Fach-)Abitur","Staedtischer Raum","7.13","7.5","3053","7.06","7.2"
"2016","(noch) kein Abschluss","Laendlicher Raum","7.1","7.5","566","6.89","7.31"
"2016","(noch) kein Abschluss","Staedtischer Raum","6.83","6.5","1300","6.69","6.97"
"2016","AkademikerIn","Laendlicher Raum","6.76","6.5","1825","6.67","6.85"
"2016","AkademikerIn","Staedtischer Raum","6.98","6.5","4630","6.92","7.04"
"2016","Hauptschule","Laendlicher Raum","6.11","5.5","2881","6.02","6.2"
"2016","Hauptschule","Staedtischer Raum","6.1","5.5","4689","6.03","6.17"
"2016","Realschule","Laendlicher Raum","6.51","6.5","2652","6.43","6.59"
"2016","Realschule","Staedtischer Raum","6.56","6.5","3370","6.49","6.63"
"2017","(Fach-)Abitur","Laendlicher Raum","7.09","7.5","1338","6.98","7.2"
"2017","(Fach-)Abitur","Staedtischer Raum","6.94","6.5","3455","6.87","7.01"
"2017","(noch) kein Abschluss","Laendlicher Raum","7.06","7.5","736","6.88","7.24"
"2017","(noch) kein Abschluss","Staedtischer Raum","6.61","6.5","1633","6.48","6.74"
"2017","AkademikerIn","Laendlicher Raum","6.8","6.5","2022","6.71","6.89"
"2017","AkademikerIn","Staedtischer Raum","7.05","6.5","5206","7","7.1"
"2017","Hauptschule","Laendlicher Raum","5.97","5.5","3077","5.88","6.06"
"2017","Hauptschule","Staedtischer Raum","6.11","5.5","4922","6.04","6.18"
"2017","Realschule","Laendlicher Raum","6.45","6.5","3073","6.37","6.53"
"2017","Realschule","Staedtischer Raum","6.49","6.5","3843","6.42","6.56"
