"year","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1993","Hauptschule","6.15","5.5","6337","6.09","6.21"
"1993","Realschule","6.94","6.5","3089","6.87","7.01"
"1994","(Fach-)Abitur","6.97","6.5","918","6.83","7.11"
"1994","(noch) kein Abschluss","6.98","7.5","839","6.81","7.15"
"1994","AkademikerIn","6.73","6.5","1652","6.63","6.83"
"1994","Hauptschule","6.03","5.5","6090","5.97","6.09"
"1994","Realschule","6.83","6.5","3042","6.75","6.91"
"1995","(Fach-)Abitur","7.17","7.5","1059","7.05","7.29"
"1995","(noch) kein Abschluss","7.04","7.5","874","6.88","7.2"
"1995","AkademikerIn","6.74","6.5","1751","6.64","6.84"
"1995","Hauptschule","6.1","5.5","6102","6.04","6.16"
"1995","Realschule","6.77","6.5","3099","6.7","6.84"
"1996","(Fach-)Abitur","7.15","7.5","1029","7.03","7.27"
"1996","(noch) kein Abschluss","6.94","6.5","839","6.78","7.1"
"1996","AkademikerIn","6.74","6.5","1764","6.65","6.83"
"1996","Hauptschule","6.03","5.5","5938","5.97","6.09"
"1996","Realschule","6.81","6.5","3113","6.74","6.88"
"1997","(Fach-)Abitur","7.07","7.5","1015","6.94","7.2"
"1997","(noch) kein Abschluss","6.92","7.5","832","6.76","7.08"
"1997","AkademikerIn","6.69","6.5","1765","6.6","6.78"
"1997","Hauptschule","6.07","5.5","5756","6.01","6.13"
"1997","Realschule","6.72","6.5","3071","6.65","6.79"
"1998","(Fach-)Abitur","7.17","7.5","1140","7.05","7.29"
"1998","(noch) kein Abschluss","6.92","7.5","819","6.75","7.09"
"1998","AkademikerIn","6.83","6.5","1962","6.74","6.92"
"1998","Hauptschule","6.15","5.5","6172","6.09","6.21"
"1998","Realschule","6.85","6.5","3389","6.78","6.92"
"1999","(Fach-)Abitur","7.17","7.5","1132","7.05","7.29"
"1999","(noch) kein Abschluss","6.92","6.5","788","6.75","7.09"
"1999","AkademikerIn","6.8","6.5","1955","6.71","6.89"
"1999","Hauptschule","6.08","5.5","6002","6.02","6.14"
"1999","Realschule","6.81","6.5","3376","6.74","6.88"
"2000","(Fach-)Abitur","7.24","7.5","2344","7.16","7.32"
"2000","(noch) kein Abschluss","7.11","7.5","915","6.95","7.27"
"2000","AkademikerIn","7.03","6.5","3810","6.97","7.09"
"2000","Hauptschule","6.27","6.5","10663","6.22","6.32"
"2000","Realschule","7.04","6.5","6282","6.99","7.09"
"2001","(Fach-)Abitur","7.12","7.5","2212","7.03","7.21"
"2001","(noch) kein Abschluss","7.37","7.5","868","7.22","7.52"
"2001","AkademikerIn","6.95","6.5","3541","6.88","7.02"
"2001","Hauptschule","6.3","6.5","9356","6.25","6.35"
"2001","Realschule","7.02","6.5","5757","6.97","7.07"
"2002","(Fach-)Abitur","7.11","7.5","2450","7.03","7.19"
"2002","(noch) kein Abschluss","7.16","7.5","906","7.01","7.31"
"2002","AkademikerIn","6.87","6.5","4547","6.81","6.93"
"2002","Hauptschule","6.17","5.5","8896","6.12","6.22"
"2002","Realschule","6.88","6.5","5983","6.83","6.93"
"2003","(Fach-)Abitur","7.1","7.5","2407","7.02","7.18"
"2003","(noch) kein Abschluss","7.17","7.5","893","7.03","7.31"
"2003","AkademikerIn","6.87","6.5","4349","6.81","6.93"
"2003","Hauptschule","6.19","6.5","8440","6.14","6.24"
"2003","Realschule","6.8","6.5","5777","6.75","6.85"
"2004","(Fach-)Abitur","6.97","7.5","2392","6.89","7.05"
"2004","(noch) kein Abschluss","7.09","7.5","906","6.94","7.24"
"2004","AkademikerIn","6.7","6.5","4280","6.64","6.76"
"2004","Hauptschule","6.05","5.5","8046","6","6.1"
"2004","Realschule","6.66","6.5","5595","6.6","6.72"
"2005","(Fach-)Abitur","6.95","6.5","2291","6.86","7.04"
"2005","(noch) kein Abschluss","7.08","7.5","901","6.93","7.23"
"2005","AkademikerIn","6.73","6.5","4152","6.67","6.79"
"2005","Hauptschule","6.1","5.5","7546","6.05","6.15"
"2005","Realschule","6.69","6.5","5373","6.63","6.75"
"2006","(Fach-)Abitur","6.93","6.5","2447","6.85","7.01"
"2006","(noch) kein Abschluss","6.84","6.5","651","6.66","7.02"
"2006","AkademikerIn","6.76","6.5","4567","6.7","6.82"
"2006","Hauptschule","6.1","5.5","8081","6.05","6.15"
"2006","Realschule","6.75","6.5","5744","6.7","6.8"
"2007","(Fach-)Abitur","6.92","6.5","2352","6.84","7"
"2007","(noch) kein Abschluss","6.67","6.5","556","6.48","6.86"
"2007","AkademikerIn","6.75","6.5","4381","6.69","6.81"
"2007","Hauptschule","6.06","5.5","7324","6.01","6.11"
"2007","Realschule","6.7","6.5","5394","6.64","6.76"
"2008","(Fach-)Abitur","6.89","6.5","2170","6.81","6.97"
"2008","(noch) kein Abschluss","6.81","6.5","543","6.62","7"
"2008","AkademikerIn","6.8","6.5","4187","6.74","6.86"
"2008","Hauptschule","6.02","5.5","6804","5.97","6.07"
"2008","Realschule","6.62","6.5","5112","6.56","6.68"
"2009","(Fach-)Abitur","6.89","6.5","2000","6.8","6.98"
"2009","(noch) kein Abschluss","6.66","6.5","481","6.44","6.88"
"2009","AkademikerIn","6.77","6.5","4029","6.71","6.83"
"2009","Hauptschule","5.94","5.5","6202","5.88","6"
"2009","Realschule","6.5","6.5","4806","6.44","6.56"
"2010","(Fach-)Abitur","6.94","6.5","3057","6.87","7.01"
"2010","(noch) kein Abschluss","6.95","7.5","772","6.78","7.12"
"2010","AkademikerIn","6.83","6.5","5368","6.78","6.88"
"2010","Hauptschule","5.98","5.5","7486","5.93","6.03"
"2010","Realschule","6.57","6.5","6778","6.52","6.62"
"2011","(Fach-)Abitur","7.08","7.5","3294","7.01","7.15"
"2011","(noch) kein Abschluss","6.87","7.5","803","6.71","7.03"
"2011","AkademikerIn","6.84","6.5","5754","6.79","6.89"
"2011","Hauptschule","6","5.5","7922","5.95","6.05"
"2011","Realschule","6.53","6.5","7262","6.48","6.58"
"2012","(Fach-)Abitur","7.06","7.5","3379","6.99","7.13"
"2012","(noch) kein Abschluss","6.79","6.5","841","6.63","6.95"
"2012","AkademikerIn","6.96","6.5","5917","6.91","7.01"
"2012","Hauptschule","6.08","5.5","8217","6.03","6.13"
"2012","Realschule","6.64","6.5","7452","6.59","6.69"
"2013","(Fach-)Abitur","7.15","7.5","4459","7.09","7.21"
"2013","(noch) kein Abschluss","6.85","6.5","1310","6.71","6.99"
"2013","AkademikerIn","6.95","6.5","6856","6.9","7"
"2013","Hauptschule","6.1","5.5","9417","6.05","6.15"
"2013","Realschule","6.61","6.5","7783","6.56","6.66"
"2014","(Fach-)Abitur","7.2","7.5","3943","7.14","7.26"
"2014","(noch) kein Abschluss","6.74","6.5","1000","6.59","6.89"
"2014","AkademikerIn","6.94","6.5","6219","6.89","6.99"
"2014","Hauptschule","6.08","5.5","8199","6.03","6.13"
"2014","Realschule","6.55","6.5","6875","6.5","6.6"
"2015","(Fach-)Abitur","7.14","7.5","3646","7.07","7.21"
"2015","(noch) kein Abschluss","6.59","6.5","815","6.42","6.76"
"2015","AkademikerIn","6.94","6.5","5864","6.89","6.99"
"2015","Hauptschule","6.05","5.5","7359","6","6.1"
"2015","Realschule","6.6","6.5","6489","6.55","6.65"
"2016","(Fach-)Abitur","7.11","7.5","4172","7.05","7.17"
"2016","(noch) kein Abschluss","6.91","6.5","1866","6.79","7.03"
"2016","AkademikerIn","6.93","6.5","6455","6.88","6.98"
"2016","Hauptschule","6.1","5.5","7570","6.05","6.15"
"2016","Realschule","6.53","6.5","6022","6.48","6.58"
"2017","(Fach-)Abitur","6.97","6.5","4793","6.91","7.03"
"2017","(noch) kein Abschluss","6.72","6.5","2369","6.62","6.82"
"2017","AkademikerIn","6.99","6.5","7228","6.94","7.04"
"2017","Hauptschule","6.06","5.5","7999","6.01","6.11"
"2017","Realschule","6.47","6.5","6916","6.42","6.52"
"2018","(Fach-)Abitur","6.9","6.5","4624","6.84","6.96"
"2018","(noch) kein Abschluss","6.62","6.5","2195","6.51","6.73"
"2018","AkademikerIn","6.88","6.5","6952","6.83","6.93"
"2018","Hauptschule","6.09","5.5","7548","6.04","6.14"
"2018","Realschule","6.47","6.5","6666","6.42","6.52"
"2019","(Fach-)Abitur","6.98","6.5","4690","6.92","7.04"
"2019","(noch) kein Abschluss","6.77","6.5","2069","6.66","6.88"
"2019","AkademikerIn","7.07","6.5","7604","7.03","7.11"
"2019","Hauptschule","6.13","5.5","6913","6.07","6.19"
"2019","Realschule","6.53","6.5","6785","6.48","6.58"
"2020","(Fach-)Abitur","7","6.5","5067","6.94","7.06"
"2020","(noch) kein Abschluss","6.93","7.5","2264","6.83","7.03"
"2020","AkademikerIn","6.96","6.5","7781","6.92","7"
"2020","Hauptschule","6.1","5.5","6750","6.04","6.16"
"2020","Realschule","6.53","6.5","6247","6.48","6.58"
