year,regtyp,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1994,Staedtischer Raum,weiblich,0.3999862330673835,0.3786782326242995,0.4212942335104675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4293.0
1994,Laendlicher Raum,maennlich,0.4905133448576286,0.4596117915113011,0.5214148982039561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2093.0
1994,Laendlicher Raum,weiblich,0.2949331190082989,0.27145769628014965,0.3184085417364481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2234.0
1995,Staedtischer Raum,maennlich,0.5359165756638178,0.5114760496965016,0.560357101631134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0
1995,Staedtischer Raum,weiblich,0.43172504067897405,0.4096969520287878,0.4537531293291603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4429.0
1995,Laendlicher Raum,maennlich,0.5183919592611744,0.48402291509544976,0.5527610034268992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2142.0
1995,Laendlicher Raum,weiblich,0.3092376763709918,0.2850877999204202,0.3333875528215634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2301.0
1996,Staedtischer Raum,maennlich,0.5315250922024359,0.5078000574550838,0.555250126949788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4012.0
1996,Staedtischer Raum,weiblich,0.4744983218294349,0.45158497807789466,0.49741166558097516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4347.0
1996,Laendlicher Raum,maennlich,0.4981634928713051,0.4658685696267945,0.5304584161158157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2145.0
1996,Laendlicher Raum,weiblich,0.3375752538912522,0.31051855326483163,0.3646319545176728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2273.0
1997,-1,weiblich,,,,,,,,,,,,
1997,Staedtischer Raum,maennlich,0.4754380446642151,0.4521214890815676,0.4987546002468626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3941.0
1997,Staedtischer Raum,weiblich,0.4689384387541776,0.44529602635456295,0.4925808511537923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4231.0
1997,Laendlicher Raum,maennlich,0.5019697121179878,0.4692916527176264,0.5346477715183492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2095.0
1997,Laendlicher Raum,weiblich,0.3546081829086795,0.3253039611966408,0.38391240462071824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2240.0
1998,Staedtischer Raum,maennlich,0.47571708380299266,0.45361564408401545,0.49781852352196987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4377.0
