year,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2009,3rd Quintile,3392,0.43950,0.38515,0.49386,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2009,4th Quintile,3763,0.44755,0.39834,0.49676,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2009,5th Quintile,4798,0.47953,0.43550,0.52355,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2010,1st Quintile,2570,0.93404,0.84007,1.02801,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2010,2nd Quintile,3006,0.54861,0.48266,0.61457,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2010,3rd Quintile,3199,0.51924,0.46208,0.57641,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2010,4th Quintile,3466,0.49202,0.43861,0.54543,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2010,5th Quintile,4361,0.51910,0.47437,0.56383,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2011,1st Quintile,4577,0.72555,0.66312,0.78798,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2011,2nd Quintile,4313,0.47134,0.42065,0.52203,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2011,3rd Quintile,4103,0.49269,0.44106,0.54432,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2011,4th Quintile,4123,0.45713,0.40896,0.50530,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2011,5th Quintile,4712,0.46374,0.42317,0.50432,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2012,1st Quintile,5316,0.75958,0.70073,0.81843,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2012,2nd Quintile,4937,0.46645,0.41946,0.51345,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2012,3rd Quintile,4827,0.54781,0.49812,0.59749,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2012,4th Quintile,4803,0.45364,0.41092,0.49637,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2012,5th Quintile,5247,0.46634,0.42763,0.50506,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2013,1st Quintile,5150,0.74914,0.69025,0.80802,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2013,2nd Quintile,5233,0.44383,0.39882,0.48884,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2013,3rd Quintile,4892,0.44596,0.39951,0.49242,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2013,4th Quintile,4842,0.45379,0.40927,0.49831,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2013,5th Quintile,5496,0.45986,0.42097,0.49875,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2014,1st Quintile,5798,0.89890,0.83905,0.95875,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2014,2nd Quintile,5506,0.52102,0.47494,0.56710,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2014,3rd Quintile,5150,0.48325,0.43920,0.52730,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2014,4th Quintile,5148,0.46250,0.42231,0.50268,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2014,5th Quintile,5392,0.47930,0.44249,0.51611,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2015,1st Quintile,5101,0.78786,0.72791,0.84781,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2015,2nd Quintile,5243,0.38399,0.34325,0.42472,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2015,3rd Quintile,4838,0.52523,0.47586,0.57459,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2015,4th Quintile,4756,0.41331,0.37301,0.45361,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2015,5th Quintile,5099,0.39144,0.35431,0.42858,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2016,1st Quintile,5024,0.82635,0.76515,0.88754,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2016,2nd Quintile,5068,0.47122,0.42562,0.51682,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2016,3rd Quintile,4599,0.43860,0.39347,0.48372,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2016,4th Quintile,4624,0.39867,0.35761,0.43973,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2016,5th Quintile,4856,0.44105,0.40015,0.48195,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2017,1st Quintile,6161,0.84376,0.78794,0.89958,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2017,2nd Quintile,4879,0.44384,0.39895,0.48873,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2017,3rd Quintile,4425,0.37530,0.33224,0.41835,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2017,4th Quintile,4348,0.43434,0.38806,0.48062,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2017,5th Quintile,4540,0.44051,0.39851,0.48250,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2018,1st Quintile,7106,0.76937,0.72094,0.81780,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2018,2nd Quintile,5301,0.38324,0.34389,0.42259,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2018,3rd Quintile,4817,0.44846,0.40360,0.49332,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2018,4th Quintile,4727,0.38011,0.34152,0.41871,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2018,5th Quintile,5061,0.39004,0.35299,0.42710,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2019,1st Quintile,7025,0.81714,0.76508,0.86919,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2019,2nd Quintile,4904,0.44195,0.39594,0.48796,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2019,3rd Quintile,4429,0.32350,0.28548,0.36153,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2019,4th Quintile,4263,0.36498,0.32281,0.40715,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2019,5th Quintile,4814,0.30439,0.27106,0.33771,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2020,1st Quintile,6464,0.71271,0.66444,0.76098,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2020,2nd Quintile,4812,0.39243,0.35146,0.43340,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2020,3rd Quintile,4261,0.44779,0.40400,0.49158,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2020,4th Quintile,4518,0.35623,0.31870,0.39376,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2020,5th Quintile,5955,0.33712,0.30632,0.36792,0.00000,0.00000,0.00000,0.00000,0.00000,,,
