year,bula_h,sampreg,plb0218_v1,proportion,n,lower_confidence,upper_confidence
2011,Hessen,Westdeutschland,Seltener,0.017151736090360366,41903,0.01590856531199519,0.018394906868725542
2011,Baden-Württemberg,Westdeutschland,"Ja, alle 2 Wochen",0.01703221179704775,41903,0.015793304872003623,0.018271118722091875
2011,Sachsen,Ostdeutschland,Seltener,0.01649435247714098,41903,0.015274830650924687,0.01771387430335727
2011,Nordrhein-Westfalen,Westdeutschland,"Ja, alle 3-4 Wochen",0.015717444570608977,41903,0.014526519670515268,0.016908369470702685
2011,Bayern,Westdeutschland,"Ja, alle 3-4 Wochen",0.015657682423952667,41903,0.014468987710920485,0.01684637713698485
2011,Niedersachsen,Westdeutschland,"Ja, alle 2 Wochen",0.015000298810733281,41903,0.013836436733707158,0.016164160887759405
2011,Sachsen,Ostdeutschland,"Ja, alle 2 Wochen",0.01278909938444989,41903,0.011713232685509226,0.013864966083390554
2011,Thüringen,Ostdeutschland,"Nein, nie",0.012550050797824657,41903,0.011484157330167437,0.013615944265481877
2011,Niedersachsen,Westdeutschland,"Ja, jede Woche",0.01249028865116835,41903,0.011426903876090666,0.013553673426246035
2011,Schleswig-Holstein,Westdeutschland,"Nein, nie",0.01249028865116835,41903,0.011426903876090666,0.013553673426246035
2011,Sachsen-Anhalt,Ostdeutschland,"Nein, nie",0.012191477917886811,41903,0.01114073111950516,0.013242224716268462
2011,"Rheinland-Pfalz,Saarland",Westdeutschland,Seltener,0.012012191477917886,41903,0.010969104727624449,0.013055278228211323
2011,Brandenburg,Ostdeutschland,"Nein, nie",0.011832905037948963,41903,0.010797537852254216,0.01286827222364371
2011,Baden-Württemberg,Westdeutschland,"Ja, alle 3-4 Wochen",0.011593856451323731,41903,0.010568876925387712,0.01261883597725975
2011,Hessen,Westdeutschland,"Ja, alle 2 Wochen",0.010996234984760652,41903,0.009997720219358713,0.01199474975016259
2011,Hessen,Westdeutschland,"Ja, jede Woche",0.010996234984760652,41903,0.009997720219358713,0.01199474975016259
2011,"Rheinland-Pfalz,Saarland",Westdeutschland,"Ja, jede Woche",0.009681467758321878,41903,0.008743923954858825,0.010619011561784932
2011,Thüringen,Ostdeutschland,Seltener,0.009203370585071416,41903,0.008289048462243667,0.010117692707899164
2011,"Rheinland-Pfalz,Saarland",Westdeutschland,"Ja, alle 2 Wochen",0.008665511265164644,41903,0.007778067758013557,0.009552954772315731
2011,Brandenburg,Ostdeutschland,Seltener,0.008605749118508336,41903,0.007721344399013007,0.009490153838003664
2011,Mecklenburg-Vorpommern,Ostdeutschland,"Nein, nie",0.00824717623857049,41903,0.007381236094760354,0.009113116382380626
2011,Hessen,Westdeutschland,"Ja, alle 3-4 Wochen",0.007888603358632642,41903,0.007041544103062266,0.008735662614203018
2011,Schleswig-Holstein,Westdeutschland,Seltener,0.007589792625351102,41903,0.006758805913515961,0.008420779337186244
2011,Sachsen-Anhalt,Ostdeutschland,Seltener,0.007589792625351102,41903,0.006758805913515961,0.008420779337186244
2011,Brandenburg,Ostdeutschland,"Ja, alle 2 Wochen",0.007530030478694795,41903,0.006702296912127524,0.008357764045262067
2011,Niedersachsen,Westdeutschland,"Ja, alle 3-4 Wochen",0.0074702683320384865,41903,0.006645801143888248,0.008294735520188725
2011,Sachsen,Ostdeutschland,"Ja, jede Woche",0.007410506185382179,41903,0.006589318766707772,0.008231693604056586
2011,Sachsen-Anhalt,Ostdeutschland,"Ja, alle 2 Wochen",0.007051933305444332,41903,0.0062507149718946334,0.00785315163899403
2011,Berlin,Westdeutschland,"Nein, nie",0.006872646865475408,41903,0.006081607676749198,0.007663686054201618
2011,Thüringen,Ostdeutschland,"Ja, alle 2 Wochen",0.006693360425506484,41903,0.005912636860835614,0.007474083990177354
2011,Sachsen,Ostdeutschland,"Ja, alle 3-4 Wochen",0.0062750253989123286,41903,0.005518933892728184,0.007031116905096473
2011,Hamburg,Westdeutschland,"Nein, nie",0.0059164525189744814,41903,0.005182148935332126,0.006650756102616837
