syear,quintil_oecd,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1999,4. Quintil,Urban regions,,,,,,,,,,,,
1999,4. Quintil,Rural regions,,,,,,,,,,,,
1999,5. Quintil,Urban regions,,,,,,,,,,,,
1999,5. Quintil,Rural regions,,,,,,,,,,,,
2000,2. Quintil,Urban regions,,,,,,,,,,,,
2000,2. Quintil,Rural regions,,,,,,,,,,,,
2000,3. Quintil,Urban regions,,,,,,,,,,,,
2000,3. Quintil,Rural regions,,,,,,,,,,,,
2000,4. Quintil,Urban regions,,,,,,,,,,,,
2000,4. Quintil,Rural regions,,,,,,,,,,,,
2000,5. Quintil,Urban regions,,,,,,,,,,,,
2000,5. Quintil,Rural regions,,,,,,,,,,,,
2001,2. Quintil,Urban regions,,,,,,,,,,,,
2001,2. Quintil,Rural regions,,,,,,,,,,,,
2001,3. Quintil,Urban regions,,,,,,,,,,,,
2001,3. Quintil,Rural regions,,,,,,,,,,,,
2001,4. Quintil,Urban regions,,,,,,,,,,,,
2001,4. Quintil,Rural regions,,,,,,,,,,,,
2001,5. Quintil,Urban regions,,,,,,,,,,,,
2001,5. Quintil,Rural regions,,,,,,,,,,,,
2002,2. Quintil,Urban regions,,,,,,,,,,,,
2002,2. Quintil,Rural regions,,,,,,,,,,,,
2002,3. Quintil,Urban regions,,,,,,,,,,,,
2002,3. Quintil,Rural regions,,,,,,,,,,,,
2002,4. Quintil,Urban regions,,,,,,,,,,,,
2002,4. Quintil,Rural regions,,,,,,,,,,,,
2002,5. Quintil,Urban regions,,,,,,,,,,,,
2002,5. Quintil,Rural regions,,,,,,,,,,,,
2003,2. Quintil,Urban regions,,,,,,,,,,,,
2003,2. Quintil,Rural regions,,,,,,,,,,,,
2003,3. Quintil,Urban regions,,,,,,,,,,,,
2003,3. Quintil,Rural regions,,,,,,,,,,,,
2003,4. Quintil,Urban regions,,,,,,,,,,,,
2003,4. Quintil,Rural regions,,,,,,,,,,,,
2003,5. Quintil,Urban regions,,,,,,,,,,,,
2003,5. Quintil,Rural regions,,,,,,,,,,,,
2004,2. Quintil,Urban regions,,,,,,,,,,,,
2004,2. Quintil,Rural regions,,,,,,,,,,,,
2004,3. Quintil,Urban regions,,,,,,,,,,,,
2004,3. Quintil,Rural regions,,,,,,,,,,,,
2004,4. Quintil,Urban regions,,,,,,,,,,,,
2004,4. Quintil,Rural regions,,,,,,,,,,,,
2004,5. Quintil,Urban regions,,,,,,,,,,,,
2004,5. Quintil,Rural regions,,,,,,,,,,,,
2005,2. Quintil,Urban regions,2.89372667477705,2.8584049489150147,2.929048400639085,1.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0,2247.0
2005,2. Quintil,Rural regions,2.988168063370443,2.946078795841837,3.0302573308990493,1.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,1565.0
2005,3. Quintil,Urban regions,2.825408086222583,2.7987452422954306,2.852070930149736,1.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0,3559.0
2005,3. Quintil,Rural regions,2.870503217024079,2.836871265124641,2.904135168923517,1.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0,2181.0
2005,4. Quintil,Urban regions,2.895368043218851,2.869911833240507,2.9208242531971953,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,3635.0
2005,4. Quintil,Rural regions,2.9022934996369587,2.867754133331588,2.9368328659423293,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,1875.0
2005,5. Quintil,Urban regions,2.834783957254818,2.8117538454264857,2.85781406908315,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0,4190.0
2005,5. Quintil,Rural regions,2.861048837283881,2.8199553357231637,2.9021423388445986,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0,1266.0
2006,2. Quintil,Urban regions,,,,,,,,,,,,
2006,2. Quintil,Rural regions,,,,,,,,,,,,
2006,3. Quintil,Urban regions,,,,,,,,,,,,
2006,3. Quintil,Rural regions,,,,,,,,,,,,
2006,4. Quintil,Urban regions,,,,,,,,,,,,
2006,4. Quintil,Rural regions,,,,,,,,,,,,
2006,5. Quintil,Urban regions,,,,,,,,,,,,
2006,5. Quintil,Rural regions,,,,,,,,,,,,
2007,1. Quintil,Urban regions,,,,,,,,,,,,
2007,1. Quintil,Rural regions,,,,,,,,,,,,
2007,2. Quintil,Urban regions,,,,,,,,,,,,
2007,2. Quintil,Rural regions,,,,,,,,,,,,
2007,3. Quintil,Urban regions,,,,,,,,,,,,
2007,3. Quintil,Rural regions,,,,,,,,,,,,
2007,4. Quintil,Urban regions,,,,,,,,,,,,
2007,4. Quintil,Rural regions,,,,,,,,,,,,
2007,5. Quintil,Urban regions,,,,,,,,,,,,
2007,5. Quintil,Rural regions,,,,,,,,,,,,
2008,2. Quintil,Urban regions,,,,,,,,,,,,
2008,2. Quintil,Rural regions,,,,,,,,,,,,
2008,3. Quintil,Urban regions,,,,,,,,,,,,
2008,3. Quintil,Rural regions,,,,,,,,,,,,
2008,4. Quintil,Urban regions,,,,,,,,,,,,
2008,4. Quintil,Rural regions,,,,,,,,,,,,
2008,5. Quintil,Urban regions,,,,,,,,,,,,
2008,5. Quintil,Rural regions,,,,,,,,,,,,
2009,2. Quintil,Urban regions,,,,,,,,,,,,
2009,2. Quintil,Rural regions,,,,,,,,,,,,
2009,3. Quintil,Urban regions,,,,,,,,,,,,
2009,3. Quintil,Rural regions,,,,,,,,,,,,
2009,4. Quintil,Urban regions,,,,,,,,,,,,
2009,4. Quintil,Rural regions,,,,,,,,,,,,
2009,5. Quintil,Urban regions,,,,,,,,,,,,
2009,5. Quintil,Rural regions,,,,,,,,,,,,
2010,2. Quintil,Urban regions,2.977579990578563,2.9343380022438947,3.0208219789132316,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,1301.0
2010,2. Quintil,Rural regions,3.071175628064334,3.016421554330498,3.12592970179817,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,908.0
2010,3. Quintil,Urban regions,2.772576999089961,2.7414084630353455,2.8037455351445764,1.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0,2457.0
2010,3. Quintil,Rural regions,3.0856583128213506,3.045166216605721,3.1261504090369803,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,1662.0
2010,4. Quintil,Urban regions,2.843705244151839,2.8161601467977504,2.871250341505928,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0,3039.0
2010,4. Quintil,Rural regions,2.9857082262115986,2.9502883290444344,3.021128123378763,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0,1766.0
2010,5. Quintil,Urban regions,2.8318697453636434,2.8086083368061154,2.8551311539211714,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0,4022.0
2010,5. Quintil,Rural regions,2.917256591513645,2.876551068374075,2.9579621146532147,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0,1377.0
2011,2. Quintil,Urban regions,,,,,,,,,,,,
2011,2. Quintil,Rural regions,,,,,,,,,,,,
2011,3. Quintil,Urban regions,,,,,,,,,,,,
2011,3. Quintil,Rural regions,,,,,,,,,,,,
2011,4. Quintil,Urban regions,,,,,,,,,,,,
2011,4. Quintil,Rural regions,,,,,,,,,,,,
2011,5. Quintil,Urban regions,,,,,,,,,,,,
2011,5. Quintil,Rural regions,,,,,,,,,,,,
2012,1. Quintil,Rural regions,,,,,,,,,,,,
2012,2. Quintil,Urban regions,,,,,,,,,,,,
2012,2. Quintil,Rural regions,,,,,,,,,,,,
2012,3. Quintil,Urban regions,,,,,,,,,,,,
2012,3. Quintil,Rural regions,,,,,,,,,,,,
2012,4. Quintil,Urban regions,,,,,,,,,,,,
2012,4. Quintil,Rural regions,,,,,,,,,,,,
2012,5. Quintil,Urban regions,,,,,,,,,,,,
2012,5. Quintil,Rural regions,,,,,,,,,,,,
2013,1. Quintil,Rural regions,,,,,,,,,,,,
2013,2. Quintil,Urban regions,,,,,,,,,,,,
2013,2. Quintil,Rural regions,,,,,,,,,,,,
2013,3. Quintil,Urban regions,,,,,,,,,,,,
2013,3. Quintil,Rural regions,,,,,,,,,,,,
2013,4. Quintil,Urban regions,,,,,,,,,,,,
2013,4. Quintil,Rural regions,,,,,,,,,,,,
2013,5. Quintil,Urban regions,,,,,,,,,,,,
2013,5. Quintil,Rural regions,,,,,,,,,,,,
2014,2. Quintil,Urban regions,,,,,,,,,,,,
2014,2. Quintil,Rural regions,,,,,,,,,,,,
2014,3. Quintil,Urban regions,,,,,,,,,,,,
2014,3. Quintil,Rural regions,,,,,,,,,,,,
2014,4. Quintil,Urban regions,,,,,,,,,,,,
2014,4. Quintil,Rural regions,,,,,,,,,,,,
2014,5. Quintil,Urban regions,,,,,,,,,,,,
2014,5. Quintil,Rural regions,,,,,,,,,,,,
2015,2. Quintil,Urban regions,2.567520696521195,2.534802547401764,2.600238845640626,1.0,2.0,4.0,1.0,7.0,2.0,2.0,2.0,2374.0
2015,2. Quintil,Rural regions,2.8371632693536615,2.7934848387266724,2.8808416999806505,1.0,2.0,4.0,1.0,7.0,2.0,1.9749999999999943,2.0,1426.0
2015,3. Quintil,Urban regions,2.520775031790413,2.4955115909333694,2.5460384726474565,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,3615.0
2015,3. Quintil,Rural regions,2.5700273365573394,2.5387433598751232,2.6013113132395556,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,2310.0
2015,4. Quintil,Urban regions,2.471324552689873,2.450115453233924,2.492533652145822,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,4671.0
2015,4. Quintil,Rural regions,2.6123127226803793,2.5858098893996844,2.638815555961074,1.0,2.0,4.0,1.0,7.0,2.0,2.0,2.0,2924.0
2015,5. Quintil,Urban regions,2.4608616344209486,2.444383196085818,2.4773400727560793,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,6642.0
2015,5. Quintil,Rural regions,2.519629540855917,2.492109505120487,2.547149576591347,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,2589.0
2016,2. Quintil,Urban regions,1.8312349538395196,1.7957486514632348,1.8667212562158044,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1945.0
2016,2. Quintil,Rural regions,1.6735531899253249,1.6243829746456973,1.7227234052049525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,769.0
2016,3. Quintil,Urban regions,1.7187563699082735,1.622449047351875,1.8150636924646721,1.0,1.0,2.0,1.0,3.5,1.0,0.0,1.0,100.0
2016,3. Quintil,Rural regions,2.321434384315332,2.109177829142196,2.533690939488468,1.0,2.0,3.8600117904404265,1.0,7.0,2.0,0.0,3.0,45.0
2016,4. Quintil,Urban regions,3.198733315684371,2.8857772735771534,3.5116893577915884,1.0,3.0,4.0,1.0,7.0,3.0,1.0,5.0,31.0
2016,4. Quintil,Rural regions,,,,,,,,,,,,
2016,5. Quintil,Urban regions,,,,,,,,,,,,
2016,5. Quintil,Rural regions,,,,,,,,,,,,
2017,2. Quintil,Urban regions,1.6855440267130863,1.6445086881601418,1.7265793652660308,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1128.0
2017,2. Quintil,Rural regions,1.4175879093893518,1.3712138465024362,1.4639619722762673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,557.0
2017,3. Quintil,Urban regions,1.538402045317149,1.3858535418866984,1.6909505487475995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0
2017,3. Quintil,Rural regions,1.9752682266448902,1.629101992816576,2.3214344604732045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0
2017,4. Quintil,Urban regions,,,,,,,,,,,,
2017,4. Quintil,Rural regions,,,,,,,,,,,,
2017,5. Quintil,Urban regions,,,,,,,,,,,,
2017,5. Quintil,Rural regions,,,,,,,,,,,,
2018,2. Quintil,Urban regions,1.492685372294644,1.3983568763764804,1.5870138682128077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,183.0
2018,2. Quintil,Rural regions,1.7985436648157502,1.6425128090650862,1.9545745205664142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,127.0
2018,3. Quintil,Urban regions,1.3077541388744245,1.1750389840526894,1.4404692936961596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.0
2018,3. Quintil,Rural regions,,,,,,,,,,,,
2018,4. Quintil,Urban regions,,,,,,,,,,,,
2018,4. Quintil,Rural regions,,,,,,,,,,,,
2018,5. Quintil,Urban regions,,,,,,,,,,,,
2018,5. Quintil,Rural regions,,,,,,,,,,,,
2019,2. Quintil,Urban regions,1.885421192644005,1.7619297172300077,2.0089126680580023,1.0,1.0,2.885999500428203,1.0,5.714998751070507,1.0,0.0,1.0,123.0
2019,2. Quintil,Rural regions,1.9228216083560714,1.7326999560644214,2.112943260647721,1.0,1.0,2.0,1.0,3.5,1.0,0.0,1.0,71.0
2019,3. Quintil,Urban regions,,,,,,,,,,,,
2019,3. Quintil,Rural regions,,,,,,,,,,,,
2019,4. Quintil,Urban regions,,,,,,,,,,,,
2019,4. Quintil,Rural regions,,,,,,,,,,,,
2019,5. Quintil,Urban regions,,,,,,,,,,,,
2019,5. Quintil,Rural regions,,,,,,,,,,,,
2020,2. Quintil,Urban regions,2.209614177361625,2.182274643357762,2.2369537113654885,1.0,2.0,3.0,1.0,6.0,2.0,2.0,3.0,2844.0
2020,2. Quintil,Rural regions,2.731437119617888,2.683003455280191,2.779870783955585,1.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0,1217.0
2020,3. Quintil,Urban regions,2.411927141255027,2.3863887261200207,2.4374655563900336,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,3308.0
2020,3. Quintil,Rural regions,2.520344839832436,2.482502947776634,2.5581867318882385,1.0,2.0,3.9232575058833388,1.0,7.0,2.0,2.0,2.0,1603.0
2020,4. Quintil,Urban regions,2.4828690300552547,2.4613016289891325,2.504436431121377,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,4339.0
2020,4. Quintil,Rural regions,2.6431602965571126,2.6140964608695008,2.6722241322447244,1.0,2.0,4.0,1.0,7.0,2.0,2.0,2.0,2476.0
2020,5. Quintil,Urban regions,2.3743847481640623,2.360975433649888,2.387794062678237,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,9321.0
2020,5. Quintil,Rural regions,2.4174660317775847,2.3972529677643464,2.437679095790823,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,4134.0
2021,2. Quintil,Urban regions,1.8767821110038982,1.75246717924164,2.0010970427661565,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,118.0
2021,2. Quintil,Rural regions,,,,,,,,,,,,
2021,3. Quintil,Urban regions,2.026458727511785,1.824237834763073,2.228679620260497,1.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,68.0
2021,3. Quintil,Rural regions,,,,,,,,,,,,
2021,4. Quintil,Urban regions,,,,,,,,,,,,
2021,4. Quintil,Rural regions,,,,,,,,,,,,
2021,5. Quintil,Urban regions,,,,,,,,,,,,
2021,5. Quintil,Rural regions,,,,,,,,,,,,
