year,quintil_oecd,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2018,2. Quintil,weiblich,,,,,,,,,,,,
2018,3. Quintil,maennlich,,,,,,,,,,,,
2018,3. Quintil,weiblich,,,,,,,,,,,,
2018,4. Quintil,maennlich,,,,,,,,,,,,
2018,4. Quintil,weiblich,,,,,,,,,,,,
2018,5. Quintil,maennlich,,,,,,,,,,,,
2018,5. Quintil,weiblich,,,,,,,,,,,,
2019,1. Quintil,maennlich,,,,,,,,,,,,
2019,1. Quintil,weiblich,,,,,,,,,,,,
2019,2. Quintil,maennlich,,,,,,,,,,,,
2019,2. Quintil,weiblich,,,,,,,,,,,,
2019,3. Quintil,maennlich,,,,,,,,,,,,
2019,3. Quintil,weiblich,,,,,,,,,,,,
2019,4. Quintil,maennlich,,,,,,,,,,,,
2019,4. Quintil,weiblich,,,,,,,,,,,,
2019,5. Quintil,maennlich,,,,,,,,,,,,
2019,5. Quintil,weiblich,,,,,,,,,,,,
2020,1. Quintil,maennlich,2139,2.6750754892231683,2.639920731921717,2.7102302465246195,1.0,2.0,4.0,1.0,7.0,2.0,2.0,2.0
2020,1. Quintil,weiblich,1793,2.185707967277466,2.1500832809746004,2.2213326535803315,1.0,2.0,3.0,1.0,6.0,2.0,2.0,3.0
2020,2. Quintil,maennlich,1571,2.736022770042706,2.6966438640290082,2.775401676056404,1.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0
2020,2. Quintil,weiblich,1632,2.205339731987451,2.168992839416228,2.241686624558674,1.0,2.0,3.0,1.0,6.0,2.0,2.0,3.0
2020,3. Quintil,maennlich,1721,2.687643012666297,2.6525656029616966,2.722720422370897,1.0,2.0,4.0,1.0,7.0,2.0,2.0,2.0
2020,3. Quintil,weiblich,1975,2.2473369884130814,2.2163162884175573,2.2783576884086054,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0
2020,4. Quintil,maennlich,2811,2.7091268049151496,2.681977064090126,2.736276545740173,2.0,2.0,4.0,1.0,7.0,2.0,2.0,2.0
2020,4. Quintil,weiblich,3179,2.2401839143880427,2.217060255418155,2.26330757335793,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0
2020,5. Quintil,maennlich,6116,2.630421370402602,2.6133356555737097,2.6475070852314944,2.0,2.0,3.0,1.0,4.5,2.0,2.0,2.0
2020,5. Quintil,weiblich,6003,2.197721815577811,2.1816990845746824,2.2137445465809398,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0
2021,1. Quintil,maennlich,,,,,,,,,,,,
2021,1. Quintil,weiblich,,,,,,,,,,,,
2021,2. Quintil,maennlich,,,,,,,,,,,,
2021,2. Quintil,weiblich,,,,,,,,,,,,
2021,3. Quintil,maennlich,,,,,,,,,,,,
2021,3. Quintil,weiblich,,,,,,,,,,,,
2021,4. Quintil,maennlich,,,,,,,,,,,,
2021,4. Quintil,weiblich,,,,,,,,,,,,
2021,5. Quintil,maennlich,,,,,,,,,,,,
2021,5. Quintil,weiblich,,,,,,,,,,,,
