year,regtyp,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,Rural regions,No,0.94526,2102,2196,0.93575,0.95478
1998,Urban regions,Yes,0.03802,168,4920,0.03268,0.04337
1998,Urban regions,No,0.96198,4752,4920,0.95663,0.96732
1998,Rural regions,Yes,0.04913,97,2493,0.04064,0.05761
1998,Rural regions,No,0.95087,2396,2493,0.94239,0.95936
1999,Urban regions,Yes,0.04372,167,4717,0.03788,0.04955
1999,Urban regions,No,0.95628,4550,4717,0.95045,0.96212
1999,Rural regions,Yes,0.05101,95,2425,0.04225,0.05977
1999,Rural regions,No,0.94899,2330,2425,0.94023,0.95775
2000,Urban regions,Yes,0.03814,309,8599,0.03409,0.04219
2000,Urban regions,No,0.96186,8290,8599,0.95781,0.96591
2000,Rural regions,Yes,0.04330,179,4351,0.03725,0.04935
2000,Rural regions,No,0.95670,4172,4351,0.95065,0.96275
2001,Urban regions,Yes,0.03785,287,7780,0.03361,0.04209
2001,Urban regions,No,0.96215,7493,7780,0.95791,0.96639
2001,Rural regions,Yes,0.04618,166,3897,0.03959,0.05277
2001,Rural regions,No,0.95382,3731,3897,0.94723,0.96041
2002,Urban regions,Yes,0.03919,285,8252,0.03500,0.04337
2002,Urban regions,No,0.96081,7967,8252,0.95663,0.96500
2002,Rural regions,Yes,0.04885,166,3960,0.04213,0.05556
2002,Rural regions,No,0.95115,3794,3960,0.94444,0.95787
2003,Urban regions,Yes,0.03893,277,7982,0.03468,0.04317
2003,Urban regions,No,0.96107,7705,7982,0.95683,0.96532
2003,Rural regions,Yes,0.05378,178,3821,0.04663,0.06094
2003,Rural regions,No,0.94622,3643,3821,0.93906,0.95337
2004,Urban regions,Yes,0.04163,290,7785,0.03719,0.04607
2004,Urban regions,No,0.95837,7495,7785,0.95393,0.96281
2004,Rural regions,Yes,0.05405,180,3758,0.04682,0.06128
2004,Rural regions,No,0.94595,3578,3758,0.93872,0.95318
2005,Urban regions,Yes,0.03968,274,7553,0.03528,0.04408
2005,Urban regions,No,0.96032,7279,7553,0.95592,0.96472
2005,Rural regions,Yes,0.04507,149,3646,0.03834,0.05181
2005,Rural regions,No,0.95493,3497,3646,0.94819,0.96166
2006,Urban regions,Yes,0.04080,305,8168,0.03650,0.04509
2006,Urban regions,No,0.95920,7863,8168,0.95491,0.96350
2006,Rural regions,Yes,0.05083,192,4097,0.04410,0.05756
2006,Rural regions,No,0.94917,3905,4097,0.94244,0.95590
2007,Urban regions,Yes,0.04230,287,7608,0.03778,0.04682
2007,Urban regions,No,0.95770,7321,7608,0.95318,0.96222
2007,Rural regions,Yes,0.04407,170,3844,0.03758,0.05056
2007,Rural regions,No,0.95593,3674,3844,0.94944,0.96242
2008,Urban regions,Yes,0.04180,264,7189,0.03717,0.04643
2008,Urban regions,No,0.95820,6925,7189,0.95357,0.96283
2008,Rural regions,Yes,0.04213,145,3631,0.03559,0.04866
2008,Rural regions,No,0.95787,3486,3631,0.95134,0.96441
2009,Urban regions,Yes,0.04328,260,6699,0.03841,0.04816
2009,Urban regions,No,0.95672,6439,6699,0.95184,0.96159
2009,Rural regions,Yes,0.04378,151,3478,0.03698,0.05058
2009,Rural regions,No,0.95622,3327,3478,0.94942,0.96302
2010,Urban regions,Yes,0.04032,276,9087,0.03628,0.04437
2010,Urban regions,No,0.95968,8811,9087,0.95563,0.96372
2010,Rural regions,Yes,0.04367,191,4712,0.03784,0.04951
2010,Rural regions,No,0.95633,4521,4712,0.95049,0.96216
2011,Urban regions,Yes,0.03586,328,10756,0.03235,0.03938
2011,Urban regions,No,0.96414,10428,10756,0.96062,0.96765
2011,Rural regions,Yes,0.04046,229,5846,0.03540,0.04551
2011,Rural regions,No,0.95954,5617,5846,0.95449,0.96460
2012,Urban regions,Yes,0.03757,330,10448,0.03392,0.04121
2012,Urban regions,No,0.96243,10118,10448,0.95879,0.96608
2012,Rural regions,Yes,0.04633,236,5855,0.04095,0.05171
2012,Rural regions,No,0.95367,5619,5855,0.94829,0.95905
2013,Urban regions,Yes,0.03588,381,11851,0.03253,0.03923
2013,Urban regions,No,0.96412,11470,11851,0.96077,0.96747
2013,Rural regions,Yes,0.04981,268,6019,0.04431,0.05531
2013,Rural regions,No,0.95019,5751,6019,0.94469,0.95569
2014,Urban regions,Yes,0.03890,377,10399,0.03518,0.04262
2014,Urban regions,No,0.96110,10022,10399,0.95738,0.96482
2014,Rural regions,Yes,0.04900,255,5427,0.04326,0.05475
2014,Rural regions,No,0.95100,5172,5427,0.94525,0.95674
2015,Urban regions,Yes,0.03887,343,10383,0.03515,0.04258
2015,Urban regions,No,0.96113,10040,10383,0.95742,0.96485
2015,Rural regions,Yes,0.04401,236,5381,0.03853,0.04949
2015,Rural regions,No,0.95599,5145,5381,0.95051,0.96147
2016,Urban regions,Yes,0.04154,467,10824,0.03778,0.04530
2016,Urban regions,No,0.95846,10357,10824,0.95470,0.96222
2016,Rural regions,Yes,0.05251,288,5576,0.04665,0.05836
2016,Rural regions,No,0.94749,5288,5576,0.94164,0.95335
2017,Urban regions,Yes,0.04202,474,12024,0.03843,0.04560
2017,Urban regions,No,0.95798,11550,12024,0.95440,0.96157
2017,Rural regions,Yes,0.05316,308,6247,0.04760,0.05873
2017,Rural regions,No,0.94684,5939,6247,0.94127,0.95240
2018,Urban regions,Yes,0.04575,560,11932,0.04200,0.04950
2018,Urban regions,No,0.95425,11372,11932,0.95050,0.95800
2018,Rural regions,Yes,0.05093,303,5943,0.04534,0.05652
2018,Rural regions,No,0.94907,5640,5943,0.94348,0.95466
2019,No answer / don't know,No,0.94473,448,448,0.92354,0.96591
2019,Urban regions,Yes,0.04689,535,11974,0.04310,0.05068
2019,Urban regions,No,0.95311,11439,11974,0.94932,0.95690
2019,Rural regions,Yes,0.05051,278,5986,0.04496,0.05606
2019,Rural regions,No,0.94949,5708,5986,0.94394,0.95504
2020,Urban regions,Yes,0.04852,535,13372,0.04488,0.05216
2020,Urban regions,No,0.95148,12837,13372,0.94784,0.95512
2020,Rural regions,Yes,0.05447,293,5918,0.04868,0.06025
2020,Rural regions,No,0.94553,5625,5918,0.93975,0.95132
2021,Urban regions,Yes,0.05502,444,8608,0.05020,0.05983
2021,Urban regions,No,0.94498,8164,8608,0.94017,0.94980
2021,Rural regions,Yes,0.06189,240,3943,0.05437,0.06941
2021,Rural regions,No,0.93811,3703,3943,0.93059,0.94563
2022,Urban regions,Yes,0.05147,581,14085,0.04782,0.05512
2022,Urban regions,No,0.94853,13504,14085,0.94488,0.95218
2022,Rural regions,Yes,0.06448,330,6303,0.05842,0.07055
2022,Rural regions,No,0.93552,5973,6303,0.92945,0.94158
