year,quintil_oecd_hh,regtyp,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,1st Quintile,Urban regions,Yes,0.04937,31,728,0.03362,0.06512
1989,1st Quintile,Urban regions,No,0.95063,697,728,0.93488,0.96638
1989,1st Quintile,Rural regions,No,0.93957,173,173,0.90395,0.97518
1989,2nd Quintile,Urban regions,No,0.95976,754,754,0.94572,0.97379
1989,2nd Quintile,Rural regions,No,0.95751,195,195,0.92912,0.98589
1989,3rd Quintile,Urban regions,No,0.97303,736,736,0.96132,0.98474
1989,3rd Quintile,Rural regions,No,0.95958,187,187,0.93128,0.98788
1989,4th Quintile,Urban regions,No,0.98576,748,748,0.97726,0.99426
1989,4th Quintile,Rural regions,No,0.97225,184,184,0.94846,0.99605
1989,5th Quintile,Urban regions,No,0.97932,698,698,0.96876,0.98989
1989,5th Quintile,Rural regions,No,0.97712,134,134,0.95171,1.00253
1990,2nd Quintile,Urban regions,Yes,0.07008,47,907,0.05346,0.08670
1990,2nd Quintile,Urban regions,No,0.92992,860,907,0.91330,0.94654
1990,2nd Quintile,Rural regions,No,0.93163,240,240,0.89964,0.96363
1990,3rd Quintile,Urban regions,No,0.97025,901,901,0.95916,0.98135
1990,3rd Quintile,Rural regions,No,0.97076,229,229,0.94890,0.99263
1990,4th Quintile,Urban regions,No,0.98838,905,905,0.98140,0.99537
1990,4th Quintile,Rural regions,No,0.97522,227,227,0.95495,0.99549
1990,5th Quintile,Urban regions,No,0.98094,857,857,0.97178,0.99010
1990,5th Quintile,Rural regions,No,0.95719,179,179,0.92745,0.98693
1991,1st Quintile,No answer / don't know,No,0.84205,41,41,0.72903,0.95507
1991,1st Quintile,Urban regions,No,0.95648,688,688,0.94122,0.97174
1991,1st Quintile,Rural regions,Yes,0.05632,60,1290,0.04373,0.06890
1991,1st Quintile,Rural regions,No,0.94368,1230,1290,0.93110,0.95627
1991,2nd Quintile,Urban regions,Yes,0.05965,41,891,0.04409,0.07520
1991,2nd Quintile,Urban regions,No,0.94035,850,891,0.92480,0.95591
1991,2nd Quintile,Rural regions,No,0.89207,223,223,0.85125,0.93289
1991,3rd Quintile,Urban regions,Yes,0.03686,35,920,0.02468,0.04904
1991,3rd Quintile,Urban regions,No,0.96314,885,920,0.95096,0.97532
1991,3rd Quintile,Rural regions,No,0.93539,241,241,0.90429,0.96649
1991,4th Quintile,Urban regions,No,0.97078,908,908,0.95982,0.98174
1991,4th Quintile,Rural regions,No,0.96478,244,244,0.94160,0.98796
1991,5th Quintile,Urban regions,No,0.98162,879,879,0.97274,0.99051
1991,5th Quintile,Rural regions,No,0.97121,165,165,0.94562,0.99680
1992,1st Quintile,Urban regions,Yes,0.08474,40,719,0.06437,0.10511
1992,1st Quintile,Urban regions,No,0.91526,679,719,0.89489,0.93563
1992,1st Quintile,Rural regions,Yes,0.10336,54,652,0.07998,0.12675
1992,1st Quintile,Rural regions,No,0.89664,598,652,0.87325,0.92002
1992,2nd Quintile,Urban regions,Yes,0.05905,39,875,0.04342,0.07468
1992,2nd Quintile,Urban regions,No,0.94095,836,875,0.92532,0.95658
1992,2nd Quintile,Rural regions,No,0.93797,564,564,0.91805,0.95790
1992,3rd Quintile,Urban regions,No,0.97294,892,892,0.96229,0.98360
1992,3rd Quintile,Rural regions,No,0.95040,397,397,0.92901,0.97178
1992,4th Quintile,Urban regions,Yes,0.03685,31,942,0.02481,0.04888
1992,4th Quintile,Urban regions,No,0.96315,911,942,0.95112,0.97519
1992,4th Quintile,Rural regions,No,0.97261,310,310,0.95441,0.99081
1992,5th Quintile,Urban regions,No,0.97426,891,891,0.96385,0.98466
1992,5th Quintile,Rural regions,No,0.97625,172,172,0.95343,0.99907
1993,1st Quintile,Urban regions,Yes,0.05945,37,712,0.04207,0.07683
1993,1st Quintile,Urban regions,No,0.94055,675,712,0.92317,0.95793
1993,1st Quintile,Rural regions,Yes,0.11209,47,585,0.08650,0.13768
1993,1st Quintile,Rural regions,No,0.88791,538,585,0.86232,0.91350
1993,2nd Quintile,Urban regions,Yes,0.06394,37,891,0.04787,0.08001
1993,2nd Quintile,Urban regions,No,0.93606,854,891,0.91999,0.95213
1993,2nd Quintile,Rural regions,No,0.94445,564,564,0.92553,0.96337
1993,3rd Quintile,Urban regions,No,0.96330,887,887,0.95092,0.97568
1993,3rd Quintile,Rural regions,No,0.95347,441,441,0.93379,0.97315
1993,4th Quintile,Urban regions,No,0.97426,910,910,0.96396,0.98455
1993,4th Quintile,Rural regions,No,0.95908,333,333,0.93777,0.98039
1993,5th Quintile,Urban regions,No,0.97526,890,890,0.96505,0.98547
1993,5th Quintile,Rural regions,No,0.95481,180,180,0.92439,0.98524
1994,1st Quintile,Urban regions,Yes,0.07073,49,816,0.05313,0.08833
1994,1st Quintile,Urban regions,No,0.92927,767,816,0.91167,0.94687
1994,1st Quintile,Rural regions,Yes,0.11987,43,514,0.09176,0.14798
1994,1st Quintile,Rural regions,No,0.88013,471,514,0.85202,0.90824
1994,2nd Quintile,Urban regions,Yes,0.05319,32,839,0.03799,0.06838
1994,2nd Quintile,Urban regions,No,0.94681,807,839,0.93162,0.96201
1994,2nd Quintile,Rural regions,No,0.93880,542,542,0.91861,0.95900
1994,3rd Quintile,Urban regions,No,0.96611,845,845,0.95390,0.97831
1994,3rd Quintile,Rural regions,No,0.96885,474,474,0.95319,0.98450
1994,4th Quintile,Urban regions,No,0.96870,871,871,0.95712,0.98027
1994,4th Quintile,Rural regions,No,0.96257,333,333,0.94215,0.98299
1994,5th Quintile,Urban regions,No,0.97781,871,871,0.96802,0.98760
1994,5th Quintile,Rural regions,No,0.95978,234,234,0.93455,0.98501
1995,1st Quintile,Urban regions,Yes,0.06695,48,882,0.05044,0.08345
1995,1st Quintile,Urban regions,No,0.93305,834,882,0.91655,0.94956
1995,1st Quintile,Rural regions,Yes,0.09231,36,509,0.06713,0.11748
1995,1st Quintile,Rural regions,No,0.90769,473,509,0.88252,0.93287
1995,2nd Quintile,Urban regions,Yes,0.07203,42,913,0.05525,0.08881
1995,2nd Quintile,Urban regions,No,0.92797,871,913,0.91119,0.94475
1995,2nd Quintile,Rural regions,No,0.95062,527,527,0.93211,0.96914
1995,3rd Quintile,Urban regions,No,0.95701,867,867,0.94350,0.97052
1995,3rd Quintile,Rural regions,No,0.95401,491,491,0.93546,0.97255
1995,4th Quintile,Urban regions,No,0.96453,850,850,0.95209,0.97697
1995,4th Quintile,Rural regions,No,0.96094,383,383,0.94151,0.98037
1995,5th Quintile,Urban regions,No,0.97335,852,852,0.96253,0.98417
1995,5th Quintile,Rural regions,No,0.96353,246,246,0.94005,0.98700
1996,1st Quintile,Urban regions,Yes,0.05782,43,903,0.04259,0.07306
1996,1st Quintile,Urban regions,No,0.94218,860,903,0.92694,0.95741
1996,1st Quintile,Rural regions,No,0.92298,473,473,0.89892,0.94703
1996,2nd Quintile,Urban regions,Yes,0.05973,38,882,0.04408,0.07538
1996,2nd Quintile,Urban regions,No,0.94027,844,882,0.92462,0.95592
1996,2nd Quintile,Rural regions,No,0.95024,484,484,0.93084,0.96963
1996,3rd Quintile,Urban regions,No,0.96656,825,825,0.95429,0.97884
1996,3rd Quintile,Rural regions,No,0.96933,526,526,0.95458,0.98408
1996,4th Quintile,Urban regions,Yes,0.03253,31,906,0.02097,0.04409
1996,4th Quintile,Urban regions,No,0.96747,875,906,0.95591,0.97903
1996,4th Quintile,Rural regions,No,0.95363,375,375,0.93231,0.97494
1996,5th Quintile,Urban regions,No,0.96965,825,825,0.95794,0.98136
1996,5th Quintile,Rural regions,No,0.97354,263,263,0.95411,0.99298
1997,1st Quintile,Urban regions,Yes,0.05724,42,869,0.04179,0.07270
1997,1st Quintile,Urban regions,No,0.94276,827,869,0.92730,0.95821
1997,1st Quintile,Rural regions,No,0.91903,436,436,0.89339,0.94466
1997,2nd Quintile,Urban regions,Yes,0.06052,35,863,0.04460,0.07644
1997,2nd Quintile,Urban regions,No,0.93948,828,863,0.92356,0.95540
1997,2nd Quintile,Rural regions,No,0.94744,524,524,0.92832,0.96657
1997,3rd Quintile,Urban regions,No,0.97096,851,851,0.95967,0.98225
1997,3rd Quintile,Rural regions,No,0.94201,495,495,0.92140,0.96262
1997,4th Quintile,Urban regions,No,0.97833,879,879,0.96869,0.98796
1997,4th Quintile,Rural regions,No,0.95557,374,374,0.93466,0.97648
1997,5th Quintile,Urban regions,No,0.97336,804,804,0.96223,0.98450
1997,5th Quintile,Rural regions,No,0.97774,273,273,0.96020,0.99527
1998,1st Quintile,Urban regions,Yes,0.04450,36,992,0.03166,0.05734
1998,1st Quintile,Urban regions,No,0.95550,956,992,0.94266,0.96834
1998,1st Quintile,Rural regions,No,0.93660,488,488,0.91495,0.95824
1998,2nd Quintile,Urban regions,Yes,0.04956,40,982,0.03597,0.06314
1998,2nd Quintile,Urban regions,No,0.95044,942,982,0.93686,0.96403
1998,2nd Quintile,Rural regions,No,0.94681,568,568,0.92834,0.96528
1998,3rd Quintile,Urban regions,No,0.96568,934,934,0.95400,0.97736
1998,3rd Quintile,Rural regions,No,0.96387,548,548,0.94823,0.97951
1998,4th Quintile,Urban regions,Yes,0.03726,33,999,0.02551,0.04901
1998,4th Quintile,Urban regions,No,0.96274,966,999,0.95099,0.97449
1998,4th Quintile,Rural regions,No,0.95267,478,478,0.93362,0.97173
1998,5th Quintile,Urban regions,No,0.97298,951,951,0.96267,0.98329
1998,5th Quintile,Rural regions,No,0.95797,313,313,0.93570,0.98023
1999,1st Quintile,Urban regions,Yes,0.05627,42,969,0.04175,0.07079
1999,1st Quintile,Urban regions,No,0.94373,927,969,0.92921,0.95825
1999,1st Quintile,Rural regions,No,0.96021,521,521,0.94341,0.97701
1999,2nd Quintile,Urban regions,Yes,0.06956,44,926,0.05316,0.08595
1999,2nd Quintile,Urban regions,No,0.93044,882,926,0.91405,0.94684
1999,2nd Quintile,Rural regions,No,0.94244,571,571,0.92332,0.96156
1999,3rd Quintile,Urban regions,No,0.95744,898,898,0.94423,0.97065
1999,3rd Quintile,Rural regions,No,0.94301,539,539,0.92342,0.96260
1999,4th Quintile,Urban regions,No,0.96753,937,937,0.95617,0.97888
1999,4th Quintile,Rural regions,No,0.93621,399,399,0.91220,0.96022
1999,5th Quintile,Urban regions,No,0.97577,906,906,0.96575,0.98579
1999,5th Quintile,Rural regions,No,0.96746,300,300,0.94735,0.98757
2000,1st Quintile,Urban regions,Yes,0.03758,56,1618,0.02831,0.04685
2000,1st Quintile,Urban regions,No,0.96242,1562,1618,0.95315,0.97169
2000,1st Quintile,Rural regions,Yes,0.03616,35,936,0.02419,0.04812
2000,1st Quintile,Rural regions,No,0.96384,901,936,0.95188,0.97581
2000,2nd Quintile,Urban regions,Yes,0.04195,64,1675,0.03235,0.05156
2000,2nd Quintile,Urban regions,No,0.95805,1611,1675,0.94844,0.96765
2000,2nd Quintile,Rural regions,Yes,0.06007,55,1038,0.04561,0.07453
2000,2nd Quintile,Rural regions,No,0.93993,983,1038,0.92547,0.95439
2000,3rd Quintile,Urban regions,Yes,0.04637,71,1647,0.03621,0.05653
2000,3rd Quintile,Urban regions,No,0.95363,1576,1647,0.94347,0.96379
2000,3rd Quintile,Rural regions,Yes,0.06546,58,1003,0.05015,0.08078
2000,3rd Quintile,Rural regions,No,0.93454,945,1003,0.91922,0.94985
2000,4th Quintile,Urban regions,Yes,0.03259,60,1803,0.02440,0.04079
2000,4th Quintile,Urban regions,No,0.96741,1743,1803,0.95921,0.97560
2000,4th Quintile,Rural regions,No,0.97029,773,773,0.95831,0.98227
2000,5th Quintile,Urban regions,Yes,0.03389,58,1852,0.02564,0.04213
2000,5th Quintile,Urban regions,No,0.96611,1794,1852,0.95787,0.97436
2000,5th Quintile,Rural regions,No,0.99140,568,568,0.98380,0.99900
2001,1st Quintile,Urban regions,Yes,0.03015,46,1434,0.02130,0.03901
2001,1st Quintile,Urban regions,No,0.96985,1388,1434,0.96099,0.97870
2001,1st Quintile,Rural regions,Yes,0.04321,37,797,0.02908,0.05733
2001,1st Quintile,Rural regions,No,0.95679,760,797,0.94267,0.97092
2001,2nd Quintile,Urban regions,Yes,0.03882,53,1493,0.02902,0.04863
2001,2nd Quintile,Urban regions,No,0.96118,1440,1493,0.95137,0.97098
2001,2nd Quintile,Rural regions,Yes,0.05511,48,966,0.04071,0.06951
2001,2nd Quintile,Rural regions,No,0.94489,918,966,0.93049,0.95929
2001,3rd Quintile,Urban regions,Yes,0.04518,68,1553,0.03485,0.05551
2001,3rd Quintile,Urban regions,No,0.95482,1485,1553,0.94449,0.96515
2001,3rd Quintile,Rural regions,Yes,0.05655,43,881,0.04129,0.07182
2001,3rd Quintile,Rural regions,No,0.94345,838,881,0.92818,0.95871
2001,4th Quintile,Urban regions,Yes,0.04079,65,1615,0.03114,0.05044
2001,4th Quintile,Urban regions,No,0.95921,1550,1615,0.94956,0.96886
2001,4th Quintile,Rural regions,No,0.95649,725,725,0.94163,0.97135
2001,5th Quintile,Urban regions,Yes,0.03487,55,1682,0.02610,0.04364
2001,5th Quintile,Urban regions,No,0.96513,1627,1682,0.95636,0.97390
2001,5th Quintile,Rural regions,No,0.97816,490,490,0.96521,0.99112
2002,1st Quintile,Urban regions,Yes,0.04157,57,1320,0.03080,0.05234
2002,1st Quintile,Urban regions,No,0.95843,1263,1320,0.94766,0.96920
2002,1st Quintile,Rural regions,Yes,0.04432,32,779,0.02986,0.05879
2002,1st Quintile,Rural regions,No,0.95568,747,779,0.94121,0.97014
2002,2nd Quintile,Urban regions,Yes,0.05017,59,1378,0.03864,0.06170
2002,2nd Quintile,Urban regions,No,0.94983,1319,1378,0.93830,0.96136
2002,2nd Quintile,Rural regions,Yes,0.06677,51,862,0.05010,0.08344
2002,2nd Quintile,Rural regions,No,0.93323,811,862,0.91656,0.94990
2002,3rd Quintile,Urban regions,Yes,0.03729,52,1474,0.02761,0.04696
2002,3rd Quintile,Urban regions,No,0.96271,1422,1474,0.95304,0.97239
2002,3rd Quintile,Rural regions,Yes,0.06386,42,798,0.04689,0.08084
2002,3rd Quintile,Rural regions,No,0.93614,756,798,0.91916,0.95311
2002,4th Quintile,Urban regions,Yes,0.04119,59,1566,0.03134,0.05104
2002,4th Quintile,Urban regions,No,0.95881,1507,1566,0.94896,0.96866
2002,4th Quintile,Rural regions,No,0.96448,775,775,0.95144,0.97752
2002,5th Quintile,Urban regions,Yes,0.02812,58,2510,0.02165,0.03459
2002,5th Quintile,Urban regions,No,0.97188,2452,2510,0.96541,0.97835
2002,5th Quintile,Rural regions,No,0.97727,704,704,0.96625,0.98829
2003,1st Quintile,Urban regions,Yes,0.04114,50,1329,0.03045,0.05182
2003,1st Quintile,Urban regions,No,0.95886,1279,1329,0.94818,0.96955
2003,1st Quintile,Rural regions,No,0.96617,705,705,0.95281,0.97952
2003,2nd Quintile,Urban regions,Yes,0.04578,52,1339,0.03458,0.05698
2003,2nd Quintile,Urban regions,No,0.95422,1287,1339,0.94302,0.96542
2003,2nd Quintile,Rural regions,Yes,0.08411,65,869,0.06564,0.10257
2003,2nd Quintile,Rural regions,No,0.91589,804,869,0.89743,0.93436
2003,3rd Quintile,Urban regions,Yes,0.04880,68,1442,0.03768,0.05992
2003,3rd Quintile,Urban regions,No,0.95120,1374,1442,0.94008,0.96232
2003,3rd Quintile,Rural regions,Yes,0.05676,44,790,0.04062,0.07291
2003,3rd Quintile,Rural regions,No,0.94324,746,790,0.92709,0.95938
2003,4th Quintile,Urban regions,Yes,0.03610,55,1540,0.02678,0.04542
2003,4th Quintile,Urban regions,No,0.96390,1485,1540,0.95458,0.97322
2003,4th Quintile,Rural regions,Yes,0.05133,32,733,0.03534,0.06731
2003,4th Quintile,Rural regions,No,0.94867,701,733,0.93269,0.96466
2003,5th Quintile,Urban regions,Yes,0.02522,52,2329,0.01885,0.03159
2003,5th Quintile,Urban regions,No,0.97478,2277,2329,0.96841,0.98115
2003,5th Quintile,Rural regions,No,0.96564,686,686,0.95200,0.97928
2004,1st Quintile,Urban regions,Yes,0.03907,50,1251,0.02833,0.04981
2004,1st Quintile,Urban regions,No,0.96093,1201,1251,0.95019,0.97167
2004,1st Quintile,Rural regions,No,0.96491,686,686,0.95113,0.97869
2004,2nd Quintile,Urban regions,Yes,0.05079,60,1343,0.03904,0.06253
2004,2nd Quintile,Urban regions,No,0.94921,1283,1343,0.93747,0.96096
2004,2nd Quintile,Rural regions,Yes,0.07871,58,820,0.06027,0.09716
2004,2nd Quintile,Rural regions,No,0.92129,762,820,0.90284,0.93973
2004,3rd Quintile,Urban regions,Yes,0.04587,57,1399,0.03490,0.05683
2004,3rd Quintile,Urban regions,No,0.95413,1342,1399,0.94317,0.96510
2004,3rd Quintile,Rural regions,Yes,0.07033,49,793,0.05252,0.08813
2004,3rd Quintile,Rural regions,No,0.92967,744,793,0.91187,0.94748
2004,4th Quintile,Urban regions,Yes,0.04551,67,1530,0.03507,0.05596
2004,4th Quintile,Urban regions,No,0.95449,1463,1530,0.94404,0.96493
2004,4th Quintile,Rural regions,No,0.95177,707,707,0.93597,0.96758
2004,5th Quintile,Urban regions,Yes,0.02867,56,2259,0.02179,0.03555
2004,5th Quintile,Urban regions,No,0.97133,2203,2259,0.96445,0.97821
2004,5th Quintile,Rural regions,No,0.96902,679,679,0.95597,0.98206
2005,1st Quintile,Urban regions,Yes,0.04077,55,1276,0.02991,0.05162
2005,1st Quintile,Urban regions,No,0.95923,1221,1276,0.94838,0.97009
2005,1st Quintile,Rural regions,No,0.96641,672,672,0.95278,0.98004
2005,2nd Quintile,Urban regions,Yes,0.04747,55,1270,0.03577,0.05917
2005,2nd Quintile,Urban regions,No,0.95253,1215,1270,0.94083,0.96423
2005,2nd Quintile,Rural regions,Yes,0.06273,43,798,0.04590,0.07957
2005,2nd Quintile,Rural regions,No,0.93727,755,798,0.92043,0.95410
2005,3rd Quintile,Urban regions,Yes,0.04039,50,1332,0.02981,0.05097
2005,3rd Quintile,Urban regions,No,0.95961,1282,1332,0.94903,0.97019
2005,3rd Quintile,Rural regions,Yes,0.05509,38,767,0.03894,0.07125
2005,3rd Quintile,Rural regions,No,0.94491,729,767,0.92875,0.96106
2005,4th Quintile,Urban regions,Yes,0.04857,66,1487,0.03764,0.05950
2005,4th Quintile,Urban regions,No,0.95143,1421,1487,0.94050,0.96236
2005,4th Quintile,Rural regions,No,0.96099,698,698,0.94662,0.97536
2005,5th Quintile,Urban regions,Yes,0.02334,48,2186,0.01701,0.02967
2005,5th Quintile,Urban regions,No,0.97666,2138,2186,0.97033,0.98299
2005,5th Quintile,Rural regions,No,0.97167,642,642,0.95883,0.98452
2006,1st Quintile,Urban regions,Yes,0.03210,42,1331,0.02263,0.04157
2006,1st Quintile,Urban regions,No,0.96790,1289,1331,0.95843,0.97737
2006,1st Quintile,Rural regions,No,0.96616,741,741,0.95313,0.97919
2006,2nd Quintile,Urban regions,Yes,0.06664,81,1331,0.05323,0.08004
2006,2nd Quintile,Urban regions,No,0.93336,1250,1331,0.91996,0.94677
2006,2nd Quintile,Rural regions,Yes,0.06455,57,891,0.04840,0.08069
2006,2nd Quintile,Rural regions,No,0.93545,834,891,0.91931,0.95160
2006,3rd Quintile,Urban regions,Yes,0.04113,61,1498,0.03107,0.05119
2006,3rd Quintile,Urban regions,No,0.95887,1437,1498,0.94881,0.96893
2006,3rd Quintile,Rural regions,Yes,0.06239,48,889,0.04648,0.07829
2006,3rd Quintile,Rural regions,No,0.93761,841,889,0.92171,0.95352
2006,4th Quintile,Urban regions,Yes,0.04355,70,1686,0.03381,0.05330
2006,4th Quintile,Urban regions,No,0.95645,1616,1686,0.94670,0.96619
2006,4th Quintile,Rural regions,Yes,0.05388,41,807,0.03829,0.06946
2006,4th Quintile,Rural regions,No,0.94612,766,807,0.93054,0.96171
2006,5th Quintile,Urban regions,Yes,0.02399,51,2318,0.01776,0.03022
2006,5th Quintile,Urban regions,No,0.97601,2267,2318,0.96978,0.98224
2006,5th Quintile,Rural regions,No,0.96507,721,721,0.95166,0.97848
2007,1st Quintile,Urban regions,Yes,0.03939,44,1237,0.02855,0.05024
2007,1st Quintile,Urban regions,No,0.96061,1193,1237,0.94976,0.97145
2007,1st Quintile,Rural regions,No,0.96825,696,696,0.95521,0.98128
2007,2nd Quintile,Urban regions,Yes,0.06051,69,1302,0.04755,0.07346
2007,2nd Quintile,Urban regions,No,0.93949,1233,1302,0.92654,0.95245
2007,2nd Quintile,Rural regions,Yes,0.05838,44,808,0.04220,0.07455
2007,2nd Quintile,Rural regions,No,0.94162,764,808,0.92545,0.95780
2007,3rd Quintile,Urban regions,Yes,0.04217,57,1376,0.03155,0.05280
2007,3rd Quintile,Urban regions,No,0.95783,1319,1376,0.94720,0.96845
2007,3rd Quintile,Rural regions,Yes,0.05000,42,839,0.03525,0.06476
2007,3rd Quintile,Rural regions,No,0.95000,797,839,0.93524,0.96475
2007,4th Quintile,Urban regions,Yes,0.04600,69,1553,0.03558,0.05642
2007,4th Quintile,Urban regions,No,0.95400,1484,1553,0.94358,0.96442
2007,4th Quintile,Rural regions,Yes,0.04160,36,780,0.02758,0.05563
2007,4th Quintile,Rural regions,No,0.95840,744,780,0.94437,0.97242
2007,5th Quintile,Urban regions,Yes,0.02559,48,2137,0.01889,0.03228
2007,5th Quintile,Urban regions,No,0.97441,2089,2137,0.96772,0.98111
2007,5th Quintile,Rural regions,No,0.96316,673,673,0.94892,0.97741
2008,1st Quintile,Urban regions,Yes,0.03772,41,1184,0.02686,0.04858
2008,1st Quintile,Urban regions,No,0.96228,1143,1184,0.95142,0.97314
2008,1st Quintile,Rural regions,No,0.96736,665,665,0.95384,0.98088
2008,2nd Quintile,Urban regions,Yes,0.05422,60,1212,0.04147,0.06698
2008,2nd Quintile,Urban regions,No,0.94578,1152,1212,0.93302,0.95853
2008,2nd Quintile,Rural regions,Yes,0.04616,38,759,0.03122,0.06110
2008,2nd Quintile,Rural regions,No,0.95384,721,759,0.93890,0.96878
2008,3rd Quintile,Urban regions,Yes,0.04914,58,1331,0.03753,0.06076
2008,3rd Quintile,Urban regions,No,0.95086,1273,1331,0.93924,0.96247
2008,3rd Quintile,Rural regions,No,0.96101,807,807,0.94765,0.97437
2008,4th Quintile,Urban regions,Yes,0.04055,57,1429,0.03032,0.05078
2008,4th Quintile,Urban regions,No,0.95945,1372,1429,0.94922,0.96968
2008,4th Quintile,Rural regions,Yes,0.05897,37,684,0.04130,0.07664
2008,4th Quintile,Rural regions,No,0.94103,647,684,0.92336,0.95870
2008,5th Quintile,Urban regions,Yes,0.02942,48,2032,0.02207,0.03677
2008,5th Quintile,Urban regions,No,0.97058,1984,2032,0.96323,0.97793
2008,5th Quintile,Rural regions,No,0.96608,645,645,0.95210,0.98006
2009,1st Quintile,Urban regions,Yes,0.05088,51,1142,0.03813,0.06363
2009,1st Quintile,Urban regions,No,0.94912,1091,1142,0.93637,0.96187
2009,1st Quintile,Rural regions,No,0.95072,622,622,0.93370,0.96775
2009,2nd Quintile,Urban regions,Yes,0.06000,71,1143,0.04622,0.07377
2009,2nd Quintile,Urban regions,No,0.94000,1072,1143,0.92623,0.95378
2009,2nd Quintile,Rural regions,Yes,0.04768,38,743,0.03235,0.06301
2009,2nd Quintile,Rural regions,No,0.95232,705,743,0.93699,0.96765
2009,3rd Quintile,Urban regions,Yes,0.04314,48,1190,0.03159,0.05469
2009,3rd Quintile,Urban regions,No,0.95686,1142,1190,0.94531,0.96841
2009,3rd Quintile,Rural regions,Yes,0.04207,35,759,0.02778,0.05637
