year,regtyp,sampreg,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2020,Urban regions,East,Yes,0.09339,281,1512,0.07872,0.10806
2020,Urban regions,East,No,0.90661,1231,1512,0.89194,0.92128
2020,Rural regions,West,Yes,0.05920,490,3577,0.05147,0.06694
2020,Rural regions,West,No,0.94080,3087,3577,0.93306,0.94853
2020,Rural regions,East,Yes,0.10138,318,2287,0.08901,0.11375
2020,Rural regions,East,No,0.89862,1969,2287,0.88625,0.91099
2021,Urban regions,West,Yes,0.06115,977,7547,0.05574,0.06655
2021,Urban regions,West,No,0.93885,6570,7547,0.93345,0.94426
2021,Urban regions,East,Yes,0.06826,159,1025,0.05282,0.08371
2021,Urban regions,East,No,0.93174,866,1025,0.91629,0.94718
2021,Rural regions,West,Yes,0.05031,224,2367,0.04150,0.05912
2021,Rural regions,West,No,0.94969,2143,2367,0.94088,0.95850
2021,Rural regions,East,Yes,0.08090,166,1545,0.06730,0.09451
2021,Rural regions,East,No,0.91910,1379,1545,0.90549,0.93270
2022,Urban regions,West,Yes,0.05194,890,12231,0.04801,0.05587
2022,Urban regions,West,No,0.94806,11341,12231,0.94413,0.95199
2022,Urban regions,East,Yes,0.06687,150,1718,0.05506,0.07869
2022,Urban regions,East,No,0.93313,1568,1718,0.92131,0.94494
2022,Rural regions,West,Yes,0.03660,197,3628,0.03049,0.04271
2022,Rural regions,West,No,0.96340,3431,3628,0.95729,0.96951
2022,Rural regions,East,Yes,0.05179,186,2609,0.04328,0.06029
2022,Rural regions,East,No,0.94821,2423,2609,0.93971,0.95672
