year,quintil_oecd_hh,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,5th Quintile,No,0.99467,2693,2693,0.99192,0.99742
2017,1st Quintile,Yes,0.29410,1701,4622,0.28096,0.30724
2017,1st Quintile,No,0.70590,2921,4622,0.69276,0.71904
2017,2nd Quintile,Yes,0.06668,335,3291,0.05816,0.07521
2017,2nd Quintile,No,0.93332,2956,3291,0.92479,0.94184
2017,3rd Quintile,Yes,0.01912,95,3071,0.01428,0.02397
2017,3rd Quintile,No,0.98088,2976,3071,0.97603,0.98572
2017,4th Quintile,Yes,0.00984,34,2994,0.00630,0.01338
2017,4th Quintile,No,0.99016,2960,2994,0.98662,0.99370
2017,5th Quintile,No,0.99335,3030,3030,0.99045,0.99624
2018,1st Quintile,Yes,0.27986,2352,5328,0.26781,0.29192
2018,1st Quintile,No,0.72014,2976,5328,0.70808,0.73219
2018,2nd Quintile,Yes,0.05813,379,3418,0.05028,0.06598
2018,2nd Quintile,No,0.94187,3039,3418,0.93402,0.94972
2018,3rd Quintile,Yes,0.02334,132,2969,0.01791,0.02878
2018,3rd Quintile,No,0.97666,2837,2969,0.97122,0.98209
2018,4th Quintile,Yes,0.01384,58,2876,0.00957,0.01811
2018,4th Quintile,No,0.98616,2818,2876,0.98189,0.99043
2018,5th Quintile,No,0.99171,2958,2958,0.98844,0.99498
2019,1st Quintile,Yes,0.26907,2411,5020,0.25680,0.28134
2019,1st Quintile,No,0.73093,2609,5020,0.71866,0.74320
2019,2nd Quintile,Yes,0.04958,275,3132,0.04198,0.05719
2019,2nd Quintile,No,0.95042,2857,3132,0.94281,0.95802
2019,3rd Quintile,Yes,0.02227,89,2872,0.01687,0.02767
2019,3rd Quintile,No,0.97773,2783,2872,0.97233,0.98313
2019,4th Quintile,Yes,0.01340,37,2905,0.00922,0.01758
2019,4th Quintile,No,0.98660,2868,2905,0.98242,0.99078
2019,5th Quintile,No,0.99798,4309,4309,0.99664,0.99932
2020,Not included in this version of the questionnaire,No,0.93978,171,171,0.90401,0.97554
2020,1st Quintile,Yes,0.25602,2672,6034,0.24500,0.26703
2020,1st Quintile,No,0.74398,3362,6034,0.73297,0.75500
2020,2nd Quintile,Yes,0.05393,301,3458,0.04640,0.06146
2020,2nd Quintile,No,0.94607,3157,3458,0.93854,0.95360
2020,3rd Quintile,Yes,0.02182,82,2856,0.01646,0.02718
2020,3rd Quintile,No,0.97818,2774,2856,0.97282,0.98354
2020,4th Quintile,Yes,0.00910,34,2827,0.00560,0.01260
2020,4th Quintile,No,0.99090,2793,2827,0.98740,0.99440
2020,5th Quintile,No,0.99459,3674,3674,0.99221,0.99696
2021,Not included in this version of the questionnaire,No,0.98980,45,45,0.96012,1.01949
2021,1st Quintile,Yes,0.22291,1164,3216,0.20852,0.23729
2021,1st Quintile,No,0.77709,2052,3216,0.76271,0.79148
2021,2nd Quintile,Yes,0.04597,231,2363,0.03753,0.05442
2021,2nd Quintile,No,0.95403,2132,2363,0.94558,0.96247
2021,3rd Quintile,Yes,0.01953,63,2063,0.01356,0.02550
2021,3rd Quintile,No,0.98047,2000,2063,0.97450,0.98644
2021,4th Quintile,Yes,0.01421,41,2085,0.00913,0.01929
2021,4th Quintile,No,0.98579,2044,2085,0.98071,0.99087
2021,5th Quintile,No,0.99313,2686,2686,0.99001,0.99626
2022,Not included in this version of the questionnaire,No,0.97149,192,192,0.94788,0.99509
2022,1st Quintile,Yes,0.15901,951,5195,0.14906,0.16895
2022,1st Quintile,No,0.84099,4244,5195,0.83105,0.85094
2022,2nd Quintile,Yes,0.05705,311,4135,0.04998,0.06412
2022,2nd Quintile,No,0.94295,3824,4135,0.93588,0.95002
2022,3rd Quintile,Yes,0.01798,86,3451,0.01355,0.02242
2022,3rd Quintile,No,0.98202,3365,3451,0.97758,0.98645
2022,4th Quintile,Yes,0.00962,44,3414,0.00635,0.01290
2022,4th Quintile,No,0.99038,3370,3414,0.98710,0.99365
2022,5th Quintile,No,0.99392,3768,3768,0.99143,0.99640
