,Unnamed: 0,year,quintil_oecd_hh,hlc0052,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
127,127,2019,4th Quintile,Yes,0.01153,37,18240,0.00749,0.01595
128,128,2019,4th Quintile,No,0.98847,2907,18240,0.94447,1.03021
129,129,2019,5th Quintile,No,1.0,4283,18240,0.9463,1.04225
130,130,2020,1st Quintile,Yes,0.25506,2687,18847,0.23702,0.27307
131,131,2020,1st Quintile,No,0.74494,3355,18847,0.70589,0.78264
132,132,2020,2nd Quintile,Yes,0.05514,291,18847,0.04693,0.06467
133,133,2020,2nd Quintile,No,0.94486,3130,18847,0.90297,0.98557
134,134,2020,3rd Quintile,Yes,0.02243,80,18847,0.01574,0.02944
135,135,2020,3rd Quintile,No,0.97757,2838,18847,0.94225,1.01264
136,136,2020,4th Quintile,Yes,0.00904,36,18847,0.00641,0.01121
137,137,2020,4th Quintile,No,0.99096,2763,18847,0.94286,1.02961
138,138,2020,5th Quintile,No,1.0,3667,18847,0.96053,1.04259
139,139,2021,1st Quintile,Yes,0.22267,1179,12418,0.1991,0.24667
140,140,2021,1st Quintile,No,0.77733,2080,12418,0.72341,0.82401
141,141,2021,2nd Quintile,Yes,0.04646,215,12418,0.03586,0.05766
142,142,2021,2nd Quintile,No,0.95354,2149,12418,0.90437,0.99872
143,143,2021,3rd Quintile,Yes,0.01653,67,12418,0.01138,0.02286
144,144,2021,3rd Quintile,No,0.98347,1975,12418,0.94009,1.03244
145,145,2021,4th Quintile,Yes,0.0146,40,12418,0.00956,0.02078
146,146,2021,4th Quintile,No,0.9854,2058,12418,0.93969,1.03021
147,147,2021,5th Quintile,No,1.0,2655,12418,0.95249,1.05691
