,Unnamed: 0,year,quintil_oecd_hh,rentown,hlc0052,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
223,223,2020,4th Quintile,Owner,No,1.0,1566,18754,0.94601,1.05747
224,224,2020,4th Quintile,Tenant,No,1.0,1197,18754,0.93625,1.06468
225,225,2020,5th Quintile,Owner,No,1.0,2690,18754,0.96136,1.04303
226,226,2020,5th Quintile,Tenant,No,1.0,977,18754,0.91813,1.07841
227,227,2021,1st Quintile,Owner,No,1.0,251,12325,0.85952,1.12071
228,228,2021,1st Quintile,Tenant,Yes,0.25868,1165,12325,0.22343,0.29016
229,229,2021,1st Quintile,Tenant,No,0.74132,1828,12325,0.69089,0.80189
230,230,2021,2nd Quintile,Owner,No,1.0,680,12325,0.92128,1.08829
231,231,2021,2nd Quintile,Tenant,Yes,0.05821,197,12325,0.04414,0.07179
232,232,2021,2nd Quintile,Tenant,No,0.94179,1469,12325,0.879,0.99318
233,233,2021,3rd Quintile,Owner,No,1.0,903,12325,0.93525,1.0722
234,234,2021,3rd Quintile,Tenant,Yes,0.02366,50,12325,0.01229,0.03704
235,235,2021,3rd Quintile,Tenant,No,0.97634,1071,12325,0.91505,1.04165
236,236,2021,4th Quintile,Owner,No,1.0,1193,12325,0.93731,1.07302
237,237,2021,4th Quintile,Tenant,No,1.0,865,12325,0.92114,1.0906
238,238,2021,5th Quintile,Owner,No,1.0,1962,12325,0.93626,1.05894
239,239,2021,5th Quintile,Tenant,No,1.0,691,12325,0.90013,1.08392
