"pli0089","year","bula_h","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Seltener","1990","Saarland","Staedtischer Raum","","","",""
"Seltener","1990","Saarland","Laendlicher Raum","","","",""
"Seltener","1990","Berlin","Staedtischer Raum","70","0.217153076460247","0.172396103237772","0.261910049682723"
"Seltener","1990","Berlin","Laendlicher Raum","","","",""
"Seltener","1990","Brandenburg","Staedtischer Raum","","","",""
"Seltener","1990","Brandenburg","Laendlicher Raum","","","",""
"Seltener","1990","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Seltener","1990","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Seltener","1990","Sachsen","Staedtischer Raum","","","",""
"Seltener","1990","Sachsen","Laendlicher Raum","","","",""
"Seltener","1990","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Seltener","1990","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Seltener","1990","Thueringen","Staedtischer Raum","","","",""
"Seltener","1990","Thueringen","Laendlicher Raum","","","",""
"Nie","1990","Schleswig-Holstein","Staedtischer Raum","87","0.605840579181692","0.524309407636053","0.68737175072733"
"Nie","1990","Schleswig-Holstein","Laendlicher Raum","77","0.523409211975934","0.442115380529748","0.604703043422121"
"Nie","1990","Hamburg","Staedtischer Raum","101","0.655460927962794","0.583169518693955","0.727752337231633"
"Nie","1990","Hamburg","Laendlicher Raum","","","",""
"Nie","1990","Niedersachsen","Staedtischer Raum","254","0.551231829815816","0.506550840430584","0.595912819201049"
"Nie","1990","Niedersachsen","Laendlicher Raum","284","0.593765019896203","0.550543183452356","0.63698685634005"
"Nie","1990","Bremen","Staedtischer Raum","68","0.715382206485044","0.627381229278711","0.803383183691377"
"Nie","1990","Bremen","Laendlicher Raum","","","",""
"Nie","1990","Nordrhein-Westfalen","Staedtischer Raum","1473","0.58374428776412","0.564335926608006","0.603152648920235"
"Nie","1990","Nordrhein-Westfalen","Laendlicher Raum","45","0.583495352766449","0.468825951962144","0.698164753570753"
"Nie","1990","Hessen","Staedtischer Raum","519","0.576187932052213","0.542809895666837","0.609565968437588"
"Nie","1990","Hessen","Laendlicher Raum","81","0.616692393309015","0.534372707048629","0.699012079569401"
"Nie","1990","Rheinland-Pfalz,Saarland","Staedtischer Raum","356","0.646096713072862","0.606456749108534","0.685736677037189"
"Nie","1990","Rheinland-Pfalz,Saarland","Laendlicher Raum","61","0.584767295693897","0.493097995604502","0.676436595783292"
