year,quintil_oecd,sex,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,1st Quintile,female,At least once per month,0.02532,61,1940,0.01833,0.03231
2003,1st Quintile,female,Seldom,0.14928,309,1940,0.13342,0.16514
2003,1st Quintile,female,Never,0.80934,1535,1940,0.79186,0.82683
2003,2nd Quintile,male,At least once per week,0.06456,124,1745,0.05303,0.07610
2003,2nd Quintile,male,At least once per month,0.10982,193,1745,0.09515,0.12450
2003,2nd Quintile,male,Seldom,0.30260,524,1745,0.28104,0.32416
2003,2nd Quintile,male,Never,0.52254,904,1745,0.49909,0.54598
2003,2nd Quintile,female,At least once per week,0.03035,71,2083,0.02298,0.03772
2003,2nd Quintile,female,At least once per month,0.02949,76,2083,0.02222,0.03675
2003,2nd Quintile,female,Seldom,0.17810,397,2083,0.16166,0.19453
2003,2nd Quintile,female,Never,0.76183,1539,2083,0.74353,0.78012
2003,3rd Quintile,male,At least once per week,0.07531,157,1986,0.06370,0.08692
2003,3rd Quintile,male,At least once per month,0.09172,198,1986,0.07902,0.10442
2003,3rd Quintile,male,Seldom,0.35404,687,1986,0.33301,0.37508
2003,3rd Quintile,male,Never,0.47866,944,1986,0.45668,0.50064
2003,3rd Quintile,female,At least once per week,0.02945,65,2048,0.02213,0.03678
2003,3rd Quintile,female,At least once per month,0.04328,107,2048,0.03446,0.05209
2003,3rd Quintile,female,Seldom,0.22944,494,2048,0.21123,0.24766
2003,3rd Quintile,female,Never,0.69711,1382,2048,0.67720,0.71701
2003,4th Quintile,male,At least once per week,0.06958,161,2198,0.05894,0.08022
2003,4th Quintile,male,At least once per month,0.13770,284,2198,0.12330,0.15211
2003,4th Quintile,male,Seldom,0.37000,821,2198,0.34981,0.39019
2003,4th Quintile,male,Never,0.42078,932,2198,0.40013,0.44142
2003,4th Quintile,female,At least once per week,0.03426,84,2219,0.02669,0.04184
2003,4th Quintile,female,At least once per month,0.06756,150,2219,0.05711,0.07801
2003,4th Quintile,female,Seldom,0.27636,640,2219,0.25775,0.29498
2003,4th Quintile,female,Never,0.61961,1345,2219,0.59940,0.63981
2003,5th Quintile,male,At least once per week,0.05756,191,3220,0.04951,0.06561
2003,5th Quintile,male,At least once per month,0.11685,368,3220,0.10576,0.12795
2003,5th Quintile,male,Seldom,0.39669,1306,3220,0.37979,0.41359
2003,5th Quintile,male,Never,0.42694,1355,3220,0.40985,0.44403
2003,5th Quintile,female,At least once per week,0.03822,129,3085,0.03145,0.04499
2003,5th Quintile,female,At least once per month,0.05687,204,3085,0.04870,0.06505
2003,5th Quintile,female,Seldom,0.30616,969,3085,0.28990,0.32243
2003,5th Quintile,female,Never,0.59623,1783,3085,0.57891,0.61355
2008,1st Quintile,male,At least once per week,0.05809,68,1231,0.04502,0.07117
2008,1st Quintile,male,At least once per month,0.08243,96,1231,0.06706,0.09780
2008,1st Quintile,male,Seldom,0.26757,326,1231,0.24283,0.29231
2008,1st Quintile,male,Never,0.59115,741,1231,0.56367,0.61862
2008,1st Quintile,female,At least once per week,0.02588,51,1716,0.01836,0.03339
2008,1st Quintile,female,At least once per month,0.03928,61,1716,0.03009,0.04848
2008,1st Quintile,female,Seldom,0.15393,272,1716,0.13685,0.17101
2008,1st Quintile,female,Never,0.78074,1332,1716,0.76116,0.80032
2008,2nd Quintile,male,At least once per week,0.06860,110,1521,0.05589,0.08131
2008,2nd Quintile,male,At least once per month,0.11086,149,1521,0.09508,0.12665
2008,2nd Quintile,male,Seldom,0.29052,454,1521,0.26770,0.31335
2008,2nd Quintile,male,Never,0.52740,808,1521,0.50230,0.55250
2008,2nd Quintile,female,At least once per week,0.03294,58,1830,0.02476,0.04112
2008,2nd Quintile,female,At least once per month,0.04227,88,1830,0.03305,0.05149
2008,2nd Quintile,female,Seldom,0.18696,355,1830,0.16909,0.20483
2008,2nd Quintile,female,Never,0.73674,1329,1830,0.71656,0.75692
2008,3rd Quintile,male,At least once per week,0.07008,123,1823,0.05836,0.08180
2008,3rd Quintile,male,At least once per month,0.11428,199,1823,0.09967,0.12889
2008,3rd Quintile,male,Seldom,0.36272,648,1823,0.34064,0.38480
2008,3rd Quintile,male,Never,0.44997,853,1823,0.42712,0.47281
2008,3rd Quintile,female,At least once per week,0.03708,70,1963,0.02872,0.04544
2008,3rd Quintile,female,At least once per month,0.05956,110,1963,0.04909,0.07004
2008,3rd Quintile,female,Seldom,0.24780,486,1963,0.22870,0.26690
2008,3rd Quintile,female,Never,0.65502,1297,1963,0.63398,0.67605
2008,4th Quintile,male,At least once per week,0.07910,134,1923,0.06703,0.09116
2008,4th Quintile,male,At least once per month,0.13372,258,1923,0.11851,0.14894
2008,4th Quintile,male,Seldom,0.36423,713,1923,0.34272,0.38574
2008,4th Quintile,male,Never,0.42141,818,1923,0.39933,0.44349
2008,4th Quintile,female,At least once per week,0.03567,72,1935,0.02740,0.04393
2008,4th Quintile,female,At least once per month,0.06417,113,1935,0.05325,0.07509
2008,4th Quintile,female,Seldom,0.30618,611,1935,0.28564,0.32672
2008,4th Quintile,female,Never,0.59399,1139,1935,0.57210,0.61587
2008,5th Quintile,male,At least once per week,0.05196,138,2643,0.04349,0.06042
2008,5th Quintile,male,At least once per month,0.13299,359,2643,0.12004,0.14594
2008,5th Quintile,male,Seldom,0.40474,1025,2643,0.38602,0.42346
2008,5th Quintile,male,Never,0.40922,1121,2643,0.39048,0.42797
2008,5th Quintile,female,At least once per week,0.03392,94,2596,0.02696,0.04089
2008,5th Quintile,female,At least once per month,0.05784,171,2596,0.04886,0.06682
2008,5th Quintile,female,Seldom,0.32113,848,2596,0.30316,0.33909
2008,5th Quintile,female,Never,0.58656,1483,2596,0.56761,0.60550
2013,1st Quintile,male,At least once per week,0.05457,131,1960,0.04451,0.06463
2013,1st Quintile,male,At least once per month,0.10491,186,1960,0.09134,0.11848
2013,1st Quintile,male,Seldom,0.25498,503,1960,0.23568,0.27429
2013,1st Quintile,male,Never,0.58200,1140,1960,0.56016,0.60384
2013,1st Quintile,female,At least once per week,0.02997,133,3112,0.02398,0.03597
2013,1st Quintile,female,At least once per month,0.05898,182,3112,0.05070,0.06725
2013,1st Quintile,female,Seldom,0.16202,572,3112,0.14908,0.17497
2013,1st Quintile,female,Never,0.74808,2225,3112,0.73282,0.76333
2013,2nd Quintile,male,At least once per week,0.09077,199,2248,0.07889,0.10265
2013,2nd Quintile,male,At least once per month,0.10051,244,2248,0.08808,0.11294
2013,2nd Quintile,male,Seldom,0.31212,694,2248,0.29297,0.33128
2013,2nd Quintile,male,Never,0.49528,1111,2248,0.47461,0.51596
2013,2nd Quintile,female,At least once per week,0.03909,158,2929,0.03207,0.04611
2013,2nd Quintile,female,At least once per month,0.05264,180,2929,0.04455,0.06073
2013,2nd Quintile,female,Seldom,0.22593,719,2929,0.21079,0.24108
2013,2nd Quintile,female,Never,0.68115,1872,2929,0.66427,0.69804
2013,3rd Quintile,male,At least once per week,0.08903,190,2241,0.07724,0.10082
2013,3rd Quintile,male,At least once per month,0.12822,283,2241,0.11437,0.14206
2013,3rd Quintile,male,Seldom,0.33048,798,2241,0.31100,0.34996
2013,3rd Quintile,male,Never,0.44806,970,2241,0.42746,0.46865
2013,3rd Quintile,female,At least once per week,0.03561,132,2595,0.02848,0.04275
2013,3rd Quintile,female,At least once per month,0.05698,195,2595,0.04806,0.06590
2013,3rd Quintile,female,Seldom,0.27688,732,2595,0.25966,0.29410
2013,3rd Quintile,female,Never,0.62990,1536,2595,0.61132,0.64848
2013,4th Quintile,male,At least once per week,0.09042,207,2303,0.07870,0.10213
2013,4th Quintile,male,At least once per month,0.13482,330,2303,0.12087,0.14877
2013,4th Quintile,male,Seldom,0.39545,888,2303,0.37548,0.41543
2013,4th Quintile,male,Never,0.37682,878,2303,0.35703,0.39662
2013,4th Quintile,female,At least once per week,0.05129,153,2500,0.04264,0.05993
2013,4th Quintile,female,At least once per month,0.07649,228,2500,0.06607,0.08691
2013,4th Quintile,female,Seldom,0.32222,804,2500,0.30390,0.34054
2013,4th Quintile,female,Never,0.54696,1315,2500,0.52744,0.56647
2013,5th Quintile,male,At least once per week,0.06746,188,2721,0.05803,0.07688
2013,5th Quintile,male,At least once per month,0.14705,394,2721,0.13374,0.16036
2013,5th Quintile,male,Seldom,0.39036,1047,2721,0.37203,0.40870
2013,5th Quintile,male,Never,0.39114,1092,2721,0.37280,0.40948
2013,5th Quintile,female,At least once per week,0.03720,121,2721,0.03009,0.04431
2013,5th Quintile,female,At least once per month,0.06404,211,2721,0.05484,0.07324
2013,5th Quintile,female,Seldom,0.31071,874,2721,0.29332,0.32810
2013,5th Quintile,female,Never,0.58685,1515,2721,0.56835,0.60536
2017,1st Quintile,male,At least once per week,0.10729,78,897,0.08703,0.12756
2017,1st Quintile,male,At least once per month,0.08504,81,897,0.06678,0.10331
2017,1st Quintile,male,Seldom,0.21371,185,897,0.18687,0.24055
2017,1st Quintile,male,Never,0.58290,553,897,0.55061,0.61519
2017,1st Quintile,female,Seldom,0.09335,56,565,0.06934,0.11736
2017,1st Quintile,female,Never,0.88350,509,565,0.85702,0.90998
2017,2nd Quintile,male,Never,0.38452,34,34,0.21854,0.55050
2018,1st Quintile,male,At least once per week,0.09943,159,1409,0.08380,0.11506
2018,1st Quintile,male,At least once per month,0.13945,177,1409,0.12136,0.15755
2018,1st Quintile,male,Seldom,0.23786,324,1409,0.21562,0.26010
2018,1st Quintile,male,Never,0.51319,749,1409,0.48708,0.53930
2018,1st Quintile,female,At least once per month,0.03477,45,945,0.02308,0.04646
2018,1st Quintile,female,Seldom,0.11272,138,945,0.09255,0.13290
2018,1st Quintile,female,Never,0.82440,762,945,0.80013,0.84867
2018,2nd Quintile,male,Never,0.52821,63,63,0.40394,0.65247
2018,2nd Quintile,female,Never,0.91128,59,59,0.83810,0.98446
2019,1st Quintile,male,At least once per week,0.05517,329,3408,0.04750,0.06284
2019,1st Quintile,male,At least once per month,0.11716,321,3408,0.10636,0.12796
2019,1st Quintile,male,Seldom,0.25987,805,3408,0.24515,0.27460
2019,1st Quintile,male,Never,0.56430,1953,3408,0.54765,0.58095
2019,1st Quintile,female,At least once per week,0.03077,120,3628,0.02515,0.03639
2019,1st Quintile,female,At least once per month,0.04806,159,3628,0.04110,0.05502
2019,1st Quintile,female,Seldom,0.16854,624,3628,0.15636,0.18072
2019,1st Quintile,female,Never,0.75242,2725,3628,0.73838,0.76647
2019,2nd Quintile,male,At least once per week,0.07112,176,2192,0.06036,0.08188
2019,2nd Quintile,male,At least once per month,0.10503,241,2192,0.09219,0.11786
2019,2nd Quintile,male,Seldom,0.31292,673,2192,0.29351,0.33234
2019,2nd Quintile,male,Never,0.50787,1102,2192,0.48694,0.52881
2019,2nd Quintile,female,At least once per week,0.03538,131,2713,0.02842,0.04233
2019,2nd Quintile,female,At least once per month,0.05012,156,2713,0.04191,0.05833
2019,2nd Quintile,female,Seldom,0.23020,657,2713,0.21436,0.24604
2019,2nd Quintile,female,Never,0.68198,1769,2713,0.66445,0.69951
2019,3rd Quintile,male,At least once per week,0.07798,160,2018,0.06628,0.08968
2019,3rd Quintile,male,At least once per month,0.13413,283,2018,0.11926,0.14900
2019,3rd Quintile,male,Seldom,0.34400,699,2018,0.32327,0.36473
2019,3rd Quintile,male,Never,0.44083,876,2018,0.41916,0.46249
2019,3rd Quintile,female,At least once per week,0.03594,115,2403,0.02849,0.04338
2019,3rd Quintile,female,At least once per month,0.07444,194,2403,0.06394,0.08494
2019,3rd Quintile,female,Seldom,0.24487,647,2403,0.22767,0.26207
2019,3rd Quintile,female,Never,0.64310,1447,2403,0.62394,0.66226
2019,4th Quintile,male,At least once per week,0.08511,172,2014,0.07292,0.09730
2019,4th Quintile,male,At least once per month,0.14554,288,2014,0.13013,0.16094
2019,4th Quintile,male,Seldom,0.38000,757,2014,0.35880,0.40120
2019,4th Quintile,male,Never,0.38739,797,2014,0.36611,0.40867
2019,4th Quintile,female,At least once per week,0.04761,130,2245,0.03880,0.05642
2019,4th Quintile,female,At least once per month,0.07330,189,2245,0.06251,0.08408
2019,4th Quintile,female,Seldom,0.31404,721,2245,0.29484,0.33325
2019,4th Quintile,female,Never,0.56362,1205,2245,0.54310,0.58414
2019,5th Quintile,male,At least once per week,0.05647,167,2407,0.04725,0.06569
2019,5th Quintile,male,At least once per month,0.17983,381,2407,0.16448,0.19517
2019,5th Quintile,male,Seldom,0.39838,964,2407,0.37882,0.41794
2019,5th Quintile,male,Never,0.36391,895,2407,0.34468,0.38313
2019,5th Quintile,female,At least once per week,0.04156,109,2391,0.03356,0.04956
2019,5th Quintile,female,At least once per month,0.07739,205,2391,0.06668,0.08811
2019,5th Quintile,female,Seldom,0.32182,829,2391,0.30309,0.34055
2019,5th Quintile,female,Never,0.55264,1248,2391,0.53271,0.57258
