year,age_gr,migback,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,17-29 y.,Indirect migration background,"Yes, every week",0.09549,40,197,0.05435,0.13664
2007,17-29 y.,Indirect migration background,"Yes, less frequently",0.04752,37,197,0.01773,0.07730
2007,30-45 y.,No migration background,"No, never",0.26260,1331,4002,0.24896,0.27623
2007,30-45 y.,No migration background,"Yes, every week",0.11113,542,4002,0.10139,0.12087
2007,30-45 y.,No migration background,"Yes, every 2 weeks",0.13942,629,4002,0.12868,0.15015
2007,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.09796,424,4002,0.08875,0.10717
2007,30-45 y.,No migration background,"Yes, less frequently",0.22529,1076,4002,0.21235,0.23824
2007,30-45 y.,Direct migration background,"No, never",0.26247,186,499,0.22383,0.30111
2007,30-45 y.,Direct migration background,"Yes, every week",0.08929,64,499,0.06424,0.11433
2007,30-45 y.,Direct migration background,"Yes, every 2 weeks",0.13904,96,499,0.10865,0.16942
2007,30-45 y.,Direct migration background,"Yes, every 3-4 weeks",0.05765,50,499,0.03718,0.07812
2007,30-45 y.,Direct migration background,"Yes, less frequently",0.15877,103,499,0.12667,0.19087
2007,30-45 y.,Indirect migration background,"No, never",0.29389,83,159,0.22286,0.36493
2007,30-45 y.,Indirect migration background,"Yes, every week",0.16582,35,159,0.10783,0.22381
2007,30-45 y.,Indirect migration background,"Yes, less frequently",0.13717,41,159,0.08353,0.19081
2007,46-65 y.,No migration background,"No, never",0.23589,1508,4172,0.22300,0.24877
2007,46-65 y.,No migration background,"Yes, every week",0.10062,649,4172,0.09149,0.10975
2007,46-65 y.,No migration background,"Yes, every 2 weeks",0.08680,527,4172,0.07825,0.09534
2007,46-65 y.,No migration background,"Yes, every 3-4 weeks",0.05737,385,4172,0.05031,0.06442
2007,46-65 y.,No migration background,"Yes, less frequently",0.16827,1103,4172,0.15691,0.17962
2007,46-65 y.,Direct migration background,"No, never",0.24229,191,443,0.20235,0.28224
2007,46-65 y.,Direct migration background,"Yes, every week",0.07117,54,443,0.04720,0.09514
2007,46-65 y.,Direct migration background,"Yes, every 2 weeks",0.07231,57,443,0.04816,0.09646
2007,46-65 y.,Direct migration background,"Yes, every 3-4 weeks",0.04573,41,443,0.02626,0.06521
2007,46-65 y.,Direct migration background,"Yes, less frequently",0.11103,100,443,0.08174,0.14032
2007,66 and older,No migration background,"No, never",0.01469,59,140,-0.00531,0.03469
2007,66 and older,No migration background,"Yes, every week",0.01027,44,140,-0.00649,0.02703
2007,66 and older,No migration background,"Yes, less frequently",0.00798,37,140,-0.00681,0.02278
2009,17-29 y.,No migration background,"No, never",0.23285,523,1364,0.21041,0.25528
2009,17-29 y.,No migration background,"Yes, every week",0.08634,193,1364,0.07142,0.10125
2009,17-29 y.,No migration background,"Yes, every 2 weeks",0.10472,235,1364,0.08846,0.12097
2009,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.04937,122,1364,0.03787,0.06088
2009,17-29 y.,No migration background,"Yes, less frequently",0.11779,291,1364,0.10067,0.13490
2009,17-29 y.,Direct migration background,"No, never",0.16888,36,36,0.04476,0.29301
2009,17-29 y.,Indirect migration background,"No, never",0.27547,112,151,0.20398,0.34697
2009,17-29 y.,Indirect migration background,"Yes, every week",0.11338,39,151,0.06264,0.16412
2009,30-45 y.,No migration background,"No, never",0.26771,1121,3289,0.25258,0.28284
2009,30-45 y.,No migration background,"Yes, every week",0.11443,451,3289,0.10355,0.12531
2009,30-45 y.,No migration background,"Yes, every 2 weeks",0.12550,474,3289,0.11417,0.13682
2009,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.08651,328,3289,0.07690,0.09612
2009,30-45 y.,No migration background,"Yes, less frequently",0.24447,915,3289,0.22978,0.25916
2009,30-45 y.,Direct migration background,"No, never",0.35004,169,398,0.30312,0.39696
2009,30-45 y.,Direct migration background,"Yes, every week",0.11503,63,398,0.08364,0.14641
2009,30-45 y.,Direct migration background,"Yes, every 2 weeks",0.11420,58,398,0.08291,0.14549
2009,30-45 y.,Direct migration background,"Yes, every 3-4 weeks",0.07013,33,398,0.04501,0.09525
2009,30-45 y.,Direct migration background,"Yes, less frequently",0.13047,75,398,0.09734,0.16361
2009,30-45 y.,Indirect migration background,"No, never",0.26960,72,193,0.20683,0.33237
2009,30-45 y.,Indirect migration background,"Yes, every week",0.15228,38,193,0.10146,0.20310
2009,30-45 y.,Indirect migration background,"Yes, every 2 weeks",0.13144,36,193,0.08364,0.17923
2009,30-45 y.,Indirect migration background,"Yes, less frequently",0.18118,47,193,0.12670,0.23566
2009,46-65 y.,No migration background,"No, never",0.24066,1407,3999,0.22741,0.25391
2009,46-65 y.,No migration background,"Yes, every week",0.11214,638,3999,0.10236,0.12193
2009,46-65 y.,No migration background,"Yes, every 2 weeks",0.09867,533,3999,0.08942,0.10791
2009,46-65 y.,No migration background,"Yes, every 3-4 weeks",0.05786,364,3999,0.05062,0.06510
2009,46-65 y.,No migration background,"Yes, less frequently",0.18068,1057,3999,0.16875,0.19260
2009,46-65 y.,Direct migration background,"No, never",0.23787,151,342,0.19268,0.28306
2009,46-65 y.,Direct migration background,"Yes, every week",0.10063,61,342,0.06870,0.13256
2009,46-65 y.,Direct migration background,"Yes, every 2 weeks",0.07790,59,342,0.04945,0.10635
2009,46-65 y.,Direct migration background,"Yes, less frequently",0.08965,71,342,0.05933,0.11997
2009,66 and older,No migration background,"No, never",0.01831,70,180,-0.00133,0.03795
2009,66 and older,No migration background,"Yes, every week",0.01046,51,180,-0.00444,0.02537
2009,66 and older,No migration background,"Yes, less frequently",0.01246,59,180,-0.00379,0.02871
2011,17-29 y.,No migration background,"No, never",0.23942,715,1811,0.21976,0.25908
2011,17-29 y.,No migration background,"Yes, every week",0.07811,249,1811,0.06575,0.09047
2011,17-29 y.,No migration background,"Yes, every 2 weeks",0.10881,353,1811,0.09447,0.12316
2011,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.04623,150,1811,0.03656,0.05591
2011,17-29 y.,No migration background,"Yes, less frequently",0.12447,344,1811,0.10926,0.13968
2011,17-29 y.,Direct migration background,"No, never",0.20579,84,199,0.14948,0.26210
2011,17-29 y.,Direct migration background,"Yes, every week",0.07988,38,199,0.04212,0.11764
2011,17-29 y.,Direct migration background,"Yes, every 2 weeks",0.11629,39,199,0.07164,0.16094
2011,17-29 y.,Direct migration background,"Yes, less frequently",0.09287,38,199,0.05244,0.13330
2011,17-29 y.,Indirect migration background,"No, never",0.16434,92,218,0.11504,0.21365
2011,17-29 y.,Indirect migration background,"Yes, every week",0.12626,51,218,0.08207,0.17045
2011,17-29 y.,Indirect migration background,"Yes, every 2 weeks",0.09020,39,218,0.05208,0.12831
2011,17-29 y.,Indirect migration background,"Yes, less frequently",0.06608,36,218,0.03303,0.09913
2011,30-45 y.,No migration background,"No, never",0.30012,2299,6270,0.28878,0.31147
2011,30-45 y.,No migration background,"Yes, every week",0.11558,830,6270,0.10767,0.12350
2011,30-45 y.,No migration background,"Yes, every 2 weeks",0.12386,982,6270,0.11570,0.13201
2011,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.09059,624,6270,0.08349,0.09770
2011,30-45 y.,No migration background,"Yes, less frequently",0.22943,1535,6270,0.21902,0.23984
2011,30-45 y.,Direct migration background,"No, never",0.27845,373,977,0.25033,0.30658
2011,30-45 y.,Direct migration background,"Yes, every week",0.08570,127,977,0.06814,0.10326
2011,30-45 y.,Direct migration background,"Yes, every 2 weeks",0.12870,172,977,0.10769,0.14971
2011,30-45 y.,Direct migration background,"Yes, every 3-4 weeks",0.06560,94,977,0.05007,0.08114
2011,30-45 y.,Direct migration background,"Yes, less frequently",0.16640,211,977,0.14304,0.18977
2011,30-45 y.,Indirect migration background,"No, never",0.34002,181,464,0.29687,0.38317
2011,30-45 y.,Indirect migration background,"Yes, every week",0.12368,65,464,0.09369,0.15367
2011,30-45 y.,Indirect migration background,"Yes, every 2 weeks",0.12323,73,464,0.09329,0.15317
2011,30-45 y.,Indirect migration background,"Yes, every 3-4 weeks",0.06937,53,464,0.04622,0.09251
2011,30-45 y.,Indirect migration background,"Yes, less frequently",0.13809,92,464,0.10667,0.16952
2011,46-65 y.,No migration background,"No, never",0.26801,2224,5854,0.25667,0.27936
2011,46-65 y.,No migration background,"Yes, every week",0.11249,909,5854,0.10440,0.12059
2011,46-65 y.,No migration background,"Yes, every 2 weeks",0.10532,830,5854,0.09746,0.11319
2011,46-65 y.,No migration background,"Yes, every 3-4 weeks",0.06070,509,5854,0.05458,0.06682
2011,46-65 y.,No migration background,"Yes, less frequently",0.17056,1382,5854,0.16092,0.18020
2011,46-65 y.,Direct migration background,"No, never",0.25268,237,597,0.21779,0.28757
2011,46-65 y.,Direct migration background,"Yes, every week",0.10232,100,597,0.07799,0.12665
2011,46-65 y.,Direct migration background,"Yes, every 2 weeks",0.09869,96,597,0.07474,0.12263
2011,46-65 y.,Direct migration background,"Yes, every 3-4 weeks",0.07484,59,597,0.05372,0.09597
2011,46-65 y.,Direct migration background,"Yes, less frequently",0.08870,105,597,0.06588,0.11153
2011,66 and older,No migration background,"No, never",0.01615,73,166,-0.00308,0.03539
2011,66 and older,No migration background,"Yes, every week",0.00941,45,166,-0.00532,0.02415
2011,66 and older,No migration background,"Yes, less frequently",0.00881,48,166,-0.00545,0.02308
2013,17-29 y.,No migration background,"No, never",0.24974,714,1674,0.22900,0.27048
2013,17-29 y.,No migration background,"Yes, every week",0.07046,234,1674,0.05820,0.08273
2013,17-29 y.,No migration background,"Yes, every 2 weeks",0.10011,278,1674,0.08573,0.11449
2013,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.06035,155,1674,0.04894,0.07176
2013,17-29 y.,No migration background,"Yes, less frequently",0.10746,293,1674,0.09262,0.12230
2013,17-29 y.,Direct migration background,"No, never",0.11802,66,97,0.05348,0.18256
2013,17-29 y.,Direct migration background,"Yes, every 2 weeks",0.03964,31,97,0.00061,0.07867
2013,17-29 y.,Indirect migration background,"No, never",0.11370,115,205,0.07013,0.15726
2013,17-29 y.,Indirect migration background,"Yes, every week",0.08382,59,205,0.04579,0.12184
2013,17-29 y.,Indirect migration background,"Yes, every 2 weeks",0.03002,31,205,0.00661,0.05344
2013,30-45 y.,No migration background,"No, never",0.28055,1947,5214,0.26835,0.29274
2013,30-45 y.,No migration background,"Yes, every week",0.10940,641,5214,0.10093,0.11788
2013,30-45 y.,No migration background,"Yes, every 2 weeks",0.13853,850,5214,0.12916,0.14791
2013,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.07190,472,5214,0.06488,0.07891
2013,30-45 y.,No migration background,"Yes, less frequently",0.24005,1304,5214,0.22846,0.25165
2013,30-45 y.,Direct migration background,"No, never",0.11996,337,879,0.09847,0.14145
2013,30-45 y.,Direct migration background,"Yes, every week",0.04975,128,879,0.03536,0.06413
2013,30-45 y.,Direct migration background,"Yes, every 2 weeks",0.05481,167,879,0.03975,0.06986
2013,30-45 y.,Direct migration background,"Yes, every 3-4 weeks",0.03605,80,879,0.02372,0.04838
2013,30-45 y.,Direct migration background,"Yes, less frequently",0.07053,167,879,0.05359,0.08747
2013,30-45 y.,Indirect migration background,"No, never",0.18077,146,391,0.14257,0.21896
2013,30-45 y.,Indirect migration background,"Yes, every week",0.06479,48,391,0.04036,0.08922
2013,30-45 y.,Indirect migration background,"Yes, every 2 weeks",0.08136,79,391,0.05423,0.10850
2013,30-45 y.,Indirect migration background,"Yes, every 3-4 weeks",0.04911,39,391,0.02766,0.07055
2013,30-45 y.,Indirect migration background,"Yes, less frequently",0.10105,79,391,0.07113,0.13096
2013,46-65 y.,No migration background,"No, never",0.26346,2290,5965,0.25228,0.27464
2013,46-65 y.,No migration background,"Yes, every week",0.09673,792,5965,0.08923,0.10424
2013,46-65 y.,No migration background,"Yes, every 2 weeks",0.10696,833,5965,0.09911,0.11480
2013,46-65 y.,No migration background,"Yes, every 3-4 weeks",0.06663,515,5965,0.06030,0.07296
2013,46-65 y.,No migration background,"Yes, less frequently",0.18952,1535,5965,0.17958,0.19947
2013,46-65 y.,Direct migration background,"No, never",0.16298,226,606,0.13354,0.19241
2013,46-65 y.,Direct migration background,"Yes, every week",0.07189,102,606,0.05131,0.09248
2013,46-65 y.,Direct migration background,"Yes, every 2 weeks",0.06834,100,606,0.04823,0.08845
2013,46-65 y.,Direct migration background,"Yes, every 3-4 weeks",0.04269,49,606,0.02658,0.05880
2013,46-65 y.,Direct migration background,"Yes, less frequently",0.08852,129,606,0.06588,0.11115
2013,46-65 y.,Indirect migration background,"No, never",0.31615,44,76,0.21092,0.42138
2013,46-65 y.,Indirect migration background,"Yes, less frequently",0.20279,32,76,0.11179,0.29379
2013,66 and older,No migration background,"No, never",0.02447,106,225,0.00424,0.04470
2013,66 and older,No migration background,"Yes, every week",0.00912,48,225,-0.00333,0.02157
2013,66 and older,No migration background,"Yes, less frequently",0.01257,71,225,-0.00202,0.02716
2015,17-29 y.,No migration background,"No, never",0.26413,659,1568,0.24230,0.28596
2015,17-29 y.,No migration background,"Yes, every week",0.07389,208,1568,0.06094,0.08684
2015,17-29 y.,No migration background,"Yes, every 2 weeks",0.11884,292,1568,0.10282,0.13486
2015,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.04945,120,1568,0.03872,0.06019
2015,17-29 y.,No migration background,"Yes, less frequently",0.11748,289,1568,0.10154,0.13343
2015,17-29 y.,Direct migration background,"No, never",0.17229,144,316,0.13058,0.21399
2015,17-29 y.,Direct migration background,"Yes, every week",0.08734,79,316,0.05616,0.11852
2015,17-29 y.,Direct migration background,"Yes, every 2 weeks",0.08721,53,316,0.05605,0.11836
2015,17-29 y.,Direct migration background,"Yes, less frequently",0.04559,40,316,0.02255,0.06862
2015,17-29 y.,Indirect migration background,"No, never",0.20608,181,396,0.16619,0.24597
2015,17-29 y.,Indirect migration background,"Yes, every week",0.11796,84,396,0.08615,0.14977
2015,17-29 y.,Indirect migration background,"Yes, every 2 weeks",0.10824,68,396,0.07760,0.13888
2015,17-29 y.,Indirect migration background,"Yes, less frequently",0.09201,63,396,0.06351,0.12052
2015,30-45 y.,No migration background,"No, never",0.30307,1520,4000,0.28882,0.31731
2015,30-45 y.,No migration background,"Yes, every week",0.11240,489,4000,0.10261,0.12219
2015,30-45 y.,No migration background,"Yes, every 2 weeks",0.12351,602,4000,0.11331,0.13370
2015,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.08830,383,4000,0.07950,0.09709
2015,30-45 y.,No migration background,"Yes, less frequently",0.22835,1006,4000,0.21534,0.24136
2015,30-45 y.,Direct migration background,"No, never",0.23775,608,1427,0.21566,0.25985
2015,30-45 y.,Direct migration background,"Yes, every week",0.08817,199,1427,0.07345,0.10288
2015,30-45 y.,Direct migration background,"Yes, every 2 weeks",0.10962,249,1427,0.09340,0.12584
2015,30-45 y.,Direct migration background,"Yes, every 3-4 weeks",0.07319,133,1427,0.05967,0.08671
2015,30-45 y.,Direct migration background,"Yes, less frequently",0.10864,238,1427,0.09249,0.12479
2015,30-45 y.,Indirect migration background,"No, never",0.31334,185,464,0.27109,0.35559
2015,30-45 y.,Indirect migration background,"Yes, every week",0.09904,58,464,0.07183,0.12625
2015,30-45 y.,Indirect migration background,"Yes, every 2 weeks",0.11751,76,464,0.08818,0.14685
2015,30-45 y.,Indirect migration background,"Yes, every 3-4 weeks",0.07175,51,464,0.04824,0.09526
2015,30-45 y.,Indirect migration background,"Yes, less frequently",0.15887,94,464,0.12558,0.19217
2015,46-65 y.,No migration background,"No, never",0.28005,2142,5602,0.26829,0.29181
2015,46-65 y.,No migration background,"Yes, every week",0.09860,719,5602,0.09080,0.10641
2015,46-65 y.,No migration background,"Yes, every 2 weeks",0.11842,794,5602,0.10996,0.12688
2015,46-65 y.,No migration background,"Yes, every 3-4 weeks",0.05906,458,5602,0.05289,0.06524
2015,46-65 y.,No migration background,"Yes, less frequently",0.20062,1489,5602,0.19013,0.21110
2015,46-65 y.,Direct migration background,"No, never",0.25742,411,993,0.23021,0.28462
2015,46-65 y.,Direct migration background,"Yes, every week",0.10206,155,993,0.08322,0.12089
2015,46-65 y.,Direct migration background,"Yes, every 2 weeks",0.11733,180,993,0.09730,0.13735
2015,46-65 y.,Direct migration background,"Yes, every 3-4 weeks",0.05541,69,993,0.04117,0.06964
2015,46-65 y.,Direct migration background,"Yes, less frequently",0.10795,178,993,0.08864,0.12726
2015,46-65 y.,Indirect migration background,"No, never",0.32407,54,90,0.22683,0.42131
2015,46-65 y.,Indirect migration background,"Yes, less frequently",0.19526,36,90,0.11291,0.27762
2015,66 and older,No migration background,"No, never",0.03194,129,247,0.00996,0.05391
2015,66 and older,No migration background,"Yes, every week",0.01014,48,247,-0.00238,0.02266
2015,66 and older,No migration background,"Yes, less frequently",0.01391,70,247,-0.00072,0.02855
2017,17-29 y.,No migration background,"No, never",0.29390,850,1870,0.27324,0.31455
2017,17-29 y.,No migration background,"Yes, every week",0.09196,282,1870,0.07886,0.10506
2017,17-29 y.,No migration background,"Yes, every 2 weeks",0.09818,294,1870,0.08469,0.11167
2017,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.05428,178,1870,0.04401,0.06455
2017,17-29 y.,No migration background,"Yes, less frequently",0.09637,266,1870,0.08299,0.10975
2017,17-29 y.,Direct migration background,"No, never",0.22135,145,349,0.17773,0.26497
2017,17-29 y.,Direct migration background,"Yes, every week",0.08443,65,349,0.05522,0.11364
2017,17-29 y.,Direct migration background,"Yes, every 2 weeks",0.08397,63,349,0.05483,0.11311
2017,17-29 y.,Direct migration background,"Yes, every 3-4 weeks",0.04515,32,349,0.02334,0.06697
2017,17-29 y.,Direct migration background,"Yes, less frequently",0.03884,44,349,0.01854,0.05914
2017,17-29 y.,Indirect migration background,"No, never",0.22900,193,414,0.18848,0.26953
2017,17-29 y.,Indirect migration background,"Yes, every week",0.10932,92,414,0.07922,0.13941
2017,17-29 y.,Indirect migration background,"Yes, every 2 weeks",0.08941,77,414,0.06189,0.11693
2017,17-29 y.,Indirect migration background,"Yes, less frequently",0.07537,52,414,0.04991,0.10083
2017,30-45 y.,No migration background,"No, never",0.33973,1592,3892,0.32485,0.35462
2017,30-45 y.,No migration background,"Yes, every week",0.09676,473,3892,0.08747,0.10605
2017,30-45 y.,No migration background,"Yes, every 2 weeks",0.12873,595,3892,0.11820,0.13925
2017,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.08300,397,3892,0.07433,0.09167
2017,30-45 y.,No migration background,"Yes, less frequently",0.21460,835,3892,0.20170,0.22750
2017,30-45 y.,Direct migration background,"No, never",0.29211,670,1523,0.26927,0.31496
2017,30-45 y.,Direct migration background,"Yes, every week",0.10215,179,1523,0.08693,0.11736
2017,30-45 y.,Direct migration background,"Yes, every 2 weeks",0.13565,278,1523,0.11845,0.15285
2017,30-45 y.,Direct migration background,"Yes, every 3-4 weeks",0.05734,121,1523,0.04566,0.06902
2017,30-45 y.,Direct migration background,"Yes, less frequently",0.11852,275,1523,0.10228,0.13476
2017,30-45 y.,Indirect migration background,"No, never",0.37703,202,470,0.33317,0.42089
2017,30-45 y.,Indirect migration background,"Yes, every week",0.11845,64,470,0.08920,0.14769
2017,30-45 y.,Indirect migration background,"Yes, every 2 weeks",0.09937,72,470,0.07230,0.12645
2017,30-45 y.,Indirect migration background,"Yes, every 3-4 weeks",0.07533,46,470,0.05144,0.09921
2017,30-45 y.,Indirect migration background,"Yes, less frequently",0.15134,86,470,0.11891,0.18378
2017,46-65 y.,No migration background,"No, never",0.31918,2734,6511,0.30786,0.33051
2017,46-65 y.,No migration background,"Yes, every week",0.10122,849,6511,0.09389,0.10854
2017,46-65 y.,No migration background,"Yes, every 2 weeks",0.10987,874,6511,0.10227,0.11747
2017,46-65 y.,No migration background,"Yes, every 3-4 weeks",0.07028,657,6511,0.06407,0.07649
2017,46-65 y.,No migration background,"Yes, less frequently",0.17925,1397,6511,0.16994,0.18857
2017,46-65 y.,Direct migration background,"No, never",0.28274,480,1119,0.25634,0.30914
2017,46-65 y.,Direct migration background,"Yes, every week",0.08273,149,1119,0.06659,0.09888
2017,46-65 y.,Direct migration background,"Yes, every 2 weeks",0.11807,202,1119,0.09915,0.13698
2017,46-65 y.,Direct migration background,"Yes, every 3-4 weeks",0.07373,107,1119,0.05841,0.08905
2017,46-65 y.,Direct migration background,"Yes, less frequently",0.12083,181,1119,0.10172,0.13993
2017,46-65 y.,Indirect migration background,"No, never",0.34892,76,141,0.26996,0.42787
2017,46-65 y.,Indirect migration background,"Yes, every week",0.12469,32,141,0.06997,0.17942
2017,46-65 y.,Indirect migration background,"Yes, less frequently",0.11980,33,141,0.06601,0.17359
2017,66 and older,No migration background,"No, never",0.03470,172,305,0.01413,0.05528
2017,66 and older,No migration background,"Yes, every week",0.01189,59,305,-0.00029,0.02408
2017,66 and older,No migration background,"Yes, less frequently",0.01482,74,305,0.00124,0.02840
2019,17-29 y.,No migration background,"No, never",0.30317,834,1802,0.28194,0.32440
2019,17-29 y.,No migration background,"Yes, every week",0.08715,238,1802,0.07413,0.10018
2019,17-29 y.,No migration background,"Yes, every 2 weeks",0.09765,274,1802,0.08394,0.11136
2019,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.06165,184,1802,0.05054,0.07275
2019,17-29 y.,No migration background,"Yes, less frequently",0.11510,272,1802,0.10036,0.12984
2019,17-29 y.,Direct migration background,"No, never",0.18696,117,214,0.13460,0.23932
2019,17-29 y.,Direct migration background,"Yes, every week",0.07725,49,214,0.04140,0.11311
2019,17-29 y.,Direct migration background,"Yes, every 2 weeks",0.10505,48,214,0.06387,0.14623
2019,17-29 y.,Indirect migration background,"No, never",0.26567,191,397,0.22217,0.30917
2019,17-29 y.,Indirect migration background,"Yes, every week",0.09908,74,397,0.06965,0.12850
2019,17-29 y.,Indirect migration background,"Yes, every 2 weeks",0.09025,74,397,0.06203,0.11847
2019,17-29 y.,Indirect migration background,"Yes, less frequently",0.06110,58,397,0.03751,0.08468
2019,30-45 y.,No migration background,"No, never",0.34767,1415,3563,0.33203,0.36331
2019,30-45 y.,No migration background,"Yes, every week",0.09013,470,3563,0.08072,0.09953
2019,30-45 y.,No migration background,"Yes, every 2 weeks",0.12837,536,3563,0.11739,0.13936
2019,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.07881,336,3563,0.06996,0.08766
2019,30-45 y.,No migration background,"Yes, less frequently",0.22203,806,3563,0.20838,0.23568
2019,30-45 y.,Direct migration background,"No, never",0.30943,536,1211,0.28339,0.33548
2019,30-45 y.,Direct migration background,"Yes, every week",0.10780,163,1211,0.09033,0.12528
2019,30-45 y.,Direct migration background,"Yes, every 2 weeks",0.13918,210,1211,0.11968,0.15868
2019,30-45 y.,Direct migration background,"Yes, every 3-4 weeks",0.03943,75,1211,0.02846,0.05039
2019,30-45 y.,Direct migration background,"Yes, less frequently",0.13418,227,1211,0.11497,0.15338
2019,30-45 y.,Indirect migration background,"No, never",0.41883,193,452,0.37330,0.46436
2019,30-45 y.,Indirect migration background,"Yes, every week",0.10896,64,452,0.08020,0.13772
2019,30-45 y.,Indirect migration background,"Yes, every 2 weeks",0.09595,66,452,0.06877,0.12314
2019,30-45 y.,Indirect migration background,"Yes, every 3-4 weeks",0.06740,35,452,0.04426,0.09054
2019,30-45 y.,Indirect migration background,"Yes, less frequently",0.16299,94,452,0.12890,0.19707
2019,46-65 y.,No migration background,"No, never",0.33397,2822,7150,0.32304,0.34491
2019,46-65 y.,No migration background,"Yes, every week",0.09871,1045,7150,0.09179,0.10562
2019,46-65 y.,No migration background,"Yes, every 2 weeks",0.10454,991,7150,0.09744,0.11163
2019,46-65 y.,No migration background,"Yes, every 3-4 weeks",0.07610,696,7150,0.06995,0.08224
2019,46-65 y.,No migration background,"Yes, less frequently",0.18141,1596,7150,0.17248,0.19035
