year,migback,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Indirect migration background,"Yes, every 2 weeks",0.05281,126,789,0.03720,0.06843
2011,Indirect migration background,"Yes, every 3-4 weeks",0.02693,79,789,0.01563,0.03824
2011,Indirect migration background,"Yes, less frequently",0.05183,155,789,0.03635,0.06731
2013,No migration background,"No, never",0.17452,5057,13114,0.16803,0.18102
2013,No migration background,"Yes, every week",0.06255,1715,13114,0.05841,0.06670
2013,No migration background,"Yes, every 2 weeks",0.07372,1983,13114,0.06925,0.07820
2013,No migration background,"Yes, every 3-4 weeks",0.04287,1156,13114,0.03940,0.04633
2013,No migration background,"Yes, less frequently",0.12217,3203,13114,0.11656,0.12777
2013,Direct migration background,"No, never",0.11362,634,1653,0.09832,0.12892
2013,Direct migration background,"Yes, every week",0.04796,258,1653,0.03765,0.05826
2013,Direct migration background,"Yes, every 2 weeks",0.04861,300,1653,0.03824,0.05898
2013,Direct migration background,"Yes, every 3-4 weeks",0.02956,143,1653,0.02139,0.03773
2013,Direct migration background,"Yes, less frequently",0.05960,318,1653,0.04818,0.07102
2013,Indirect migration background,"No, never",0.07785,305,750,0.05866,0.09704
2013,Indirect migration background,"Yes, every week",0.03634,119,750,0.02294,0.04974
2013,Indirect migration background,"Yes, every 2 weeks",0.02782,128,750,0.01604,0.03959
2013,Indirect migration background,"Yes, every 3-4 weeks",0.01429,59,750,0.00579,0.02279
2013,Indirect migration background,"Yes, less frequently",0.03523,139,750,0.02203,0.04843
2015,No migration background,"No, never",0.18627,4450,11460,0.17914,0.19339
2015,No migration background,"Yes, every week",0.06393,1464,11460,0.05945,0.06841
2015,No migration background,"Yes, every 2 weeks",0.07624,1710,11460,0.07138,0.08110
2015,No migration background,"Yes, every 3-4 weeks",0.04207,982,11460,0.03839,0.04574
2015,No migration background,"Yes, less frequently",0.12422,2854,11460,0.11818,0.13026
2015,Direct migration background,"No, never",0.19940,1179,2803,0.18461,0.21420
2015,Direct migration background,"Yes, every week",0.07951,443,2803,0.06949,0.08952
2015,Direct migration background,"Yes, every 2 weeks",0.08996,483,2803,0.07937,0.10056
2015,Direct migration background,"Yes, every 3-4 weeks",0.04926,233,2803,0.04124,0.05727
2015,Direct migration background,"Yes, less frequently",0.08290,465,2803,0.07269,0.09311
2015,Indirect migration background,"No, never",0.12942,420,1028,0.10889,0.14995
2015,Indirect migration background,"Yes, every week",0.05275,161,1028,0.03908,0.06642
2015,Indirect migration background,"Yes, every 2 weeks",0.05929,165,1028,0.04484,0.07373
2015,Indirect migration background,"Yes, every 3-4 weeks",0.02545,89,1028,0.01581,0.03508
2015,Indirect migration background,"Yes, less frequently",0.06361,193,1028,0.04868,0.07854
2017,No migration background,"No, never",0.21014,5348,12625,0.20304,0.21725
2017,No migration background,"Yes, every week",0.06472,1663,12625,0.06043,0.06901
2017,No migration background,"Yes, every 2 weeks",0.07228,1790,12625,0.06776,0.07680
2017,No migration background,"Yes, every 3-4 weeks",0.04540,1252,12625,0.04177,0.04903
2017,No migration background,"Yes, less frequently",0.11214,2572,12625,0.10663,0.11764
2017,Direct migration background,"No, never",0.23402,1318,3038,0.21896,0.24907
2017,Direct migration background,"Yes, every week",0.07636,402,3038,0.06692,0.08581
2017,Direct migration background,"Yes, every 2 weeks",0.09837,545,3038,0.08778,0.10896
2017,Direct migration background,"Yes, every 3-4 weeks",0.05057,261,3038,0.04278,0.05836
2017,Direct migration background,"Yes, less frequently",0.09022,512,3038,0.08003,0.10041
2017,Indirect migration background,"No, never",0.15365,472,1093,0.13226,0.17504
2017,Indirect migration background,"Yes, every week",0.05967,188,1093,0.04562,0.07372
2017,Indirect migration background,"Yes, every 2 weeks",0.04791,164,1093,0.03524,0.06058
2017,Indirect migration background,"Yes, every 3-4 weeks",0.03096,98,1093,0.02069,0.04124
2017,Indirect migration background,"Yes, less frequently",0.05575,171,1093,0.04214,0.06936
2019,No migration background,"No, never",0.21732,5313,13104,0.21026,0.22438
2019,No migration background,"Yes, every week",0.06164,1862,13104,0.05752,0.06576
2019,No migration background,"Yes, every 2 weeks",0.07059,1851,13104,0.06620,0.07497
2019,No migration background,"Yes, every 3-4 weeks",0.04755,1261,13104,0.04391,0.05119
2019,No migration background,"Yes, less frequently",0.11776,2817,13104,0.11224,0.12328
2019,Direct migration background,"No, never",0.23687,1166,2635,0.22063,0.25311
2019,Direct migration background,"Yes, every week",0.08666,382,2635,0.07591,0.09740
2019,Direct migration background,"Yes, every 2 weeks",0.10169,457,2635,0.09015,0.11323
2019,Direct migration background,"Yes, every 3-4 weeks",0.03708,176,2635,0.02986,0.04429
2019,Direct migration background,"Yes, less frequently",0.09753,454,2635,0.08620,0.10886
2019,Indirect migration background,"No, never",0.17564,488,1126,0.15340,0.19787
2019,Indirect migration background,"Yes, every week",0.05271,183,1126,0.03966,0.06577
2019,Indirect migration background,"Yes, every 2 weeks",0.05493,174,1126,0.04162,0.06824
2019,Indirect migration background,"Yes, every 3-4 weeks",0.02490,74,1126,0.01580,0.03401
2019,Indirect migration background,"Yes, less frequently",0.05938,207,1126,0.04557,0.07319
2021,No migration background,"No, never",0.18503,3076,7143,0.17603,0.19404
2021,No migration background,"Yes, every week",0.04722,953,7143,0.04230,0.05214
2021,No migration background,"Yes, every 2 weeks",0.05414,964,7143,0.04889,0.05939
2021,No migration background,"Yes, every 3-4 weeks",0.03573,604,7143,0.03142,0.04003
2021,No migration background,"Yes, less frequently",0.08470,1546,7143,0.07825,0.09116
2021,Direct migration background,"No, never",0.23104,1251,2812,0.21546,0.24663
2021,Direct migration background,"Yes, every week",0.07083,402,2812,0.06134,0.08031
2021,Direct migration background,"Yes, every 2 weeks",0.08408,473,2812,0.07382,0.09433
2021,Direct migration background,"Yes, every 3-4 weeks",0.04386,221,2812,0.03629,0.05143
2021,Direct migration background,"Yes, less frequently",0.09807,465,2812,0.08707,0.10906
2021,Indirect migration background,"No, never",0.14337,294,605,0.11542,0.17132
2021,Indirect migration background,"Yes, every week",0.03138,69,605,0.01747,0.04528
2021,Indirect migration background,"Yes, every 2 weeks",0.05230,96,605,0.03455,0.07006
2021,Indirect migration background,"Yes, every 3-4 weeks",0.01779,49,605,0.00725,0.02833
2021,Indirect migration background,"Yes, less frequently",0.05228,97,605,0.03453,0.07004
