year,hhtyp,sampreg,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Couple without children,West,Yes,0.02425,109,3814,0.01936,0.02913
2019,Couple without children,West,No,0.97575,3705,3814,0.97087,0.98064
2019,Couple without children,East,No,0.97881,1233,1233,0.97076,0.98685
2019,Single parent,West,No,0.98925,1069,1069,0.98307,0.99544
2019,Single parent,East,No,0.98726,320,320,0.97496,0.99957
2019,Couple with children,West,Yes,0.03783,145,4205,0.03206,0.04360
2019,Couple with children,West,No,0.96217,4060,4205,0.95640,0.96794
2019,Couple with children,East,No,0.98427,922,922,0.97624,0.99231
2019,Multi-generational household,West,No,0.97835,79,79,0.94605,1.01065
2019,Other Combinations,West,No,0.96584,183,183,0.93945,0.99223
2020,Single-person household,West,Yes,0.02082,67,3565,0.01613,0.02550
2020,Single-person household,West,No,0.97918,3498,3565,0.97450,0.98387
2020,Single-person household,East,No,0.98486,1021,1021,0.97737,0.99236
2020,Couple without children,West,Yes,0.02774,108,3844,0.02255,0.03293
2020,Couple without children,West,No,0.97226,3736,3844,0.96707,0.97745
2020,Couple without children,East,Yes,0.02997,32,1174,0.02021,0.03972
2020,Couple without children,East,No,0.97003,1142,1174,0.96028,0.97979
2020,Single parent,West,No,0.98302,1012,1012,0.97505,0.99098
2020,Single parent,East,No,0.98059,299,299,0.96492,0.99625
2020,Couple with children,West,Yes,0.03493,119,4041,0.02927,0.04060
2020,Couple with children,West,No,0.96507,3922,4041,0.95940,0.97073
2020,Couple with children,East,No,0.97663,834,834,0.96637,0.98689
2020,Multi-generational household,West,No,0.97684,89,89,0.94541,1.00827
2020,Other Combinations,West,No,0.95103,252,252,0.92434,0.97773
2020,Other Combinations,East,No,0.95947,40,40,0.89758,1.02136
2021,Single-person household,West,Yes,0.02035,60,2479,0.01479,0.02591
2021,Single-person household,West,No,0.97965,2419,2479,0.97409,0.98521
2021,Single-person household,East,No,0.98889,700,700,0.98112,0.99666
2021,Couple without children,West,Yes,0.02817,102,2595,0.02180,0.03453
2021,Couple without children,West,No,0.97183,2493,2595,0.96547,0.97820
2021,Couple without children,East,No,0.98152,801,801,0.97218,0.99085
2021,Single parent,West,No,0.94593,633,633,0.92829,0.96356
2021,Single parent,East,No,0.96984,233,233,0.94783,0.99185
2021,Couple with children,West,Yes,0.02206,72,2618,0.01643,0.02768
2021,Couple with children,West,No,0.97794,2546,2618,0.97232,0.98357
2021,Couple with children,East,No,0.96311,529,529,0.94703,0.97919
2021,Multi-generational household,West,No,0.96310,57,57,0.91372,1.01248
2021,Other Combinations,West,No,0.94326,212,212,0.91205,0.97448
2021,Other Combinations,East,No,0.97714,42,42,0.93138,1.02289
2022,No answer / don't know,West,No,0.96930,306,306,0.94993,0.98866
2022,No answer / don't know,East,No,0.92438,96,96,0.87121,0.97754
2022,Single-person household,West,Yes,0.02099,92,4286,0.01670,0.02528
2022,Single-person household,West,No,0.97901,4194,4286,0.97472,0.98330
2022,Single-person household,East,No,0.99309,1257,1257,0.98851,0.99767
2022,Couple without children,West,Yes,0.03420,147,4451,0.02886,0.03954
2022,Couple without children,West,No,0.96580,4304,4451,0.96046,0.97114
2022,Couple without children,East,Yes,0.03210,38,1255,0.02235,0.04186
2022,Couple without children,East,No,0.96790,1217,1255,0.95814,0.97765
2022,Single parent,West,Yes,0.03199,31,836,0.02005,0.04393
2022,Single parent,West,No,0.96801,805,836,0.95607,0.97995
2022,Single parent,East,No,0.99956,300,300,0.99718,1.00194
2022,Couple with children,West,Yes,0.04088,154,4122,0.03483,0.04692
2022,Couple with children,West,No,0.95912,3968,4122,0.95308,0.96517
2022,Couple with children,East,No,0.97465,989,989,0.96485,0.98445
2022,Multi-generational household,West,No,0.99435,62,62,0.97553,1.01316
2022,Other Combinations,West,Yes,0.03880,36,887,0.02608,0.05152
2022,Other Combinations,West,No,0.96120,851,887,0.94848,0.97392
2022,Other Combinations,East,No,0.97696,211,211,0.95667,0.99725
