year,bula_h,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1989,Berlin,181,1544.44139,1411.53289,1677.34988,942.61857,1278.00000,2045.00000,307.00000,3698.57215,1278.00000,1125.00000,1432.00000
1990,Schleswig-Holstein,143,1520.38490,1354.96196,1685.80785,920.28756,1380.00000,1892.00000,208.00000,3349.56866,1380.00000,1176.00000,1534.00000
1990,Hamburg,103,1332.64870,1219.26672,1446.03067,884.07542,1232.18643,1737.91225,230.00000,3017.00000,1227.00000,1046.00000,1483.00000
1990,Lower Saxony,465,1536.45859,1452.39274,1620.52444,948.08807,1380.00000,1862.08391,87.00000,3233.07768,1380.00000,1278.00000,1483.20000
1990,Bremen,57,1239.07922,1082.51122,1395.64722,755.79769,1074.00000,1625.54090,413.00000,2930.15572,1074.00000,959.00000,1432.00000
1990,North Rhine-Westphalia,1155,1597.61331,1526.44333,1668.78329,949.91503,1380.00000,2045.00000,0.00000,3687.62746,1380.00000,1329.00000,1483.00000
1990,Hesse,456,1663.85405,1571.47981,1756.22829,1023.00000,1432.00000,2118.69411,220.00000,3762.23526,1432.00000,1329.00000,1534.00000
1990,"Rhineland-Palatinate, Saarland",303,1500.29604,1391.95092,1608.64116,920.00000,1329.00000,1943.00000,307.00000,3477.50000,1329.00000,1252.35000,1534.00000
1990,Baden-Wuerttemberg,794,1622.42957,1560.29412,1684.56502,975.86683,1534.00000,2045.00000,0.00000,3648.69975,1534.00000,1385.85000,1585.00000
1990,Bavaria,749,1626.43812,1528.42433,1724.45191,957.73442,1432.00000,2045.00000,51.00000,3675.89837,1432.00000,1380.00000,1534.00000
1990,Berlin,339,1283.01484,1189.68318,1376.34650,642.38876,1121.99702,1694.19567,153.00000,3271.90603,1125.00000,1023.00000,1176.25000
1990,Brandenburg,347,788.81013,746.58009,831.04017,470.01557,767.00000,1023.00000,169.00000,1852.47664,767.00000,716.00000,869.00000
1990,Mecklenburg-Western Pomerania,224,809.66020,752.65364,866.66676,460.00000,775.17268,1083.37544,174.00000,2018.43861,777.00000,716.00000,869.00000
1990,Saxony,647,733.69324,705.07682,762.30967,435.00000,716.00000,1023.00000,153.00000,1905.00000,716.00000,665.00000,767.00000
1990,Saxony-Anhalt,388,720.08900,681.22837,758.94963,409.00000,665.00000,1023.00000,184.00000,1944.00000,665.00000,607.37500,741.65000
1990,Thuringa,355,748.20533,710.55411,785.85655,460.00000,744.75893,995.15027,194.00000,1797.87568,744.00000,690.00000,767.00000
1991,Schleswig-Holstein,149,1608.19797,1470.29712,1746.09881,920.00000,1534.00000,2045.00000,220.00000,3732.50000,1534.00000,1329.00000,1585.00000
1991,Hamburg,97,1418.09902,1293.15810,1543.03995,906.22653,1278.00000,1943.00000,409.00000,3068.00000,1278.00000,1150.00000,1458.92500
1991,Lower Saxony,459,1617.03347,1528.47242,1705.59451,1023.00000,1432.00000,1969.90225,281.00000,3390.25564,1432.00000,1380.00000,1534.00000
1991,Bremen,57,1200.68852,1040.81920,1360.55783,786.12736,1000.87780,1534.00000,322.00000,2655.80896,994.00000,868.10000,1278.00000
