year,sex,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,female,No,0.07176,1332,4735,0.06441,0.07911
2012,male,Yes,0.25167,3947,5367,0.24006,0.26329
2012,male,No,0.09407,1420,5367,0.08626,0.10188
2012,female,Yes,0.18821,3474,4976,0.17735,0.19907
2012,female,No,0.07933,1502,4976,0.07182,0.08684
2013,male,Yes,0.24118,4246,5763,0.23013,0.25222
2013,male,No,0.09037,1517,5763,0.08296,0.09777
2013,female,Yes,0.18378,3721,5221,0.17327,0.19429
2013,female,No,0.07183,1500,5221,0.06483,0.07884
2014,male,Yes,0.24706,3807,5114,0.23524,0.25888
2014,male,No,0.08765,1307,5114,0.07989,0.09540
2014,female,Yes,0.19351,3368,4851,0.18239,0.20463
2014,female,No,0.07523,1483,4851,0.06781,0.08266
2015,male,Yes,0.25252,3788,4928,0.24039,0.26465
2015,male,No,0.07996,1140,4928,0.07239,0.08753
2015,female,Yes,0.20495,3468,4571,0.19324,0.21665
2015,female,No,0.06203,1103,4571,0.05504,0.06903
2016,male,Yes,0.26022,3507,4504,0.24741,0.27304
2016,male,No,0.07751,997,4504,0.06970,0.08532
2016,female,Yes,0.21429,3369,4522,0.20233,0.22626
2016,female,No,0.07011,1153,4522,0.06267,0.07756
2017,male,Yes,0.24718,3805,4944,0.23516,0.25921
2017,male,No,0.07216,1139,4944,0.06494,0.07937
2017,female,Yes,0.19788,3583,4791,0.18660,0.20916
2017,female,No,0.06610,1208,4791,0.05906,0.07313
2018,male,Yes,0.27163,3863,5173,0.25951,0.28375
2018,male,No,0.08285,1310,5173,0.07534,0.09036
2018,female,Yes,0.21317,3601,4985,0.20180,0.22454
2018,female,No,0.07628,1384,4985,0.06891,0.08365
2019,male,Yes,0.26122,3577,4660,0.24861,0.27384
2019,male,No,0.07737,1083,4660,0.06970,0.08504
2019,female,Yes,0.21194,3418,4555,0.20007,0.22381
2019,female,No,0.06461,1137,4555,0.05747,0.07175
2020,male,Yes,0.23498,3367,5139,0.22339,0.24658
2020,male,No,0.11717,1772,5139,0.10838,0.12596
2020,female,Yes,0.19894,3156,5066,0.18795,0.20994
2020,female,No,0.10903,1910,5066,0.10045,0.11762
2021,male,Yes,0.26637,2659,3616,0.25196,0.28078
2021,male,No,0.08537,957,3616,0.07626,0.09448
2021,female,Yes,0.21593,2503,3493,0.20228,0.22958
2021,female,No,0.08484,990,3493,0.07560,0.09409
