year,regtyp,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,Urban regions,Yes,0.21842,3324,4441,0.20627,0.23058
2008,Urban regions,No,0.07224,1117,4441,0.06462,0.07985
2008,Rural regions,Yes,0.19766,1641,2383,0.18166,0.21365
2008,Rural regions,No,0.09798,742,2383,0.08604,0.10992
2009,Urban regions,Yes,0.20600,2821,3855,0.19323,0.21877
2009,Urban regions,No,0.07388,1034,3855,0.06562,0.08214
2009,Rural regions,Yes,0.19178,1462,2182,0.17526,0.20830
2009,Rural regions,No,0.10013,720,2182,0.08753,0.11273
2010,Urban regions,Yes,0.20222,3797,5388,0.19150,0.21295
2010,Urban regions,No,0.08569,1591,5388,0.07822,0.09317
2010,Rural regions,Yes,0.18954,1980,2973,0.17544,0.20363
2010,Rural regions,No,0.10671,993,2973,0.09561,0.11781
2011,Urban regions,Yes,0.22256,4871,6405,0.21237,0.23274
2011,Urban regions,No,0.06814,1534,6405,0.06197,0.07431
2011,Rural regions,Yes,0.20829,2627,3719,0.19523,0.22134
2011,Rural regions,No,0.09191,1092,3719,0.08262,0.10119
2012,Urban regions,Yes,0.22222,4761,6538,0.21214,0.23230
2012,Urban regions,No,0.08340,1777,6538,0.07669,0.09010
2012,Rural regions,Yes,0.21331,2660,3805,0.20029,0.22633
2012,Rural regions,No,0.09308,1145,3805,0.08385,0.10231
2013,Urban regions,Yes,0.21792,5280,7166,0.20836,0.22748
2013,Urban regions,No,0.07604,1886,7166,0.06990,0.08217
2013,Rural regions,Yes,0.19961,2687,3818,0.18693,0.21229
2013,Rural regions,No,0.09104,1131,3818,0.08192,0.10017
2014,Urban regions,Yes,0.22619,4709,6431,0.21596,0.23641
2014,Urban regions,No,0.07604,1722,6431,0.06956,0.08252
2014,Rural regions,Yes,0.20641,2466,3534,0.19307,0.21976
2014,Rural regions,No,0.09248,1068,3534,0.08292,0.10203
2015,Urban regions,Yes,0.22758,4708,6075,0.21703,0.23812
2015,Urban regions,No,0.06700,1367,6075,0.06071,0.07329
2015,Rural regions,Yes,0.23001,2548,3424,0.21591,0.24411
2015,Rural regions,No,0.07902,876,3424,0.06998,0.08806
2016,Urban regions,Yes,0.23950,4462,5787,0.22850,0.25050
2016,Urban regions,No,0.06867,1325,5787,0.06215,0.07518
2016,Rural regions,Yes,0.23159,2414,3239,0.21706,0.24612
2016,Rural regions,No,0.08458,825,3239,0.07500,0.09417
2017,Urban regions,Yes,0.22141,4780,6206,0.21108,0.23174
2017,Urban regions,No,0.06469,1426,6206,0.05857,0.07081
2017,Rural regions,Yes,0.22429,2608,3529,0.21053,0.23805
2017,Rural regions,No,0.07876,921,3529,0.06987,0.08765
2018,Urban regions,Yes,0.24486,4879,6554,0.23445,0.25527
2018,Urban regions,No,0.07429,1675,6554,0.06794,0.08064
2018,Rural regions,Yes,0.23597,2585,3604,0.22210,0.24983
2018,Rural regions,No,0.09107,1019,3604,0.08168,0.10047
2019,Urban regions,Yes,0.23781,4418,5796,0.22685,0.24877
2019,Urban regions,No,0.06558,1378,5796,0.05921,0.07195
2019,Rural regions,Yes,0.23353,2418,3205,0.21888,0.24818
2019,Rural regions,No,0.08145,787,3205,0.07198,0.09092
2020,Urban regions,Yes,0.21489,4317,6736,0.20508,0.22470
2020,Urban regions,No,0.11155,2419,6736,0.10403,0.11907
2020,Rural regions,Yes,0.22049,2208,3472,0.20670,0.23428
2020,Rural regions,No,0.11615,1264,3472,0.10549,0.12681
2021,Urban regions,Yes,0.23716,3440,4742,0.22506,0.24927
2021,Urban regions,No,0.08086,1302,4742,0.07310,0.08862
2021,Rural regions,Yes,0.24917,1724,2369,0.23174,0.26659
2021,Rural regions,No,0.09355,645,2369,0.08182,0.10528
