year,migback,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1993,Indirect migration background,No,0.12305,194,278,0.08436,0.16173
1994,No migration background,Yes,0.18187,2460,5840,0.17197,0.19176
1994,No migration background,No,0.26181,3380,5840,0.25053,0.27308
1994,Direct migration background,Yes,0.14956,333,1339,0.13045,0.16867
1994,Direct migration background,No,0.36903,1006,1339,0.34317,0.39488
1994,Indirect migration background,Yes,0.05643,88,290,0.02983,0.08303
1994,Indirect migration background,No,0.12698,202,290,0.08859,0.16536
1995,No migration background,Yes,0.19494,2622,5942,0.18487,0.20502
1995,No migration background,No,0.25196,3320,5942,0.24092,0.26300
1995,Direct migration background,Yes,0.15714,455,1522,0.13885,0.17543
1995,Direct migration background,No,0.31000,1067,1522,0.28675,0.33324
1995,Indirect migration background,Yes,0.05805,105,300,0.03154,0.08455
1995,Indirect migration background,No,0.12025,195,300,0.08339,0.15712
1996,No migration background,Yes,0.19381,2568,5836,0.18367,0.20395
1996,No migration background,No,0.25024,3268,5836,0.23913,0.26135
1996,Direct migration background,Yes,0.15884,433,1415,0.13979,0.17789
1996,Direct migration background,No,0.31158,982,1415,0.28744,0.33572
1996,Indirect migration background,Yes,0.06522,116,314,0.03787,0.09257
1996,Indirect migration background,No,0.11248,198,314,0.07748,0.14749
1997,No migration background,Yes,0.19847,2565,3687,0.18560,0.21135
1997,No migration background,No,0.08273,1122,3687,0.07383,0.09162
1997,Direct migration background,Yes,0.17203,437,677,0.14358,0.20049
1997,Direct migration background,No,0.08141,240,677,0.06080,0.10203
1997,Indirect migration background,Yes,0.08686,125,188,0.04649,0.12722
1997,Indirect migration background,No,0.03518,63,188,0.00877,0.06158
1998,No migration background,Yes,0.19922,2956,4206,0.18715,0.21130
1998,No migration background,No,0.08079,1250,4206,0.07256,0.08903
1998,Direct migration background,Yes,0.16360,413,617,0.13439,0.19281
1998,Direct migration background,No,0.07613,204,617,0.05518,0.09707
1998,Indirect migration background,Yes,0.08738,132,179,0.04589,0.12887
1998,Indirect migration background,No,0.03042,47,179,0.00519,0.05565
1999,No migration background,Yes,0.20255,2960,4141,0.19030,0.21479
1999,No migration background,No,0.08088,1181,4141,0.07257,0.08918
1999,Direct migration background,Yes,0.17889,391,560,0.14712,0.21066
1999,Direct migration background,No,0.06311,169,560,0.04295,0.08326
1999,Indirect migration background,Yes,0.08425,142,199,0.04556,0.12294
1999,Indirect migration background,No,0.03986,57,199,0.01261,0.06711
2000,No migration background,Yes,0.19321,4887,7007,0.18397,0.20246
2000,No migration background,No,0.08724,2120,7007,0.08063,0.09384
2000,Direct migration background,Yes,0.15288,548,868,0.12893,0.17684
2000,Direct migration background,No,0.08786,320,868,0.06901,0.10670
2000,Indirect migration background,Yes,0.09280,183,254,0.05704,0.12855
2000,Indirect migration background,No,0.03348,71,254,0.01131,0.05564
2001,No migration background,Yes,0.19980,4574,4574,0.18821,0.21139
2001,Direct migration background,Yes,0.17185,543,543,0.14009,0.20361
2001,Indirect migration background,Yes,0.08850,174,174,0.04618,0.13082
2002,No migration background,Yes,0.19231,4955,6964,0.18305,0.20156
2002,No migration background,No,0.08270,2009,6964,0.07623,0.08917
2002,Direct migration background,Yes,0.13643,461,712,0.11120,0.16166
2002,Direct migration background,No,0.08256,251,712,0.06233,0.10279
2002,Indirect migration background,Yes,0.08588,180,253,0.05129,0.12048
2002,Indirect migration background,No,0.03901,73,253,0.01510,0.06291
2003,No migration background,Yes,0.19367,4716,6653,0.18418,0.20317
2003,No migration background,No,0.08229,1937,6653,0.07568,0.08889
2003,Direct migration background,Yes,0.14567,413,647,0.11846,0.17287
2003,Direct migration background,No,0.07633,234,647,0.05586,0.09681
2003,Indirect migration background,Yes,0.09405,170,256,0.05822,0.12988
2003,Indirect migration background,No,0.04469,86,256,0.01933,0.07005
2004,No migration background,Yes,0.19372,4590,6428,0.18406,0.20339
2004,No migration background,No,0.08085,1838,6428,0.07419,0.08752
2004,Direct migration background,Yes,0.14324,403,611,0.11544,0.17104
2004,Direct migration background,No,0.07524,208,611,0.05431,0.09617
2004,Indirect migration background,Yes,0.09220,175,241,0.05560,0.12881
2004,Indirect migration background,No,0.03431,66,241,0.01128,0.05734
2005,No migration background,Yes,0.19347,4227,5929,0.18341,0.20352
2005,No migration background,No,0.08076,1702,5929,0.07382,0.08770
2005,Direct migration background,Yes,0.14737,384,568,0.11819,0.17655
2005,Direct migration background,No,0.08315,184,568,0.06042,0.10588
2005,Indirect migration background,Yes,0.10200,186,250,0.06441,0.13959
2005,Indirect migration background,No,0.03154,64,250,0.00983,0.05325
2006,No migration background,Yes,0.20790,4791,6554,0.19807,0.21772
2006,No migration background,No,0.07962,1763,6554,0.07307,0.08617
2006,Direct migration background,Yes,0.16141,429,617,0.13236,0.19047
2006,Direct migration background,No,0.07499,188,617,0.05420,0.09579
2006,Indirect migration background,Yes,0.12333,221,279,0.08468,0.16198
2006,Indirect migration background,No,0.04070,58,279,0.01747,0.06392
2007,No migration background,Yes,0.21580,4549,6140,0.20551,0.22609
2007,No migration background,No,0.07520,1591,6140,0.06860,0.08180
2007,Direct migration background,Yes,0.16819,385,520,0.13601,0.20038
2007,Direct migration background,No,0.05423,135,520,0.03475,0.07372
2007,Indirect migration background,Yes,0.12168,214,283,0.08352,0.15984
2007,Indirect migration background,No,0.04248,69,283,0.01894,0.06602
2008,No migration background,Yes,0.22233,4392,6043,0.21185,0.23282
2008,No migration background,No,0.08611,1651,6043,0.07903,0.09318
2008,Direct migration background,Yes,0.18527,379,511,0.15155,0.21899
2008,Direct migration background,No,0.06503,132,511,0.04363,0.08643
2008,Indirect migration background,Yes,0.14046,194,270,0.09893,0.18198
2008,Indirect migration background,No,0.04371,76,270,0.01928,0.06814
2009,No migration background,Yes,0.21186,3841,5382,0.20094,0.22278
2009,No migration background,No,0.08414,1541,5382,0.07673,0.09156
2009,Direct migration background,Yes,0.16013,259,397,0.12401,0.19625
2009,Direct migration background,No,0.08179,138,397,0.05480,0.10878
2009,Indirect migration background,Yes,0.14855,183,258,0.10507,0.19203
2009,Indirect migration background,No,0.06482,75,258,0.03472,0.09493
2010,No migration background,Yes,0.20924,4985,7223,0.19986,0.21862
2010,No migration background,No,0.09895,2238,7223,0.09206,0.10583
2010,Direct migration background,Yes,0.16686,533,765,0.14043,0.19330
2010,Direct migration background,No,0.07057,232,765,0.05241,0.08873
2010,Indirect migration background,Yes,0.12852,259,373,0.09451,0.16253
2010,Indirect migration background,No,0.05574,114,373,0.03242,0.07905
2011,No migration background,Yes,0.22606,6435,8711,0.21727,0.23484
2011,No migration background,No,0.08011,2276,8711,0.07441,0.08581
2011,Direct migration background,Yes,0.20257,706,942,0.17689,0.22825
2011,Direct migration background,No,0.06488,236,942,0.04914,0.08061
2011,Indirect migration background,Yes,0.15230,357,471,0.11982,0.18479
2011,Indirect migration background,No,0.04640,114,471,0.02739,0.06542
2012,No migration background,Yes,0.22818,6386,8865,0.21944,0.23692
2012,No migration background,No,0.08882,2479,8865,0.08290,0.09475
2012,Direct migration background,Yes,0.20060,674,987,0.17561,0.22560
2012,Direct migration background,No,0.09778,313,987,0.07924,0.11632
2012,Indirect migration background,Yes,0.15502,361,491,0.12297,0.18706
2012,Indirect migration background,No,0.04497,130,491,0.02662,0.06332
2013,No migration background,Yes,0.21970,5973,8178,0.21073,0.22868
2013,No migration background,No,0.08301,2205,8178,0.07703,0.08899
2013,Direct migration background,Yes,0.20826,1443,2064,0.19074,0.22578
2013,Direct migration background,No,0.09118,621,2064,0.07876,0.10361
2013,Indirect migration background,Yes,0.14144,551,742,0.11635,0.16653
2013,Indirect migration background,No,0.04485,191,742,0.02994,0.05975
2014,No migration background,Yes,0.22859,5538,7653,0.21918,0.23800
2014,No migration background,No,0.08523,2115,7653,0.07897,0.09148
2014,Direct migration background,Yes,0.20341,1151,1655,0.18401,0.22281
2014,Direct migration background,No,0.07879,504,1655,0.06581,0.09177
2014,Indirect migration background,Yes,0.16155,486,657,0.13339,0.18972
2014,Indirect migration background,No,0.04842,171,657,0.03199,0.06485
2015,No migration background,Yes,0.23788,5501,7107,0.22798,0.24778
2015,No migration background,No,0.07351,1606,7107,0.06744,0.07957
2015,Direct migration background,Yes,0.22073,1322,1804,0.20159,0.23988
2015,Direct migration background,No,0.06957,482,1804,0.05783,0.08131
2015,Indirect migration background,Yes,0.15157,433,588,0.12256,0.18058
2015,Indirect migration background,No,0.04818,155,588,0.03086,0.06551
2016,No migration background,Yes,0.24999,5274,6876,0.23975,0.26022
2016,No migration background,No,0.07696,1602,6876,0.07066,0.08326
2016,Direct migration background,Yes,0.21722,1178,1593,0.19696,0.23748
2016,Direct migration background,No,0.07384,415,1593,0.06099,0.08668
2016,Indirect migration background,Yes,0.15285,424,557,0.12294,0.18276
2016,Indirect migration background,No,0.04540,133,557,0.02809,0.06270
2017,No migration background,Yes,0.23649,5815,7614,0.22695,0.24604
2017,No migration background,No,0.07271,1799,7614,0.06688,0.07854
2017,Direct migration background,Yes,0.19764,1139,1552,0.17782,0.21746
2017,Direct migration background,No,0.06480,413,1552,0.05255,0.07706
2017,Indirect migration background,Yes,0.13977,434,569,0.11125,0.16828
2017,Indirect migration background,No,0.04507,135,569,0.02801,0.06213
2018,No migration background,Yes,0.25039,5719,7753,0.24074,0.26003
2018,No migration background,No,0.08340,2034,7753,0.07725,0.08956
2018,Direct migration background,Yes,0.23363,1267,1776,0.21394,0.25331
2018,Direct migration background,No,0.07987,509,1776,0.06726,0.09248
2018,Indirect migration background,Yes,0.18703,478,629,0.15653,0.21752
2018,Indirect migration background,No,0.04727,151,629,0.03067,0.06387
2019,No migration background,Yes,0.24782,5478,7150,0.23781,0.25783
2019,No migration background,No,0.07337,1672,7150,0.06733,0.07942
2019,Direct migration background,Yes,0.22744,1102,1502,0.20624,0.24865
2019,Direct migration background,No,0.07012,400,1502,0.05720,0.08304
2019,Indirect migration background,Yes,0.15722,416,564,0.12715,0.18729
2019,Indirect migration background,No,0.05235,148,564,0.03395,0.07075
2020,No migration background,Yes,0.23273,4828,7336,0.22306,0.24240
2020,No migration background,No,0.11464,2508,7336,0.10735,0.12193
2020,Direct migration background,Yes,0.18177,1316,2249,0.16583,0.19772
2020,Direct migration background,No,0.12417,933,2249,0.11054,0.13781
2020,Indirect migration background,Yes,0.12971,381,623,0.10330,0.15611
2020,Indirect migration background,No,0.08318,242,623,0.06147,0.10488
2021,No migration background,Yes,0.25319,3836,5224,0.24140,0.26499
2021,No migration background,No,0.08862,1388,5224,0.08091,0.09632
2021,Direct migration background,Yes,0.23690,1049,1507,0.21543,0.25838
2021,Direct migration background,No,0.08979,458,1507,0.07535,0.10423
2021,Indirect migration background,Yes,0.14684,279,381,0.11125,0.18242
2021,Indirect migration background,No,0.04952,102,381,0.02770,0.07133
