year,bula_h,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,Hamburg,Yes,0.25676,48,116,0.17691,0.33660
1989,Hamburg,No,0.26406,68,116,0.18348,0.34463
1989,Lower Saxony,Yes,0.16969,209,552,0.13835,0.20103
1989,Lower Saxony,No,0.26248,343,552,0.22574,0.29922
1989,North Rhine-Westphalia,Yes,0.15771,487,1469,0.13907,0.17636
1989,North Rhine-Westphalia,No,0.27866,982,1469,0.25572,0.30159
1989,Hesse,Yes,0.14067,167,584,0.11244,0.16889
1989,Hesse,No,0.29102,417,584,0.25414,0.32789
1989,"Rhineland-Palatinate, Saarland",Yes,0.16428,137,390,0.12746,0.20111
1989,"Rhineland-Palatinate, Saarland",No,0.29387,253,390,0.24860,0.33914
1989,Baden-Wuerttemberg,Yes,0.17723,394,1183,0.15546,0.19900
1989,Baden-Wuerttemberg,No,0.31110,789,1183,0.28471,0.33749
1989,Bavaria,Yes,0.16882,339,1016,0.14578,0.19187
1989,Bavaria,No,0.30469,677,1016,0.27637,0.33301
1989,Berlin,Yes,0.16320,57,216,0.11380,0.21259
1989,Berlin,No,0.35589,159,216,0.29189,0.41988
1990,Schleswig-Holstein,Yes,0.16371,54,165,0.10708,0.22035
1990,Schleswig-Holstein,No,0.28866,111,165,0.21930,0.35801
1990,Hamburg,Yes,0.22722,40,94,0.14205,0.31239
1990,Hamburg,No,0.26488,54,94,0.17519,0.35456
1990,Lower Saxony,Yes,0.17488,206,548,0.14304,0.20671
1990,Lower Saxony,No,0.26715,342,548,0.23007,0.30423
1990,North Rhine-Westphalia,Yes,0.17052,513,1472,0.15130,0.18974
1990,North Rhine-Westphalia,No,0.28230,959,1472,0.25930,0.30531
1990,Hesse,Yes,0.16401,193,592,0.13415,0.19386
1990,Hesse,No,0.28326,399,592,0.24693,0.31958
1990,"Rhineland-Palatinate, Saarland",Yes,0.17007,136,363,0.13137,0.20877
1990,"Rhineland-Palatinate, Saarland",No,0.26265,227,363,0.21732,0.30799
1990,Baden-Wuerttemberg,Yes,0.20074,415,1170,0.17778,0.22370
1990,Baden-Wuerttemberg,No,0.30065,755,1170,0.27436,0.32693
1990,Bavaria,Yes,0.16560,328,1000,0.14255,0.18865
1990,Bavaria,No,0.30881,672,1000,0.28016,0.33746
1990,Berlin,Yes,0.15964,122,429,0.12494,0.19434
1990,Berlin,No,0.36482,307,429,0.31921,0.41043
1990,Brandenburg,Yes,0.16381,168,552,0.13290,0.19471
1990,Brandenburg,No,0.38307,384,552,0.34248,0.42367
1990,Mecklenburg-Western Pomerania,Yes,0.16670,126,385,0.12942,0.20398
1990,Mecklenburg-Western Pomerania,No,0.39696,259,385,0.34802,0.44589
1990,Saxony,Yes,0.17831,335,1014,0.15474,0.20188
1990,Saxony,No,0.36743,679,1014,0.33774,0.39712
1990,Saxony-Anhalt,Yes,0.16692,188,617,0.13747,0.19637
1990,Saxony-Anhalt,No,0.38485,429,617,0.34642,0.42327
1990,Thuringa,Yes,0.17222,184,557,0.14084,0.20361
1990,Thuringa,No,0.35903,373,557,0.31915,0.39890
1991,Schleswig-Holstein,Yes,0.18406,67,181,0.12745,0.24068
1991,Schleswig-Holstein,No,0.26894,114,181,0.20416,0.33371
1991,Hamburg,Yes,0.24030,38,95,0.15392,0.32667
1991,Hamburg,No,0.24712,57,95,0.15992,0.33432
1991,Lower Saxony,Yes,0.19053,231,566,0.15815,0.22291
1991,Lower Saxony,No,0.26350,335,566,0.22718,0.29983
1991,North Rhine-Westphalia,Yes,0.17795,525,1488,0.15851,0.19739
1991,North Rhine-Westphalia,No,0.27579,963,1488,0.25307,0.29851
1991,Hesse,Yes,0.16578,204,602,0.13605,0.19552
1991,Hesse,No,0.28142,398,602,0.24547,0.31737
1991,"Rhineland-Palatinate, Saarland",Yes,0.17334,138,382,0.13533,0.21135
1991,"Rhineland-Palatinate, Saarland",No,0.27428,244,382,0.22948,0.31908
1991,Baden-Wuerttemberg,Yes,0.20352,432,1183,0.18057,0.22647
1991,Baden-Wuerttemberg,No,0.30186,751,1183,0.27569,0.32803
1991,Bavaria,Yes,0.17936,358,1016,0.15575,0.20296
1991,Bavaria,No,0.29350,658,1016,0.26549,0.32151
1991,Berlin,Yes,0.18427,138,395,0.14599,0.22255
1991,Berlin,No,0.33582,257,395,0.28919,0.38246
1991,Brandenburg,Yes,0.11901,117,446,0.08892,0.14909
1991,Brandenburg,No,0.35949,329,446,0.31491,0.40408
1991,Mecklenburg-Western Pomerania,Yes,0.11767,81,320,0.08231,0.15303
1991,Mecklenburg-Western Pomerania,No,0.37624,239,320,0.32307,0.42940
1991,Saxony,Yes,0.14505,249,815,0.12086,0.16924
1991,Saxony,No,0.34317,566,815,0.31056,0.37579
1991,Saxony-Anhalt,Yes,0.12033,145,542,0.09291,0.14774
1991,Saxony-Anhalt,No,0.38300,397,542,0.34203,0.42396
1991,Thuringa,Yes,0.15978,151,467,0.12651,0.19304
1991,Thuringa,No,0.31856,316,467,0.27626,0.36086
1992,Schleswig-Holstein,Yes,0.17784,59,162,0.11877,0.23690
1992,Schleswig-Holstein,No,0.26784,103,162,0.19944,0.33625
1992,Hamburg,No,0.30356,61,61,0.18722,0.41991
1992,Lower Saxony,Yes,0.19535,234,544,0.16200,0.22869
1992,Lower Saxony,No,0.24381,310,544,0.20770,0.27993
1992,North Rhine-Westphalia,Yes,0.17417,509,1475,0.15481,0.19354
1992,North Rhine-Westphalia,No,0.27727,966,1475,0.25442,0.30012
1992,Hesse,Yes,0.17274,198,574,0.14179,0.20370
1992,Hesse,No,0.27763,376,574,0.24096,0.31430
1992,"Rhineland-Palatinate, Saarland",Yes,0.18563,140,361,0.14547,0.22580
1992,"Rhineland-Palatinate, Saarland",No,0.24965,221,361,0.20494,0.29436
1992,Baden-Wuerttemberg,Yes,0.19831,415,1132,0.17507,0.22154
1992,Baden-Wuerttemberg,No,0.28114,717,1132,0.25494,0.30734
1992,Bavaria,Yes,0.16821,348,1039,0.14545,0.19096
1992,Bavaria,No,0.30397,691,1039,0.27599,0.33195
1992,Berlin,Yes,0.20885,156,374,0.16760,0.25010
1992,Berlin,No,0.28869,218,374,0.24270,0.33468
1992,Brandenburg,Yes,0.17494,149,396,0.13747,0.21241
1992,Brandenburg,No,0.27891,247,396,0.23468,0.32314
1992,Mecklenburg-Western Pomerania,Yes,0.15910,93,252,0.11384,0.20435
1992,Mecklenburg-Western Pomerania,No,0.26506,159,252,0.21046,0.31966
1992,Saxony,Yes,0.17462,283,677,0.14600,0.20324
1992,Saxony,No,0.24384,394,677,0.21147,0.27621
1992,Saxony-Anhalt,Yes,0.17054,177,472,0.13657,0.20450
1992,Saxony-Anhalt,No,0.28431,295,472,0.24357,0.32505
1992,Thuringa,Yes,0.16642,159,403,0.13001,0.20283
1992,Thuringa,No,0.24453,244,403,0.20252,0.28655
1993,Schleswig-Holstein,Yes,0.21077,72,170,0.14928,0.27226
1993,Schleswig-Holstein,No,0.23072,98,170,0.16720,0.29423
1993,Hamburg,No,0.37239,57,57,0.24577,0.49902
1993,Lower Saxony,Yes,0.18652,218,569,0.15448,0.21855
1993,Lower Saxony,No,0.27405,351,569,0.23737,0.31073
1993,North Rhine-Westphalia,Yes,0.14473,449,1454,0.12664,0.16282
1993,North Rhine-Westphalia,No,0.30299,1005,1454,0.27936,0.32662
1993,Hesse,Yes,0.16263,181,569,0.13228,0.19298
1993,Hesse,No,0.29808,388,569,0.26046,0.33570
1993,"Rhineland-Palatinate, Saarland",Yes,0.14566,121,344,0.10833,0.18299
1993,"Rhineland-Palatinate, Saarland",No,0.26870,223,344,0.22178,0.31561
1993,Baden-Wuerttemberg,Yes,0.17540,375,1121,0.15312,0.19767
1993,Baden-Wuerttemberg,No,0.29988,746,1121,0.27304,0.32671
1993,Bavaria,Yes,0.16480,334,1015,0.14196,0.18763
1993,Bavaria,No,0.30668,681,1015,0.27830,0.33506
1993,Berlin,Yes,0.19116,141,356,0.15025,0.23206
1993,Berlin,No,0.29848,215,356,0.25087,0.34608
1993,Brandenburg,Yes,0.15980,137,370,0.12241,0.19719
1993,Brandenburg,No,0.28297,233,370,0.23701,0.32893
1993,Mecklenburg-Western Pomerania,Yes,0.14514,88,221,0.09860,0.19169
1993,Mecklenburg-Western Pomerania,No,0.22243,133,221,0.16748,0.27739
1993,Saxony,Yes,0.20442,313,641,0.17318,0.23566
1993,Saxony,No,0.20661,328,641,0.17524,0.23798
1993,Saxony-Anhalt,Yes,0.18036,184,426,0.14381,0.21692
1993,Saxony-Anhalt,No,0.23648,242,426,0.19608,0.27688
1993,Thuringa,Yes,0.17180,163,383,0.13397,0.20963
1993,Thuringa,No,0.23274,220,383,0.19037,0.27512
1994,Schleswig-Holstein,Yes,0.16945,60,168,0.11255,0.22635
1994,Schleswig-Holstein,No,0.28613,108,168,0.21758,0.35468
1994,Hamburg,Yes,0.22072,33,79,0.12868,0.31276
1994,Hamburg,No,0.25965,46,79,0.16235,0.35695
1994,Lower Saxony,Yes,0.17719,219,559,0.14551,0.20888
1994,Lower Saxony,No,0.27142,340,559,0.23452,0.30832
1994,North Rhine-Westphalia,Yes,0.15825,475,1403,0.13915,0.17736
1994,North Rhine-Westphalia,No,0.28605,928,1403,0.26239,0.30970
1994,Hesse,Yes,0.17666,186,543,0.14455,0.20876
1994,Hesse,No,0.26433,357,543,0.22721,0.30146
1994,"Rhineland-Palatinate, Saarland",Yes,0.17125,131,342,0.13126,0.21124
1994,"Rhineland-Palatinate, Saarland",No,0.24919,211,342,0.20328,0.29510
1994,Baden-Wuerttemberg,Yes,0.17347,356,1034,0.15038,0.19656
1994,Baden-Wuerttemberg,No,0.27352,678,1034,0.24634,0.30070
1994,Bavaria,Yes,0.15616,329,955,0.13313,0.17920
1994,Bavaria,No,0.28732,626,955,0.25861,0.31604
1994,Berlin,Yes,0.20166,143,330,0.15830,0.24502
1994,Berlin,No,0.26558,187,330,0.21786,0.31330
1994,Brandenburg,Yes,0.19352,158,357,0.15248,0.23456
1994,Brandenburg,No,0.26447,199,357,0.21865,0.31029
1994,Mecklenburg-Western Pomerania,Yes,0.15648,99,232,0.10962,0.20333
1994,Mecklenburg-Western Pomerania,No,0.23145,133,232,0.17706,0.28584
1994,Saxony,Yes,0.19574,303,633,0.16481,0.22667
1994,Saxony,No,0.20652,330,633,0.17496,0.23808
1994,Saxony-Anhalt,Yes,0.19442,194,415,0.15630,0.23254
1994,Saxony-Anhalt,No,0.22595,221,415,0.18566,0.26623
1994,Thuringa,Yes,0.19611,179,382,0.15624,0.23598
1994,Thuringa,No,0.20340,203,382,0.16298,0.24382
1995,Schleswig-Holstein,Yes,0.18145,71,160,0.12154,0.24135
1995,Schleswig-Holstein,No,0.22404,89,160,0.15923,0.28885
1995,Hamburg,Yes,0.19988,34,77,0.10997,0.28979
1995,Hamburg,No,0.31236,43,77,0.20816,0.41656
1995,Lower Saxony,Yes,0.18958,255,591,0.15795,0.22121
1995,Lower Saxony,No,0.23775,336,591,0.20340,0.27210
1995,North Rhine-Westphalia,Yes,0.18807,601,1504,0.16831,0.20782
1995,North Rhine-Westphalia,No,0.26317,903,1504,0.24091,0.28544
1995,Hesse,Yes,0.16615,189,554,0.13512,0.19717
1995,Hesse,No,0.26499,365,554,0.22821,0.30178
1995,"Rhineland-Palatinate, Saarland",Yes,0.15209,140,387,0.11626,0.18791
1995,"Rhineland-Palatinate, Saarland",No,0.24792,247,387,0.20484,0.29100
1995,Baden-Wuerttemberg,Yes,0.19043,406,1072,0.16691,0.21394
1995,Baden-Wuerttemberg,No,0.25166,666,1072,0.22567,0.27766
1995,Bavaria,Yes,0.17074,381,1017,0.14760,0.19387
1995,Bavaria,No,0.28110,636,1017,0.25346,0.30874
1995,Berlin,Yes,0.21290,153,330,0.16867,0.25713
1995,Berlin,No,0.23087,177,330,0.18534,0.27641
1995,Brandenburg,Yes,0.17197,138,353,0.13255,0.21140
1995,Brandenburg,No,0.28562,215,353,0.23843,0.33280
1995,Mecklenburg-Western Pomerania,Yes,0.18319,115,250,0.13514,0.23124
1995,Mecklenburg-Western Pomerania,No,0.25375,135,250,0.19970,0.30780
1995,Saxony,Yes,0.21501,322,637,0.18308,0.24693
1995,Saxony,No,0.20341,315,637,0.17212,0.23469
1995,Saxony-Anhalt,Yes,0.18546,175,408,0.14770,0.22323
1995,Saxony-Anhalt,No,0.25395,233,408,0.21166,0.29624
1995,Thuringa,Yes,0.20115,181,384,0.16101,0.24130
1995,Thuringa,No,0.21289,203,384,0.17190,0.25389
1996,Schleswig-Holstein,Yes,0.20116,73,171,0.14090,0.26142
1996,Schleswig-Holstein,No,0.25469,98,171,0.18919,0.32018
1996,Hamburg,No,0.32078,46,46,0.18440,0.45717
1996,Lower Saxony,Yes,0.18143,255,600,0.15057,0.21230
1996,Lower Saxony,No,0.24962,345,600,0.21496,0.28428
1996,North Rhine-Westphalia,Yes,0.17847,568,1467,0.15887,0.19807
1996,North Rhine-Westphalia,No,0.26410,899,1467,0.24153,0.28667
1996,Hesse,Yes,0.18444,193,526,0.15126,0.21761
1996,Hesse,No,0.24555,333,526,0.20873,0.28236
1996,"Rhineland-Palatinate, Saarland",Yes,0.16227,147,390,0.12563,0.19891
1996,"Rhineland-Palatinate, Saarland",No,0.25304,243,390,0.20984,0.29625
1996,Baden-Wuerttemberg,Yes,0.18696,396,1011,0.16291,0.21100
1996,Baden-Wuerttemberg,No,0.24870,615,1011,0.22204,0.27535
1996,Bavaria,Yes,0.18820,407,1000,0.16396,0.21244
1996,Bavaria,No,0.26094,593,1000,0.23371,0.28818
1996,Berlin,Yes,0.19916,142,313,0.15484,0.24347
1996,Berlin,No,0.24415,171,313,0.19648,0.29182
1996,Brandenburg,Yes,0.16102,136,337,0.12172,0.20032
1996,Brandenburg,No,0.26902,201,337,0.22160,0.31643
1996,Mecklenburg-Western Pomerania,Yes,0.17048,91,222,0.12090,0.22006
1996,Mecklenburg-Western Pomerania,No,0.23974,131,222,0.18345,0.29602
1996,Saxony,Yes,0.20651,314,647,0.17529,0.23773
1996,Saxony,No,0.21227,333,647,0.18073,0.24380
1996,Saxony-Anhalt,Yes,0.17716,161,384,0.13892,0.21540
1996,Saxony-Anhalt,No,0.23425,223,384,0.19184,0.27667
1996,Thuringa,Yes,0.20661,187,382,0.16596,0.24727
1996,Thuringa,No,0.20656,195,382,0.16591,0.24721
1997,Schleswig-Holstein,Yes,0.21005,67,104,0.13138,0.28872
1997,Schleswig-Holstein,No,0.10509,37,104,0.04586,0.16431
1997,Lower Saxony,Yes,0.18933,276,396,0.15069,0.22797
1997,Lower Saxony,No,0.08312,120,396,0.05589,0.11034
1997,North Rhine-Westphalia,Yes,0.19154,567,805,0.16434,0.21874
1997,North Rhine-Westphalia,No,0.07046,238,805,0.05277,0.08815
1997,Hesse,Yes,0.18536,194,278,0.13959,0.23112
1997,Hesse,No,0.06831,84,278,0.03860,0.09802
1997,"Rhineland-Palatinate, Saarland",Yes,0.16591,155,227,0.11741,0.21441
1997,"Rhineland-Palatinate, Saarland",No,0.07607,72,227,0.04151,0.11064
1997,Baden-Wuerttemberg,Yes,0.18820,399,568,0.15603,0.22038
1997,Baden-Wuerttemberg,No,0.06848,169,568,0.04769,0.08927
1997,Bavaria,Yes,0.18430,378,592,0.15304,0.21556
1997,Bavaria,No,0.08563,214,592,0.06307,0.10818
1997,Berlin,Yes,0.21970,150,194,0.16129,0.27812
1997,Berlin,No,0.07323,44,194,0.03648,0.10999
1997,Brandenburg,Yes,0.19080,145,225,0.13934,0.24226
1997,Brandenburg,No,0.10199,80,225,0.06236,0.14162
1997,Mecklenburg-Western Pomerania,Yes,0.19639,102,149,0.13239,0.26040
1997,Mecklenburg-Western Pomerania,No,0.08951,47,149,0.04352,0.13550
1997,Saxony,Yes,0.19357,287,419,0.15570,0.23145
1997,Saxony,No,0.09692,132,419,0.06856,0.12529
1997,Saxony-Anhalt,Yes,0.20440,177,262,0.15548,0.25332
1997,Saxony-Anhalt,No,0.09015,85,262,0.05540,0.12490
1997,Thuringa,Yes,0.19075,186,260,0.14290,0.23860
1997,Thuringa,No,0.08222,74,260,0.04876,0.11567
1998,Schleswig-Holstein,Yes,0.20743,92,129,0.13719,0.27767
1998,Schleswig-Holstein,No,0.08546,37,129,0.03703,0.13389
1998,Lower Saxony,Yes,0.18451,311,450,0.14863,0.22039
1998,Lower Saxony,No,0.08544,139,450,0.05958,0.11129
1998,North Rhine-Westphalia,Yes,0.19222,659,910,0.16660,0.21784
1998,North Rhine-Westphalia,No,0.06727,251,910,0.05099,0.08356
1998,Hesse,Yes,0.18057,224,317,0.13816,0.22298
1998,Hesse,No,0.07020,93,317,0.04203,0.09837
1998,"Rhineland-Palatinate, Saarland",Yes,0.15407,168,245,0.10877,0.19937
1998,"Rhineland-Palatinate, Saarland",No,0.07159,77,245,0.03924,0.10393
1998,Baden-Wuerttemberg,Yes,0.19566,430,606,0.16405,0.22727
1998,Baden-Wuerttemberg,No,0.07744,176,606,0.05614,0.09874
1998,Bavaria,Yes,0.18970,461,646,0.15944,0.21996
1998,Bavaria,No,0.06969,185,646,0.05004,0.08934
1998,Berlin,Yes,0.18742,134,187,0.13134,0.24351
1998,Berlin,No,0.08042,53,187,0.04134,0.11950
1998,Brandenburg,Yes,0.19417,144,224,0.14225,0.24609
1998,Brandenburg,No,0.09731,80,224,0.05841,0.13621
1998,Mecklenburg-Western Pomerania,Yes,0.20558,115,170,0.14465,0.26651
1998,Mecklenburg-Western Pomerania,No,0.10583,55,170,0.05945,0.15221
1998,Saxony,Yes,0.20727,334,487,0.17123,0.24331
1998,Saxony,No,0.10501,153,487,0.07775,0.13226
1998,Saxony-Anhalt,Yes,0.20408,192,276,0.15644,0.25171
1998,Saxony-Anhalt,No,0.08074,84,276,0.04854,0.11294
1998,Thuringa,Yes,0.17709,186,283,0.13253,0.22164
1998,Thuringa,No,0.09094,97,283,0.05738,0.12450
1999,Schleswig-Holstein,Yes,0.20985,84,123,0.13759,0.28211
1999,Schleswig-Holstein,No,0.08572,39,123,0.03604,0.13540
1999,Hamburg,Yes,0.24866,40,40,0.11300,0.38432
1999,Lower Saxony,Yes,0.20029,312,452,0.16335,0.23723
1999,Lower Saxony,No,0.08631,140,452,0.06040,0.11223
1999,North Rhine-Westphalia,Yes,0.19063,675,894,0.16487,0.21639
1999,North Rhine-Westphalia,No,0.06994,219,894,0.05321,0.08667
1999,Hesse,Yes,0.18083,216,299,0.13713,0.22453
1999,Hesse,No,0.06177,83,299,0.03444,0.08911
1999,"Rhineland-Palatinate, Saarland",Yes,0.14340,149,232,0.09821,0.18860
1999,"Rhineland-Palatinate, Saarland",No,0.07238,83,232,0.03896,0.10579
1999,Baden-Wuerttemberg,Yes,0.20803,442,585,0.17511,0.24095
1999,Baden-Wuerttemberg,No,0.06412,143,585,0.04425,0.08399
1999,Bavaria,Yes,0.18908,457,655,0.15907,0.21909
1999,Bavaria,No,0.08126,198,655,0.06032,0.10220
1999,Berlin,Yes,0.19689,137,186,0.13959,0.25419
1999,Berlin,No,0.07207,49,186,0.03480,0.10933
1999,Brandenburg,Yes,0.16517,138,211,0.11495,0.21539
1999,Brandenburg,No,0.09233,73,211,0.05318,0.13149
1999,Mecklenburg-Western Pomerania,Yes,0.17752,107,165,0.11904,0.23600
1999,Mecklenburg-Western Pomerania,No,0.11548,58,165,0.06656,0.16439
1999,Saxony,Yes,0.22787,335,466,0.18974,0.26599
1999,Saxony,No,0.08409,131,466,0.05886,0.10931
1999,Saxony-Anhalt,Yes,0.19086,180,263,0.14328,0.23845
1999,Saxony-Anhalt,No,0.10215,83,263,0.06548,0.13882
1999,Thuringa,Yes,0.19687,202,293,0.15126,0.24248
1999,Thuringa,No,0.09242,91,293,0.05920,0.12564
2000,Schleswig-Holstein,Yes,0.19364,160,219,0.14118,0.24609
2000,Schleswig-Holstein,No,0.07630,59,219,0.04106,0.11154
2000,Hamburg,Yes,0.19289,68,116,0.12077,0.26500
2000,Hamburg,No,0.13631,48,116,0.07360,0.19902
2000,Lower Saxony,Yes,0.18832,494,742,0.16017,0.21648
2000,Lower Saxony,No,0.09763,248,742,0.07626,0.11901
2000,Bremen,Yes,0.14244,36,36,0.02665,0.25823
2000,North Rhine-Westphalia,Yes,0.17754,1122,1624,0.15895,0.19613
2000,North Rhine-Westphalia,No,0.07879,502,1624,0.06569,0.09190
2000,Hesse,Yes,0.17684,390,549,0.14490,0.20879
2000,Hesse,No,0.07827,159,549,0.05578,0.10076
2000,"Rhineland-Palatinate, Saarland",Yes,0.15274,288,433,0.11882,0.18667
2000,"Rhineland-Palatinate, Saarland",No,0.07524,145,433,0.05036,0.10011
2000,Baden-Wuerttemberg,Yes,0.20584,753,1005,0.18083,0.23085
2000,Baden-Wuerttemberg,No,0.07029,252,1005,0.05448,0.08611
2000,Bavaria,Yes,0.19248,832,1180,0.16997,0.21498
2000,Bavaria,No,0.08602,348,1180,0.07001,0.10202
2000,Berlin,Yes,0.16787,179,274,0.12353,0.21220
2000,Berlin,No,0.09355,95,274,0.05901,0.12809
2000,Brandenburg,Yes,0.17734,231,345,0.13697,0.21770
2000,Brandenburg,No,0.09140,114,345,0.06095,0.12186
2000,Mecklenburg-Western Pomerania,Yes,0.15376,126,199,0.10351,0.20400
2000,Mecklenburg-Western Pomerania,No,0.10348,73,199,0.06106,0.14591
2000,Saxony,Yes,0.18032,435,621,0.15006,0.21058
2000,Saxony,No,0.08636,186,621,0.06425,0.10847
2000,Saxony-Anhalt,Yes,0.17729,249,369,0.13827,0.21631
2000,Saxony-Anhalt,No,0.08817,120,369,0.05920,0.11714
2000,Thuringa,Yes,0.18652,255,395,0.14806,0.22498
2000,Thuringa,No,0.09763,140,395,0.06832,0.12694
2001,Schleswig-Holstein,Yes,0.20596,156,156,0.14230,0.26963
2001,Hamburg,Yes,0.20903,71,71,0.11378,0.30429
2001,Lower Saxony,Yes,0.18182,428,428,0.14524,0.21841
2001,Bremen,Yes,0.20594,44,44,0.08507,0.32681
2001,North Rhine-Westphalia,Yes,0.18385,1092,1092,0.16086,0.20684
2001,Hesse,Yes,0.18402,364,364,0.14416,0.22389
2001,"Rhineland-Palatinate, Saarland",Yes,0.15596,282,282,0.11354,0.19838
2001,Baden-Wuerttemberg,Yes,0.20201,658,658,0.17131,0.23272
2001,Bavaria,Yes,0.19855,740,740,0.16979,0.22731
2001,Berlin,Yes,0.21815,219,219,0.16333,0.27298
2001,Brandenburg,Yes,0.17707,217,217,0.12616,0.22797
2001,Mecklenburg-Western Pomerania,Yes,0.19819,133,133,0.13018,0.26619
2001,Saxony,Yes,0.19471,417,417,0.15666,0.23276
2001,Saxony-Anhalt,Yes,0.17591,236,236,0.12723,0.22459
2001,Thuringa,Yes,0.19288,234,234,0.14222,0.24354
2002,Schleswig-Holstein,Yes,0.19060,171,230,0.13973,0.24147
2002,Schleswig-Holstein,No,0.07856,59,230,0.04371,0.11341
2002,Hamburg,Yes,0.21098,91,91,0.12669,0.29528
2002,Lower Saxony,Yes,0.18351,489,695,0.15471,0.21231
2002,Lower Saxony,No,0.08270,206,695,0.06220,0.10319
2002,Bremen,Yes,0.16516,39,39,0.04710,0.28322
2002,North Rhine-Westphalia,Yes,0.17469,1120,1546,0.15576,0.19362
2002,North Rhine-Westphalia,No,0.07010,426,1546,0.05737,0.08284
2002,Hesse,Yes,0.18015,420,596,0.14927,0.21103
2002,Hesse,No,0.07701,176,596,0.05558,0.09843
2002,"Rhineland-Palatinate, Saarland",Yes,0.14739,305,424,0.11361,0.18117
2002,"Rhineland-Palatinate, Saarland",No,0.06826,119,424,0.04422,0.09229
2002,Baden-Wuerttemberg,Yes,0.19871,729,998,0.17394,0.22348
2002,Baden-Wuerttemberg,No,0.07473,269,998,0.05840,0.09105
2002,Bavaria,Yes,0.18373,803,1156,0.16140,0.20607
2002,Bavaria,No,0.08807,353,1156,0.07172,0.10441
2002,Berlin,Yes,0.16212,195,279,0.11879,0.20545
2002,Berlin,No,0.08571,84,279,0.05280,0.11862
2002,Brandenburg,Yes,0.17323,213,325,0.13202,0.21444
2002,Brandenburg,No,0.08773,112,325,0.05692,0.11853
2002,Mecklenburg-Western Pomerania,Yes,0.14867,110,196,0.09873,0.19860
2002,Mecklenburg-Western Pomerania,No,0.12513,86,196,0.07869,0.17157
2002,Saxony,Yes,0.20423,455,614,0.17232,0.23615
2002,Saxony,No,0.07813,159,614,0.05688,0.09937
2002,Saxony-Anhalt,Yes,0.15132,221,348,0.11361,0.18902
2002,Saxony-Anhalt,No,0.10802,127,348,0.07536,0.14068
2002,Thuringa,Yes,0.17035,235,344,0.13056,0.21013
2002,Thuringa,No,0.08532,109,344,0.05576,0.11488
2003,Schleswig-Holstein,Yes,0.18190,146,198,0.12803,0.23577
2003,Schleswig-Holstein,No,0.06839,52,198,0.03314,0.10363
2003,Hamburg,Yes,0.20857,84,84,0.12117,0.29598
2003,Lower Saxony,Yes,0.19553,474,694,0.16600,0.22506
