year,sampreg,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,West,Yes,0.24613,6035,8103,0.23675,0.25551
2018,West,No,0.07776,2068,8103,0.07193,0.08360
2018,East,Yes,0.22261,1429,2055,0.20461,0.24060
2018,East,No,0.08800,626,2055,0.07575,0.10025
2019,West,Yes,0.23941,5556,7295,0.22962,0.24921
2019,West,No,0.06883,1739,7295,0.06302,0.07464
2019,East,Yes,0.21988,1412,1887,0.20119,0.23858
2019,East,No,0.08093,475,1887,0.06862,0.09324
2020,West,Yes,0.21766,5250,8196,0.20872,0.22659
2020,West,No,0.11254,2946,8196,0.10570,0.11938
2020,East,Yes,0.21189,1275,2012,0.19403,0.22975
2020,East,No,0.11527,737,2012,0.10131,0.12923
2021,West,Yes,0.24365,4161,5709,0.23251,0.25479
2021,West,No,0.08170,1548,5709,0.07459,0.08880
2021,East,Yes,0.22766,1003,1403,0.20571,0.24961
2021,East,No,0.10174,400,1403,0.08592,0.11756
