year,age_gr,quintil_oecd,plh0107,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2004,17-29 y.,4th Quintile,Very important,0.37139,270,711,0.33585,0.40693
2004,17-29 y.,4th Quintile,Important,0.51605,375,711,0.47929,0.55281
2004,17-29 y.,4th Quintile,Less important,0.09325,66,711,0.07186,0.11464
2004,17-29 y.,5th Quintile,Very important,0.38979,326,831,0.35661,0.42297
2004,17-29 y.,5th Quintile,Important,0.55246,457,831,0.51863,0.58629
2004,17-29 y.,5th Quintile,Less important,0.04926,48,831,0.03453,0.06398
2004,30-45 y.,1st Quintile,Very important,0.21862,196,870,0.19114,0.24610
2004,30-45 y.,1st Quintile,Important,0.56003,510,870,0.52703,0.59303
2004,30-45 y.,1st Quintile,Less important,0.16797,164,870,0.14312,0.19283
2004,30-45 y.,2nd Quintile,Very important,0.23335,281,1137,0.20875,0.25795
2004,30-45 y.,2nd Quintile,Important,0.55113,644,1137,0.52221,0.58006
2004,30-45 y.,2nd Quintile,Less important,0.19028,212,1137,0.16745,0.21311
2004,30-45 y.,3rd Quintile,Very important,0.20828,272,1208,0.18537,0.23119
2004,30-45 y.,3rd Quintile,Important,0.59136,727,1208,0.56363,0.61909
2004,30-45 y.,3rd Quintile,Less important,0.17058,209,1208,0.14936,0.19181
2004,30-45 y.,4th Quintile,Very important,0.20526,310,1426,0.18429,0.22623
2004,30-45 y.,4th Quintile,Important,0.63820,900,1426,0.61325,0.66315
2004,30-45 y.,4th Quintile,Less important,0.13791,216,1426,0.12000,0.15581
2004,30-45 y.,5th Quintile,Very important,0.27682,476,1726,0.25570,0.29793
2004,30-45 y.,5th Quintile,Important,0.57822,1018,1726,0.55491,0.60152
2004,30-45 y.,5th Quintile,Less important,0.13342,232,1726,0.11737,0.14947
2004,46-65 y.,1st Quintile,Very important,0.13140,103,774,0.10758,0.15522
2004,46-65 y.,1st Quintile,Important,0.42251,360,774,0.38769,0.45734
2004,46-65 y.,1st Quintile,Less important,0.20425,183,774,0.17582,0.23267
2004,46-65 y.,1st Quintile,Unimportant,0.14339,128,774,0.11868,0.16810
2004,46-65 y.,2nd Quintile,Very important,0.12602,128,934,0.10472,0.14731
2004,46-65 y.,2nd Quintile,Important,0.46343,475,934,0.43144,0.49543
